PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Jobs & Internships,In-School Youth Employment (ISY),Intermediate School 72 - Catherine & Count Basie School,Queens,Queens Child Guidance Center,718.651.7770,,"133 25 Guy R Brewer Boulevard
11434
(40.6769452621142, -73.77530690169215)"
Jobs & Internships,In-School Youth Employment (ISY),"Police Athletic League, Inc",Queens,"Police Athletic League, Inc.",212.477.6504,,"116 25 Guy R Brewer Boulevard
11434
(40.6769452621142, -73.77530690169215)"
Jobs & Internships,In-School Youth Employment (ISY),"New Spirit II, Inc. -- Youth Center",Queens,"New Spirit II, Inc.",718.712.1100,,"162 04 South Road
11433
(40.698104881734935, -73.7875740339145)"
Jobs & Internships,In-School Youth Employment (ISY),Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,,"1920 Mott Avenue
11691
(40.6038795254241, -73.7521789315517)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Henry Street Settlement Workforce Development Center,New York,Henry Street Settlement,212.478.5400 ext. 210,16 to 21,"99 Essex Street
10002
(40.71844741559961, -73.98830122278652)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"The Fortune Society, Inc.",Queens,"The Fortune Society, Inc.",212.691.7554 ext. 704,16 to 21,"29 76 Northern Boulevard
11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Chinatown Manpower Project, Inc.",New York,"Chinatown Manpower Project, Inc.",212.571.1690,16 to 21,"70 Mulberry Street
10013
(40.716141909295175, -73.99917280924103)"
Jobs & Internships,Out-of-School Youth Employment (OSY),The Door - A Center of Alternatives,New York,The Door - A Center of Alternatives,212.941.9090,16 to 21,"121 Avenue
of the Americas 10013
(40.721242188776046, -74.00888900022716)"
Jobs & Internships,Out-of-School Youth Employment (OSY),International Sheet Metal Workers Local Union 28 (intake site),New York,International Sheet Metal Workers Local Union 28,212.732.7897,16 to 21,"470 Park Avenue
10016
(40.74541398971918, -73.98270866745645)"
Jobs & Internships,Out-of-School Youth Employment (OSY),New York Center for Interpersonal Development ,Staten Island,New York Center for Interpersonal Development ,718.947.4051,16 to 21,"120 Stuyvesant Place
10301
(40.64309548865274, -74.07704808233049)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Bronx Community College,Bronx,"Henkels & McCoy, Inc.",917.856.2368,16 to 21,"4117 181st Street
10453
(40.852786838341956, -73.91342678431863)"
Jobs & Internships,Out-of-School Youth Employment (OSY),South Bronx Job Corps,Bronx,Arbor Employment and Training,718.731.7686,16 to 21,"1771 Andrews Avenue
10453
(40.85076866536985, -73.91669538355141)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Career Development Institute,Bronx,Federation Employment & Guidance Services (FEGS),718.742.3499,16 to 21,"412 434 East 147th Street
10455
(40.813535754971156, -73.9053552520432)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Mosholu Montefiore Community Center, Inc.",Bronx,"Mosholu Montefiore Community Center, Inc.",718.652.0470,16 to 21,"3450 Dekalb Avenue
10467
(40.8811069447426, -73.88170846616941)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Henkels & McCoy, Inc.",Queens,CUNY Catch at LaGuardia Community College,917.856.2368,16 to 21,"29 10 Thomson Avenue
11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Catholic Charities Neighborhood Services,Queens,Catholic Charities Neighborhood Services,718.726.9790 ext.127,16 to 21,"23 40 Astoria Boulevard
11102
(40.77152402451418, -73.92643545073543)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Sunnyside Community Services, Inc.",Queens,"Sunnyside Community Service, Inc.",718.784.6173 ext. 429,16 to 21,"43 31 39th Street
11104
(40.74489336663561, -73.92054134530679)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"NYSARC, Inc.",Brooklyn,"NYSARC, Inc, NYC Chapter Assn for Help of Retarded Children",212.634.8657,16 to 21,"57 Willoughby
11201
(40.692238836414404, -73.98662013867026)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Brooklyn Job Corps Academy,Brooklyn,Arbor Employment and Training,718.623.4031,16 to 21,"585 DeKalb Avenue
11205
(40.69124066064337, -73.95277618834143)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow-North,Brooklyn,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"25 Thornton Street
11206
(40.70091258928835, -73.94390057487814)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Medgar Evers College,Brooklyn,Research Foundation of CUNY on behalf of Medgar Evers College,718.270.6474,16 to 21,"1150 Carroll Street
11225
(40.66723830925684, -73.95227144143587)"
Jobs & Internships,Out-of-School Youth Employment (OSY),"Church Avenue Merchants Block Association, Inc.",Brooklyn,Church Avenue Merchant Block Association,718.462.4244,16 to 21,"2211 Church Avenue
11226
(40.65044686678422, -73.95854532388019)"
Jobs & Internships,Out-of-School Youth Employment (OSY),Opportunities for a Better Tomorrow,Brooklyn,Opportunities for a Better Tomorrow,718.369.0303,16 to 21,"783 4th Avenue
11232
(40.6592891541206, -73.99910746861542)"
Jobs & Internships,Out-of-School Youth Employment (OSY),YWCA of Queens,Queens,YWCA of Queens,718.353.4553,16 to 21,"42 07 Parsons Boulevard
11355
(40.7512997969481, -73.82147854789662)"
Jobs & Internships,Youth Employment,The Children's Aid Society,New York,The Children's Aid Society,212.865.6337,HS,"885 Columbus Avenue
10025
(40.79771334863237, -73.963944750805)"
Jobs & Internships,Youth Employment,ECDO Community Partnership Center ,New York,Ecumenical Community Development Organization,212.678.0037,HS,"413 125th Street
10027
(40.81170677883874, -73.95473138300176)"
Jobs & Internships,Youth Employment,"Boys & Girls Harbor, Inc",New York,"Boys & Girls Harbor, Inc",212.427.2244,,"1 104th Street
10029
(40.79298338723134, -73.95200031741886)"
Jobs & Internships,Youth Employment,Harlem RBI (Reviving Baseball in Inner Cities),New York,Harlem RBI (Reviving Baseball in Inner Cities),212.722.1608,MS/HS,"333 100 Street
10029
(40.7864951475855, -73.94439880643534)"
Jobs & Internships,Youth Employment,"STEPS, Inc ",New York,"Support For Training and Educational Services, Inc.",212.831.9080,,"1325 5th Avenue
10029
(40.79757895315326, -73.94866453390082)"
Jobs & Internships,Youth Employment,Police Athletic League PAL\Harlem Center ,New York,"Police Athletic League, Inc.",212.665.8699,MS/HS,"441 Manhattan Avenue
10026
(40.80669464442542, -73.95561864336202)"
Jobs & Internships,Youth Employment,Lt. Joseph P. Kennedy Jr. Memorial Community Center,New York,"Catholic Charities Community Service, Archdiocese of N.Y.",212.371.1000,HS,"34 134th Street
10037
(40.812690673719295, -73.93971876746738)"
Jobs & Internships,Youth Employment,"Mid-Bronx Council Services, Inc.",Bronx,"Mid-Bronx Council Services, Inc.",718.588.8200,HS,"1125 Grand
Concourse 10452
(40.83772426336412, -73.9233322114124)"
Jobs & Internships,Youth Employment,Woodycrest Center,Bronx,Woodycrest Center For Human Development,718.992.2178,All grades,"153 165th Street
10452
(40.83108457687954, -73.92085753444195)"
Jobs & Internships,Youth Employment,Bronx Community Resource Center,Bronx,Covenant House / Under 21,718.294. 7182,HS,"81 83C Featherbed Lane
10452
(40.83772426336412, -73.9233322114124)"
Jobs & Internships,Youth Employment,Project Ready Headquarters,Bronx,Mount Hope Housing Company,718.466.3600,MS/HS,"55 175th Street
10453
(40.847312989377464, -73.91136475443619)"
Jobs & Internships,Youth Employment,"Claremont Neighborhood Centers, Inc.",Bronx,"Claremont Neighborhood Centers, Inc.",718.588.1000,All grades,"489 169th Street
10456
(40.83300943887456, -73.90573521731622)"
Jobs & Internships,Youth Employment,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",Bronx,"Southeast Bronx Neighborhood Center, Inc. (SEBNC)",718.542.2727,All grades,"751 163rd Street
10456
(40.82293544110214, -73.90393806191068)"
Jobs & Internships,Youth Employment,William H. Taft High School - H.S. 410 ,Bronx,Woodycrest Center For Human Development,718.992.2178,All grades,"240 172nd Street
10457
(40.84038797720987, -73.9108816444482)"
Jobs & Internships,Youth Employment,Police Athletic League PAL-Webster Center ,Bronx,"Police Athletic League, Inc.",212.477.9450,,"2255 Webster Avenue
10457
(40.85563091671904, -73.89602321003798)"
Jobs & Internships,Youth Employment,Rafael Academy School ,Bronx,"Simpson Street Development Association, Inc.",718.589.1510,MS/HS,"977 Fox Street
10459
(40.822428225918, -73.89392410102988)"
Jobs & Internships,Youth Employment,Youth Employment Program ,Bronx,"Mosholu Montefiore Community Center, Inc.",718.652-1471,HS,"3400 Reservoir Oval
10467
(40.87877505492227, -73.87563356258636)"
Jobs & Internships,Youth Employment,"Riverdale Neighborhood House, Inc.",Bronx,"Riverdale Neighborhood House, Inc.",718.549.8100,HS,"5521 Mosholu Avenue
10471
(40.90296572432813, -73.90384240450045)"
Jobs & Internships,Youth Employment,"Jacob A. Riis Neighborhood Settlement, Inc.",Long Island  City,"Jacob A. Riis Neighborhood Settlement, Inc.",718.784.7447,HS,"10 25 41st Avenue
11101
(40.74570244980828, -73.93866902925225)"
Jobs & Internships,Youth Employment,Intermediate School 232 - WInthrop School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,HS,"905 Winthrop Street
11203
(40.65845142217417, -73.92913135988232)"
Jobs & Internships,Youth Employment,Samuel J. Tilden High School - H.S. 415,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718 629-4523,HS,"5800 Tilden Avenue
11203
(40.648631368632266, -73.92228549725635)"
Jobs & Internships,Youth Employment,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,HS,"75 Lewis Avenue
11206
(40.69500799941421, -73.93742230252869)"
Jobs & Internships,Youth Employment,St. Stephen Outreach,Brooklyn,St. Stephen Outreach,718.384.8854,All grades,"874 Myrtle Avenue
11206
(40.69557673055322, -73.94723933262884)"
Jobs & Internships,Youth Employment,"Concord Family Services, Inc.",Brooklyn,"Concord Family Services, Inc.",718.398.3499,HS,"583 593 Vermont Street
11207
(40.670802431187326, -73.89384115004901)"
Jobs & Internships,Youth Employment,East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2127,HS,"2644 Atlantic Avenue
11207
(40.67565526230447, -73.89675297527339)"
Jobs & Internships,Youth Employment,Police Athletic League #1A (PAL) ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"127 Pennsylvania Avenue
11207
(40.67474021180885, -73.89657635302484)"
Jobs & Internships,Youth Employment,Bnos Yakov Educational Center,Brooklyn,Bnos Yakov Educational Center,718.963.1212,MS/HS,"62 Harrison Avenue
11211
(40.70509777565483, -73.95271360115831)"
Jobs & Internships,Youth Employment,"Project Care of Brooklyn, Inc",Brooklyn,"Project Care of Brooklyn, Inc",718.387.4500,HS,"164 Clymer Street
11211
(40.70663220083857, -73.96345063704595)"
Jobs & Internships,Youth Employment,Police Athletic League (Brownsville Beacon),Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"985 Rockaway Avenue
11212
(40.656451255408264, -73.90732282830548)"
Jobs & Internships,Youth Employment,Junior High School 258 (K) - David Ruggles School ,Brooklyn,"Vannguard Urban Improvement Association, Inc.",718.453.3330,MS/HS,"141 Macon Street
11216
(40.681569834987634, -73.94559613967623)"
Jobs & Internships,Youth Employment,BCA Education Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,MS/HS,"5000 8th Avenue
11220
(40.641104606526014, -74.0037599239347)"
Jobs & Internships,Youth Employment,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,MS/HS,"1616 Newkirk Avenue
11226
(40.6359962740795, -73.96230212887792)"
Jobs & Internships,Youth Employment,Youth for Education and Sports,Brooklyn,Youth for Education and Sports,718.941.7532,,"681 Ocean Avenue
11226
(40.64618768082565, -73.96023613104816)"
Jobs & Internships,Youth Employment,Public School 217 - Col. David Marcus Elementary School ,Brooklyn,Flatbush Development Corporation,718.859.3800,MS/HS,"1100 Newkirk Avenue
11230
(40.63396096439908, -73.96650550631493)"
Jobs & Internships,Youth Employment,Miccio Center ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"110 9th Street
11231
(40.67578212491029, -74.0015232923829)"
Jobs & Internships,Youth Employment,Intermediate School 68 - Isaac Bildersee School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,HS,"956 82nd Street
11236
(40.63549167783704, -73.91076105116055)"
Jobs & Internships,Youth Employment,Italian American Civil Rights League (Italian American Civil),Brooklyn,Italian American Civil Rights League (Italian American Civil),718.642.2180,HS,"1460 Pennsylvania Avenue
11239
(40.64607779528712, -73.87995018190169)"
Jobs & Internships,Youth Employment,Queens Community Resource Center ,Queens,Covenant House/Under 21,718.725.9851,HS,"159 17 Hillside Avenue
11432
(40.71311535449007, -73.79282099978928)"
Jobs & Internships,Youth Employment,Afrikan Poetry Theatre ,Queens,Afrikan Poetry Theatre,718.523.3312,MS/HS,"176 03 Jamaica Avenue
11432
(40.71311535449007, -73.79282099978928)"
Jobs & Internships,Youth Employment,ChaRosa Foundation Corporation,Queens,ChaRosa Foundation Corporation,718.723.0218,HS,"161 10 Jamaica Avenue
11432
(40.71311535449007, -73.79282099978928)"
Jobs & Internships,Youth Employment,Intermediate School 43 ,Queens,Federation Employment & Guidance Services (FEGS),212.366.8401,MS/HS,"160 Beach 29th Street
11691
(40.594515128003, -73.76182654029463)"
Jobs & Internships,Youth Employment,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,HS,"1920 Mott Avenue
11691
(40.6038795254241, -73.7521789315517)"
Jobs & Internships,Adult Employment,The Annex,New York,Community Impact/Columbia University,212.854.2617,,"2875 Broadway
10027
(40.811549564460904, -73.95290033568193)"
Jobs & Internships,Adult Employment,Urban net Cathedral Cares,New York,Community Impact/Columbia University,212 854.2617,,"1047 Amsterdam Avenue
10025
(40.80384978364436, -73.96317712587883)"
Jobs & Internships,Adult Employment,Teacher's College,New York,Community Impact/Columbia University,212 854.2617,,"525 120th Street
10027
(40.80965197566411, -73.95982098233489)"
Jobs & Internships,Adult Employment,West Harlem,New York,Community Impact/Columbia University,212.854.2617,,"500 134th Street
10027
(40.811549564460904, -73.95290033568193)"
Jobs & Internships,Adult Employment,"Civic Association Serving Harlem, Inc",New York,"Civic Association Serving Harlem, Inc",212.864.5850,,"356 123rd Street
10027
(40.80961653529917, -73.9539904155465)"
Jobs & Internships,Adult Employment,Public School 123 - Mahalia Jackson Elementary School,New York,Community Impact/Columbia University,212.854.2617,,"301 140th Street
10030
(40.81972211192899, -73.94425698262674)"
Jobs & Internships,Adult Employment,South Bronx Overall Economic Development Corporation,Bronx,South Bronx Overall Economic Development Corp.,718.585.2600,,"555 Bergen Avenue
10455
(40.81594441525443, -73.91641591148277)"
Jobs & Internships,Adult Employment,NDA Center,Bronx,South Bronx Overall Economic Development Corp.,718 585.2600,,"647 180th Street
"
Jobs & Internships,Adult Employment,Mercy Center,Bronx,Mercy Center,718.993.2789,,"377 145th Street
10454
(40.81385583017525, -73.92035529273)"
Jobs & Internships,Adult Employment,Citizens Advice Bureau Bronx Works ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,,"391 149th Street
10455
(40.816295496166596, -73.91820248245159)"
Jobs & Internships,Adult Employment,"St. Mary's Community Services, Inc.",Brooklyn,"St. Mary's Community Services, Inc.",718.230.0827,,"230 Classon Avenue
11205
(40.692595753923804, -73.96084829313692)"
Jobs & Internships,Adult Employment,"Fifth Avenue Committee, Inc.",Brooklyn,"Fifth Avenue Committee, Inc.",718.237.2017,,"625 De Graw Street
11217
(40.67854147330657, -73.9817504489998)"
Jobs & Internships,Adult Employment,Turning Point,Brooklyn,Turning Point,718.439.0077,,"5220 Fourth Avenue
11220
(40.645290640072034, -74.01395648948358)"
Jobs & Internships,Adult Employment,BCA Education Center,Brooklyn,Brooklyn Chinese American Association,718.438.9312,,"5006 8th Avenue
11220
(40.64107406995503, -74.00379511862667)"
Jobs & Internships,Adult Employment,Council of Jewish Organizations of Flatbush,Brooklyn,Council of Jewish Organizations of Flatbush,718.377.2900,,"1550 Coney Island Avenue
11230
(40.61969757437525, -73.96431415429318)"
Jobs & Internships,Adult Employment,Polonians Organized to Minister to Our Community,Queens,Polonians Organized to Minister to Our Community,718.326.9098,,"66 60 Fresh Pond Road
11385
(40.70122489161548, -73.88334858436963)"
Jobs & Internships,Adult Employment,"Jewish Services Coalition, Inc",Queens,"Jewish Services Coalition, Inc",718.327.6060,,"1525 Central Avenue
11691
(40.60566235698948, -73.75132461159502)"
Jobs & Internships,Adult Employment,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,,"1920 Mott Avenue
11691
(40.6038795254241, -73.7521789315517)"
Jobs & Internships,Adult Employment,COJO of Flatbush,Queens,Council of Jewish Organizations of Flatbush                 ,718.377.2900,Adults,"1550 Coney Island Ave
11230
(40.61969757437525, -73.96431415429318)"
