Business Name,Industry Group,Type,Telephone,Cross Streets,Zip Code,Location 1
Links of London,AA&F,"Acc., Jewelry & Watches",212-867-0258,between 44th - 45th St (indoors),10166,"200 Park Ave
"
Godiva Chocolatier,Food & Drink,Specialty Food Store,212-697-9150,between 44th - 45th St (indoors),10166,"200 Park Ave
"
Grand Café ,Food & Drink,Quick-Serve Eatery,212-883-6789,between 45th - 46th St,10169,"230 Park Ave
"
Lea,Food & Drink,Restaurant,,between 45th - 46th St,10169,"230 Park Ave
"
Bobby Van's Steakhouse,Food & Drink,Restaurant,212-867-5490,at 46th St,10169,"230 Park Ave
"
Subway,Food & Drink,Quick-Serve Eatery,,between 45th - 46th St.,10017,
Hatsuhana,Food & Drink,Restaurant,212-661-3400,between 45th - 46th St,10017,
Xerox,Pers. & Prof. Services,Printing/Shipping,212-716-4000,between 46th - 47th St ,10017,"245 Park Ave
"
Audi,Misc. Retail,Automotive,212-370-2834,between 46th - 47th St,10017,"250 Park Ave
"
Chase Bank,Financial Services,Bank (ATM Only),,between 47th-48th St,10172,
Chase Bank,Financial Services,Full-Service Branch,212-888-3400,between 47th-48th St,10172,"277 Park Ave
"
E Trade Financial ,Financial Services,Full-Service Branch,866-789-0716 ext. 0089,between 49th - 50th St,10022,"300 Park Ave
"
Signature Bank,Financial Services,Full-Service Branch,646-822-1636,between 49th - 50th St,10022,"300 Park Ave
"
Charles Schwab,Financial Services,Other Financial Services,212-308-4748,between 49th - 50th St,10022,"300 Park Ave
"
Capital One Bank,Financial Services,Full-Service Branch,212-755-5055,between 49th - 50th St,10022,
First Republic Bank,Financial Services,Full-Service Branch,646-282-3440,between 50th - 51st St,10022,"320 Park Ave
"
Bank of America,Financial Services,Full-Service Branch,212-355-4436,between 51st - 52nd St,10154,"345 Park Ave
"
AT&T,Misc. Retail,Elec. & Telecom.,,between 51st - 52nd St,10022,"350 Park Ave
"
Valley National Bank,Financial Services,Full-Service Branch,212-220-0871,between 51st - 52nd St,10022,"350 Park Ave
"
Fidelity Investments,Financial Services,Other Financial Services,800-662-6008,between 51st - 52nd St,10022,"350 Park Ave
"
Chase,Financial Services,Full-Service Branch,212-527-3600,between 52nd - 53rd St,10022,
American Express Travel Services,Pers. & Prof. Services,Travel Services,212-223-8123,between 52nd - 53rd St,10022,"374 Park Ave
"
Central Parking System,Parking,Parking Lots & Garages,,on 53rd St,10022,"375 Park Ave
"
Dishes,Food & Drink,Quick-Serve Eatery,212-421-5511,between 53rd-54th St,10022,"399 Park Ave
"
Citibank,Financial Services,Full-Service Branch,212-559-7299,between 53rd-54th St,10022,"399 Park Ave
"
Tequilaville,Food & Drink,Restaurant,212-563-7440,between 42nd - 43rd St,10017,"14 Vanderbilt Ave
"
Central Café,Food & Drink,Quick-Serve Eatery,212-6878-6700,between 42nd - 43rd St,10017,
La Fonda Del Sol,Food & Drink,Restaurant,212-867-6767,between 42nd - 43rd St,10017,"33 Vanderbilt Ave
"
Ammos,Food & Drink,Restaurant,212-922-9999,between 44th - 45th St,10017,"52 Vanderbilt Ave
"
Blake & Todd,Food & Drink,Quick-Serve Eatery,212-883-0010,between 44th - 45th St,10017,"52 Vanderbilt Ave
"
Fedex Office,Pers. & Prof. Services,Printing/Shipping,212-949-2534,on Vanderbilt Ave,10017,
Duane Reade,Misc. Retail,Pharmacy,212-682-0139,between 45th - 46th St,10169,"230 Park Ave
"
Devon & Blakely,Food & Drink,Quick-Serve Eatery,212-661-0101,on 47th St and Vanderbilt,10177,"250 Park Ave
"
Roche Bobois Paris,Misc. Retail,Home Furnishings,212-889-5304 ,between 35th-36th St,10016,
New York Sports Club,Pers. & Prof. Services,Fitness Club,212-686-1144,between 35th - 36th St,10016,"200 Madison Ave
(40.29225581487185, -90.90965131670745)"
Starbucks,Food & Drink,Quick-Serve Eatery,212-684-6873,between 35th - 36th St,10016,"200 Madison Ave
(40.29225581487185, -90.90965131670745)"
Chase,Financial Services,Full-Service Branch,212-779-1036,between 38th - 39th St,10016,"260 Madison Ave
(40.29255674524356, -90.90965942581218)"
Duane Reade,Pers. & Prof. Services,Pharmacy,,between 38th - 39th St,10016,"260 Madison Ave
(40.29255674524356, -90.90965942581218)"
Staples Copy & Print Shop,Pers. & Prof. Services,Printing/Shipping,212-697-2615,between 38th - 39th St,10016,
Fed Ex Office Ship Center,Pers. & Prof. Services,Printing/Shipping,,between 38th-39th St,10016,
Signature,Financial Services,Full-Service Branch,646-822-1500,between 38th-39th St,10016,"261 Madison Ave
(40.29255558394334, -90.90973128465049)"
Salute!,Food & Drink,Restaurant,212-213-3440,between 39th - 40th St,10016,"270 Madison Ave
(40.292602855927555, -90.90966070666451)"
Rainbow,AA&F,Women's Apparel,212-448-0025,between 39th - 40th St,10016,"270 Madison Ave
(40.292602855927555, -90.90966070666451)"
Chipotle,Food & Drink,Quick-Serve Eatery,212-689-1245,between 39th - 40th St,10016,"274 Madison Ave
(40.292621300210435, -90.9096612190057)"
McDonalds,Food & Drink,Quick-Serve Eatery,212-619-1848,between 39th-40th St,10016,"280 Madison Ave
(40.292648966623155, -90.90966198751715)"
Verona Deli,Food & Drink,Quick-Serve Eatery,212-532-3040 ,between 39th-40th St,10016,
Mulligan's Pub,Food & Drink,Bars & Lounges,212- 286-0207 ,between 39th-40th St,10016,
Madison Garden Nail Salon,Pers. & Prof. Services,Nail Salon,212-370-4151,between 39th-40th St,10016,"267 Madison Ave
(40.29258325035606, -90.90973205316196)"
Vacant,Vacant,Vacant,212-684-4848,between 39th-40th St,10016,"269 Madison Ave
(40.2925924724975, -90.90973230933255)"
Dig Inn Seasonal Market,Food & Drink,Quick-Serve Eatery,,between 39th-40th St,10016,"275 Madison Ave
(40.292620138910216, -90.90973307784401)"
Valley National Bank,Financial Services,Full-Service Branch,212-867-6242,between 39th-40th St,10016,"275 Madison Ave
(40.292620138910216, -90.90973307784401)"
4-Food,Food & Drink,Quick-Serve Eatery,,between 40th - 41st St,10017,"286 Madison Ave
(40.29267663304748, -90.90966275602895)"
Britches of New York,AA&F,Men's Apparel,212-685-2208,between 40th - 41st St,10017,"290 Madison Ave
(40.292695077307144, -90.90966326836948)"
Park Ave Liquor Shop,Misc. Retail,Wine & Liquor Store,212-685-2442,between 40th - 41st St,10017,"292 Madison Ave
(40.29270429944859, -90.90966352454008)"
Liberty Travel,Pers. & Prof. Services,Travel Services,212-689-5600,between 40th - 41st St,10017,"298 Madison Ave
(40.29273196587291, -90.90966429305188)"
Hallmark,Misc. Retail,Greeting Cards & Stationary,212-697-2971,between 39th-40th St,10016,"281 Madison Ave
(40.292647805322936, -90.90973384635546)"
O'Henry's Film Works/Doi Camera,Misc. Retail,Art & Photography Supplies,(212) 599-9312,between 40th - 41st St,10017,
Pret A Manger,Food & Drink,Quick-Serve Eatery,212-867-0400,between 40th - 41st St,10017,
Riflessi,AA&F,Men's Apparel,212-679-4875,between 40th - 41st St,10017,
Heavenly Burger,Food & Drink,Restaurant,212-685-6250,between 40th - 41st St,10017,
Aerosoles,AA&F,Unisex Footwear,212-661-1271,between 40th - 41st St,10017,
Starbucks,Food & Drink,Quick-Serve Eatery,212-922-9126,between 40th - 41st St,10017,"295 Madison Ave
(40.292712360289805, -90.90973563954898)"
Fragance and Beauty Outlet,Misc. Retail,Health & Beauty,,between 41st - 42nd St,10017,"301 Madison Ave
"
Pera,Food & Drink,Restaurant,212-878-6301,between 41st - 42nd St,10017,"303 Madison Ave
"
T-Mobile,Misc. Retail,Elec. & Telecom.,212-687-4800,between 41st - 42nd St,10017,"307 Madison Ave
"
Food Exchange,Food & Drink,Quick-Serve Eatery,212-697-0400,between 41st - 42nd St,10017,"309 Madison Ave
"
Ann Taylor ,AA&F,Women's Apparel,212-949-0008,between 42nd - 43rd St,10017,"330 Madison Ave
"
Bread and Company,Food & Drink,Quick-Serve Eatery,,between 42nd - 43rd St,10017,"317 Madison Ave
"
Shoe Mania,AA&F,Unisex Footwear,212-557-6627,between 42nd - 43rd St,10017,
Easy Spirit,AA&F,Unisex Footwear,212-286-8726,between 42nd - 43rd St,10017,"331 Madison Ave
"
Verizon Wireless,Misc. Retail,Elec. & Telecom.,,between 43rd - 44th St,10017,"340 Madison Ave
"
PNC Bank,Financial Services,Full-Service Branch,212-856-6100,between 43rd - 44th St,10017,"340 Madison Ave
"
Starbucks,Food & Drink,Quick-Serve Eatery,,between 44th - 45th St,10017,"344 Madison Ave
"
Van Laak,AA&F,Men's Apparel,21112-867-4041,between 43rd - 44th St,10017,
Coach,AA&F,Unisex Footwear,212-599-4777,between 44th - 45th St,10017,"342 Madison Ave
"
Alden Shoes,AA&F,Men's Footwear,212-687-3023,between 44th - 45th St,10017,"344 Madison Ave
"
Bank of America,Financial Services,Full-Service Branch,646-358-1660,between 43rd - 44th St,10017,"335 Madison Ave
"
Daffy's,AA&F,Unisex Apparel,212-557-4422,between 43rd - 44th St,10017,
Brooks Brothers ,AA&F,Men's Apparel,212-682-8800,between 44th - 45th St,10017,"346 Madison Ave
"
Paul Stuart ,AA&F,Men's Apparel,212-682-0320,between 44th - 45th St,10017,"350 Madison Ave
"
Nine West,AA&F,Women's Footwear,212-370-9107,between 44th - 45th St,10017,"341 Madison Ave
"
Johnston & Murphy,AA&F,Men's Footwear,21-697-9375,between 44th - 45th St,10017,
J.Crew,AA&F,Unisex Apparel,212-949-0570,between 44th - 45th St,10017,
Wells Fargo Bank,Financial Services,Full-Service Branch,212-885-6200,between 44th - 45th St,10017,
My.Suit,AA&F,Men's Apparel,212-867-2898,between 44th - 45th St,10017,
Jos. A. Bank,AA&F,Men's Apparel,212-370-0600,between 44th - 45th St,10017,"366 Madison Ave
"
Clarks/Bostonian,AA&F,Unisex Footwear,212-949-9545,between 45th - 46th St,10017,
Vacant,Vacant,Vacant,,between 45th - 46th St,10017,
Vacant,Vacant,Vacant,,between 45th - 46th St,10017,"365 Madison Ave
"
Ambassador Luggage/Leather Goods,Misc. Retail,Luggage,212-972-0965,between 45th - 46th St,10017,"371 Madison Ave
"
Vacant,Vacant,Vacant,,between 45th - 46th St,10017,"367 Madison Ave
"
The Art of Shaving,Pers. & Prof. Services,Barber Shops,212-986-2905,between 45th - 46th St,10017,"373 Madison Ave
"
Sarar,AA&F,Unisex Apparel,212-867-2340,between 45th - 46th St,10017,
Central Parking System,Parking,Parking Lots & Garages,,entrance on 46th St,10017,"380 Madison Ave
"
Mens Wearhouse ,AA&F,Men's Apparel,212-856-9008,between 46th - 47th St,10017,"380 Madison Ave
"
J. Press,AA&F,Men's Apparel,212-667-7642,between 46th - 47th St,10017,"380 Madison Ave
"
Charles Tyrwhitt,AA&F,Men's Apparel,212-286-8988,between 46th - 47th St,10017,"377 Madison Ave
"
AT&T Wireless,Misc. Retail,Elec. & Telecom.,,between 46th - 47th St,10017,
Café Metro ,Food & Drink,Quick-Serve Eatery,212-308-2526,between 47th - 48th St,10017,"400 Madison Ave
"
Madison Jewelers,AA&F,"Acc., Jewelry & Watches",212-715-9850,between 47th - 48th St,10017,"400 Madison Ave
"
Muska Bags,AA&F,"Acc., Jewelry & Watches",,between 47th - 48th St,10017,"400 Madison Ave
"
Robert Marc ,Pers. & Prof. Services,Optical/Eyewear,212-319-2000,between 47th - 48th St,10017,"400 Madison Ave
"
Vacant,Vacant,Vacant,,between 47th - 48th St,10017,"400 Madison Ave
"
Andrew's Ties,AA&F,"Acc., Jewelry & Watches",212-750-5221,between 47th - 48th St,10017,"400 Madison Ave
"
Citibank,Financial Services,Full-Service Branch,,between 47th - 48th St,10017,"400 Madison Ave
"
Chase,Financial Services,Full-Service Branch,212-450-7836,between 47th - 48th St,10017,"401 Madison Ave
"
Chase,Financial Services,Private Banking,,between 47th - 48th St,10017,"401 Madison Ave
"
Chase,Financial Services,Bank (ATM Only),,between 47th - 48th St,10017,"401 Madison Ave
"
Bank of China ,Financial Services,Full-Service Branch,212-935-3101,between 48th - 49th St,10017,
Deli on Madison ,Food & Drink,Quick-Serve Eatery,212-308-6140,between 48th - 49th St,10017,
Red Stone Pizzeria Quick-Serve Eatery,Food & Drink,Quick-Serve Eatery,212-421-1223,between 48th - 49th St,10017,"422 Madison Ave
"
Capital One Bank,Financial Services,Full-Service Branch,212-319-4448,between 48th - 49th St,10017,
HSBC,Financial Services,Full-Service Branch,212-525-1243,between 48th - 49th St,10017,
Pax Wholesome Foods,Food & Drink,Quick-Serve Eatery,212-755-1212,between 48th - 49th St,10017,"423 Madison Ave
"
Pret A Manger,Food & Drink,Quick-Serve Eatery,646-537-0020,between 48th - 49th St,10017,"425 Madison Ave
"
Starbucks,Food & Drink,Quick-Serve Eatery,212-644-9462,between 48th - 49th St,10017,"425 Madison Ave
"
John Sahag Workshop,Pers. & Prof. Services,Hair Salon,212-750-7772,between 48th - 49th St,10017,"425 Madison Ave
"
TD Bank,Financial Services,Full-Service Branch,,between 49th - 50th St,10017,"444 Madison Ave
"
Burberry Brit,AA&F,Unisex Apparel,,between 49th - 50th St,10017,"445 Madison Ave
"
Burberry London,AA&F,Unisex Apparel,,between 49th - 50th St,10017,"444 Madison Ave
"
Florsheim,AA&F,Unisex Footwear,212-752-8017,between 49th - 50th St,10017,"444 Madison Ave
"
Wells Fargo Bank,Financial Services,Full-Service Branch,917-322-6669,between 49th - 50th St,10017,"437 Madison Ave
"
Eden Fine Art,Misc. Retail,Art & Photography Supplies,212-888-0177,between 49th - 50th St,10017,"437 Madison Ave
"
Gilt,Food & Drink,Restaurant,,between 50th - 51st St,10017,
Palace Gate,Food & Drink,Café/Bar,,between 50th - 51st St,10017,
Express ,AA&F,Women's Apparel,212-644-4453,between 51st - 52nd St,10022,
Jurlique,Misc. Retail,Cosmetics,212-752-1980,between 51st - 52nd St,10022,"477 Madison Ave
"
Vacant,Vacant,Vacant,,between 51st - 52nd St,10022,"485 Madison Ave
"
Leonidas Chocolate,Food & Drink,Specialty Food Store,212-980-2608,between 51st - 52nd St,10022,
Gale Grant Ltd.,AA&F,"Acc., Jewelry & Watches",212-752-3142,between 51st - 52nd St,10022,"485 Madison Ave
"
T Mobile,Misc. Retail,Elec. & Telecom.,646-735-3300,between 51st - 52nd St,10022,"485 Madison Ave
"
Purdy Opticians,Pers. & Prof. Services,Optical/Eyewear,212-688-8050,between 52nd - 53rd St,10022,"501 Madison Ave
"
Bolton's,AA&F,Women's Apparel,212-753-5008,between 52nd - 53rd St,10022,
Crumbs,Food & Drink,Specialty Food Store,212-221-7105,between 52nd - 53rd St,10022,
Verdi & Kennedy,AA&F,Unisex Apparel,,between 52nd - 53rd St,10022,"509 Madison Ave
"
Cellini,AA&F,"Acc., Jewelry & Watches",212-888-0505,between 52nd - 53rd St,10022,"509 Madison Ave
"
Vacant,Vacant,Vacant,,between 52nd - 53rd St,10022,
H2O+,Misc. Retail,Cosmetics,212-750-8119,between 52nd - 53rd St,10022,"511 Madison Ave
"
Camicissima Milano,AA&F,Men's Apparel,,between 52nd - 53rd St,10022,
Cute Toonz ,Misc. Retail,Gifts/Souvenirs,212 967 6942,between 35th - 36th St,10016,
Beads on Fifth ,Misc. Retail,Art & Photography Supplies,212-244-6616,between 35th - 36th St,10016,"376 Fifth Ave
"
42nd Photo,Misc. Retail,Art & Photography Supplies,212-594-6565,between 35th - 36th St,10016,"378 Fifth Ave
"
Rainbow,AA&F,Women's Apparel,212-947-0829,between 35th - 36th St,10016,"380 Fifth Ave
"
David Z.,AA&F,Unisex Footwear,917-351-1484,between 35th - 36th St,10016,"384 Fifth Ave
"
City Sports,AA&F,Sporting Goods & Athletic Apparel,212-695-0171,between 36th - 37th St,10016,
W Café,Food & Drink,Quick-Serve Eatery,212-563-9444,between 36th - 37th St,10016,"390 Fifth Ave
"
Starbucks ,Food & Drink,Quick-Serve Eatery,212-490-3189,between 35th - 36th St,10016,
Oxford Café,Food & Drink,Quick-Serve Eatery,212-889-7757,between 35th - 36th St,10016,"375 Fifth Ave
"
I Love Souvenirs,Misc. Retail,Gifts/Souvenirs,212-532-5338,between 35th - 36th St,10016,
You & I,AA&F,"Acc., Jewelry & Watches",212-889-1208,between 35th - 36th St,10016,
Memories of Fifth Ave,Misc. Retail,Gifts/Souvenirs,212-679-3811,between 35th - 36th St,10016,"381 Fifth Ave
"
Ricky's,Misc. Retail,Cosmetics,212-481-6701,between 35th - 36th St,10016,
New York #1 Gifts Inc.,Misc. Retail,Gifts/Souvenirs,212-779-7568,between 35th - 36th St,10016,
Vitamin Shoppe,Misc. Retail,Health & Beauty,212-532-4534,between 35th - 36th St,10016,"385 Fifth Ave
"
Setai Fifth Avenue,Food & Drink,Restaurant,,between 36th - 37th St,10016,"392 400 Fifth Ave
"
Comp U Photo ,Misc. Retail,Art & Photography Supplies,212-594-5886,between 36th - 37th St,10016,"402 Fifth Ave
"
Oasis ,Misc. Retail,Health & Beauty,212-736-1482,between 36th - 37th St,10016,"402 Fifth Ave
"
Capital One Bank,Financial Services,Full-Service Branch,212-967-9400,between 36th - 37th St,10016,"404 Fifth Ave
"
Pret-A-Manger,Food & Drink,Quick-Serve Eatery,212-716-3500,between 36th - 37th St,10016,"389 Fifth Ave
"
Glance Eyewear (2nd Floor),Pers. & Prof. Services,Optical/Eyewear,212-689-2288,between 36th - 37th St,10016,"389 Fifth Ave
"
Yankees Clubhouse ,AA&F,Sporting Goods & Athletic Apparel,212-685-4693,between 36th - 37th St,10016,"393 Fifth Ave
"
Burger King ,Food & Drink,Quick-Serve Eatery,212-679-4646,between 36th - 37th St,10016,
TD Bank #28,Financial Services,Full-Service Branch,212-679-2270,between 36th - 37th St,10016,
401 Gifts,Misc. Retail,Gifts/Souvenirs,,between 36th - 37th St,10016,
Citibank,Financial Services,Full-Service Branch,212-889-0731,between 36th - 37th St,10016,"411 Fifth Ave
"
Au Bon Pain,Food & Drink,Quick-Serve Eatery,212-730-5401,between 37th - 38th St,10016,
Vacant,Vacant,Vacant,212-674-2556 ext. 100,between 37th - 38th St,10016,"420 Fifth Ave
"
Vacant,Vacant,Vacant,212-252-0099,between 37th - 38th St,10016,"417 Fifth Ave
"
Vacant,Vacant,Vacant,,between 37th - 38th St,10016,"417 Fifth Ave
"
Vacant,Vacant,Vacant,212-372-2430,between 37th - 38th St,10016,"417 Fifth Ave
"
Zales Jewelers,AA&F,"Acc., Jewelry & Watches",212-679-3626,between 37th - 38th St,10016,"417 Fifth Ave
"
Lord & Taylor ,AA&F,Department Store,212-391-3344,between 38th - 39th St,10016,"424 434 Fifth Ave
"
Sleepy's ,Misc. Retail,Home Furnishings,212-686-0258,between 38th - 39th St,10016,"425 Fifth Ave
"
GNC,Misc. Retail,Health & Beauty,212-889-3168,between 38th - 39th St,10016,"431 Fifth Ave
"
KO Computer Inc,Misc. Retail,Elec. & Telecom.,212-213-4990,between 38th - 39th St,10016,"431 Fifth Ave
"
Prima Donna,Misc. Retail,Women's Apparel,212-481-4099,between 38th - 39th St,10016,"433 Fifth Ave
"
Green Pea Deli,Food & Drink,Quick-Serve Eatery,212-686-5666,between 38th - 39th St,10016,
Payless Shoe Source,AA&F,Unisex Footwear,212-481-2653,between 38th - 39th St,10016,"437 Fifth Ave
"
Vacant,Vacant,Vacant,,between 39th - 40th St,10016,"452 Fifth Ave
"
HSBC,Financial Services,Full-Service Branch,212-525-6125,between 39th - 40th St,10018,"452 Fifth Ave
"
Data Vision ,Misc. Retail,Elec. & Telecom.,212-689-1111,between 39th - 40th St,10018,
Chase,Financial Services,Full-Service Branch,212-819-1300,between 42nd - 43rd St,10018,"510 Fifth Ave
"
H&M,AA&F,Unisex Apparel,212-489-0396,between 42nd - 43rd St,10018,"505 Fifth Ave
"
Bakers,AA&F,Unisex Footwear,,between 42nd - 43rd St,10018,"509 Fifth Ave
"
IDB Bank,Financial Services,Full-Service Branch,212-551-8500,between 42nd - 43rd St,10018,"511 Fifth Ave
"
Fifth Avenue Gallery Art & Antique Center,Misc. Retail,Art & Photography Supplies,212-473-6666,between 43rd - 44th St,10018,"516 Fifth Ave
"
I Heart NY T-Shirt,Misc. Retail,Gifts/Souvenirs,,between 43rd - 44th St,10018,"518 Fifth Ave
"
JK Gifts and Gallery,Misc. Retail,Gifts/Souvenirs,212 398 0084,between 43rd - 44th St,10018,"520 Fifth Ave
"
Botticelli,AA&F,Women's Apparel,212-632-8300,between 43rd - 44th St,10018,"522 Fifth Ave
"
ORVIS ,AA&F,Unisex Apparel,212-827-0698,between 43rd - 44th St,10018,
Urban Outfitters,AA&F,Unisex Apparel,,between 43rd - 44th St,10018,
Best Buy,Misc. Retail,Elec. & Telecom.,212-808-0309,between 43rd - 44th St,10018,"529 Fifth Ave
"
Chase Bank,Financial Services,Full-Service Branch,,between 43rd - 44th St,10018,"530 Fifth Ave
"
In Build-out,Vacant,Vacant,,between 44th - 45th St,10018,"530 Fifth Ave
"
Fossil,AA&F,"Acc., Jewelry & Watches",212-997-3976,between 44th - 45th St,10018,"530 Fifth Ave
"
Lens Crafters,Pers. & Prof. Services,Optical/Eyewear,212-352-1460,between 44th - 45th St,10018,"530 Fifth Ave
"
Staples ,Misc. Retail,Office Supplies,646-227-0585,between 44th - 45th St ,10018,
Duane Reade ,Pers. & Prof. Services,Pharmacy,212-687-8641,between 44th - 45th St ,10018,"535 Fifth Ave
"
Barami,AA&F,Women's Apparel,212-949-1000,between 44th - 45th St ,10018,"535 Fifth Ave
"
Europa Café,Food & Drink,Quick-Serve Eatery,,between 44th - 45th St,10018,
Starbucks ,Food & Drink,Quick-Serve Eatery,212 687 1026  ,between 44th - 45th St,10018,"545 Fifth Ave
"
Cohen's Fashion Optical ,Pers. & Prof. Services,Optical/Eyewear,212-697-0915,between 44th - 45th St,10018,"545 Fifth Ave
"
Michael C. Fina ,Misc. Retail,Home Furnishings,212 557 2500 ,between 44th - 45th St,10018,"545 Fifth Ave
"
Safra National Bank,Financial Services,Full-Service Branch,212-768-2106,between 45th - 46th St,10018,"546 Fifth Ave
"
Sovereign Bank,Financial Services,Full-Service Branch,212-656-9963,between 45th - 46th St,10018,"550 Fifth Ave
"
Smiler's ,Food & Drink,Quick-Serve Eatery,212-840-6580,between 45th - 46th St ,10018,"554 Fifth Ave
"
Cute Souvenirs,Misc. Retail,Gifts/Souvenirs,,between 45th - 46th St,10018,
Niletti,AA&F,"Acc., Jewelry & Watches",212-719-1123,between 45th - 46th St,10018,"560 Fifth Ave
"
The New York Look,AA&F,Women's Apparel,212-297-0946,between 45th - 46th St,10018,"551 Fifth Ave
"
Morellato,AA&F,"Acc., Jewelry & Watches",212-682-8710,between 45th - 46th St,10018,"551 Fifth Ave
"
DePicciotto Jewelers,AA&F,"Acc., Jewelry & Watches",212-949-7421,between 45th - 46th St ,10018,"555 Fifth Ave
"
Barnes & Noble ,Misc. Retail,Bookstore,212-697-3048,between 45th - 46th St,10018,"555 Fifth Ave
"
Granduca,Food & Drink,Restaurant,212-213-9167,between 5th and Madison,10016,
Chado,Food & Drink,Restaurant,212-689-8040,,10016,
Toledo,Food & Drink,Restaurant,,,10016,
Galway Hooker Pub ,Food & Drink,Restaurant,212-725-2353,,10016,
Slattery's Midtown Pub,Food & Drink,Bars & Lounges,212-683-6444,,10016,
Vacant,Vacant,Vacant,,,10016,
Swift Copy Printing,Pers. & Prof. Services,Printing/Shipping,212-683-0065,,10016,
The Ginger Man,Food & Drink,Restaurant,212-532-3740,,10016,
The Archive,Food & Drink,Bars & Lounges,212-213-0093,,10016,
Mondello,Food & Drink,Quick-Serve Eatery,212-684-2411,,10016,
Hair & Beyond,Pers. & Prof. Services,Hair Salon,212-448-1192,,10016,
Vacant,Vacant,Vacant,212-328-2001,,10016,
Vacant,Vacant,Vacant,,on 38th St,10016,"417 Fifth Ave
"
Vacant,Vacant,Vacant,,,10016,
38 Nail Studio,Pers. & Prof. Services,Nail Salon,212-889-1442,,10016,
Dynasty Tailors,Pers. & Prof. Services,Tailor,212-679-1075,,10016,
Vacant,Vacant,Vacant,,on 38th,10016,
Icon Parking,Parking,Parking Lots & Garages,,on 38th St,10016,"250 264 Madison Ave
"
Butterfield8,Food & Drink,Restaurant,212-679-0646,,10016,
Crown Trophy,Misc. Retail,Specialty Store,212-532-4500,,10016,
Japas 38,Food & Drink,Restaurant,212-679-4040,,10016,"9 38th St
"
Evergreen on 38,Food & Drink,Restaurant,212-448-1199,,10016,
BK Shoe Repair,Pers. & Prof. Services,Shoe Care/Repair,,,10016,
Vacant,Vacant,Vacant,,,,
Bergers,Food & Drink,Quick-Serve Eatery,212-719-4173,,10016,"2 39th St
"
The Berkshire Bank,Financial Services,Full-Service Branch,212-802-1000,,10016,"4 39th St
"
Empire Safe & Vault,Misc. Retail,Locksmith,212-684-2255,,10016,
Moulded Shoes,AA&F,Unisex Footwear,212-683-9389,,10001,"10 39th St
"
Heavenly Bamboo Restaurant,Food & Drink,Restaurant,212-684-2100,,10016,"10 39th St
"
Wood Tobe Coburn School,Other,School,,,10016,
Delgado Travel,Pers. & Prof. Services,Travel Services,,Second Floor,10016,"14 39th St
"
Inspirations ,Pers. & Prof. Services,Hair Salon,212-370-1400,,10017,
Oak Hill Graphics,Pers. & Prof. Services,Printing/Shipping,212-679-8689,,10016,
Café Bonjour ,Food & Drink,Quick-Serve Eatery,212-684-4040,,10016,
Monkeys,Pers. & Prof. Services,Locksmith,212-481-1224,on 39th St,10016,"265 Madison Ave
(40.29257402821462, -90.90973179699135)"
Icon Park,Parking,Parking Lots & Garages,212-986-9800,on 39th St ,10016,"261 Madison Ave
(40.29255558394334, -90.90973128465049)"
Icon Park,Parking,Parking Lots & Garages,,on 39th St ,10016,"90 Park Ave
"
Rapid Park,Parking,Parking Lots & Garages,,on 40th St.,10016,"99 Park Ave
"
Polaris Cleaners,Pers. & Prof. Services,Dry Cleaning,,on 40th St.,10016,"99 Park Ave
"
Salmon River,Food & Drink,Restaurant,212-682-8733,,10016,
Bistro Market Place,Food & Drink,Quick-Serve Eatery,212-841-7887,on 40th St.,10016,"90 Park Ave
"
Café Charlie,Food & Drink,Quick-Serve Eatery,212-391-0088,,10018,
Angel's Nail,Pers. & Prof. Services,Nail Salon,212-725-1420,,10016,
Art Gallery and Framing,Misc. Retail,Art & Photography Supplies,212-684-4300,,10016,
Fed Ex Office,Pers. & Prof. Services,Printing/Shipping,212-869-5263,,10016,"90 Park Ave
"
Jack's 99 Cents Store,Department Store,Department Store,212-490-5664,,10016,
Sterling National Bank,Financial Services,Full-Service Branch,212-696-5767,,10016,"622 Third Ave
"
Studio Hair Plus,Pers. & Prof. Services,Hair Salon,212-490-9821,,10017,
Fifth Avenue Epicure,Pers. & Prof. Services,Nail Salon,212-689-3255,,10016,
Photo Mission Ltd.,Misc. Retail,Art & Photography Supplies,212-683-4700,,10016,
Food Merchants,Food & Drink,Quick-Serve Eatery,212-972-8701,,10016,
Chemist Shop,Pers. & Prof. Services,Pharmacy,212-687-0005,,10016,
Park Madison Salon,Pers. & Prof. Services,Hair Salon,212-684-5125,,10016,
Allan's Florets,Misc. Retail,Florist,212-683-8176,,10016,
Concord Hair Design Studio,Pers. & Prof. Services,Hair Salon,212-213-8330,,10016,
Peter Dillon's ,Food & Drink,Bars & Lounges,212-532-0692,,10016,
Subway,Food & Drink,Quick-Serve Eatery,212-213-3998,,10016,
Sunrise Mart,Misc. Retail,Grocery Store,,,10017,
In Build-out,Vacant,In Build-out,,,10017,
Mai: Sushi My Way,Food & Drink,Quick-Serve Eatery,212-685-1410,,10017,
Café Zaiya,Food & Drink,Quick-Serve Eatery,212-400-8880,,10017,
O'Caseys,Food & Drink,Restaurant,212-779-0600,,10017,"22 41st St
"
Yagura Market,Food & Drink,Quick-Serve Eatery,212-685-6807,,10017,
Nails One,Pers. & Prof. Services,Nail Salon,212-679-3777,on 41st,10017,
