TYPE,APPROVAL STATUS,TRADE NAME,BUS NAME,MAILING OFFICE,MAIL CITY,State,Zip
LICENSE,DENIED,CORPORATE RECYCLING CORP.,CORPORATE RECYCLING CORP.,466 CARROLL STREET,BROOKLYN,NY,11215
CL.2-BROKER,APPROVED,CORPORATE WASTE SOLUTIONS OF LONG ISLAND CORP,CORPORATE WASTE SOLUTIONS OF LONG ISLAND CORP,PO BOX 590,EAST NORTHPORT,NY,11731
CL.2-EXEMPT,APPROVED,"CORZO CONTRACTING CO., INC.","CORZO CONTRACTING CO., INC.",78 RICHFIELD STREET,PLAINVIEW,NY,11803
CL.2-EXEMPT,APPROVED,COSMO INTERIOR & EXTERIOR CONSTRUCTION INC,COSMO INTERIOR & EXTERIOR CONSTRUCTION INC,90 - 15 77TH STREET,WOODHAVEN,NY,11421
CL.2-EXEMPT,APPROVED,COSMOS WASTE MANAGEMENT INC.,COSMOS WASTE MANAGEMENT INC.,166-08 69TH AVENUE,FRESH MEADOWS,N Y,11365
CL.2-EXEMPT,APPROVED,COUSINS CONTRACTING CORP.,COUSINS CONTRACTING CORP.,1100 EAST 156 STREET,BRONX,NY,10474
CL.2-EXEMPT,APPROVED,COVATI CONSTRUCTION CORP.,COVATI CONSTRUCTION CORP.,150-46 10TH AVENUE,WHITESTONE,NY,11357
CL.2-EXEMPT,APPROVED,"CPS CONTRACTING CO., INC.","CPS CONTRACTING CO., INC.",225 DELAWARE AVENUE,STATEN ISLAND,NY,10305
CL.2-EXEMPT,APPROVED,"CREATIVE LANDSCAPING BY COW BAY, INC.","CREATIVE LANDSCAPING BY COW BAY, INC.",104 HARBOR ROAD,PORT WASHINGTON,NY,11050
CL.2-EXEMPT,APPROVED,CRESCENT STREET CONSTRUCTION CORP.,CRESCENT STREET CONSTRUCTION CORP.,36-44 13TH STREET,LIC,NY,11106
LICENSE,DENIED,CREST CARTING CO. INC.,CREST CARTING CO. INC.,P.O. BOX 200073,BROOKLYN,NY,11220
CL.1,APPROVED,CRISTIAN W. MARTINEZ d/b/a C W M LANDSCAPING,CRISTIAN W. MARTINEZ d/b/a C W M LANDSCAPING,83 ROGER AVENUE,INWOOD,NY,11096
CL.1,APPROVED,C. DELGADO LANDSCAPING,CRISTOBAL DELGADO d/b/a C. DELGADO LANDSCAPING,94 SEA CLIFF AVE.,GLEN COVE,NY,11542
CL.2-EXEMPT,APPROVED,CROSS ATLANTIC INC.,CROSS ATLANTIC INC.,101 53RD STREET,BROOKLYN,NY,11232
CL.2-EXEMPT,APPROVED,CROSS COUNTRY CONSTRUCTION LLC,CROSS COUNTRY CONSTRUCTION LLC,3 WEST MAIN ST. #104,ELMSFORD,NY,10523
LICENSE,DENIED,RELIABLE SANITATION & DISPOSAL CO. INC.,CROSSTOWN RECYCLING INC,15 WESTPORT LANE,STATEN ISLAND,NY,10314
LICENSE,APPROVED,CROWN CONTAINER CO. INC.,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,NY,11803
LICENSE,APPROVED,CROWN WASTE CORP.,CROWN WASTE CORP,P.O. BOX 1133,BETHPAGE,NY,11714
CL.2-EXEMPT,APPROVED,CSL CONSTRUCTION LLC,CSL CONSTRUCTION LLC,320 41ST STREET APT. 1,UNION CITY,NJ,7087
CL.2-EXEMPT,APPROVED,CUENCA CORONEL TRUCKING INC.,CUENCA CORONEL TRUCKING INC.,275 NORTH 12TH STREET,NEWARK,NJ,7107
CL.2-EXEMPT,APPROVED,DIMOLA  BROS,CUSTOMLINE INC. d/b/a DiMOLA BROS.,1640 SUMMERFIELD STREET,RIDGEWOOD,NY,11385
CL.1,APPROVED,CUT RIGHT LANDSCAPING & CONSTRUCTION INC.,CUT RIGHT LANDSCAPING & CONSTRUCTION INC.,59 POMPEY AVENUE,STATEN ISLAND,NY,10312
CL.1,APPROVED,"CUTTING EDGE LANDSCAPING & LAWN MAINTENANCE, INC.","CUTTING EDGE LANDSCAPING & LAWN MAINTENANCE, INC.",371 SEAVER AVENUE,STATEN ISLAND,NY,10305
LICENSE,APPROVED,INDUSTRIAL CARTING,CUTTING ROOM RECYCLING CORP.,63 EMERSON PLACE,BROOKLYN,NY,11205
CL.2-EXEMPT,APPROVED,CV TRUCKING INC.,CV TRUCKING INC.,182 CALCUTTA STREET,NEWARK,NJ,7114
CL.2-EXEMPT,APPROVED,"CYBER-STRUCT GENERAL CONTRACTORS, INC.","CYBER-STRUCT GENERAL CONTRACTORS, INC.",5718 3RD AVENUE,BROOKLYN,NY,11220
CL.1,APPROVED,D & C CASTELLANO INC.,D & C CASTELLANO INC.,2317 AVENUE K,BROOKLYN,NY,11210
CL.2-EXEMPT,DENIED,D & D MASON CONTRACTORS INC.,D & D MASON CONTRACTORS INC.,158 11  96 STREET,HOWARD BEACH,NY,11414
CL.2-EXEMPT,DENIED,D & E TOP SOIL & TRUCKING INC.,D & E TOP SOIL & TRUCKING INC.,66-01 BURNS STREET,FOREST HILLS,NY,11374
CL.2-EXEMPT,APPROVED,D & G DEMOLITION & CARTING INC.,D & G DEMOLITION & CARTING INC.,780 EAST 135TH STREET,BRONX,NY,10454
CL.2-EXEMPT,APPROVED,D & G NY CONTRACTING CORP.,D & G NY CONTRACTING CORP.,135-39 SUTTER AVENUE,SOUTH OZONE PARK,NY,11420
LICENSE,APPROVED,"D & N SERVICES, INC.","D & N SERVICES, INC.",25-54 14TH STREET,ASTORIA,NY,11102
CL.2-BROKER,APPROVED,D B M WASTE SYSTEMS INC,D B M WASTE SYSTEMS INC,P O BOX 260412,BELLEROSE,NY,11426
CL.2-EXEMPT,APPROVED,DEMA MAINTENANCE,D J DEMA PAINTING CORP,232-18 88TH AVENUE,QUEENS VILLAGE,NY,11427
CL.2-EXEMPT,APPROVED,D P CONSULTING CORP,D P CONSULTING CORP,303 FIFTH AVENUE STE 603,NEW YORK,NY,10016
CL.1,APPROVED,D' THE ROSE LANDSCAPING,D' THE ROSE LANDSCAPING,P.O. BOX 506,BRONX,NY,10452
CL.2-EXEMPT,APPROVED,D&B COUSINS CONSTRUCTION CORP.,D&B COUSINS CONSTRUCTION CORP.,525 MAIN STREET,WESTBURY,NY,11590
LICENSE,APPROVED,D&D CARTING CO. INC.,D&D CARTING CO. INC.,P.O BOX 307,LAWRENCE,NY,11559
CL.1,APPROVED,D&D LANDSCAPING INC,D&D LANDSCAPING INC,2066 HOMECREST AVENUE,BROOKLYN,NY,11229
CL.2-EXEMPT,APPROVED,D&M CONCRETE INC.,D&M CONCRETE INC.,30 MEADOW LANE,GLEN HEAD,NY,11545
CL.2-EXEMPT,APPROVED,D. A. J. ENTERPRISES LLC,D. A. J. ENTERPRISES LLC,146 BAY 53RD STREET,BROOKLYN,NY,11214
LICENSE,APPROVED,D. DANIELS CONTRACTING LTD.,D. DANIELS CONTRACTING LTD.,32 GATES AVENUE,INWOOD,NY,11096
CL.2-EXEMPT,APPROVED,D. F. NEW YORK INC.,D. F. NEW YORK INC.,135-50 ROOSEVELT 1610,FLUSHING,NY,11354
CL.2-EXEMPT,APPROVED,"D. NATALE MASONRY CONTRACTING, INC.","D. NATALE MASONRY CONTRACTING, INC.",53 RENE DRIVE,STATEN ISLAND,NY,10306
CL.2-EXEMPT,APPROVED,D. PINO TRUCKING CORP.,D. PINO TRUCKING CORP.,P.O. BOX 680,YONKERS,NY,10710
CL.2-EXEMPT,APPROVED,D.B.  DEMOLITION INC.,D.B.  DEMOLITION INC.,129 LOUISIANA AVENUE,BROOKLYN,NY,11207
CL.2-EXEMPT,APPROVED,"D.B.O.W., II, INC.","D.B.O.W., II, INC.",440 MIDDLE ISLAND YAPHANK RD.,YAPHANK,NY,11980
LICENSE,DENIED,D.V. CARTING CO. INC.,D.V. CARTING CO. INC.,1379 UTICA AVENUE,BROOKLYN,NY,11203
CL.1,APPROVED,D.W.V. LANDSCAPE DESIGN INC.,D.W.V. LANDSCAPE DESIGN INC.,297 ABINGDON AVE,STATEN ISLAND,NY,10308
CL.2-EXEMPT,APPROVED,DA SILVA CONSTRUCTION INC.,DA SILVA CONSTRUCTION INC.,355  IVY AVENUE,WESTBURY,NY,11590
CL.1,APPROVED,IANNI LANDSCAPING,DAFV LANDSCAPING CORP.,2414 EAST 11ST,BROOKLYN,NY,11235
CL.1,APPROVED,DAHILL LANDSCAPING & DESIGN CORP.,DAHILL LANDSCAPING & DESIGN CORP.,15 WYNDHAM LANE,HOLBROOK,NY,11741
LICENSE,APPROVED,DALY PICK-UP INC.,DALY PICK-UP INC.,735 57TH STREET,BROOKLYN,NY,11220
CL.1,APPROVED,DELL'OLIO LANDSCAPING AND GARDENING,DAMIANO DELL'OLIO D.B.A. DELL'OLIO LANDSCAPING AND GARDENING,54 GREELEY AVENUE,STATEN ISLAND,NY,10306
CL.2-EXEMPT,APPROVED,"D'AMICO CONSTRUCTION, INC.","D'AMICO CONSTRUCTION, INC.",151-26 6TH ROAD,WHITESTONE,NY,11357
CL.1,APPROVED,"DAN FORTE LANDSCAPING, LLC","DAN FORTE LANDSCAPING, LLC",8 CAYUGA AVE.,STATEN ISLAND,NY,10301
CL.2-EXEMPT,APPROVED,DAN O'S MATERIALS LLC.,DAN O'S MATERIALS LLC.,31 FIELEK TERRACE,PARLIN,NJ,8859
CL.2-EXEMPT,APPROVED,"DANA CONTRACTING, INC.","DANA CONTRACTING, INC.",114-15  149  AVENUE,SOUTH OZONE PARK,NY,11420
CL.1,APPROVED,J.D.A. LAWN SERVICE,DANIEL BIVONA d/b/a J.D.A. LAWN SERVICE,234 CLEVELAND AVENUE,STATEN ISLAND,NY,10308
CL.2-EXEMPT,APPROVED,DANIEL FINLEY ALLEN & CO INC.,DANIEL FINLEY ALLEN & CO INC.,114 SYLVESTER STREET,WESTBURY,NY,11590
CL.1,APPROVED,DANIEL MOLINA d/b/a DANIEL MOLINA LANDSCAPING,DANIEL MOLINA d/b/a DANIEL MOLINA LANDSCAPING,5944 159TH STREET,FRESH MEADOWS,NY,11365
LICENSE,APPROVED,DANIELLO CARTING CO.,DANIELLO CARTING CO.,625  WHITTIER STREET,BRONX,NY,10474
LICENSE,APPROVED,"DANIELS SHARPSMART, INC.","DANIELS SHARPSMART, INC.",135 S. LASALLE STREET SUITE 2850,CHICAGO,IL,60603
CL.2-EXEMPT,APPROVED,DANNY FORTE INC.,DANNY FORTE INC.,475 GOWER ST,STATEN ISLAND,NY,10314
LICENSE,APPROVED,DARLING INTERNATIONAL INC.,DARLING INTERNATIONAL INC,825 WILSON AVENUE,NEWARK,NJ,7105
CL.2-EXEMPT,APPROVED,"DARTOM CONSTRUCTION, LLC","DARTOM CONSTRUCTION, LLC",28 - 44 BORDEN AVENUE,LONG ISLAND CITY,NY,11101
CL.2-EXEMPT,APPROVED,DASO DEVELOPMENT CORP.,DASO DEVELOPMENT CORP.,1735 W. FARMS ROAD,BRONX,NY,10460
CL.2-EXEMPT,APPROVED,DATTOLI LANDSCAPING CO.,DATTOLI CONSTRUCTION CORP.,11 ROMAN AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,DAVE & KEV CONSTRUCTION INC.,DAVE & KEV CONSTRUCTION INC.,545-547 CLASSON AVE,BROOKLYN,NY,11216
CL.1,APPROVED,DAVID KERR D/B/A DAVE'S LANDSCAPING,DAVID KERR D/B/A DAVE'S LANDSCAPING,94-28 133RD AVE,OOZONE PARK,NY,11417
CL.2-EXEMPT,APPROVED,DAVID SANTONI GARBAGE REMOVAL Y DELIVERY,DAVID SANTONI GARBAGE REMOVAL Y DELIVERY,"1184 EVERGREEN AVE, APT 2H",BRONX,NY,10472
CL.2-EXEMPT,APPROVED,"DAVID SHANNON FLORIST, INC.","DAVID SHANNON FLORIST, INC.",3380 FORT HAMILTON PARKWAY,BROOKLYN,NY,11218
LICENSE,APPROVED,DAVID ZUIDEMA INC,DAVID ZUIDEMA INC,90 MIDLAND AVE,MIDLAND PARK,NJ,7432
CL.2-EXEMPT,APPROVED,DAVID'S CONSTRUCTION AND HOME IMPROVEMENT CORP,DAVID'S CONSTRUCTION AND HOME IMPROVEMENT CORP,130-42 VAN WYCK EXPRESSWAY,SOUTH OZONE PARK,NY,11420
CL.2-EXEMPT,APPROVED,DAVIS BROTHERS INDUSTRIES INC,DAVIS BROTHERS INDUSTRIES INC,107 RAYMOND PLACE,STATEN ISLAND,NY,10310
CL.2-EXEMPT,APPROVED,DAWN TRUCKING INC.,DAWN TRUCKING INC.,194-19 115 AVENUE,ST ALBANS,NY,11412
CL.2-EXEMPT,APPROVED,D-BEST EQUIPMENT CORP,D-BEST EQUIPMENT CORP,63 MEACHAM AVENUE,ELMONT,NY,11003
CL.2-EXEMPT,DENIED,"DC  DEMOLITION, INC.","DC  DEMOLITION, INC.",1319 70TH STREET,BROOKLYN,NY,11228
LICENSE,DENIED,DE COSTOLE CARTING INC.,DE COSTOLE CARTING INC.,1481 TROY AVENUE,BROOKLYN,NY,11203
CL.2-EXEMPT,APPROVED,DE PINO TRANSPORTATION INC.,DE PINO TRANSPORTATION INC.,P.O. BOX 680,YONKERS,NY,10710
CL.2-EXEMPT,APPROVED,DEAR'S CONSTRUCTION INC.,DEAR'S CONSTRUCTION INC.,58 GRAVES STREET,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,DE-BAR CONTRACTING CO INC,DE-BAR CONTRACTING CO INC,133 GRANITE AVENUE,STATEN ISLAND,NY,10303
CL.2-EXEMPT,APPROVED,DECKER BROS. LLC,DECKER BROS. LLC,482 WILSON AVE,STATEN ISLAND,NY,10312
LICENSE,DENIED,DECOSTELLO CARTING,DECOSTELLO CARTING,1042 73RD STREET,BROOKLYN,NY,11228
CL.2-EXEMPT,DENIED,"DECOSTOLE CARTING, INC.","DECOSTOLE CARTING, INC.",1481 TROY AVENUE,BROOKLYN,NY,11003
LICENSE,APPROVED,DEDICATED JUNK TEAM LLC,DEDICATED JUNK TEAM LLC,74-16 65TH STREET,GLENDALE,NY,11385
CL.2-EXEMPT,APPROVED,DEDONA CONTRACTORS CORP.,DEDONA CONTRACTING CORP.,2500 WATERBURY AVENUE,BRONX,NY,10462
CL.2-EXEMPT,APPROVED,DEER PARK RECYCLING INC.,DEER PARK RECYCLING INC.,51 KINKEL STREET,WESTBURY,NY,11590
CL.2-EXEMPT,APPROVED,DEFOE CORP.,DEFOE CORP.,800 SOUTH COLUMBUS AVENUE,MOUNT VERNON,NY,10550
CL.2-EXEMPT,APPROVED,DEL HEN TRUCKING INC,DEL HEN TRUCKING INC,P.O.BOX. 740513,BRONX,NY,10474
CL.2-EXEMPT,APPROVED,DELIDAKIS CONSTRUCTION CO. INC.,DELIDAKIS CONSTRUCTION CO. INC.,118 15TH STREET,BROOKLYN,NY,11215
CL.2-EXEMPT,APPROVED,"DELTA DEMO OF NEW YORK, INC.","DELTA DEMO OF NEW YORK, INC.",71-22 CALAMUS AVE,WOODSIDE,NY,11377
CL.1,APPROVED,DELUCA LANDSCAPING INC.,DELUCA LANDSCAPING INC.,5021 AMBOY RD,STATEN ISLAND,NY,10312
CL.2-EXEMPT,DENIED,DEMO BUSTER HAULAGE INC.,DEMO BUSTER HAULAGE INC.,PO BOX 66,BROOKLYN,NY,11719
CL.2-EXEMPT,APPROVED,DEMO EQUIPMENT CORP.,DEMO EQUIPMENT CORP.,54-30 48TH STREET  SUITE 3,MASPETH,NY,11378
CL.2-EXEMPT,DENIED,DEMO SERVICES,"DEMO SERVICES, INC.",337 CHELSEA ROAD,STATEN ISLAND,NY,10314
CL.1,APPROVED,GREEN LAWN PROPERTY MANAGEMENT,DENNIS E. MARTINEZ-ALVARENGA DBA GREEN LAWN PROPERTY MANAGEMENT,102 ROGER AVENUE,INWOOD,NY,11096
CL.2-EXEMPT,APPROVED,DEPENDABLE POOL CONSTRUCTION INC,DEPENDABLE POOL CONSTRUCTION INC,141 INDUSTRAIL LOOP,STATEN ISLAND,NY,10309
CL.2-EXEMPT,APPROVED,DEPENDABLE SCRAP CO. INC.,DEPENDABLE SCRAP CO. INC.,57 35 FLUSHING AVENUE,MASPETH,NY,11378
CL.2-EXEMPT,APPROVED,MID ISLAND ENTERPRISES,DEPOSITS ONLY INC d/p/a MID ISLAND ENTERPRISES,3425 HAMPTON RD,OCEANSIDE,NY,11572
CL.2-EXEMPT,APPROVED,DERMODY CONTRACTING INC.,DERMODY CONTRACTING INC.,26-35 202ND STREET,BAYSIDE,NY,11361
CL.1,APPROVED,DESANTO LANDSCAPING & GARDENING INC.,DESANTO LANDSCAPING & GARDENING INC.,1958 70 STREET,BROOKLYN,NY,11204
CL.2-EXEMPT,APPROVED,DGA MILLENIUM WHOLESALE CORP.,DGA MILLENIUM WHOLESALE CORP.,36-34 35TH STREET,LONG ISLAND CITY,NY,11106
CL.2-EXEMPT,APPROVED,DI TRUCKING LLC,DI TRUCKING LLC,"110 JABEZ STREET, SUITE 231",NEWARK,NJ,7105
LICENSE,APPROVED,"DIAG EXPRESS TRUCKING, LLC.","DIAG EXPRESS TRUCKING, LLC.",201  VARICK STREET SUITE 105,NEW YORK,NY,10014
CL.2-EXEMPT,APPROVED,D & D ENTERPRISES,DILLON BENNETT D.B.A. D & D ENTERPRISES,297 OCEAN AVENUE APT#5B,BROOKLYN,NY,11225
CL.2-EXEMPT,APPROVED,"DIMITRI ENTERPRISES, INC. DBA DEI","DIMITRI ENTERPRISES, INC. DBA DEI",135 58TH STREET,BROOKLYN,NY,11220
CL.2-EXEMPT,APPROVED,DINEEN CONSTRUCTION CORP.,DINEEN CONSTRUCTION CORP.,389 9 STREET,BROOKLYN,NY,11215
CL.2-EXEMPT,APPROVED,DINO GENERAL CONTRACTING,"DINO ROOFING & CONSTRUCTION, INC",450 VICTORY BLVD,STATEN ISLAND,NY,10301
CL.2-EXEMPT,APPROVED,DISALVO TRUCKING INC,DISALVO TRUCKING INC,24-39 169TH STREET,WHITESTONE,NY,11357
CL.2-EXEMPT,APPROVED,DISANO DEMOLITION CO INC,DISANO DEMOLITION CO INC,14 POINT CRESCENT,WHITESTONE,NY,11357
CL.2-EXEMPT,APPROVED,DISANO TRUCKING INC.,DISANO TRUCKING INC.,31-07 FARRINGTON STREET,FLUSHING,NY,11354
CL.2-EXEMPT,APPROVED,DISANTO & FAMILY CONSTRUCTION CORP.,DISANTO & FAMILY CONSTRUCTION CORP.,253 ROCKAWAY TURNPIKE,LAWRENCE,NY,11559
CL.2-BROKER,APPROVED,DRM WASTE MANAGEMENT,"DISCOVERY REFUSE MANAGEMENT, INC.",P.O. BOX 659,FORKED RIVER,NJ,8731
CL.2-EXEMPT,APPROVED,DITTA MALITO & SON CONTRACTING INC.,DITTA MALITO & SON CONTRACTING INC.,1405 73RD STREET,BROOKLYN,NY,11228
CL.2-EXEMPT,APPROVED,DITTA MALITO CONTRACTING INC.,DITTA MALITO CONTRACTING INC.,31 LANSING ST.,STATEN ISLAND,NY,10305
CL.2-EXEMPT,APPROVED,DIVERSIFIED CARTING INC.,DIVERSIFIED CARTING INC.,28 GARFIELD AVENUE,BAYSHORE,NY,11706
CL.1,APPROVED,DNA LANDSCAPE DESIGN LLC,DNA LANDSCAPE DESIGN LLC,P.O. BOX 140029,STATEN ISLAND,NY,10314
CL.1,APPROVED,"DNJ LANDSCAPING, INC.","DNJ LANDSCAPING, INC.",433 SKYLINE DRIVE,STATEN ISLAND,NY,10304
CL.1,APPROVED,DOMENICO DELLA PASQUA,DOMENICO DELLA PASQUA,1772 78 STREET,BROOKLYN,NY,11214
CL.1,APPROVED,DOMINGO PEDRO LANDSCAPING CONTRACTING,DOMINGO PEDRO LANDSCAPING CONTRACTING,146 FULTON STREET,STATEN ISLAND,NY,10304
CL.2-EXEMPT,APPROVED,DOMINICK SIANO GENERAL CONTRACTING INC.,DOMINICK SIANO GENERAL CONTRACTING INC.,186 CONSELYEA STREET,BROOKLYN,NY,11211
CL.1,APPROVED,D&L LAWN SERVICES,DONALD FRANCOMANO d/b/a  D& L LAWN SERVICES,5 TUDOR STREET,STATEN ISLAND,NY,10308
CL.1,APPROVED,,DONHAUSER LAND SERVICES INC.,71-01 ASTORIA BLVD.,EAST ELMHURST,NY,11370
CL.1,APPROVED,DORATO LANDSCAPING CORP.,DORATO LANDSCAPING CORP.,18 LAKE AVENUE,HAZLET,NJ,7730
CL.2-EXEMPT,APPROVED,"DORMAR CONSTRUCTION CO., INC.""","DORMAR CONSTRUCTION CO., INC.""",48 PASTURE LANE,ROSLYN HEIGHTS,NY,11577
CL.2-EXEMPT,APPROVED,DOUBLE A CONTRACTING INC.,DOUBLE A CONTRACTING INC.,78 SADLER ROAD,BLOOMFIELD,NJ,7003
LICENSE,APPROVED,DOUBLE N EQUIPMENT RENTAL CORP.,DOUBLE N EQUIPMENT RENTAL CORP.,84-22 GRAND AVENUE,ELMHURST,NY,11373
CL.2-EXEMPT,APPROVED,DOUBLE NICKEL CONTRACTING INC.,DOUBLE NICKEL CONTRACTING INC.,3 TERRELL LANE,HICKSVILLE,NY,11801
CL.1,APPROVED,DOUGLAS RAMOS LANDSCAPING,DOUGLAS RAMOS d/b/a DOUGLAS RAMOS LANDSCAPING,147-15 NORTHERN BLVD 3P,FLUSHING,NY,11355
LICENSE,DENIED,DOWNTOWN CARTING CORP.,DOWNTOWN CARTING CORP.,3 TROTTER PLACE,MARLBORO,NJ,7746
LICENSE,DENIED,DOWNTOWN ENVIROMENTAL RECYCLING INC.,DOWNTOWN ENVIROMENTAL RECYCLING INC.,3 TROTTER PLACE,MARLBORO,NJ,7746
LICENSE,APPROVED,DP TRANSPORT d/b/a VETERINARY MEDICAL WASTE SERVICES,DP TRANSPORT d/b/a VETERINARY MEDICAL WASTE SERVICES,164 CABOT STREET,WEST BABYLON,NY,11704
CL.1,APPROVED,DRAGONETTI BROTHERS LANDSCAPE NURSERY & FLORIST INC.,DRAGONETTI BROTHERS LANDSCAPE NURSERY & FLORIST INC.,129 LOUISIANA AVENUE,BROOKLYN,NY,11207
LICENSE,DENIED,DUFFY DISPOSAL CO. INC.,DUFFY DISPOSAL CO. INC.,459 WEST 19 STREET,NEW YORK,NY,10011
LICENSE,DENIED,DUFFY WASTE & RECYCLING CORP.,DUFFY WASTE & RECYCLING CORP.,459 WEST 19 STREET,NEW YORK,NY,10011
CL.2-EXEMPT,APPROVED,DUKES READY MIX CORP.,DUKES READY MIX CORP.,2585 S. SEAMANS NECK RD.,SEAFORD,NY,11783
CL.2-EXEMPT,APPROVED,DUMPIN LOADZ INC.,DUMPIN LOADZ INC.,8 INLET DRIVE,LINDENHURST,NY,11757
LICENSE,APPROVED,DUN-RITE RUBBISH REMOVAL INC.,DUN-RITE RUBBISH REMOVAL INC.,9 PROSPECT PARK WEST,BROOKLYN,NY,11215
CL.1,APPROVED,DUQUE LANDSCAPING CORP,DUQUE LANDSCAPING CORP,718 NORTHERN PKWY,UNIONDALE,NY,11553
CL.2-EXEMPT,APPROVED,DUTCHESS EQUIPMENT LEASING INC.,DUTCHESS EQUIPMENT LEASING INC,4 DELAVERGNE AVENUE,WAPPINGER FALLS,NY,12590
LICENSE,APPROVED,DUVERGE SCRAP & METAL REMOVAL INC.,DUVERGE SCRAP & METAL REMOVAL INC.,3416 OLINVILLE AVENUE PH,BRONX,NY,10467
CL.2-EXEMPT,APPROVED,DWIP CORP.,DWIP CORP.,285 5TH AVENUE SUITE 437,BROOKLYN,NY,11215
LICENSE,DENIED,DYNAMIC RUBBISH REMOVAL INC.,DYNAMIC RUBBISH REMOVAL INC.,PO BOX 2671,HUNTINGTON STATION,NY,11746
CL.2-EXEMPT,APPROVED,DZEVAT ABDULOVSKI d/b/a JACK'S MASONRY CONTRACTOR,DZEVAT ABDULOVSKI d/b/a JACK'S MASONRY CONTRACTOR,795 KLONDIKE AVENUE,STATEN ISLAND,NY,10314
CL.2-EXEMPT,APPROVED,E - THREE DEMOLITION INC.,E - THREE DEMOLITION INC.,2435 FENTON AVENUE,BRONX,NY,10469
CL.2-EXEMPT,APPROVED,"E & M RESTORATION & GENERAL CONTRACING, INC.","E & M RESTORATION & GENERAL CONTRACING, INC.","48-16 70TH STREET, 2ND FLOOR",WOODSIDE,NY,11377
CL.2-EXEMPT,APPROVED,E & S TRUCKING INC.,E & S TRUCKING INC.,145-33 231ST STREET,ROSEDALE,NY,11413
CL.1,APPROVED,E. RIVAS ENTERPRISES LLC,E. RIVAS ENTERPRISES LLC,266 -16 BRIDGEWATER AVE,FLORAL PARK,NY,11004
CL.1,APPROVED,"E.C. LANDSCAPE, LLC","E.C. LANDSCAPE, LLC",252 PACIFIC AVE,LAWRENCE,NY,11559
CL.2-EXEMPT,APPROVED,E.C.C.O. III ENTERPRISES INC.,E.C.C.O. III ENTERPRISES INC.,201 SAW MILL RIVER ROAD,YONKERS,NY,10701
CL.1,APPROVED,"E.G. PLASTICS, LLC.","E.G. PLASTICS, LLC.",116 39TH STREET,BROOKLYN,NY,11232
CL.1,APPROVED,"E.T. LANDSCAPING OF S.I., INC.","E.T. LANDSCAPING OF S.I., INC.",PO BOX 50093,STATEN ISLAND,NY,10305
CL.2-EXEMPT,DENIED,EAGLE RUBBISH REMOVAL,EAGLE RUBBISH REMOVAL,748    49 STREET,BROOKLYN,NY,11220
LICENSE,APPROVED,"EAST COAST CARTING SERVICES, INC.","EAST COAST CARTING SERVICES, INC.",P.O.BOX 2501 PETER STUYVESANT TATION,NEW YORK,NY,10009
CL.2-EXEMPT,DENIED,EAST COAST DEMOLTION,EAST COAST DEMOLITION,74 GEORGIA AVENUE,BROOKLYN,NY,11207
CL.2-EXEMPT,APPROVED,EASTERN RENTAL CORP.,EASTERN RENTAL CORP.,109 STATE ST.,WESTBURY,NY,11590
CL.2-EXEMPT,DENIED,BIG R TRUCKING,EDCIA CORPORATION,1 PRESTWOULD COURT,MARLTON,NJ,8053
CL.1,APPROVED,EDGAR ULLOA D.B.A. EDGAR'S LANDSCAPING,EDGAR ULLOA D.B.A. EDGAR'S LANDSCAPING,22 PROVANZANO ST,INWOOD,NY,11096
CL.1,APPROVED,ED UMANZOR LANDSCAPING,EDGARDO UMANZOR d/b/a ED UMANZOR LANDSCAPING,59 CUNNINGHAM AVE.,UNIONDALE,NY,11553
CL.1,APPROVED,"EDGEWATER PARK OWNERS COOPERATIVE, INC.","EDGEWATER PARK OWNERS COOPERATIVE, INC.",1 CENTRE EDGEWATER PARK,BRONX,NY,10465
CL.1,APPROVED,TAMBASCO LANDSCAPING,EDSON TAMBASCO,33 CHESEBROUGH STREET,STATEN ISLAND,NY,10312
CL.2-EXEMPT,APPROVED,"EDWARD BURKE CONTRACTING, INC.","EDWARD BURKE CONTRACTING, INC.",20702 NORTHERN BOULEVARD,FLUSHING,NY,11361
CL.1,APPROVED,EDWARD JAVORA LANDSCAPING & DESIGNING,EDWARD JAVORA LANDSCAPING & DESIGNING,149 40 18 AVENUE,WHITESTONE,NY,11357
CL.1,APPROVED,EDWARD P. CANTOR DBA E. LANDSCAPING,EDWARD P. CANTOR DBA E. LANDSCAPING,280 SHERIDAN BLVD.,INWOOD,NY,11096
CL.1,APPROVED,EFRAIN PEREZ FUENTES D.B.A. FUENTES LANDSCAPING,EFRAIN PEREZ FUENTES D.B.A. FUENTES LANDSCAPING,8907 169TH STREET APT. 1H,JAMAICA,NY,11432
CL.1,APPROVED,,EGER LANDSCAPING INC.,45-65 OCEANIA STREET,BAYSIDE,NY,11361
CL.2-EXEMPT,APPROVED,EL CAMINO TRUCKING CORPORATION,EL CAMINO TRUCKING CORPORATION,150 EXETER STREET,STATEN ISLAND,NY,10308
CL.2-EXEMPT,APPROVED,EL GATO TRUCKING CORP,EL GATO TRUCKING CORP,1994 CLINTON AVE #B,BRONX,NY,10457
