PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,School for Democracy and Leadership,Brooklyn,Brooklyn College Arts Lab,(718) 287-2600, High School,"600 Kingston Avenue
Brooklyn, NEW YORK 11226
(40.65842083126725, -73.94242794666333)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Metropolitan Diploma Plus High School (K647),Brooklyn,"Brooklyn Housing & Family Services, Inc.",(718) 287-2600, High School,"985 ROCKAWAY AVENUE
Brooklyn, NEW YORK 11226
(40.656451255408264, -73.90732282830548)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,The Children's Art Carnival,New York,"Brooklyn Housing & Family Services, Inc.",(212) 234-4093, High School,"62 Hamilton Terrace
New York, NEW YORK 10031
(40.82332310874716, -73.94609482307175)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,PS 173,New York,Brooklyn Housing & Family Services,(212) 923-7766, High School,"306 Fort Washington Avenue
New York, NEW YORK 10033
(40.84561730185351, -73.94042010106682)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,High School for Dual Language and Asian Studies,New York,"Brooklyn Housing & Family Services, Inc.",(212) 941-0920, High School,"350 Grand Street
New York, NEW YORK 10012
(40.716852373698316, -73.98959502962896)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,CPC Queens Branch Office,Queens,"Brooklyn Housing & Family Services, Inc.",(212) 941-0920, High School,"136 18 39th Ave
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Citizens Advice Bureau,Bronx,"Brooklyn Housing & Family Services, Inc.",(718) 293-0727, High School,"1130 Grand
Bronx, NEW YORK 10453
(40.852786838341956, -73.91342678431863)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,August Martin High School,Queens,"Brooklyn Housing & Family Services, Inc.",(718) 523-6868, High School,"156 10 Baisley Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Community Mediation Services,Queens,Brooklyn Housing & Family Services,(718) 523-6868, High School,"89 64 163rd Street
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Far Rockaway High School,Queens,CAMBA Adult Literacy Center,(718) 523-6868, High School,"821 Beach 25 Street
Queens, NEW YORK 11691
(40.60149950403276, -73.76267972395415)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,CAMBA Adult Literacy Center,(718) 377-2900, High School,"1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61969757437525, -73.96431415429318)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,The Urban Assembly School for Law and Justice,Brooklyn,School for Democracy and Leadership,(212) 362-4020, High School,"283 Adams Street
Brooklyn, NEW YORK 11201
(40.6949894054037, -73.98858815746328)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Youth Opportunity Center,Bronx,Metropolitan Diploma Plus High School (K647),(212) 366-8531, High School,"412 147th Street
Bronx, NEW YORK 10455
(40.81448730256519, -73.91817521800282)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524),Brooklyn,Park Slope Women's Shelter,(212) 226-2116, High School,"883 CLASSON AVENUE
Brooklyn, NEW YORK 11225
(40.67045865769921, -73.96162827573441)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Harlem RBI,New York,CAMBA Healthy Families,(212) 722-1608, High School,"1948 First Ave
New York, NEW YORK 10029
(40.78640079306385, -73.94237167608117)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Henry Street Settlement's Helen Hall Youth Center,New York,CCCS South Bronx Center,(212) 766-9200, High School,"301 Henry Street
New York, NEW YORK 10002
(40.71399949305981, -73.98339877304709)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Grace Dodge Technical High School,Bronx,"Lt. Joseph P. Kennedy, Jr. Memorial Community Center",(212) 575-7681, High School,"2474 Crotona Avenue
Bronx, NEW YORK 10458
(40.85598037390898, -73.88255350719163)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Rice High School,New York,St. Cecilias R.C. Church,(212) 575-7681, High School,"74 124th
New York, NEW YORK 10027
(40.80666728501622, -73.94502937839532)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Jacob Riis Neighborhood Settlement House,Queens,Staten Island Community Center,(718) 784-7447, High School,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.74570244980828, -73.93866902925225)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Kingsbridge Heights Community Center,Bronx,Project Bridge,(718) 884-0700, High School,"3101 Kingsbridge Terrace
Bronx, NEW YORK 10463
(40.877585488561785, -73.90026905620573)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Mount Hope Community Center,Bronx,Dr. White Community Center,(718) 446-3600, High School,"55 175th Street
Bronx, NEW YORK 10453
(40.847312989377464, -73.91136475443619)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Jacobi Medical Center Nurses Residence/ NIDS Young Adult Center,Bronx,St. John The Baptist School,(718) 231-9800, High School,"1400 Pelham Parkway
Bronx, NEW YORK 10467
(40.8770479121315, -73.87153250082423)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,OBT Bushwick,Brooklyn,Project Bridge,(718) 369-0303, High School,"25 Thornton Street
Brooklyn, NEW YORK 11206
(40.70091258928835, -73.94390057487814)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,The Classic Center,Bronx,Center for the Integration and Advancement of New Americans,(212) 243-9090, High School,"286 156 Street
Bronx, NEW YORK 10451
(40.82187173099877, -73.91985340007419)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Voyagees Prepatory High School,Queens,Central Brooklyn Economic Development Corporation,(718) 592-5757, High School,
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL (K6,Brooklyn,The Children's Art Carnival,(718) 951-5015, High School,"145 PENNSYLVANIA AVENUE
Brooklyn, NEW YORK 11207
(40.67427105978777, -73.89645242892882)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507),Brooklyn,PS 173,(718) 951-5015, High School,"400 PENNSYLVANIA AVENUE
Brooklyn, NEW YORK 11210
(40.66758249616387, -73.89480852584767)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,PAUL ROBESON HIGH SCHOOL (K625),Brooklyn,Marble Hill Community Center,(718) 951-5015, High School,"150 ALBANY AVENUE
Brooklyn, NEW YORK 11213
(40.675468738365176, -73.93887526821858)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A CO,Brooklyn,High School for Dual Language and Asian Studies,(718) 951-5015, High School,"911 FLATBUSH AVENUE
Brooklyn, NEW YORK 11226
(40.649532936565414, -73.95845755993555)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL (X527),Bronx,CPC Queens Branch Office,(718) 665-2486, High School,"1100 BOSTON ROAD
Bronx, NEW YORK 10456
(40.82743805805522, -73.904676763458)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Sauti Yetu Center for African Women,Bronx,Citizens Advice Bureau,(718) 665-2486, High School,"2417 Third Avenue
Bronx, NEW YORK 10451
(40.80866870742841, -73.93066171207002)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,New Horizons Adullt Education Program,Brooklyn,Citizen,(718) 455-1166, High School,"75 lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,P.S. 503/506,Brooklyn,Citizens Advice Bureau,(718) 788-3500, High School,"330 59th Street
Brooklyn, NEW YORK 11220
(40.64220161479856, -74.0191758017247)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Bridges Juvenile Center,Bronx,Burnside Avenue Office,(718) 732-7523, High School,"1221 Spofford Avenue
Bronx, NEW YORK 10474
(40.81394468134922, -73.89064037308685)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Pan American International High School (PAIHS),Bronx,Citizens Advice Bureau,(718) 732-7523, High School,"1300 Boynton Avenue
Bronx, NEW YORK 10472
(40.831280981918596, -73.87881047207371)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY (X275),Bronx,Citizens Advice Bureau,(718) 732-7523, High School,"800 GUN HILL ROAD
Bronx, NEW YORK 10467
(40.875978648353474, -73.8621066953495)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,NEW YORK HARBOR SCHOOL (K551),Brooklyn,Citizens Advice,(212) 748-8594, High School,"400 IRVING AVENUE
Brooklyn, NEW YORK 11237
(40.69697946567666, -73.91084445466608)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,DeWitt,Bronx,Citizen,(718) 786-7110, High School,"100 Mosholu Parkway
Bronx, NEW YORK 10468
(40.88178360066122, -73.88672516295283)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,FREDERICK DOUGLASS ACADEMY (M499),New York,Citizens Advice,(347) 417-8122, High School,"2581 7 AVENUE
New York, NEW YORK 10039
(40.82438364705368, -73.93690714053237)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,St. Raymond Community Outreach,Bronx,Citizens Advice Bureau,(718) 824-0353, High School,"1720 Metropolitan Avenue
Bronx, NEW YORK 10462
(40.84055252060703, -73.85386559291338)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,I.S. 5 - THE WALTER CROWLEY INTERMEDIATE SCHOOL (Q005),Queens,August Martin High School,(718) 784-6173, High School,"50 40 JACOBUS STREET
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,The Child Center,Queens,Community Mediation Services,(718) 458-4243, High School,"115 15 Sutphin Blvd
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Manhattan Center for Science and Mathematics,New York,Far Rockaway High School,(212) 284-4587, High School,"280 Pleasant Avenue
New York, NEW YORK 10029
(40.79480422455373, -73.93330103742075)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Turning Point HDFC (Main Office),Brooklyn,Fredrick Douglas Academy VI High School,(718) 360-8166, High School,"5013 7th Avenue
Brooklyn, NEW YORK 11220
(40.64235365356344, -74.00596380753073)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,David Ruggles I.S. 258,Brooklyn,"Haber, Bernard Senior Houses",(718) 453-3330, High School,"141 Macon Street
Brooklyn, NEW YORK 11216
(40.681569834987634, -73.94559613967623)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,"Vannguard Urban Improvement Association, Inc.",Brooklyn,Gravesend Houses,(718) 453-3330, High School,"613 619 Throop Avenue
Brooklyn, NEW YORK 11216
(40.680758670876, -73.94926775090596)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,Variety Boys & Girls Club of Queens,Queens,O'Dwyer Gardens,(718) 728-0946, High School,"21 12 30th Road
Queens, NEW YORK 11102
(40.77152402451418, -73.92643545073543)"
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,YWCA of Queens,Queens,Manhattanville Houses Senior Center,(718) 353-4553, High School,"42 07 Parsons Blvd
Queens, NEW YORK 11355
(40.7512997969481, -73.82147854789662)"
"Family Support,NDA Programs",Housing,Agudath Isreal of America Community Services Inc.,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 435-1300,Adults,"4002 18th Avenue
Brooklyn, NEW YORK 11218
(40.63262749295582, -73.97325700013214)"
"Family Support,NDA Programs",Housing,Agudath Isreal of America Community Services Inc.,Brooklyn,Bridges Juvenile Center,(718) 435-1300,Adults,"4520 18th Avenue
Brooklyn, NEW YORK 11204
(40.63020611696117, -73.97835931750974)"
"Family Support,NDA Programs", Housing,AIDS Center of Queens County Jamaica Site,Queens,St. Luke A.M.E Church,(718) 896-2500,Adults,
"Family Support,NDA Programs", Housing,Aids Center of Queens County,Queens,International Tower for Seniors,(718) 896-2500,Adults,"1600 Central Avenue
Queens, NEW YORK 11691
(40.60526421293615, -73.75189171476596)"
"Family Support,NDA Programs", Housing,Astella Development Corporation,Brooklyn,Baisley Park Houses,(718) 266-4653,Adults,"1618 Mermaid Avenue
Brooklyn, NEW YORK 11224
(40.57669440227222, -73.98392108015646)"
"Family Support,NDA Programs", Housing,BCA Main Community Services Center,Brooklyn,South Jamaica Houses,(718) 438-0008,Adults,"5000 8th Ave
Brooklyn, NEW YORK 11220
(40.641104606526014, -74.0037599239347)"
"Family Support,NDA Programs", Housing,"Brooklyn Housing & Family Services, Inc.",Brooklyn,Cooper Square Committee,(718) 435-7585,Adults,"1281 Saint Johns Place
Brooklyn, NEW YORK 11213
(40.67086337854138, -73.9358398249695)"
"Family Support,NDA Programs", Housing,"Brooklyn Housing & Family Services, Inc.",Brooklyn,"Council of Jewish Orgainzations of Flatbush, Inc.",(718) 435-7585,Adults,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.64548060202624, -73.97668803303637)"
"Family Support,NDA Programs", Housing,Brooklyn Housing & Family Services,Brooklyn,"Council of Jewish Orgainzations of Flatbush, Inc.",(718) 435-7585,Adults,"130 Clarkson Avenue
Brooklyn, NEW YORK 11226
(40.65506083208495, -73.95545066497733)"
"Family Support,NDA Programs", Housing,"Brooklyn Housing & Family Services, Inc.",Brooklyn,"Council of Jewish Orgainzations of Flatbush, Inc.",(718) 435-7585,Adults,"415 Albemarle Road
Brooklyn, NEW YORK 11218
(40.64548060202624, -73.97668803303637)"
"Family Support,NDA Programs", Housing,Park Slope Women's Shelter,Brooklyn,"Council of Jewish Organization of Flatbush, Inc.",(718) 287-2600,Adults,"1402 8th Avenue
Brooklyn, NEW YORK 11215
(40.66272539519599, -73.98177254331561)"
"Family Support,NDA Programs", Housing,CCCS South Bronx Center,Bronx,"Council of Jewish Orgainzations of Flatbush, Inc.",(212) 371-1011,Adults,"402 152 Street
Bronx, NEW YORK 10455
(40.81817645315781, -73.9167329669976)"
"Family Support,NDA Programs", Housing,"Lt. Joseph P. Kennedy, Jr. Memorial Community Center",New York,"Council of Jewish Organization of Flatbush, Inc.",(212) 371-1011,Adults,"34 134 Street
New York, NEW YORK 10037
(40.812765068123156, -73.93981755530723)"
"Family Support,NDA Programs", Housing,St. Cecilias R.C. Church,New York,Crown Heights Jewish Community Council,(212) 371-1011,Adults,"125 105th Street
New York, NEW YORK 10029
(40.79190439287778, -73.9475075400997)"
"Family Support,NDA Programs", Housing,Staten Island Community Center,New York,Hostos-Lincoln Academy of Science,(212) 371-1011,Adults,"120 Anderson Avenue
New York, NEW YORK 10302
(40.63485695828682, -74.13431022011272)"
"Family Support,NDA Programs", Housing,Citizen,Bronx,I.S.117 JOSEPH H WADE (X117),(718) 293-0727,Adults,"632 Southern Boulevard
Bronx, NEW YORK 10455
(40.812893537386145, -73.90133270321454)"
"Family Support,NDA Programs", Housing,Citizens Advice Bureau,Bronx,Castle Hill School (JHS 127),(718) 293-0727,Adults,"1477 Townsend Avenue
Bronx, NEW YORK 10452
(40.841513488175195, -73.9156620372896)"
"Family Support,NDA Programs", Housing,Burnside Avenue Office,Bronx,SATELLITE EAST MIDDLE SCHOOL (K301),(718) 293-0727,Adults,"2070 Grand
Bronx, NEW YORK 10457
(40.84579837129786, -73.89832418681175)"
"Family Support,NDA Programs", Housing,Citizens Advice Bureau,Bronx,JHS 166 GEORGE GERSHWIN (K166),(718) 293-0727,Adults,"2925 Grand
Bronx, NEW YORK 10468
(40.86785065240455, -73.89951166617763)"
"Family Support,NDA Programs", Housing,Cooper Square Committee,New York,JHS 259 WILLIAM MCKINLEY (K259),(212) 228-8210,Adults,"61 4th street
New York, NEW YORK 10003
(40.726940950792155, -73.99113355652129)"
"Family Support,NDA Programs", Housing,"Council of Jewish Orgainzations of Flatbush, Inc.",Brooklyn,MOTT HALL IV (K522),(718) 377-2900,Adults,"1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61969757437525, -73.96431415429318)"
"Family Support,NDA Programs", Housing,Cypress Hills Local Development,Brooklyn,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670),(718) 674-2800,Adults,"3214 Fulton Street
Brooklyn, NEW YORK 11208
(40.68241352010474, -73.87644758308613)"
"Family Support,NDA Programs", Housing,FAC Center for Community Development,Brooklyn,Cypress Hills Local Development,(718) 237-2017,Adults,"621 DeGraw Street
Brooklyn, NEW YORK 11217
(40.67856008836107, -73.98179843826873)"
"Family Support,NDA Programs", Housing,Harlem Justice Center,New York,The Urban Assembly School for Law and Justice,(212) 473-8090,Adults,"170 121st Street
New York, NEW YORK 10035
(40.801297147584464, -73.93814870665933)"
"Family Support,NDA Programs", Housing,Legal Services NYC-Bronx,Bronx,Abigail Mejia Technology Center,(718) 928-3736,Adults,"579 Courtlandt Avenue
Bronx, NEW YORK 10451
(40.817333922357264, -73.91922030804731)"
"Family Support,NDA Programs", Housing,Help USA - HomeBase,Bronx,PS 128,(718) 928-3736,Adults,"775 Crotona Park
Bronx, NEW YORK 10460
(40.84084518091378, -73.89176778761463)"
"Family Support,NDA Programs", Housing,Manhattan Legal Services,New York,Edith and Carl Marks Jewish Community House of Bensonhurst,(646) 442-3142,Adults,"55 125 Street
New York, NEW YORK 10027
(40.80727920374443, -73.94430517223344)"
"Family Support,NDA Programs", Housing,Morrisania Revitalization Corporation,Bronx,Youth Opportunity Center,(718) 589-7858,Adults,"576 165th Street
Bronx, NEW YORK 10456
(40.825676237691496, -73.90667186682938)"
"Family Support,NDA Programs", Housing,Northern Manhattan Improvement Corporation,New York,F.E.G.S Brooklyn Resource Center,(212) 822-8300,Adults,"76 Wadsworth Avenue
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Family Support,NDA Programs", Housing,Queens Community House,Queens,FAC Center for Community Development,(718) 592-5757,Adults,"108 25 62nd Drive
Queens, NEW YORK 11375
(40.720707263029794, -73.84628429608335)"
"Family Support,NDA Programs", Housing,Queens Community in Jackson Heights,Queens,Agnes Y. Humphrey School for Leadership 27 (K027),(718) 592-5757,Adults,"74 09 37th Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Family Support,NDA Programs", Housing,Rego Park Center,Queens,PS 015 PATRICK F. DALY (K015),(718) 592-5757,Adults,"93 29 Queens Boulevard
Queens, NEW YORK 11374
(40.72646491702238, -73.86148084756303)"
"Family Support,NDA Programs", Housing,RBSCC,Brooklyn,Red Hook Youth Court Internship,(718) 366-3800,Adults,"217 Wyckoff Avenue
Brooklyn, NEW YORK 11237
(40.7021176575353, -73.91565860141604)"
"Family Support,NDA Programs", Housing,Shorefront Jewish Community Council,Brooklyn,Flatbush Development Corporation,(718) 743-0575,Adults,"3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288322754, -73.961743706863)"
"Family Support,NDA Programs", Housing,Office of Senator Kruger,Brooklyn,Erasmus H.S. of Service Learning,(718) 743-0575,Adults,"2201 Avenue
Brooklyn, NEW YORK 11229
(40.60123350732056, -73.94436854117521)"
"Family Support,NDA Programs", Housing,Jay Harama Senior Center,Brooklyn,Harlem Justice Center,(718) 743-0575,Adults,"2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925353555, -73.95126983806618)"
"Family Support,NDA Programs", Housing,"South Brooklyn Legal Services, Inc.",Brooklyn,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524),(718) 237-5500,Adults,"105 Court Street
Brooklyn, NEW YORK 11201
(40.69083358302672, -73.9917782688907)"
"Family Support,NDA Programs", Housing,Los Sures,Brooklyn,Middle School 206,(718) 387-3600,Adults,"213 4th Street
Brooklyn, NEW YORK 11211
(40.71462907055141, -73.95698223986747)"
"Family Support,NDA Programs", Housing,"Stryckers Bay Neighborhood Council, Inc.",New York,Refugee and Immigrant Services,(212) 874-7272,Adults,"61 87th Street
New York, NEW YORK 10024
(40.78699949198375, -73.97127583989214)"
"Family Support,NDA Programs", Housing,Project Home,New York,Refugee and Immigrant Services,(212) 674-9120,Adults,"189 Allen
New York, NEW YORK 10002
(40.7221795297894, -73.98910722393583)"
"Family Support,NDA Programs", Housing,Mothers on the Move,Bronx,Grand Street Settlement,(646) 459-3002,Adults,"928 Intervale Ave
Bronx, NEW YORK 10459
(40.820040018263235, -73.8966656329332)"
"Family Support,NDA Programs", Housing,Mirabal Sisters Cultural and Community Center Office Space,New York,Grand Street Settlement,(646) 459-3002,Adults,"618 142 Street
New York, NEW YORK 10031
(40.825013834162235, -73.95303758913792)"
"Family Support,NDA Programs", Housing,WHIC,New York,Grand Street Settlement,(212) 781-6722,Adults,"652 187 Street
New York, NEW YORK 10033
(40.85360240438229, -73.932345278359)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Citizens Advice Bureau,Bronx,Baruch Houses (Senior Building),(718) 293-0727,Adults,"1130 Grand
Bronx, NEW YORK 10453
(40.852786838341956, -73.91342678431863)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Citizens Advice,Bronx,Greenhope Services for Women,(718) 293-0727,Adults,"2070 Grand
Bronx, NEW YORK 10457
(40.84579837129786, -73.89832418681175)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,F.E.G.S Brooklyn Resource Center,Brooklyn,JHS 292 MARGARET S DOUGLAS (K292),(212) 366-8531,Adults,"938 Kings Highway
Brooklyn, NEW YORK 11223
(40.60700851986621, -73.96282101223699)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Refugee and Immigrant Services,Brooklyn,"Guardians of the Sick, Inc.",(718) 777-6326,Adults,"1416 Ave M
Brooklyn, NEW YORK 11230
(40.61789996472653, -73.96077504128672)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Refugee and Immigrant Services,Brooklyn,Harlem Commonwealth Council,(718) 777-6326,Adults,"1222 Ave M
Brooklyn, NEW YORK 11230
(40.61772526251982, -73.96227992950067)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Make the Road New York,Brooklyn,Harlem RBI,(347) 243-7249,Adults,"301 Grove Street
Brooklyn, NEW YORK 11237
(40.698428502523264, -73.91562347499381)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Make the Road New York,Queens,Hebrew Educational Society,(347) 243-7249,Adults,"92 10 Roosevelt Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Make the Road New York Staten Island,Staten Island,Henry Street Settlement's Helen Hall Youth Center,(347) 243-7249,Adults,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Northern Manhattan Improvement Corporation,New York,Vladeck Cares,(212) 822-8300,Adults,"76 Wadsworth Avenue
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,Tolentine-Zeiser Community Center/St. Ritas,Bronx,Good Companions Senior center,(718) 933-6935,Adults,"2342 Andrews Avenue
Bronx, NEW YORK 10468
(40.86173644443041, -73.9070403710398)"
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,U.C.C. Immigration Program,Brooklyn,Highbridge Community Life Center Adult Education and Training,(718) 649-7979,Adults,"613 New Lots Avenue
Brooklyn, NEW YORK 11207
(40.66472649825768, -73.88659110359023)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Bronx River Art Center,Bronx,Highbridge Community Life Center Family & Community Services,(718) 589-5819,Middle School,"1087 Tremont Avenue
Bronx, NEW YORK 10460
(40.84006972385026, -73.87771805339278)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Marble Hill Community Center,10463,"Homecrest Community Services, Inc.",(212) 923-7766,Middle School,"210 230 Street
NEW YORK 10463
(40.877114656259685, -73.90703320994471)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Fredrick Douglas Academy VI High School,Queens,Grace Dodge Technical High School,(718) 523-6868,Middle School,"821 Beach 25 Street
Queens, NEW YORK 11691
(40.60149950403276, -73.76267972395415)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Hostos-Lincoln Academy of Science,Bronx,Rice High School,(212) 652-2812,Middle School,"475 Grand
Bronx, NEW YORK 10451
(40.82069640711353, -73.92384136798472)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,I.S.117 JOSEPH H WADE (X117),Bronx,PS 126 JACOB AUGUST RIIS (M126),(212) 652-2812,Middle School,"1865 MORRIS AVENUE
Bronx, NEW YORK 10453
(40.84854841840716, -73.90843506819625)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,Castle Hill School (JHS 127),Bronx,SHoP Architects,(212) 652-2812,Middle School,"1560 Purdy Street
Bronx, NEW YORK 10462
(40.8380147405672, -73.85351983364767)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,SATELLITE EAST MIDDLE SCHOOL (K301),Brooklyn,The River Project,(212) 652-2812,Middle School,"344 MONROE STREET
Brooklyn, NEW YORK 11216
(40.68608138476944, -73.94498226829275)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 166 GEORGE GERSHWIN (K166),Brooklyn,IPR/HE Brooklyn Caregivers,(212) 652-2812,Middle School,"800 VAN SICLEN AVENUE
Brooklyn, NEW YORK 11207
(40.66022169812547, -73.88548545784624)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,JHS 259 WILLIAM MCKINLEY (K259),Brooklyn,Elmhurst Jackson Heights Senior Center,(212) 652-2812,Middle School,"7301 FT HAMILTON PARKWAY
Brooklyn, NEW YORK 11228
(40.62673254824293, -74.01500752094381)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,MOTT HALL IV (K522),Brooklyn,IS 52,(212) 652-2812,Middle School,"1137 HERKIMER STREET
Brooklyn, NEW YORK 11233
(40.677823649731764, -73.91583166723669)"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670),New York,Italian American Civil Rights League,(212) 652-2812,Middle School,"200 135 STREET
New York, NEW YORK 10030
(40.81534829984385, -73.94389284582877)"
