Entity Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Location 1
LAUNDRY,1002861,TURBO LAUNDRY CENTER INC,,NORTHERN BOULEVARD,62-01C NORTHERN BOULEVARD,,11377,7187774388,"62 01C NORTHERN BOULEVARD
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,1010673,"CHOI, DUKG JUNG",CHOI LAUNDROMAT,EAST  233 STREET,912 EAST  233 STREET,,10466,7182312846,"912 233 STREET
BRONX, NY 10466
(40.89138766467929, -73.85115984604442)"
LAUNDRY,1018677,"YOO, BOO Y",CLASSIC CLEANER,CHURCH AVENUE,515 CHURCH AVENUE,,11218,7184356790,"515 CHURCH AVENUE
BROOKLYN, NY 11218
(40.644458256852275, -73.9755468315578)"
LAUNDRY,1019840,"CHAU, LIANG WAI",,JAMAICA AVENUE,131-17 JAMAICA AVENUE,,11418,7188469207,"131 17 JAMAICA AVENUE
RICHMOND HILLS, NY 11418
(40.69637041236467, -73.84031024991805)"
LAUNDRY,1021038,A-TIP LAUNDROMAT CORP,,EAST   73 STREET,324 EAST   73 STREET,,10021,2128797702,"324 73 STREET
NEW YORK, NY 10021
(40.76893211241509, -73.9565449450522)"
LAUNDRY,1021982,"CHUC, TRANG MY",FRIENDLY LAUNDROMAT,108 STREET,42-04 108 STREET,,11368,7184460193,"42 04 108 STREET
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,1022928,"KARASIK, IOSIF",MIDWOOD EXPRESS LAUNDAY,NOSTRAND AVENUE,2320 NOSTRAND AVENUE,,11210,7182530600,"2320 NOSTRAND AVENUE
BROOKLYN, NY 11210
(40.62818393034649, -73.94717727363057)"
LAUNDRY,1023314,"AIRPORT LAUNDROMAT, INC",SUDS YA DUDS II LAUNDROMAAT,LEFFERTS BOULEVARD,115-95 LEFFERTS BOULEVARD,,11420,7188457837,"115 95 LEFFERTS BOULEVARD
SO OZONE PARK, NY 11420
(40.67334524268887, -73.81770717164864)"
LAUNDRY,1023836,"HILLSIDE LAUNDROMAT, INC",SUPER CLEAN LAUNDROMAT,BOSTON ROAD,3391 BOSTON ROAD,,10469,7187451800,"3391 BOSTON ROAD
BRONX, NY 10469
(40.875489907460064, -73.85077884939601)"
LAUNDRY,1024491,"B.B. LAUNDROMAT, INC",,LENOX AVENUE,451 LENOX AVENUE,,10037,2122830990,"451 LENOX AVENUE
NEW YORK, NY 10037
(40.812504264734685, -73.94211981970221)"
LAUNDRY,1024998,CHESTERFIELD CLEANERS CO .INC.,,AMSTERDAM AVENUE,409 AMSTERDAM AVENUE,,10024,2128737013,"409 AMSTERDAM AVENUE
NEW YORK, NY 10024
(40.78348314206423, -73.9780432004708)"
LAUNDRY,1025040,A.T.& M LAUNDROMAT & SERVICES INC,,WHITE PLAINS ROAD,1361 WHITE PLAINS ROAD,,10462,7182393575,"1361 WHITE PLAINS ROAD
BRONX, NY 10462
(40.83438075434716, -73.8630603153754)"
LAUNDRY,1027140,LEE'S LAUNDROMAT CORP,,CONEY ISLAND AVENUE,1848 CONEY ISLAND AVENUE,,11230,7186273075,"1848 CONEY ISLAND AVENUE
BROOKLYN, NY 11230
(40.61225848464691, -73.96289775373916)"
LAUNDRY,1028092,"RAMAKAH, SHAHEID & SHAHEID",R & S LAUNDROMAT,VAN SICLEN AVENUE,110 VAN SICLEN AVENUE,,11207,7184410864,"110 VAN SICLEN AVENUE
BROOKLYN, NY 11207
(40.67764314882036, -73.89163244725908)"
LAUNDRY,1033139,"SIEGEL, MARAL",NEWNESS BRIGHTNESS HAPPINESS FULNESS,84 DRIVE,158-06 84 DRIVE,,11432,7185238951,"158 06 84 DRIVE
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)"
LAUNDRY,1034024,"CHA, HEE H",48TH AVENUE LAUNDROMAT,48 AVENUE,212-05 48 AVENUE,,11364,7182810450,"212 05 48 AVENUE
QUEENS, NY 11364
(40.745924680379744, -73.75790275560763)"
LAUNDRY,1036842,"JOHN'S HARBORVIEW LAUNDROMAT, INC",,RICHMOND TERRACE,54 RICHMOND TERRACE,,10301,7188169361,"54 RICHMOND TERRACE
STATEN ISLAND, NY 10301
(40.64408550614429, -74.07668866665094)"
LAUNDRY,1036849,FOWLER INC,,METROPOLITAN AVENUE,1660 METROPOLITAN AVENUE,,10462,9086863400,"1660 METROPOLITAN AVENUE
BRONX, NY 10462
(40.84035024914859, -73.85560659851689)"
LAUNDRY,1059919,MF SOAP BOX LAUNDROMAT INC.,,JAMAICA AVENUE,247-01 JAMAICA AVENUE,,11426,7184701375,"247 01 JAMAICA AVENUE
QUEENS, NY 11426
(40.73704138495202, -73.72415699894628)"
LAUNDRY,1062452,"CARIBEAN LAUNDROMAT, INC",,6 AVENUE,4522 6 AVENUE,,11220,7188542524,"4522 6 AVENUE
BROOKLYN, NY 11220
(40.64645969155867, -74.00537659810128)"
LAUNDRY,1070092,BABY GIRLS BUBBLES & CLEANERS INC,,FREDERICK DOUGLAS BLVD,2212-2214 FREDERICK DOUGLAS BLVD,,10027,7184817723,"2212 2214 FREDERICK DOUGLAS BLVD
NEW YORK, NY 10027
(40.811549564460904, -73.95290033568193)"
LAUNDRY,1070599,"ALMANSORI, ALI A.",ALS LAUNDROMAT,ST JOHNS PLACE,450 ST JOHNS PLACE,,11238,7187897798,"450 ST JOHNS PLACE
BROOKLYN, NY 11238
(40.67362842503695, -73.96324413034485)"
LAUNDRY,1072130,CLEAN RITE CENTER - 190-12 JAMAICA AVENUE LLC,,JAMAICA AVENUE,190-12 JAMAICA AVENUE,,11423,7183534430,"190 12 JAMAICA AVENUE
JAMAICA, NY 11423
(40.71722229567246, -73.7671414999802)"
LAUNDRY,1089332,"NGUYEN, TUYEN T",P AND T LAUNDROMAT,LYDIG AVENUE,786 LYDIG AVENUE,,10462,7188246233,"786 LYDIG AVENUE
BRONX, NY 10462
(40.85441673839548, -73.86434691127805)"
LAUNDRY,1100848,A.S.P.D. CORP,SUDSY BUBBLES,MANOR ROAD,371 MANOR ROAD,,10314,7188159652,"371 MANOR ROAD
STATEN ISLAND, NY 10314
(40.618674739865924, -74.12336597637747)"
LAUNDRY,1101571,LOKENATH LAUNDROMAT INC,,JUNCTION BOULEVARD,41-20 JUNCTION BOULEVARD,,11368,7184292512,"41 20 JUNCTION BOULEVARD
QUEENS, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,1106760,"WATERFALL LAUNDROMAT CORPORATION, II",,EAST GUN HILL ROAD,234 EAST GUN HILL ROAD,,10467,3472191092,"234 GUN HILL ROAD
BRONX, NY 10467
(40.88015694099743, -73.87662339878437)"
LAUNDRY,1107185,"KIM, HANGYU",HAN'S LAUNDROMAT,COLLEGE POINT BOULEVARD,18-43 COLLEGE POINT BOULEVARD,,11356,7182791067,"18 43 COLLEGE POINT BOULEVARD
QUEENS, NY 11356
(40.7849280967543, -73.84181070040347)"
LAUNDRY,1111874,SPARKLEAN LAUNDRY INC,,SCHENECTADY AVENUE,291-293 SCHENECTADY AVENUE,,11213,7187747277,"291 293 SCHENECTADY AVENUE
BROOKLYN, NY 11213
(40.67122516920625, -73.93644336636822)"
LAUNDRY,1117750,"LEW, SAMMY",L.S.W. LAUNDROMAT,BROADWAY,64-07 BROADWAY,,11377,7185330350,"64 07
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,1121341,"OLYMPIC LAUNDROMAT SERVICES, INC",,NEWTON AVENUE,21-06 NEWTON AVENUE,,11102,7189327379,"21 06 NEWTON AVENUE
ASTORIA, NY 11102
(40.77152402451418, -73.92643545073543)"
LAUNDRY,1123146,JIAN HUI LIANG & MIAO XIA LIANG,CARMEN'S LAUNDROMAT COMPANY,101 AVENUE,112-12 101 AVENUE,,11419,7184411532,"112 12 101 AVENUE
QUEENS, NY 11419
(40.68871379040917, -73.82288833053201)"
LAUNDRY,1131335,BEST LAUNDROMAT INC.,,BAILEY AVENUE,3642 BAILEY AVENUE,,10463,7188845416,"3642 BAILEY AVENUE
BRONX, NY 10463
(40.88270951385019, -73.89912071984149)"
LAUNDRY,1131481,POTTO CORP,,PITKIN AVENUE,1508 PITKIN AVENUE,,11212,3477332227,"1508 PITKIN AVENUE
BROOKLYN, NY 11212
(40.668582095034004, -73.9179807675513)"
LAUNDRY,1132531,GJRC PARTNERS LLC,A-ONE LAUNDRY,28 AVENUE,35-02 28 AVENUE,,11103,7187266030,"35 02 28 AVENUE
QUEENS, NY 11103
(40.76286893025696, -73.91327185810974)"
LAUNDRY,1132783,"NEW HEAVEN ENTERPRISES, INC",,63 AVENUE,82-20 63 AVENUE,,11379,5167797960,"82 20 63 AVENUE
QUEENS, NY 11379
(40.71679766547993, -73.87933421310339)"
LAUNDRY,1135621,KING FANG LAUNDROMAT INC.,,KINGSTON AVENUE,112 KINGSTON AVENUE,,11213,7186043787,"112 KINGSTON AVENUE
BROOKLYN, NY 11213
(40.67586216849281, -73.94161626187383)"
LAUNDRY,1137354,SHINE BRIGHT LAUNDROMAT CORP.,,BAYCHESTER AVENUE,3929 BAYCHESTER AVENUE,,10466,7183257960,"3929 BAYCHESTER AVENUE
BRONX, NY 10466
(40.88894203873228, -73.84218040176829)"
LAUNDRY,1140764,"DASSY LAUNDROMAT,INC.",,40 ROAD,95-39A 40 ROAD,,11373,7185655284,"95 39A 40 ROAD
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
LAUNDRY,1142973,X Y LAUNDROMAT INC.,,46 STREET,504 46 STREET,,11220,7184359186,"504 46 STREET
BROOKLYN, NY 11220
(40.64723976713212, -74.00786711707342)"
LAUNDRY,1145291,DESI OF N.Y. INC.,CLEAN WASH,MORRIS AVENUE,632 MORRIS AVENUE,,10451,7186655059,"632 MORRIS AVENUE
BRONX, NY 10451
(40.81925579317648, -73.92187940671157)"
LAUNDRY,1151143,"ASTORIA SUPER CLEAN LAUNDROMAT, INC.",,36 AVENUE,21-18 36 AVENUE,,11106,7183493514,"21 18 36 AVENUE
LIC, NY 11106
(40.761699790013324, -73.9316632529567)"
LAUNDRY,1151585,WOODSIDE SUPER LAUNDRY INC.,,39 AVENUE,61-04 39 AVENUE,,11377,7183962700,"61 04 39 AVENUE
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,1152603,JIA JIA LAUNDROMAT INC,,ARCHER STREET,1888 ARCHER STREET,1888/1886,10462,9175186826,"1888 ARCHER STREET
BRONX, NY 10462
(40.83784836455945, -73.86344320205022)"
LAUNDRY,1153273,"ROMERO, GLORIA",GLORIA LAUNDROMAT,39TH AVE,103-13 39TH AVE,,11368,7186519645,"103 13 39TH AVE
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,1155203,NEW D & W LAUNDROMAT INC.,,8 AVENUE,4504 8 AVENUE,,11220,9999999999,"4504 8 AVENUE
BROOKLYN, NY 11220
(40.6439136655236, -74.00086944137864)"
LAUNDRY,1156201,"CHEN, PEI JUAN",MAH LAUNDROMAT,86TH STREET,691 86TH STREET,,11228,7188363599,"691 86TH STREET
BROOKLYN, NY 11228
(40.619090416061816, -74.02216771620091)"
LAUNDRY,1157125,IRA DIRT BUSTERS INC,,ATLANTIC AVENUE,325 ATLANTIC AVENUE,,11201,7188523649,"325 ATLANTIC AVENUE
BROOKLYN, NY 11201
(40.68812949424953, -73.98782882032418)"
LAUNDRY,1158219,"YU, MEI-YING",M.Y LAUNDROMAT,81 STREET,31-08 81 STREET,,11370,7184768487,"31 08 81 STREET
JACKSON HEIGHTS, NY 11370
(40.75935377085989, -73.89184400040028)"
LAUNDRY,1159611,"ZOU, XIAO MING",BLUE SKY LAUNDROMAT,3 AVENUE,3740 3 AVENUE,,10456,7185037058,"3740 3 AVENUE
BRONX, NY 10456
(40.83613087430556, -73.90273069266969)"
LAUNDRY,1166391,A & R NORTHERN BLVD INC,,NORTHERN BOULEVARD,96-01 NORTHERN BOULEVARD,,11368,7188839490,"96 01 NORTHERN BOULEVARD
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,1166796,"K & R LAUNDRIES, INC.",,ASTORIA BOULEVARD,87-04 ASTORIA BOULEVARD,,11369,7187790565,"87 04 ASTORIA BOULEVARD
EAST ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)"
LAUNDRY,1167076,"WIN MIN THEIN, INC",,46TH STREET,43-44 46TH STREET,,11104,7184722544,"43 44 46TH STREET
SUNNYSIDE, NY 11104
(40.74489336663561, -73.92054134530679)"
LAUNDRY,1168992,1793 ACTION LAUNDROMAT INC,,AMSTERDAM AVENUE,1793 AMSTERDAM AVENUE,,10031,2126942880,"1793 AMSTERDAM AVENUE
NEW YORK, NY 10031
(40.82760388160665, -73.94586999256438)"
LAUNDRY,1169141,"888 BOOTH MEMORIAL LAUNDROMAT, INC.",,BOOTH MEMORIAL AVENUE,136-08 BOOTH MEMORIAL AVENUE,,11355,7184458164,"136 08 BOOTH MEMORIAL AVENUE
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
LAUNDRY,1175435,TAI SHAN LAUNDROMAT INC,,GRAND STREET,543 GRAND STREET,,11211,7185993888,"543 GRAND STREET
BROOKLYN, NY 11211
(40.71111305771238, -73.94979872747194)"
LAUNDRY,1178062,"LEE, GAE SOOK",SUNNY'S LAUNDROMAT,BATH AVENUE,1742 BATH AVENUE,,11214,7182566933,"1742 BATH AVENUE
BROOKLYN, NY 11214
(40.60445289534874, -74.0071413953209)"
LAUNDRY,1179735,148 LAUNDRY INC,,43RD AVENUE,48-09 43RD AVENUE,,11104,7186398782,"48 09 43RD AVENUE
SUNNYSIDE, NY 11104
(40.74489336663561, -73.92054134530679)"
LAUNDRY,1181860,"HURTADO, LUIS C",LAUNDRY MASTER,E 175TH ST,21 E 175TH ST,,10453-7901,7184662101,"21 175TH ST
BRONX, NY 10453-7901
(40.847558341349696, -73.91197942640265)"
LAUNDRY,1182142,3411 LAUNDRY CORP,,AVENUE H,3411 AVENUE H,,11210,7184215245,"3411 AVENUE
BROOKLYN, NY 11210
(40.62772226387142, -73.946537919989)"
LAUNDRY,1184167,"NAN YANG LAUNDRY, INC",,FRANCIS LEWIS BOULEVARD,32-63 FRANCIS LEWIS BOULEVARD,,11358,9173559603,"32 63 FRANCIS LEWIS BOULEVARD
QUEENS, NY 11358
(40.760350968822195, -73.79632645819947)"
LAUNDRY,1185041,BUBBLY CLEAN LAUNDROMAT INC,,BAY PARKWAY,8612 BAY PARKWAY,,11214,2129411051,"8612 BAY PARKWAY
BROOKLYN, NY 11214
(40.60193716613693, -73.99386425658285)"
LAUNDRY,1185317,"LAUNDRY DEPOT OF N.Y. & N.J., INC.",,EMPIRE BOULEVARD,73 EMPIRE BOULEVARD,,11225,7186939040,"73 EMPIRE BOULEVARD
BROOKLYN, NY 11225
(40.663392864903464, -73.95961277256019)"
LAUNDRY,1188016,JIN LAUNDROMAT INC,,21 AVENUE,8507 21 AVENUE,,11214,7182663493,"8507 21 AVENUE
BROOKLYN, NY 11214
(40.60381241056729, -73.99546321030707)"
LAUNDRY,1188201,"MALAVE, EDWIN & MALAVE, GLADYS",M & J LAUNDROMAT,BLAKE AVENUE,1159 BLAKE AVENUE,,11208,7188277806,"1159 BLAKE AVENUE
BROOKLYN, NY 11208
(40.670780845223604, -73.87498178088886)"
LAUNDRY,1188547,"LAUNDRYLAND II, INC.",,ECKFORD STREET,269 ECKFORD STREET,,11222,7183833587,"269 ECKFORD STREET
BROOKLYN, NY 11222
(40.728395241153464, -73.95143827414313)"
LAUNDRY,1188850,K & D QUALITY SUDS INC.,,135TH AVENUE,114-29 135TH AVENUE,,11420,7188355178,"114 29 135TH AVENUE
SOUTH OZONE PK, NY 11420
(40.67334524268887, -73.81770717164864)"
LAUNDRY,1189035,"KANG & YOO BELL BLVD. LAUNDROMAT, INC",,BELL BOULEVARD,45-36 BELL BOULEVARD,,11361,7323228996,"45 36 BELL BOULEVARD
QUEENS, NY 11361
(40.76418884813688, -73.77232552860022)"
LAUNDRY,1189371,"LAVANDERIA EXPRESS V, INC.",,PITKIN AVENUE,2592 PITKIN AVENUE,,11208,7184569194,"2592 PITKIN AVENUE
BROOKLYN, NY 11208
(40.67471401456763, -73.87651572051874)"
LAUNDRY,1189987,"CHEN, FEI",NEW VANDERBILT LAUNDROMAT,VANDERBILT AVENUE,630 VANDERBILT AVENUE,,11238,9177707651,"630 VANDERBILT AVENUE
BROOKLYN, NY 11238
(40.677386562353995, -73.96899793444788)"
LAUNDRY,926456,"YIP, SHING LAM",FANCY CLEANERS,5 AVENUE,7921 5 AVENUE,,11209,7187488795,"7921 5 AVENUE
BROOKLYN, NY 11209
(40.626338465525194, -74.02388366420818)"
LAUNDRY,926784,GM HOPE INC,ABC CLEANERS AND LAUNDROMAT,HUDSON STREET,619 HUDSON STREET,,10014,2126200899,"619 HUDSON STREET
NEW YORK, NY 10014
(40.73791449562452, -74.00562994141137)"
LAUNDRY,927648,CLEAN WASHLAND INC,,ELIOT AVENUE,84-52 ELIOT AVENUE,,11379,7184576737,"84 52 ELIOT AVENUE
QUEENS, NY 11379
(40.71679766547993, -73.87933421310339)"
LAUNDRY,928315,"DOKKO, HWEE",HAPPY LAUNDRY,WEST  175 STREET,619 WEST  175 STREET,,10033,2127959794,"619 175 STREET
NEW YORK, NY 10033
(40.84580615947965, -73.93746133159044)"
LAUNDRY,939608,RENOIR FRENCH CLEANERS & TAILORS INC,,21 AVENUE,79-06 21 AVENUE,,11370,7187267737,"79 06 21 AVENUE
JACKON HEIGHTS, NY 11370
(40.75935377085989, -73.89184400040028)"
LAUNDRY,943748,THE THIRD AVENUE LAUNDRY CHUTE INC,,3 AVENUE,6733 3 AVENUE,,11220,7189674604,"6733 3 AVENUE
BROOKLYN, NY 11220
(40.63711412664679, -74.02544043711565)"
LAUNDRY,952217,"COLLAZO, CARLOS",BARKER LAUNDROMAT,BARKER AVENUE,2708 BARKER AVENUE,,10467,7186525029,"2708 BARKER AVENUE
BRONX, NY 10467
(40.86550901514795, -73.86906954611685)"
LAUNDRY,953425,"LEUNG, SUEY HAR",BRIGHT LAUNDROMAT CLEANERS,SKILLMAN AVENUE,51-16 SKILLMAN AVENUE,,11377,7184262429,"51 16 SKILLMAN AVENUE
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,956800,TOOLSEE WASH CORP,,MORRISON AVENUE,1310 MORRISON AVENUE,,10472,7188937396,"1310 MORRISON AVENUE
BRONX, NY 10472
(40.83205290220045, -73.87518770884262)"
LAUNDRY,963914,NEW SUN INC,,WHEELER AVENUE,1206 WHEELER AVENUE,,10472,7185896896,"1206 WHEELER AVENUE
BRONX, NY 10472
(40.82875461705389, -73.88013606080864)"
LAUNDRY,965734,"CHUN KAU, KO",CHUN KAU KO LAUNDROMAT,LIBERTY AVENUE,135-05 LIBERTY AVENUE,,11419,7182620641,"135 05 LIBERTY AVENUE
RICHMOND HILL, NY 11419
(40.68871379040917, -73.82288833053201)"
LAUNDRY,970302,VILLAGE BLEACHERS LAUNDROMAT INC.,,EAST   11 STREET,34 EAST   11 STREET,,10003,5167422901,"34 11 STREET
NEW YORK, NY 10003
(40.7333659085002, -73.99356125055928)"
LAUNDRY,977183,LIZ CLEANERS CORP,,QUEENS BOULEVARD,107-06 QUEENS BOULEVARD,,11375,7182683451,"107 06 QUEENS BOULEVARD
QUEENS, NY 11375
(40.720707263029794, -73.84628429608335)"
LAUNDRY,977428,SPOTLESS CLEANING LTD.,,MADISON STREET,419 MADISON STREET,,11221,9177415895,"419 MADISON STREET
BROOKLYN, NY 11221
(40.68578020374444, -73.9415896606667)"
LAUNDRY,978155,USA CLEAN CENTER CO INC,,31 AVENUE,75-77 31 AVENUE,,11370,7182059597,"75 77 31 AVENUE
QUEENS, NY 11370
(40.75935377085989, -73.89184400040028)"
LAUNDRY,980137,MINT WASH LAUNDROMAT INC,,101 AVENUE,107-20 101 AVENUE,,11416,7188430739,"107 20 101 AVENUE
OZONE PARK, NY 11416
(40.68457809700163, -73.8496016684822)"
LAUNDRY,981275,LA GUARDIA LAUNDRY MART CORP.,,94 STREET,23-42 94 STREET,,11369,7186399596,"23 42 94 STREET
EAST ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)"
LAUNDRY,988868,"GOTAY, MARINA",MARINA'S LAUNDROMAT,EAST  109 STREET,331 EAST  109 STREET,,10029,2124106773,"331 109 STREET
NEW YORK, NY 10029
(40.79197274280574, -73.93964668412161)"
LAUNDRY,1000498,"RICHMOND, EDITH D.",LAUNDROMAT,RUTLAND ROAD,1008 RUTLAND ROAD,,11212,7187563948,"1008 RUTLAND ROAD
BROOKLYN, NY 11212
(40.662760149555154, -73.92619200336608)"
LAUNDRY,1004284,"GUI, LINGZHEN",LINDA LAUNDRY,84 DRIVE,138-42 84 DRIVE,,11435,7182970265,"138 42 84 DRIVE
BRIANWOOD, NY 11435
(40.70119264912154, -73.80979665579099)"
LAUNDRY,1022564,GRACE DRY CLEAN & LAUNDROMAT INC,,VICTORY BOULEVARD,1953 VICTORY BOULEVARD,,10314,7184421101,"1953 VICTORY BOULEVARD
STATEN ISLAND, NY 10314
(40.612605124479366, -74.12912379059365)"
LAUNDRY,1023415,"YUHHSAN, INC",,WEST   74 STREET,61 WEST   74 STREET,,10023,2127216028,"61 74 STREET
NEW YORK, NY 10023
(40.77844017364322, -73.9770591388997)"
LAUNDRY,1023897,94-15 JACKSON LAUNDRY INC,,37 AVENUE,94-15 37 AVENUE,,11372,7186511150,"94 15 37 AVENUE
JACKSON HEIGHTS, NY 11372
(40.75163073936716, -73.88361254528269)"
LAUNDRY,1025537,"CAMPBELL, KASSANDRA M.",T.K. LAUNDROMAT,SARATOGA AVENUE,322 SARATOGA AVENUE,,11233,7183853031,"322 SARATOGA AVENUE
BROOKLYN, NY 11233
(40.674586433779474, -73.91669855041887)"
LAUNDRY,1030646,"COINDET, RAMON F.",99TH STREET LAUNDROMAT,99 STREET,41-03 99 STREET,,11368,7182972130,"41 03 99 STREET
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,1036855,FOWLER INC.,,UNIONPORT ROAD,1536 UNIONPORT ROAD,,10462,9086863400,"1536 UNIONPORT ROAD
BRONX, NY 10462
(40.83722868210493, -73.85774808844288)"
LAUNDRY,1037599,"FOWLER ROUTE CO., INC",,EAST TREMONT AVENUE,2152 EAST TREMONT AVENUE,,10462,9086863400,"2152 TREMONT AVENUE
BRONX, NY 10462
(40.84196325793824, -73.85724085052455)"
LAUNDRY,1038240,FULTON ONE LAUNDROMAT INC,,FULTON STREET,666 FULTON STREET,,11217,7186249093,"666 FULTON STREET
BROOKLYN, NY 11217
(40.68666198186401, -73.97540680383791)"
LAUNDRY,1039922,MEKONG LAUNDROMAT & CLEANERS INC,,YORK AVENUE,1612 YORK AVENUE,,10028,2128797730,"1612 YORK AVENUE
NEW YORK, NY 10028
(40.775407231026065, -73.94749776543745)"
LAUNDRY,1059783,KLEEN WASH INC,,BUFFALO AVENUE,261A BUFFALO AVENUE,,11213,7188496540,"261A BUFFALO AVENUE
BROOKLYN, NY 11213
(40.67003864096985, -73.92540014432034)"
LAUNDRY,1063795,193 CORP,,HIMROD STREET,193 HIMROD STREET,,11237,7183925073,"193 HIMROD STREET
BROOKLYN, NY 11237
(40.69867012706976, -73.9212956009444)"
LAUNDRY,1066111,HUANG & PAUL LAUNDROMAT INC,,25 AVENUE,43-20 25 AVENUE,,11103,7187213266,"43 20 25 AVENUE
ASTORIA, NY 11103
(40.76286893025696, -73.91327185810974)"
LAUNDRY,1073164,"CHO, BIK FA",RAINBOW LAUNDROMAT,GRAND AVENUE,83-09 GRAND AVENUE,,11373,7183969018,"83 09 GRAND AVENUE
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
LAUNDRY,1074184,SHARON'S LAUNDRY SERVICE INC,,EAST   13 STREET,204 EAST   13 STREET,,10003,2124775509,"204 13 STREET
NEW YORK, NY 10003
(40.732428631245796, -73.98728377201365)"
LAUNDRY,1085407,1801 LAUNDRY CORP.,STATION LAUNDRY,EDISON AVENUE,1801 EDISON AVENUE,,10461,9144906249,"1801 EDISON AVENUE
BRONX, NY 10461
(40.84700759370052, -73.83239386080425)"
LAUNDRY,1093468,WYCKOFF BIG WASH LLC,,WYCKOFF AVENUE,452 WYCKOFF AVENUE,,11237,9177444799,"452 WYCKOFF AVENUE
BROOKLYN, NY 11237
(40.69882804097774, -73.9098635209727)"
LAUNDRY,1093481,"CHEN, LAI FONG",SUNNYSIDE LAUNDROMAT,48 AVENUE,39-37 48 AVENUE,,11104,7187292077,"39 37 48 AVENUE
SUNNYSIDE, NY 11104
(40.74489336663561, -73.92054134530679)"
LAUNDRY,1097345,"CHUN'S LAUNDROMAT & DRY CLEANERS, INC",,AVENUE R,2946 AVENUE R,,11229,7183753791,"2946 AVENUE
BROOKLYN, NY 11229
(40.60123350732056, -73.94436854117521)"
LAUNDRY,1099037,ALL AMERICAN LAUNDRY SERVICE INC,,WESTCHESTER AVENUE,3223 WESTCHESTER AVENUE,,10461,7188230566,"3223 WESTCHESTER AVENUE
BRONX, NY 10461
(40.851973828143954, -73.82924236732225)"
LAUNDRY,1102224,"CHAN, SAU MAY",SMITH LUCKY MAY,SMITH STREET,313 SMITH STREET,,11231,7188021445,"313 SMITH STREET
BROOKLYN, NY 11231
(40.68134018303918, -73.99406817668924)"
LAUNDRY,1106642,ELMHURST LAUNDRY CENTER INC,,74 STREET,45-12 74 STREET,,11373,7188988288,"45 12 74 STREET
ELMHURST, NY 11373
(40.73871040256307, -73.87835115518163)"
LAUNDRY,1121608,CIAMPA 21 LLC,,31 DRIVE,14-56 31 DRIVE,,11106,7189394888,"14 56 31 DRIVE
QUEENS, NY 11106
(40.761699790013324, -73.9316632529567)"
LAUNDRY,1125110,E Z SPIN LAUNDROMAT INC,,EAST  137 STREET,603-609 EAST  137 STREET,,10454,7184013990,"603 609 EAST 137 STREET
BRONX, NY 10454
(40.805846930091775, -73.91628504651766)"
LAUNDRY,1127308,PRESTIGE LAUND-CLEAN INC,,EAST   18 STREET,351 EAST   18 STREET,,10003,6466546913,"351 18 STREET
NEW YORK, NY 10003
(40.734002444797056, -73.98115039577385)"
LAUNDRY,1130332,FOURTEEN TOWER CORPORATION,,SOUTH END AVENUE,2 SOUTH END AVENUE,BATTERY PARK CITY,10280,2127864939,"2 END AVENUE
NEW YORK, NY 10280
(40.563626211930696, -74.17883104422444)"
LAUNDRY,1130947,PINTO INC.,,47 AVENUE,47-12 47 AVENUE,,11377,6467296236,"47 12 47 AVENUE
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
LAUNDRY,943852,GUYANA ENTERPRISE INC,,123 STREET,104-07 123 STREET,1ST FLOOR,11419,7188352023,"104 07 123 STREET
RICHMOND HILL, NY 11419
(40.68871379040917, -73.82288833053201)"
LAUNDRY,949799,HAN'S LAUNDRY,,JOHNSON AVENUE,3528 JOHNSON AVENUE,,10463,7187964144,"3528 JOHNSON AVENUE
BRONX, NY 10463
(40.88595271929645, -73.90986154789853)"
LAUNDRY,954227,"LAVANDERA LAUMDROMAT, INC.",,JUNCTION BOULEVARD,35-51 JUNCTION BOULEVARD,,11368,7184260459,"35 51 JUNCTION BOULEVARD
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
LAUNDRY,968002,JAY LAUNDROMAT CORP.,,AVENUE U,2217 AVENUE U,,11229,7187696055,"2217 AVENUE
BROOKLYN, NY 11229
(40.60123350732056, -73.94436854117521)"
