Location,Address,Borough,ZIP,Daytime Hours,From Date,To Date
SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER,58-20 LITTLE NECK PARKWAY,QUEENS,11362,9 to 4,2/5/13,2/11/13
SELFHELP AUSTIN ST SENIOR CENTER,106-06 QUEENS BOULEVARD,QUEENS,11375,9 to 4,2/5/13,2/11/13
SELFHELP CLEARVIEW SENIOR CENTER,208-11 26TH AVENUE,QUEENS,11360,9 to 4,2/5/13,2/11/13
SELFHELP INNOVATIVE SENIOR CENTER,45-25 KISSENA BOULEVARD,QUEENS,11355,9 to 4,2/5/13,2/11/13
SELFHELP LATIMER GARDENS SENIOR CENTER,34-30 137 STREET,QUEENS,11355,9 to 4,2/5/13,2/11/13
SELFHELP MASPETH SENIOR CENTER,69-61 GRAND AVENUE,QUEENS,11378,9 to 4,2/5/13,2/11/13
SNAP BROOKVILLE SENIOR CENTER,133-33 BROOKVILLE BOULEVARD,QUEENS,11422,9 to 4,2/5/13,2/11/13
SNAP INNOVATIVE SENIOR CENTER,80-45 WINCHESTER BOULEVARD,QUEENS,11427,9 to 4,2/5/13,2/11/13
SUNNYSIDE COMMUNITY SENIOR CENTER,43-31 39TH STREET,QUEENS,11104,9 to 4,2/5/13,2/11/13
WOODSIDE SENIOR CENTER,50-37 NEWTOWN ROAD,QUEENS,11377,9 to 4,2/5/13,2/11/13
YNG ISRAEL WAVECREST BAYSWATER SR LEAGUE,2716 HEALY AVENUE,QUEENS,11691,9 to 4,2/5/13,2/11/13
YOUNG ISRAEL FOREST HILLS SENIOR LEAGUE,68-07 BURNS STREET,QUEENS,11375,9 to 4,2/5/13,2/11/13
YOUNG ISRAEL QUEENS VALLEY,141-55 77TH AVENUE,QUEENS,11367,9 to 4,2/5/13,2/11/13
ANDERSON NEIGHBORHOOD SENIOR CENTER,120 ANDERSON AVENUE,STATEN ISLAND,10302,9 to 4,2/5/13,2/11/13
ARROCHAR FRIENDSHIP CLUB SENIOR CENTER,85 JEROME AVENUE,STATEN ISLAND,10305,9 to 4,2/5/13,2/11/13
CASSIDY COLES SENIOR CENTER,125 CASSIDY PLACE,STATEN ISLAND,10301,9 to 4,2/5/13,2/11/13
JCC OF STATEN ISLAND INNOVATIVE SR CTR,1466 MANOR ROAD,STATEN ISLAND,10314,9 to 4,2/5/13,2/11/13
JCC SOUTH SHORE SR CTR,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,9 to 4,2/5/13,2/11/13
MOUNT LORETTO FRIENDSHIP CLUB SENIOR CTR,6581 HYLAN BOULEVARD,STATEN ISLAND,10309,9 to 4,2/5/13,2/11/13
NEW LANE SENIOR CENTER,70 NEW LANE,STATEN ISLAND,10305,9 to 4,2/5/13,2/11/13
STAPLETON SENIOR CENTER,189 GORDON STREET,STATEN ISLAND,10304,9 to 4,2/5/13,2/11/13
STATEN ISLAND FRIENDSHIP CLUB,11 SAMPSON AVENUE,STATEN ISLAND,10308,9 to 4,2/5/13,2/11/13
TODT HILL FRIENDSHIP CLUB SENIOR CENTER,184 SCHMIDTS LANE,STATEN ISLAND,10314,9 to 4,2/5/13,2/11/13
WEST BRIGHTON SENIOR CENTER,230 BROADWAY,STATEN ISLAND,10310,9 to 4,2/5/13,2/11/13
