Demographic,Borough,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
General Education,Brooklyn,2003,18538,10595,57.2%,7593,41%,71.7%,3209,17.3%,30.3%,4384,23.6%,41.4%,3002,16.2%,28.3%,5154,27.8%,2548,13.7%
General Education,Brooklyn,2004,19287,11700,60.7%,8687,45%,74.2%,3706,19.2%,31.7%,4981,25.8%,42.6%,3013,15.6%,25.8%,5164,26.8%,2324,12%
General Education,Brooklyn,2005,19310,11954,61.9%,9271,48%,77.6%,3577,18.5%,29.9%,5694,29.5%,47.6%,2683,13.9%,22.4%,5066,26.2%,1929,10%
General Education,Brooklyn,2006,18994,12251,64.5%,10130,53.3%,82.7%,3674,19.3%,30%,6456,34%,52.7%,2121,11.2%,17.3%,4347,22.9%,2065,10.9%
General Education,Brooklyn,Aug 2006,18994,13150,69.2%,10616,55.9%,80.7%,3717,19.6%,28.3%,6899,36.3%,52.5%,2534,13.3%,19.3%,3460,18.2%,2053,10.8%
General Education,Manhattan,2001,11084,7188,64.9%,4905,44.3%,68.2%,1846,16.7%,25.7%,3059,27.6%,42.6%,2284,20.6%,31.8%,2422,21.9%,1409,12.7%
General Education,Manhattan,2002,12304,7512,61.1%,5421,44.1%,72.2%,1862,15.1%,24.8%,3559,28.9%,47.4%,2101,17.1%,28%,3090,25.1%,1440,11.7%
General Education,Manhattan,2003,12376,7332,59.2%,5409,43.7%,73.8%,2509,20.3%,34.2%,2900,23.4%,39.6%,1923,15.5%,26.2%,3512,28.4%,1396,11.3%
General Education,Manhattan,2004,13280,8326,62.7%,6286,47.3%,75.5%,2790,21%,33.5%,3496,26.3%,42%,2040,15.4%,24.5%,3485,26.2%,1424,10.7%
General Education,Manhattan,2005,13927,9302,66.8%,7421,53.3%,79.8%,2653,19%,28.5%,4768,34.2%,51.3%,1880,13.5%,20.2%,3120,22.4%,1215,8.7%
General Education,Manhattan,2006,14246,9725,68.3%,8388,58.9%,86.3%,2755,19.3%,28.3%,5633,39.5%,57.9%,1337,9.4%,13.7%,2945,20.7%,1260,8.8%
General Education,Manhattan,Aug 2006,14246,10225,71.8%,8658,60.8%,84.7%,2765,19.4%,27%,5893,41.4%,57.6%,1567,11%,15.3%,2456,17.2%,1250,8.8%
General Education,Queens,2001,15012,8761,58.4%,6389,42.6%,72.9%,2680,17.9%,30.6%,3709,24.7%,42.3%,2379,15.8%,27.2%,4120,27.4%,2053,13.7%
General Education,Queens,2002,16896,9575,56.7%,7175,42.5%,74.9%,2829,16.7%,29.5%,4346,25.7%,45.4%,2405,14.2%,25.1%,4461,26.4%,2431,14.4%
General Education,Queens,2003,16633,10112,60.8%,7845,47.2%,77.6%,3387,20.4%,33.5%,4458,26.8%,44.1%,2267,13.6%,22.4%,3969,23.9%,2339,14.1%
General Education,Queens,2004,16626,10427,62.7%,8279,49.8%,79.4%,3576,21.5%,34.3%,4703,28.3%,45.1%,2148,12.9%,20.6%,4093,24.6%,2063,12.4%
General Education,Queens,2005,17145,11234,65.5%,9058,52.8%,80.6%,3597,21%,32%,5461,31.9%,48.6%,2176,12.7%,19.4%,3505,20.4%,1933,11.3%
General Education,Queens,2006,17213,11822,68.7%,10026,58.2%,84.8%,3608,21%,30.5%,6418,37.3%,54.3%,1796,10.4%,15.2%,3320,19.3%,1767,10.3%
General Education,Queens,Aug 2006,17213,12642,73.4%,10478,60.9%,82.9%,3651,21.2%,28.9%,6827,39.7%,54%,2164,12.6%,17.1%,2503,14.5%,1764,10.2%
General Education,Staten Island,2001,3250,2381,73.3%,1875,57.7%,78.7%,874,26.9%,36.7%,1001,30.8%,42%,507,15.6%,21.3%,602,18.5%,257,7.9%
General Education,Staten Island,2002,3659,2563,70%,2012,55%,78.5%,858,23.4%,33.5%,1154,31.5%,45%,552,15.1%,21.5%,664,18.1%,335,9.2%
General Education,Staten Island,2003,3582,2638,73.6%,2117,59.1%,80.3%,875,24.4%,33.2%,1242,34.7%,47.1%,521,14.5%,19.7%,611,17.1%,286,8%
General Education,Staten Island,2004,3430,2572,75%,2147,62.6%,83.5%,1017,29.7%,39.5%,1130,32.9%,43.9%,425,12.4%,16.5%,588,17.1%,263,7.7%
General Education,Staten Island,2005,3683,2815,76.4%,2360,64.1%,83.8%,1044,28.3%,37.1%,1316,35.7%,46.7%,455,12.4%,16.2%,502,13.6%,235,6.4%
General Education,Staten Island,2006,3825,3038,79.4%,2705,70.7%,89%,1179,30.8%,38.8%,1526,39.9%,50.2%,333,8.7%,11%,443,11.6%,273,7.1%
General Education,Staten Island,Aug 2006,3825,3102,81.1%,2739,71.6%,88.3%,1181,30.9%,38.1%,1558,40.7%,50.2%,363,9.5%,11.7%,380,9.9%,272,7.1%
Asian,Bronx,2001,638,479,75.1%,396,62.1%,82.7%,314,49.2%,65.6%,82,12.9%,17.1%,84,13.2%,17.5%,92,14.4%,60,9.4%
Asian,Bronx,2002,681,497,73%,451,66.2%,90.7%,350,51.4%,70.4%,101,14.8%,20.3%,46,6.8%,9.3%,132,19.4%,39,5.7%
Asian,Bronx,2003,672,552,82.1%,487,72.5%,88.2%,382,56.8%,69.2%,105,15.6%,19%,65,9.7%,11.8%,82,12.2%,35,5.2%
Asian,Bronx,2004,748,624,83.4%,560,74.9%,89.7%,421,56.3%,67.5%,139,18.6%,22.3%,64,8.6%,10.3%,98,13.1%,23,3.1%
Asian,Bronx,2005,753,657,87.3%,599,79.5%,91.2%,459,61%,69.9%,140,18.6%,21.3%,58,7.7%,8.8%,56,7.4%,28,3.7%
Asian,Bronx,2006,830,707,85.2%,666,80.2%,94.2%,491,59.2%,69.4%,175,21.1%,24.8%,41,4.9%,5.8%,78,9.4%,34,4.1%
Asian,Bronx,Aug 2006,830,732,88.2%,678,81.7%,92.6%,496,59.8%,67.8%,182,21.9%,24.9%,54,6.5%,7.4%,55,6.6%,32,3.9%
Asian,Brooklyn,2001,2418,1543,63.8%,1305,54%,84.6%,930,38.5%,60.3%,375,15.5%,24.3%,239,9.9%,15.5%,554,22.9%,303,12.5%
Asian,Brooklyn,2002,2676,1765,66%,1557,58.2%,88.2%,1052,39.3%,59.6%,505,18.9%,28.6%,209,7.8%,11.8%,556,20.8%,327,12.2%
Asian,Brooklyn,2003,2688,1862,69.3%,1665,61.9%,89.4%,1114,41.4%,59.8%,551,20.5%,29.6%,197,7.3%,10.6%,537,20%,274,10.2%
Asian,Brooklyn,2004,2888,2097,72.6%,1901,65.8%,90.7%,1315,45.5%,62.7%,586,20.3%,27.9%,196,6.8%,9.3%,527,18.2%,249,8.6%
Asian,Brooklyn,2005,2954,2144,72.6%,1957,66.2%,91.3%,1303,44.1%,60.8%,654,22.1%,30.5%,187,6.3%,8.7%,561,19%,214,7.2%
Asian,Brooklyn,2006,2949,2296,77.9%,2176,73.8%,94.8%,1437,48.7%,62.6%,739,25.1%,32.2%,120,4.1%,5.2%,432,14.6%,190,6.4%
Asian,Brooklyn,Aug 2006,2949,2413,81.8%,2265,76.8%,93.9%,1460,49.5%,60.5%,805,27.3%,33.4%,148,5%,6.1%,316,10.7%,189,6.4%
Asian,Manhattan,2001,1581,1265,80%,1038,65.7%,82.1%,622,39.3%,49.2%,416,26.3%,32.9%,227,14.4%,17.9%,210,13.3%,97,6.1%
Asian,Manhattan,2002,1748,1374,78.6%,1224,70%,89.1%,706,40.4%,51.4%,518,29.6%,37.7%,151,8.6%,11%,239,13.7%,90,5.1%
Asian,Manhattan,2003,1666,1296,77.8%,1168,70.1%,90.1%,875,52.5%,67.5%,293,17.6%,22.6%,128,7.7%,9.9%,279,16.7%,79,4.7%
Asian,Manhattan,2004,2057,1621,78.8%,1473,71.6%,90.9%,1063,51.7%,65.6%,410,19.9%,25.3%,148,7.2%,9.1%,332,16.1%,93,4.5%
Asian,Manhattan,2005,2073,1697,81.9%,1568,75.6%,92.4%,1062,51.2%,62.6%,506,24.4%,29.8%,129,6.2%,7.6%,261,12.6%,93,4.5%
Asian,Manhattan,2006,2113,1739,82.3%,1658,78.5%,95.3%,1119,53%,64.3%,539,25.5%,31%,81,3.8%,4.7%,238,11.3%,115,5.4%
Asian,Manhattan,Aug 2006,2113,1767,83.6%,1679,79.5%,95%,1121,53.1%,63.4%,558,26.4%,31.6%,88,4.2%,5%,211,10%,114,5.4%
Asian,Queens,2001,4222,2836,67.2%,2258,53.5%,79.6%,1273,30.2%,44.9%,985,23.3%,34.7%,580,13.7%,20.5%,885,21%,452,10.7%
Asian,Queens,2002,4613,3073,66.6%,2538,55%,82.6%,1349,29.2%,43.9%,1189,25.8%,38.7%,537,11.6%,17.5%,948,20.6%,482,10.4%
Asian,Queens,2003,4745,3335,70.3%,2895,61%,86.8%,1701,35.8%,51%,1194,25.2%,35.8%,440,9.3%,13.2%,907,19.1%,467,9.8%
Asian,Queens,2004,4773,3394,71.1%,2944,61.7%,86.7%,1740,36.5%,51.3%,1204,25.2%,35.5%,450,9.4%,13.3%,939,19.7%,407,8.5%
Asian,Queens,2005,4901,3683,75.1%,3218,65.7%,87.4%,1839,37.5%,49.9%,1379,28.1%,37.4%,465,9.5%,12.6%,793,16.2%,304,6.2%
Asian,Queens,2006,5035,3835,76.2%,3472,69%,90.5%,1793,35.6%,46.8%,1679,33.3%,43.8%,363,7.2%,9.5%,784,15.6%,352,7%
Asian,Queens,Aug 2006,5035,4059,80.6%,3615,71.8%,89.1%,1826,36.3%,45%,1789,35.5%,44.1%,444,8.8%,10.9%,560,11.1%,352,7%
Asian,Staten Island,2001,333,268,80.5%,225,67.6%,84%,138,41.4%,51.5%,87,26.1%,32.5%,43,12.9%,16%,46,13.8%,16,4.8%
Asian,Staten Island,2002,319,265,83.1%,222,69.6%,83.8%,141,44.2%,53.2%,81,25.4%,30.6%,44,13.8%,16.6%,35,11%,15,4.7%
Asian,Staten Island,2003,362,302,83.4%,261,72.1%,86.4%,152,42%,50.3%,109,30.1%,36.1%,41,11.3%,13.6%,39,10.8%,18,5%
Asian,Staten Island,2004,368,319,86.7%,291,79.1%,91.2%,178,48.4%,55.8%,113,30.7%,35.4%,28,7.6%,8.8%,37,10.1%,6,1.6%
Asian,Staten Island,2005,379,326,86%,296,78.1%,90.8%,187,49.3%,57.4%,109,28.8%,33.4%,30,7.9%,9.2%,40,10.6%,6,1.6%
Asian,Staten Island,2006,439,392,89.3%,365,83.1%,93.1%,243,55.4%,62%,122,27.8%,31.1%,27,6.2%,6.9%,22,5%,17,3.9%
Asian,Staten Island,Aug 2006,439,393,89.5%,366,83.4%,93.1%,243,55.4%,61.8%,123,28%,31.3%,27,6.2%,6.9%,21,4.8%,17,3.9%
Black,Bronx,2001,3852,1662,43.1%,800,20.8%,48.1%,158,4.1%,9.5%,642,16.7%,38.6%,862,22.4%,51.9%,1213,31.5%,770,20%
Black,Bronx,2002,3965,1717,43.3%,945,23.8%,55%,143,3.6%,8.3%,802,20.2%,46.7%,774,19.5%,45.1%,1415,35.7%,639,16.1%
Black,Bronx,2003,4572,2186,47.8%,1250,27.3%,57.2%,228,5%,10.4%,1022,22.4%,46.8%,936,20.5%,42.8%,1461,32%,737,16.1%
Black,Bronx,2004,4834,2497,51.7%,1497,31%,60%,267,5.5%,10.7%,1230,25.4%,49.3%,1000,20.7%,40%,1462,30.2%,697,14.4%
Black,Bronx,2005,5048,2724,54%,1771,35.1%,65%,261,5.2%,9.6%,1510,29.9%,55.4%,953,18.9%,35%,1349,26.7%,678,13.4%
Black,Bronx,2006,5161,2850,55.2%,2089,40.5%,73.3%,269,5.2%,9.4%,1820,35.3%,63.9%,761,14.7%,26.7%,1258,24.4%,771,14.9%
Black,Bronx,Aug 2006,5161,3071,59.5%,2188,42.4%,71.2%,272,5.3%,8.9%,1916,37.1%,62.4%,883,17.1%,28.8%,1044,20.2%,764,14.8%
Black,Brooklyn,2001,9382,4232,45.1%,2137,22.8%,50.5%,546,5.8%,12.9%,1591,17%,37.6%,2099,22.4%,49.6%,3284,35%,1543,16.4%
Black,Brooklyn,2002,9789,4435,45.3%,2591,26.5%,58.4%,586,6%,13.2%,2005,20.5%,45.2%,1852,18.9%,41.8%,3438,35.1%,1428,14.6%
Black,Brooklyn,2003,10350,4958,47.9%,2942,28.4%,59.3%,730,7.1%,14.7%,2212,21.4%,44.6%,2016,19.5%,40.7%,3668,35.4%,1410,13.6%
Black,Brooklyn,2004,11070,5733,51.8%,3641,32.9%,63.5%,927,8.4%,16.2%,2714,24.5%,47.3%,2092,18.9%,36.5%,3631,32.8%,1320,11.9%
Black,Brooklyn,2005,11098,5886,53%,4033,36.3%,68.5%,868,7.8%,14.7%,3165,28.5%,53.8%,1853,16.7%,31.5%,3484,31.4%,1214,10.9%
Black,Brooklyn,2006,10886,6024,55.3%,4424,40.6%,73.4%,870,8%,14.4%,3554,32.6%,59%,1600,14.7%,26.6%,3069,28.2%,1320,12.1%
Black,Brooklyn,Aug 2006,10886,6587,60.5%,4672,42.9%,70.9%,876,8%,13.3%,3796,34.9%,57.6%,1915,17.6%,29.1%,2514,23.1%,1312,12.1%
Black,Manhattan,2001,3677,1935,52.6%,1101,29.9%,56.9%,266,7.2%,13.7%,835,22.7%,43.2%,834,22.7%,43.1%,966,26.3%,626,17%
Black,Manhattan,2002,4045,2060,50.9%,1276,31.5%,61.9%,223,5.5%,10.8%,1053,26%,51.1%,789,19.5%,38.3%,1261,31.2%,591,14.6%
Black,Manhattan,2003,3994,1917,48%,1233,30.9%,64.3%,367,9.2%,19.1%,866,21.7%,45.2%,684,17.1%,35.7%,1436,36%,513,12.8%
Black,Manhattan,2004,4128,2074,50.2%,1360,32.9%,65.6%,329,8%,15.9%,1031,25%,49.7%,714,17.3%,34.4%,1401,33.9%,545,13.2%
Black,Manhattan,2005,4448,2423,54.5%,1769,39.8%,73%,315,7.1%,13%,1454,32.7%,60%,654,14.7%,27%,1322,29.7%,493,11.1%
Black,Manhattan,2006,4655,2632,56.5%,2088,44.9%,79.3%,342,7.3%,13%,1746,37.5%,66.3%,544,11.7%,20.7%,1280,27.5%,502,10.8%
Black,Manhattan,Aug 2006,4655,2819,60.6%,2187,47%,77.6%,344,7.4%,12.2%,1843,39.6%,65.4%,632,13.6%,22.4%,1095,23.5%,500,10.7%
Black,Queens,2001,4600,2146,46.7%,1273,27.7%,59.3%,299,6.5%,13.9%,974,21.2%,45.4%,872,19%,40.6%,1485,32.3%,810,17.6%
Black,Queens,2002,4800,2284,47.6%,1368,28.5%,59.9%,295,6.1%,12.9%,1073,22.4%,47%,917,19.1%,40.1%,1512,31.5%,788,16.4%
Black,Queens,2003,5053,2561,50.7%,1652,32.7%,64.5%,398,7.9%,15.5%,1254,24.8%,49%,909,18%,35.5%,1558,30.8%,787,15.6%
Black,Queens,2004,4949,2578,52.1%,1708,34.5%,66.3%,399,8.1%,15.5%,1309,26.4%,50.8%,870,17.6%,33.7%,1546,31.2%,701,14.2%
Black,Queens,2005,5241,2882,55%,2080,39.7%,72.2%,425,8.1%,14.7%,1655,31.6%,57.4%,802,15.3%,27.8%,1372,26.2%,708,13.5%
Black,Queens,2006,5139,2939,57.2%,2202,42.8%,74.9%,405,7.9%,13.8%,1797,35%,61.1%,737,14.3%,25.1%,1308,25.5%,689,13.4%
Black,Queens,Aug 2006,5139,3198,62.2%,2305,44.9%,72.1%,407,7.9%,12.7%,1898,36.9%,59.3%,893,17.4%,27.9%,1053,20.5%,685,13.3%
Black,Staten Island,2001,621,282,45.4%,161,25.9%,57.1%,39,6.3%,13.8%,122,19.6%,43.3%,122,19.6%,43.3%,207,33.3%,100,16.1%
Black,Staten Island,2002,686,334,48.7%,203,29.6%,60.8%,39,5.7%,11.7%,164,23.9%,49.1%,132,19.2%,39.5%,225,32.8%,90,13.1%
Black,Staten Island,2003,739,396,53.6%,260,35.2%,65.7%,59,8%,14.9%,201,27.2%,50.8%,136,18.4%,34.3%,239,32.3%,72,9.7%
Black,Staten Island,2004,694,349,50.3%,247,35.6%,70.8%,78,11.2%,22.3%,169,24.4%,48.4%,102,14.7%,29.2%,231,33.3%,90,13%
Black,Staten Island,2005,778,429,55.1%,289,37.1%,67.4%,62,8%,14.5%,227,29.2%,52.9%,140,18%,32.6%,196,25.2%,87,11.2%
Black,Staten Island,2006,771,427,55.4%,333,43.2%,78%,85,11%,19.9%,248,32.2%,58.1%,94,12.2%,22%,195,25.3%,104,13.5%
Black,Staten Island,Aug 2006,771,449,58.2%,343,44.5%,76.4%,85,11%,18.9%,258,33.5%,57.5%,106,13.7%,23.6%,173,22.4%,104,13.5%
Hispanic,Bronx,2001,6150,2261,36.8%,1064,17.3%,47.1%,242,3.9%,10.7%,822,13.4%,36.4%,1198,19.5%,53%,2035,33.1%,1506,24.5%
Hispanic,Bronx,2002,6623,2606,39.3%,1325,20%,50.8%,228,3.4%,8.7%,1097,16.6%,42.1%,1286,19.4%,49.3%,2351,35.5%,1378,20.8%
Hispanic,Bronx,2003,7583,3131,41.3%,1708,22.5%,54.6%,380,5%,12.1%,1328,17.5%,42.4%,1423,18.8%,45.4%,2548,33.6%,1598,21.1%
Hispanic,Bronx,2004,8009,3810,47.6%,2146,26.8%,56.3%,432,5.4%,11.3%,1714,21.4%,45%,1664,20.8%,43.7%,2463,30.8%,1490,18.6%
Hispanic,Bronx,2005,8616,4356,50.6%,2842,33%,65.2%,570,6.6%,13.1%,2272,26.4%,52.2%,1514,17.6%,34.8%,2392,27.8%,1351,15.7%
Hispanic,Bronx,2006,8850,4469,50.5%,3121,35.3%,69.8%,534,6%,11.9%,2587,29.2%,57.9%,1348,15.2%,30.2%,2360,26.7%,1507,17%
Hispanic,Bronx,Aug 2006,8850,4896,55.3%,3294,37.2%,67.3%,540,6.1%,11%,2754,31.1%,56.3%,1602,18.1%,32.7%,1950,22%,1490,16.8%
Hispanic,Brooklyn,2001,4393,1619,36.9%,815,18.6%,50.3%,278,6.3%,17.2%,537,12.2%,33.2%,806,18.3%,49.8%,1563,35.6%,1045,23.8%
Hispanic,Brooklyn,2002,4662,1803,38.7%,937,20.1%,52%,236,5.1%,13.1%,701,15%,38.9%,867,18.6%,48.1%,1649,35.4%,1052,22.6%
Hispanic,Brooklyn,2003,4876,2055,42.1%,1216,24.9%,59.2%,422,8.7%,20.5%,794,16.3%,38.6%,839,17.2%,40.8%,1700,34.9%,993,20.4%
Hispanic,Brooklyn,2004,5170,2332,45.1%,1485,28.7%,63.7%,480,9.3%,20.6%,1005,19.4%,43.1%,847,16.4%,36.3%,1716,33.2%,973,18.8%
Hispanic,Brooklyn,2005,5244,2529,48.2%,1706,32.5%,67.5%,499,9.5%,19.7%,1207,23%,47.7%,823,15.7%,32.5%,1690,32.2%,821,15.7%
Hispanic,Brooklyn,2006,5327,2634,49.4%,1976,37.1%,75%,461,8.7%,17.5%,1515,28.4%,57.5%,658,12.4%,25%,1582,29.7%,903,17%
Hispanic,Brooklyn,Aug 2006,5327,2845,53.4%,2070,38.9%,72.8%,465,8.7%,16.3%,1605,30.1%,56.4%,775,14.5%,27.2%,1375,25.8%,899,16.9%
Hispanic,Manhattan,2001,5739,2924,50.9%,1678,29.2%,57.4%,389,6.8%,13.3%,1289,22.5%,44.1%,1247,21.7%,42.6%,1471,25.6%,1127,19.6%
Hispanic,Manhattan,2002,5985,2974,49.7%,1823,30.5%,61.3%,379,6.3%,12.7%,1444,24.1%,48.6%,1155,19.3%,38.8%,1857,31%,965,16.1%
Hispanic,Manhattan,2003,6613,3126,47.3%,1968,29.8%,63%,605,9.1%,19.4%,1363,20.6%,43.6%,1158,17.5%,37%,2285,34.6%,1053,15.9%
Hispanic,Manhattan,2004,7276,3747,51.5%,2382,32.7%,63.6%,755,10.4%,20.1%,1627,22.4%,43.4%,1365,18.8%,36.4%,2251,30.9%,1147,15.8%
Hispanic,Manhattan,2005,7555,4231,56%,2954,39.1%,69.8%,650,8.6%,15.4%,2304,30.5%,54.5%,1276,16.9%,30.2%,2083,27.6%,942,12.5%
Hispanic,Manhattan,2006,7766,4478,57.7%,3514,45.2%,78.5%,699,9%,15.6%,2815,36.2%,62.9%,964,12.4%,21.5%,1976,25.4%,1009,13%
Hispanic,Manhattan,Aug 2006,7766,4768,61.4%,3652,47%,76.6%,704,9.1%,14.8%,2948,38%,61.8%,1116,14.4%,23.4%,1693,21.8%,1003,12.9%
Hispanic,Queens,2001,5335,2371,44.4%,1513,28.4%,63.8%,402,7.5%,17%,1111,20.8%,46.9%,861,16.1%,36.3%,1755,32.9%,1051,19.7%
Hispanic,Queens,2002,5952,2656,44.6%,1822,30.6%,68.6%,476,8%,17.9%,1346,22.6%,50.7%,835,14%,31.4%,1941,32.6%,1154,19.4%
Hispanic,Queens,2003,5870,2709,46.1%,1855,31.6%,68.5%,573,9.8%,21.2%,1282,21.8%,47.3%,854,14.5%,31.5%,1926,32.8%,1106,18.8%
Hispanic,Queens,2004,6424,3199,49.8%,2340,36.4%,73.1%,758,11.8%,23.7%,1582,24.6%,49.5%,859,13.4%,26.9%,2010,31.3%,1113,17.3%
Hispanic,Queens,2005,6842,3540,51.7%,2554,37.3%,72.1%,701,10.2%,19.8%,1853,27.1%,52.3%,986,14.4%,27.9%,1875,27.4%,1132,16.5%
Hispanic,Queens,2006,6867,3879,56.5%,3068,44.7%,79.1%,765,11.1%,19.7%,2303,33.5%,59.4%,811,11.8%,20.9%,1769,25.8%,989,14.4%
Hispanic,Queens,Aug 2006,6867,4216,61.4%,3240,47.2%,76.9%,769,11.2%,18.2%,2471,36%,58.6%,976,14.2%,23.1%,1432,20.9%,989,14.4%
Hispanic,Staten Island,2001,604,312,51.7%,204,33.8%,65.4%,49,8.1%,15.7%,155,25.7%,49.7%,108,17.9%,34.6%,178,29.5%,94,15.6%
Hispanic,Staten Island,2002,731,349,47.7%,228,31.2%,65.3%,51,7%,14.6%,177,24.2%,50.7%,121,16.6%,34.7%,217,29.7%,133,18.2%
Hispanic,Staten Island,2003,760,381,50.1%,276,36.3%,72.4%,84,11.1%,22%,192,25.3%,50.4%,105,13.8%,27.6%,251,33%,109,14.3%
Hispanic,Staten Island,2004,829,429,51.7%,312,37.6%,72.7%,85,10.3%,19.8%,227,27.4%,52.9%,117,14.1%,27.3%,258,31.1%,118,14.2%
Hispanic,Staten Island,2005,915,479,52.3%,358,39.1%,74.7%,94,10.3%,19.6%,264,28.9%,55.1%,121,13.2%,25.3%,238,26%,127,13.9%
Hispanic,Staten Island,2006,906,547,60.4%,425,46.9%,77.7%,114,12.6%,20.8%,311,34.3%,56.9%,122,13.5%,22.3%,194,21.4%,116,12.8%
Hispanic,Staten Island,Aug 2006,906,564,62.3%,433,47.8%,76.8%,114,12.6%,20.2%,319,35.2%,56.6%,131,14.5%,23.2%,177,19.5%,116,12.8%
White,Bronx,2001,756,485,64.2%,368,48.7%,75.9%,280,37%,57.7%,88,11.6%,18.1%,117,15.5%,24.1%,153,20.2%,95,12.6%
White,Bronx,2002,696,473,68%,379,54.5%,80.1%,267,38.4%,56.4%,112,16.1%,23.7%,94,13.5%,19.9%,130,18.7%,73,10.5%
White,Bronx,2003,649,423,65.2%,351,54.1%,83%,238,36.7%,56.3%,113,17.4%,26.7%,72,11.1%,17%,123,19%,87,13.4%
White,Bronx,2004,681,467,68.6%,388,57%,83.1%,269,39.5%,57.6%,119,17.5%,25.5%,79,11.6%,16.9%,119,17.5%,83,12.2%
White,Bronx,2005,644,432,67.1%,365,56.7%,84.5%,244,37.9%,56.5%,121,18.8%,28%,67,10.4%,15.5%,114,17.7%,72,11.2%
White,Bronx,2006,636,444,69.8%,396,62.3%,89.2%,254,39.9%,57.2%,142,22.3%,32%,48,7.5%,10.8%,99,15.6%,77,12.1%
White,Bronx,Aug 2006,636,459,72.2%,403,63.4%,87.8%,254,39.9%,55.3%,149,23.4%,32.5%,56,8.8%,12.2%,84,13.2%,77,12.1%
White,Brooklyn,2001,3714,2345,63.1%,1910,51.4%,81.4%,1074,28.9%,45.8%,836,22.5%,35.7%,438,11.8%,18.7%,676,18.2%,646,17.4%
White,Brooklyn,2002,3619,2315,64%,1952,53.9%,84.3%,987,27.3%,42.6%,965,26.7%,41.7%,364,10.1%,15.7%,701,19.4%,547,15.1%
White,Brooklyn,2003,3195,2027,63.4%,1760,55.1%,86.8%,908,28.4%,44.8%,852,26.7%,42%,267,8.4%,13.2%,615,19.2%,510,16%
White,Brooklyn,2004,3090,2070,67%,1794,58.1%,86.7%,1004,32.5%,48.5%,790,25.6%,38.2%,276,8.9%,13.3%,568,18.4%,416,13.5%
White,Brooklyn,2005,2879,1978,68.7%,1747,60.7%,88.3%,934,32.4%,47.2%,813,28.2%,41.1%,231,8%,11.7%,524,18.2%,310,10.8%
White,Brooklyn,2006,2850,1997,70.1%,1798,63.1%,90%,930,32.6%,46.6%,868,30.5%,43.5%,199,7%,10%,501,17.6%,301,10.6%
White,Brooklyn,Aug 2006,2850,2102,73.8%,1868,65.5%,88.9%,943,33.1%,44.9%,925,32.5%,44%,234,8.2%,11.1%,398,14%,299,10.5%
White,Manhattan,2001,1633,1337,81.9%,1132,69.3%,84.7%,570,34.9%,42.6%,562,34.4%,42%,206,12.6%,15.4%,167,10.2%,107,6.6%
White,Manhattan,2002,1640,1319,80.4%,1162,70.9%,88.1%,561,34.2%,42.5%,601,36.6%,45.6%,157,9.6%,11.9%,189,11.5%,87,5.3%
White,Manhattan,2003,1493,1202,80.5%,1075,72%,89.4%,665,44.5%,55.3%,410,27.5%,34.1%,127,8.5%,10.6%,207,13.9%,77,5.2%
White,Manhattan,2004,1580,1277,80.8%,1186,75.1%,92.9%,647,40.9%,50.7%,539,34.1%,42.2%,91,5.8%,7.1%,238,15.1%,53,3.4%
White,Manhattan,2005,1647,1384,84%,1268,77%,91.6%,635,38.6%,45.9%,633,38.4%,45.7%,116,7%,8.4%,183,11.1%,59,3.6%
White,Manhattan,2006,1743,1468,84.2%,1380,79.2%,94%,603,34.6%,41.1%,777,44.6%,52.9%,88,5%,6%,197,11.3%,48,2.8%
White,Manhattan,Aug 2006,1743,1496,85.8%,1398,80.2%,93.4%,604,34.7%,40.4%,794,45.6%,53.1%,98,5.6%,6.6%,170,9.8%,47,2.7%
White,Queens,2001,2807,1801,64.2%,1394,49.7%,77.4%,713,25.4%,39.6%,681,24.3%,37.8%,413,14.7%,22.9%,544,19.4%,372,13.3%
White,Queens,2002,2839,1833,64.6%,1509,53.2%,82.3%,712,25.1%,38.8%,797,28.1%,43.5%,325,11.4%,17.7%,539,19%,383,13.5%
White,Queens,2003,2580,1747,67.7%,1441,55.9%,82.5%,703,27.2%,40.2%,738,28.6%,42.2%,306,11.9%,17.5%,436,16.9%,341,13.2%
White,Queens,2004,2397,1651,68.9%,1387,57.9%,84%,690,28.8%,41.8%,697,29.1%,42.2%,264,11%,16%,457,19.1%,252,10.5%
White,Queens,2005,2361,1667,70.6%,1369,58%,82.1%,635,26.9%,38.1%,734,31.1%,44%,298,12.6%,17.9%,369,15.6%,248,10.5%
White,Queens,2006,2387,1736,72.7%,1484,62.2%,85.5%,654,27.4%,37.7%,830,34.8%,47.8%,252,10.6%,14.5%,382,16%,206,8.6%
White,Queens,Aug 2006,2387,1826,76.5%,1530,64.1%,83.8%,659,27.6%,36.1%,871,36.5%,47.7%,296,12.4%,16.2%,292,12.2%,206,8.6%
White,Staten Island,2001,2304,1700,73.8%,1309,56.8%,77%,650,28.2%,38.2%,659,28.6%,38.8%,391,17%,23%,351,15.2%,205,8.9%
