Publication,Category,Format,Date,Category 2,Description,Category 3,URL
DOB_1_RCNY_101-07_04310,Buildings,The title of Section 101-07 of Subchapter A of Chapter 100 of Title 1 of the Rules of the City of New York is amended.,22-Feb-10,Housing and Buildings,DOB_1_RCNY_101-07_04310,Annual Report,http://nyc.gov/html/records/pdf/govpub/53891_rcny_101-07_040310.pdf
Twelfth Annual Report,Comm - Police Corr,"The NYC Commission to Combat Police Corruption issued its Twelfth Annual Report on February 26, 2010.  This report details the work of the Commission from October 2008 through September 2009.  It includes a review of closed IAB investigations and a review",26-Feb-10,Public Safety,Twelfth Annual Report,Annual Report,http://nyc.gov/html/records/pdf/govpub/5387twelfth_annual_report_-_february_2010.pdf
NYC Landmarks Preservation Commission Designation,Landmarks,"On February 9, 2010, the Landmarks Preservation Commission voted to designate (Former) Yale Club of New York City Building (now Penn Club of New York), 30-32 West 44th Street ,as a New York City Landmark.",09-Feb-10,Housing and Buildings,NYC Landmarks Preservation Commission Designation,Staff Report,http://nyc.gov/html/records/pdf/govpub/5374yaleclubofnewyorkcity_finalreport.pdf
"NYC Landmarks Preservation Commission Designation - February 9, 2010",Landmarks,"On February 9, 2010, the Landmarks Preservation Commission voted to designate 143 Allen Street House in the Borough of Manhattan.",09-Feb-10,Housing and Buildings,"NYC Landmarks Preservation Commission Designation - February 9, 2010",Staff Report,http://nyc.gov/html/records/pdf/govpub/5373143_allen_st_report_final.pdf
DOB Violation Reclassification Amendments Rule,Buildings,Subdivision (j) of Section 102-01 of Subchapter B of Chapter 100 of Title 1 of the Rules of the City of New York is amended by adding new entries relating to New York City Administrative Code Section 28-116.1 and Building Code Section 3303.7.3.,04-Feb-10,Housing and Buildings,DOB Violation Reclassification Amendments Rule,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5354fdobcc02-11-10a.pdf
NYC Landmarks Preservation Commission Designates Dollar Savings Bank,Landmarks,"The NYC Landmarks Preservation Commission voted to designate as a Landmark the Dollar Savings Bank, 2792 Third Avenue, Borough of the Bronx",15-Jan-10,Housing and Buildings,NYC Landmarks Preservation Commission Designates Dollar Savings Bank,Staff Report,http://nyc.gov/html/records/pdf/govpub/5321dollar_savings_bank_desig_rep.pdf
NYC Landmarks Preservation Commission Designates the Mary and David Burgher House,Landmarks,"The NYC Landmarks Preservation Commission voted to designate as a Landmark the Mary and David Burgher House, 63 William Street, Staten Island",12-Jan-01,Housing and Buildings,NYC Landmarks Preservation Commission Designates the Mary and David Burgher House,Staff Report,http://nyc.gov/html/records/pdf/govpub/532063_william_street_final.pdf
NYC Landmarks Preservation Commission Designates West Park Presbyterian Church,Landmarks,"The NYC Landmarks Preservation Commission voted to designate as a Landmark West Park Presbyterian Church, 165 West 86th Street, Borough of Manhattan.",12-Jan-10,Housing and Buildings,NYC Landmarks Preservation Commission Designates West Park Presbyterian Church,Staff Report,http://nyc.gov/html/records/pdf/govpub/5319west_park_presbyterian_church.pdf
NYC Landmarks Preservation Commission Designates the 311 Broadway Building,Landmarks,"The NYC Landmarks Preservation Commission voted to designate as a Landmark the 311 Broadway Building, 311 Broadway, Manhattan.",12-Jan-10,Housing and Buildings,NYC Landmarks Preservation Commission Designates the 311 Broadway Building,Staff Report,http://nyc.gov/html/records/pdf/govpub/5318311_broadway_final_report.pdf
NYC Landmarks Preservation Commission Designates the Ridgewood Theater,Landmarks,"The NYC Landmarks Preservation Commission voted to designate the Ridgewood Theater, 55-27 Myrtle Avenue, Borough of Queens, as a New York City Landmark.",12-Jan-10,Housing and Buildings,NYC Landmarks Preservation Commission Designates the Ridgewood Theater,Staff Report,http://nyc.gov/html/records/pdf/govpub/5317ridgewood_theater_desig_rep.pdf
NYC Landmarks Preservation Commission Designates Public School 66,Landmarks,"Designation Report for Public School 66 (Formerly the Brooklyn Hills School, Later the Oxford School, Now the Jacqueline Kennedy Onassis School), 85-11 102nd Street, Borough of Queens",12-Jan-10,Housing and Buildings,NYC Landmarks Preservation Commission Designates Public School 66,Staff Report,http://nyc.gov/html/records/pdf/govpub/5316ps66_designation_report_final.pdf
"LL63 Homeless Report, Fourth Annual",Health and Mental Hyg.,"This report has been submitted pursuant to Local Law 63 of 2005 (LL63), amending the Administrative Code of the City of New York to track and report deaths of homeless persons in the City of New York. Data contained in this report are for the annual perio",15-Jan-10,Health,"LL63 Homeless Report, Fourth Annual",Annual Report,http://nyc.gov/html/records/pdf/govpub/53154th_annual_report_finaldraft_v3.pdf
Citywide Statement of Needs For Fiscal Years 2010 and 2011,City Planning,"The Citywide Statement of Needs for Fiscal Years 2011 and 2012 is the latest in the series of annual reports required under Section 204 of the City Charter. Along with the Criteria for the Location of City Facilities (the Fair Share Criteria), the Stateme",15-Jan-10,Government Policy,Citywide Statement of Needs For Fiscal Years 2010 and 2011,Annual Report,http://nyc.gov/html/records/pdf/govpub/5314final_son__fy_2010_2011.pdf
2008-2009 Annual Arts in Schools Report,"Education, Dept. of","This third Annual Arts in Schools Report celebrates the exceptional ability of our dedicated school leaders to envision and maximize arts learning for their students, yet
recognize the challenges they face in making quality arts education a reality for al",09-Dec-09,Education,2008-2009 Annual Arts in Schools Report,Annual Report,http://nyc.gov/html/records/pdf/govpub/52962009artsreport.pdf
11/30/09 Quarterly Provisional Report,Citywide Admin Svcs,The Department of Citywide Administrative Services 22a Charter Provisional Report on Provisionals within City agencies as of 11/30/09,30-Nov-09,Labor Relations,11/30/09 Quarterly Provisional Report,Report,http://nyc.gov/html/records/pdf/govpub/5294rpt22a.shorter.pdf
8/31/09 Quarterly Provisional Report,Citywide Admin Svcs,The Department of Citywide Administrative Services 22a Charter Provisional Report on Provisionals within City agencies as of 8/31/09,31-Aug-09,Labor Relations,8/31/09 Quarterly Provisional Report,Report,http://nyc.gov/html/records/pdf/govpub/5293rpt22a.shorter.pdf
"LL63 Homeless Report, 17th Quarter",Health and Mental Hyg.,This report has been prepared and submitted pursuant to Local Law 63 of 2005 (LL63) amending the Administrative Code of the City of New York to track and report deaths of homeless persons in the City of New York. Data contained in this report are for the ,31-Dec-09,Health,"LL63 Homeless Report, 17th Quarter",Report,http://nyc.gov/html/records/pdf/govpub/5291ll63_qtr17_report_final.pdf
NYC Landmarks Preservation Commission Designates the Perry Avenue Historic District,Landmarks,"On December 15, 2009, the Landmarks Preservation Commission designated as a Historic District the Perry Avenue Historic District , Borough of the Bronx.",15-Dec-09,Housing and Buildings,NYC Landmarks Preservation Commission Designates the Perry Avenue Historic District,Staff Report,http://nyc.gov/html/records/pdf/govpub/5284perryave_desigreport_final._compressed.pdf
DOB Final Rule 1 RCNY 102-01,Buildings,This rule relates to sub chaper B Enforcement with respect to violation reclassification and certification of correction.,02-Dec-02,Housing and Buildings,DOB Final Rule 1 RCNY 102-01,Annual Report,http://nyc.gov/html/records/pdf/govpub/52711_rcny_102-01_details.pdf
DOB Final Rule for Reclassification and Certificate of Correction Rule Amendment,Buildings,The amendments to Section 102-01 of the Department’s rules re: outdoor signs derive from two sources:  (1) Department determination of modifications required in light of several months of enforcement of the new codes in relation to the classification of A,08-Dec-09,Housing and Buildings,DOB Final Rule for Reclassification and Certificate of Correction Rule Amendment,Annual Report,http://nyc.gov/html/records/pdf/govpub/5270fdobcc12-23-09a.pdf
Health Club Members Beware: Read the Fine Print,City Council,"On July 2, 2003, the Council Investigation Division (CID) released a report to the Committee on Oversight and Investigations and the Committee on Consumer Affairs entitled, ""Health Club Members Beware: Read The Fine Print.""  The investigation conducted by",02-Jul-03,Health,Health Club Members Beware: Read the Fine Print,Report,http://nyc.gov/html/records/pdf/govpub/526healthclub.pdf
DOB Rule Section 102-01-Bicycle Access in Office Buildings,Buildings,"The proposed amendments to Section 102-01 of the Department’s rules result from the enactment of Local Law 52 of 2009, which was signed into law on August 13, 2009 and takes effect on December 11, 2009. Local Law 52 amends Chapter 5 of Title 28 of the New",02-Dec-09,Housing and Buildings,DOB Rule Section 102-01-Bicycle Access in Office Buildings,Annual Report,http://nyc.gov/html/records/pdf/govpub/5257fdobcc12-11-09a_(2).pdf
B.F. Goodrich Company Building Designated a NYC Landmark,Landmarks,"On Novenber 10, 2009, the Landmarks Preservation Commission voted to designate as a NYC Landmark the B.F. Goodrich and Company Building, 1780 Broadway in the borough of Manhattan.",10-Nov-09,Housing and Buildings,B.F. Goodrich Company Building Designated a NYC Landmark,Staff Report,http://nyc.gov/html/records/pdf/govpub/5241b.f.goodrich_desig_rep.pdf
DOB RCNY_103_0_3_121409,Buildings,"This rule establishes American Society of Mechanical Engineers (“ASME”) A17.3-2002 as the standard with which elevators and escalators built in accordance with the 1968, or any previous edition, of the Building Code of the City of New York shall comply an",04-Nov-09,Housing and Buildings,DOB RCNY_103_0_3_121409,Legislative Document,http://nyc.gov/html/records/pdf/govpub/52401_rcny_103-03_121409.pdf
DOB RCNY_3610-01_121409,Buildings,"This rule adopts the uniform national reference standard ASME A17.3-2002, as modified by
New York City, and incorporates various retroactive provisions from Subchapter 18 and Reference Standard RS-18 of Title 27 of the Administrative Code of the New York ",04-Nov-09,Housing and Buildings,DOB RCNY_3610-01_121409,Legislative Document,http://nyc.gov/html/records/pdf/govpub/52391_rcny_3610-01_121409.pdf
NYC LANDMARKS PRESERVATION COMMISSION Designates the Herman A. and Malvina Schleicher Mansion,Landmarks,"On October 20, 2009, the Landmarks Preservation Commission voted to designate the Herman A. and Malvina Schleicher Mansion, 11-41 123rd Street in the Borough of Queens.",20-Oct-09,Housing and Buildings,NYC LANDMARKS PRESERVATION COMMISSION Designates the Herman A. and Malvina Schleicher Mansion,Staff Report,http://nyc.gov/html/records/pdf/govpub/5234schleicher_house_desig_rep.pdf
DOB Rule Relating to Existing Elaevator and Escalators,Buildings,"This rule establishes American Society of Mechanical Engineers (“ASME”) A17.3-2002 as the standard with which elevators and escalators built in accordance with the 1968, or any previous edition, of the Building Code of the City of New York shall comply an",04-Nov-09,Housing and Buildings,DOB Rule Relating to Existing Elaevator and Escalators,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5226fdobcc-11-13-09a.pdf
NLC Landmarks Preservation Commission Designates a Historic District,Landmarks,"On Tuesday October 27, 2009, the NYC Landmarks Preservation Commission voted to designate as a NYC Historic District, Ocean Park Historic District in the Borough of Brooklyn.",27-Oct-09,Housing and Buildings,NLC Landmarks Preservation Commission Designates a Historic District,Staff Report,http://nyc.gov/html/records/pdf/govpub/5225ocean_on_the_park_report_final_102809.pdf
The New York City Landmarks Preservation Commission Designates as a Landmark the Ralph and Ann E. Van Wyck Mead House ,Landmarks,"The Ralph and Ann E. Van Wyck Mead House (later Isaac T. Hopper Home of the Women's Prison Association), 110 Second Avenue, Borough of Manhattan",13-Oct-09,Housing and Buildings,The New York City Landmarks Preservation Commission Designates as a Landmark the Ralph and Ann E. Van Wyck Mead House ,Staff Report,http://nyc.gov/html/records/pdf/govpub/5195mead_house_desig_rep.pdf
NYC Landmarks Preservation Commission Designates (Former) JARMULOWSKY BANK,Landmarks,"(Former) Jarmulowsky Bank, 54 Canal Street, Borough of Manhattan, has been designated a New York City Landmark.",13-Oct-09,Housing and Buildings,NYC Landmarks Preservation Commission Designates (Former) JARMULOWSKY BANK,Staff Report,http://nyc.gov/html/records/pdf/govpub/5194jarmulowsky_desig_rep.pdf
NYC Landmarks Preservation Commission Designation Report for Edith Andrews Logan Residence,Landmarks,"On October 6, 2009, the Landmarks Preservation Commission voted to designate the Edith Andrews Logan Residence, 17 West 56th Street, Borough of Manhattan.",06-Oct-09,Housing and Buildings,NYC Landmarks Preservation Commission Designation Report for Edith Andrews Logan Residence,Staff Report,http://nyc.gov/html/records/pdf/govpub/5189edith_andrews_logan_residence_desig_rep.pdf
1 RCNY 3616-02,Buildings,"This rule specifically permits the omission of sprinklers from small residential closets in accordance with nationally recognized standards and practices
established under the 1968 Building Code, though to a more restrictive degree in
terms of size of exe",24-Sep-09,Housing and Buildings,1 RCNY 3616-02,Annual Report,http://nyc.gov/html/records/pdf/govpub/51881_rcny_3616-02.pdf
1 RCNY 3616-01,Buildings,"This rule specifically permits the omission of sprinklers from small residential closets in accordance with nationally recognized standards and practices established under the 1968 Building Code, though to a more restrictive degree in terms of size of exe",24-Sep-09,Housing and Buildings,1 RCNY 3616-01,Legislative Document,http://nyc.gov/html/records/pdf/govpub/51871_rcny_3616-01.pdf
1 RCNY 101-12,Buildings,Rhe rule implements Article 113 of Title 28 of the New York city Administrative code by specifying the role and responsibilities of the Office of Technical Certification and Research in relation to the use of materials in construction activities.,24-Sep-09,Housing and Buildings,1 RCNY 101-12,Legislative Document,http://nyc.gov/html/records/pdf/govpub/51861_rcny_101-12_(3).pdf
DOB Construction Code Update 21- LL39.09,Buildings,"Section 28-103.7.1, page number A-6a in the Construction Code is updated.",29-Dec-09,Housing and Buildings,DOB Construction Code Update 21- LL39.09,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5183cc_update_21-ll39-09[1].pdf
DOB Construction CodeUpdate 20 - LL37/09,Buildings,"Article 106, page number A-16a in the Construction code is updated.",28-Sep-09,Housing and Buildings,DOB Construction CodeUpdate 20 - LL37/09,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5182cc_update_20-ll37-09[1].pdf
DOB construction Code Update 19 - LL 32/09,Buildings,"Section 3303.7.3, page number 602a of the Construction code is updated.",28-Aug-09,Housing and Buildings,DOB construction Code Update 19 - LL 32/09,Annual Report,http://nyc.gov/html/records/pdf/govpub/5181cc_update_19-ll36-09[1].pdf
DOB Construction Code Update # 18 - LL 32/09,Buildings,"General Administrative Provisions, Section 28-201.2.2, page A-38g is updated.",27-Oct-09,Housing and Buildings,DOB Construction Code Update # 18 - LL 32/09,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5179cc_update_18-ll32-09[1].pdf
final rule for the National Fire Protection Association 13 Amendment ,Buildings,"This rule specifically permits the omission of sprinklers from small residential closets in accordance with nationally recognized standards and practices established under the 1968 Building Code, though to a more restrictive degree in terms of size of exe",06-Oct-09,Housing and Buildings,final rule for the National Fire Protection Association 13 Amendment ,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5178fdobcc10-06-09a.pdf
Rule-Office of Technical Certification and Research,Buildings,The rule implements Article 113 of Title 28 of the New York City Administrative Code by specifying the role and responsibilities of the Office of Technical Certification and Research (“OTCR”) in relation to the use of materials in construction activities.,11-Aug-09,Housing and Buildings,Rule-Office of Technical Certification and Research,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5177fdobcc10-05-09a.pdf
Construction Code Update-Administration-Update # 19,Buildings,"Construction Code Update relating to Section 3303.7.3, Page Number 602a and relating to Local Law 36 of 2009.",28-Aug-09,Housing and Buildings,Construction Code Update-Administration-Update # 19,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5176constuction_code_update-safeguards-update_page_19_combined.pdf
Construction Code Update-Administration-Update # 18,Buildings,"Construction Code Update relating to general administrative procedures contained in Section 28-201.2.2, Page Number A-38g and relating to Local Law 32 of 2009.",27-Oct-09,Housing and Buildings,Construction Code Update-Administration-Update # 18,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5175construction_code_update-enforcement-update_page_18_combined.pdf
Construction Code Update-Administration-Update # 20,Buildings,"Construction Code update relating to Article 106, Page number A-16a, Local Law 37 of 2009.",28-Aug-09,Housing and Buildings,Construction Code Update-Administration-Update # 20,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5174construction_code-administration-update_page_20_combined_(2).pdf
Construction Code Update-Administration-Update # 21,Buildings,"Construction Code, Section 28-103.7.1, page # A-6a relating to Local Law 39/2009 is updated.",29-Dec-09,Housing and Buildings,Construction Code Update-Administration-Update # 21,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5173construction_code_update-administration-_page_21_combined.pdf
1 RCNY 7000-01,Buildings,"The Department has determined that the reference to the 1996 edition of the National Fire Protection Association, Flammable Combustible Code prescribed in
the NFPA portion of Section MC 1501 of the New York City Mechanical Code is erroneous. The 2003 edit",21-Sep-09,Housing and Buildings,1 RCNY 7000-01,Legislative Document,http://nyc.gov/html/records/pdf/govpub/51721_rcny_7000-01_103109.pdf
"LL63 Homeless Report, 16th Quarter",Health and Mental Hyg.,This report has been prepared and submitted pursuant to Local Law 63 of 2005 (LL63) amending the Administrative Code of the City of New York to track and report deaths of homeless persons in the City of New York. Data contained in this report are for the ,01-Oct-09,Health,"LL63 Homeless Report, 16th Quarter",Report,http://nyc.gov/html/records/pdf/govpub/5171ll63_q16_apr-jun_09_final.pdf
Lanmdmarks Preservation Commission Designates 417 Westervelt Avenue House,Landmarks,"417 Westervelt Avenue House, Horton's Row, Borough of Staten Island, has been designated a NYC Individual Landmark.",15-Sep-09,Housing and Buildings,Landmarks Preservation Commission Designates 417 Westervelt Avenue House,Staff Report,http://nyc.gov/html/records/pdf/govpub/5159417_westervelt_hortons_row_report_final.pdf
"Landmarks Preservation Commission Designates 415 Westervelt Avenue House, Horton's Row",Landmarks,"415 Westervelt Avenue House, Horton's Row, Borough of Staten island, has been designated a NYC Individual Landmark.",15-Sep-09,Housing and Buildings,"Landmarks Preservation Commission Designates 415 Westervelt Avenue House, Horton's Row",Staff Report,http://nyc.gov/html/records/pdf/govpub/5158415_westervelt_hortons_row_report_final.pdf
Landmarks Preservation Commission Designates 413 Westervelt Avenue House,Landmarks,"413 Westervelt Avenue House, Horton's Row, Borough of Staten island, has been designated a New York City Individual Landmark,",15-Sep-09,Housing and Buildings,Landmarks Preservation Commission Designates 413 Westervelt Avenue House,Staff Report,http://nyc.gov/html/records/pdf/govpub/5157413_westervelt_hortons_row_report_final.pdf
Landmarks Preservation Commission Designates 411 Westervelt Avenue House,Landmarks,"411 Westervelt Avenue House, Horton's Row, Borough of Staten Island, has been designated a New York City Individual Landmark.",15-Sep-09,Housing and Buildings,Landmarks Preservation Commission Designates 411 Westervelt Avenue House,Staff Report,http://nyc.gov/html/records/pdf/govpub/5156411_westervelt_hortons_row_report_final.pdf
NFPA flammable combustible Code Edition Amendment Rule,Buildings,"The Department has determined that the reference to the 1996 edition of the National Fire Protection Association, Flammable Combustible Code prescribed in the NFPA portion of Section MC 1501 of the New York City Mechanical Code is erroneous.  The 2003 edi",21-Sep-09,Housing and Buildings,NFPA flammable combustible Code Edition Amendment Rule,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5153nfpa_flammable_combustible_code_edition_amendment_rule_9-30-09a.pdf
Section 4000-6 Fire Alarm Wiring and Power Sources,Buildings,"Chapter 4000 of Title 1 of the Rules of the City of New York is amended by repealing and repromulgating Section 4000-6, Fire Alarm Wiring and Power Sources.",30-Jul-09,Housing and Buildings,Section 4000-6 Fire Alarm Wiring and Power Sources,Legislative Document,http://nyc.gov/html/records/pdf/govpub/50231_rcny_4000-06_081109_(2).pdf
"LL36 Homeless Report, 15th Quarter",Health and Mental Hyg.,This report has been prepared and submitted pursuant to Local Law 63 of 2005 (LL63) amending the Administrative Code of the City of New York to track and report deaths of homeless persons in the City of New York. Data contained in this report are for the ,30-Jun-09,Health,"LL36 Homeless Report, 15th Quarter",Report,http://nyc.gov/html/records/pdf/govpub/5015ll63_q15_jan-march_09_final.pdf
Repeal and Repromulgation of Fire Alarm Wiring and Power Sources,Buildings,"The Department of Buildings repeals and repromulgates Section 4000-06 of Chapter 4000 of Title 1 of the Rules of the City of New York, relating to fire alarm wiring and power sources.  ",30-Jul-09,Housing and Buildings,Repeal and Repromulgation of Fire Alarm Wiring and Power Sources,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5012fire_alarm_wiring_repeal_and_repromulgation-fire_alarm_wiring_and_power_sources.pdf
Creating a Culture of Cooperation: the Office of Child Support Enforcement’s 2008 Annual Report  ,Human Rsrcs - HRA,"To fulfill our mission of helping children receive financial support from both parents, we are working to improve preceptions of the child support program among parents and providers.",08-May-09,Human Services,Creating a Culture of Cooperation: the Office of Child Support Enforcement’s 2008 Annual Report  ,Annual Report,http://nyc.gov/html/records/pdf/govpub/5011ocse_report_2009.pdf
Working through Barriers: How the WeCARE Program Helps New Yorkers,Human Rsrcs - HRA,New York City's Wellness Comprehensive Assessment Rehabilitation and Employment (WeCARE) Program,06-Apr-09,Human Services,Working through Barriers: How the WeCARE Program Helps New Yorkers,Report,http://nyc.gov/html/records/pdf/govpub/5010wecare_report.pdf
City Council Stated Meeting Agenda,City Council,City Council Stated Meeting Agenda,25-Jun-03,Government Policy,City Council Stated Meeting Agenda,Legislative Document,http://nyc.gov/html/records/pdf/govpub/500agenda.pdf
Amendment to 403-01 Impact Resistant Stair and Elevator Shaft Enclosures,Buildings,This amendment makes an administrative correction to the rule by further specifying the testing criteria of national reference standard ASTM C1629-06 that an approved testing agency must conform to when testing/listing wall boards.,07-Sep-09,Housing and Buildings,Amendment to 403-01 Impact Resistant Stair and Elevator Shaft Enclosures,Legislative Document,http://nyc.gov/html/records/pdf/govpub/50091_rcny_403-01_090709.pdf
Building Conservation Reports Plans and Waterless Urinals,Buildings,"The adopted rule sets forth the criteria for the approval of building water conservation plans in accordance with Section PC C102.1 of Appendix C of the New York City Plumbing Code (“Plumbing Code”), which permits the use of waterless urinals only as part",21-Jun-09,Housing and Buildings,Building Conservation Reports Plans and Waterless Urinals,Legislative Document,http://nyc.gov/html/records/pdf/govpub/50076-22-09_building_conservation_reports_plans_and_waterless_urinals_-s-.pdf
DOB Rule 101-02 Dryer-Boiler Installation,Buildings,"This rule amendment facilitates the filing of an application for domestic gas dryers, boilers, hot water heaters and furnaces to encourage homeowners to replace their existing applicances with energy saving units.",05-Aug-09,Housing and Buildings,DOB Rule 101-02 Dryer-Boiler Installation,Legislative Document,http://nyc.gov/html/records/pdf/govpub/5006rule_101-02_dryer-boiler_installation.pdf
NYC Landmarks Preservation Commission Designates (Former) St. George's Syrian Catholic Church,Landmarks,"On July 14, 2009, the NYC Landmarks Preservation Commission voted to designate as a Landmark the (FORMER) ST. GEORGE'S SYRIAN CATHOLIC CHURCH.",14-Jul-09,Housing and Buildings,NYC Landmarks Preservation Commission Designates (Former) St. George's Syrian Catholic Church,Staff Report,http://nyc.gov/html/records/pdf/govpub/4986st._georges_church-103_washington_desig_rep.pdf
"NYC Landmarks Preservation Commission-Grammar School No. 9 (Later Public School 9/John Jasper School, Now Mickey Mantle School/Public School 811M)",Landmarks,"On July 14 2009, the NYC Landmarks Preservation Commission voted to designate as a Landmark GRAMMAR SCHOOL NO. 9 (LATER PUBLIC SCHOOL 9/JOHN JASPER SCHOOL, NOW MICKEY MANTLE SCHOOL/PUBLIC SCHOOL 811M)",14-Jul-09,Housing and Buildings,"NYC Landmarks Preservation Commission-Grammar School No. 9 (Later Public School 9/John Jasper School, Now Mickey Mantle School/Public School 811M)",Staff Report,http://nyc.gov/html/records/pdf/govpub/4985grammar_school_no_9_-_final_report.pdf
"Archival Review Board (Local Law 22), Report to the Mayor",Records,Annual report submitted to the Mayor by the Archival Review Board as per provisions of Local Law 22 of 2003.  The law established a five-member “Archival review board.” The law required that the Review Board submit to the Mayor an annual report describing,15-Jul-09,Cultural/Entertainment,"Archival Review Board (Local Law 22), Report to the Mayor",Annual Report,"http://nyc.gov/html/records/pdf/govpub/4983local_law_22_report_to_mayor,_june__2009_.pdf"
NYC TAT  Annual Report 2008,Tax Appeals Tribunal,"New York City
Tax Appeals Tribunal
Anual Report
July 1, 2007 - June 30, 2008",02-Jul-09,Finance and Budget,NYC TAT  Annual Report 2008,Annual Report,http://nyc.gov/html/records/pdf/govpub/49422008_annual_report.pdf
NYC TAT Annual Report 2007,Tax Appeals Tribunal,"New York City
Tax Appeals Tribunal
Annual Report
July 1, 2006 - June 30, 2007",02-Jul-09,Finance and Budget,NYC TAT Annual Report 2007,Annual Report,http://nyc.gov/html/records/pdf/govpub/49412007_annual_report.pdf
RCNY 8000-01 - 080109,Buildings,"The adopted rule sets forth the criteria for the approval of building water conservation plans in accordance with Section PC C102.1 of Appendix C of the
New York City Plumbing Code (""Plumbing Code""), which permits the use of waterless urinals only as part",21-Jun-09,Housing and Buildings,DOB Adopted Rule 1 RCNY 8000-01,Legislative Document,http://nyc.gov/html/records/pdf/govpub/49351_rcny_8000-01_080109.pdf
RCNY 8000-01,Buildings,"The adopted rule sets forth the criteria for the approval of building water conservation plans in accordance with Section PC C102.1 of Appendix C of the
New York City Plumbing Code (""Plumbing Code""), which permits the use of waterless urinals only as part",21-Jun-09,Housing and Buildings,DOB Adopted Rule 1 RCNY 8000-01,Legislative Document,http://nyc.gov/html/records/pdf/govpub/49351_rcny_8000_01.pdf
5/31/09 Quarterly Provisional Report,Citywide Admin Svcs,The Department of Citywide Administrative Services 22a Charter Provisional Report on Provisionals within City agencies as of 5/31/09,31-May-09,Labor Relations,5/31/09 Quarterly Provisional Report,Serial Publication,http://nyc.gov/html/records/pdf/govpub/4934rpt22ashorter.pdf
Quarterly Report on Homeless Deaths # 15,Health and Mental Hyg.,This report has been prepared and submitted pursuant to Local Law 63 of 2005 (LL63) amending the Administrative Code of the City of New York to track and report deaths of homeless persons in the City of New York. Data contained in this report are for the ,30-Jun-09,Health,Quarterly Report on Homeless Deaths # 15,Report,http://nyc.gov/html/records/pdf/govpub/4931ll63_q15_jan-march_09_final.pdf
"Mount Olive Fire Baptized Holiness Church (former Second Reformed Presbyterian Church, Borough of Manhattan",Landmarks,"NYC Landmarks Preservation designated Mount Olive F.B.H. (former Second Reformed Presbyterian Church), Borough of Manhattan, as a NYC Individual Landmark.",23-Jun-09,Housing and Buildings,"Mount Olive Fire Baptized Holiness Church (former Second Reformed Presbyterian Church, Borough of Manhattan",Staff Report,http://nyc.gov/html/records/pdf/govpub/4929mt._olive_church_desig_rep.pdf
John Peirce Residence - NYC Designated Landmark,Landmarks,The NYC Landmarks Presevation Commission designated the John Peirce Residence as a NYC Individual Landmark.,23-Jun-09,Housing and Buildings,John Peirce Residence - NYC Designated Landmark,Staff Report,http://nyc.gov/html/records/pdf/govpub/4928pierce_residence_desig_report-final.pdf
94 GREENWICH STREET HOUSE -NYC Designated Landmark,Landmarks,The New York City Landmarks Preservation Commission designated the 94 Greenwich Street House as an Individual Landmark.,23-Jun-09,Housing and Buildings,94 GREENWICH STREET HOUSE -NYC Designated Landmark,Annual Report,http://nyc.gov/html/records/pdf/govpub/492794greenwichstreethouse_report_final.pdf
City Council Stated Meeting Agenda,City Council,City Council Stated Meeting Agenda,24-May-03,Government Policy,City Council Stated Meeting Agenda,Legislative Document,http://nyc.gov/html/records/pdf/govpub/491agenda.pdf
NYC Buildings Biennial Report 2007-2008,Buildings,"The report chronicles the progress and accomplishments of the Buildings Department including use of new technology, innovative enforcement initiatives, and working with the industry to improve construction safety.",09-Jun-09,Housing and Buildings,NYC Buildings Biennial Report 2007-2008,Report,http://nyc.gov/html/records/pdf/govpub/4907biennial_report_printer_version[1].pdf
"Department of Buildings, Public Challenge of Department Zoning Approvals",Buildings,Subchapter A of Chapter 100 of Title 1 of the Rules of the City of New York is amended by adding new sections 101-15 nad 101-16 re: Public Challenge of Department Zoning Approvals.,05-Jun-09,Housing and Buildings,"Department of Buildings, Public Challenge of Department Zoning Approvals",Legislative Document,http://nyc.gov/html/records/pdf/govpub/4902ddoc060909.pdf
"NYC Landmarks Preservation Commission Designation Report for Audubon Park Historic District, Borough of Manhattan",Landmarks,"Designation Report for Audubon Park Historic District, Borough of Manhattan",12-May-09,Housing and Buildings,"NYC Landmarks Preservation Commission Designation Report for Audubon Park Historic District, Borough of Manhattan",Staff Report,http://nyc.gov/html/records/pdf/govpub/4881audubonpark_desigreport_final.pdf
