Type of Business,Business Type Other,Company Name,Company Description,Street Address,Apt  Number,Borough,Postal Code,Business Phone,Contact Name,Contact Title,Contact Phone,Contact Fax,Location 1
Music Company,,Sefarad Records & Management,"Sefarad Records & Management promotes Judeo-Spanish, Middle Eastern, Flamenco, and French music and artists. The label has ten CD releases, one song book and two more CDs scheduled for release at the beginning of 2005. Our management company represents the various artists on the Sefarad Records label. We book The Ivory Consort, The Gerard Edery Ensemble, The Sons of Sepharad, The Minstrel and the Storyteller, as well as solo artists and smaller ensembles. Our programs include ""Flamenco Sepharad"", ""Music in the Land of Three Faiths"", ""Treasures of World Song"" and many more.",18 West 21st Street,Suite 801,Manhattan,10010,212-924-3746,Thia Knowlton,Manager,212-924-3746,212-924-3749,"18 21st Street
Manhattan, NY 10010
(40.73981530072606, -73.98955385754371)"
Magazine / Newspaper / Publishing,,Selecciones,"Selecciones empowers the Hispanic family in the U.S. with content that is practical, informative and inspirational - providing news on extraordinary people, the latest trends and relevant service, all while celebrating the diversity of the Hipsanic experience.",260 Madison Ave.,5th Floor,Manhattan,10016,(212)850-7212,Rosanne Tifre,Associate Publisher,(212)850-7212,(212)850-7228,"260 Madison Ave
Manhattan, NY 10016
(40.75057694979711, -73.9809075788259)"
Production Company,,"Silent Warrior Productions/The New Family Theater, LLC","A Latino-flavored film, stage, and multi-media production company. Projects range from two independent films recently showcased in the NY International Latino Film Festival: ""The STARSEED incident"" (Myztico Campo) and ""18B Justice"" (Ralph Nieves) to various stage projects such as original theater & spoken word pieces and revival presentations of Pinero works. Antone Pagan and Scott Morfee will present ""SHORT EYES"" for the 2004/05 season.",357 West 45th Street,# 2FE,Manhattan,10036,917-337-0164,Antone Pagan,President/Executive Artistic Director,917-337-0164,212-459-1910,"357 45th Street
Manhattan, NY 10036
(40.75985959151304, -73.9899721218288)"
PR / Communications / Marketing,,Soccer United Marketing,"SUM is the preeminent commercial soccer company in the U.S. They hold the exclusive rights to the most  important soccer properties in the nation, including all commercial rights to Major League Soccer, the U.S. Soccer Federation and all men's and women's national teams, among others.  ",420 Fifth Ave.,7th Floor,Manhattan,10018,(212)450-1200,Michael Gandler,"Director, Hispanic Business",(212)450-1200,(212)450-1326,"420 Fifth Ave
Manhattan, NY 10018
(40.751024693981236, -73.98275608934273)"
Television Network,,Telemundo Communications,"Telemundo aims to entertain, inform and serve the Spanish-speaking U.S. Hispanic population with a comprehensive and quality broadcasting service. To provide advertising agencies and corporate clients with a wide spectrum of marketing and promotional opportunities to effectively and efficiently reach Telemundo network and station viewers.",30 Rockefeller Plaza,,Manhattan,10112,(212)664-4444,Don Browne,President,(212)664-4444,(212)664-7985,"30 Rockefeller Plaza
Manhattan, NY 10112
(40.759031999727085, -73.97837200036747)"
Advertising,,The Bravo Group,"We strive to be our client's most valuable business partner. We provice our clients with resonant brand experiences that secure brand loyalty by creating distinctive, relevant and emotional connections between the evolving Hispanic market and our clients' brands.",20 Cooper Square,,Manhattan,10003,(212)780-5800,Eddie Gonzalez,Chairman & CEO,(212)780-5800,(212)780-0602,"20 Cooper Square
Manhattan, NY 10003
(40.728016462282866, -73.99135996323734)"
Production Company,,"The Image Factory, Inc. ","The Image Factory, Inc. is a Latin owned full-service production company handling all aspects of Film and Television production in the heart of New York City.",244-250 West 49th Street,Suite 703,Manhattan,10019,646-432-3300,Carlo Ocando,President,646-432-3301,646-432-3303,"244 250 West 49th Street
Manhattan, NY 10019
(40.76761164715987, -73.99180550022362)"
Production Company,,The Latino Group,"A production company formed by a group of Latino filmmakers in New York, whose mission is to help, support and foster innovative filmmaking by or about the Latino experience in the US.",107 Suffolk Street,Suite 311,Manhattan,10002,212-475-6601,Vlamyr Vizcaya,director,212-475-6601,877-764-4783,"107 Suffolk Street
Manhattan, NY 10002
(40.719521874540526, -73.98583731954874)"
Advertising,,The Vidal Partnership,"Aims to be the most effective Hispanic communications agency in the US dedicated to their core business by delivering unmatched market insight, creative innovation and flawless execution across a broad range of communications disciplines.",228 E. 45th St.,11th Floor,Manhattan,10017,(212)867-5185,Manny Vidal,Chairman/CEO,(212)867-5185,(212)661-7650,"228 45th St
Manhattan, NY 10017
(40.7523908536874, -73.97239038281162)"
Music Company,,Tu Casa Entertainment Inc.,Multi-level Entertainment Company - Talent Management / Music Publishing / Marketing / TV  Film Casting,139 Norfolk Street,Storefront,Manhattan,10002,212-677-6370,Maribel Schumacher,President,212-677-6370,212-677-6448,"139 Norfolk Street
Manhattan, NY 10002
(40.71997302113999, -73.98655532116993)"
Magazine / Newspaper / Publishing,,Un Chin Magazine,"Un Chin is the journalistic definition of avant-garde.  It is a metro lifestyle magazine that features riveting visuals, daring editorials and accentuates  the pulse of a new culture. By fusing arts, fashion, politics, language and intangible sensibilities, Un Chin redefines american culture and lifestyle bringing neglected elements from the fringe to the mainstream. This cross-gender publication is designed for trendsetters with progressive ideas, professional goals and unlimited creative energy.",1202 Lexington Avenue ,Suite 348,Manhattan,10028,212-304-8188,Celines De Leon,Sales and Marketing,212-304-8188,212-304-8288,"1202 Lexington Avenue
Manhattan, NY 10028
(40.77664829542647, -73.95765111114821)"
Television Network,,Univision,"Univision Communications Inc. is the leading Spanish-language media company in the United States.  Their powerhouse portfolio includes Television, Radio, Music and Internet offerings that entertain and inform more Hispanics each day than any other media company in the country.  Their television operations include the Univision Network, TeleFutura Network, Galavisión and Univision and TeleFutura Television Groups. Univision also owns and operates Univision Radio, Univision Music Group and Univision Online. Univision holds a 50% interest in TuTv, a joint venture formed to broadcast Televisa's pay television channels in the U.S.",605 Third Ave.,12th Floor,Manhattan,10158,(212) 455-5200,Joseph Uva,CEO,(212) 455-5200,,"605 Third Ave
Manhattan, NY 10158
(40.74906266831222, -73.97575490046646)"
Magazine / Newspaper / Publishing,Magazine,Urban Latino Magazine,"As the first lifestyle and cultural publication geared to bicultural Latinos, Urban Latino has earned its rightful place: we are the premier magazine for both male and female Latinos in the United States.",735 Second Avenue,Penthouse,Manhattan,10016,212-681-2491,Jorge Cano Moreno,Publisher,212-681-2493,212-681-2487,"735 Second Avenue
Manhattan, NY 10016
(40.74814878031799, -73.97341622632183)"
Music Company,,"Vivelo!, A Clear Channel Entertainment Televisa Company","Vivelo! is an entertainment, lifestyle marketing and promotions company focused on the U.S. based Hispanic market. Our areas of expertise include, production of events, concert tours, soccer events, development of proprietary programs and promotions targeting the Hispanic community.",220 West 42nd Street,,Manhattan,10036,,,,,,"220 42nd Street
Manhattan, NY 10036
(40.75628926883255, -73.98760371277301)"
Production Company,,Wild(child),"Wild(child) offers elite editing, graphics, inferno/flame, and audio services for broadcast.",44 W. 28th St,14th Floor,Manhattan,10001,(212)725-5333,Alexandra Leal,Executive Producer,(212)725-5333,(212)725-2932,"44 28th St
Manhattan, NY 10001
(40.74551225904109, -73.98933282132471)"
Advertising,,Winglatino,"Winglatino generates ideas from the ""insight-out"".  There is no better way to connect brands with a moving target.",114 5th Avenue,11th Floor,Manhattan,10011,(212)500-9400,Jackie Bird,President/CEO,(212)500-9400,(212)500-9483,"114 5th Avenue
Manhattan, NY 10011
(40.73771664477812, -73.99235594825893)"
Cultural Center,,El Taller Latino Americano,"El Taller Latino American (The Latin American Workshop) is an Latin American arts and education organization located on the Upper West Side. Visit us to hear live music, and see art exhibits.",2710 Broadway,3rd Floor,Manhattan,10025,(212)655-9460,Franklin,Office Manager,(212)665-9460,(212)280-0680,"2710 Broadway
Manhattan, NY 10025
(40.799563020733046, -73.96818217211131)"
Production Company,,Mendoza Gomez Associates,Creative Marketing and Promotion Concepts for the Hispanic market for over 15 years,501 Fifth Avenue,Suite 407,Manhattan,10017,212-905-5010,Carmen J. Gomez,President,212-905-5010,212-300-2100,"501 Fifth Avenue
Manhattan, NY 10017
(40.753265922664696, -73.98103348391004)"
Dance Company,,Afro Cuban Folklor Dance Company,"yu Oro is committed to the preservation of Afro-Cuban culture through dance, song and music. Oyu Oro explores traditional forms of dance that derive from the Yoruba, Congo, Carabali, Arara, and Dahomeyan cultures of West Africa; the rich Haitian influences that remain in Cuba along with popular dances of Cuban heritage, including Rumba, Conga, Chancletas and Son.",626 Riverside Drive,Ste. 4H,Manhattan,10031,212-281-3580,Danys Perez,Founder/Artistic Director/Choreographer,917-370-5081,212-281-3580,"626 Riverside Drive
Manhattan, NY 10031
(40.82388968162559, -73.95422469421658)"
Production Company,,Hispanicspots.com,Hispanic Spots offers original production of commercials and corporate videos for the Hispanic and general market in Spanish and English We also provide adaptation of television radio print and internet advertising campaigns for the US Hispanic market Latin America and Spain and voice-over or subtitle Spanish programs into English or other languages Other services casting multilingual voice-overs and foreign accent narration dubbing translation transcription and subtitling.,5 West 36th Street,4th Floor,Manhattan,10018,212-489-6035,Julie H. Setbon,CEO,212-489-6035,212-202-4790,"5 36th Street
Manhattan, NY 10018
(40.74985316479632, -73.98386960350221)"
Other,,Casita Maria Center for Arts and Education,"The mission of the Casita Maria Center for the Arts and Education is to empower youth and their families by creating a culture of learning through high quality social, cultural, and educational opportunities.  For 75 years Casita Maria has responded to community needs.  Today we offer a wide range of after-school and in-school art and education programs; music, dance, theater, and other performances; and gallery exhibitions.",928 Simpson Street,,Bronx,10459,718-589-2230,Sarah Calderon,Executive Director,718-589-2230,718-842-4622,"928 Simpson Street
Bronx, NY 10459
(40.8206290501876, -73.89303045710845)"
PR / Communications / Marketing,,Sur Communications LLC,Sur Communications LLC is a boutique public relations agency that specializes in the US Hispanic market from public relations to event planning to market research. We deliver on all fronts Creativity Expertise and Results.,740 West End Ave,,New York,10025,201-650-1418,Maria Belen Reyfman,Partner and Director,201-650-1418,212-665-8494,"740 End Ave
New York, NY 10025
(40.79685012763133, -73.96372581059762)"
Dance Company,,Flamenco Vivo Carlota Santana,"Flamenco Vivo Carlota Santana is one of the nations premier flamenco and Spanish dance companies. We believe that the universal spirit of flamenco, a multicultural art form, has the power to build bridges between cultures and inspire audiences from diverse backgrounds. Artistic Director Carlota Santana leads this company of energetic dancers and musicians in powerful performances, extensive community outreach, and innovative arts education programs.",4 West 43rd Street,,New York,10036,212-736-4499,Leslie Malmed,Executive Director,212-736-4499,212-736-1326,"4 43rd Street
New York, NY 10036
(40.75448900062452, -73.9811773754347)"
Music Ensemble/Orchestra,,Mariachi Academy of New York (MANY),"MANY is a community-led non-profit 501c3 organization devoted to preserving the rich heritage of mariachi to youth in New York. It intends to develop the skills in musical training, discipline, creativity and self-esteem while strengthening language, team working skills and a strong sense of identity.",114 East 118 Street,,New York,10035,212-729-7678,Ramon Ponce,Director,917-673-7101,,"114 118 Street
New York, NY 10035
(40.80035410231443, -73.94174846730573)"
Dance Company,,Ballet Hispanico,"Ballet Hispanico explores, preserves, and celebrates Latino cultures through dance. The mission unfolds in the work of the professional Company, the School of Dance, and the Education and Outreach programs. Together, these divisions celebrate the dynamic aesthetics of the Hispanic Diaspora, building new avenues of cultural dialogue and sharing the joy of dance with all communities.",167 West 89th Street,,New York,10024,212-362-6710,Anne Johnson,Marketing Manager,212-362-6710,646-492-5988,"167 89th Street
New York, NY 10024
(40.78926578349757, -73.97279569412166)"
Magazine / Newspaper / Publishing,,Fama y Fortuna,A monthly entertainment and general interest content magazine published monthly and free to the Latino consumer that resides in NY and NJ.,"418 CPW, Ste 30",,New York,10025,212-642-8088,Mercedes Ramirez,Publisher,212-642-8088,,"418 CPW
New York, NY 10025
(40.79685012763133, -73.96372581059762)"
PR / Communications / Marketing,,Ibernet Media,Experts in Communication and Marketing in Spain and New York Consultants creators with innovative ideas for the Hispanic market.,"37-06   82 Street, Ste 3F",,Jackson Heights,11372,201-606-5479,Carla Marrero,Sales Representative,201-606-5479,,"37 06 82 Street
Jackson Heights, NY 11372
(40.75163073936716, -73.88361254528269)"
Magazine / Newspaper / Publishing,,Business Latino,"Business Latino is a publication devoted to the financial business and trade goings on in the Latino community of the United States with an emphasis in the New York Tri-State area.

Trade with Latin America in this globalized world which is a very important component in this business equation is fully covered in the pages of Business Latino.

Food be imported from Latin America to the US or exported to Latin America from US plays an immense role in the economies of  Latin countries From México to Colombia and  Argentina and other countries in between food exports to the United States and other parts of the world are often vital to economic well being of those nations And in turn for thousands of businesses in the US who depend on the timely and steady availability of those products to stay in business.","Rockefeller Center 1230 Avenue of the Americas, Ste 7T",,New York,10020,917-639-4226,Rosemary Carillo,Publisher,917-639-4226,,"1230 Avenue of the Americas
New York, NY 10020
(40.75928864150107, -73.98082618598308)"
Theater,,Thalia Spanish Theatre,"It's always Hispanic Heritage Month at Thalia Spanish Theatre, the only bilingual Hispanic theatre in the borough of Queens.  Its mission is to celebrate the vibrancy and diversity of Spanish and Latin American culture and heritage with unique productions of theatre, music and dance.",41-17 Greenpoint Avenue,,Queens,11104,718-729-3880,Kathryn Giaimo,Administrative Director,718-729-3880,718-729-3388,"41 17 Greenpoint Avenue
Queens, NY 11104
(40.74489336663561, -73.92054134530679)"
