Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
Colonial Dames of America/Mount Vernon Hotel Museum & Garden,421 East 61st Street,New York,NY,10065,(212) 838-6878 x28,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Colonial Farmhouse Restoration Society of Bellerose, Inc.",73-50 Little Neck Parkway,Floral Park,NY,11004,(718) 347-3276 x13,Museum,Queens Council District #23,Queens Community Board #13,Queens
"Community Center of the Rockaway Peninsula, Inc.",257 Beach 17th Street,Far Rockaway,NY,11691,(718) 868-2300 x206,Music,Queens Council District #31,Queens Community Board #14,Queens
Community Film Workshop Council,525 West 125th Street,New York,NY,10027,(212) 531-3786,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Community New Horizons of New York, Inc.","341 Wadsworth Avenue, Suite B",New York,NY,10040,(212) 543-0682,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"Community Works, Inc.",55 West End Avenue,New York,NY,10023,(212) 459-1854,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Community-Word Project, Inc.","11 Broadway, Suite 508",New York,NY,10004,(212) 962-3820,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Complexions - A Concept in Dance,37 West 39th Street,New York,NY,10018,(212) 777-7771,Dance,,Manhattan Community Board #1,Manhattan
"Composers Collaborative, Inc.","210 Riverside Drive, Apt. 11G",New York,NY,10025,(212) 663-1967,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Concert Artists Guild, Inc.",850 Seventh Avenue,New York,NY,10019,(212) 333-5200 x11,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Concerts in the Heights,"251 Seaman Avenue, #6K",New York,NY,10034,(212) 543-0475,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
Concrete Temple Theatre,"211 East 14th Street, Apt. 10",New York,NY,10003,(212) 598-9135,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Coney Island History Project, Inc.",c/o Deno's Wonder Wheel Park,Brooklyn,NY,11224,(718) 265-2100,"Multi-Discipline, Non-Perform",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Coney Island, USA",1208 Surf Avenue,Brooklyn,NY,11224,(718) 372-5159,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
"Conference House Association, Inc.",298 Satterlee Street,Staten Island,NY,10307,(718) 984-0415,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island
"Congress for Jewish Culture, Inc.",1133 Broadway,New York,NY,10010,(212) 505-8040,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan
Conrad Poppenhusen Association,P.O. Box 91,College Point,NY,11356,(718) 358-0067,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #7,Queens
Conscientious Musical Revues,"2576 Broadway, Apt. 446",New York,NY,10025,(800) 624-8474,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Construction Company Theater/Dance Associates, Inc.","10 East 18th Street, #3",New York,NY,10003,(212) 924-7882,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Contemporary Art for America, Inc.","330 West 15th Street, Suite 5D",New York,NY,10011,(212) 645-2895,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Contemporary Ballet Theatre, Inc",861 Manida St.,N.Y.,NY,10474,(718) 623-0933,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx
"Continuum Project, Inc.",PO Box 1892,New,NY,10008,(718) 791-9088,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
Converging Arts Media Organization,57 Stanton Street,New York,NY,10002,(212) 995-5290,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Cool Culture,"80 Hanson Place, Suite 604",Brooklyn,NY,11217,(718) 230-4186 x302,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Cooper-Hewitt, National Design Museum",2 East 91st Street,New York,NY,10128,(212) 849-8373,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
Cooperative Culture Collective,117 S. Oxford Street,Brooklyn,NY,11217,(718) 638-7624,Other,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Cora Incorporated,201 Richards Street,Brooklyn,NY,11231,(732) 267-1859,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"CorbinDances, Inc.",196 West 134th Street,New York,NY,10030,(646) 734-6338,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan
"Corona Youth Music Project, Inc.","155 West 68th Street, Apt. 1931",New York,NY,10023,(646) 330-7562,Music,Manhattan Council District #6,Manhattan Community Board #7,Queens
Council of Literary Magazines and Presses,"154 Christopher Street, Ste. 3C",New York,NY,10014,(212) 741-9110 x14,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Council on the Arts and Humanities for Staten Island,"1000 Richmond Terrace, Room 3154",Staten Island,NY,10301,(718) 447-3329,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island
"Covenant Ballet Theatre of Brooklyn, Inc.",2085 Coney Island Avenue,Brooklyn,NY,11223,(718) 891-6199,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn
Coyote REP Theatre Company,"360 W 28th St, Apt. 4A",New York,NY,10001,(917) 584-8796,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Create in Chinatown, Inc",150 Elizabeth Street,New York,NY,10012,(212) 563-0392,,,,Manhattan
"Creative Alternatives of New York, Inc.",225 West 99th Street,New York,NY,10025,(212) 222-1969,Theater,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
"Creative Ammo, Inc.","341 West 38th Street, 12th Floor",New York,NY,10018,(212) 807-1337 x14,Theater,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
Creative Arts Team,"101 West 31st Street, 6th Floor",New York,NY,10001,(212) 652-2830,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Creative Arts Workshop for Kids,520 Eighth Avenue,New York,NY,10018,(646) 316-1657,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Creative Center, Inc.",273 Bowery,New York,NY,10002,(646) 465-5313,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Creative Outlet Dance Theatre of Brooklyn, Inc.","80 Hanson Place, Suite 303",Brooklyn,NY,11217,(718) 636-9312 x103,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Creative Time, Inc.","59 East 4th Street, #6E",New York,NY,10003,(212) 206-6674,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Cross Performance, Inc.",140 Second Avenue,New York,NY,10003,(212) 260-7426,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Brooklyn
Crown Heights Jewish Community Council,375 Kingston Avenue,Brooklyn,NY,11213,(347) 432-3777,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn
Crown Heights Youth Collective,133 Rogers Avenue,Brooklyn,NY,11225,(718) 756-7600,,Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn
Cuban Artists Fund,41 Union Square West,New York,NY,10003,(212) 812-4200,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Cubraiti, Inc.","1763 Second Avenue, Ste. 17P",New York,NY,10128,(212) 987-4363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Cultural Center for Soviet Refugees, Inc.","139 East 33rd Street, Apt. 9M",New York,NY,10016,(212) 686-0199,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
"Cultural Collaborative Jamaica, Inc.",P.O. Box 311155,Jamaica,NY,11432,(718) 526-3217,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens
"Culture Project, Inc.","49 Bleecker Street, Ste. 602",New York,NY,10012,(212) 925-1806,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Culture Push, Inc.",241 E. 7th Street,New York,NY,10009,(917) 306-6363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"CultureNOW, Inc.","511 West 25th Street, Ste. 707",New York,NY,10001,(212) 604-0900,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Cunningham Dance Foundation, Inc.",55 Bethune Street,New York,NY,10014,(212) 255-8240 x17,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Cygnus Ensemble, Inc.","400 West 43rd Street, Apt. 11G",New York,NY,10036,(914) 665-2254,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"D.U.M.B.O. Arts Center, Inc.","111 Front Street, #212",Brooklyn,NY,11201,(718) 694-0831,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
DDJW INCORPORATED,"511 West 151st Street, Apt. C1",New York,NY,10031,(212) 694-0477,Dance,Manhattan Council District #9,Manhattan Community Board #7,Manhattan
"DG Falu Foundation, Inc.",333 East 118th Street,New York,NY,10035,(646) 705-3266,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
DIVAS for Social Justice,131-02 229th Street,Laurelton,NY,11413,(718) 413-8031,Photography,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"DOME Project, Inc.",486 Amsterdam Ave,New York,NY,10023,(212) 724-1780,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Da Capo Chamber Players, Inc.","215 West 90th Street, Ste. 1G",New York,NY,10024,(212) 873-1065,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Dance 2000: The Felice Lesser Dance Theater Foundation, Inc.","484 West 43rd Street, #9T",New York,NY,10036,(212) 594-3388,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Dance Entropy, Inc.","37-24 24th Street, Apt. 301",Long Island City,NY,11101,(718) 956-3037,Dance,Queens Council District #26,Queens Community Board #2,Queens
"Dance Films Association, Inc.","48 West 21st Street, Apt. 907",New York,NY,10010,(212) 727-0764,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Dance Giant Steps, Inc.","93 Montague Street, Ste. 303",Brooklyn,NY,11201,(713) 666-6395,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Dance New Amsterdam, Inc.","280 Broadway, 2nd floor",New York,NY,10007,(212) 625-8369 x201,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Dance Parade, Inc.","61 West 104th Street, Apt. 3B",New York,NY,10025,(262) 880-1270,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Dance Project Sequence, Inc.","321 East 79th Street, Apt. 4C",New York,NY,10075,(212) 517-4177,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #5,Manhattan
"Dance Ring, Inc.","30 East 31st Street, 5th Floor",New York,NY,10016,(212) 679-0401,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Dance Theatre Etcetera, Inc.","480 Van Brunt Street, Ste. 203",Brooklyn,NY,11231,(718) 643-6790 x111,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
"Dance Theatre of Harlem, Inc.",466 West 152nd Street,New York,NY,10031,(212) 690-2800 x401,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
Dance/USA,218 East 18th Street,New York,NY,10003,(212) 366-6900 x201,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
DanceBreak Foundation,"350 West 42nd Street, Apt 39D",New York,NY,10036,(212) 315-1516,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"DanceWorks, Inc.","246 West 38th Street, 4th Floor",New York,NY,10018,(212) 278-8111 x301,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Dancenow/NYC,P.O. Box 20029,New York,NY,10014,(917) 664-8065,Dance,Manhattan Council District #3,Manhattan Community Board #3,Manhattan
Dances For A Variable Population,560 Riverside Dr. Apt 9K,New York,NY,10027,(347) 683-2691,Dance,Manhattan Council District #9,Manhattan Community Board #9,Manhattan
Dances and Drums of Africa,"397 Bridge Street, 2nd Floor",Brooklyn,NY,11201,(718) 254-0670,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Dancewave, Inc.",45 4th Avenue,Brooklyn,NY,11217,(718) 522-4696,Dance,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn
"Dancing Classrooms, Inc.","25 West 31st Street, 4th Floor",New York,NY,10001,(212) 244-9442,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Dancing Crane, Inc.",170 Avenue T,Brooklyn,NY,11223,(914) 522-3888,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn
"Dancing in the Streets, Inc.",928 Simpson Street,Bronx,NY,10459,(212) 625-3505 x21,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Daniel's Music Foundation,1641 Third Avenue,New York,NY,10128,(212) 289-8912,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Danisar Productions, Inc.","1 Union Square South, Ste. 17M",New York,NY,10003,(212) 842-2643,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Dansology, Inc.",515 East 6th Street,New York,NY,10009,(212) 375-0186,Dance,Manhattan Council District #7,Manhattan Community Board #2,Manhattan
"Danspace Project, Inc.",St. Mark's Church,New York,NY,10003,(212) 674-8112,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Death By Audio,49 South 2nd St,Brooklyn,NY,11221,(518) 321-4651,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Deep Dish T.V., Inc.",339 Lafayette Street,New York,NY,10012,(212) 473-8933,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Design Trust for Public Space, Inc.",40 Worth Street,New York,NY,10013,(212) 695-2432 x10,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Desipina Productions, Inc.","138 South Oxford Street, Apt. 1C",Brooklyn,NY,11217,(212) 564-8666,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Dessoff Choirs, Inc.",P.O. Box 1337,New York,NY,10028,(212) 790-6646,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Dharma Road Productions, Inc.","123 4th Ave, 2nd FL",New York,NY,10003,(212) 677-8621,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Dia Center for the Arts,"535 West 22nd Street, 4th Floor",New York,NY,10011,(212) 293-5505,Visual Arts,Manhattan Council District #4,Manhattan Community Board #4,Manhattan
Dicapo Opera Theatre Corp.,"220 East 54th Street, Ste. 11J",New York,NY,10022,(212) 288-9438 x11,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Dieu Donne Paper Mill, Inc.","315 West 36th Street, Ground Floor, Suite 101",New York,NY,10018,(212) 226-0573 x304,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Diller-Quaile School of Music, Inc.",24 East 95th Street,New York,NY,10128,(212) 369-1484 x22,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Direct Arts, Inc.","647 East 11th Street, Apt. 2",New York,NY,10009,(917) 941-7926,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Discalced, Inc.",3 Lafayette Avenue,Brooklyn,NY,11217,(718) 624-8400 x216,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Discipleship Outreach Ministries, Inc",5220 4th Avenue,Brooklyn,NY,11220,(718) 360-8100,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
"Diversity in Arts and Nations for Cultural Education, Inc.",1408 Commonwealth Ave,New York City,NY,10472,(646) 408-6007,Folk Arts,Bronx Council District #18,Bronx Community Board #9,Bronx
"Djoniba Dance and Drum Centre, Inc.",P.O. Box 1074,New York,NY,10276,(212) 254-9466,Dance,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Doing Art Together, Inc.","1841 Broadway, Apt. 704",New York,NY,10023,(212) 245-8134,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Dorsky Gallery Curatorial Programs,11-03 45 Avenue,Long Island City,NY,11101,(718) 937-6317,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens
"Dova, Inc.","260 West Broadway, Suite 4",New York,NY,10013,(212) 279-3344,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Down Town Glee Club, Inc.",P.O.Box 1494 Bowling Green Station,New York,NY,10274,(718) 257-3531,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Downtown Art Company, Inc.",59-61 East 4th Street,New York,NY,10003,(917) 587-6889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
Downtown Community Television Center,87 Lafayette Street,New York,NY,10013,(212) 966-4510 x245,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Downtown Music Productions, Inc.","310 East 12th Street, Apt. 2H",New York,NY,10003,(212) 477-1594,Music,Manhattan Council District #2,Manhattan Community Board #1,Manhattan
Drama Dept. Incorporated,"9 Desbrosses Street, 2nd floor",New York,NY,10013,(212) 633-9108,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Drama League of New York, Inc.","520 Eighth Avenue, Ste. 320",New York,NY,10018,(212) 244-9494 x6,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Drammeh Institute, Inc.",P.O. Box 558,Bronx,NY,10475,(718) 737-1976,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #11,Bronx Community Board #10,Bronx
"Drawing Center, Inc.",35 Wooster Street,New York,NY,10013,(212) 219-2166 x115,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Dream Yard Drama Project, Inc.",1085 Washington Avenue,Bronx,NY,10456,(718) 588-8007 x3,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #17,Bronx Community Board #4,Bronx
Drilling Company Theatrical Productions,236 West 78th Street,New York,NY,10024,(917) 330-4234,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Drumsongs Productions,P.O. Box 340716,Jamaica,NY,11434,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #28,Queens Community Board #12,Queens
"Dusan Tynek Dance Theatre Foundation, Inc.","415 Ninth Street, Apt. 54",Brooklyn,NY,11215,(718) 249-7708,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Dynamic Forms, Inc.","107 Suffolk Street, Ste. 310",New York,NY,10002,(212) 375-9214,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"E. Monte Motion, Inc.","481 8th Avenue, Ste. 543",New York,NY,10001,(212) 868-4488,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"EL PUENTE DE WILLIAMSBURG, INC.",211 South 4th Street,Brooklyn,NY,11211,(718) 387-0404,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"EarSay, Inc.",P.O. Box 4338,Sunnyside,NY,11104,(718) 784-4066,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens
"Early Music Foundation, Inc.",10 West 68th Street,New York,NY,10023,(212) 749-6600,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Early Stages Program, Inc.","27 West 20th Street, Ste. 706",New York,NY,10011,(917) 842-2572,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
East Harlem Arts & Education Local Development Corporation,1 East 104th Street,New York,NY,10029,(212) 427-2244,,,Manhattan Community Board #11,Manhattan
"East New York United Concerned Citizens, Inc.",P.O. Box 70711,Brooklyn,NY,11207,(347) 240-3049,"Multi-Discipline, Performing",Brooklyn Council District #42,Brooklyn Community Board #5,Brooklyn
"East River Ensemble, Inc.","58 Grand Street, 1st Floor",Brooklyn,NY,11211,(718) 387-5179,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"East Winds, Inc.","55 Park Terrace East, Apt. B63",New York,NY,10034,(646) 418-8808,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan
"Edge Theater Company, Inc.","880 Third Avenue, 16th floor",New York,NY,10022,(212) 350-7244,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Education Through Music, Inc.","122 East 42nd Street, Ste. 1501",New York,NY,10168,(212) 972-4788,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan
"Educational Alliance, Inc.",197 East Broadway,New York,NY,10002,(212) 780-2300 x324,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Educational Broadcasting Corporation,450 West 33rd Street,New York,NY,10001,(212) 560-1321,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Educational Theater of New York, Inc.",90 Gold Street,New York,NY,10038,(646) 733-7685,Theater,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Educational Video Center, Inc.","120 West 30th Street, 7th Floor",New York,NY,10001,(212) 465-9366,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Either/Or, Inc.",321 East 43rd Street,New York,NY,10017,(646) 331-5895,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
El Mundo del Flamenco NY Center for Flamenco,Dance New Amsterdam,New York,NY,10007,(917) 667-2695,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
El Taller Latino Americano,P.O. Box 1261,New York,NY,10025,(212) 665-9460,Film/Video/Audio,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
Elaine Kaufman Cultural Center/Lucy Moses School for Music and Dance,129 West 67th Street,New York,NY,10023,(212) 501-3313,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Elder Craftsmen, Inc.","307 Seventh Avenue, Ste. 1401",New York,NY,10001,(212) 319-8128 x10,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Elders Share the Arts,138 South Oxford Street,Brooklyn,NY,11217,(718) 398-3870 x105,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Eldridge Street Project, Inc.",12 Eldridge Street,New York,NY,10002,(212) 219-0888 x203,Museum,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
Electronic Arts Intermix,"535 West 22nd Street, Fifth Floor",New York,NY,10011,(212) 337-0680 x14,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Electronic Music Foundation, Inc.",307 Seventh Ave Room 1402,New York,NY,10001,(518) 434-4110,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Elevator Repair Service Theater, Inc.","138 South Oxford Street, Ste. 2D",Brooklyn,NY,11217,(718) 783-1905,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Elizabeth Foundation for the Arts,"323 West 39th Street, 11th Floor",New York,NY,10018,(212) 563-5855,Visual Arts,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Ellen Beckerman & Company, Inc.","64 Fulton Street, Ste. 403",New York,NY,10038,(212) 346-0020,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Elmcor Youth & Adult Activities, Inc.",33-16 108 Street,Corona,NY,11368,(718) 651-0096,Music,Queens Council District #21,Queens Community Board #3,Queens
Emerald Isle Immigration Center,59-26 Woodside Ave,Woodside,NY,11377,(718) 478-5502,"Multi-Discipline, Non-Perform",Queens Council District #26,Queens Community Board #1,Queens
Emerging Artists Theatre Company,"15 West 28th Street, Third Floor",New York,NY,10001,(212) 247-2429,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"En Foco, Inc.",1738 Hone Avenue,Bronx,NY,10461,(718) 931-9311,Photography,Bronx Council District #13,Bronx Community Board #11,Bronx
"Enact, Inc.","630 Ninth Avenue, Ste. 301",New York,NY,10036,(212) 741-6591 x12,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Encompass Theatre Company, Inc.","138 South Oxford Street, Suite 1A",Brooklyn,NY,11217,(718) 398-4675,Music,,Manhattan Community Board #2,Manhattan
English-Speaking Union of the U.S.,144 East 39th Street,New York,NY,10016,(212) 818-1200 x218,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Queens Community Board #6,Manhattan
"Enrichment Through the Arts, Inc.",11 Borman Avenue,Staten Island,NY,10314,(718) 982-5678,Theater,Staten Island Council Dist #50,Staten Island Community Brd #2,Staten Island
"Ensemble 212, Inc.",301 W 45th St,New York,NY,10036,(646) 266-9632,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Ensemble Studio Theatre, Inc.","549 West 52nd Street, 2nd Floor",New York,NY,10019,(212) 247-4982 x15,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Ensemble for the Romantic Century,"24 East 82nd Street, Apt. 3C",New York,NY,10028,(212) 288-8020,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Epic Theatre Center, Inc.",P.O. Box 720,New York,NY,10024,(212) 239-1770,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Epiphany,71 Bedford St.,New York,NY,10014,(646) 221-8834,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Epiphany Theater Company, Inc.","154 Christopher Street, Ste. 2B",New York,NY,10014,(646) 638-0252,Theater,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Episcopal Actors' Guild of America, Inc.",1 East 29th Street,New York,NY,10016,(212) 685-2927,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #6,Manhattan
"Equus Projects, Inc.",121 West 17th St. Apt. 4B,New York,NY,10011,(212) 924-1336,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Errol Grimes Dance Group,50 Taaffe Place,Brooklyn,NY,11205,(718) 596-0560,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Esopus Foundation Ltd.,41 Schermerhorn St #143,Brooklyn,NY,11201,(212) 473-0919,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Esperanza del Barrio, Inc.",2290 Second Avenue,New York,NY,10035,(212) 289-9025,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
Ethel's Foundation for the Arts,"331 West 57th Street, Apt. 494",New York,NY,10019,(212) 414-8050,Music,Manhattan Council District #6,Manhattan Community Board #4,Manhattan
"Eugenio Maria de Hostos Community College Foundation, Inc.",475 Grand Concourse,Bronx,NY,10451,(718) 518-4300,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #1,Bronx
"Eva Dean Dance Company, Inc.","725 Union Street, Ste. B",Brooklyn,NY,11215,(718) 857-8368,Dance,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
