TITLE,DESCR,SFFX,SFX DESCR,STD HRS,ASG LVL,JOBCODE,UNION CD,UNION DESCR,BARG UNIT,BARG DESCR,MIN RATE,MAX RATE
E9671,ATTENDANCE TEACHER,0,ATTENDANCE TEACHER,35,0,8354,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9758,SCHOOL PSYCHOLOGIST IN TRAININ,0,SCHOOL PSYCHOLOGIST IN TRAINING,35,0,8355,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9759,SCHOOL PSYCHIATRIST-REPLACEM,0,SCHOOL PSYCHIATRIST-REPLACEM,35,0,8356,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9763,SCHOOL PSYCHOLOGIST,0,SCHOOL PSYCHOLOGIST,35,0,8357,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9764,SCHOOL SOCIAL WORKER,0,SCHOOL SOCIAL WORKER,35,0,8358,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9778,TEACHER SPECIAL ED. ASSIGNED,0,TEACHER SPECIAL ED. ASSIGNED,35,0,8361,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9783,"SCHOOL SECRETARY ,ASSIGNED",0,"SCHOOL SECRETARY ,ASSIGNED",35,0,8362,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9784,TEACHER ASSIGNED,0,TEACHER ASSIGNED,35,0,8363,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9793,ATTENDANCE TEACHER-SUB,0,ATTENDANCE TEACHER-SUB,35,0,8364,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E9842,TEACHER VOCATIONAL HS GRADES,0,TEACHER VOCATIONAL HS GRADES,35,0,8365,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
SUPLD,PRINCIPAL,0,PRINCIPAL,35,0,8448,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
SUPLF,PRINCIPAL,0,PRINCIPAL,35,0,8449,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
60608,BROADCAST TRAFFIC ASSISTANT,1,BROADCAST TRAFFIC ASSISTANT (NOT FOR B.O.E),35,0,5528,999,DELETED TITLES PER DOP,N/U,Non-Union,$22382.00,$28595.00
60610,ANNOUNCER,0,ANNOUNCER,35,0,5529,999,DELETED TITLES PER DOP,N/U,Non-Union,$27290.00,$35732.00
60611,PROGRAM MANAGER,0,PROGRAM MANAGER,35,0,5530,999,DELETED TITLES PER DOP,N/U,Non-Union,$43024.00,$51799.00
60614,ASSISTANT PROGRAM MANAGER,0,ASSISTANT PROGRAM MANAGER,35,0,5531,999,DELETED TITLES PER DOP,N/U,Non-Union,$37324.00,$44561.00
60617,AUDIENCE PROMOTION ASSSISTANT,0,AUDIENCE PROMOTION ASSSISTANT,35,0,5532,999,DELETED TITLES PER DOP,N/U,Non-Union,$26576.00,$31838.00
60618,PROGRAM PRODUCTION ASSISTANT (,0,PROGRAM PRODUCTION ASSISTANT (RADIO),35,0,5533,999,DELETED TITLES PER DOP,N/U,Non-Union,$25863.00,$30525.00
60622,PRODUCTION COORDINATOR (TELEVI,0,PRODUCTION COORDINATOR (TELEVISION),35,0,5541,999,DELETED TITLES PER DOP,N/U,Non-Union,$26576.00,$31838.00
60635,SENIOR ANNOUNCER,0,SENIOR ANNOUNCER,35,0,5542,999,DELETED TITLES PER DOP,N/U,Non-Union,$30525.00,$39243.00
60665,TELEVISION DIRECTOR,0,TELEVISION DIRECTOR,35,0,5543,999,DELETED TITLES PER DOP,N/U,Non-Union,$31458.00,$39349.00
10251,CLERICAL ASSOCIATE,,"CLERICAL ASSOCIATE ""THIS IS A MISTAKE""",35,4,2370,999,DELETED TITLES PER DOP,N/U,Non-Union,$27275.00,$37233.00
10251,CLERICAL ASSOCIATE,,"CLERICAL ASSOCIATE ""THIS IS A MISTAKE""",35,,2371,999,DELETED TITLES PER DOP,N/U,Non-Union,$20095.00,$24339.00
10251,CLERICAL ASSOCIATE,,"CLERICAL ASSOCIATE ""THIS IS A MISTAKE""",35,,2372,999,DELETED TITLES PER DOP,N/U,Non-Union,$22390.00,$29007.00
10251,CLERICAL ASSOCIATE,,"CLERICAL ASSOCIATE ""THIS IS A MISTAKE""",35,,2373,999,DELETED TITLES PER DOP,N/U,Non-Union,$24805.00,$34941.00
10251,CLERICAL ASSOCIATE,,"CLERICAL ASSOCIATE ""THIS IS A MISTAKE""",35,4,2374,999,DELETED TITLES PER DOP,N/U,Non-Union,$27275.00,$37233.00
60801,DIRECTOR OF PUBLIC INFORMATION,1,DIRECTOR OF PUBLIC INFORMATION (SPECIAL NARCOTICS),35,0,5549,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,$33000.00,$113500.00
60801,DIRECTOR OF PUBLIC INFORMATION,0,DIRECTOR OF PUBLIC INFORMATION,35,0,5548,679,DA-NON-MAYOR SALARY/NON-COMPET,N/U,Non-Union,$33000.00,$113500.00
98012,COORDINATING MANAGER(HHC),0,COORDINATING MANAGER(HHC),35,0,7496,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
61107,"CHIEF, PUBLICATIONS & REPORTS",0,"CHIEF, PUBLICATIONS & REPORTS (HA)",35,0,5599,662,NON COMPETITIVE OJ,N/U,Non-Union,$54561.00,$54561.00
70001,"COORDINATOR, TENANT PATROL (HA",0,"COORDINATOR, TENANT PATROL (HA)",35,0,5603,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,$44558.00,$137387.00
7018D,THIS IS A MISTAKE,5,THIS IS A MISTAKE,40,0,5612,999,DELETED TITLES PER DOP,N/U,Non-Union,$92645.00,$92645.00
60575,ASSISTANT CHIEF OF HOUSING COM,0,ASSISTANT CHIEF OF HOUSING COMMUNITY ACT,35,0,5524,790,HA COMPETITIVE MANAGER,N/U,Non-Union,$44558.00,$137387.00
60580,CHIEF OF HOUSING COMMUNITY ACT,0,CHIEF OF HOUSING COMMUNITY ACTIVITIES,35,0,5525,790,HA COMPETITIVE MANAGER,N/U,Non-Union,$44558.00,$137387.00
60585,DIRECTOR OF SOCIAL & COMMUNITY,0,DIRECTOR OF SOCIAL & COMMUNITY SERVICES (HA),35,0,5526,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,$44558.00,$137387.00
60608,BROADCAST TRAFFIC ASSISTANT,0,BROADCAST TRAFFIC ASSISTANT,35,0,5527,999,DELETED TITLES PER DOP,N/U,Non-Union,$22382.00,$28595.00
E0253,TEACHER OF READING,0,TEACHER OF READING,35,0,7599,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0260,TEACHER SPEECH IMPROVEMENT,0,TEACHER SPEECH IMPROVEMENT,35,0,7600,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0261,TEACHER CLASSES FOR C.R.M.D,0,TEACHER CLASSES FOR C.R.M.D,35,0,7601,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0263,TEACHER CLASSES FOR BLIND,0,TEACHER CLASSES FOR BLIND,35,0,7602,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0264,TEACHER CLASSES FOR LTD VISION,0,TEACHER CLASSES FOR LTD VISION,35,0,7603,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0265,TEACHER HEALTH CONSERV CLASS,0,TEACHER HEALTH CONSERV CLASS,35,0,7604,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0266,TEACHER CLASSES FOR DEAF,0,TEACHER CLASSES FOR DEAF,35,0,7605,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0269,TEACHER CLASS EMOTIONALLY DIST,0,TEACHER CLASS EMOTIONALLY DISTURB,35,0,7606,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0291,SCHOOL SECRETARY INTERNE (SUB),0,SCHOOL SECRETARY INTERNE (SUB),35,0,7608,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0305,ACTING PRINCIPAL -ACADEMIC HIG,0,ACTING PRINCIPAL -ACADEMIC HIGH SCHOOL,35,0,7609,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0306,ACTING ASST PRIN-ACADEMIC HS,0,ACTING ASST PRIN-ACADEMIC HS,35,0,7610,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0312,PRINCIPAL INDEPEND ALTERN H.S.,0,PRINCIPAL INDEPEND ALTERN H.S.,35,0,7612,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
05003,ASSISTANT COMMISSIONER FOR PRO,0,ASSISTANT COMMISSIONER FOR PROCUREMENT(DGS),35,0,716,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
05005,DIRECTOR OF PURCHASE (RESEARCH,0,DIRECTOR OF PURCHASE (RESEARCH-DGS),35,0,717,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
05006,DIRECTOR OF ENERGY CONSERVATIO,0,DIRECTOR OF ENERGY CONSERVATION,35,0,718,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
05007,MANAGER OF RADIO PROGRAMMING (,0,MANAGER OF RADIO PROGRAMMING (DGS),35,0,719,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
60853,DIRECTOR OF PUBLIC & COMMUNITY,0,DIRECTOR OF PUBLIC & COMMUNITY RELATIONS,35,0,5573,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,$44558.00,$137387.00
60932,DIRECTOR OF RESEARCH & POLICY,0,DIRECTOR OF RESEARCH & POLICY DEVELOPMENT (HA),35,0,5590,791,HA NON-COMPETITIVE MANAGER,N/U,Non-Union,$44558.00,$137387.00
B0086,AGENCY ATTORNEY INTERNE (DOE),0,AGENCY ATTORNEY INTERNE (DOE),35,0,7528,664,UNCLASSIFIED OJ,N/U,Non-Union,$50435.00,$53248.00
B0087,AGENCY ATTORNEY (DOE),0,AGENCY ATTORNEY (DOE),35,1,7529,664,UNCLASSIFIED OJ,N/U,Non-Union,$53864.00,$72338.00
B0087,AGENCY ATTORNEY (DOE),0,AGENCY ATTORNEY (DOE),35,2,7530,664,UNCLASSIFIED OJ,N/U,Non-Union,$61175.00,$80491.00
B0087,AGENCY ATTORNEY (DOE),0,AGENCY ATTORNEY (DOE),35,3,7531,664,UNCLASSIFIED OJ,N/U,Non-Union,$68489.00,$88642.00
B0087,AGENCY ATTORNEY (DOE),0,AGENCY ATTORNEY (DOE),35,4,7532,664,UNCLASSIFIED OJ,N/U,Non-Union,$71646.00,$94956.00
CLSPD,SCHOOL PYSCHOLOGIST,0,SCHOOL PYSCHOLOGIST,35,0,7539,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
CLSPF,SCHOOL PSYCHOLOGIST,0,SCHOOL PSYCHOLOGIST,35,0,7540,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
CLSWD,SCHOOL SOCIAL WORKER,0,SCHOOL SOCIAL WORKER,35,0,7543,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
CLSWF,SCHOOL SOCIAL WORKER,0,SCHOOL SOCIAL WORKER,35,0,7544,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
CLSWP,SCHOOL SOCIAL WORKER,0,SCHOOL SOCIAL WORKER,35,0,7545,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0000,BOARD OF EDUCATION,0,BOARD OF EDUCATION,35,0,7557,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0105,ACTING PRINCIPAL-ELEMENTARY,0,ACTING PRINCIPAL-ELEMENTARY,35,0,7558,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0106,ACTING ASSISTANT PRINCIPAL-ELE,0,ACTING ASSISTANT PRINCIPAL-ELEMENTARY,35,0,7559,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0112,JUNIOR PRINCIPAL,0,JUNIOR PRINCIPAL,35,0,7561,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0113,TEACHER IN CHARGE,0,TEACHER IN CHARGE,35,0,7562,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0121,SCHOOL SECRETARY,0,SCHOOL SECRETARY,35,0,7564,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0139,TEACHER PRE-KINDERGARTEN,0,TEACHER PRE-KINDERGARTEN,35,0,7565,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0141,TEACHER KINDERGARTEN,0,TEACHER KINDERGARTEN,35,0,7566,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0143,TEACHER EXTENDED LEAVE COVERAG,0,TEACHER EXTENDED LEAVE COVERAGE,35,0,7568,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0144,TEACHER INDUSTRIAL ARTS,0,TEACHER INDUSTRIAL ARTS,35,0,7569,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0145,TEACHER HOME ECONOMICS,0,TEACHER HOME ECONOMICS,35,0,7570,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0146,TEACHER BILINGUAL,0,TEACHER BILINGUAL,35,0,7571,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0148,TEACHER LIBRARY,0,TEACHER LIBRARY,35,0,7572,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0150,TEACHER JUNIOR GUIDANCE,0,TEACHER JUNIOR GUIDANCE,35,0,7573,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0153,TEACHER OF READING,0,TEACHER OF READING,35,0,7574,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0160,TEACHER SPEECH IMPROVEMENT,0,TEACHER SPEECH IMPROVEMENT,35,0,7575,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0161,TEACHER CLASSES FOR C.R.M.D,0,TEACHER CLASSES FOR C.R.M.D,35,0,7576,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0163,TEACHER CLASSES FOR BLIND,0,TEACHER CLASSES FOR BLIND,35,0,7577,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0164,TEACHER CLASS FOR LTD VISION,0,TEACHER CLASS FOR LTD VISION,35,0,7578,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0166,TEACHER CLASSES FOR DEAF,0,TEACHER CLASSES FOR DEAF,35,0,7580,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0169,TEACHER CLASS EMOTIONALLY DIST,0,TEACHER CLASS EMOTIONALLY DISTURB,35,0,7581,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0191,SCHOOL SECRETARY INTERNE (SUB),0,SCHOOL SECRETARY INTERNE (SUB),35,0,7583,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0192,ELEMENTARY TEACHER INTERN,0,ELEMENTARY TEACHER INTERN,35,0,7584,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0205,ACTING PRINCIPAL-JUNIOR/IS,0,ACTING PRINCIPAL-JUNIOR/IS,35,0,7585,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0206,ACTING ASST PRINC-JUNIOR/IS,0,ACTING ASST PRINC-JUNIOR/IS,35,0,7586,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0217,ASSISTANT PRINCIPAL (SUPERV),0,ASSISTANT PRINCIPAL (SUPERV),35,0,7589,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0221,SCHOOL SECRETARY,0,SCHOOL SECRETARY,35,0,7590,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0222,LABORATORY SPECIALIST,0,LABORATORY SPECIALIST,35,0,7591,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0225,LABORATORY TECHNICIAN,0,LABORATORY TECHNICIAN,35,0,7592,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0243,BOARD OF EDUCATION,0,BOARD OF EDUCATION,35,0,7594,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0244,TEACHER INDUSTRIAL ARTS,0,TEACHER INDUSTRIAL ARTS,35,0,7595,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0245,TEACHER HOME ECONOMICS,0,TEACHER HOME ECONOMICS,35,0,7596,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0246,TEACHER BILINGUAL,0,TEACHER BILINGUAL,35,0,7597,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0248,TEACHER LIBRARY,0,TEACHER LIBRARY,35,0,7598,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
SUSUF,SUPERVISOR,0,SUPERVISOR,35,0,8454,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
SYSYD,SECRETARY,0,SECRETARY,35,0,8468,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
SYSYF,SECRETARY,0,SECRETARY,35,0,8469,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
TREVF,TEACHER-ED EVALUATION,0,TEACHER-ED EVALUATION,35,0,8475,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
TRHBD,TEACHER - HOMEBOUND,0,TEACHER - HOMEBOUND,35,0,8478,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
TRNVQ,TEACHER WNYE,0,TEACHER WNYE,35,0,8479,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
TRNVR,TEACHER WNYE-REG SUB,0,TEACHER WNYE-REG SUB,35,0,8480,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
TRTRD,TEACHER-GENERAL ED,0,TEACHER-GENERAL ED,35,0,8491,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
02917,PUBLIC RELATIONS SPECIALIST,0,PUBLIC RELATIONS SPECIALIST,35,0,67,993,TEMPORARY NON OJ & NON MANAGER,N/U,Non-Union,$33000.00,$113500.00
03225,EXECUTIVE DIRECTOR OF BUSINESS,0,EXECUTIVE DIRECTOR OF BUSINESS AND ADMINISTRATION,35,0,68,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
03640,COORDINATOR OF THE OFFICE OF T,0,COORDINATOR OF THE OFFICE OF TELECOMMUNICATIONS,35,0,70,999,DELETED TITLES PER DOP,N/U,Non-Union,$46343.00,$150148.00
91670,SUPERVISOR OF BUILDING MAINTEN,2,SUPERVISOR OF BUILDING MAINTENANCE(CONSTRUCT)(CWW-9HR/DAY),35,0,6625,999,DELETED TITLES PER DOP,N/U,Non-Union,$35973.00,$50298.00
91670,SUPERVISOR OF BUILDING MAINTEN,0,SUPERVISOR OF BUILDING MAINTENANCE (CONSTRUCTION),35,0,6623,999,DELETED TITLES PER DOP,N/U,Non-Union,$35973.00,$50298.00
91670,SUPERVISOR OF BUILDING MAINTEN,1,SUPERVISOR OF BUILDING MAINTENANCE (CONSTRUCT)(CWW 8 3/4H/D),35,0,6624,999,DELETED TITLES PER DOP,N/U,Non-Union,$35973.00,$50298.00
91671,SUPERVISOR OF BUILDING MAINTEN,0,SUPERVISOR OF BUILDING MAINTENANCE (ELECTRICAL),35,0,6626,999,DELETED TITLES PER DOP,N/U,Non-Union,$35973.00,$50298.00
91672,SUPERVISOR OF BUILDING MAINTEN,0,SUPERVISOR OF BUILDING MAINTENANCE (MECHANICAL),35,0,6627,999,DELETED TITLES PER DOP,N/U,Non-Union,$35973.00,$50298.00
91673,GENERAL SUPERVISOR OF BUILDING,0,GENERAL SUPERVISOR OF BUILDING MAINTENANCE (CONSTRUCTION),35,0,6628,999,DELETED TITLES PER DOP,N/U,Non-Union,$42703.00,$57629.00
91673,GENERAL SUPERVISOR OF BUILDING,1,GENERAL SUPERVISOR OF BUILDING MAINTENANCE(CONST)(8 3/4DAYS),35,0,6629,999,DELETED TITLES PER DOP,N/U,Non-Union,$42703.00,$57629.00
91674,GENERAL SUPERVISOR OF BUILDING,0,GENERAL SUPERVISOR OF BUILDING MAINTENANCE (ELECTRICAL),35,0,6630,999,DELETED TITLES PER DOP,N/U,Non-Union,$42703.00,$57629.00
91675,GENERAL SUPERVISOR OF BUILDING,0,GENERAL SUPERVISOR OF BUILDING MAINTENANCE (MECHANICAL),35,0,6631,999,DELETED TITLES PER DOP,N/U,Non-Union,$42703.00,$57629.00
91675,GENERAL SUPERVISOR OF BUILDING,1,GENL SUPERVISOR OF BUILDING MAINT (MECHAN.)(CWW-8 3/4 H/D),35,0,6632,999,DELETED TITLES PER DOP,N/U,Non-Union,$42703.00,$57629.00
91696,ASSISTANT AREA MANAGER OF SCHO,0,ASSISTANT AREA MANAGER OF SCHOOL MAINTENANCE,35,0,6633,999,DELETED TITLES PER DOP,N/U,Non-Union,$47046.00,$64254.00
E0525,SCHOOL SECRETARY,0,SCHOOL SECRETARY,35,0,7671,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0528,"TEACHER, SMED SCH INDUSTRIAL A",0,"TEACHER, SMED SCH INDUSTRIAL ARTS",35,0,7674,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0532,"TEACHER, SMED SCH, C.R.M.D",0,"TEACHER, SMED SCH, C.R.M.D",35,0,7675,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0533,"TEACHER, SMED SCH HEALTH CONS",0,"TEACHER, SMED SCH HEALTH CONS",35,0,7676,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0534,TEACHER-SPECIAL ED,0,TEACHER-SPECIAL ED,35,0,7677,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0535,"TEACHER, SMED SCHOOL ACADEMIC",0,"TEACHER, SMED SCHOOL ACADEMIC HIGH SCHOOL",35,0,7678,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0536,"TEACHER, SMED SCH, VOCAT HS GR",0,"TEACHER, SMED SCH, VOCAT HS GR",35,0,7679,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0537,"TEACHER, SMED SCH, JR GUIDANCE",0,"TEACHER, SMED SCH, JR GUIDANCE",35,0,7680,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0538,TEACHER SMED SCH SPEECH IMPROV,0,TEACHER SMED SCH SPEECH IMPROVEMENT,35,0,7681,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0539,"GUIDANCE COUNSELOR, SMED SCHOO",0,"GUIDANCE COUNSELOR, SMED SCHOOL",35,0,7682,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0541,"PRINCIPAL ""400"" SCHOOL",0,"PRINCIPAL ""400"" SCHOOL",35,0,7683,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0545,SCHOOL SECRETARY,0,SCHOOL SECRETARY,35,0,7684,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0552,"TEACHER, HEALTH CONSERVATION",0,"TEACHER, HEALTH CONSERVATION",35,0,7685,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0553,TEACHER OF READING,0,TEACHER OF READING,35,0,7686,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0561,"PRINCIPAL, OCC TRG CNTR",0,"PRINCIPAL, OCC TRG CNTR",35,0,7687,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0564,"ASSISTANT PRINCIPAL, OC TRG CR",0,"ASSISTANT PRINCIPAL, OC TRG CR",35,0,7688,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0565,SCHOOL SECRETARY,0,SCHOOL SECRETARY,35,0,7689,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0567,"TEACHER, INDUSTRIAL ARTS",0,"TEACHER, INDUSTRIAL ARTS",35,0,7690,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0569,"TEACHER, HOME ECONOMICS",0,"TEACHER, HOME ECONOMICS",35,0,7692,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0574,BOARD OF EDUCATION,0,BOARD OF EDUCATION,35,0,7693,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0582,"ASSISTANT PRINICIPAL, SCH-DEAF",0,"ASSISTANT PRINICIPAL, SCH-DEAF",35,0,7694,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0584,"TEACHER, DEAF ELEMENTARY GR",0,"TEACHER, DEAF ELEMENTARY GR",35,0,7695,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0589,BOARD OF EDUCATION,0,BOARD OF EDUCATION,35,0,7696,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0591,"TEACHER, HEALTH CONSERVATION",0,"TEACHER, HEALTH CONSERVATION",35,0,7697,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0592,ASSISTANT PRINCIPAL-SPECIAL ED,0,ASSISTANT PRINCIPAL-SPECIAL ED,35,0,7698,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0593,DEPUTY ASSISTANT SUPERINTENDEN,0,DEPUTY ASSISTANT SUPERINTENDEN,35,0,7699,402,EXEMPT BD OF ED,N/U,Non-Union,$0.00,$0.00
E0594,CHAIR PERSON OF THE SUBCOMMITT,0,CHAIR PERSON OF THE SUBCOMMITTEE ON THE HANDICAPPED,35,0,7700,779,BOE MANAGERIAL/EXEMPT,N/U,Non-Union,$100589.00,$100589.00
E0598,"TEACHER, SPEECH INPROVEMENT",0,"TEACHER, SPEECH INPROVEMENT",35,0,7701,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
E0599,"TEACHER, HOMEBOUND",0,"TEACHER, HOMEBOUND",35,0,7702,998,PENDING ASSIGNMENT TO CBU,N/U,Non-Union,$0.00,$0.00
