SITE_NAME,SITE_NUMBER,VOTER_ENTRANCE,HANDICAP_ENTRANCE,STREET_NUMBER,STREET_NAME,STREET_SUFFIX,SITE_STATUS,CITY,STATE,ZIP_CODE,LOCATION,BOROUGH
IS 206,10087,2280 Aqueduct Avenue,Evelyn Place,2280,Aqueduct Avenue,,A,Bronx,,10468,"(40.859686, -73.906495)",Bronx
PS 61,10090,1550 Crotona Park East,Driveway,1550,Crotona Park East,,A,Bronx,,10460,"(40.836574, -73.892817)",Bronx
Manhattan College Annex,10091,3840 Corlear Avenue,3840 Corlear Avenue,3840,Corlear Avenue,,A,Bronx,,10463,"(40.886091, -73.901225)",Bronx
IS 166,10097,250 East 164 Street,250 East 164 Street,250,East 164 Street,,A,Bronx,,10456,"(40.828695, -73.917668)",Bronx
Grand Manor HRF,10137,700 White Plains Road,700 White Plains Road,700,White Plains Road,,A,Bronx,,10473,"(40.8202, -73.857833)",Bronx
St Luke's Episcopal Church,10207,777 East 222 Street,Barnes Avenue,777,East 222 Street,,A,Bronx,,10467,"(40.885068, -73.85964)",Bronx
PS 119,10210,1075 Pugsley Avenue,Blackrock Road,1075,Pugsley Avenue,,A,Bronx,,10472,"(40.828517, -73.856569)",Bronx
Olivett Gospel Assembly,10212,3900 Dyre Avenue,Dyre Avenue,3900,Dyre Avenue,,A,Bronx,,10466,"(40.889388, -73.831265)",Bronx
CIS 148,10230,3630 Third Avenue,Third Avenue,3630,Third Avenue,,A,Bronx,,10456,"(40.833669, -73.9044)",Bronx
St Gabriel's Rectory,10302,3250 Arlington Avenue,Arlington Avenue,3250,Arlington Avenue,,A,Bronx,,10463,"(40.885021, -73.912166)",Bronx
Millbrook Community Center,10312,201 St. Ann's Avenue,201 St. Ann's Avenue,201,St Anns Avenue,,A,Bronx,,10454,"(40.805821, -73.918184)",Bronx
Maria Isabel Housing,10313,787 East 149 Street,Tinton Avenue,787,East 149 Street,,A,Bronx,,10455,"(40.812801, -73.906944)",Bronx
Heights Senior Center,10346,200 West Tremont Avenue,200 West Tremont Avenue,200,West Tremont Avenue,,A,Bronx,,10453,"(40.851984, -73.916804)",Bronx
Mt. Hebron Baptist Church,10354,732 East 233 Street,732 East 233 Street,732,East 233 Street,,A,Bronx,,10466,"(40.893015, -73.856209)",Bronx
IS 306,10359,40 West Tremont Avenue,40 West Tremont Avenue,40,West Tremont Avenue,,A,Bronx,,10453,"(40.85196, -73.91037)",Bronx
Bronx Center For Rehabilitation,10420,1010 Underhill Avenue,1010 Underhill Avenue,1010,Underhill Avenue,,A,Bronx,,10472,"(40.82658, -73.86131)",Bronx
Saint Patrick's Nursing Home,10421,66 Van Cortlandt Park South,66 Van Cortlandt Park South,66,Van Cortlandt Park South,,A,Bronx,,10463,"(40.884416, -73.888472)",Bronx
Laconia Nursing Home,10484,1050 East 230 Street,1050 East 230 Street,1050,East 230 Street,,A,Bronx,,10466,"(40.888117, -73.848448)",Bronx
Williamsbridge NAACP,10512,680 East 219 Street,680 East 219 Street,680,East 219 Street,,A,Bronx,,10467,"(40.883788, -73.863505)",Bronx
3475 Bivona St Community Room,10543,3475 Bivona Street,3475 Bivona Street,3475,Bivona Street,,A,Bronx,,10475,"(40.882579, -73.833134)",Bronx
Vladeck Hall,10544,74 Van Cortlandt Park South,Hillman Avenue,74,Van Cortlandt Park South,,A,Bronx,,10463,"(40.884587, -73.889372)",Bronx
PS 15,10546,2195 Andrews Avenue,2195 Andrews Avenue,2195,Andrews Avenue,,A,Bronx,,10453,"(40.85881, -73.909746)",Bronx
River View Apartments,10588,1600 Sedgwick Avenue,1600 Sedgwick Avenue,1600,Sedgwick Avenue,,A,Bronx,,10453,"(40.84797, -73.923872)",Bronx
Glad Tidings Assembly,10591,2 Van Cortlandt Avenue E,2 Van Cortlandt Avenue E,2,Van Cortlandt Avenue E,,A,Bronx,,10468,"(40.877056, -73.887559)",Bronx
PS 83 Annex,10601,1840 Bogart Avenue,Bogart Avenue,1840,Bogart Avenue,,A,Bronx,,10462,"(40.848221, -73.858554)",Bronx
Eastchester Community Center,10603,3016 Yates Avenue,3016 Yates Avenue,3015,Yates Avenue,,A,Bronx,,10469,"(40.869826, -73.854618)",Bronx
IS 174,10616,456 White Plains Road,456 White Plains Road,456,White Plains Road,,A,Bronx,,10473,"(40.814717, -73.856552)",Bronx
Eastchester Baptist Church,10632,3020 Eastchester Road,3020 Eastchester Road,3020,Eastchester Road,,A,Bronx,,10469,"(40.869912, -73.842924)",Bronx
Mark Terrace  Apartment Building,10639,3410 Dereimer Avenue,Tillotson Ave,3410,Dereimer Avenue,,A,Bronx,,10475,"(40.87963, -73.836703)",Bronx
Parkside Senior Center,10652,644 Adee Ave.,Adee Avenue,644,Adee Avenue,,A,Bronx,,10467,"(40.869671, -73.869507)",Bronx
Daughters Of Jacob,10686,1160 Teller Ave.,1160 Teller Ave.,1160,Teller Ave.,,A,Bronx,,10456,"(40.831469, -73.912074)",Bronx
Lebanon Special Care Center,10688,1265 Fulton Avenue,1265 Fulton Avenue,1265,Fulton Ave,,A,Bronx,,10456,"(40.831589, -73.903868)",Bronx
Jewish Home & Hospital,10690,100 West Kingsbridge Road,100 West Kingsbridge Road,100,West Kingsbridge Road,,A,Bronx,,10468,"(40.868338, -73.901262)",Bronx
Randall Ave / Balcom Ave Community Center,10712,2705 Schley Avenue,2705 Schley Avenue,2705,Schley Avenue,,A,Bronx,,10465,"(40.821481, -73.827434)",Bronx
PS 36,10713,1070 Castle Hill Avenue,Black Rock Avenue,1070,Castle Hill Avenue,,A,Bronx,,10467,"(40.829344, -73.850428)",Bronx
Morrisana Air Rights Community Room,10715,3131 Park Avenue,3131 Park Avenue,3131,Park Avenue,,A,Bronx,,10451,"(40.824114, -73.917222)",Bronx
St. Mary's Park Community Center,10817,595 Trinity Avenue,595 Trinity Avenue,595,Trinity Avenue,,A,Bronx,,10455,"(40.814996, -73.909473)",Bronx
Gun Hill Community Center,10859,745 Magenta Street,745 Magenta Street,745,Magenta Street,,A,Bronx,,10467,"(40.874957, -73.865118)",Bronx
St. Frances Dechantal Church,10949,190 Hollywood Avenue,East Tremont Avenue,190,Hollywood Avenue,,A,Bronx,,10465,"(40.816059, -73.813969)",Bronx
Carmen Parsons Senior Center,10959,441 East 155 Street,441 East 155 Street,441,East 155 Street,,A,Bronx,,10455,"(40.819888, -73.914767)",Bronx
100 Casals Storage Room,X0002,100 Casals Place,100 Casals Place,100,Casals Place,,A,Bronx,,10475,"(40.878457, -73.824187)",Bronx
PS 6,X0003,1000 East Tremont Avenue,Vyse Avenue,1000,East Tremont Avenue,,A,Bronx,,10460,"(40.840754, -73.881707)",Bronx
JHS 145,X0004,1000 Teller Avenue,1000 Teller Avenue,1000,Teller Avenue,,A,Bronx,,10456,"(40.827941, -73.914374)",Bronx
PS 66,X0005,1001 Jennings Street,Longfellow Avenue,1001,Jennings Street,,A,Bronx,,10460,"(40.831164, -73.887094)",Bronx
PS 152,X0006,1007 Evergreen Avenue,Evergreen Avenue,1007,Evergreen Avenue,,A,Bronx,,10472,"(40.824054, -73.880039)",Bronx
Bronx Regional HS,X0007,1010 Stebbins Avenue,Rev. Polite Avenue,1010,Stebbins Avenue,,A,Bronx,,10459,"(40.823531, -73.898872)",Bronx
PS 73,X0008,1020 Anderson Avenue,1020 Anderson Avenue,1020,Anderson Avenue,,A,Bronx,,10452,"(40.832824, -73.926748)",Bronx
PS/MS 123,X0009,1025 Morrison Avenue,1025 Morrison Avenue,1025,Morrison Avenue,,A,Bronx,,10472,"(40.825216, -73.873591)",Bronx
PS 90,X0013,1116 Sheridan Avenue,1116 Sheridan Avenue,1116,Sheridan Avenue,,A,Bronx,,10456,"(40.831992, -73.91796)",Bronx
Edenwald Community Center,X0014,1150 East 229 Street,229 Street,1150,East 229 Street,,A,Bronx,,10466,"(40.886174, -73.845107)",Bronx
Highbridge Gardens Community Center,X0015,1155 University Avenue,University Avenue,1155,University Avenue,,A,Bronx,,10452,"(40.837109, -73.928246)",Bronx
PS 108,X0017,1166 Neill Avenue,Yates Avenue,1166,Neill Avenue,,A,Bronx,,10461,"(40.854725, -73.853227)",Bronx
120 Casals Storage Room,X0018,120 Casals Place,120 Casals Place,120,Casals Place,,A,Bronx,,10475,"(40.878613, -73.824107)",Bronx
Walker Memorial Church Hall,X0019,120 East 169 Street,E 169 ST.,120,East 169 Street,,A,Bronx,,10452,"(40.836924, -73.917275)",Bronx
MS 143,X0020,120 West 231 Street,120 West 231 Street,120,West 231 Street,,A,Bronx,,10463,"(40.87591, -73.901099)",Bronx
Baychester Community Center,X0021,1220 East 229 street,1220 East 229 street,1220,East 229 Street,,A,Bronx,,10466,"(40.884142, -73.842327)",Bronx
PS 132,X0022,1245 Washington Avenue,East 168 Street,1245,Washington Avenue,,A,Bronx,,10456,"(40.832019, -73.906501)",Bronx
PS 79,X0023,125 East 181 Street,Creston Avenue,125,East 181 Street,,A,Bronx,,10453,"(40.854877, -73.903455)",Bronx
PS 77,X0024,1250 Ward Avenue,1250 Ward Avenue,1250,Ward Avenue,,A,Bronx,,10472,"(40.830087, -73.877603)",Bronx
PS 11,X0025,1257 Ogden Avenue,School Yard Back,1257,Ogden Avenue,,A,Bronx,,10452,"(40.839378, -73.925714)",Bronx
PS 63,X0026,1260 Franklin Avenue,Boston Road,1260,Franklin Avenue,,A,Bronx,,10456,"(40.830995, -73.902705)",Bronx
PS 48,X0027,1290 Spofford Avenue,Coster Street,1290,Spofford Avenue,,A,Bronx,,10474,"(40.814432, -73.886906)",Bronx
James Monroe HS Annex,X0028,1551 East 172 Street,1551 East 172 Street,1551,East 172 Street,,A,Bronx,,10472,"(40.831339, -73.878349)",Bronx
PS 97,X0032,1375 Mace Avenue,Fish Avenue,1375,Mace Avenue,,A,Bronx,,10469,"(40.862838, -73.846791)",Bronx
140 Casals Storage Room,X0033,140 Casals Place,140 Casals Place,140,Casals Place,,A,Bronx,,10475,"(40.878769, -73.824027)",Bronx
PS 78,X0034,1400 Needham Avenue,Needham Avenue,1400,Needham Avenue,,A,Bronx,,10469,"(40.878577, -73.851163)",Bronx
PS 64,X0035,1425 Walton Avenue,1425 Walton Avenue,1425,Walton Avenue,,A,Bronx,,10452,"(40.840095, -73.915569)",Bronx
MS 80/PS 280,X0037,149 East Mosholu Parkway N.,Mosholu Parkway North,149,East Mosholu Parkway N,,A,Bronx,,10467,"(40.876293, -73.881547)",Bronx
Aging in America,X0038,1500 Pelham Parkway South,1500 Pelham Parkway South,1500,Pelham Parkway South,,A,Bronx,,10461,"(40.857015, -73.843063)",Bronx
PS 93,X0039,1535 Story Avenue,Boynton Avenue,1535,Story Avenue,,A,Bronx,,10473,"(40.821775, -73.876921)",Bronx
PS 50,X0040,1550 Vyse Avenue,Bryant Avenue,1550,Vyse Avenue,,A,Bronx,,10460,"(40.83394, -73.887639)",Bronx
Sedgwick Community Center,X0041,1553 University Avenue,1553 University Avenue,1553,University Avenue,,A,Bronx,,10453,"(40.845743, -73.92193)",Bronx
JHS 127,X0042,1560 Purdy Street,Castle Hill Avenue,1560,Purdy Street,,A,Bronx,,10462,"(40.8382, -73.853577)",Bronx
1591 Metropolitan Ave Basement,X0043,1591 Metropolitan Avenue,Inaccessible Poll Site,1591,Metropolitan Avenue,,A,Bronx,,10462,"(40.840079, -73.857173)",Bronx
1595 Unionport Road Basement,X0044,1595 Unionport Road,Guerlain Street,1595,Unionport Road,,A,Bronx,,10462,"(40.840368, -73.862648)",Bronx
St. Dominic's School,X0051,1684 White Plains Road,1684 White Plains Road,1684,White Plains Road,,A,Bronx,,10462,"(40.843523, -73.865496)",Bronx
PS 70,X0052,1691 Weeks Avenue,Weeks Avenue & East 173 Street,1691,Weeks Avenue,,A,Bronx,,10457,"(40.844253, -73.907616)",Bronx
PS 107,X0053,1695 Seward Avenue,Croes Avenue,1695,Seward Avenue,,A,Bronx,,10473,"(40.818469, -73.868369)",Bronx
PS 4,X0055,1701 Fulton Avenue,Fulton Avenue,1701,Fulton Avenue,,A,Bronx,,10457,"(40.841398, -73.897879)",Bronx
1720 Mayflower Terrace,X0057,1720 Mayflower Avenue,1720 Mayflower Avenue,1720,Mayflower Avenue,,A,Bronx,,10461,"(40.845892, -73.83443)",Bronx
Dreiser Loop Community Center Auditorium,X0059,177 Dreiser Loop,177 Dreiser Loop,177,Dreiser Loop,,A,Bronx,,10475,"(40.877921, -73.829537)",Bronx
PS 109,X0060,1771 Popham Avenue,Popham Avenue,1771,Popham Avenue,,A,Bronx,,10453,"(40.851414, -73.918533)",Bronx
PS 47,X0062,1794 East 172 Street,Beach Street,1794,East 172 Street,,A,Bronx,,10472,"(40.832902, -73.866848)",Bronx
1818 Watson Ave Community Center,X0063,1818 Watson Avenue,1818 Watson Avenue,1818,Watson Avenue,,A,Bronx,,10472,"(40.827871, -73.864831)",Bronx
PS 44,X0065,1825 Prospect Avenue,East 176 street,1825,Prospect Avenue,,A,Bronx,,10457,"(40.842084, -73.891116)",Bronx
PS 102,X0066,1827 Archer Street,Theriot Avenue,1827,Archer Street,,A,Bronx,,10460,"(40.83763, -73.866036)",Bronx
PS 28,X0067,1861 Anthony Avenue,MT Hope Place,1861,Anthony Avenue,,A,Bronx,,10457,"(40.848057, -73.903522)",Bronx
IS 117,X0068,1865 Morris Avenue,Morris Avenue,1865,Morris Avenue,,A,Bronx,,10453,"(40.848516, -73.908427)",Bronx
1880 Valentine Ave Community Room,X0069,1880 Valentine Avenue,1880 Valentine Avenue,1880,Valentine Avenue,,A,Bronx,,10457,"(40.84904, -73.900951)",Bronx
1920 McGraw Basement,X0070,1920 Mcgraw Avenue,1314 Virginia Avenue,1920,Mcgraw Avenue,,A,Bronx,,10462,"(40.83457, -73.861214)",Bronx
PS 26/MS390,X0071,1930 Andrews Avenue,Andrews Avenue,1930,Andrews Avenue,,A,Bronx,,10453,"(40.854407, -73.913432)",Bronx
Hutchinson River Community Center,X0074,1950 Hutchinson River Parkway,Wilkerson Avenue,1950,Hutchinson River Parkway,,A,Bronx,,10461,"(40.850834, -73.835668)",Bronx
PS 175,X0075,"""Behind school-path on right of building, then left""","""Behind school-path on right of building, then left""",200,City Island Avenue,,A,Bronx,,10464,"(40.843873, -73.785219)",Bronx
PS 67,X0076,2024 Mohegan Avenue,2024 Mohegan Avenue,2024,Mohegan Avenue,,A,Bronx,,10460,"(40.843944, -73.884788)",Bronx
Jaime Towers,X0077,2050 Seward Avenue,Seward Avenue,2050,Seward Avenue,,A,Bronx,,10473,"(40.820501, -73.853085)",Bronx
2051 St. Raymond Ave Basement,X0078,2051 St Raymond Avenue,Inaccessible Poll Site,2051,St Raymond Avenue,,A,Bronx,,10462,"(40.837488, -73.855299)",Bronx
2059 Mcgraw Ave Basement,X0079,2059 Mcgraw Avenue,2059 Mcgraw Avenue,2059,Mcgraw Avenue,,A,Bronx,,10462,"(40.8355, -73.856243)",Bronx
PS 138,X0080,2060 Lafayette Avenue,Olmstead Avenue,2060,Lafayette Avenue,,A,Bronx,,10473,"(40.822664, -73.853366)",Bronx
PS 57,X0081,2111 Crotona Avenue,Belmont Avenue,2111,Crotona Avenue,,A,Bronx,,10457,"(40.848471, -73.888561)",Bronx
PS 59,X0083,2185 Bathgate Avenue,Bathgate Avenue,2185,Bathgate Avenue,,A,Bronx,,10457,"(40.852774, -73.893524)",Bronx
PS 91,X0084,2200 Aqueduct Avenue,Clinton Street,2200,Aqueduct Avenue,,A,Bronx,,10453,"(40.858281, -73.907809)",Bronx
Michelangelo Apartments,X0085,Morris Avenue,Morris Avenue,225,East 149 Street,,A,Bronx,,10451,"(40.81779, -73.924286)",Bronx
Jonas Bronck Housing,X0087,230 East 179 Street,West Of The Main Entrance,230,East 179 Street,,A,Bronx,,10457,"(40.850878, -73.903587)",Bronx
2334 Boston Road Community Center,X0088,2334 Boston Road,Astor Avenue,2334,Boston Road,,A,Bronx,,10467,"(40.860264, -73.867115)",Bronx
William H. Taft High School,X0091,240 East 172 Street,171 Street and Sheridan Avenue,240,East 172 Street,,A,Bronx,,10457,"(40.840421, -73.91091)",Bronx
PS 85,X0092,2400 Marion Avenue,Marion Avenue,2400,Marion Avenue,,A,Bronx,,10458,"(40.859099, -73.894946)",Bronx
PS 33,X0093,2424 Jerome Avenue,Side Entrance,2424,Jerome Avenue,,A,Bronx,,10468,"(40.861847, -73.90176)",Bronx
Fordham Hill Senior Room Bldg.4,X0094,2440 Sedgwick Avenue,Sedwick Avenue,2440,Sedgwick Avenue,,A,Bronx,,10468,"(40.865017, -73.908671)",Bronx
JHS 135,X0095,2441 Wallace Avenue,Mace Avenue,2441,Wallace Avenue,,A,Bronx,,10467,"(40.862109, -73.864577)",Bronx
25 Knolls Crescent Basement,X0097,25 Knolls Crescent,Side Entrance,25,Knolls Crescent,,A,Bronx,,10463,"(40.878638, -73.918174)",Bronx
JHS 45,X0098,2502 Lorillard Place,Lorillard PLace,2502,Lorillard Place,,A,Bronx,,10458,"(40.859034, -73.886913)",Bronx
IS 144,X0101,2545 Gunther Avenue,Allerton Avenue,2545,Gunther Avenue,,A,Bronx,,10469,"(40.863735, -73.83607)",Bronx
PS 12,X0103,2555 Tratman Avenue,Overing Street,2555,Tratman Avenue,,A,Bronx,,10461,"(40.840145, -73.844419)",Bronx
PS 310,X0104,260 West Kingsbridge Road,Kingsbridge Road,260,West Kingsbridge Road,,A,Bronx,,10463,"(40.873054, -73.905562)",Bronx
St. Brendan's School,X0107,268 EAST 207 STREET,268 EAST 207 STREET,268,East 207 Street,,A,Bronx,,10467,"(40.875575, -73.87761)",Bronx
PS 229,X0108,275 Harlem River Park Bridge,Park bridge,275,Harlem River Park Bridge,,A,Bronx,,10453,"(40.852602, -73.921604)",Bronx
PS 101,X0109,2750 Lafayette Avenue,2750 Lafayette Avenue,2750,Lafayette Avenue,,A,Bronx,,10465,"(40.827471, -73.829753)",Bronx
PS 121,X0110,2750 Throop Avenue,Throop Avenue,2750,Throop Avenue,,A,Bronx,,10469,"(40.86608, -73.850982)",Bronx
PS 86,X0111,2756 Reservoir Avenue,Reservoir Avenue,2756,Reservoir Avenue,,A,Bronx,,10468,"(40.869834, -73.89874)",Bronx
Melrose IHAD-Literacy,X0112,277 East 153 Street,277 East 153 Street,277,East 153 Street,,A,Bronx,,10451,"(40.820082, -73.920992)",Bronx
Preston High School,X0113,2780 Schurz Avenue,2780 Schurz Avenue,2780,Schurz Avenue,,A,Bronx,,10465,"(40.814241, -73.818754)",Bronx
PS 46,X0114,279 East 196 Street,Briggs Avenue,279,East 196 Street,,A,Bronx,,10458,"(40.866827, -73.890725)",Bronx
Bronx East Social Center,X0116,2968 Bronx Park East,2968 Bronx Park East,2972,Bronx Park East,,A,Bronx,,10467,"(40.869046, -73.87051)",Bronx
Frances Schreiver Houses HDFC,X0117,2995 Independence Avenue,Independence Avenue,2995,Independence Avenue,,A,Bronx,,10463,"(40.882804, -73.917399)",Bronx
PS 8,X0118,3010 Briggs Avenue,3010 Briggs Avenue,3010,Briggs Avenue,,A,Bronx,,10458,"(40.872611, -73.883574)",Bronx
PS 14,X0121,3041 Bruckner Boulevard,3041 Bruckner Boulevard,3041,Bruckner Boulevard,,A,Bronx,,10461,"(40.835888, -73.825438)",Bronx
Presbyterian Church,X0122,3051 East Tremont Avenue,3051 East Tremont Avenue,3051,East Tremont Avenue,,A,Bronx,,10461,"(40.839412, -73.836556)",Bronx
Ampere Ave Knights of Columbus Hall,X0127,3243 Ampere Avenue,3243 Ampere Avenue,3243,Ampere Avenue,,A,Bronx,,10465,"(40.846185, -73.819089)",Bronx
PS 154,X0129,333 East 135 Street,333 East 135 Street,333,E.135 Street,,A,Bronx,,10454,"(40.807967, -73.926053)",Bronx
Ft. Independence Community Center,X0130,3350 Bailey Avenue,3350 Bailey Avenue,3350,Bailey Avenue,,A,Bronx,,10463,"(40.880011, -73.900807)",Bronx
PS 1,X0131,335 East 152 Street,East 153 Street,335,East 152 Street,,A,Bronx,,10451,"(40.818815, -73.919017)",Bronx
PS 41,X0132,3352 Olinville Avenue,Olinville Avenue,3352,Olinville Avenue,,A,Bronx,,10467,"(40.874313, -73.868157)",Bronx
Scott Towers Lobby,X0134,3410 Paul Avenue,3410 Paul Avenue,3410,Paul Avenue,,A,Bronx,,10468,"(40.877294, -73.889529)",Bronx
Mosholu Montefiore Community Center,X0137,3450 Dekalb Avenue,East Gun Hill Road,3450,Dekalb Avenue,,A,Bronx,,10467,"(40.881091, -73.881686)",Bronx
PS 94,X0138,3530 Kings College Place,Kings College Place,3530,Kings College Place,,A,Bronx,,10467,"(40.880522, -73.87572)",Bronx
Boston Secor Community Center,X0139,3540 Bivona Street,3540 Bivona Street,3540,Bivona Street,,A,Bronx,,10475,"(40.883518, -73.833388)",Bronx
Hellenic Orthodox Community Church,X0140,3573 Bruckner Boulevard,3573 Bruckner Boulevard,3573,Bruckner Boulevard,,A,Bronx,,10461,"(40.848959, -73.827999)",Bronx
PS 53 Annex,X0141,360 East 168 Street,168 Street,360,East 168 Street,,A,Bronx,,10456,"(40.832711, -73.910956)",Bronx
PS 113,X0143,3710 Barnes Avenue,216 Street,3710,Barnes Avenue,,A,Bronx,,10467,"(40.880873, -73.860904)",Bronx
Mott Haven Community Room,X0144,375 East 143 Street,375 East 143 Street,375,East 143 Street,,A,Bronx,,10454,"(40.812611, -73.921402)",Bronx
3856 Bronx Blvd Community Room,X0147,3856 Bronx Boulevard,Bronx Boulevard,3856,Bronx Boulevard,,A,Bronx,,10467,"(40.886022, -73.865841)",Bronx
40 West Mosholu Community Room,X0149,40 West mosholu Parkway S.,40 West mosholu Parkway S.,40,West Mosholu Parkway S.,,A,Bronx,,10468,"(40.880354, -73.885926)",Bronx
Betances Community Center,X0150,401 St Anns Avenue,401 St Anns Avenue,401,St Anns Avenue,,A,Bronx,,10454,"(40.810806, -73.914966)",Bronx
PS 68,X0152,4011 Monticello Avenue,4011 Monticello Avenue,4011,Monticello Avenue,,A,Bronx,,10466,"(40.891732, -73.838471)",Bronx
PS 103,X0153,4125 Carpenter Avenue,229 Street,4125,Carpenter Avenue,,A,Bronx,,10466,"(40.892151, -73.861466)",Bronx
Mt St Michael Academy,X0155,4300 Murdock Avenue,Nereid Avenue,4300,Murdock Avenue,,A,Bronx,,10466,"(40.897655, -73.842617)",Bronx
PS 19,X0156,4318 Katonah Avenue,237 street,4318,Katonah Avenue,,A,Bronx,,10470,"(40.899294, -73.8675)",Bronx
PS 55,X0157,450 ST Pauls Place,East 170 Street,450,St Pauls Place,,A,Bronx,,10456,"(40.83639, -73.904956)",Bronx
Samuel Gompers HS,X0160,455 Southern Boulevard,Southern Boulevard,455,Southern Boulevard,,A,Bronx,,10455,"(40.810583, -73.907099)",Bronx
PS 16,X0161,4550 Carpenter Avenue,Side Entrance,4550,Carpenter Avenue,,A,Bronx,,10470,"(40.902205, -73.854829)",Bronx
PS 277,X0163,519 ST Anns Avenue,East 148 Street,519,St Anns Avenue,,A,Bronx,,10455,"(40.813711, -73.91329)",Bronx
555 Kappock St Community Room,X0165,555 Kappock Street,555 Kappock Street,555,Kappock Street,,A,Bronx,,10463,"(40.87807, -73.917484)",Bronx
PS 81,X0166,5550 Riverdale Avenue,Riverdale Avenue,5550,Riverdale Avenue,,A,Bronx,,10471,"(40.903553, -73.905229)",Bronx
PS 69,X0167,560 Thieriot Avenue,Thieriot Avenue,560,Thieriot Avenue,,A,Bronx,,10473,"(40.816616, -73.860887)",Bronx
PS 5,X0168,564 Jackson Avenue,564 Jackson Avenue,564,Jackson Avenue,,A,Bronx,,10455,"(40.813727, -73.908886)",Bronx
Hebrew Home,X0172,5901 Palisade Avenue,Visitors Parking Lot,5901,Palisade Avenue,,A,Bronx,,10471,"(40.908312, -73.908912)",Bronx
Beth Abraham,X0174,Bronx Park East Boulevard,Bronx Park East Boulevard,612,Allerton Avenue,,A,Bronx,,10467,"(40.865365, -73.87)",Bronx
IS 192,X0176,650 Hollywood Avenue,Randall Avenue,650,Hollywood Avenue,,A,Bronx,,10465,"(40.826526, -73.818417)",Bronx
PS 96,X0177,650 Waring Avenue,Waring Avenue,650,Waring Avenue,,A,Bronx,,10467,"(40.86137, -73.869296)",Bronx
PS 62,X0178,660 Fox Street,660 Fox Street,660,Fox Street,,A,Bronx,,10455,"(40.814031, -73.900609)",Bronx
MS/HS 141,X0179,660 West 237 Street,Independence Avenue,660,West 237 Street,,A,Bronx,,10463,"(40.888337, -73.913486)",Bronx
PS 32,X0183,690 East 183 Street,Cambreleng Avenue,690,East 183 Street,,A,Bronx,,10458,"(40.852103, -73.885935)",Bronx
PS 92,X0184,700 East 179 Street,East 179 Street,700,East 179 Street,,A,Bronx,,10457,"(40.84671, -73.889815)",Bronx
PS 105,X0186,725 Brady Avenue,Holland Avenue,725,Brady Avenue,,A,Bronx,,10462,"(40.852398, -73.866617)",Bronx
Hunts Point School,X0188,730 Bryant Avenue,730 Bryant Avenue,730,Bryant Avenue,,A,Bronx,,10474,"(40.815477, -73.88577)",Bronx
PS 186,X0189,750 Jennings Street,750 Jennings Street,750,Jennings Street,,A,Bronx,,10459,"(40.83182, -73.898064)",Bronx
PS 130,X0190,750 Prospect Avenue,Macy Place,750,Prospect Avenue,,A,Bronx,,10455,"(40.817721, -73.902421)",Bronx
PS 29,X0191,758 Courtlandt Avenue,East 156 Street,758,Courtlandt Avenue,,A,Bronx,,10451,"(40.82174, -73.91716)",Bronx
777 Concourse Village East,X0192,777 Concourse Village East,777 Concourse Village East,777,Concourse Village East,,A,Bronx,,10451,"(40.82372, -73.919488)",Bronx
Tilden Towers Community Room,X0197,801 Tilden Street,Barnes Avenue,801,Tilden Street,,A,Bronx,,10467,"(40.876866, -73.861357)",Bronx
Bronx County Supreme Court House,X0201,851 Grand Concourse,851 Grand Concourse,851,Grand Concourse,,A,Bronx,,10451,"(40.825998, -73.923135)",Bronx
IS 131,X0203,885 Bolton Avenue,885 Bolton Avenue,885,Bolton Avenue,,A,Bronx,,10473,"(40.823526, -73.859662)",Bronx
PS 60,X0204,888 Rev. James A.Polite Avenue,888 Rev. James A.Polite Avenue,888,Stebbins Avenue,,A,Bronx,,10459,"(40.820213, -73.898909)",Bronx
MS 301/PS 120,X0205,890 Cauldwell Avenue,890 Cauldwell Avenue,890,Cauldwell Avenue,,A,Bronx,,10456,"(40.822473, -73.907194)",Bronx
9 Metropolitan Oval Basement,X0206,9 Metropolitan Oval,Metropolitan Oval,9,Metropolitan Oval,,A,Bronx,,10462,"(40.838899, -73.859637)",Bronx
PS 76,X0207,900 Adee Avenue,Bronxwood Avenue,900,Adee Avenue,,A,Bronx,,10469,"(40.869592, -73.861282)",Bronx
PS 150,X0209,920 East 167 Street,Tiffany street,920,East 167 Street,,A,Bronx,,10459,"(40.82636, -73.894398)",Bronx
Columbus High School,X0210,925 Astor Avenue,Colden Avenue,925,Astor Avenue,,A,Bronx,,10469,"(40.859664, -73.861006)",Bronx
PS 146,X0213,968 Cauldwell Avenue,East 165 Street,968,Cauldwell Avenue,,A,Bronx,,10456,"(40.824926, -73.906186)",Bronx
PS 89,X0214,980 Mace Avenue,Mace Avenue,980,Mace Avenue,,A,Bronx,,10469,"(40.863055, -73.859387)",Bronx
PS 75,X0215,984 Faile Street,Faile Street,984,Faile Street,,A,Bronx,,10459,"(40.822666, -73.889425)",Bronx
Bronx House,X0216,990 Pelham Parkway South,990 Pelham Parkway South,990,Pelham Parkway South,,A,Bronx,,10462,"(40.856804, -73.860354)",Bronx
135 Einstein Loop Community Center #3,X0219,135 Einstein Loop,135 Einstein Loop,135,Einstein Loop,,A,Bronx,,10475,"(40.864277, -73.822023)",Bronx
