BORO,CSD,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF CLASSES,TOTAL REGISTER,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO
M,3,M044,J.H.S. M044 WILLIAM J. O'SHEA,MS Core,CTT,SCIENCE,-,-,2,55,27.5,26,29,STARS,
M,3,M044,J.H.S. M044 WILLIAM J. O'SHEA,MS Core,CTT,SOCIAL STUDIES,-,-,2,55,27.5,26,29,STARS,
M,3,M044,J.H.S. M044 WILLIAM J. O'SHEA,MS Core,SPEC ED,MATH,-,-,1,10,10,10,10,STARS,
M,3,M044,J.H.S. M044 WILLIAM J. O'SHEA,MS Core,SPEC ED,SCIENCE,-,-,1,10,10,10,10,STARS,
M,3,M044,J.H.S. M044 WILLIAM J. O'SHEA,MS Core,SPEC ED,SOCIAL STUDIES,-,-,1,10,10,10,10,STARS,
M,3,M044,J.H.S. M044 WILLIAM J. O'SHEA,,,,,,,,,,,,10.7
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,06,GEN ED,-,-,-,2,60,30,28,32,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,06,CTT,-,-,-,1,29,29,29,29,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,06,G&T,-,-,-,6,187,31.2,30,33,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,07,GEN ED,-,-,-,1,32,32,32,32,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,07,CTT,-,-,-,1,24,24,24,24,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,07,G&T,-,-,-,6,192,32,31,33,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,08,GEN ED,-,-,-,2,54,27,22,32,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,08,CTT,-,-,-,1,29,29,29,29,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,08,G&T,-,-,-,5,153,30.6,29,31,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,0K-09,SPEC ED,-,-,12:1,3,26,8.7,7,11,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,0K-09,SPEC ED,-,-,12:1:1,1,6,6,6,6,ATS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,GEN ED,ENGLISH,-,-,30,896,29.9,20,33,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,GEN ED,MATH,-,-,20,565,28.3,10,33,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,GEN ED,SCIENCE,-,-,17,523,30.8,21,33,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,GEN ED,SOCIAL STUDIES,-,-,23,685,29.8,10,33,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,CTT,ENGLISH,-,-,6,114,19,11,30,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,CTT,MATH,-,-,3,42,14,11,20,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,CTT,SCIENCE,-,-,3,84,28,26,30,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,MS Core,CTT,SOCIAL STUDIES,-,-,3,84,28,26,30,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,09-12,GEN ED,MATH,ALGEBRA,-,5,153,30.6,29,31,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,09-12,GEN ED,SCIENCE,EARTH SCIENCE,-,5,153,30.6,29,31,STARS,
M,3,M054,J.H.S. 054 BOOKER T. WASHINGTON,,,,,,,,,,,,19.5
M,3,M075,P.S. 075 EMILY DICKINSON,0K,GEN ED,-,-,-,3,65,21.7,20,24,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,0K,CTT,-,-,-,2,46,23,22,24,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,01,GEN ED,-,-,-,4,105,26.3,23,28,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,02,GEN ED,-,-,-,2,44,22,20,24,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,02,CTT,-,-,-,3,65,21.7,18,24,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,03,GEN ED,-,-,-,3,71,23.7,22,26,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,03,CTT,-,-,-,3,71,23.7,22,26,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,04,GEN ED,-,-,-,2,49,24.5,22,27,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,04,CTT,-,-,-,3,83,27.7,26,29,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,05,GEN ED,-,-,-,4,89,22.3,19,24,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,05,CTT,-,-,-,2,52,26,25,27,ATS,
M,3,M075,P.S. 075 EMILY DICKINSON,,,,,,,,,,,,13.4
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,0K,GEN ED,-,-,-,3,61,20.3,19,22,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,01,GEN ED,-,-,-,2,36,18,18,18,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,02,GEN ED,-,-,-,3,57,19,19,19,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,03,GEN ED,-,-,-,2,45,22.5,22,23,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,04,GEN ED,-,-,-,2,47,23.5,23,24,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,04,CTT,-,-,-,1,23,23,23,23,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,05,GEN ED,-,-,-,2,41,20.5,20,21,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,06,GEN ED,-,-,-,2,46,23,23,23,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,0K-09,SPEC ED,-,-,12:1:1,3,33,11,10,12,ATS,
M,3,M076,P.S. 076 A. PHILIP RANDOLPH,,,,,,,,,,,,14.2
M,3,M084,P.S. 084 LILLIAN WEBER,0K,GEN ED,-,-,-,4,94,23.5,21,28,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,01,GEN ED,-,-,-,4,91,22.8,20,29,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,02,GEN ED,-,-,-,3,61,20.3,18,24,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,02,CTT,-,-,-,1,19,19,19,19,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,03,GEN ED,-,-,-,2,40,20,16,24,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,03,CTT,-,-,-,1,19,19,19,19,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,04,GEN ED,-,-,-,2,45,22.5,15,30,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,05,GEN ED,-,-,-,2,59,29.5,28,31,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,0K-09,SPEC ED,-,-,12:1:1,2,22,11,10,12,ATS,
M,3,M084,P.S. 084 LILLIAN WEBER,,,,,,,,,,,,15
M,3,M087,P.S. 087 WILLIAM SHERMAN,0K,GEN ED,-,-,-,7,156,22.3,21,24,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,0K,CTT,-,-,-,2,43,21.5,21,22,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,01,GEN ED,-,-,-,5,121,24.2,23,26,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,01,CTT,-,-,-,2,51,25.5,25,26,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,02,GEN ED,-,-,-,5,125,25,23,26,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,02,CTT,-,-,-,2,49,24.5,24,25,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,03,GEN ED,-,-,-,6,146,24.3,23,26,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,04,GEN ED,-,-,-,6,144,24,12,27,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,05,GEN ED,-,-,-,6,151,25.2,18,27,ATS,
M,3,M087,P.S. 087 WILLIAM SHERMAN,,,,,,,,,,,,17.1
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,0K,GEN ED,-,-,-,2,46,23,23,23,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,0K,G&T,-,-,-,1,10,10,10,10,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,01,GEN ED,-,-,-,2,40,20,17,23,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,01,CTT,-,-,-,1,13,13,13,13,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,02,GEN ED,-,-,-,1,20,20,20,20,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,02,CTT,-,-,-,1,14,14,14,14,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,02,G&T,-,-,-,1,15,15,15,15,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,03,GEN ED,-,-,-,3,57,19,18,20,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,03,CTT,-,-,-,1,16,16,16,16,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,04,GEN ED,-,-,-,3,57,19,17,22,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,05,GEN ED,-,-,-,2,50,25,23,27,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,0K-09,SPEC ED,-,-,12:1:1,4,46,11.5,10,12,ATS,
M,3,M145,P.S. 145 THE BLOOMINGDALE SCHOOL,,,,,,,,,,,,11.9
M,3,M149,P.S. 149 SOJOURNER TRUTH,0K,GEN ED,-,-,-,1,26,26,26,26,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,0K,CTT,-,-,-,1,26,26,26,26,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,01,GEN ED,-,-,-,2,41,20.5,19,22,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,02,GEN ED,-,-,-,2,40,20,18,22,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,03,GEN ED,-,-,-,2,45,22.5,21,24,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,04,GEN ED,-,-,-,2,45,22.5,22,23,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,05,GEN ED,-,-,-,1,29,29,29,29,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,06,GEN ED,-,-,-,1,26,26,26,26,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,07,GEN ED,-,-,-,1,34,34,34,34,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,08,GEN ED,-,-,-,2,57,28.5,28,29,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,0K-09,SPEC ED,-,-,12:1:1,3,30,10,9,11,ATS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,MS Core,GEN ED,ENGLISH,-,-,9,259,28.8,23,34,STARS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,MS Core,GEN ED,MATH,-,-,4,101,25.3,18,34,STARS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,MS Core,GEN ED,SCIENCE,-,-,4,113,28.3,23,34,STARS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,MS Core,GEN ED,SOCIAL STUDIES,-,-,4,113,28.3,23,34,STARS,
M,3,M149,P.S. 149 SOJOURNER TRUTH,,,,,,,,,,,,13.3
M,3,M163,P.S. 163 ALFRED E. SMITH,0K,GEN ED,-,-,-,3,65,21.7,20,23,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,0K,CTT,-,-,-,1,21,21,21,21,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,0K,G&T,-,-,-,1,17,17,17,17,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,01,GEN ED,-,-,-,3,57,19,16,24,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,01,CTT,-,-,-,1,26,26,26,26,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,01,G&T,-,-,-,1,13,13,13,13,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,02,GEN ED,-,-,-,1,28,28,28,28,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,02,CTT,-,-,-,1,27,27,27,27,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,02,G&T,-,-,-,2,44,22,19,25,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,03,GEN ED,-,-,-,2,42,21,20,22,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,03,CTT,-,-,-,1,25,25,25,25,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,03,G&T,-,-,-,2,37,18.5,14,23,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,04,GEN ED,-,-,-,1,28,28,28,28,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,04,CTT,-,-,-,1,27,27,27,27,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,04,G&T,-,-,-,2,47,23.5,23,24,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,05,GEN ED,-,-,-,1,30,30,30,30,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,05,CTT,-,-,-,1,32,32,32,32,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,05,G&T,-,-,-,3,54,18,17,19,ATS,
M,3,M163,P.S. 163 ALFRED E. SMITH,,,,,,,,,,,,14.4
M,3,M165,P.S. 165 ROBERT E. SIMON,0K,GEN ED,-,-,-,3,63,21,18,25,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,0K,CTT,-,-,-,1,25,25,25,25,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,01,GEN ED,-,-,-,3,69,23,21,26,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,01,CTT,-,-,-,1,23,23,23,23,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,02,GEN ED,-,-,-,3,67,22.3,20,24,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,02,CTT,-,-,-,1,21,21,21,21,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,03,GEN ED,-,-,-,3,60,20,18,24,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,03,CTT,-,-,-,1,23,23,23,23,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,04,GEN ED,-,-,-,3,62,20.7,18,24,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,04,CTT,-,-,-,1,26,26,26,26,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,05,GEN ED,-,-,-,3,52,17.3,16,20,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,05,CTT,-,-,-,1,20,20,20,20,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,06,GEN ED,-,-,-,1,26,26,26,26,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,06,CTT,-,-,-,1,23,23,23,23,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,07,GEN ED,-,-,-,1,27,27,27,27,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,07,CTT,-,-,-,1,23,23,23,23,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,0K-09,SPEC ED,-,-,12:1:1,3,30,10,9,11,ATS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,GEN ED,ENGLISH,-,-,3,78,26,25,27,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,GEN ED,MATH,-,-,2,52,26,25,27,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,GEN ED,SCIENCE,-,-,2,52,26,25,27,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,GEN ED,SOCIAL STUDIES,-,-,4,104,26,25,27,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,CTT,ENGLISH,-,-,2,47,23.5,23,24,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,CTT,MATH,-,-,2,47,23.5,23,24,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,CTT,SCIENCE,-,-,2,47,23.5,23,24,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,MS Core,CTT,SOCIAL STUDIES,-,-,2,47,23.5,23,24,STARS,
M,3,M165,P.S. 165 ROBERT E. SIMON,,,,,,,,,,,,12
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,0K,GEN ED,-,-,-,2,50,25,25,25,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,0K,G&T,-,-,-,2,46,23,22,24,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,01,GEN ED,-,-,-,2,53,26.5,26,27,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,01,G&T,-,-,-,2,42,21,21,21,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,02,GEN ED,-,-,-,1,19,19,19,19,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,02,CTT,-,-,-,1,20,20,20,20,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,02,G&T,-,-,-,2,49,24.5,24,25,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,03,GEN ED,-,-,-,2,48,24,23,25,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,03,G&T,-,-,-,2,44,22,21,23,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,04,GEN ED,-,-,-,2,43,21.5,21,22,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,04,G&T,-,-,-,2,52,26,26,26,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,05,GEN ED,-,-,-,1,32,32,32,32,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,05,G&T,-,-,-,2,49,24.5,24,25,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,0K-09,SPEC ED,-,-,12:1:1,3,31,10.3,7,12,ATS,
M,3,M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF T,,,,,,,,,,,,15.3
M,3,M180,P.S. 180 HUGO NEWMAN,0K,GEN ED,-,-,-,4,79,19.8,18,21,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,01,GEN ED,-,-,-,4,81,20.3,19,22,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,02,GEN ED,-,-,-,4,79,19.8,19,20,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,03,GEN ED,-,-,-,3,52,17.3,16,18,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,03,CTT,-,-,-,1,18,18,18,18,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,04,GEN ED,-,-,-,3,60,20,19,21,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,04,CTT,-,-,-,1,20,20,20,20,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,05,GEN ED,-,-,-,3,52,17.3,17,18,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,05,CTT,-,-,-,1,20,20,20,20,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,06,GEN ED,-,-,-,1,25,25,25,25,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,07,GEN ED,-,-,-,1,25,25,25,25,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,08,GEN ED,-,-,-,1,22,22,22,22,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,0K-09,SPEC ED,-,-,12:1:1,1,10,10,10,10,ATS,
M,3,M180,P.S. 180 HUGO NEWMAN,MS Core,GEN ED,ENGLISH,-,-,8,144,18,12,25,STARS,
M,3,M180,P.S. 180 HUGO NEWMAN,MS Core,GEN ED,MATH,-,-,4,72,18,12,25,STARS,
M,3,M180,P.S. 180 HUGO NEWMAN,MS Core,GEN ED,SCIENCE,-,-,6,122,20.3,12,25,STARS,
M,3,M180,P.S. 180 HUGO NEWMAN,MS Core,GEN ED,SOCIAL STUDIES,-,-,4,72,18,12,25,STARS,
M,3,M180,P.S. 180 HUGO NEWMAN,09-12,GEN ED,SCIENCE,EARTH SCIENCE,-,1,22,22,22,22,STARS,
M,3,M180,P.S. 180 HUGO NEWMAN,,,,,,,,,,,,11.8
M,3,M185,P.S. 185 JOHN M. LANGSTON,0K,GEN ED,-,-,-,2,37,18.5,15,22,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,0K,CTT,-,-,-,1,17,17,17,17,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,01,GEN ED,-,-,-,3,59,19.7,19,21,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,01,CTT,-,-,-,1,16,16,16,16,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,02,GEN ED,-,-,-,3,50,16.7,16,17,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,02,CTT,-,-,-,1,18,18,18,18,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,0K-09,SPEC ED,-,-,12:1:1,1,9,9,9,9,ATS,
M,3,M185,P.S. 185 JOHN M. LANGSTON,,,,,,,,,,,,10.4
M,3,M191,P.S. 191 AMSTERDAM,0K,GEN ED,-,-,-,2,42,21,21,21,ATS,
M,3,M191,P.S. 191 AMSTERDAM,01,GEN ED,-,-,-,2,35,17.5,17,18,ATS,
M,3,M191,P.S. 191 AMSTERDAM,02,GEN ED,-,-,-,1,25,25,25,25,ATS,
M,3,M191,P.S. 191 AMSTERDAM,04,GEN ED,-,-,-,2,36,18,18,18,ATS,
M,3,M191,P.S. 191 AMSTERDAM,05,GEN ED,-,-,-,2,38,19,18,20,ATS,
M,3,M191,P.S. 191 AMSTERDAM,06,GEN ED,-,-,-,2,59,29.5,25,34,ATS,
M,3,M191,P.S. 191 AMSTERDAM,07,GEN ED,-,-,-,2,55,27.5,24,31,ATS,
M,3,M191,P.S. 191 AMSTERDAM,08,GEN ED,-,-,-,2,61,30.5,29,32,ATS,
M,3,M191,P.S. 191 AMSTERDAM,0K-09,SPEC ED,-,-,12:1:1,4,44,11,8,12,ATS,
M,3,M191,P.S. 191 AMSTERDAM,MS Core,GEN ED,ENGLISH,-,-,9,175,19.4,14,25,STARS,
M,3,M191,P.S. 191 AMSTERDAM,MS Core,GEN ED,MATH,-,-,9,174,19.3,13,25,STARS,
M,3,M191,P.S. 191 AMSTERDAM,MS Core,GEN ED,SCIENCE,-,-,8,161,20.1,18,25,STARS,
M,3,M191,P.S. 191 AMSTERDAM,MS Core,GEN ED,SOCIAL STUDIES,-,-,8,161,20.1,18,25,STARS,
M,3,M191,P.S. 191 AMSTERDAM,MS Core,CTT,SCIENCE,-,-,1,21,21,21,21,STARS,
M,3,M191,P.S. 191 AMSTERDAM,MS Core,CTT,SOCIAL STUDIES,-,-,1,21,21,21,21,STARS,
M,3,M191,P.S. 191 AMSTERDAM,09-12,GEN ED,MATH,MATH A,-,1,28,28,28,28,STARS,
M,3,M191,P.S. 191 AMSTERDAM,09-12,GEN ED,SCIENCE,LIVING ENVIRONMENT,-,1,29,29,29,29,STARS,
M,3,M191,P.S. 191 AMSTERDAM,,,,,,,,,,,,12.9
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,0K,GEN ED,-,-,-,8,174,21.8,21,24,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,01,GEN ED,-,-,-,6,140,23.3,22,24,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,02,GEN ED,-,-,-,5,135,27,26,28,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,03,GEN ED,-,-,-,4,96,24,24,24,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,04,GEN ED,-,-,-,4,97,24.3,22,26,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,05,GEN ED,-,-,-,3,74,24.7,24,25,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,0K-09,SPEC ED,-,-,12:1:1,2,15,7.5,6,9,ATS,
M,3,M199,P.S. 199 JESSIE ISADOR STRAUS,,,,,,,,,,,,16.5
M,3,M208,P.S. 208 ALAIN L. LOCKE,03,GEN ED,-,-,-,3,62,20.7,18,22,ATS,
M,3,M208,P.S. 208 ALAIN L. LOCKE,03,CTT,-,-,-,1,21,21,21,21,ATS,
M,3,M208,P.S. 208 ALAIN L. LOCKE,04,GEN ED,-,-,-,2,41,20.5,18,23,ATS,
M,3,M208,P.S. 208 ALAIN L. LOCKE,04,CTT,-,-,-,1,19,19,19,19,ATS,
M,3,M208,P.S. 208 ALAIN L. LOCKE,05,GEN ED,-,-,-,2,48,24,20,28,ATS,
M,3,M208,P.S. 208 ALAIN L. LOCKE,0K-09,SPEC ED,-,-,12:1,2,20,10,8,12,ATS,
M,3,M208,P.S. 208 ALAIN L. LOCKE,,,,,,,,,,,,9.6
M,3,M241,P.S. 241 FAMILY ACADEMY,0K,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,01,GEN ED,-,-,-,1,13,13,13,13,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,02,GEN ED,-,-,-,1,21,21,21,21,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,03,GEN ED,-,-,-,1,15,15,15,15,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,04,GEN ED,-,-,-,2,33,16.5,16,17,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,05,GEN ED,-,-,-,2,33,16.5,16,17,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,07,GEN ED,-,-,-,1,22,22,22,22,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,07,CTT,-,-,-,1,18,18,18,18,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,08,GEN ED,-,-,-,1,22,22,22,22,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,08,CTT,-,-,-,1,15,15,15,15,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,0K-09,SPEC ED,-,-,12:1:1,2,21,10.5,9,12,ATS,
M,3,M241,P.S. 241 FAMILY ACADEMY,MS Core,GEN ED,ENGLISH,-,-,4,82,20.5,20,21,STARS,
M,3,M241,P.S. 241 FAMILY ACADEMY,MS Core,GEN ED,MATH,-,-,2,41,20.5,20,21,STARS,
M,3,M241,P.S. 241 FAMILY ACADEMY,MS Core,GEN ED,SCIENCE,-,-,2,41,20.5,20,21,STARS,
M,3,M241,P.S. 241 FAMILY ACADEMY,MS Core,CTT,ENGLISH,-,-,4,62,15.5,15,16,STARS,
M,3,M241,P.S. 241 FAMILY ACADEMY,MS Core,CTT,MATH,-,-,2,31,15.5,15,16,STARS,
M,3,M241,P.S. 241 FAMILY ACADEMY,MS Core,CTT,SCIENCE,-,-,2,31,15.5,15,16,STARS,
M,3,M241,P.S. 241 FAMILY ACADEMY,,,,,,,,,,,,9.6
