Shop Name,Telephone,Store Type (category 1),Store Type (category 2),Store Type (category 3),website,Location 1
Spot,212 787-7387,Specialty Shops,,,spotdogsrule.com,"452A Columbus Avenue
New York, NY 10024
(40.78368736951347, -73.97426225770998)"
Central Art Gallery,212 496-7172,Specialty Shops,,,,"281B Columbus Avenue
New York, NY 10023
(40.778102261681816, -73.97824499282405)"
Chase Manhattan Bank,212 769-0400,Specialty Shops,,,www.chase.com,"260 Columbus Avenue
New York, NY 10023
(40.777446580032986, -73.97881067428011)"
Chase Manhattan Bank,212 873-1207,Specialty Shops,,,www.chase.com,"335 Columbus Avenue
New York, NY 10023
(40.77983493068507, -73.97698555113737)"
Clarins,212 362-0190,Specialty Shops,,,us.clarins.com,"247 Columbus Avenue
New York, NY 10023
(40.776956681305954, -73.97908129026209)"
Design Within Reach,212 799-5900,Specialty Shops,,,www.dwr.com,"341 Columbus Avenue
New York, NY 10023
(40.779970188713115, -73.97688786478378)"
Euro Optika,212 501-7070,Specialty Shops,,,eurooptikany.com,"288 Columbus Avenue
New York, NY 10023
(40.77839521611259, -73.97811697582343)"
Fresh,212 787-3505,Specialty Shops,,,www.fresh.com,"159A Columbus Avenue
New York, NY 10023
(40.774277986590484, -73.98103709720698)"
Hom Bom Toys,212 362-1039,Specialty Shops,Childrens Stores,,www.hombomtoys.com,"412 Columbus Avenue
New York, NY 10024
(40.78245651972663, -73.97516375433176)"
Housing Works,212 579-7566,Specialty Shops,,,www.shophousingworks.com,"306 Columbus Avenue
New York, NY 10023
(40.77912143100707, -73.97754411443634)"
Jonathan Adler,212 787-0017,Specialty Shops,,,www.jonathanadler.com,"304 Columbus Avenue
New York, NY 10023
(40.778905593720026, -73.97770599240164)"
La Terrine,212 362-2122,Specialty Shops,,,www.laterrinedirect.com,"280 Columbus Avenue
New York, NY 10023
(40.778128457223936, -73.97830859136315)"
Theory,,"Clothing Shops, Shoes & Accessories",,,www.theory.com,"201 Columbus Avenue
New York, NY 10023
(40.77569501407544, -73.98004422967779)"
L'Occitane,212 874-4326,Specialty Shops,,,www.loccitane.com,"198 Columbus Avenue
New York, NY 10023
(40.77547271778961, -73.98025140789883)"
Make Meaning,212 362-0350,Specialty Shops,Childrens Stores,,www.makemeaning.com,"329 Columbus Avenue
New York, NY 10023
(40.779632043619785, -73.97713208068453)"
Olde Good Things,212 362-8025,Specialty Shops,,,www.ogtstore.com,"450 Columbus Avenue
New York, NY 10024
(40.78361692264805, -73.97431297945309)"
Papyrus,212 362-2386,Specialty Shops,,,www.papyrusonline.com,"209 Columbus Avenue
New York, NY 10023
(40.77574345058067, -73.97996526729914)"
Quality Florists,212 787-4790,Specialty Shops,,,,"447 Columbus Avenue
New York, NY 10024
(40.7834497873462, -73.97435085256919)"
Robert Marc,212 799-4600,Specialty Shops,,,www.robertmarc.com,"190 Columbus Avenue
New York, NY 10023
(40.775205958900955, -73.98043550910367)"
Royal Opticians,212 873-4499,Specialty Shops,,,www.royalopticiansny.com,"453 Columbus Avenue
New York, NY 10024
(40.78366112801503, -73.97419868728763)"
Schweitzer Linen,212 799-9629,Specialty Shops,,,www.schweitzerlinen.com,"457 Columbus Avenue
New York, NY 10024
(40.783802021794244, -73.9740972437666)"
See Eyewear,212 335-4203,Specialty Shops,,,www.seeeyewear.com,"207 Columbus Avenue
New York, NY 10023
(40.77567863944223, -73.98001411047593)"
Space.NK Apothecary,212 362-2840,Specialty Shops,Services,,www.spacenk.co.uk,"217 Columbus Avenue
New York, NY 10023
(40.77600269513444, -73.97976989459195)"
Unleashed (Petco),212 579-4560,Specialty Shops,,,unleashedby.petco.com,"159 Columbus Avenue
New York, NY 10023
(40.774277986590484, -73.98103709720698)"
Wade Maxx Gallery,212 799-6771,Specialty Shops,,,www.wademaxx.com,"191 Columbus Avenue
New York, NY 10023
(40.775180565780076, -73.98037134865984)"
67 Wines & Spirits,212 724-6767,Wine & Liquors,,,www.67wine.com,"179 Columbus Avenue
New York, NY 10023
(40.77480825956209, -73.98062978608388)"
Central Wines & Liquors,212 787-4465,Wine & Liquors,,,,"227 Columbus Avenue
New York, NY 10023
(40.77640547847858, -73.97952262290079)"
Nancy's Wines ,212 877-4040,Wine & Liquors,,,,"313 Columbus Avenue
New York, NY 10023
(40.77917539032882, -73.97750814155518)"
Rose Wines & Liquors,212 877-6900,Wine & Liquors,,,,"449 Columbus Avenue
New York, NY 10024
(40.78352023423581, -73.97430013080867)"
Urgent Care Manhattan,212 721-4200,Services,,,www.urgentcaremanhattan.com,"199 Amsterdam Avenue
New York, NY 10023
(40.776634557912345, -73.98304718937652)"
Athleta,212 787-5602,"Clothing Shops, Shoes & Accessories",,,www.athleta.com,"216 Columbus Avenue
New York, NY 10023
(40.77609467975011, -73.97978392782458)"
OSKA,212 799-3757,"Clothing Shops, Shoes & Accessories",,,www.oska.us,"311 Columbus Avenue
New York, NY 10024
(40.77999371225902, -73.97687062643729)"
Babette,212 780-0930,"Clothing Shops, Shoes & Accessories",,,www.babettesf.com,"353 Columbus Avenue
New York, NY 10024
(40.78038988613842, -73.97657700566174)"
Polarn O. Pyret,,"Clothing Shops, Shoes & Accessories",,,www.polarnopyretusa.com/,"428 Columbus Avenue
New York, NY 10024
(40.78294354963157, -73.97475621614552)"
Farrow & Ball Ltd.,,Specialty Shop,,,www.farrow-ball.com,"322 Columbus Avenue
New York, NY 10023
(40.77954411236084, -73.97723834494639)"
Vive La Crepe,,Food Shops,,,www.vivelacrepe.fr,"189 Columbus Avenue
New York, NY 10023
(40.77511387603502, -73.98041737397685)"
