ID,Business Name,Trade Name,Industry,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number
4967,"PATEL, HASMUKH G.",7 ELEVEN FOOD STORE,CIGARETTE RETAIL,1054932,"2247 UTICA AVENUE, BROOKLYN, NY 11234",2247,UTICA AVENUE,BROOKLYN,NY,11234,Brooklyn,,(718) 692-0099
4968,"PETER PLUS, INC",,CIGARETTE RETAIL,1187122,"4511 AVENUE L, BROOKLYN, NY 11234",4511,AVENUE L,BROOKLYN,NY,11234,Brooklyn,,(718) 377-6013
4969,QUENTIN MARKET CORP,,CIGARETTE RETAIL,1216167,"3404 QUENTIN ROAD, BROOKLYN, NY 11234",3404,QUENTIN ROAD,BROOKLYN,NY,11234,Brooklyn,,(718) 645-1476
4970,RALPH AVE GAS AND STORE INC.,,CIGARETTE RETAIL,1328366,"2317 RALPH AVENUE, BROOKLYN, NY 11234",2317,RALPH AVENUE,BROOKLYN,NY,11234,Brooklyn,,(917) 885-4377
4971,RITE AID OF NEW YORK INC.,RITE AID STORE# 3869,CIGARETTE RETAIL,1044675,"1791 UTICA AVENUE, BROOKLYN, NY 11234",1791,UTICA AVENUE,BROOKLYN,NY,11234,Brooklyn,,(718) 241-3633
4972,RITE AID OF NEW YORK INC.,RITE AID STORE# 4613,CIGARETTE RETAIL,1045246,"2324 FLATBUSH AVENUE, BROOKLYN, NY 11234",2324,FLATBUSH AVENUE,BROOKLYN,NY,11234,Brooklyn,,(718) 951-6935
4973,"S & S FRIENDLY DELI & GROCERY, LLC",,CIGARETTE RETAIL,1343801,"4802 AVENUE N, BROOKLYN, NY 11234",4802,AVENUE N,BROOKLYN,NY,11234,Brooklyn,,(718) 421-8684
4974,"SANTANA, MARINELIS",MARVIN FOOD STORE,CIGARETTE RETAIL,1097737,"4402 AVENUE J, BROOKLYN, NY 11234",4402,AVENUE J,BROOKLYN,NY,11234,Brooklyn,,(718) 692-1770
4975,SHALOM FOOD MARKET INC,,CIGARETTE RETAIL,1425943,"2155 UTICA AVE, BROOKLYN, NY 11234",2155,UTICA AVE,BROOKLYN,NY,11234,Brooklyn,,(347) 271-4662
4976,"SHEERIN, KARIM",T.K'S EXPRESS DELI AND GROCERY,CIGARETTE RETAIL,1277278,"3711B FLATLANDS AVENUE, BROOKLYN, NY 11234",3711B,FLATLANDS AVENUE,BROOKLYN,NY,11234,Brooklyn,,(718) 710-9895
4977,SHREEJI DELI & GROCERY INC,,CIGARETTE RETAIL,1409774,"5601 AVENUE L, BROOKLYN, NY 11234",5601,AVENUE L,BROOKLYN,NY,11234,Brooklyn,,(718) 251-6498
4978,SIDDHI FOOD INC,,CIGARETTE RETAIL,1434053,"3420 QUENTIN RD, BROOKLYN, NY 11234",3420,QUENTIN RD,BROOKLYN,NY,11234,Brooklyn,,(718) 336-2457
4979,"SONG, BYUNG JAE",SONG'S GROCERY,CIGARETTE RETAIL,1190308,"5401 AVENUE T, BROOKLYN, NY 11234",5401,AVENUE T,BROOKLYN,NY,11234,Brooklyn,,(718) 377-0023
4980,"SSJ FRIENDS, LLC",,CIGARETTE RETAIL,1218998,"1881 UTICA AVENUE, BROOKLYN, NY 11234",1881,UTICA AVENUE,BROOKLYN,NY,11234,Brooklyn,,(718) 251-2165
4981,STAR 8 MINI MARKET CORP.,,CIGARETTE RETAIL,1453780,"5002 AVENUE M, BROOKLYN, NY 11234",5002,AVENUE M,BROOKLYN,NY,11234,Brooklyn,,(347) 475-2016
4982,SUNNYDALE OF N Y INC,,CIGARETTE RETAIL,1053170,"4901 AVENUE N, BROOKLYN, NY 11234",4901,AVENUE N,BROOKLYN,NY,11234,Brooklyn,,(718) 951-6883
4983,TU BOHIO GROCERY CORP,,CIGARETTE RETAIL,1440097,"1710 UTICA AVE, BROOKLYN, NY 11234",1710,UTICA AVE,BROOKLYN,NY,11234,Brooklyn,,(718) 677-1044
4984,TULSHI GROCERY INC,,CIGARETTE RETAIL,1046698,"1953 FLATBUSH AVENUE, BROOKLYN, NY 11234",1953,FLATBUSH AVENUE,BROOKLYN,NY,11234,Brooklyn,,(718) 377-4402
4985,VJ MAR-VIN PHOTO SERVICE #1 LTD.,,CIGARETTE RETAIL,1048214,"3404 AVENUE N, BROOKLYN, NY 11234",3404,AVENUE N,BROOKLYN,NY,11234,Brooklyn,,(718) 253-0605
4986,WALGREEN EASTERN CO INC,WALGREENS #02650,CIGARETTE RETAIL,1050373,"5716 AVENUE U, BROOKLYN, NY 11234",5716,AVENUE U,BROOKLYN,NY,11234,Brooklyn,,(718) 252-2565
4987,WALGREEN EASTERN CO INC,WALGREENS #11808,CIGARETTE RETAIL,1364963,"4915 FLATLANDS AVE, BROOKLYN, NY 11234",4915,FLATLANDS AVE,BROOKLYN,NY,11234,Brooklyn,,(347) 856-5852
4988,"WALGREEN EASTERN CO., INC",WALGREENS 13752,CIGARETTE RETAIL,1419151,"2325 FLATBUSH AVE, BROOKLYN, NY 11234",2325,FLATBUSH AVE,BROOKLYN,NY,11234,Brooklyn,,(718) 951-0518
4989,WILKENS II DELI LTD,,CIGARETTE RETAIL,1047341,"7114 AVENUE U, BROOKLYN,, NY 11234",7114,AVENUE U,"BROOKLYN,",NY,11234,Brooklyn,,(718) 444-3838
4990,117 BRIGHTON BEACH BAKERY & DELI INC,,CIGARETTE RETAIL,1042611,"117 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",117,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 449-2011
4991,1500 SHEEPSHEAD BAY ROAD NEWS CORP,,CIGARETTE RETAIL,1254978,"1500 SHEEPSHEAD BAY ROAD, BROOKLYN, NY 11235",1500,SHEEPSHEAD BAY ROAD,BROOKLYN,NY,11235,Brooklyn,,(718) 646-0333
4992,"2952 GROCERY DELI, INC.",,CIGARETTE RETAIL,1068750,"2952 AVENUE X, BROOKLYN, NY 11235",2952,AVENUE X,BROOKLYN,NY,11235,Brooklyn,,(718) 368-3513
4993,"7-ELEVEN, INC.",7-ELEVEN STORE 35295H,CIGARETTE RETAIL,1417201,"1509 SHEEPSHEAD BAY RD, BROOKLYN, NY 11235",1509,SHEEPSHEAD BAY RD,BROOKLYN,NY,11235,Brooklyn,,(718) 769-0251
4994,"A & E CONVENIENT MARKET, INC",,CIGARETTE RETAIL,1405980,"3809 NOSTRAND AVENUE, BROOKLYN, NY 11235",3809,NOSTRAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(914) 441-1185
4995,A & H GOURMET DELI GROCERY CORP,,CIGARETTE RETAIL,1448797,"1202 AVE Z, BROOKLYN, NY 11235",1202,AVE Z,BROOKLYN,NY,11235,Brooklyn,,(347) 241-2709
4996,ALAWI HUSSEIN & ABDULLA O. ABDULLA,324 BRIGHTON BEACH GROCERY,CIGARETTE RETAIL,1053873,"324A BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",324A,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) ???-????
4997,"ANTEKA RX, INC.",,CIGARETTE RETAIL,1410418,"511 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",511,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 332-4002
4998,APW SUPERMARKETS INC,WALDBAUM #235,CIGARETTE RETAIL,1306344,"3100 OCEAN AVENUE, BROOKLYN, NY 11235",3100,OCEAN AVENUE,BROOKLYN,NY,11235,Brooklyn,,(201) 571-8326
4999,AROMA FOOD INC,,CIGARETTE RETAIL,1450401,"3033 CONEY ISLAND AVE, BROOKLYN, NY 11235",3033,CONEY ISLAND AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 769-8846
5000,ARSHAK CORP,EXPRESS DELI,CIGARETTE RETAIL,1450211,"262 NEPTUNE AVE, BROOKLYN, NY 11235",262,NEPTUNE AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 934-3270
5001,"ATWEH, NADIA M",SAMS SUPERMARKET,CIGARETTE RETAIL,1298046,"1315 AVENUE Z, BROOKLYN, NY 11235",1315,AVENUE Z,BROOKLYN,NY,11235,Brooklyn,,(718) 832-3673
5002,AVENUE X GOURMET DELI INC.,,CIGARETTE RETAIL,1385380,"2114 AVENUE X, BROOKLYN, NY 11235",2114,AVENUE X,BROOKLYN,NY,11235,Brooklyn,,(347) 554-8787
5003,B&B MINIMARKET INC,,CIGARETTE RETAIL,1245081,"311 NEPTUNE AVE, BROOKLYN, NY 11235",311,NEPTUNE AVE,BROOKLYN,NY,11235,Brooklyn,311-313,(718) 743-1287
5004,BAY SIDE MINI MART INC,,CIGARETTE RETAIL,1192777,"3119 EMMONS AVENUE, BROOKLYN, NY 11235",3119,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 769-5300
5005,BAY SUPERMARKET INC.,,CIGARETTE RETAIL,1347139,"1504 SHEEPSHEAD BAY ROAD, BROOKLYN, NY 11235",1504,SHEEPSHEAD BAY ROAD,BROOKLYN,NY,11235,Brooklyn,,(718) 934-8479
5006,BIONIC BAGEL CORP.,,CIGARETTE RETAIL,1046948,"3741 NOSTRAND AVENUE, BROOKLYN, NY 11235",3741,NOSTRAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 648-3794
5007,BOLLA OPERATING CORP,KINGS 3003 SERVICE STATION MOBILE,CIGARETTE RETAIL,1387138,"3003 CONEY ISLAND AVE, BROOKLYN, NY 11235",3003,CONEY ISLAND AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 934-6265
5008,BOLLA OPERATING CORP.,KINGS KNAPP MOBIL,CIGARETTE RETAIL,1308079,"2402 KNAPP STREET, BROOKLYN, NY 11235",2402,KNAPP STREET,BROOKLYN,NY,11235,Brooklyn,,(516) 512-6125
5009,BRIGHTON FAMILY GROCERY CORP.,,CIGARETTE RETAIL,1203176,"105 BRIGHTON 11TH STREET, BROOKLYN, NY 11235",105,BRIGHTON 11TH STREET,BROOKLYN,NY,11235,Brooklyn,,(718) 648-1467
5010,"BRIGHTON PHARMACY, INC.",ZUCKERMAN PHARMACY & SURGICAL,CIGARETTE RETAIL,1042165,"701 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",701,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 743-1800
5011,"BRIGHTON RX,INC.",,CIGARETTE RETAIL,1095229,"277 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",277,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 332-8428
5012,BRIGHTON'S CONVENIENCE INC.,,CIGARETTE RETAIL,1418159,"3165 CONEY ISLAND AVE, BROOKLYN, NY 11235",3165,CONEY ISLAND AVE,BROOKLYN,NY,11235,Brooklyn,,(917) 541-5252
5013,"CHERRY HILL GOURMET, INC",,CIGARETTE RETAIL,1423695,"1901 EMMONS AVE, BROOKLYN, NY 11235",1901,EMMONS AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 616-1900
5014,CONEY ISLAND FOOD MARKET INC,,CIGARETTE RETAIL,1329922,"2835 CONEY ISLAND AVENUE, BROOKLYN, NY 11235",2835,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 648-6414
5015,"CVS ALBANY, L.L.C.",CVS/PHARMACY #2700,CIGARETTE RETAIL,1262300,"1402 SHEEPSHEAD BAY ROAD, BROOKLYN, NY 11235",1402,SHEEPSHEAD BAY ROAD,BROOKLYN,NY,11235,Brooklyn,,(718) 332-8425
5016,DELI ON THE BAY INC,,CIGARETTE RETAIL,1157758,"3191 EMMONS AVENUE, BROOKLYN, NY 11235",3191,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 934-9662
5017,DESERT ROSE TANNING SALON INC,CAFFEINE INCORPORATED,CIGARETTE RETAIL,1422111,"1027 BRIGHTON BEACH AVE, BROOKLYN, NY 11235",1027,BRIGHTON BEACH AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 676-4669
5018,DISHA GROCERY INC,YIREH DELI GROCERY,CIGARETTE RETAIL,1256618,"1151 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",1151,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 332-0986
5019,DUANE READE,,CIGARETTE RETAIL,1046492,"3090 OCEAN AVENUE, BROOKLYN, NY 11235",3090,OCEAN AVENUE,BROOKLYN,NY,11235,Brooklyn,,(847) 527-4241
5020,DUANE READE,,CIGARETTE RETAIL,1080916,"101-105 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",101-105,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(847) 527-4241
5021,"EMMON'S DELI, INC.",,CIGARETTE RETAIL,1341528,"1729 EMMONS AVENUE, BROOKLYN, NY 11235",1729,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 615-4891
5022,EMMONS BAGEL STORE INC.,,CIGARETTE RETAIL,1243488,"2253 EMMONS AVENUE, BROOKLYN, NY 11235",2253,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 934-7665
5023,EVE PHARMACY INC.,,CIGARETTE RETAIL,1434407,"2836 CONEY ISLAND AVE, BROOKLYN, NY 11235",2836,CONEY ISLAND AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 743-8585
5024,FAMILY DOLLAR STORES OF NEW YORK INC,,CIGARETTE RETAIL,1428805,"3710 NOSTRAND AVE, BROOKLYN, NY 11235",3710,NOSTRAND AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 769-2315
5025,FRUIT GARDEN PRODUCE CORP,,CIGARETTE RETAIL,1384546,"1624 SHEEPSHEAD BAY RD, BROOKLYN, NY 11235",1624,SHEEPSHEAD BAY RD,BROOKLYN,NY,11235,Brooklyn,,(718) 332-0880
5026,"GENDY, MAGDY",7-ELEVEN STORE 32126C,CIGARETTE RETAIL,1206734,"3768 NOSTRAND AVENUE, BROOKLYN, NY 11235",3768,NOSTRAND AVENUE,BROOKLYN,NY,11235,Brooklyn,3768-3778,(718) 648-0065
5027,GENOVESE DRUG STORES INC,RITE AID# 10586,CIGARETTE RETAIL,1306689,"2981 OCEAN AVENUE, BROOKLYN, NY 11235",2981,OCEAN AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 332-1001
5028,GOLDEN GROCERY INC.,,CIGARETTE RETAIL,1443845,"2317 VOORHIES AVE, BROOKLYN, NY 11235",2317,VOORHIES AVE,BROOKLYN,NY,11235,Brooklyn,,(718) 769-7839
5029,IDREES MINI MART INC,,CIGARETTE RETAIL,1423247,"97 WEST END AVE, BROOKLYN, NY 11235",97,WEST END AVE,BROOKLYN,NY,11235,Brooklyn,,(347) 328-4108
5030,KANAH INC.,,CIGARETTE RETAIL,1456328,"2616 OCEAN PARKWAY, BROOKLYN, NY 11235",2616,OCEAN PARKWAY,BROOKLYN,NY,11235,Brooklyn,,(718) 646-2822
5031,"KIM, CHONG SUNG",ALLOS SUPERETTE,CIGARETTE RETAIL,1041873,"3901 NOSTRAND AVENUE, BROOKLYN, NY 11235",3901,NOSTRAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 934-8328
5032,KINGS II DELI & GROCERY INC,,CIGARETTE RETAIL,1443499,"2105 AVE Z, BROOKLYN, NY 11235",2105,AVE Z,BROOKLYN,NY,11235,Brooklyn,AKA 2107 AVE Z,(347) 481-8812
5033,L & J SUPERMARKET INC,,CIGARETTE RETAIL,1356791,"738 OCEAN VIEW AVENUE, BROOKLYN, NY 11235",738,OCEAN VIEW AVENUE,BROOKLYN,NY,11235,Brooklyn,,(347) 351-2899
5034,LE PETITE FRENCH DELI INC,,CIGARETTE RETAIL,1444201,"3087 BRIGHTON 4TH ST, BROOKLYN, NY 11235",3087,BRIGHTON 4TH ST,BROOKLYN,NY,11235,Brooklyn,,(347) 374-4065
5035,"LUCKY 7 SHOP, INC",,CIGARETTE RETAIL,1199443,"2124 AVE X, BROOKLYN, NY 11235",2124,AVE X,BROOKLYN,NY,11235,Brooklyn,,(718) 769-5346
5036,M.C.P. FOOD & AGRO INC.,,CIGARETTE RETAIL,1216722,"1613 ORIENTAL BOULEVARD, BROOKLYN, NY 11235",1613,ORIENTAL BOULEVARD,BROOKLYN,NY,11235,Brooklyn,,(718) 368-2016
5037,"MOHAMED, MUSTAFA K",STAR DELI,CIGARETTE RETAIL,1373895,"3056 AVENUE X, BROOKLYN, NY 11235",3056,AVENUE X,BROOKLYN,NY,11235,Brooklyn,,(347) 492-7565
5038,NEPTUNE DELI CORP,,CIGARETTE RETAIL,1448051,"373 NEPTUNE AVE, BROOKLYN, NY 11235",373,NEPTUNE AVE,BROOKLYN,NY,11235,Brooklyn,,(646) 812-8273
5039,OCEAN Z DELI CORP.,,CIGARETTE RETAIL,1346571,"2970 OCEAN AVENUE, BROOKLYN, NY 11235",2970,OCEAN AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 743-9123
5040,"P & K EUROPEAN FOODS, INC.",,CIGARETTE RETAIL,1211267,"1071 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",1071,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 743-2328
5041,"PAK, CHUN",7-ELEVEN,CIGARETTE RETAIL,1153009,"2702 KNAPP STREET, BROOKLYN, NY 11235",2702,KNAPP STREET,BROOKLYN,NY,11235,Brooklyn,,(718) 648-8035
5042,R & M GROCERY CORP,,CIGARETTE RETAIL,1300509,"285 NEPTUNE AVENUE, BROOKLYN, NY 11235",285,NEPTUNE AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 891-3868
5043,RITE AID OF NEW YORK INC.,RITE AID STORE# 4876,CIGARETTE RETAIL,1043840,"3823 NOSTRAND AVENUE, BROOKLYN, NY 11235",3823,NOSTRAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 743-5461
5044,RONY ENTERPRISE INC.,,CIGARETTE RETAIL,1175486,"185 WEST END AVENUE, BROOKLYN, NY 11235",185,WEST END AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 332-1220
5045,"S & I BUISNESS, INC",,CIGARETTE RETAIL,1148669,"2691 EAST   14 STREET, BROOKLYN, NY 11235",2691,EAST   14 STREET,BROOKLYN,NY,11235,Brooklyn,,(718) 769-8846
5046,"SALEH, MOHAMED ABDUL",SHEEPSHEAD BAY GROCERY/DELI,CIGARETTE RETAIL,1043943,"1663 SHEEPSHEAD BAY ROAD, BROOKLYN, NY 11235",1663,SHEEPSHEAD BAY ROAD,BROOKLYN,NY,11235,Brooklyn,STORE,(718) 646-0016
5047,SEA BREEZE PHARMACY & MEDICAL SUPPLY INC.,,CIGARETTE RETAIL,1334120,"1129 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",1129,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 646-0660
5048,SEHER NEWS INC.,,CIGARETTE RETAIL,1294324,"1494 SHEEPSHEAD BAY, BROOKLYN, NY 11235",1494,SHEEPSHEAD BAY,BROOKLYN,NY,11235,Brooklyn,STATION NORTH,(917) 952-4748
5049,SEHER NEWS INC.,,CIGARETTE RETAIL,1294331,"1494 SHEEPSHEAD BAY, BROOKLYN, NY 11235",1494,SHEEPSHEAD BAY,BROOKLYN,NY,11235,Brooklyn,STATION SOUTH,(917) 952-4748
5050,SHEEPSHEAD BAY DELI & GROCERY CORP.,,CIGARETTE RETAIL,1406586,"1424 SHEEPSHEAD BAY ROAD, BROOKLYN, NY 11235",1424,SHEEPSHEAD BAY ROAD,BROOKLYN,NY,11235,Brooklyn,,(718) 743-4777
5051,SHEEPSHEAD BAY GROCERY INC.,,CIGARETTE RETAIL,1383968,"1906 AVENUE Y, BROOKLYN, NY 11235",1906,AVENUE Y,BROOKLYN,NY,11235,Brooklyn,,(347) 587-3182
5052,SHOP & SMILE GROCERIES INC,,CIGARETTE RETAIL,1075571,"51 NEPTUNE AVENUE, BROOKLYN, NY 11235",51,NEPTUNE AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 648-7080
5053,SHOREWAY CONVENIENCE INC.,,CIGARETTE RETAIL,1070388,"3043 EMMONS AVENUE, BROOKLYN, NY 11235",3043,EMMONS AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 975-3923
5054,"SMALDONE, ALFONSO",7-ELEVEN FOOD STORE #27167A,CIGARETTE RETAIL,1055250,"2800 CONEY ISLAND AVENUE, BROOKLYN, NY 11235",2800,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 368-0224
5055,STOP 2 DELI & GROCERY CORP,,CIGARETTE RETAIL,1377775,"2964 AVENUE X, BROOKLYN, NY 11235",2964,AVENUE X,BROOKLYN,NY,11235,Brooklyn,,(347) 441-8816
5056,STOP ONE BRIGHTON BEACH CORP.,STOP ONE FOOD MARKET,CIGARETTE RETAIL,1257749,"606 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",606,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 934-5787
5057,TAE YOUNG DELI CORP,,CIGARETTE RETAIL,1049368,"2771 KNAPP STREET, BROOKLYN, NY 11235",2771,KNAPP STREET,BROOKLYN,NY,11235,Brooklyn,,(718) 934-0222
5058,THE NEW PIZZA BOULEVARD LTD,,CIGARETTE RETAIL,1118400,"1623 ORIENTAL BOULEVARD, BROOKLYN, NY 11235",1623,ORIENTAL BOULEVARD,BROOKLYN,NY,11235,Brooklyn,,(718) 743-9056
5059,"THE STOP & SHOP SUPERMARKET COMPANY, LLC",,CIGARETTE RETAIL,1051636,"1710 AVE Y, BROOKLYN, NY 11235",1710,AVE Y,BROOKLYN,NY,11235,Brooklyn,,(617) 770-8708
5060,"TOZANLI, INC.",,CIGARETTE RETAIL,1074839,"3031 CONEY ISLAND AVENUE, BROOKLYN, NY 11235",3031,CONEY ISLAND AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 646-9700
5061,W & F DELI GROCERY CORP,,CIGARETTE RETAIL,1198708,"392 NEPTUNE AVENUE, BROOKLYN, NY 11235",392,NEPTUNE AVENUE,BROOKLYN,NY,11235,Brooklyn,STORE #2,(718) 648-9740
5062,"WALGREEN EASTERN CO, INC",WALGREENS #10326,CIGARETTE RETAIL,1236882,"713 BRIGHTON BEACH AVENUE, BROOKLYN, NY 11235",713,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,Brooklyn,,(718) 332-6325
5063,"Z GROCERY, INC",,CIGARETTE RETAIL,1121956,"2620 AVENUE Z, BROOKLYN, NY 11235",2620,AVENUE Z,BROOKLYN,NY,11235,Brooklyn,,(718) 332-0517
5064,1506 ROCK DELI CORP.,,CIGARETTE RETAIL,1261377,"1506 ROCKAWAY PKWY, BROOKLYN, NY 11236",1506,ROCKAWAY PKWY,BROOKLYN,NY,11236,Brooklyn,,(718) 649-4115
5065,2126 ROCKAWAY GOURMET DELI INC.,,CIGARETTE RETAIL,1399888,"2126 ROCKAWAY PKWY, BROOKLYN, NY 11236",2126,ROCKAWAY PKWY,BROOKLYN,NY,11236,Brooklyn,,(718) 251-1303
5066,77TH STREET CONVENIENCE INC,,CIGARETTE RETAIL,1143956,"7702 FLATLANDS AVENUE, BROOKLYN, NY 11236",7702,FLATLANDS AVENUE,BROOKLYN,NY,11236,Brooklyn,,(718) 763-4946
5067,9102 FLATLAND FOOD CORP,POPULAR FOOD CO,CIGARETTE RETAIL,1412942,"9102 FLATLANDS AVE, BROOKLYN, NY 11236",9102,FLATLANDS AVE,BROOKLYN,NY,11236,Brooklyn,,(718) 213-1433
5068,9202 KINGS EXPRESS DELI INC,,CIGARETTE RETAIL,1371333,"9202 AVENUE M, BROOKLYN, NY 11236",9202,AVENUE M,BROOKLYN,NY,11236,Brooklyn,,(719) 531-8916
5069,9627 DELI GROCERY CORP,,CIGARETTE RETAIL,1357667,"9627 AVENUE L, BROOKLYN, NY 11236",9627,AVENUE L,BROOKLYN,NY,11236,Brooklyn,,(718) 763-5611
5070,"ALIA DELI & GROCERY, INC",,CIGARETTE RETAIL,1240953,"9128 AVENUE L, BROOKLYN, NY 11236",9128,AVENUE L,BROOKLYN,NY,11236,Brooklyn,,(718) 209-4413
5071,"ALSHARIKI, SADIK A",S.A.A. DELI GROCERY,CIGARETTE RETAIL,1124091,"9401 AVENUE L, BROOKLYN, NY 11236",9401,AVENUE L,BROOKLYN,NY,11236,Brooklyn,,(718) 272-1570
5072,"ALYAS, ISHRAT",K H MINI MART,CIGARETTE RETAIL,1379467,"1214 REMSEN AVE, BROOKLYN, NY 11236",1214,REMSEN AVE,BROOKLYN,NY,11236,Brooklyn,,(718) 513-6350
5073,"B.K. TERMINAL DELI, INC",,CIGARETTE RETAIL,1381814,"22 BROOKLYN TERMINAL MARKET, BROOKLYN, NY 11236",22,BROOKLYN TERMINAL MARKET,BROOKLYN,NY,11236,Brooklyn,,(718) 531-7505
5074,BLAK SERVICE STATION INC.,,CIGARETTE RETAIL,1241535,"1022 ROCKAWAY AVENUE, BROOKLYN, NY 11236",1022,ROCKAWAY AVENUE,BROOKLYN,NY,11236,Brooklyn,,(718) 346-2111
5075,BOLLA OPERATING CORP,KINGS 84 MOBIL,CIGARETTE RETAIL,1308070,"8401 FLATLANDS AVENUE, BROOKLYN, NY 11236",8401,FLATLANDS AVENUE,BROOKLYN,NY,11236,Brooklyn,,(516) 512-6125
5076,BOLLA OPERATING CORP.,KINGS ROCKAWAY & SEAVIEW MOBIL,CIGARETTE RETAIL,1309800,"2000 ROCKAWAY PARKWAY, BROOKLYN, NY 11236",2000,ROCKAWAY PARKWAY,BROOKLYN,NY,11236,Brooklyn,,(516) 512-6125
5077,C AND S SUPERETTES CRP,,CIGARETTE RETAIL,1421361,"8821 AVENUE L, BROOKLYN, NY 11236",8821,AVENUE L,BROOKLYN,NY,11236,Brooklyn,,(718) 531-0795
5078,CANARSIE EXPRESS DELI CORP.,,CIGARETTE RETAIL,1434055,"1680 ROCKAWAY PKWY, BROOKLYN, NY 11236",1680,ROCKAWAY PKWY,BROOKLYN,NY,11236,Brooklyn,,(347) 481-0238
5079,CANARSIE STATION INC.,,CIGARETTE RETAIL,1130469,"8914 DITMAS AVENUE, BROOKLYN, NY 11236",8914,DITMAS AVENUE,BROOKLYN,NY,11236,Brooklyn,,(718) 346-4992
5080,CHOO CHOO DELI INC,,CIGARETTE RETAIL,1338026,"604 EAST  102 STREET, BROOKLYN, NY 11236",604,EAST  102 STREET,BROOKLYN,NY,11236,Brooklyn,,(917) 626-0572
5081,"CVS ALBANY, L.L.C.",CVS/PHARMACY #2443,CIGARETTE RETAIL,1262311,"2120 ROCKAWAY PARKWAY, BROOKLYN, NY 11236",2120,ROCKAWAY PARKWAY,BROOKLYN,NY,11236,Brooklyn,,(718) 251-1400
5082,"CVS ALBANY, LLC",CVS/PHARMACY# 2906,CIGARETTE RETAIL,1262484,"10204 FLATLANDS AVENUE, BROOKLYN, NY 11236",10204,FLATLANDS AVENUE,BROOKLYN,NY,11236,Brooklyn,,(718) 257-1099
5083,DIPARUN CARDS INC,,CIGARETTE RETAIL,1044200,"2086 ROCKAWAY PARKWAY, BROOKLYN, NY 11236",2086,ROCKAWAY PARKWAY,BROOKLYN,NY,11236,Brooklyn,,(718) 444-5494
5084,DSAS PETROLEUM INC,,CIGARETTE RETAIL,1304399,"972 REMSEN AVENUE, BROOKLYN, NY 11236",972,REMSEN AVENUE,BROOKLYN,NY,11236,Brooklyn,,(718) 272-1220
5085,E&R GROCERY CORPORATION,,CIGARETTE RETAIL,1421517,"9218 AVE L, BROOKLYN, NY 11236",9218,AVE L,BROOKLYN,NY,11236,Brooklyn,,(347) 415-9860
