ID,Business Name,Trade Name,Facility Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Number of Spaces,Number of Bike Spaces
404,BEEKMAN GARAGE LLC,,Parking Garage,1100532,"51-53 EAST   76 STREET, NEW YORK, NY 10021",51-53,EAST   76 STREET,NEW YORK,NY,10021,Manhattan,,(212) 832-2066,140,14
405,BELMONT PARKING LLC,,Parking Garage,1308709,"113-115 EAST   84 STREET, NEW YORK, NY 10028",113-115,EAST   84 STREET,NEW YORK,NY,10028,Manhattan,,(212) 288-9170,125,12
406,"BENEFICIAL 21 PARKING, LLC",,Parking Garage,1367334,"329-333 EAST   21 STREET, NEW YORK, NY 10010",329-333,EAST   21 STREET,NEW YORK,NY,10010,Manhattan,,(212) 686-9800,180,18
407,"BENENATI, VINCENT A",VABCO PARKING SYSTEM,Parking Lot,902630,"19-33 PUTNAM AVE, RIDGEWOOD, NY 11385",19-33,PUTNAM AVE,RIDGEWOOD,NY,11385,Queens,,(917) 892-9509,100,10
408,BEST GARAGE CORP,,Parking Garage,980798,"105-25 GERARD PLACE, FOREST HILL, NY 11375",105-25,GERARD PLACE,FOREST HILL,NY,11375,Queens,,(212) 736-7171,89,8
409,BEST PARKING INC,,Parking Lot,1113079,"310 WEST   40 STREET, NEW YORK, NY 10018",310,WEST   40 STREET,NEW YORK,NY,10018,Manhattan,,(212) 695-1018,35,
410,"BETHON, CHRISTINE",,Parking Garage,1387929,"51 DIAMOND STREET, BROOKLYN, NY 11222",51,DIAMOND STREET,BROOKLYN,NY,11222,Brooklyn,,(718) 383-2508,5,
411,"BG CROSSING, INC",,Parking Lot,1439669,"1611 WASHINGTON AVE, BRONX, NY 10457",1611,WASHINGTON AVE,BRONX,NY,10457,Bronx,,(718) 933-4893,88,8
412,BHC CAR PARK LLC,GGMC,Parking Garage,1026761,"240-260 WILLOUGHBY STREET, BROOKLYN, NY 11201",240-260,WILLOUGHBY STREET,BROOKLYN,NY,11201,Brooklyn,,(212) 996-6363,379,21
413,"BHC CAR PARK, LLC",GGMC,Parking Lot,1019609,"97-103 DEKALB AVENUE, BROOKLYN, NY 11201",97-103,DEKALB AVENUE,BROOKLYN,NY,11201,Brooklyn,,(212) 996-6363,155,15
414,BIBLE HOLINESS CHURCH,,Parking Lot,1009139,"1982-1986 NOSTRAND AVENUE, BROOKLYN, NY 11210",1982-1986,NOSTRAND AVENUE,BROOKLYN,NY,11210,Brooklyn,,(718) 859-1045,25,
415,BIENVENIDO LLC,,Parking Garage,1007823,"1277 JEROME AVENUE, BRONX, NY 10452",1277,JEROME AVENUE,BRONX,NY,10452,Bronx,,(212) 289-3800,96,9
416,"BIENVENIDO, LLC",,Parking Garage,1407851,"1295 JEROME AVENUE, BRONX, NY 10452",1295,JEROME AVENUE,BRONX,NY,10452,Bronx,A/K/A 1298 INWOOD AVE,(212) 929-9404,240,20
417,BK PARKING GROUP INC,,Parking Garage,1381089,"27-33 WEST  170 STREET, BRONX, NY 10452",27-33,WEST  170 STREET,BRONX,NY,10452,Bronx,,(347) 961-5934,99,9
418,"BOGOPA LIC, INC",FOOD BAZAAR,Garage - Parking Lot Combo,1446388,"4202 NORTHERN BLVD, LONG ISL CITY, NY 11101",4202,NORTHERN BLVD,LONG ISL CITY,NY,11101,Queens,,(718) 346-6500,300,21
419,"BOND STREET GARAGE, LLC.",,Parking Garage,1268885,"25 BOND STREET, NEW YORK, NY 10012",25,BOND STREET,NEW YORK,NY,10012,Manhattan,,(212) 888-7400,48,
420,BOULEVARD GARAGE INC.,,Parking Garage,1187425,"39-15 29TH STREET, LONG ISLND CITY, NY 11101",39-15,29TH STREET,LONG ISLND CITY,NY,11101,Queens,,(718) 729-9509,130,13
421,BOULEVARD LEASING LIMITED PARTNERSHIP,,Parking Garage,945052,"97-45 QUEENS BOULEVARD, REGO PARK, NY 11374",97-45,QUEENS BOULEVARD,REGO PARK,NY,11374,Queens,,(718) 830-9084,95,9
422,"BOYCE-EL, IRVINE",,Parking Lot,364804,"670 HALSEY STREET, BROOKLYN, NY 11233",670,HALSEY STREET,BROOKLYN,NY,11233,Brooklyn,74,(718) 574-8627,15,
423,BPG 149TH LLC,,Parking Garage,1351053,"225 EAST  149 ST, BRONX, NY 10451",225,EAST  149 ST,BRONX,NY,10451,Bronx,,(212) 349-1800,156,15
424,BPL ENTERPRISES INC.,,Parking Lot,1418289,"3500 PARK AVE, BRONX, NY 10456",3500,PARK AVE,BRONX,NY,10456,Bronx,,(646) 249-8858,52,5
425,BREVOORT PARKING LLC,,Parking Garage,1233573,"20 EAST    9 STREET, NEW YORK, NY 10003",20,EAST    9 STREET,NEW YORK,NY,10003,Manhattan,,(212) 686-9800,134,13
426,BRG CHARLES LLC,,Parking Garage,1308946,"140 CHARLES STREET, NEW YORK, NY 10014",140,CHARLES STREET,NEW YORK,NY,10014,Manhattan,,(516) 498-9100,20,
427,BRIAR HILL REALTY LLC,,Parking Garage,1071282,"600 WEST  246 STREET, BRONX, NY 10471",600,WEST  246 STREET,BRONX,NY,10471,Bronx,,(718) 548-9428,84,8
428,BRIAR HILL REALTY LLC,,Parking Garage,1071285,"630 WEST  246 STREET, BRONX, NY 10471",630,WEST  246 STREET,BRONX,NY,10471,Bronx,,(718) 548-9428,84,8
429,BRIAR HILL REALTY LLC,,Parking Lot,1071283,"600 WEST  246 STREET, BRONX, NY 10471",600,WEST  246 STREET,BRONX,NY,10471,Bronx,,(718) 548-9428,54,5
430,BRIAR HILL REALTY LLC,,Parking Lot,1071284,"630 WEST  246 STREET, BRONX, NY 10471",630,WEST  246 STREET,BRONX,NY,10471,Bronx,,(718) 548-9428,54,5
431,BRICIN PARKING CORP,,Parking Garage,368185,"155 EAST   55 STREET, NY, NY 10022",155,EAST   55 STREET,NY,NY,10022,Manhattan,,(212) 756-5451,42,
432,BRICIN PARKING CORP,,Parking Garage,368410,"65 WEST   55 STREET, NEW YORK, NY 10019",65,WEST   55 STREET,NEW YORK,NY,10019,Manhattan,,(212) 751-5431,24,
433,BRICIN PARKING CORP,,Parking Garage,368933,"511 EAST   80 STREET, NEW YORK, NY 10021",511,EAST   80 STREET,NEW YORK,NY,10021,Manhattan,,(212) 752-3451,50,
434,BRIDGE PARKING CORP,,Parking Lot,738230,"321 EAST   60 STREET, NEW YORK, NY 10022",321,EAST   60 STREET,NEW YORK,NY,10022,Manhattan,321-323,(212) 956-2280,44,
435,BRIDGE TOWER PARKING LLC,,Parking Lot,1184568,"410 EAST   61 STREET, NEW YORK, NY 10021",410,EAST   61 STREET,NEW YORK,NY,10021,Manhattan,,(212) 956-2280,99,9
436,BRIDGE VIEW AUTO SERVICE CENTER INC,BRIDGE VIEW AUTO SERVICE CENTER INC,Parking Lot,954225,"26 FORSYTH STREET, NEW YORK, NY 10002",26,FORSYTH STREET,NEW YORK,NY,10002,Manhattan,,(212) 226-6465,42,
437,BRIGHT MANAGEMENT   INC,,Parking Lot,429883,"305 WEST   48 STREET, NEW YORK, NY 10036",305,WEST   48 STREET,NEW YORK,NY,10036,Manhattan,9,(212) 265-8189,41,
438,BRISTOL 65 PARKING LLC,,Parking Garage,1406780,"200-10 EAST   65 STREET, NEW YORK, NY 10065",200-10,EAST   65 STREET,NEW YORK,NY,10065,Manhattan,,(212) 686-9800,153,15
439,"BRITO, ESTELA A",AY PARKING,Parking Lot,1386691,"297 E 148TH ST, BRONX, NY 10451",297,E 148TH ST,BRONX,NY,10451,Bronx,,(646) 648-0756,110,11
440,BROADWAY & 64TH PARKING LLC.,,Parking Garage,1213869,"1900-1916 BROADWAY, NEW YORK, NY 10023",1900-1916,BROADWAY,NEW YORK,NY,10023,Manhattan,AKA 1900 BROADWAY,(212) 686-9800,400,22
441,"BROOK AUTO,LLC",,Parking Lot,1299968,"975 BROOK AVENUE, BRONX, NY 10451",975,BROOK AVENUE,BRONX,NY,10451,Bronx,,(718) 292-6324,223,20
442,BROOK PARKING GARAGE INC,,Parking Lot,1151777,"418 EAST  167 STREET, BRONX, NY 10456",418,EAST  167 STREET,BRONX,NY,10456,Bronx,,(718) 588-8328,64,6
443,BROOK PARKING GARAGE INC,,Parking Lot,1151780,"420 EAST  167 STREET, BRONX, NY 10456",420,EAST  167 STREET,BRONX,NY,10456,Bronx,,(718) 588-8328,64,6
444,BROOKLYN ATLANTIC PARKING LLC,,Parking Lot,1453209,"1072 ATLANTIC AVENUE, BROOKLYN, NY 11238",1072,ATLANTIC AVENUE,BROOKLYN,NY,11238,Brooklyn,,(718) 285-0102,100,
445,BROOKLYN CLINTON CORP.,,Parking Garage,1453206,"525 CLINTON AVENUE, BROOKLYN, NY 11238",525,CLINTON AVENUE,BROOKLYN,NY,11238,Brooklyn,,(718) 285-0102,26,
446,BROOME STREET PARKING LOT LLC,,Parking Lot,1234764,"118 CLINTON STREET, NEW YORK, NY 10002",118,CLINTON STREET,NEW YORK,NY,10002,Manhattan,,(516) 764-6247,48,
447,BROWN ENTITIES INC,BROWN PARKING SYSTEMS,Parking Lot,1378281,"1707 PARK AVE, NEW YORK, NY 10035",1707,PARK AVE,NEW YORK,NY,10035,Manhattan,LOT UNDER METRO NORTH E119-E120,(212) 369-6069,42,
448,"BRYANT CAR PARK, LLC",GGMC,Parking Lot,1001165,"14-20 WEST   40 STREET, NEW YORK, NY 10018",14-20,WEST   40 STREET,NEW YORK,NY,10018,Manhattan,,(212) 996-6363,76,7
449,BRYK CORP,,Parking Garage,1416085,"65-36 99 STREET, REGO PARK, NY 11374",65-36,  99 STREET,REGO PARK,NY,11374,Queens,,(718) 459-6110,125,12
450,"BUDHU, BISUNDIAL",,Parking Lot,1392691,"144-34 JAMAICA AVE, JAMAICA, NY 11435",144-34,JAMAICA AVE,JAMAICA,NY,11435,Queens,,(718) 657-6972,20,
451,"BUDHU, GANESH",G B PARKING,Parking Lot,1003796,"148-15 89 AVENUE, JAMAICA, NY 11435",148-15,  89 AVENUE,JAMAICA,NY,11435,Queens,,(718) 291-4555,78,7
452,BUZZ PARKING & MGMT CORP.,,Parking Garage,1385878,"1424 KENMARE ST, NEW YORK, NY 10012",1424,KENMARE ST,NEW YORK,NY,10012,Manhattan,,(718) 285-0102,100,10
453,C.V. PARKING LLC.,,Parking Garage,1256344,"200 CABRINI BOULEVARD, NEW YORK, NY 10033",200,CABRINI BOULEVARD,NEW YORK,NY,10033,Manhattan,,(212) 795-9070,525,23
454,"C21 PARKING MGMT, LLC",,Parking Garage,1384333,"416 87TH ST, BROOKLYN, NY 11209",416,87TH ST,BROOKLYN,NY,11209,Brooklyn,,(212) 795-7275,279,20
455,CA-LI AUTOMATIC TRANSMISSION CORP,A & S PARKING,Parking Garage,427913,"103 WEST  108 STREET, NEW YORK, NY 10025",103,WEST  108 STREET,NEW YORK,NY,10025,Manhattan,,(212) 864-0137,125,12
456,"CABELLERO, HIGINIO",CHILE'S PARKING LOT,Parking Lot,906199,"1282 SHAKESPEARE AVENUE, BRONX, NY 10452",1282,SHAKESPEARE AVENUE,BRONX,NY,10452,Bronx,1282-6 SHAKESPEARE AVE,(718) 942-3986,54,5
457,CABRINI GARAGE CORP,,Parking Garage,1310284,"900 WEST  190 STREET, NEW YORK, NY 10040",900,WEST  190 STREET,NEW YORK,NY,10040,Manhattan,,(212) 736-7171,79,7
458,CALAMARAS REALTY CORPORATION,,Parking Lot,1274218,"11-55 49 AVENUE, LONG ISLND CITY, NY 11101",11-55,  49 AVENUE,LONG ISLND CITY,NY,11101,Queens,,(917) 417-9352,100,10
459,"CANAL PARKING MGMT, LLC",,Parking Lot,1343443,"335 CANAL STREET, NEW YORK, NY 10013",335,CANAL STREET,NEW YORK,NY,10013,Manhattan,,(212) 795-7275,89,8
460,CAPABLE CAR PARK LLC,,Parking Garage,1237770,"210 CENTRAL PARK SOUTH, NEW YORK, NY 10019",210,CENTRAL PARK SOUTH,NEW YORK,NY,10019,Manhattan,,(212) 221-6111,25,
461,CAPITAL CAR PARK LLC,,Parking Garage,1243101,"1420 YORK AVENUE, NEW YORK, NY 10021",1420,YORK AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 221-6111,28,
462,CAPITAL PARKING LLC,CAPITAL PARKING LLC,Parking Garage,469741,"166 EAST   63 STREET, NEW YORK, NY 10021",166,EAST   63 STREET,NEW YORK,NY,10021,Manhattan,AKA 164-174 EAST 63 STREET,(212) 686-9800,56,5
463,"CARABALLO, EDILBERTO",184TH STREET PARKING,Parking Lot,1017361,"453 EAST  184 STREET, BRONX, NY 10458",453,EAST  184 STREET,BRONX,NY,10458,Bronx,,(718) 563-3988,18,
464,CARLISLE PARKING LLC,,Parking Lot,1181110,"75 WEST STREET, NEW YORK, NY 10006",75,WEST STREET,NEW YORK,NY,10006,Manhattan,,(212) 686-9800,38,
465,CARMEL GARAGE INC,,Parking Garage,365792,"68-61 YELLOWSTONE BOULEVARD, FOREST HILLS, NY 11375",68-61,YELLOWSTONE BOULEVARD,FOREST HILLS,NY,11375,Queens,,(212) 751-1080,80,8
466,CARMEN KOTLOWICZ REALTY CORP,CARMEN KOTLOWICZ REALTY,Parking Lot,469417,"2041 BRONXDALE AVENUE, BRONX, NY 10462",2041,BRONXDALE AVENUE,BRONX,NY,10462,Bronx,CORNER CRUGER AVENUE,(212) 721-3532,75,7
467,CARNEGIE CAR PARK INC.,GGMC,Parking Garage,1076844,"40-60 EAST   94 STREET, NEW YORK, NY 10128",40-60,EAST   94 STREET,NEW YORK,NY,10128,Manhattan,,(212) 996-6363,110,11
468,CAROLE GARDENS REALTY LLC,,Parking Garage,1205833,"139-21 86TH AVENUE, JAMAICA, NY 11435",139-21,86TH AVENUE,JAMAICA,NY,11435,Queens,,(212) 535-8670,24,
469,CAROLE STORAGE CORP,,Parking Garage,368322,"777 3 AVENUE, NEW YORK, NY 10017",777,   3 AVENUE,NEW YORK,NY,10017,Manhattan,,(212) 753-6116,92,9
470,CAROUSEL PARKING CORP,,Parking Garage,920608,"201 WEST   75 STREET, NEW YORK, NY 10023",201,WEST   75 STREET,NEW YORK,NY,10023,Manhattan,,(212) 249-3344,278,20
471,CARTER AVE PARKING CORP.,,Parking Garage,1381712,"1841 CARTER AVE, BRONX, NY 10457",1841,CARTER AVE,BRONX,NY,10457,Bronx,,(347) 597-9366,14,
472,"CASTALDO, ANGELA M",ANGELA MARIE CASTALDO,Parking Lot,1203781,"3116 JEROME AVENUE, BRONX, NY 10468",3116,JEROME AVENUE,BRONX,NY,10468,Bronx,,(718) 933-2922,21,
473,"CASTALDO, CHARLES",,Parking Lot,691929,"2804 JEROME AVENUE, BRONX, NY 10468",2804,JEROME AVENUE,BRONX,NY,10468,Bronx,,(718) 733-8398,10,
474,"CASTALDO, JULIA",,Parking Lot,696143,"3114 JEROME AVENUE, BRONX, NY 10468",3114,JEROME AVENUE,BRONX,NY,10468,Bronx,,(718) 933-1482,10,
475,CASTLE PARKING CORP,,Parking Garage,992413,"2846 WEBSTER AVENUE, BRONX, NY 10458",2846,WEBSTER AVENUE,BRONX,NY,10458,Bronx,,(718) 933-4751,100,10
476,"CASTRO, TORIBIO E",MILO PARKING LOT,Parking Lot,1404213,"1417 WEBSTER AVENUE, BRONX, NY 10456",1417,WEBSTER AVENUE,BRONX,NY,10456,Bronx,,(718) 665-4246,51,5
477,CCO PARKING LLC,,Parking Lot,1380866,"49 TARGEE STREET, STATEN ISLAND, NY 10304",49,TARGEE STREET,STATEN ISLAND,NY,10304,Staten Island,,(646) 261-5959,23,
478,CENTRAL GARAGE CORP.,,Parking Lot,980378,"860 5 AVENUE, NEW YORK, NY 10021",860,   5 AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 736-7171,96,9
479,CENTRAL HARLEM GARAGE CORP.,,Parking Garage,1093314,"130 MALCOLM X BOULEVARD, NEW YORK, NY 10026",130,MALCOLM X BOULEVARD,NEW YORK,NY,10026,Manhattan,AKA (130 LENOX AVENUE),(212) 736-7171,273,20
480,"CENTRAL PARKING OF NEW YORK, INC",,Parking Garage,1399983,"345 SOUTH END AVE, NEW YORK, NY 10280",345,SOUTH END AVE,NEW YORK,NY,10280,Manhattan,,(212) 502-5490,415,22
481,CENTRAL PARKING SYSTEM OF N Y INC,,Parking Garage,1417677,"405 E 63RD ST, NEW YORK, NY 10065",405,E 63RD ST,NEW YORK,NY,10065,Manhattan,,(212) 502-5490,39,
482,CENTRAL PARKING SYSTEM OF N Y INC,,Parking Garage,1417679,"216-226 E 67TH ST, NEW YORK, NY 10065",216-226,E 67TH ST,NEW YORK,NY,10065,Manhattan,,(212) 502-5490,27,
483,CENTRAL PARKING SYSTEM OF N.Y. INC,,Parking Garage,1411077,"2-26 50TH AVENUE, LIC, NY 11101",2-26,50TH AVENUE,LIC,NY,11101,Queens,,(212) 502-5490,211,20
484,"CENTRAL PARKING SYSTEM OF NEW YORK ,INC",,Parking Lot,964023,"1 WEST END AVENUE, NEW YORK, NY 10023",1,WEST END AVENUE,NEW YORK,NY,10023,Manhattan,,(212) 629-6602,133,13
485,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Garage - Parking Lot Combo,1341459,"000 PIER 40, NEW YORK, NY 10001",000,PIER 40,NEW YORK,NY,10001,Manhattan,353 WEST STREET,(212) 502-5490,3500,53
486,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,896827,"75 PARK PLACE, NEW YORK, NY 10007",75,PARK PLACE,NEW YORK,NY,10007,Manhattan,,(212) 564-9199,100,10
487,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,903997,"109 EAST   58 STREET, NEW YORK, NY 10022",109,EAST   58 STREET,NEW YORK,NY,10022,Manhattan,,(212) 629-6602,150,15
488,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,908174,"1250 BROADWAY, NEW YORK, NY 10001",1250,BROADWAY,NEW YORK,NY,10001,Manhattan,,(212) 629-6602,150,15
489,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,961850,"45 EAST END AVENUE, NEW YORK, NY 10028",45,EAST END AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 629-6602,77,7
490,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,961988,"1 PENN PLAZA, NEW YORK, NY 10001",1,PENN PLAZA,NEW YORK,NY,10001,Manhattan,,(212) 629-6602,665,24
491,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,962029,"169-200 CADMAN PLAZA WEST, BROOKLYN, NY 11221",169-200,CADMAN PLAZA WEST,BROOKLYN,NY,11221,Brooklyn,,(212) 629-6602,546,23
492,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,962865,"25-43 WEST   48 STREET, NEW YORK, NY 10020",25-43,WEST   48 STREET,NEW YORK,NY,10020,Manhattan,,(212) 629-6602,652,24
493,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,963093,"798-804 UNION STREET, BROOKLYN, NY 11215",798-804,UNION STREET,BROOKLYN,NY,11215,Brooklyn,,(212) 629-6602,165,16
494,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,965328,"210-10 23 AVENUE, QUEENS, NY 11360",210-10,  23 AVENUE,QUEENS,NY,11360,Queens,,(212) 629-6602,900,27
495,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,965355,"132-146 WEST   51 STREET, NEW YORK, NY 10019",132-146,WEST   51 STREET,NEW YORK,NY,10019,Manhattan,,(212) 629-6602,209,20
496,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,971313,"135 EAST   47 STREET, NEW YORK, NY 10017",135,EAST   47 STREET,NEW YORK,NY,10017,Manhattan,,(212) 629-6602,149,14
497,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,999985,"115-143 FORT WASHINGTON AVENUE, NEW YORK, NY 10032",115-143,FORT WASHINGTON AVENUE,NEW YORK,NY,10032,Manhattan,,(212) 305-2718,1365,31
498,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1070451,"350 EAST   30 STREET, NEW YORK, NY 10016",350,EAST   30 STREET,NEW YORK,NY,10016,Manhattan,,(212) 779-8311,68,6
499,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1113135,"910-924 9 AVENUE, NEW YORK, NY 10019",910-924,   9 AVENUE,NEW YORK,NY,10019,Manhattan,22-44 WEST 60TH ST.,(212) 629-6602,318,21
500,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1125503,"200-206 EAST   80 STREET, NEW YORK, NY 10021",200-206,EAST   80 STREET,NEW YORK,NY,10021,Manhattan,,(212) 629-6602,67,6
501,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1127531,"330 EAST   61 STREET, NEW YORK, NY 10021",330,EAST   61 STREET,NEW YORK,NY,10021,Manhattan,,(212) 629-6602,75,7
502,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1135959,"525-35 EAST   71 STREET, NEW YORK, NY 10021",525-35,EAST   71 STREET,NEW YORK,NY,10021,Manhattan,,(212) 629-6602,248,20
503,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1151772,"1601 SEDDON STREET, BRONX, NY 10461",1601,SEDDON STREET,BRONX,NY,10461,Bronx,,(718) 931-6541,150,15
504,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1177260,"688 MAIN STREET, ROOSEVELT ISL, NY 10044",688,MAIN STREET,ROOSEVELT ISL,NY,10044,Manhattan,,(212) 502-5490,710,25
505,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1185987,"100 MORTON STREET, NEW YORK, NY 10014",100,MORTON STREET,NEW YORK,NY,10014,Manhattan,,(212) 502-5490,140,14
506,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1189587,"371-379 PARK AVENUE, NEW YORK, NY 10022",371-379,PARK AVENUE,NEW YORK,NY,10022,Manhattan,,(212) 502-5490,150,15
507,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1212000,"1-31 HOYT STREET, BROOKLYN, NY 11201",1-31,HOYT STREET,BROOKLYN,NY,11201,Brooklyn,,(718) 855-5544,1480,32
508,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1232553,"10-14 WEST   48 STREET, NEW YORK, NY 10036",10-14,WEST   48 STREET,NEW YORK,NY,10036,Manhattan,,(212) 502-5490,200,20
509,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1241268,"1000 5 AVENUE, NEW YORK, NY 10028",1000,   5 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 502-5490,460,22
510,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1302958,"554-58 WEST  174 STREET, NEW YORK, NY 10033",554-58,WEST  174 STREET,NEW YORK,NY,10033,Manhattan,,(212) 502-5490,75,7
511,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1302959,"284-286 AUDUBON AVENUE, NEW YORK, NY 10033",284-286,AUDUBON AVENUE,NEW YORK,NY,10033,Manhattan,,(212) 502-5490,138,13
512,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1302964,"156-08 RIVERSIDE DRIVE, NEW YORK, NY 10032",156-08,RIVERSIDE DRIVE,NEW YORK,NY,10032,Manhattan,,(212) 502-5490,67,6
513,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1303088,"215 SOUTH END AVENUE, NEW YORK, NY 10280",215,SOUTH END AVENUE,NEW YORK,NY,10280,Manhattan,,(212) 502-5490,46,
514,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1310483,"2 PLATT STREET, NEW YORK, NY 10038",2,PLATT STREET,NEW YORK,NY,10038,Manhattan,AKA217-221 PEARL STREET,(212) 502-5490,17,
515,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1338540,"587-89 AVENUE OF THE AMERICAS, NEW YORK, NY 10011",587-89,AVENUE OF THE AMERICAS,NEW YORK,NY,10011,Manhattan,,(212) 502-5490,42,
516,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1357464,"910 5 AVENUE, NEW YORK, NY 10021",910,   5 AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 502-5490,56,5
517,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1372243,"839 6TH AVE, NEW YORK, NY 10001",839,6TH AVE,NEW YORK,NY,10001,Manhattan,,(212) 502-5490,529,23
518,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1400316,"224 BATTERY PARK CITY, NEW YORK, NY 10280",224,BATTERY PARK CITY,NEW YORK,NY,10280,Manhattan,AKA 365 SOUTH END AVE,(212) 502-5490,42,
519,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1402813,"225 BATTERY PARK, NEW YORK, NY 10280",225,BATTERY PARK,NEW YORK,NY,10280,Manhattan,A/K/A 385 SOUTH END AVENUE,(212) 502-5490,62,6
520,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1415618,"132-35 SANFORD AVENUE, FLUSHING, NY 11355",132-35,SANFORD AVENUE,FLUSHING,NY,11355,Queens,,(212) 502-5490,84,8
521,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1431478,"70 WEST   95 ST, NEW YORK, NY 10025",70,WEST   95 ST,NEW YORK,NY,10025,Manhattan,,(212) 502-5490,142,14
522,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Garage,1456718,"535-539 E 75TH ST, NEW YORK, NY 10021",535-539,E 75TH ST,NEW YORK,NY,10021,Manhattan,,(212) 502-5490,23,
523,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,962013,"1241-1251 BROADWAY, NEW YORK, NY 10001",1241-1251,BROADWAY,NEW YORK,NY,10001,Manhattan,,(212) 629-6602,80,8
524,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1026203,"245 EAST   93 STREET, NEW YORK, NY 10128",245,EAST   93 STREET,NEW YORK,NY,10128,Manhattan,,(212) 629-6602,112,11
525,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1060378,"2040 EAST TREMONT AVENUE, BRONX, NY 10462",2040,EAST TREMONT AVENUE,BRONX,NY,10462,Bronx,,(718) 828-6660,703,25
526,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1060379,"1500 UNIONPORT ROAD, BRONX, NY 10462",1500,UNIONPORT ROAD,BRONX,NY,10462,Bronx,,(718) 828-6820,515,23
527,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1085596,"415 WEST   35 STREET, NEW YORK, NY 10001",415,WEST   35 STREET,NEW YORK,NY,10001,Manhattan,,(646) 674-1888,52,5
528,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1177347,"1811 EASTCHESTER ROAD, BRONX, NY 10461",1811,EASTCHESTER ROAD,BRONX,NY,10461,Bronx,,(212) 502-5490,225,20
529,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1202411,"10-12 PECK SLIP, NEW YORK, NY 10038",10-12,PECK SLIP,NEW YORK,NY,10038,Manhattan,,(212) 502-5490,105,10
530,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1346157,"92-30 59 AVE, ELMHURST, NY 11373",92-30,  59 AVE,ELMHURST,NY,11373,Queens,,(212) 502-5490,302,21
531,CENTRAL PARKING SYSTEM OF NEW YORK INC,,Parking Lot,1364133,"3960 BROADWAY, NEW YORK, NY 10032",3960,BROADWAY,NEW YORK,NY,10032,Manhattan,,(212) 502-5490,99,9
