Fee Type Name,Certificate Name,Fee Application Name,Fee Amount
Permits and Inspections,37. Marine liquid motor fuel-dispensing facilities,Fire extinguishing system test Periodic test (frequency of test as required by code or rule) (per system),$750.00
Permits and Inspections,38. Methane recovery facilities,Maintain or operate a methane recovery facility (per hour),$210.00
Permits and Inspections,38. Methane recovery facilities,"Installation of devices, equipment and systems (new or altered), (frequency of inspection as required by code or rule) (per hour)",$210.00
Permits and Inspections,38. Methane recovery facilities,Periodic inspection/test (frequency of inspection as required by code or rule) (per hour),$210.00
Permits and Inspections,39. Natural gas liquefaction facilities,Maintain or operate natural gas liquefaction facility (per hour),$210.00
Permits and Inspections,39. Natural gas liquefaction facilities,"Installation of devices, equipment and systems (new or altered), (frequency of inspection as required by code or rule) (per hour)",$210.00
Permits and Inspections,39. Natural gas liquefaction facilities,Periodic inspection/test (frequency of inspection as required by code or rule) (per hour),$210.00
Permits and Inspections,40. Open flames,Fire safety inspection for use of an open flame in: An assembly occupancy,Included in fee set forth in A03.1(2)
Permits and Inspections,40. Open flames,Fire safety inspection for use of an open flame in: Other public gathering places,Included in fee set forth in A03.1(56)
Permits and Inspections,40. Open flames,Fire safety inspection for use of an open flame in: A covered mall (per hour),$210.00
Permits and Inspections,41. Organic coatings,Manufacture organic coating,$210.00
Permits and Inspections,42. Organic peroxides,"Store, handle or use liquid",$210.00
Permits and Inspections,42. Organic peroxides,"Store, handle or use solid",$210.00
Permits and Inspections,43. Oxidizing materials,"Store, handle or use liquid (per hour)",$210.00
Permits and Inspections,43. Oxidizing materials,"Store, handle or use solid (per hour)",$210.00
Permits and Inspections,43. Oxidizing materials,"Store, handle or use hydrogen peroxide, (concentration of 35% or more) Up to and including 150 gallons in containers",$50.00
Permits and Inspections,43. Oxidizing materials,"Store, handle or use hydrogen peroxide, (concentration of 35% or more) More than 150 gallons in containers",$105.00
Permits and Inspections,43. Oxidizing materials,"Store, handle or use hydrogen peroxide, (concentration of 35% or more) In bulk, per 1,000 gallons or portion thereof",$50.00
Permits and Inspections,"44. Paints, varnishes and lacquers (with a flash point of 300°F or less)","Store, handle or use paint, varnish and lacquer Up to and including 1,000 gallons",$105.00
Permits and Inspections,"44. Paints, varnishes and lacquers (with a flash point of 300°F or less)","Store, handle or use paint, varnish and lacquer More than 1,000 gallons",$210.00
Permits and Inspections,"44. Paints, varnishes and lacquers (with a flash point of 300°F or less)","Manufacture, mix or compound",$210.00
Permits and Inspections,45. Plan examinations,Review of design and installation documents,$210.00
Permits and Inspections,45. Plan examinations,Review of fire safety and evacuation plan,$210.00
Permits and Inspections,45. Plan examinations,Review of emergency action plan Original application,$525.00
Permits and Inspections,45. Plan examinations,Review of emergency action plan Amended application (per hour)(total not to exceed $525.00),$210.00
Permits and Inspections,46. Portable fueled space heaters,"Store, handle or use",$210.00
Permits and Inspections,47. Pyrophoric materials,"Store, handle or use liquid",$105.00
Permits and Inspections,47. Pyrophoric materials,"Store, handle or use solid",$105.00
Permits and Inspections,48. Pyroxylin plastics,"Store, handle or use raw pyroxylin plastics",$105.00
Permits and Inspections,48. Pyroxylin plastics,Use of raw pyroxylin plastics in manufacture of products,$210.00
Permits and Inspections,49. Refrigerating systems,Maintain or operate a refrigerating system (per compressor),$105.00
Permits and Inspections,50. Repair garages,Maintain or operate a repair garage,$105.00
Permits and Inspections,51. Smoking rooms,Fire safety inspection in health care facilities (frequency of inspection as required by code or rule),$105.00
Permits and Inspections,52. Special effects,Special effects permit application,$210.00
Permits and Inspections,52. Special effects,Production company special effects permit application,$210.00
Permits and Inspections,52. Special effects,Site inspection (per hour),$210.00
Permits and Inspections,52. Special effects,Central storage facility permit application,$210.00
Permits and Inspections,52. Special effects,Monitoring of special effects operations (per hour),$210.00
Permits and Inspections,53. Special services,"Requests for an inspection, witnessing of test, or other services, at times other than regular business hours, or other special circumstances","Hourly fee based on cost of services, including travel time, overtime, expenses and overhead"
Permits and Inspections,54. Spraying and dipping operations,Conduct a spraying or dipping operation,$310.00
Permits and Inspections,"55. Standby of department personnel (as required by code, rule or permit)",Firefighting apparatus (per hour) (per apparatus),$525.00
Permits and Inspections,"55. Standby of department personnel (as required by code, rule or permit)",Other services,"Hourly fee based on cost of services, including travel time, overtime, expenses and overhead"
Permits and Inspections,56. Street fairs and other public gatherings or gathering places,Review of site plan (per hour),$210.00
Permits and Inspections,56. Street fairs and other public gatherings or gathering places,Fire safety inspection (per hour),$210.00
Permits and Inspections,57. Sulfur,"Store, handle or use up and including 1,500 pounds",$50.00
Permits and Inspections,57. Sulfur,"Store, handle or use more than 1,500 pounds",$105.00
Permits and Inspections,58. Tar kettles,"Store, handle or use a tar kettle",$105.00
Permits and Inspections,59. Tire-rebuilding plants,Maintain or operate a tire-rebuilding plant,$210.00
Permits and Inspections,"60. Tires, scrap tires and tire byproducts","Store tires, scrap tires and tire byproducts",$70.00
Permits and Inspections,61. Toxic materials,"Store, handle or use liquid",$105.00
Permits and Inspections,61. Toxic materials,"Store, handle or use solid",$105.00
Permits and Inspections,62. Transportation of hazardous materials,Combustible liquid by motor vehicle,$105.00
Permits and Inspections,62. Transportation of hazardous materials,Compressed gas by motor vehicle,$105.00
Permits and Inspections,62. Transportation of hazardous materials,Explosives by marine vessel (per hour),$210.00
Permits and Inspections,62. Transportation of hazardous materials,Explosives by motor vehicle (per hour),$210.00
Permits and Inspections,62. Transportation of hazardous materials,Firefighting apparatus escort (as required by code or rule) (per hour) (per apparatus),$525.00
Permits and Inspections,62. Transportation of hazardous materials,Flammable liquid by motor vehicle,$105.00
Permits and Inspections,63. Unstable (reactive) materials,"Store, handle or use liquid",$105.00
Permits and Inspections,63. Unstable (reactive) materials,"Store, handle or use solid",$105.00
Permits and Inspections,64. Water-reactive materials,"Store, handle or use liquid",$105.00
Permits and Inspections,64. Water-reactive materials,"Store, handle or use solid",$105.00
Permits and Inspections,64. Water-reactive materials,Store calcium carbide,$105.00
Permits and Inspections,64. Water-reactive materials,Up to and including 600 pounds,$210.00
Permits and Inspections,64. Water-reactive materials,More than 600 pounds,
Administrative Services,1. Transcripts and special reports (per transcript or special report) (per premises),,$10.00
Administrative Services,2. Replacement of lost permit or certificate,,$5.00
Administrative Services,3. Application for modification of certificate (except certificate of approval),,$5.00
Administrative Services,4. Violation dismissal notice (per violation),,$5.00
Administrative Services,5. Application for modification,,$200.00
Administrative Services,6. Removal and storage of contraband material (per cylinder or device reclaimed),,$65.00
Administrative Services,7. Payment returned for insufficient funds (per item),,$20.00
Late Renewals,1. Certificates and permits,,As set forth in Section 117.3
