Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
DDC,Active construction projects - Early/on-time (%),,,73%,72%,71%,72%,84%,87%,91%,88%
DDC,Active design projects - Difference between projected and scheduled duration (%),,,2.10%,3.30%,4.70%,1.80%,1.20%,0.10%,1.10%,1.20%
DDC,Active design projects - Early/on-time (%),,,83%,75%,71%,85%,89%,91%,87%,86%
DDC,Average cost change for all completed construction projects (excluding programmatic scope changes) (%),-0.40%,4.20%,0.90%,2.20%,1.40%,3.90%,2.20%,1.70%,1.00%,1.00%
DDC,Average cost change for all consultant design and construction supervision projects (excluding programmatic scope changes) (%),0.50%,2.10%,5.10%,1.20%,5.40%,3.40%,2.10%,1.20%,1.20%,1.10%
DDC,Commitment plan: annual actual vs. target,125%,116%,134%,107%,116%,101%,77%,108%,,113%
DDC,Construction projects completed - Total,210,195,170,156,166,122,93,99,91,111
DDC,Construction projects completed early/on-time: Infrastructure (%),74%,58%,81%,81%,84%,81%,83%,82%,83%,87%
DDC,Construction projects completed early/on-time: Public buildings (%),82%,93%,83%,88%,79%,74%,88%,88%,88%,81%
DDC,Construction projects completed: Cultural institutions,41,54,52,33,50,28,23,33,32,47
DDC,Construction projects completed: Health & human services,27,24,23,10,20,21,10,16,10,9
DDC,Construction projects completed: Infrastructure,84,69,67,75,62,48,41,40,35,48
DDC,Construction projects completed: Public safety,24,37,25,38,34,25,19,10,14,7
DDC,Design Quality Indicator (DQI): Average project rating,,,,,,,84%,93%,89%,94%
DDC,Design Quality Indicator (DQI): Number of projects surveyed,,,,,,,14,18,20,5
DDC,Design projects completed (Total),210,173,153,121,120,131,130,126,127,141
DDC,Design projects completed early/on-time: Infrastructure (%),94%,84%,92%,84%,93%,88%,90%,95%,99%,91%
DDC,Design projects completed early/on-time: Public buildings (%),97%,98%,94%,89%,84%,86%,85%,88%,91%,89%
DDC,Design projects completed: Cultural institutions and libraries,50,34,26,32,19,42,47,27,38,55
DDC,Design projects completed: Health & human services,36,22,19,14,15,15,16,13,10,10
DDC,Design projects completed: Infrastructure,93,82,86,64,56,57,52,77,74,63
DDC,Design projects completed: Public safety,31,37,22,11,30,17,14,9,3,13
DDC,Eligible projects with completed surveys (%),,,,,,,,,,
DDC,Lane mile reconstruction completed on schedule (%),80%,93%,76%,81%,77%,78%,71%,78%,75%,93%
DDC,Lane miles reconstructed,49,30.7,42.5,60.2,75.8,45.7,66.2,42.7,32.3,28
DDC,PLACEHOLDER - Projects completed within budget (%),,,,,,,,,,
DDC,Post-construction satisfaction surveys: Number of projects surveyed,,,,105,100,84,62,67,58,56
DDC,Post-construction satisfaction surveys: Number of surveys returned,,,,98,87,57,40,42,51,52
DDC,Post-construction satisfaction surveys: Number of surveys sent,,,,318,324,233,177,200,191,205
DDC,Post-construction satisfaction surveys: Rate of overall satisfaction,,,,75%,74%,90%,83%,86%,86%,94%
DDC,Projects audited (%),100%,97%,98%,98%,100%,100%,100%,100%,100%,100%
DDC,Sewer construction completed on schedule (%),20%,84%,81%,85%,85%,97%,78%,90%,91%,92%
DDC,Sewer reconstruction completed on schedule (%),73%,88%,68%,88%,62%,81%,85%,86%,81%,91%
DDC,Sewers constructed (miles),18.8,19.7,17.7,15.1,10.7,10.6,8.8,10.1,6.1,8.5
DDC,Sewers reconstructed (miles),15.3,12.6,17,13.5,13.2,11.9,7.5,4.7,4.6,5.8
DDC,Total construction projects completed early/on-time (%),,,,,,,,,,
DDC,Total design projects completed early/on-time (%),,,,,,,,,,
DDC,Total projects in portfolio,,,,,,,,,,
DDC,Total value of construction projects in portfolio ($000),,,,,,,,,,
DDC,Water main work completed on schedule (%),62%,82%,82%,84%,77%,81%,88%,83%,89%,89%
DDC,Water mains (new and replaced) (miles),61.4,36.2,57.8,47.9,39.5,31.1,21.7,19.1,20.6,31.5
DEP,Accounts receivable balance ($ millions),,"$1,168 ","$1,088 ","$1,027 ","$1,107 ","$1,046 ","$1,131 ","$1,242 ","$1,385 ","$1,487 "
DEP,Accounts receivable balance - Accounts delinquent more than 180 days ($ millions),,,,$412 ,$401 ,$323 ,$287 ,$313 ,$398 ,$439 
DEP,Accounts receivable balance - Accounts delinquent more than one year ($ millions),,,,$319 ,$304 ,$233 ,$204 ,$220 ,$279 ,$308 
DEP,Air complaints received,"7,370","11,515","13,600","15,094","14,138","12,625","11,692","9,699","8,623","7,931"
DEP,Air complaints responded to within seven days (%),96%,89%,74%,78%,86%,82%,79%,76%,73%,82%
DEP,Asbestos complaints received,645,951,"1,437","1,836","2,182","2,350","1,391","1,180","1,320","1,461"
DEP,Asbestos complaints responded to within three hours (%),92%,94%,98%,97%,95%,99%,99%,100%,100%,100%
DEP,Average backlog of broken and inoperative hydrants,417,483,494,609,504,421,492,572,600,390
DEP,Average daily in-City water consumption (millions of gallons),"1,102","1,095","1,093","1,086","1,097","1,115","1,039","1,017","1,035","1,008"
DEP,Average days to close air quality complaints,2.8,4.6,14.3,11.8,10.1,13.8,13.1,10.8,7.7,7
DEP,Average days to close asbestos complaints,0.4,0.2,0.2,0.3,0.36,0.29,0.23,0.27,0.24,0.2
DEP,Average days to close noise complaints,4.9,6.8,18.7,14.9,15,18.7,17.7,15.3,9.9,9.1
DEP,Average time to repair or replace high-priority broken or inoperative hydrants (days),,,,,,14.8,15.2,7.5,5.9,4.4
DEP,Average time to respond to street cave-in complaints and make safe (days),,,,5.8,6.7,8.7,10.4,8.3,2.4,3.2
DEP,Average time to restore water to customers after confirming breaks (hours),,,,,,12.1,9.1,5.5,5.4,4.8
DEP,Broken and inoperative hydrants (%),0.40%,0.45%,0.46%,0.56%,0.50%,0.39%,0.45%,0.52%,0.55%,0.36%
DEP,Catch basin backup resolution time (days),3.9,4.4,6.5,6.2,6.4,6.5,7,8.4,5.1,5.1
DEP,Catch basin complaints received,"10,008","13,628","14,813","15,341","14,919","18,305","12,943","11,330","10,539","12,357"
DEP,Catch basins surveyed/inspected (%),,,36.30%,31.50%,30.70%,36.50%,40.50%,35.10%,29.30%,33.10%
DEP,Completed applications for work to comply with Watershed Rules and Regulations,784,963,830,995,822,866,678,646,627,613
DEP,DEP-issued violations - Air violations,"2,720","2,691","1,766","2,952","3,769","4,657","4,346","4,983","5,855","5,587"
DEP,DEP-issued violations - Asbestos violations,476,750,"1,037",988,816,500,507,"2,037","3,734","2,809"
DEP,DEP-issued violations - Noise violations,"1,439","1,449","1,566","2,003","2,237","3,420","2,559","2,446","2,582","2,233"
DEP,DEP-issued violations - Total,"4,635","4,890","4,369","5,943","6,822","8,577","7,412","9,466","12,171","10,629"
DEP,Emergencies responded to within one hour (%),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
DEP,Estimated bills (%),19.20%,17.90%,18.90%,19.00%,17.60%,16.30%,16.80%,17.00%,12.20%,6.80%
DEP,In-City samples meeting water quality standards for coliform bacteria (%),100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
DEP,Leak complaints received,"5,447","5,286","4,800","4,247","5,003","4,275","4,583","3,908","4,198","3,751"
DEP,Leak resolution time (days),10.1,11.6,12.7,12.2,12.9,13.4,13.8,15.1,14.1,11.1
DEP,Noise complaints not requiring access to premises responded to within seven days (%),94%,87%,80%,82%,87%,85%,85%,86%,89%,88%
DEP,Noise complaints received,"14,546","27,987","38,293","41,944","42,000","49,221","39,371","31,778","31,400","35,363"
DEP,Notices of Violation and Notices of Warning issued in the watershed,280,210,191,146,137,165,205,275,396,"1,057"
DEP,Notices of Violation upheld at the Environmental Control Board (%),,,,,,,77.60%,77.10%,75.50%,72.90%
DEP,Number of drinking water analyses above maximum contaminant level,,,,,65,53,130,15,9,8
DEP,Patrol hours for Environmental Police and watershed protection staff (000),239.2,292.3,333.6,288.9,307.8,298.9,286,304.2,308.6,314.2
DEP,Percent of billed amount collected in 30 days,,,,,,54.80%,56.80%,56.40%,53.80%,54.60%
DEP,Percent of catch basin backups recurring locally within 2 years,,,,,,31.40%,29.60%,27.90%,25.60%,24.70%
DEP,Percent of harbor survey stations meeting the swimmable standard of 5mg/L for dissolved oxygen,86%,88%,85%,86%,90%,90%,89%,88%,87%,87%
DEP,Percent of reservoir capacity filled (end of month),99.80%,95.20%,91.10%,102.80%,92.40%,89.80%,99.10%,91.00%,98.40%,94.30%
DEP,Percent of samples testing positive for coliform bacteria,0.10%,0.30%,0.10%,0.60%,0.10%,0.20%,0.20%,0.30%,0.40%,0.40%
DEP,Percent of sewer backups recurring locally within 2 years,,,,,,48.30%,48.80%,47.20%,47.90%,44.70%
DEP,Repairs to distribution system,"18,647","18,732","19,659","20,442","21,146","20,166","18,765","17,777","17,067","18,744"
DEP,Sewer backup complaints received,"19,456","21,579","24,945","24,564","23,927","21,797","16,977","14,883","14,460","13,933"
DEP,Sewer backup resolution time (hours),4.2,4.7,5.8,5.9,6.3,6.7,5.6,5.8,5.5,5.6
DEP,Street cave-in complaints received,"2,444","11,441","15,254","13,111","12,079","19,272","9,545","6,302","4,656","3,467"
DEP,Street cave-in complaints resolved,,,"14,229","12,257","10,734","15,872","8,780","4,435","3,314","3,149"
DEP,Total revenue as percent of plan,105.60%,105.50%,101.80%,97.40%,96.30%,97.70%,95.00%,95.20%,102.90%,101.10%
DEP,Total revenue collected ($ millions),"$1,594.00 ","$1,701.00 ","$1,776.00 ","$1,875.00 ","$1,926.00 ","$2,173.40 ","$2,333.90 ","$2,552.40 ","$2,918.80 ","$3,139.80 "
DEP,WWTPs - Critical equipment out-of-service (% below minimum),,,,,,,,,4.20%,3.00%
DEP,Wastewater treatment plant effluent meeting federal standards (%),99.90%,100.00%,100.00%,99.90%,99.90%,99.90%,99.90%,100.00%,100.00%,99.90%
DEP,Water main breaks,593,607,515,450,581,429,513,421,481,370
DEP,Water main surveyed for leak detection (% linear feet),58.30%,63.30%,64.00%,59.90%,56.60%,56.60%,59.70%,59.20%,55.00%,43.20%
DFTA,Average daily attendance at senior centers,,,,,,"28,518","27,951","27,046","25,107","25,337"
DFTA,Caregivers who received casework services or training through DFTA's In-house Alzheimer's and Long-Term Care Unit and Grandparent Resource Center,"2,346","3,553","4,271","4,543","3,690","6,278","7,746","8,770","9,359",
DFTA,Caregivers who received supportive services through DFTA's contracted providers,,,"7,398","7,027","7,553","7,495","6,414","6,202","8,783",
DFTA,Citywide senior center utilization rate (%),,,,,,,,,88.00%,93.00%
DFTA,Home delivered meals served,"3,677,617","3,680,377","3,658,768","3,700,850","3,740,621","4,210,538","3,936,718","3,860,416","3,770,569","3,837,692"
DFTA,Hours of home care services provided,"1,550,533","1,577,583","1,573,656","1,577,424","1,590,952","1,746,742","1,534,705","1,622,966","1,033,407","823,831"
DFTA,Senior center meals served (lunches),"7,194,979","7,002,383","7,163,673","7,127,512","7,009,500","7,025,805","6,987,646","6,801,948","6,301,828","6,334,270"
DFTA,Senior trainees placed in unsubsidized employment,162,207,194,189,188,185,161,123,162,102
DFTA,Seniors trained for unsubsidized employment,303,287,216,302,268,305,308,542,706,322
DFTA,Total Annual recipients of home care services,,,,,,,"6,064","5,206","3,012","2,861"
DHS,Adult families entering the DHS shelter services system,,,"1,004","1,080","1,071","1,040","1,278","1,208","1,096","1,104"
DHS,Adult families placed into permanent housing who return to the DHS shelter services system within one year,4.70%,1.60%,1.10%,0.90%,2.90%,5.30%,2.80%,6.40%,7.80%,10.30%
DHS,Adult families receiving preventive services who did not enter the shelter system (%),,,,92.10%,97.70%,95.90%,98.60%,94.60%,95.50%,97.00%
DHS,Adults receiving preventive services who did not enter the shelter system (%),,,,,96.30%,96.00%,95.80%,94.60%,91.40%,91.40%
DHS,Average length of stay for adult families in shelters (days),,,,,516,505,370,325,349,416
DHS,Average length of stay for families with children in shelter (days),,,,,292,324,281,243,258,337
DHS,Average length of stay for single adults in shelter (days),104,104,329,321,308,283,261,245,250,266
DHS,Average number of adult families in shelters per day,"1,040","1,132","1,194","1,260","1,403","1,294","1,276","1,309","1,315","1,450"
DHS,Average number of families with children in shelters per day,"7,922","7,977","7,429","6,479","7,392","7,548","7,948","8,629","8,165","8,445"
DHS,Average number of single adults in shelter per day,"7,957","8,444","8,474","7,928","7,260","6,737","6,526","7,167","8,387","8,622"
DHS,Average school attendance rate for children in the DHS shelter services system (%),77.80%,79.20%,78.80%,78.90%,79.70%,79.70%,81.00%,82.00%,82.00%,82.70%
DHS,Cost per day for family shelter facilities,$83.85 ,$86.54 ,$88.67 ,$90.92 ,$94.97 ,$99.81 ,$105.22 ,$100.49 ,$100.12 ,$100.82 
DHS,Cost per day for single adult shelter facilities,$51.13 ,$54.42 ,$55.51 ,$62.21 ,$63.75 ,$72.38 ,$70.18 ,$69.25 ,$73.58 ,$77.58 
DHS,"Critical incidents in the adult family shelter system, per 1,000 residents",,,,1.9,1,1.6,1.6,7.4,8.2,4.5
DHS,"Critical incidents in the adult shelter system, per 1000 residents",,,1.2,1.6,1.5,0.5,0.4,0.8,0.2,1.1
DHS,"Critical incidents in the families with children shelter system, per 1,000 residents",,,2,1.8,1.3,0.6,1.2,0.3,1.7,6.5
DHS,East River Job Center cash assistance applicants and recipients placed into jobs as compared to monthly goal (%),,,,,,,,,125.00%,80.00%
DHS,"Exits from the adult family shelter system, as compared to monthly goal (%)",,,,,,,,,,70
DHS,"Exits from the families with children shelter system, as compared to monthly goal (%)",,,,,,,,,,99
DHS,Families placed in the shelter services system according to their youngest school-aged child's school address (%),10.00%,86.70%,95.10%,90.50%,82.60%,82.90%,81.30%,84.30%,83.30%,76.50%
DHS,Families suitably placed in the shelter services system within 10 days,96.70%,98.60%,97.00%,98.40%,99.20%,99.90%,100.00%,100.00%,100.00%,100.00%
DHS,Families with children entering the DHS shelter services system,"9,691","8,752","8,027","9,167","10,733","9,664","12,959","14,586","12,444","10,842"
DHS,Families with children placed into permanent housing who return to the DHS shelter services system within one year,2.60%,1.20%,0.80%,1.40%,3.10%,5.30%,4.50%,3.80%,3.90%,6.10%
DHS,Families with children receiving preventive services who did not enter the shelter system (%),,,,90.80%,90.70%,89.80%,91.30%,92.60%,90.70%,93.90%
DHS,Number of chronically homeless individuals placed into permanent and temporary housing by outreach teams,,,,,,,689,880,577,545
DHS,Response rate to 311 calls from constituents for homeless person assistance,,,,,,,,94.60%,100.00%,100.00%
DHS,"Safety, maintenance, and cleanliness deficiencies noted on independent inspections of adult shelters",225,467,44,115,79,93,54,39,29,5
DHS,Single adults entering the DHS shelter services system,"17,090","18,171","17,215","16,984","17,635",,,,,"17,872"
DHS,Single adults placed into permanent housing (prelim. for most recent month),"5,812","5,774","6,022","7,405","8,406","9,412","9,107","7,573","8,825","7,541"
DHS,Single adults placed into permanent housing who return to the DHS shelter services system within one year,14.60%,15.60%,9.90%,12.80%,14.10%,7.10%,5.50%,4.10%,4.00%,3.90%
DHS,"Unsheltered individuals who are estimated to be living on the streets, in parks, under highways, on subways, and in the public transportation stations in New York City (HOPE) *",,,"4,395","3,843","3,755","3,306","2,328","3,111","2,648","3,262"
DHS,"VENDEX evaluations for human services contracts completed on time, as compared to the goal (%)",,,,,,,,,93.60%,97.80%
DOB,Audits of professionally certified jobs resulting in revocation notices (%),,,14.90%,19.60%,21.50%,35.20%,26.00%,20.10%,14.80%,9.80%
DOB,Average construction inspections per inspector day,,,,,,,,,,12.9
DOB,Average days to complete first plan review,3.6,3.1,3.2,2.6,2.1,2.7,3.1,5.1,4.7,4.6
DOB,Average days to complete first plan review - Alteration I (major renovation),5.7,6.1,6.2,4.7,4.4,5.7,7.1,13.7,11.7,11.2
DOB,Average days to complete first plan review - Alterations II and III (minor renovation),2.8,2.3,2.2,2.2,1.4,2.2,2.5,4,3.9,3.9
DOB,Average days to complete first plan review - New buildings,6.7,5.5,6.7,5.1,4.8,6.9,7.1,16.2,14.9,12.6
DOB,Average time to respond to Priority A (emergency) complaints (days),,,,0.4,0.6,0.4,0.4,0.3,0.5,0.6
DOB,Average time to respond to Priority B (nonemergency) complaints (days),,,,16.6,14.6,13.6,10.5,19.8,28.5,41.1
DOB,Building permits issued (Initial),"71,638","77,019","81,194","85,742","84,983","86,845","78,742","74,280","83,151","87,190"
DOB,Building permits renewed,"18,923","23,882","28,864","31,205","33,887","34,726","38,156","36,938","37,876","39,321"
DOB,Construction inspections completed,"155,469","180,423","188,561","209,066","229,191","229,157","244,585","212,038","171,547","141,237"
DOB,Construction inspections completed - Complaints (%),28.70%,29.80%,36.30%,37.60%,35.80%,36.30%,31.70%,33.80%,31.80%,31.50%
DOB,Construction inspections completed - Construction monitoring (%),28.00%,26.20%,27.30%,24.50%,20.90%,17.60%,20.00%,16.90%,14.30%,11.40%
DOB,Construction inspections completed - Other (%),30.90%,31.60%,24.50%,26.40%,33.30%,37.00%,40.80%,42.00%,46.20%,49.50%
DOB,Construction inspections completed - Certificate of Occupancy (%),12.40%,12.40%,11.90%,11.50%,10.00%,9.10%,7.50%,7.40%,7.70%,7.60%
DOB,DOB violations issued,,,,,,,,,,
DOB,Environmental Control Board violations issued,,,,"51,034","52,309","66,352","81,287","74,163","62,070","53,293"
DOB,Jobs filed,"59,809","64,948","69,373","73,188","73,830","75,526","64,442","60,235","65,358","68,911"
DOB,Jobs filed - Alteration I (major renovation),"7,026","7,420","8,185","8,232","7,465","6,378","4,924","4,181","4,127","4,329"
DOB,Jobs filed - Alterations II and III (minor renovation),"46,350","50,411","53,586","57,066","59,436","64,605","56,479","54,627","59,505","62,795"
DOB,Jobs filed - New buildings,"6,433","7,117","7,602","7,890","6,929","4,543","3,039","1,427","1,726","1,787"
DOB,Jobs professionally certified (%),37.50%,39.60%,43.30%,46.80%,48.50%,47.50%,45.50%,45.10%,47.60%,50.30%
DOB,Jobs professionally certified that were audited (%),,,19.20%,17.50%,24.30%,26.30%,24.20%,24.40%,20.30%,24.80%
DOB,Number of Priority A (emergency) complaints received,"5,337","7,866","10,919","18,034","20,274","24,457","22,114","18,828","15,182","14,662"
DOB,Number of Priority A (emergency) complaints responded to,,,,"18,027","20,305","24,185","22,145","18,535","15,075","14,540"
DOB,Number of Priority B (nonemergency) complaints received,"32,489","47,958","60,953","78,102","83,944","92,509","89,134","76,485","67,228","64,402"
DOB,Number of Priority B (nonemergency) complaints responded to,,,,"75,647","84,629","92,786","89,217","74,708","63,219","59,236"
DOB,Number of construction-related accidents - Total,,,,,104,123,201,198,119,157
DOB,Number of construction-related fatalities *,,,,,15,25,5,4,4,7
DOB,Number of construction-related incidents,,,,,395,471,529,614,420,405
DOB,Number of construction-related injuries,,,,,114,149,223,206,128,187
DOB,Number of incidents of unsafe facade conditions and falling debris resulting in injuries,,,,33,41,45,77,82,72,93
DOB,Percent of Notices of Violation upheld by ECB,,,,78.40%,81.20%,83.40%,83.20%,81.40%,78.20%,77.10%
DOB,Percent of incident inspections resulting in violations,,,,,76.10%,80.10%,75.90%,77.70%,76.50%,77.10%
DOB,Percent of residential illegal conversion complaints where access was obtained,,,,,,,,49.40%,46.90%,46.40%
DOB,Percent of work without a permit complaints where access was obtained and violations were written,,,,,,,,,,
DOB,Percentage of inspections resulting in violations,,,,,,,,,15.50%,17.10%
DOC,Average Clinic Waiting Time (minutes),28,30,31,28,27,27,23,30,29,28
DOC,Average cost per inmate per year ($),"$58,860 ","$59,382 ","$59,920 ","$66,085 ","$67,310 ","$68,263 ","$73,974 ","$75,737 ","$80,354 ","$84,627 "
DOC,Average daily attendance in school programs,,822,803,795,767,865,833,814,782,713
DOC,Average daily number of inmates in vocational skills training programs,141,126,110,128,125,125,188,193,161,148
DOC,"Department use of force incidents with minor injury (rate per 1,000 ADP)",,,,,,,,,,8.15
DOC,"Department use of force incidents with no injury (rate per 1,000 ADP)",,,,,,,,,,7.2
DOC,"Department use of force incidents with serious injury (rate per 1,000 ADP)",,,,,,,,,,1
DOC,"Escapes (monthly rate per 1,000 ADP)",,,,,,,0.01,0.01,0,0
DOC,Fight/assault infractions,"6,283","6,616","6,548","6,833","6,576","6,109","6,696","7,475","7,431","7,552"
DOC,"Inmate assault on staff (monthly rate per 1,000 ADP)",,,,,,,2.9,3.2,3.5,4
DOC,Inmate health clinic visits,"117,404","113,907","113,788","103,252","99,057","88,110","92,558","86,130","79,385","83,914"
DOC,Inmates delivered to court,"332,510","319,885","309,608","316,023","326,735","317,612","307,149","285,366","269,526","261,158"
DOC,Inmates participating in skills-building activities/discharge planning (%),,,,,,,,,10.00%,10.00%
DOC,Inmates with a mental health diagnosis (% ADP),,,,,,,27.00%,29.00%,32.00%,34.00%
DOC,Jail-based arrests of inmates,671,628,684,654,738,751,567,526,642,650
DOC,Jail-cells unavailable (short-term repair)(%),0.50%,0.70%,0.80%,0.80%,0.80%,0.90%,0.80%,0.90%,1.20%,1.80%
DOC,"Non-natural inmate deaths in custody (monthly rate per 1,000 ADP)",,,,,,,0,0.01,0.01,0.01
DOC,On-trial inmates delivered to court on time (%),99.90%,99.50%,99.50%,99.80%,99.80%,99.40%,99.60%,99.70%,97.50%,96.90%
DOC,Population as % of capacity,97%,96%,96%,96%,95%,95%,93%,93%,94%,92%
DOC,Searches,"409,926","146,872","149,224","153,982","192,398","208,440","214,605","203,403","215,038","225,501"
DOC,"Serious injury to inmate(s) as a result of violent inmate-on-inmate incidents (monthly rate per 1,000 ADP)",,,,,,,,,1.2,1.3
DOC,"Serious injury to staff as a result of inmate assault on staff (monthly rate per 1,000 ADP)",,,,,,,,,0.3,0.3
DOC,VINE confirmed notifications,"2,542","2,167","2,236","2,694","3,464","4,982","7,007","24,553","32,604","16,925"
DOC,Victim Identification Notification Everyday (VINE) Registrations,"3,073","2,909","2,984","3,623","4,661","5,475","8,020","32,308","20,558","16,111"
DOC,"Violent inmate-on-inmate incidents (monthly rate per 1,000 ADP)",,,,,,,21.7,24.3,24.2,25.4
DOC,Weapons recovered,"2,152","2,267","1,977","1,748","2,472","1,439","1,295","1,213","1,901","2,324"
DOE,Average breakfasts served daily,"145,286","167,076","182,475","182,935","189,804","198,990","205,317","220,923","224,623","224,641"
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 1,21.8,21.6,21.7,21.2,21.3,21.1,21.3,22,22.9,23.9
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 2,21.9,21.6,21.2,21.1,21.1,21.1,21.4,22.2,23.2,24.2
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 3,22.4,22.2,21.5,21.4,21.3,21,21.9,22.5,23.7,24.5
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 4,25.5,24.6,24.3,24,23.9,23.5,23.4,24.4,25,25.3
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 5,27,26.4,26.2,25.5,25,24.1,24.2,24.8,25.4,25.8
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 6,27.6,27.1,26.7,26.4,26,25.5,25.6,26.1,26.2,27
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 7,28.2,28.3,28,27.3,27.2,26.2,26.5,26.8,27.1,27.2
DOE,Average class size (end of October) (Preliminary Unaudited) - Grade 8,27.9,28.1,28,27.3,27.2,26.6,26.8,27.5,27.3,27.4
DOE,Average class size (end of October) (Preliminary Unaudited) - Kindergarten,20.8,20.9,20.8,20.9,20.7,20.6,20.7,21.7,22.1,22.8
DOE,Average daily attendance (%),89.40%,89.00%,88.60%,88.40%,89.00%,89.80%,90.00%,90.70%,90.50%,91.60%
DOE,Average direct services to schools expenditure per student ($),"$10,593 ","$11,172 ","$11,950 ","$13,119 ","$14,286 ","$15,498 ","$16,510 ","$16,541 ",,
DOE,Average expenditure per student ($),"$11,640 ","$12,459 ","$13,558 ","$15,144 ","$16,195 ","$17,696 ","$17,929 ","$18,419 ",,
DOE,Average expenditure per student ($) - Full-time special education (District 75),"$47,989 ","$50,390 ","$50,706 ","$57,615 ","$61,009 ","$65,681 ","$69,376 ","$72,718 ",,
DOE,Average expenditure per student ($) -Elementary school,"$11,748 ","$12,597 ","$13,718 ","$15,406 ","$16,548 ","$18,141 ","$18,265 ","$18,617 ",,
DOE,Average expenditure per student ($) -High school,"$9,988 ","$10,733 ","$11,844 ","$13,085 ","$13,890 ","$15,371 ","$15,648 ","$16,152 ",,
DOE,Average expenditure per student ($) -Middle school,"$10,930 ","$11,621 ","$13,081 ","$14,700 ","$15,949 ","$17,496 ","$17,582 ","$17,972 ",,
DOE,Average lunches served daily,"643,794","639,834","634,706","628,362","627,915","624,266","623,039","642,264","648,141","661,102"
DOE,Average new school construction cost per square foot - Early childhood ($),,,,,,$543 ,,$628 ,,
DOE,Average new school construction cost per square foot - Elementary ($),$440 ,$468 ,$332 ,,$401 ,$410 ,$551 ,$561 ,$581 ,$525 
DOE,Average new school construction cost per square foot - High school ($),$479 ,,$338 ,$345 ,,$452 ,$479 ,$586 ,,$513 
DOE,Average new school construction cost per square foot - Intermediate ($),$469 ,$484 ,,,$427 ,,$571 ,$515 ,,
DOE,Capital improvement projects constructed on time or early (%),60%,87%,84%,80%,64%,79%,77%,83%,69%,72%
DOE,Capital improvement projects constructed within budget (%),83%,91%,85%,87%,93%,90%,86%,88%,73%,77%
DOE,Construction bid price for school capacity projects per square foot ($),$314 ,$302 ,$365 ,$378 ,$440 ,$468 ,$427 ,$443 ,$475 ,$514 
DOE,Elementary/Middle School attendance (%),91.10%,91.90%,91.70%,91.50%,91.10%,92.60%,92.40%,93.30%,93.10%,93.80%
DOE,English Language Learners testing out of ELL Programs (%),3.70%,7.50%,14.40%,16.70%,12.00%,13.40%,15.10%,15.40%,16.40%,16.50%
DOE,English Language Learners testing out of ELL programs within 3 years (%),61.60%,72.50%,55.90%,50.40%,50.80%,52.50%,50.60%,54.10%,51.50%,54.60%
DOE,Hazardous building violations total backlog,"1,752","1,050",595,354,238,260,163,204,108,103
DOE,High School attendance (%),83.20%,82.10%,81.40%,81.20%,82.10%,83.40%,84.30%,86.90%,86.50%,86.70%
DOE,New schools and additions - construction funds committed as a percent of initial authorized budget (%),,97.80%,98.80%,99.80%,95.00%,94.00%,95.70%,94.60%,92.90%,92.90%
DOE,New schools and additions constructed,23,14,16,8,12,18,23,26,10,14
DOE,Parent coordinator workshops held for parents (000),,,23,24,21,38,35,26,34,11
DOE,Parent walk-ins receiving parent coordinator assistance (000),,,632,757,775,778,794,857,735,375
DOE,Parents attending parent coordinator workshops (000),,,455,473,426,706,670,595,459,267
DOE,Parents attending parent-teacher conferences (000),,,974,924,826,"1,152","1,167",792,639,466
DOE,Percent of all students in cohort dropping out from high school in 4 years (NYSED),,,22.00%,18.50%,15.80%,13.50%,11.80%,12.10%,12.30%,
DOE,Percent of all students in cohort dropping out from high school in 6 years (NYSED),,,31.70%,27.00%,23.70%,20.20%,19.30%,,,
DOE,Percent of all students in cohort graduating from high school in 4 years (NYSED),,,46.50%,49.10%,52.80%,56.40%,59.00%,61.00%,60.90%,
DOE,Percent of all students in cohort graduating from high school in 6 years (NYSED),,,58.50%,61.80%,65.60%,69.20%,70.90%,,,
DOE,Percent of schools receiving a B on school Progress Report,,,,,39.00%,41.00%,17.00%,33.50%,34.20%,
DOE,Percent of schools receiving a C on school Progress Report,,,,,26.00%,15.00%,5.70%,32.00%,28.60%,
DOE,Percent of schools receiving a D on school Progress Report,,,,,8.00%,4.00%,1.90%,4.70%,7.10%,
DOE,Percent of schools receiving an A on school Progress Report,,,,,23.00%,38.00%,75.10%,28.80%,27.20%,
DOE,Percent of schools receiving an F on school Progress Report,,,,,4.00%,2.00%,0.20%,1.00%,2.90%,
DOE,Percent of schools with scores of Proficient on School Quality Reviews,,,,,,,44.80%,50.90%,45.30%,47.00%
DOE,Percent of schools with scores of Underdeveloped on School Quality Reviews,,,,,,,2.20%,2.00%,5.00%,2.00%
DOE,Percent of schools with scores of Underdeveloped with Proficient Features on School Quality Reviews,,,,,,,4.80%,3.30%,35.40%,41.00%
