BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / GRADE / PROGRAM / SUBJECT
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,20,86,1720,2%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,21,120,2520,3%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,22,126,2772,3%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,23,135,3105,3%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,24,120,2880,3%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,25,154,3850,4%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,26,143,3718,4%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,27,176,4752,5%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,28,171,4788,5%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,29,173,5017,5%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,30,187,5610,6%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,31,208,6448,7%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,32,271,8672,9%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,33,355,11715,12%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,34,477,16218,17%
K,09-12,GEN ED / CTT,SOCIAL STUDIES,-,>34,99,3684,4%
K,09-12,SPEC ED,ENGLISH,-,<6,4,20,1%
K,09-12,SPEC ED,ENGLISH,-,6,12,72,3%
K,09-12,SPEC ED,ENGLISH,-,7,14,98,4%
K,09-12,SPEC ED,ENGLISH,-,8,9,72,3%
K,09-12,SPEC ED,ENGLISH,-,9,17,153,6%
K,09-12,SPEC ED,ENGLISH,-,10,30,300,11%
K,09-12,SPEC ED,ENGLISH,-,11,38,418,15%
K,09-12,SPEC ED,ENGLISH,-,12,27,324,12%
K,09-12,SPEC ED,ENGLISH,-,13,25,325,12%
K,09-12,SPEC ED,ENGLISH,-,14,16,224,8%
K,09-12,SPEC ED,ENGLISH,-,15,27,405,15%
K,09-12,SPEC ED,ENGLISH,-,>15,18,310,11%
K,09-12,SPEC ED,MATH,-,<6,4,20,1%
K,09-12,SPEC ED,MATH,-,6,2,12,1%
K,09-12,SPEC ED,MATH,-,7,6,42,3%
K,09-12,SPEC ED,MATH,-,8,5,40,2%
K,09-12,SPEC ED,MATH,-,9,10,90,5%
K,09-12,SPEC ED,MATH,-,10,11,110,7%
K,09-12,SPEC ED,MATH,-,11,18,198,12%
K,09-12,SPEC ED,MATH,-,12,17,204,12%
K,09-12,SPEC ED,MATH,-,13,19,247,15%
K,09-12,SPEC ED,MATH,-,14,16,224,14%
K,09-12,SPEC ED,MATH,-,15,10,150,9%
K,09-12,SPEC ED,MATH,-,>15,19,320,19%
K,09-12,SPEC ED,SCIENCE,-,<6,4,20,1%
K,09-12,SPEC ED,SCIENCE,-,6,6,36,2%
K,09-12,SPEC ED,SCIENCE,-,7,8,56,2%
K,09-12,SPEC ED,SCIENCE,-,8,4,32,1%
K,09-12,SPEC ED,SCIENCE,-,9,14,126,6%
K,09-12,SPEC ED,SCIENCE,-,10,21,210,9%
K,09-12,SPEC ED,SCIENCE,-,11,22,242,11%
K,09-12,SPEC ED,SCIENCE,-,12,22,264,12%
K,09-12,SPEC ED,SCIENCE,-,13,21,273,12%
K,09-12,SPEC ED,SCIENCE,-,14,26,364,16%
K,09-12,SPEC ED,SCIENCE,-,15,14,210,9%
K,09-12,SPEC ED,SCIENCE,-,>15,26,438,19%
K,09-12,SPEC ED,SOCIAL STUDIES,-,<6,4,20,1%
K,09-12,SPEC ED,SOCIAL STUDIES,-,6,7,42,2%
K,09-12,SPEC ED,SOCIAL STUDIES,-,7,9,63,3%
K,09-12,SPEC ED,SOCIAL STUDIES,-,8,10,80,4%
K,09-12,SPEC ED,SOCIAL STUDIES,-,9,7,63,3%
K,09-12,SPEC ED,SOCIAL STUDIES,-,10,12,120,6%
K,09-12,SPEC ED,SOCIAL STUDIES,-,11,21,231,11%
K,09-12,SPEC ED,SOCIAL STUDIES,-,12,18,216,10%
K,09-12,SPEC ED,SOCIAL STUDIES,-,13,27,351,16%
K,09-12,SPEC ED,SOCIAL STUDIES,-,14,27,378,18%
K,09-12,SPEC ED,SOCIAL STUDIES,-,15,19,285,13%
K,09-12,SPEC ED,SOCIAL STUDIES,-,>15,17,290,14%
M,0K,GEN ED / CTT / G&T,-,-,<15,30,355,4%
M,0K,GEN ED / CTT / G&T,-,-,15,7,105,1%
M,0K,GEN ED / CTT / G&T,-,-,16,12,192,2%
M,0K,GEN ED / CTT / G&T,-,-,17,16,272,3%
M,0K,GEN ED / CTT / G&T,-,-,18,9,162,2%
M,0K,GEN ED / CTT / G&T,-,-,19,32,608,7%
M,0K,GEN ED / CTT / G&T,-,-,20,50,1000,11%
M,0K,GEN ED / CTT / G&T,-,-,21,47,987,11%
M,0K,GEN ED / CTT / G&T,-,-,22,40,880,10%
M,0K,GEN ED / CTT / G&T,-,-,23,50,1150,13%
M,0K,GEN ED / CTT / G&T,-,-,24,37,888,10%
M,0K,GEN ED / CTT / G&T,-,-,25,70,1750,19%
M,0K,GEN ED / CTT / G&T,-,-,26,12,312,3%
M,0K,GEN ED / CTT / G&T,-,-,27,13,351,4%
M,0K,GEN ED / CTT / G&T,-,-,28,5,140,2%
M,01,GEN ED / CTT / G&T,-,-,<15,25,312,3%
M,01,GEN ED / CTT / G&T,-,-,15,8,120,1%
M,01,GEN ED / CTT / G&T,-,-,16,13,208,2%
M,01,GEN ED / CTT / G&T,-,-,17,15,255,3%
M,01,GEN ED / CTT / G&T,-,-,18,15,270,3%
M,01,GEN ED / CTT / G&T,-,-,19,26,494,5%
M,01,GEN ED / CTT / G&T,-,-,20,38,760,8%
M,01,GEN ED / CTT / G&T,-,-,21,30,630,7%
M,01,GEN ED / CTT / G&T,-,-,22,35,770,8%
M,01,GEN ED / CTT / G&T,-,-,23,34,782,9%
M,01,GEN ED / CTT / G&T,-,-,24,50,1200,13%
M,01,GEN ED / CTT / G&T,-,-,25,46,1150,13%
M,01,GEN ED / CTT / G&T,-,-,26,34,884,10%
M,01,GEN ED / CTT / G&T,-,-,27,25,675,7%
M,01,GEN ED / CTT / G&T,-,-,28,14,392,4%
M,01,GEN ED / CTT / G&T,-,-,29,5,145,2%
M,01,GEN ED / CTT / G&T,-,-,30,2,60,1%
M,01,GEN ED / CTT / G&T,-,-,31,1,31,0%
M,01,GEN ED / CTT / G&T,-,-,32,1,32,0%
M,02,GEN ED / CTT / G&T,-,-,<15,24,284,3%
M,02,GEN ED / CTT / G&T,-,-,15,8,120,1%
M,02,GEN ED / CTT / G&T,-,-,16,13,208,2%
M,02,GEN ED / CTT / G&T,-,-,17,18,306,4%
M,02,GEN ED / CTT / G&T,-,-,18,20,360,4%
M,02,GEN ED / CTT / G&T,-,-,19,23,437,5%
M,02,GEN ED / CTT / G&T,-,-,20,37,740,9%
M,02,GEN ED / CTT / G&T,-,-,21,31,651,8%
M,02,GEN ED / CTT / G&T,-,-,22,29,638,7%
M,02,GEN ED / CTT / G&T,-,-,23,27,621,7%
M,02,GEN ED / CTT / G&T,-,-,24,41,984,11%
M,02,GEN ED / CTT / G&T,-,-,25,40,1000,12%
M,02,GEN ED / CTT / G&T,-,-,26,26,676,8%
M,02,GEN ED / CTT / G&T,-,-,27,20,540,6%
M,02,GEN ED / CTT / G&T,-,-,28,15,420,5%
M,02,GEN ED / CTT / G&T,-,-,29,13,377,4%
M,02,GEN ED / CTT / G&T,-,-,30,5,150,2%
M,02,GEN ED / CTT / G&T,-,-,31,2,62,1%
M,03,GEN ED / CTT / G&T,-,-,<15,17,192,2%
M,03,GEN ED / CTT / G&T,-,-,15,10,150,2%
M,03,GEN ED / CTT / G&T,-,-,16,4,64,1%
M,03,GEN ED / CTT / G&T,-,-,17,13,221,3%
M,03,GEN ED / CTT / G&T,-,-,18,15,270,3%
M,03,GEN ED / CTT / G&T,-,-,19,18,342,4%
M,03,GEN ED / CTT / G&T,-,-,20,24,480,6%
M,03,GEN ED / CTT / G&T,-,-,21,25,525,6%
M,03,GEN ED / CTT / G&T,-,-,22,32,704,8%
M,03,GEN ED / CTT / G&T,-,-,23,21,483,6%
M,03,GEN ED / CTT / G&T,-,-,24,39,936,11%
M,03,GEN ED / CTT / G&T,-,-,25,41,1025,12%
M,03,GEN ED / CTT / G&T,-,-,26,29,754,9%
M,03,GEN ED / CTT / G&T,-,-,27,18,486,6%
M,03,GEN ED / CTT / G&T,-,-,28,23,644,8%
M,03,GEN ED / CTT / G&T,-,-,29,16,464,6%
M,03,GEN ED / CTT / G&T,-,-,30,10,300,4%
M,03,GEN ED / CTT / G&T,-,-,31,4,124,1%
M,03,GEN ED / CTT / G&T,-,-,32,3,96,1%
M,03,GEN ED / CTT / G&T,-,-,33,1,33,0%
M,04,GEN ED / CTT / G&T,-,-,<15,20,239,3%
M,04,GEN ED / CTT / G&T,-,-,15,1,15,0%
M,04,GEN ED / CTT / G&T,-,-,16,4,64,1%
M,04,GEN ED / CTT / G&T,-,-,17,8,136,2%
M,04,GEN ED / CTT / G&T,-,-,18,17,306,4%
M,04,GEN ED / CTT / G&T,-,-,19,19,361,4%
M,04,GEN ED / CTT / G&T,-,-,20,22,440,5%
M,04,GEN ED / CTT / G&T,-,-,21,21,441,5%
M,04,GEN ED / CTT / G&T,-,-,22,30,660,8%
M,04,GEN ED / CTT / G&T,-,-,23,27,621,8%
M,04,GEN ED / CTT / G&T,-,-,24,35,840,10%
M,04,GEN ED / CTT / G&T,-,-,25,26,650,8%
M,04,GEN ED / CTT / G&T,-,-,26,20,520,6%
M,04,GEN ED / CTT / G&T,-,-,27,25,675,8%
M,04,GEN ED / CTT / G&T,-,-,28,19,532,6%
M,04,GEN ED / CTT / G&T,-,-,29,20,580,7%
M,04,GEN ED / CTT / G&T,-,-,30,9,270,3%
M,04,GEN ED / CTT / G&T,-,-,31,11,341,4%
M,04,GEN ED / CTT / G&T,-,-,32,16,512,6%
M,04,GEN ED / CTT / G&T,-,-,>34,1,35,0%
M,05,GEN ED / CTT / G&T,-,-,<15,10,131,2%
M,05,GEN ED / CTT / G&T,-,-,15,5,75,1%
M,05,GEN ED / CTT / G&T,-,-,16,5,80,1%
M,05,GEN ED / CTT / G&T,-,-,17,9,153,2%
M,05,GEN ED / CTT / G&T,-,-,18,9,162,2%
M,05,GEN ED / CTT / G&T,-,-,19,17,323,4%
M,05,GEN ED / CTT / G&T,-,-,20,21,420,5%
M,05,GEN ED / CTT / G&T,-,-,21,22,462,6%
M,05,GEN ED / CTT / G&T,-,-,22,23,506,6%
M,05,GEN ED / CTT / G&T,-,-,23,22,506,6%
M,05,GEN ED / CTT / G&T,-,-,24,22,528,7%
M,05,GEN ED / CTT / G&T,-,-,25,20,500,6%
M,05,GEN ED / CTT / G&T,-,-,26,23,598,7%
M,05,GEN ED / CTT / G&T,-,-,27,29,783,10%
M,05,GEN ED / CTT / G&T,-,-,28,20,560,7%
M,05,GEN ED / CTT / G&T,-,-,29,22,638,8%
M,05,GEN ED / CTT / G&T,-,-,30,16,480,6%
M,05,GEN ED / CTT / G&T,-,-,31,15,465,6%
M,05,GEN ED / CTT / G&T,-,-,32,12,384,5%
M,05,GEN ED / CTT / G&T,-,-,33,1,33,0%
M,05,GEN ED / CTT / G&T,-,-,34,5,170,2%
M,05,GEN ED / CTT / G&T,-,-,>34,1,35,0%
M,06,GEN ED / CTT / G&T,-,-,<15,26,305,4%
M,06,GEN ED / CTT / G&T,-,-,15,7,105,1%
M,06,GEN ED / CTT / G&T,-,-,16,9,144,2%
M,06,GEN ED / CTT / G&T,-,-,17,5,85,1%
M,06,GEN ED / CTT / G&T,-,-,18,7,126,2%
M,06,GEN ED / CTT / G&T,-,-,19,9,171,2%
M,06,GEN ED / CTT / G&T,-,-,20,13,260,3%
M,06,GEN ED / CTT / G&T,-,-,21,6,126,2%
M,06,GEN ED / CTT / G&T,-,-,22,11,242,3%
M,06,GEN ED / CTT / G&T,-,-,23,22,506,6%
M,06,GEN ED / CTT / G&T,-,-,24,19,456,6%
M,06,GEN ED / CTT / G&T,-,-,25,21,525,7%
M,06,GEN ED / CTT / G&T,-,-,26,26,676,8%
M,06,GEN ED / CTT / G&T,-,-,27,28,756,9%
M,06,GEN ED / CTT / G&T,-,-,28,21,588,7%
M,06,GEN ED / CTT / G&T,-,-,29,19,551,7%
M,06,GEN ED / CTT / G&T,-,-,30,25,750,9%
M,06,GEN ED / CTT / G&T,-,-,31,19,589,7%
M,06,GEN ED / CTT / G&T,-,-,32,20,640,8%
M,06,GEN ED / CTT / G&T,-,-,33,7,231,3%
M,06,GEN ED / CTT / G&T,-,-,34,4,136,2%
M,07,GEN ED / CTT / G&T,-,-,<15,28,332,4%
M,07,GEN ED / CTT / G&T,-,-,15,4,60,1%
M,07,GEN ED / CTT / G&T,-,-,16,4,64,1%
M,07,GEN ED / CTT / G&T,-,-,17,7,119,1%
M,07,GEN ED / CTT / G&T,-,-,18,9,162,2%
M,07,GEN ED / CTT / G&T,-,-,19,5,95,1%
M,07,GEN ED / CTT / G&T,-,-,20,5,100,1%
M,07,GEN ED / CTT / G&T,-,-,21,10,210,3%
M,07,GEN ED / CTT / G&T,-,-,22,16,352,4%
M,07,GEN ED / CTT / G&T,-,-,23,20,460,6%
M,07,GEN ED / CTT / G&T,-,-,24,12,288,3%
M,07,GEN ED / CTT / G&T,-,-,25,17,425,5%
M,07,GEN ED / CTT / G&T,-,-,26,26,676,8%
M,07,GEN ED / CTT / G&T,-,-,27,19,513,6%
M,07,GEN ED / CTT / G&T,-,-,28,32,896,11%
M,07,GEN ED / CTT / G&T,-,-,29,18,522,6%
M,07,GEN ED / CTT / G&T,-,-,30,23,690,8%
M,07,GEN ED / CTT / G&T,-,-,31,32,992,12%
M,07,GEN ED / CTT / G&T,-,-,32,21,672,8%
M,07,GEN ED / CTT / G&T,-,-,33,12,396,5%
M,07,GEN ED / CTT / G&T,-,-,34,4,136,2%
M,07,GEN ED / CTT / G&T,-,-,>34,2,75,1%
M,08,GEN ED / CTT / G&T,-,-,<15,27,316,4%
M,08,GEN ED / CTT / G&T,-,-,15,1,15,0%
M,08,GEN ED / CTT / G&T,-,-,16,5,80,1%
M,08,GEN ED / CTT / G&T,-,-,17,3,51,1%
M,08,GEN ED / CTT / G&T,-,-,18,6,108,1%
M,08,GEN ED / CTT / G&T,-,-,19,6,114,1%
M,08,GEN ED / CTT / G&T,-,-,20,3,60,1%
M,08,GEN ED / CTT / G&T,-,-,21,6,126,1%
M,08,GEN ED / CTT / G&T,-,-,22,6,132,2%
M,08,GEN ED / CTT / G&T,-,-,23,10,230,3%
M,08,GEN ED / CTT / G&T,-,-,24,16,384,4%
M,08,GEN ED / CTT / G&T,-,-,25,20,500,6%
M,08,GEN ED / CTT / G&T,-,-,26,34,884,10%
M,08,GEN ED / CTT / G&T,-,-,27,25,675,8%
M,08,GEN ED / CTT / G&T,-,-,28,30,840,10%
M,08,GEN ED / CTT / G&T,-,-,29,18,522,6%
M,08,GEN ED / CTT / G&T,-,-,30,40,1200,14%
M,08,GEN ED / CTT / G&T,-,-,31,22,682,8%
M,08,GEN ED / CTT / G&T,-,-,32,20,640,7%
M,08,GEN ED / CTT / G&T,-,-,33,20,660,8%
M,08,GEN ED / CTT / G&T,-,-,34,5,170,2%
M,08,GEN ED / CTT / G&T,-,-,>34,6,218,3%
M,09,GEN ED / CTT / G&T,-,-,<15,12,118,19%
M,09,GEN ED / CTT / G&T,-,-,16,1,16,3%
M,09,GEN ED / CTT / G&T,-,-,17,1,17,3%
M,09,GEN ED / CTT / G&T,-,-,24,4,96,16%
M,09,GEN ED / CTT / G&T,-,-,25,1,25,4%
M,09,GEN ED / CTT / G&T,-,-,26,1,26,4%
M,09,GEN ED / CTT / G&T,-,-,27,2,54,9%
M,09,GEN ED / CTT / G&T,-,-,31,1,31,5%
M,09,GEN ED / CTT / G&T,-,-,32,2,64,10%
M,09,GEN ED / CTT / G&T,-,-,>34,2,167,27%
M,0K-09,SPEC ED,-,12:1,<6,11,37,4%
M,0K-09,SPEC ED,-,12:1,6,4,24,3%
M,0K-09,SPEC ED,-,12:1,7,10,70,8%
M,0K-09,SPEC ED,-,12:1,8,9,72,8%
M,0K-09,SPEC ED,-,12:1,9,13,117,14%
M,0K-09,SPEC ED,-,12:1,10,14,140,16%
M,0K-09,SPEC ED,-,12:1,11,16,176,21%
M,0K-09,SPEC ED,-,12:1,12,16,192,22%
M,0K-09,SPEC ED,-,12:1,13,2,26,3%
M,0K-09,SPEC ED,-,12:1:1,<6,23,91,3%
M,0K-09,SPEC ED,-,12:1:1,6,11,66,2%
M,0K-09,SPEC ED,-,12:1:1,7,21,147,5%
M,0K-09,SPEC ED,-,12:1:1,8,21,168,6%
M,0K-09,SPEC ED,-,12:1:1,9,32,288,10%
M,0K-09,SPEC ED,-,12:1:1,10,44,440,15%
M,0K-09,SPEC ED,-,12:1:1,11,66,726,24%
M,0K-09,SPEC ED,-,12:1:1,12,78,936,32%
M,0K-09,SPEC ED,-,12:1:1,13,7,91,3%
M,0K-09,SPEC ED,-,12:1:1,>15,1,16,1%
M,0K-09,SPEC ED,-,6:1:1,<6,1,5,100%
M,MS Core,GEN ED / CTT,ENGLISH,-,<15,35,441,2%
M,MS Core,GEN ED / CTT,ENGLISH,-,15,25,375,2%
M,MS Core,GEN ED / CTT,ENGLISH,-,16,27,432,2%
M,MS Core,GEN ED / CTT,ENGLISH,-,17,16,272,1%
M,MS Core,GEN ED / CTT,ENGLISH,-,18,24,432,2%
M,MS Core,GEN ED / CTT,ENGLISH,-,19,27,513,2%
M,MS Core,GEN ED / CTT,ENGLISH,-,20,34,680,3%
M,MS Core,GEN ED / CTT,ENGLISH,-,21,43,903,4%
M,MS Core,GEN ED / CTT,ENGLISH,-,22,38,836,4%
M,MS Core,GEN ED / CTT,ENGLISH,-,23,45,1035,5%
M,MS Core,GEN ED / CTT,ENGLISH,-,24,53,1272,6%
M,MS Core,GEN ED / CTT,ENGLISH,-,25,54,1350,6%
M,MS Core,GEN ED / CTT,ENGLISH,-,26,52,1352,6%
M,MS Core,GEN ED / CTT,ENGLISH,-,27,77,2079,10%
M,MS Core,GEN ED / CTT,ENGLISH,-,28,62,1736,8%
M,MS Core,GEN ED / CTT,ENGLISH,-,29,43,1247,6%
M,MS Core,GEN ED / CTT,ENGLISH,-,30,56,1680,8%
M,MS Core,GEN ED / CTT,ENGLISH,-,31,51,1581,8%
M,MS Core,GEN ED / CTT,ENGLISH,-,32,36,1152,6%
M,MS Core,GEN ED / CTT,ENGLISH,-,33,18,594,3%
M,MS Core,GEN ED / CTT,ENGLISH,-,34,7,238,1%
M,MS Core,GEN ED / CTT,ENGLISH,-,>34,17,639,3%
M,MS Core,GEN ED / CTT,MATH,-,<15,22,278,1%
M,MS Core,GEN ED / CTT,MATH,-,15,20,300,1%
M,MS Core,GEN ED / CTT,MATH,-,16,27,432,2%
M,MS Core,GEN ED / CTT,MATH,-,17,22,374,2%
M,MS Core,GEN ED / CTT,MATH,-,18,26,468,2%
M,MS Core,GEN ED / CTT,MATH,-,19,24,456,2%
M,MS Core,GEN ED / CTT,MATH,-,20,35,700,3%
M,MS Core,GEN ED / CTT,MATH,-,21,43,903,4%
M,MS Core,GEN ED / CTT,MATH,-,22,39,858,4%
M,MS Core,GEN ED / CTT,MATH,-,23,55,1265,6%
M,MS Core,GEN ED / CTT,MATH,-,24,59,1416,6%
M,MS Core,GEN ED / CTT,MATH,-,25,54,1350,6%
M,MS Core,GEN ED / CTT,MATH,-,26,52,1352,6%
M,MS Core,GEN ED / CTT,MATH,-,27,84,2268,10%
M,MS Core,GEN ED / CTT,MATH,-,28,67,1876,9%
M,MS Core,GEN ED / CTT,MATH,-,29,47,1363,6%
M,MS Core,GEN ED / CTT,MATH,-,30,64,1920,9%
M,MS Core,GEN ED / CTT,MATH,-,31,60,1860,8%
M,MS Core,GEN ED / CTT,MATH,-,32,35,1120,5%
M,MS Core,GEN ED / CTT,MATH,-,33,18,594,3%
M,MS Core,GEN ED / CTT,MATH,-,34,8,272,1%
M,MS Core,GEN ED / CTT,MATH,-,>34,14,554,3%
M,MS Core,GEN ED / CTT,SCIENCE,-,<15,22,287,1%
M,MS Core,GEN ED / CTT,SCIENCE,-,15,12,180,1%
M,MS Core,GEN ED / CTT,SCIENCE,-,16,18,288,1%
M,MS Core,GEN ED / CTT,SCIENCE,-,17,23,391,2%
M,MS Core,GEN ED / CTT,SCIENCE,-,18,26,468,2%
M,MS Core,GEN ED / CTT,SCIENCE,-,19,22,418,2%
M,MS Core,GEN ED / CTT,SCIENCE,-,20,29,580,3%
M,MS Core,GEN ED / CTT,SCIENCE,-,21,34,714,3%
M,MS Core,GEN ED / CTT,SCIENCE,-,22,38,836,4%
M,MS Core,GEN ED / CTT,SCIENCE,-,23,50,1150,5%
M,MS Core,GEN ED / CTT,SCIENCE,-,24,57,1368,6%
M,MS Core,GEN ED / CTT,SCIENCE,-,25,52,1300,6%
M,MS Core,GEN ED / CTT,SCIENCE,-,26,56,1456,7%
M,MS Core,GEN ED / CTT,SCIENCE,-,27,86,2322,10%
M,MS Core,GEN ED / CTT,SCIENCE,-,28,74,2072,9%
M,MS Core,GEN ED / CTT,SCIENCE,-,29,54,1566,7%
M,MS Core,GEN ED / CTT,SCIENCE,-,30,66,1980,9%
M,MS Core,GEN ED / CTT,SCIENCE,-,31,66,2046,9%
M,MS Core,GEN ED / CTT,SCIENCE,-,32,39,1248,6%
M,MS Core,GEN ED / CTT,SCIENCE,-,33,21,693,3%
M,MS Core,GEN ED / CTT,SCIENCE,-,34,12,408,2%
M,MS Core,GEN ED / CTT,SCIENCE,-,>34,14,594,3%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,<15,17,217,1%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,15,16,240,1%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,16,25,400,2%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,17,16,272,1%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,18,22,396,2%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,19,27,513,3%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,20,30,600,3%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,21,37,777,4%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,22,34,748,4%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,23,44,1012,5%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,24,52,1248,6%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,25,47,1175,6%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,26,49,1274,6%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,27,80,2160,11%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,28,65,1820,9%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,29,44,1276,6%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,30,58,1740,9%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,31,52,1612,8%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,32,30,960,5%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,33,14,462,2%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,34,6,204,1%
M,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,>34,13,539,3%
M,MS Core,SPEC ED,ENGLISH,-,<6,2,10,1%
M,MS Core,SPEC ED,ENGLISH,-,6,2,12,2%
M,MS Core,SPEC ED,ENGLISH,-,7,2,14,2%
M,MS Core,SPEC ED,ENGLISH,-,8,3,24,3%
M,MS Core,SPEC ED,ENGLISH,-,9,4,36,5%
M,MS Core,SPEC ED,ENGLISH,-,10,19,190,26%
M,MS Core,SPEC ED,ENGLISH,-,11,19,209,28%
M,MS Core,SPEC ED,ENGLISH,-,12,16,192,26%
M,MS Core,SPEC ED,ENGLISH,-,13,4,52,7%
M,MS Core,SPEC ED,MATH,-,<6,2,10,1%
M,MS Core,SPEC ED,MATH,-,6,3,18,2%
M,MS Core,SPEC ED,MATH,-,7,3,21,3%
M,MS Core,SPEC ED,MATH,-,8,4,32,4%
M,MS Core,SPEC ED,MATH,-,9,6,54,7%
M,MS Core,SPEC ED,MATH,-,10,18,180,22%
M,MS Core,SPEC ED,MATH,-,11,23,253,31%
M,MS Core,SPEC ED,MATH,-,12,16,192,23%
M,MS Core,SPEC ED,MATH,-,13,4,52,6%
M,MS Core,SPEC ED,MATH,-,14,1,14,2%
M,MS Core,SPEC ED,SCIENCE,-,<6,1,5,1%
M,MS Core,SPEC ED,SCIENCE,-,6,3,18,2%
M,MS Core,SPEC ED,SCIENCE,-,7,4,28,3%
M,MS Core,SPEC ED,SCIENCE,-,8,3,24,3%
M,MS Core,SPEC ED,SCIENCE,-,9,4,36,4%
M,MS Core,SPEC ED,SCIENCE,-,10,20,200,25%
M,MS Core,SPEC ED,SCIENCE,-,11,20,220,27%
M,MS Core,SPEC ED,SCIENCE,-,12,16,192,24%
M,MS Core,SPEC ED,SCIENCE,-,13,3,39,5%
M,MS Core,SPEC ED,SCIENCE,-,14,3,42,5%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,<6,1,5,1%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,6,3,18,2%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,7,4,28,4%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,8,3,24,3%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,9,5,45,6%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,10,17,170,23%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,11,19,209,28%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,12,15,180,24%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,13,4,52,7%
M,MS Core,SPEC ED,SOCIAL STUDIES,-,14,1,14,2%
M,09-12,GEN ED / CTT,ENGLISH,-,<15,240,2911,4%
M,09-12,GEN ED / CTT,ENGLISH,-,15,52,780,1%
M,09-12,GEN ED / CTT,ENGLISH,-,16,71,1136,2%
M,09-12,GEN ED / CTT,ENGLISH,-,17,89,1513,2%
M,09-12,GEN ED / CTT,ENGLISH,-,18,85,1530,2%
M,09-12,GEN ED / CTT,ENGLISH,-,19,85,1615,2%
M,09-12,GEN ED / CTT,ENGLISH,-,20,96,1920,3%
M,09-12,GEN ED / CTT,ENGLISH,-,21,118,2478,4%
M,09-12,GEN ED / CTT,ENGLISH,-,22,139,3058,5%
M,09-12,GEN ED / CTT,ENGLISH,-,23,138,3174,5%
M,09-12,GEN ED / CTT,ENGLISH,-,24,122,2928,4%
M,09-12,GEN ED / CTT,ENGLISH,-,25,125,3125,5%
M,09-12,GEN ED / CTT,ENGLISH,-,26,135,3510,5%
M,09-12,GEN ED / CTT,ENGLISH,-,27,136,3672,5%
M,09-12,GEN ED / CTT,ENGLISH,-,28,149,4172,6%
M,09-12,GEN ED / CTT,ENGLISH,-,29,116,3364,5%
M,09-12,GEN ED / CTT,ENGLISH,-,30,135,4050,6%
M,09-12,GEN ED / CTT,ENGLISH,-,31,136,4216,6%
M,09-12,GEN ED / CTT,ENGLISH,-,32,128,4096,6%
M,09-12,GEN ED / CTT,ENGLISH,-,33,158,5214,8%
M,09-12,GEN ED / CTT,ENGLISH,-,34,202,6868,10%
