Facility Type,License Number,Entity Name,Trade Name,Address,Address Zip Code,Telephone Number,Number of Spaces
Parking Garage,1097397,"STABLE CAR PARKING, INC",,"614 153 STREET
NEW YORK, NY 10031
(40.831821701924014, -73.94759669086068)",10031,2129799815,135
Parking Garage,1114184,LEXINGTON GARAGE CORP.,,"1501 LEXINGTON AVENUE
NEW YORK, NY 10029
(40.786423925885, -73.95052848067616)",10029,2127367171,150
Parking Garage,1127924,"2 LINCOLN PARKING, LLC",,"2 LINCOLN PLAZA
NEW YORK, NY 10023
(40.604795381251094, -74.06876264257916)",10023,2126869800,80
Parking Garage,1128837,THE GGG PARKING INC,,"1565 JEROME AVENUE
BRONX, NY 10452
(40.843958487652586, -73.91507485720848)",10452,7189015222,69
Parking Garage,1129152,EAST 14TH GARAGE CORP,,"7 14 STREET
NEW YORK, NY 10003
(40.73588023182016, -73.99327322372638)",10003,2127367171,112
Parking Garage,1135120,NORTH PLAZA GARAGE LLC,,"331 29 STREET
NEW YORK, NY 10016
(40.74059643081641, -73.9756187960792)",10016,2126869800,83
Parking Garage,1137953,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,"838 852 11 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2126296602,84
Parking Garage,1146424,REGAL PARKING CORP,,"98 22 63 DRIVE
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)",11374,2127367171,180
Parking Garage,1148650,WORTHY PARKING LLC,,"841 10 AVENUE
NEW YORK, NY 10019
(40.768102746953694, -73.9893565167187)",10019,2124903460,86
Parking Garage,1148653,UPTOWN PARKING CORP,,"1721 1735 AMSTERDAM AVENUE
NEW YORK, NY
(40.756053999992105, -73.9869510002884)",,2124903460,53
Parking Garage,1153003,18TH AND THIRD PARKING LLC,,"201 17 STREET
NEW YORK, NY 10003
(40.73520449313274, -73.98573004610083)",10003,2126869800,108
Parking Garage,1159049,"211 WEST 56TH ST CAR PARK, LLC",GGMC,"211 56 STREET
NEW YORK, NY 10019
(40.76556991488509, -73.98213985686341)",10019,2129966363,196
Parking Garage,1175125,STANDARD PARKING CORP,,"250 VESEY STREET
NEW YORK, NY 10282
(40.7144511838801, -74.01544154475107)",10282,2127864245,371
Parking Garage,1177260,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"688 MAIN STREET
ROOSEVELT ISL, NY 10044
(40.76535053419186, -73.94660457627931)",10044,2125025490,490
Parking Garage,1180320,ALERT PARKING LLC,,"30 85TH STREET
NEW YORK, NY 10028
(40.78032652252631, -73.95965659927356)",10028,2126869800,43
Parking Garage,1180717,118 PARKING CORP,,"1682 PARK AVENUE
NEW YORK, NY 10035
(40.80076599830388, -73.94239552688133)",10035,2127367171,52
Parking Garage,1180744,EAST RIVER PARKING CORP,,"345 94 STREET
NEW YORK, NY 10128
(40.782071207263186, -73.94594193832671)",10128,2127367171,36
Parking Garage,1184438,LIBERTY STREET REALTY LLC,,"10 LIBERTY STREET
NEW YORK, NY 10005
(40.707688054385905, -74.0082550451096)",10005,2125358670,200
Parking Garage,1185631,SUTTON 53 PARKING LLC,,"410 422 EAST 54 STREET
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)",10022,2126869800,182
Parking Garage,1186721,NICE PARK LLC,,"310 11 STREET
NEW YORK, NY 10003
(40.73002744142758, -73.98555707371742)",10003,2122893800,120
Parking Garage,1187786,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"34 RIVER TERRACE
NEW YORK, NY 10282
(40.71769776164492, -74.01568868713306)",10282,2125025490,123
Parking Garage,1192853,59 ALLEN STREET GARAGE CORP,,"59 ALLEN STREET
NEW YORK, NY 10002
(40.717023244883876, -73.99163649063547)",10002,2127367171,200
Parking Garage,1192930,QUIK PARK SWIFT LLC,,"140 56 STREET
NEW YORK, NY 10022
(40.76014208303016, -73.9694516819715)",10022,2128322066,50
Parking Garage,1193449,"117TH STREET, CORP",,"220 117 STREET
NEW YORK, NY 10035
(40.79820504446883, -73.93853152480528)",10035,2129874400,100
Parking Garage,1196436,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,"109 123 WEST 56 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2125025490,87
Parking Garage,1197266,100 WILLIAM GARAGE CORP,,"72 JOHN STREET
NEW YORK, NY 10038
(40.70877510780521, -74.0073891910026)",10038,2127367171,43
Parking Garage,1199957,KINNEY PARKING SYSTEM INC,,"146 57TH STREET
NEW YORK, NY 10019
(40.765092007350006, -73.97900101612379)",10019,2125025490,89
Parking Garage,1201685,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,"530 76 STREET
NEW YORK, NY 10021
(40.7691151905303, -73.95113255107943)",10021,2125025490,23
Parking Garage,1202746,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,"58 58 STREET
NEW YORK, NY 10019
(40.764813217520896, -73.97624009749387)",10019,2125025490,160
Parking Garage,1202982,"LARDON 575, LLC.",,"300 145 STREET
NEW YORK, NY 10039
(40.822834545664435, -73.94197771817052)",10039,2124903460,158
Parking Garage,1204173,"TUNNEL 34 PARKING, LLC",,"222 34 STREET
NEW YORK, NY 10016
(40.7453173018596, -73.97724265598316)",10016,2126869800,107
Parking Garage,1205750,"MTP 57, LLC",,"601 57 STREET
NEW YORK, NY 10019
(40.770388783849285, -73.99149741362523)",10019,2125755335,100
Parking Garage,1206789,"206 E. 59TH ST GARAGE, CORP.",,"206 59 STREET
NEW YORK, NY 10022
(40.76145644127821, -73.96641866291219)",10022,2129378660,225
Parking Garage,1211705,KINNEY PARKING SYSTEM INC.,CENTRAL PARKING SYSTEM,"85 LIVINGSTON STREET
BROOKLYN, NY 11201
(40.691487621155595, -73.99094525123202)",11201,7187974864,160
Parking Garage,1213080,"WALL ST GARAGE PARKING, CORP.",,"45 WALL STREET
NEW YORK, NY 10005
(40.706510170361355, -74.00970387020413)",10005,2128250700,87
Parking Garage,1216898,WEST 145TH GARAGE CORP,,"330 145 STREET
NEW YORK, NY 10039
(40.82347599349214, -73.943432829865)",10039,2127367171,23
Parking Garage,1218380,"444 MANAHATTAN PARKING, CORP.",,"309 118 STREET
NEW YORK, NY 10026
(40.80586309831517, -73.95466774754757)",10026,2127367171,24
Parking Garage,921085,ABC PARKING CORP.,,"2070 WHITE PLAINS ROAD
BRONX, NY 10462
(40.852461800715005, -73.86773555729206)",10462,7188025611,95
Parking Garage,928927,ELI'S LEASING INC,,"422 91 STREET
NEW YORK, NY 10128
(40.779598071682585, -73.94595093154703)",10128,2125349395,135
Parking Garage,945260,FEDERAL REALTY LIMITED PARTNERSHIP,,"97 77 QUEENS BOULEVARD
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)",11374,7185754692,200
Parking Garage,947353,WEST 108TH STREET PARKING GARAGE CORPORATION,,"234 108 STREET
NEW YORK, NY 10025
(40.80250380376884, -73.9665543992383)",10025,2122228800,98
Parking Garage,959361,"PARKANLEX GARAGE COMPANY,L.L.C.",,"115 75 STREET
NEW YORK, NY 10021
(40.772583359854025, -73.96128437214662)",10021,2128887400,165
Parking Garage,962302,VIP CAPITAL PARKING CORP.,,"298 MULBERRY STREET
NEW YORK, NY 10012
(40.72483238950696, -73.99492419541565)",10012,2129421200,21
Parking Garage,962865,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"25 43 WEST 48 STREET
NEW YORK, NY 10020
(40.7594985131459, -73.98007439721562)",10020,2126296602,652
Parking Garage,971313,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"135 47 STREET
NEW YORK, NY 10017
(40.754489785493504, -73.97336424829356)",10017,2126296602,149
Parking Garage,972256,EASTSIDE PARKING LLC,,"45 SUTTON PLACE
NEW YORK, NY 10022
(40.75841661921273, -73.95987151955093)",10022,2123558890,88
Parking Garage,974364,MTP 3300 BROADWAY CORP,,"627 129 STREET
NEW YORK, NY 10027
(40.81682101047534, -73.95905405351391)",10027,2125755335,200
Parking Garage,976776,"BRONX CAR PARK SYSTEMS, INC",,"2425 SEDGWICK AVENUE
BRONX, NY 10468
(40.86447393961661, -73.90896297284826)",10468,2122216111,495
Parking Garage,976779,"LA MIRAGE CAR PARK, INC.",,"178 10 WEXFORD TERRACE
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)",11432,2122216111,148
Parking Garage,981503,SKY PARKING CORP.,,"121 READE STREET
NEW YROK, NY 10013
(40.716006176984685, -74.008834288607)",10013,2127536116,89
Parking Garage,983786,"RAPID 75, CORP",,"35 75 STREET
NEW YORK, NY 10021
(40.77372105067555, -73.96390376204388)",10021,2128661000,73
Parking Garage,998154,"SYLVAN MIDWAY GARAGE, LLC",,"108 02-18 QUEENS BLVD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)",11375,2129446666,130
Parking Garage,1002968,ENTERPRISE 61ST LLC,,"160 62 STREET
NEW YORK, NY 10021
(40.641625839216886, -74.0228698853423)",10021,2122238648,128
Parking Garage,1004129,55 E 125 ST CORP,,"55 125 STREET
NEW YORK, NY 10027
(40.80727920374443, -73.94430517223344)",10027,2128661000,47
Parking Garage,1007823,BIENVENIDO LLC,,"1277 JEROME AVENUE
BRONX, NY 10452
(40.83764005697384, -73.92006141668224)",10452,2122893800,96
Parking Garage,1010035,5TH AVENUE GARAGE CORP,,"96 5 AVENUE
NEW YORK, NY 10011
(40.736799291979565, -73.99306607647945)",10011,2127367171,75
Parking Garage,1010044,WESTMONT PARKING INC,,"730 COLUMBUS AVENUE
NEW YORK, NY 10025
(40.79267762827752, -73.96770235529773)",10025,2127367171,44
Parking Garage,1013974,SOUTH WILLIAM PARKING LLC,,"14 WILLIAM STREET
NEW YORK, NY 10004
(40.704513675456326, -74.01073809053781)",10004,2126869800,400
Parking Garage,1036915,160 PARKING CORP,,"160 65 STREET
NEW YORK, NY 10021
(40.64021838650345, -74.02510492794114)",10021,2127367171,150
Parking Garage,1070438,ARWIN 74TH STREET LLC,,"300 75 STREET
NEW YORK, NY 10021
(40.770720676639506, -73.95691876225543)",10021,2126501416,177
Parking Garage,1071280,EAST 77TH REALTY LLC,,"500 77 STREET
NEW YORK, NY 10162
(40.62790801831138, -74.02320167509022)",10162,2126501433,300
Parking Garage,1071285,BRIAR HILL REALTY LLC,,"630 246 STREET
BRONX, NY 10471
(40.89230439985561, -73.91131352186585)",10471,7185489428,84
Parking Garage,1074675,MINT PARKING CORPORATION,,"270 DYCKMAN STREET
NEW YORK, NY 10034
(40.86687727462618, -73.92893575875269)",10034,2125679897,250
Parking Garage,1074682,80TH ST PARKING CORP,,"525 80 STREET
NEW YORK, NY 10021
(40.62560904833251, -74.023816994781)",10021,2129999999,52
Parking Garage,1076044,"WATERVIEW PARKING, INC",,"180 END AVENUE
NEW YORK, NY 10128
(40.563292686375775, -74.17873160931205)",10128,2126509320,115
Parking Garage,1084607,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"41 40 UNION STREET
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)",11355,2125025490,230
Parking Garage,1085597,86 ST PARKING GARAGE CORP,,"86 10 ROOSEVELT AVENUE
QUEENS, NY 11372
(40.75163073936716, -73.88361254528269)",11372,7186514273,75
Parking Garage,1093573,"PANTOJA USED CAR, INC",,"1962 CROTONA PARKWAY
BRONX, NY 10460
(40.84262378988192, -73.8852497237792)",10460,7186178548,50
Parking Garage,1098933,"CHARLES STREET GARAGE, INC",,"97 CHARLES STREET
NEW YORK, NY 10014
(40.73457801089586, -74.00528819904025)",10014,2122435900,206
Parking Garage,1099298,"SECURE PARKING, LLC",,"363 30 STREET
NEW YORK, NY 10001
(40.75074782098267, -73.99783281941734)",10001,2126869800,18
Parking Garage,1100018,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"411 53 STREET
NEW YORK, NY 10022
(40.75566860070046, -73.96450836120792)",10022,2122239358,72
Parking Garage,1100021,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"400 408 EAST 54 STREET
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)",10022,2123558325,140
Parking Garage,1100556,"PARK IN AUTO SERVICES, INC",,"75 KENMARE STREET
NEW YORK, NY 10012
(40.72110812838846, -73.99628909568773)",10012,2129661186,190
Parking Garage,1101577,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"200 161 STREET
BRONX, NY 10451
(40.82636286469819, -73.92115562336416)",10451,7185885425,1208
Parking Garage,1107285,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"154 53 STREET
NEW YORK, NY 10022
(40.757978370098215, -73.97007974159317)",10022,2126296602,149
Parking Garage,1117939,UNI FACILITY CORP,,"631 635 WEST 131 STREET
NEW YORK, NY 10027
(40.811549564460904, -73.95290033568193)",10027,2125755385,100
Parking Garage,1122008,CHAMPION PARKING 75 LLC,,"370 76TH ST
NEW YORK, NY 10021
(40.77066038189854, -73.95483146677016)",10021,2123085959,104
Parking Garage,1122123,23RD STREET PARKING LLC,,"318 322 EAST 23 STREET
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)",10010,2126869800,53
Parking Garage,1128757,"MAJESTIC CAR PARK, LLC",,"1199 PARK AVENUE
NEW YORK, NY 10128
(40.785252213256854, -73.95331947008874)",10128,2122216111,74
Parking Garage,1130687,165 EAST PARKING CORP,,"165 72 STREET
NEW YORK, NY 10021
(40.77008682715417, -73.9613320388212)",10021,2127367171,35
Parking Garage,1130936,"CHAMPION PARKING 16, LLC",,"101 16 STREET
NEW YORK, NY 10003
(40.73595329332415, -73.98934469855897)",10003,2123085959,61
Parking Garage,1132131,250 WEST PARKING CORP.,,"250 19 STREET
NEW YORK, NY 10011
(40.7422232484576, -73.99889388115426)",10011,2127367171,61
Parking Garage,999365,E/Z SPRINT LTD,,"517 25 WEST 36 STREET
NEW YORK, NY 10018
(40.756840774582145, -73.99669149981281)",10018,2127360738,25
Parking Garage,1010570,UNION SQUARE CAR PARK LLC,GGMC,"1 IRVING PLACE
NEW YORK, NY 10003
(40.73400906576385, -73.98880191284047)",10003,2129966363,198
Parking Garage,1019560,CENTURY CAR PARK LLC,,"3310 3510 AVENUE
BROOKLYN, NY 11210
(40.62772226387142, -73.946537919989)",11210,2122216111,200
Parking Garage,1022575,101 CAR PARK LLC,,"101 23 STREET
NEW YORK, NY 10011
(40.74305861763213, -73.9931653380853)",10011,2122216111,140
Parking Garage,1024898,"MEGA PARKING SYSTEMS, INC",,"343 74 STREET
NEW YORK, NY 10021
(40.76971422297722, -73.95638672882295)",10021,7183924460,57
Parking Garage,1025779,1025 FIFTH GARAGE CORP,,"1025 5 AVENUE
NEW YORK, NY 10028
(40.77989484795228, -73.96158114841626)",10028,2127367171,95
Parking Garage,1029322,STANDARD PARKING CORPORATION,,"200 CENTRAL PARK
NEW YORK, NY 10024
(40.780623298796, -73.9727597212405)",10024,2123137275,424
Parking Garage,1030045,BATTERY PLACE CAR PARK LLC,GGMC,"50 BATTERY PLACE
NEW YORK, NY 10280
(40.706519163581675, -74.01777978202722)",10280,2129966363,42
Parking Garage,1034873,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"1621 23 YORK AVENUE
NEW YORK, NY 10028
(40.776344978837756, -73.95296667956859)",10028,2124527815,126
Parking Garage,1059291,CHAMPION 42 LLC,,"214 42 STREET
NEW YORK, NY 10017
(40.75050500403472, -73.9738389076756)",10017,2123085959,115
Parking Garage,1062085,ARMORY PARKING INC,,"171 CLERMONT AVENUE
BROOKLYN, NY 11205
(40.69255483117702, -73.97071018518471)",11205,7183924460,113
Parking Garage,1069843,CHARLES PARKING LLC,,"200 27 STREET
NEW YORK, NY 10016
(40.74113406848943, -73.9807906669621)",10016,2126849704,68
Parking Garage,1070440,EAST 81ST REALTY LLC,,"145 81 STREET
NEW YORK, NY 10028
(40.77620309374214, -73.95771398299225)",10028,2126509156,22
Parking Garage,1070441,EAST 72ND REALTY LLC,,"1365 YORK AVENUE
NEW YORK, NY 10021
(40.76722340055943, -73.95347825693227)",10021,2126500911,235
Parking Garage,1071281,RIVER YORK BARCLAY LLC,,"1749 YORK AVENUE
NEW YORK, NY 10128
(40.77955835747446, -73.94458713074916)",10128,2128609888,150
Parking Garage,1076703,GREENWICH STREET PARKING LLC.,,"551 GREENWICH STREET
NEW YORK, NY 10014
(40.72771618381228, -74.00879555495453)",10014,2126869800,91
Parking Garage,1091563,BRAIRWOOD CAR PARK INC,,"85 15 MAIN STREET
QUEENS, NY 11435
(40.70119264912154, -73.80979665579099)",11435,2122216111,134
Parking Garage,1096606,"EMERALD CAR PARK, LLC",,"510 80 STREET
NEW YORK, NY 10021
(40.62567251038785, -74.02403078466897)",10021,2122216111,31
Parking Garage,1096744,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"776 6 AVENUE
NEW YORK, NY 10001
(40.744920214232764, -73.9913217279252)",10001,2122521673,92
Parking Garage,1103762,"SHERMAN PARKING, INC",,"210 SHERMAN AVENUE
NEW YORK, NY 10034
(40.86550131192132, -73.92079689438754)",10034,2125673629,65
Parking Garage,1107288,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"27 49 WEST 52 STREET
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2126296602,120
Parking Garage,1111678,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"120 21 STREET
NEW YORK, NY 10011
(40.7419164786549, -73.99446935502777)",10011,2126296602,152
Parking Garage,1117512,NEW OGDEN PARKING INC,,"156 166 STREET
BRONX, NY 10452
(40.83200584689398, -73.920144717412)",10452,7184662000,100
Parking Garage,1125528,WORLD PARKING GARAGE LLC,,"1 CENTRAL PARK
NEW YORK, NY 10023
(40.76898607173683, -73.98123133475644)",10023,2125643199,88
Parking Garage,1126345,79 STREET REALTY LLC,,"350 79 STREET
NEW YORK, NY 10021
(40.6282370106941, -74.02775118852496)",10021,2125358670,83
Parking Garage,1135083,WEST PLAZA GARAGE LLC,,"460 476 2 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)",10016,2126869800,96
Parking Garage,1135086,EAST PLAZA GARAGE LLC,,"479 493 1 AVENUE
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)",10016,2126869800,42
Parking Garage,1139987,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,"267 47 STREET
NEW YORK, NY 10036
(40.75997452132542, -73.98637359606901)",10036,2126296602,61
Parking Garage,1142057,22ND AND SIXTH PARKING LLC,,"60 23 STREET
NEW YORK, NY 10010
(40.74289673966683, -73.99279661605328)",10010,2126869800,195
Parking Garage,1146406,400 GARAGE CORP.,,"400 85 STREET
NEW YORK, NY 10028
(40.776137602328355, -73.94980461547193)",10028,2127367171,60
Parking Garage,1155049,MOTT PARK LLC,,"284 MOTT STREET
NEW YORK, NY 10012
(40.72421324184596, -73.9943564456159)",10012,2125643199,62
Parking Garage,1157180,ALFRED CAR PARK LLC,GGMC,"161 61 STREET
NEW YORK, NY 10023
(40.771360281894204, -73.98599774151177)",10023,2129966363,140
Parking Garage,1159260,CLAVER PLACE PARKING CORP.,,"12 CLAVER PLACE
BROOKLYN, NY 11238
(40.68279560696572, -73.95764674723075)",11238,7188570822,50
Parking Garage,1171189,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"56 80 GREENWICH STREET
NEW YORK, NY 10006
(40.70825614030866, -74.01355356964149)",10006,2125025490,988
Parking Garage,1172794,EMPIRE PARKING CORP,,"303 96TH STREET
NEW YORK, NY 10025
(40.79556103770267, -73.97392883987857)",10025,2122228333,95
Parking Garage,1175732,90 WASHINGTON CAR PARK LLC,GGMC,"90 WASHINGTON STREET
NEW YORK, NY 10006
(40.708176317180076, -74.01440845086806)",10006,2129966363,79
Parking Garage,1181002,TIMES SQUARE GARAGE LLC,MEYERS PARKING,"141 145 WEST 43 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)",10036,2125025490,423
Parking Garage,1182190,MANHATTAN PARKING EAST 48TH STREET CORP.,,"141 151 EAST 48TH STREET
NEW YORK, NY 10017
(40.75245652744684, -73.97297648087982)",10017,2124903460,68
Parking Garage,1182385,MANHATTAN PARKING GRAMERCY CORP,,"150 152 EAST 20 STREET
NEW YORK, NY 10003
(40.73194394755518, -73.98887214913032)",10003,2124903460,38
Parking Garage,1184091,"355 E. 72ND GARAGE, CORP",,"355 72 STREET
NEW YORK, NY 10021
(40.768279095612954, -73.95704879632467)",10021,2127367171,31
Parking Garage,1184260,"IMPARK RIVER, LLC",,"20 RIVER TERRACE
NEW YORK, NY 10282
(40.71667663139834, -74.01636331239273)",10282,2129051127,41
Parking Garage,1189957,VICTOR GARAGE CORP,,"275 PARK AVENUE
BROOKLYN, NY 11205
(40.69604328501621, -73.9674458446339)",11205,7188559571,96
Parking Garage,1190557,"EAST 39TH REALTY, LLC",,"221 38 STREET
NEW YORK, NY 10016
(40.74761818032067, -73.97480118224695)",10016,2125358670,95
Parking Garage,1192341,NEW YORK SKYPORTS INC,,"23 RIVER DRIVE
NEW YORK, NY 10010
(40.71251253070962, -73.97798958536906)",10010,2125667081,515
Parking Garage,1193087,QUIK PARK HUDSON LLC,,"140 RIVERSIDE BOULEVARD
NEW YORK, NY 10069
(40.77681113637466, -73.98912866404197)",10069,2128322657,41
Parking Garage,1026761,BHC CAR PARK LLC,GGMC,"240 260 WILLOUGHBY STREET
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)",11201,2129966363,379
Parking Garage,1028146,CHAMPION 29 LLC.,,"10 29 STREET
NEW YORK, NY 10016
(40.74497159261243, -73.98620960666199)",10016,2123085959,60
Parking Garage,1030925,PAAL PARKING CORP,,"2010 WESTCHESTER AVENUE
BRONX, NY 10462
(40.833570655129286, -73.85733616086824)",10462,7188929379,145
Parking Garage,1039455,475 PARKING LLC,,"475 PARK AVENUE
NEW YORK, NY 10016
(40.745393847676304, -73.98242124325532)",10016,2126869800,150
Parking Garage,1059262,CHAMPION 58 LLC,,"33 58 STREET
NEW YORK, NY 10019
(40.76413665778114, -73.97460537211084)",10019,2123085959,108
Parking Garage,1070788,DOUGHTY STREET REALTY INC,,"13 21 EVERIT STREET
BROOKLYN, NY 11201
(40.69467825879468, -73.98992086835335)",11201,7186312735,22
Parking Garage,1072920,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"90 OCEANA DRIVE
BROOKLYN, NY 11235
(40.57676533178842, -73.95853584446037)",11235,2126296602,262
Parking Garage,1074776,345 EAST GARAGE CORP,,"345 80 STREET
NEW YORK, NY 10075
(40.77318590561367, -73.95256994168267)",10075,2127367171,220
Parking Garage,1075136,SHERIDAN GARAGE CORPORATION,,"1040 52 FREEMAN STREET
BRONX, NY 10459
(40.82552621616202, -73.89313106784448)",10459,7183787688,96
Parking Garage,1076826,300 EAST 74 STREET CAR PARK LLC,GGMC,"300 74 STREET
NEW YORK, NY 10021
(40.77007386889528, -73.95738751135417)",10021,2129966363,94
Parking Garage,1084609,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,"185 85 STREET
NEW YORK, NY 10028
(40.77834452902694, -73.95491598141061)",10028,2125025490,320
Parking Garage,1089427,PRESTIGE GARAGE CORP.,,"25 SUTTON PLACE
NEW YORK, NY 10022
(40.758149241283775, -73.96009726706791)",10022,2127367171,150
Parking Garage,1099297,"205 THIRD PARKING, LLC",,"205 3 AVENUE
NEW YORK, NY 10003
(40.73607088546447, -73.98515237880423)",10003,2126869800,96
Parking Garage,1099885,MILLENNIUM GARAGE CORP,,"35 85 STREET
NEW YORK, NY 10028
(40.78005672591752, -73.95901808063275)",10028,2127367171,72
Parking Garage,1113135,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"910 924 9 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2126296602,318
Parking Garage,1114025,WEST 90TH GARAGE CORP.,,"101 90 STREET
NEW YORK, NY 10024
(40.78910942605746, -73.97037288288932)",10024,2127367171,64
Parking Garage,1114865,60 SUTTON PLACE PARKING LLC.,,"60 SUTTON PLACE
NEW YORK, NY 10022
(40.75528939723063, -73.96224664671797)",10022,2128887400,213
Parking Garage,1119290,"IMPARK 89, LLC",,"1229 MADISON AVENUE
NEW YORK, NY 10128
(40.78241523959923, -73.95762387179936)",10128,2129378660,43
Parking Garage,1126972,"BOBBY CAR PARK, LLC",,"105 UNDERHILL AVENUE
BROOKLYN, NY 11238
(40.67751765685577, -73.96576146466307)",11238,2122216111,160
Parking Garage,1133680,TIMES SQUARE 41ST STREET GARAGE LLC,,"220 41 STREET
NEW YORK, NY 10036
(40.75561380596294, -73.98808789816832)",10036,2127301777,124
Parking Garage,1135959,CENTRAL PARKING SYSTEM OF NEW YORK INC,,"525 35 EAST 71 STREET
NEW YORK, NY 10021
(40.76920532766377, -73.959183941086)",10021,2126296602,248
Parking Garage,1137167,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,"33 28 STREET
NEW YORK, NY 10001
(40.7454027497083, -73.98892401259643)",10001,2126296602,224
Parking Garage,1137171,"KINNEY PARKING SYSTEM, INC",CENTRAL PARKING SYSTEM,"38 42 WEST 46 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)",10036,2126296602,225
Parking Garage,1137946,KINNEY PARKING SYSTEM INC,CENTRAL PARKING SYSTEM,"153 161 WEST 48 STREET
NEW YORK, NY 10036
(40.75934682719435, -73.989860554421)",10036,2126296602,213
Parking Garage,1140019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,"882 92 7 AVENUE
NEW YORK, NY 10019
(40.76761164715987, -73.99180550022362)",10019,2126296602,225
Parking Garage,1144401,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,"138 146 EAST 50 STREET
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)",10022,2126296602,185
Parking Garage,1146910,"CHAMPION CONFUCIUS, LLC",,"2 DIVISION STREET
NEW YORK, NY 10002
(40.71408335983735, -73.9974210553684)",10002,2123085959,300
Parking Garage,1148651,1020 PARKING LLC,,"1020 GRAND
BRONX, NY 10451
(40.82069640711353, -73.92384136798472)",10451,2124903460,292
Parking Garage,1154974,45 EAST LLC,,"333 45 STREET
NEW YORK, NY 10017
(40.751070628686385, -73.9690838184026)",10017,2125643199,35
Parking Garage,1155050,22 EAST LLC,,"329 333 EAST 22 STREET
NEW YORK, NY 10010
(40.73914078212147, -73.98289845639863)",10010,2125643199,160
Parking Garage,1157614,"STATE STREET PARKING,LLC",,"71 SMITH STREET
BROOKLYN, NY 11201
(40.689321095673535, -73.98862169047332)",11201,9736437700,750
Parking Garage,1159674,NAGLE GARAGE CORP,,"31 NAGLE AVENUE
NEW YORK, NY 10040
(40.859664711951154, -73.92997897230669)",10040,2125679266,100
Parking Garage,1163769,CHAMPION MULBERRY LLC,,"62 MULBERRY STREET
NEW YORK, NY 10013
(40.71564728217908, -73.9994336126295)",10013,2123085959,191
Parking Garage,1171647,"PROPARK AMERICA NEW YORK, LLC",,"1090 AMSTERDAM AVENUE
NEW YORK, NY 10025
(40.80524788244413, -73.96224091603351)",10025,2125231051,135
Parking Garage,1182222,BED-STUY GARAGE INC.,,"1360 1406 FULTON STREET
BROOKLYN, NY 11216
(40.680758670876, -73.94926775090596)",11216,7186231808,50
Parking Garage,1182251,EAST 102ND ST REALTY LLC,,"333 102 STREET
NEW YORK, NY 10029
(40.787753299120894, -73.94350458622573)",10029,2125358670,155
Parking Garage,1187425,BOULEVARD GARAGE INC.,,"39 15 29TH STREET
LONG ISLND CITY, NY 11101
(40.74570244980828, -73.93866902925225)",11101,7187299509,130
Parking Garage,1189274,COURTVIEW OWNERS CORP,,"123 35 82ND ROAD
KEW GARDENS, NY 11415
(40.708286075142325, -73.82855612156771)",11415,7185759292,95
