EventName,EventTypeDescription,EventDescription,EventSetupStartDate,EventStartDate,EventEndDate,EventBreakDownEndDate,Acronym,IsRecurring,RecurringDaysNotes,Location,Borough,SpatialLocation
St. Donato,Block Party,Mass said on te block,8/7/10 9:00 AM,8/7/10 9:00 AM,8/7/10 9:00 PM,8/7/10 9:00 PM,SAPO,NO,, CONSELYEA STREET between GRAHAM AVENUE and MANHATTAN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (999168 199799, 999636 199858))"
Thomas S. Boyland Street,Block Party,BLOCK PARTY,7/10/10 9:00 AM,7/10/10 9:00 AM,7/10/10 8:00 PM,7/10/10 8:00 PM,SAPO,NO,, THOMAS S BOYLAND STREET between HEGEMAN AVENUE and LOTT AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1009069 178843, 1009188 178234))"
52nd Street Block Party,Block Party,Block Party,8/1/10 8:00 AM,8/1/10 8:00 AM,8/1/10 8:00 PM,8/1/10 9:00 PM,SAPO,NO,, 52 STREET between 3 AVENUE and 4 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (979880 174836, 980436 174395))"
St. Pius V Church Block Party,Block Party,"Fundraising for the church with food, beverages and other items that will be sold",6/26/10 9:00 AM,6/26/10 12:00 PM,6/26/10 8:00 PM,6/26/10 8:00 PM,SAPO,NO,, EAST  145 STREET between WILLIS AVENUE and BROOK AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1006489 235674, 1007372 235235))"
Jackie Robinson Family Day,Block Party,Celebration of the families in the Jackie Robinson Houses,7/10/10 10:00 AM,7/10/10 11:00 AM,7/10/10 7:00 PM,7/10/10 9:00 PM,SAPO,NO,,110 EAST  129 STREET between PARK AVENUE and LEXINGTON AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (1001641 233513, 1002089 233265))"
Holy Family Home Annual Carnival/Health Fair,Block Party,BLOCK PARTY,7/16/10 9:00 AM,7/16/10 10:00 AM,7/16/10 2:00 PM,7/16/10 4:00 PM,SAPO,NO,, 84 STREET between BAY   16 STREET and NEW UTRECHT AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (983510 161359, 983735 161202))"
Amity Street Block Party,Block Party,Amity street block party,8/7/10 8:00 AM,8/7/10 10:00 AM,8/7/10 7:00 PM,8/7/10 7:00 PM,SAPO,NO,, AMITY STREET between CLINTON STREET and HENRY STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (985117 190455, 985636 190267))"
Lincoln/schenectady-Utica Block Association,Block Party,block party,7/17/10 9:00 AM,7/17/10 10:00 AM,7/17/10 7:00 PM,7/17/10 7:00 PM,SAPO,NO,, LINCOLN PLACE between SCHENECTADY AVENUE and UTICA AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1002615 183343, 1003382 183287))"
Block Party,Block Party,(none provided),8/6/10 8:00 AM,8/6/10 8:00 AM,8/6/10 8:00 PM,8/6/10 8:00 PM,SAPO,NO,, HINSDALE STREET between RIVERDALE AVENUE and NEWPORT STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1012468 180672, 1012578 180113))"
East 45th Street block party,Block Party,East 45th Street Block Party,8/14/10 9:00 AM,8/14/10 11:00 AM,8/14/10 9:00 PM,8/14/10 9:00 PM,SAPO,NO,, EAST   45 STREET between AVENUE H and AVENUE I,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1002798 169738, 1002864 168884))"
Community Day,Block Party,block party,7/24/10 9:00 AM,7/24/10 1:00 PM,7/24/10 7:00 PM,7/24/10 9:00 PM,SAPO,NO,, BUFFALO AVENUE between EASTERN PARKWAY and LINCOLN PLACE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1004919 183178, 1004888 182840))"
Community Health Fair,Block Party,Community Health Fair,6/26/10 9:00 AM,6/26/10 10:00 AM,6/26/10 6:00 PM,6/26/10 6:00 PM,SAPO,NO,, MT HOPE PLACE between ANTHONY AVENUE and MONROE AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1010244 248385, 1010930 248208))"
Lexington Ave Block Association,Block Party,Block party,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 8:00 PM,8/7/10 8:00 PM,SAPO,NO,, LEXINGTON AVENUE between BEDFORD AVENUE and FRANKLIN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (996219 189571, 996818 189662))"
Brooklyn Plaza Medical Center Inc.'s 20th Annual Health Fair,Block Party,Commuinity Health Fair,8/7/10 8:00 AM,8/7/10 10:00 AM,8/7/10 4:00 PM,8/7/10 6:00 PM,SAPO,NO,, LAFAYETTE AVENUE between FORT GREENE PLACE and ST FELIX STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (990528 189540, 990755 189568))"
Buffalo Avenue Block Party,Block Party,block party,7/31/10 10:00 AM,7/31/10 10:00 AM,7/31/10 7:00 PM,7/31/10 7:00 PM,SAPO,NO,,Buffalo avenue: Buffalo Avenue between Atlantic Avenue and Pacific Street,Brooklyn,"LINESTRING (1005118 185938, 1005118 185938, 1005098 185678, 1005098 185678, 1005098 185678)"
West 165th St Block Party,Block Party,Block Party,6/24/10 8:00 AM,6/24/10 8:00 AM,6/24/10 6:00 PM,6/24/10 6:00 PM,SAPO,NO,, WEST  165 STREET between OGDEN AVENUE and SUMMIT AVENUE,Bronx,"GEOMETRYCOLLECTION (LINESTRING (1004025 243286, 1003792 243378))"
Redhook Old timer's Day Block Party,Block Party,reunion,8/8/10 8:00 AM,8/8/10 9:00 AM,8/8/10 9:00 PM,8/8/10 9:00 PM,SAPO,NO,, DWIGHT STREET between VERONA STREET and OTSEGO STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (982365 186270, 981662 185480))"
Tag Sale,Block Party,Open Air Flee Market,7/10/10 8:00 AM,7/10/10 8:00 AM,7/10/10 4:00 PM,7/10/10 4:00 PM,SAPO,NO,,226 EAST  120 STREET between 5 AVENUE and MADISON AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (999588 231920, 1000033 231677))"
La vida es un Carnaval,Block Party,festival geared towards living a healthy lifestyle via the art of dancing,8/15/10 9:00 AM,8/15/10 12:00 PM,8/15/10 9:00 PM,8/15/10 9:00 PM,SAPO,NO,, WEST  184 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (1003718 248932, 1003327 249149))"
Birthday Party,Block Party,A birthday party for children,7/17/10 11:00 AM,7/17/10 12:00 PM,7/17/10 9:00 PM,7/17/10 9:00 PM,SAPO,NO,," EAST  188 STREET between WEBSTER AVENUE and PARK AVENUE,  EAST  188 STREET between WEBSTER AVENUE and PARK AVENUE",Bronx,"LINESTRING (1013788 252571, 1014054 252402)"
Health Fair,Block Party,"Multiple Mobile Health Vans  Stage, DJ and Food",7/10/10 8:00 AM,7/10/10 10:00 AM,7/10/10 6:00 PM,7/10/10 7:00 PM,SAPO,NO,, ST NICHOLAS AVENUE between WEST  114 STREET and WEST  115 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (997385 231299, 997376 231603))"
E 84th St Block Party,Block Party,Block party is an event hosted by Wayne Clarke for E 84th st Block Association,8/14/10 12:00 PM,8/14/10 12:00 PM,8/14/10 8:00 PM,8/14/10 8:00 PM,SAPO,NO,, EAST   84 STREET between AVENUE M and AVENUE N,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1011154 169124, 1011659 168529))"
Bible Faith Community Day,Block Party,block party,7/31/10 8:00 AM,7/31/10 10:00 AM,7/31/10 6:00 PM,7/31/10 7:00 PM,SAPO,NO,, ST JOHN'S PLACE between UTICA AVENUE and SCHENECTADY AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1002636 183650, 1003404 183595))"
48th Street Block Party,Block Party,Block Party,8/22/10 8:00 AM,8/22/10 8:00 AM,8/22/10 9:00 PM,8/22/10 9:00 PM,SAPO,NO,, 48 STREET between 4 AVENUE and 5 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (981083 175211, 981710 174714))"
Edert Street Block Party,Block Party,block party,8/21/10 8:00 AM,8/21/10 8:00 AM,8/21/10 9:00 PM,8/21/10 9:00 PM,SAPO,NO,, ELDERT STREET between WILSON AVENUE and KNICKERBOCKER AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1009542 191067, 1009944 191604))"
DeWitt Clinton Family Day,Block Party,Family reunions of previous  tenants music food health,7/10/10 11:00 AM,7/10/10 12:00 PM,7/10/10 6:00 PM,7/10/10 8:00 PM,SAPO,NO,, EAST  109 STREET between LEXINGTON AVENUE and PARK AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (999069 228871, 999516 228622))"
43rd Street Block Party,Block Party,Block Party,8/22/10 8:00 AM,8/22/10 8:00 AM,8/22/10 9:00 PM,8/22/10 9:00 PM,SAPO,NO,, 43 STREET between 4 AVENUE and 5 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (981892 176232, 982518 175733))"
JABA Block Party,Block Party,block party,8/21/10 10:00 AM,8/21/10 10:00 AM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, JEFFERSON AVENUE between LEWIS AVENUE and MARCUS GARVEY BOULEVARD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1001343 188710, 1002154 188834))"
Sands Street Block Party,Block Party,block party,8/21/10 11:00 AM,8/21/10 12:00 PM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, SANDS STREET between NAVY STREET and GOLD STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (988983 194223, 989667 194198))"
East 46th Street Block Party,Block Party,Block Party,8/28/10 8:00 AM,8/28/10 8:00 AM,8/28/10 8:00 PM,8/28/10 8:00 PM,SAPO,NO,, EAST   46 STREET between CHURCH AVENUE and SNYDER AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1002489 176665, 1002541 176048))"
10th Ave Block Party,Block Party,Mission in action and lighthouse Christian Ministry Selling general merchandise to raise funds,9/4/10 8:30 AM,9/4/10 10:00 AM,9/4/10 8:00 PM,9/4/10 8:00 PM,SAPO,NO,, 10 AVENUE between 40 STREET and 41 STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (986058 173925, 985894 173722))"
winthrop st block party,Block Party,block party,8/21/10 8:00 AM,8/21/10 10:00 AM,8/21/10 7:00 PM,8/21/10 7:00 PM,SAPO,NO,, WINTHROP STREET between NOSTRAND AVENUE and ROGERS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (997252 178612, 998054 178678))"
Annual Canton Ct Block Party,Block Party,Block Party,8/28/10 8:00 AM,8/28/10 9:00 AM,8/28/10 9:00 PM,8/28/10 9:00 PM,SAPO,NO,, CANTON COURT between LOIS AVENUE and DEAD END,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1006671 152788, 1006266 153265))"
Macon Street Block Party,Block Party,block party,8/21/10 9:00 AM,8/21/10 10:00 AM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, MACON STREET between MALCOLM X BOULEVARD and PATCHEN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1003897 188279, 1004707 188401))"
Madison Street Association Block Party,Block Party,"Fun, Food for friends and neighbors",8/28/10 9:00 AM,8/28/10 9:00 AM,8/28/10 8:00 PM,8/28/10 8:00 PM,SAPO,NO,, MADISON STREET between KNICKERBOCKER AVENUE and WILSON AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1008083 192156, 1008484 192693))"
E 78th St Block Party,Block Party,block party,8/21/10 10:00 AM,8/21/10 10:00 AM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, EAST   78 STREET between GLENWOOD ROAD and FARRAGUT ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1006887 171672, 1007444 171016))"
MacDonough Street 35 Block Association Block Party,Block Party,MacDonough Street 35 Block Association Block Party,8/28/10 9:00 AM,8/28/10 10:00 AM,8/28/10 8:00 PM,8/28/10 8:00 PM,SAPO,NO,, MACDONOUGH STREET between LEWIS AVENUE and MARCUS GARVEY BOULEVARD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1001505 187642, 1002316 187765))"
2nd Annual 10th Ave Block Party,Block Party,block party,8/21/10 11:00 AM,8/21/10 11:00 AM,8/21/10 9:00 PM,8/21/10 9:00 PM,SAPO,NO,, 10 AVENUE between 85 STREET and 86 STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (978727 164670, 978552 164452))"
Keap Street Block Party,Block Party,block party,8/21/10 11:00 AM,8/21/10 12:00 PM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, KEAP STREET between SOUTH    4 STREET and SOUTH    5 STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (996693 197320, 996804 197551))"
9th Street Annual Block Party (ACM Singers),Block Party,Block Party,8/28/10 10:00 AM,8/28/10 11:00 AM,8/28/10 8:00 PM,8/28/10 8:00 PM,SAPO,NO,, WEST    9 STREET between HICKS STREET and HENRY STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (982929 185820, 983364 185660))"
Birthday Party (Avenue P),Block Party,block party,8/21/10 12:00 PM,8/21/10 2:00 PM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, AVENUE P between STILLWELL AVENUE and BAY PARKWAY,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (987465 160466, 987789 160512))"
171st Street Block Association,Block Party,"Street closed between 116th ave and Foch Blvd for annual Family and friends ""Say no to Drug""",8/28/10 10:00 AM,8/28/10 11:00 AM,8/28/10 5:00 PM,8/28/10 6:00 PM,SAPO,NO,, 171 STREET between 116 AVENUE and FOCH BOULEVARD,Queens,"GEOMETRYCOLLECTION (LINESTRING (1046071 190086, 1046334 189492))"
Atkins Avenue Block Party,Block Party,Atkins Ave Block Party,8/8/10 9:00 AM,8/8/10 9:00 AM,8/8/10 8:00 PM,8/8/10 8:00 PM,SAPO,NO,, ATKINS AVENUE between NEW LOTS AVENUE and HEGEMAN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1018219 182885, 1018612 182165))"
Faith Assemblies Community Block Party,Block Party,Block Party,8/28/10 8:00 AM,8/28/10 12:00 PM,8/28/10 8:00 PM,8/28/10 8:00 PM,SAPO,NO,, GATES AVENUE between BROADWAY and RALPH AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1005332 190407, 1005862 190486))"
Survivors Fountain Hope Wellness Initiative Inc.,Block Party,Health Fair Event,7/10/10 11:00 AM,7/10/10 12:00 PM,7/10/10 3:00 PM,7/10/10 3:30 PM,SAPO,NO,, WEST  147 STREET between CONVENT AVENUE and AMSTERDAM AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (999395 240197, 999012 240409))"
Conselyea Street Block Party,Block Party,Block Party,8/8/10 10:00 AM,8/8/10 10:00 AM,8/8/10 10:00 PM,8/8/10 10:00 PM,SAPO,NO,, CONSELYEA STREET between GRAHAM AVENUE and MANHATTAN AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (999168 199799, 999636 199858))"
Union/Nostrand Street Festival,Block Party,Block Party,8/28/10 10:00 AM,8/28/10 12:00 PM,8/28/10 7:00 PM,8/28/10 8:00 PM,SAPO,NO,, UNION STREET between NOSTRAND AVENUE and ROGERS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (997190 183056, 997958 183002))"
Family Day,Block Party,Barbeque and Children playing and music,8/6/10 9:00 AM,8/6/10 9:00 AM,8/6/10 6:00 PM,8/6/10 6:00 PM,SAPO,NO,, LINCOLN PLACE between ALBANY AVENUE and TROY AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1001078 183451, 1001846 183397))"
Residents of Euclid Avenue,Block Party,Residents of Euclid Avenue,8/13/10 8:00 AM,8/13/10 10:00 AM,8/13/10 8:00 PM,8/13/10 8:00 PM,SAPO,NO,, EUCLID AVENUE between JAMAICA AVENUE and ETNA STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1018931 189414, 1019038 188849, 1019167 188175, 1019312 187443, 1019353 187260, 1019399 187015, 1019445 186769, 1019495 186524, 1019691 185832, 1019779 185370, 1019867 184908, 1019950 184443, 1020055 183885, 1020157 183328, 1020296 182657, 1020381 182210, 1020486 181650, 1020592 181086, 1018785 190202))"
22nd Street Block Party,Block Party,Block Party,8/28/10 8:00 AM,8/28/10 8:00 AM,8/28/10 9:00 PM,8/28/10 9:00 PM,SAPO,NO,, 22 STREET between 4 AVENUE and 5 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (985283 180512, 985914 180020))"
Eldridge St. Community Fair,Block Party,block party,8/7/10 8:00 AM,8/7/10 9:00 AM,8/7/10 6:00 PM,8/7/10 7:00 PM,SAPO,NO,, ELDRIDGE STREET between DELANCY STREET and RIVINGTON STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (986666 201404, 986848 201871))"
26th Annual National Night Out,Block Party,block party,8/3/10 9:00 AM,8/3/10 5:00 PM,8/3/10 9:00 PM,8/3/10 9:00 PM,SAPO,NO,, WEST  135 STREET between FREDERICK DOUGLASS BOULEVARD and ADAM CLAYTON POWELL BOULEVARD,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (999834 236320, 999046 236755))"
6th street family day event,Block Party,block party,8/7/10 10:00 AM,8/7/10 12:00 PM,8/7/10 8:00 PM,8/7/10 9:00 PM,SAPO,NO,, EAST    6 STREET between AVENUE C and AVENUE B,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (989340 203230, 989993 202870))"
West 3rd Street Block Party,Block Party,"simple block party, no rides just a dj on ground without stages, cables and no generators. keeping it as simple & safe as possible.",8/7/10 8:00 AM,8/7/10 9:00 AM,8/7/10 9:00 PM,8/7/10 9:00 PM,SAPO,NO,, WEST    3 STREET between KINGS HIGHWAY and QUENTIN ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (990877 159563, 990792 160150))"
Bainbridge Street Block Party,Block Party,block party,7/31/10 8:00 AM,7/31/10 9:00 AM,7/31/10 8:00 PM,7/31/10 8:00 PM,SAPO,NO,, BAINBRIDGE STREET between MALCOLM X BOULEVARD and STUYVESANT AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1003208 187355, 1004018 187477))"
Block Party,Block Party,BLOCK PARTY,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 7:00 PM,8/7/10 8:00 PM,SAPO,NO,, EAST   93 STREET between KINGS HIGHWAY and WILLMOHR STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1006151 178713, 1006564 178228))"
The 111th Street Boys Oldtimers Day,Block Party,Oldtimers Stickball game and Block Party,7/11/10 8:30 AM,7/11/10 8:30 AM,7/11/10 7:30 PM,7/11/10 7:30 PM,SAPO,NO,, EAST  111 STREET between FIFTH AVENUE and MADISON AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (998428 229824, 998876 229576))"
East 71 Streets 2nd annual Block Party,Block Party,block party,8/14/10 8:00 AM,8/14/10 8:00 AM,8/14/10 10:00 PM,8/14/10 10:00 PM,SAPO,NO,," EAST   71 STREET between AVENUE V and AVENUE W,  EAST   71 STREET between AVENUE V and AVENUE W,  EAST   71 STREET between AVENUE V and AVENUE W",Brooklyn,"LINESTRING (1010450 164519, 1010955 163924)"
A Tribute to the Ones We Lost,Block Party,Block party,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 6:30 PM,8/7/10 6:30 PM,SAPO,NO,, SULLIVAN PLACE between NOSTRAND AVENUE and ROGERS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (997071 181380, 997843 181442))"
Corporal Stone St. Block Party,Block Party,Block Party,7/4/10 9:00 AM,7/4/10 10:00 AM,7/4/10 9:00 PM,7/4/10 9:00 PM,SAPO,NO,, CORPORAL STONE STREET between 35 AVENUE and 36 AVENUE,Queens,"GEOMETRYCOLLECTION (LINESTRING (1047411 219655, 1047495 219270))"
Solitdire Homeowners,Block Party,Block Party,7/10/10 9:00 AM,7/10/10 9:00 AM,7/10/10 9:00 PM,7/10/10 9:00 PM,SAPO,NO,, WEST   22 STREET between MERMAID AVENUE and NEPTUNE AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (987179 150032, 987301 149187))"
Block Party,Block Party,not provided,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 7:00 PM,8/7/10 8:00 PM,SAPO,NO,, EAST   91 STREET between KINGS HIGHWAY and LENOX ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1005662 178486, 1005981 178094))"
27th Ave Block Party,Block Party,BLOCK PARTY,7/17/10 8:00 AM,7/17/10 8:00 AM,7/17/10 9:00 PM,7/17/10 9:00 PM,SAPO,NO,, 27 AVENUE between CROPSEY AVENUE and HARWAY AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (987537 154266, 987186 153820, 987027 153675, 987027 153675))"
Gotham Ave Block Party,Block Party,Block party,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 9:00 PM,8/7/10 9:00 PM,SAPO,NO,, GOTHAM AVENUE between GERRITSEN AVENUE and DEAD END,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1004129 153891, 1004696 154370, 1005342 154920))"
Annual 160th Street Block Party,Block Party,Annual Block Party for homeowners between 35th & 33rd Avenues on 160th Street in Flushing.,9/18/10 10:00 AM,9/18/10 10:00 AM,9/18/10 9:00 PM,9/18/10 9:00 PM,SAPO,NO,, 160 STREET between 35 AVENUE and 33 AVENUE,Queens,"GEOMETRYCOLLECTION (LINESTRING (1038222 218258, 1038316 219179))"
112th st block party,Block Party,block party,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 8:00 PM,8/7/10 8:00 PM,SAPO,NO,, WEST  112 STREET between LENOX AVENUE and 5 AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (998561 230061, 997670 230545))"
O'Brien Block Party,Block Party,Getting to know your neighbors,7/18/10 8:00 AM,7/18/10 11:00 AM,7/18/10 9:00 PM,7/18/10 9:00 PM,SAPO,NO,, O'BRIEN PLACE between LINCOLN AVENUE and NICHOLS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1020304 189415, 1020538 189457))"
Block Party,Block Party,BLOCK PARTY,8/7/10 8:00 AM,8/7/10 8:00 AM,8/7/10 7:00 PM,8/7/10 8:00 PM,SAPO,NO,, EAST   48 STREET between FOSTER AVENUE and FARRAGUT ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1003388 172335, 1003457 171483))"
Arts on the Block,Block Party,block party,8/8/10 10:30 AM,8/8/10 12:00 PM,8/8/10 5:00 PM,8/8/10 5:00 PM,SAPO,NO,, WEST  148 STREET between 8 AVENUE and BRADHURST AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (1000713 239764, 1000440 239915))"
Block Party,Block Party,BLOCK PARTY,8/7/10 8:00 AM,8/7/10 8:30 AM,8/7/10 9:00 PM,8/7/10 9:00 PM,SAPO,NO,, PLUMB    2 STREET between ALLEN AVENUE and AVENUE W,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1003277 156775, 1003331 156417))"
St Marks Day for the Kids,Block Party,Kids Play Day,8/7/10 9:00 AM,8/7/10 9:00 AM,8/7/10 10:00 PM,8/7/10 10:00 PM,SAPO,NO,, ST MARKS AVENUE between NOSTRAND AVENUE and ROGERS AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (997351 185330, 998119 185276))"
"Metropolitan Hospital Center's ""Family Day"" annual Health Fair",Block Party,block party,8/14/10 8:00 AM,8/14/10 10:00 AM,8/14/10 3:00 PM,8/14/10 4:00 PM,SAPO,NO,, EAST  106 STREET between 3 AVENUE and LEXINGTON AVENUE,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (999125 227918, 999569 227672))"
Sterling Place Civic Association,Block Party,block party,8/7/10 9:00 AM,8/7/10 11:00 AM,8/7/10 6:00 PM,8/7/10 6:15 PM,SAPO,NO,, STERLING PLACE between NOSTRAND AVENUE and NEW YORK AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (998050 184301, 998819 184247))"
Canal Block Party,Block Party,Block Party for the kids on their successful school year,7/17/10 12:00 PM,7/17/10 12:00 PM,7/17/10 9:00 PM,7/17/10 9:00 PM,SAPO,NO,, CANAL AVENUE between WEST   37 STREET and DEAD END,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (983664 150246, 983543 150228, 983248 150185))"
Bowden St Block Party,Block Party,Bowden St Block Party,8/28/10 8:00 AM,8/28/10 9:00 AM,8/28/10 9:00 PM,8/28/10 9:00 PM,SAPO,NO,, BOWDEN STREET between ADAMS AVENUE and HUNTER AVENUE,Staten Island,"GEOMETRYCOLLECTION (LINESTRING (955569 151557, 955284 151241))"
15th Road Block Association,Block Party,Block Party,9/11/10 10:00 AM,9/11/10 10:00 AM,9/11/10 9:00 PM,9/11/10 9:00 PM,SAPO,NO,, 15 ROAD between 149 STREET and 150 STREET,Queens,"GEOMETRYCOLLECTION (LINESTRING (1035129 225865, 1035890 225786))"
Glitter Nation Artist Collective Block Party,Block Party,"We are a Glitter Nation, a brooklyn based artist collective having a block party on our studio street to celebrate labor day with our neighbors. We don't intend on this event being open to the public.",9/5/10 1:00 PM,9/5/10 2:00 PM,9/5/10 10:00 PM,9/5/10 11:00 PM,SAPO,NO,, DOUGLASS STREET between HOYT STREET and BOND STREET,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (986906 188000, 987503 187698))"
11th Street Block Party,Block Party,We will block off 1/2 of 11th Street (bet 7th & 8th ave.) to celebrate a day with our neighbors.,9/12/10 9:00 AM,9/12/10 10:00 AM,9/12/10 8:00 PM,9/12/10 9:00 PM,SAPO,NO,, 11 STREET between 7 AVENUE and 8 AVENUE,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (989082 181807, 989737 181391))"
Shiel Avenue Block Party,Block Party,Daytime Block Party,8/21/10 12:00 PM,8/21/10 12:00 PM,8/21/10 8:00 PM,8/21/10 8:00 PM,SAPO,NO,, SHIEL AVENUE between WINANT AVENUE and BLOOMINGDALE ROAD,Staten Island,"GEOMETRYCOLLECTION (LINESTRING (924203 137902, 923386 137659))"
Rally Day,Block Party,Rally day for St. John's Lutheran Church and School,9/12/10 8:00 AM,9/12/10 11:00 AM,9/12/10 2:00 PM,9/12/10 3:00 PM,SAPO,NO,, CATHERINE COURT between JEWETT AVENUE and SIMONSON PLACE,Staten Island,"GEOMETRYCOLLECTION (LINESTRING (948036 169440, 947728 169556))"
"Manhattanville Houses ""Let's Go Green""",Block Party,block party,8/14/10 8:00 AM,8/14/10 8:00 AM,8/14/10 9:00 PM,8/14/10 9:00 PM,SAPO,NO,, OLD BROADWAY between WEST  131 STREET and WEST  133 STREET,Manhattan,"GEOMETRYCOLLECTION (LINESTRING (996484 236957, 996624 237475))"
St. Alban's Annual Fair,Block Party,Street closed for games and activities for children,8/7/10 1:00 PM,8/7/10 1:00 PM,8/7/10 8:00 PM,8/7/10 8:00 PM,SAPO,NO,, EAST   94 STREET between GLENWOOD ROAD and FARRAGUT ROAD,Brooklyn,"GEOMETRYCOLLECTION (LINESTRING (1010234 174313, 1010381 174139, 1010697 173768))"
