name,boro,geo_dist,projdesc,award,consttype,buildingid,Location 1
LAFAYETTE HS,K,21,UPGRADE BOILER PLANT/CLIMATE CONTROL,12400000,CIP,K400,"2630 BENSON AVENUE
Brooklyn, NY 11214
(40.59448014682783, -73.98615807328032)"
"LAW, GOVERNMENT & COMMUNITY HS",Q,29,CAMPUS RESTRUCTURING,435000,CIP,Q490,"207 01 116TH AVENUE
CAMBRIA HEIGHTS, NY 11411
(40.694293339066405, -73.73568329125084)"
LEHMAN AF,X,8,ATHLETIC FIELDS,3748000,CIP,X406,"3000 TREMONT AVENUE
BRONX, NY 10461
(40.840618266233676, -73.83830582037355)"
LEHMAN HS,X,8,FY07 RESO A COMPUTER EQUIPMENT UPGR,75757.5758,CIP,X405,"3000 TREMONT AVENUE
Bronx, NY 10461
(40.840618266233676, -73.83830582037355)"
LEHMAN HS,X,8,STAIR WINDOWS,1087000,CIP,X405,"3000 TREMONT AVENUE
Bronx, NY 10461
(40.840618266233676, -73.83830582037355)"
LIFE SCIENCE SECONDARY (@M645),M,2,FLOOD ELMNTN/EXT MASONRY/PARAPETS/ROOFS,7819500,CIP,M645,"320 96 STREET
New York, NY 10028
(40.616237105936534, -74.03340357628376)"
MARTIN LUTHER KING HS,M,3,AUD/ALARM REPLACEMENT/FINAL C OF O/VENTILATION,4647000,CIP,M490,"122 AMSTERDAM AVENUE
New York, NY 10023
(40.77425845083081, -73.98485156692796)"
METROPOLITAN HS @ FORMER PS99X,X,12,CODE COMPLIANCE/PA SYSTEM/PARAPET/MASONRY/ROOFS,5186000,CIP,X099,"1180 REVEREND JAMES POLITE AVE
BRONX, NY 10459
(40.82552621616202, -73.89313106784448)"
MID-MAN  ADULT TRAINING CENTER,M,3,VENTILATION/ELEC SYSTEM,3711000,CIP,M081,"212 120TH ST
NEW YORK, NY 10027
(40.80602392163958, -73.95128826417978)"
MIDDLE COLLEGE HS  @LAGUARDIA,Q,30,DEMOLITION FOR MIDDLE COLLEGE HS,13112000,CIP,Q520,"45 35 VAN DAM ST
LONG ISLAND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
MIDWOOD AF (MAIN),K,21,FY11 RESO A ATHLETIC FIELDS,2146000,CIP,K406,"1124 17TH STREET
BROOKLYN, NY 11230
(40.62291467677543, -73.95905922151692)"
MNHT CENTER FOR MATH & SCIENCE,M,4,INTERIOR SPACES MARBLE PANELS ONLY,843000,CIP,M435,"260 PLEASANT AVENUE
New York, NY 10029
(40.794391919064594, -73.9336482061862)"
MORRIS HS,X,9,CERTIFICATE OF OCCUPANCY,5229000,CIP,X400,"1110 BOSTON RD
BRONX, NY 10456
(40.8276109731601, -73.90448079300582)"
MS 334,K,17,SCIENCE DEMO ROOM UPGRADE,808000,CIP,K390,"1224 PARK PLACE
Brooklyn, NY 11213
(40.67268717852895, -73.93695770187597)"
Middle College HS @ LaGuardia,Q,78,New,27927000,CAP,Q520,"45 35 Van Dam St
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)"
Middle College HS @ LaGuardia,Q,78,Room Conversion,13112000,CAP,Q520,"45 35 Van Dam St
Long Island City, NY 11101
(40.74570244980828, -73.93866902925225)"
NEW DORP HS,R,31,LL 41/16 COMPLIANCE,10621.99,CIP,R435,"465 NEW DORP LANE
Staten Island, NY 10306
(40.56922370455037, -74.10726241466374)"
NEW HORIZONS SCHOOL,K,15,FY11 RESO A AUDITORIUM UPDATE,228000,CIP,K032,"317 HOYT STREET
Brooklyn, NY 11231
(40.680429275762485, -73.99193273420018)"
NEW HS,M,2,DEMOLITION FOR IS/HS 868,2182222,CIP,M868,"10 15TH ST
NEW YORK, NY 10003
(40.73631370241236, -73.99224802961538)"
NEW UTRECHT HS,K,20,EXT MASONRY/FLOOD ELMNTN/PARAPETS/ROOFS,10570000,CIP,K445,"1601 80TH ST
Brooklyn, NY 11214
(40.61345273159829, -74.00368977353216)"
NEW UTRECHT HS,K,20,FY09 RESO A LIBRARY UPGRADE,353250,CIP,K445,"1601 80TH ST
Brooklyn, NY 11214
(40.61345273159829, -74.00368977353216)"
NEWCOMERS HS,Q,30,EXT MASONRY/PARAPETS/FLOOD ELMNTN,8395000,CIP,Q450,"28 01 41ST AVENUE
LONG ISLAND CITY, NY 11101
(40.74570244980828, -73.93866902925225)"
NEWTOWN HS,Q,24,FLOORS,2662000,CIP,Q455,"48 01 90 STREET
QUEENS, NY 11373-4099
(40.74125600016447, -73.87475600018911)"
P.S. 1,M,2,EXTERIOR MASONRY/PARAPETS/PAVED AREAS-CONCRETE,5139000,CIP,M001,"8 HENRY STREET
New York, NY 10038
(40.712756780441026, -73.99734184420807)"
P.S. 1,X,7,IP SURVEILLANCE CAMERAS,1056000,CIP,X001,"335 152 STREET
Bronx, NY 10451
(40.818762661509254, -73.91874134609046)"
P.S. 100,Q,27,FLOOD ELMNTN/EXT MASONRY/PARAPETS,3199900,CIP,Q100,"111 11 118 STREET
JAMAICA, NY 11420
(40.67334524268887, -73.81770717164864)"
P.S. 101,K,21,RESO A - RESO A SCIENCE LAB,268800,CIP,K101,"2360 BENSON AVENUE
Brooklyn, NY 11214
(40.59787681678778, -73.99175987597347)"
P.S. 101,M,4,ACCESSIBILITY,3689000,CIP,M101,"141 111 STREET
NEW YORK, NY 10029
(40.79566898981534, -73.94443112132485)"
P.S. 101,M,4,ELEC UPGRADE,287950,CIP,M101,"141 111 STREET
NEW YORK, NY 10029
(40.79566898981534, -73.94443112132485)"
P.S. 103,X,11,FY11 RESO A AUDITORIUM UPGRADE,419000,CIP,X103,"4125 CARPENTER AVENUE
Bronx, NY 10466
(40.89224585042134, -73.8614419003563)"
P.S. 105,Q,27,SWB EXT MASONRY/PARAPETS,1050000,CIP,Q105,"420 BEACH 51 STREET
FAR ROCKAWAY, NY 11691
(40.59623844790385, -73.78189411037111)"
P.S. 108,K,19,FY11 RESO A ELECTRICAL SYSTEM,345900,CIP,K108,"200 LINWOOD STREET
Brooklyn, NY 11208
(40.681012991519715, -73.88403250144414)"
P.S. 108,Q,27,CAFE MULTIPURPOSE ROOM UPG,233000,CIP,Q108,"108 10 109 AVENUE
SO OZONE PARK, NY 11420
(40.67334524268887, -73.81770717164864)"
P.S. 11,X,9,FLOOD ELMNTN/ROOFS/MASONRY/PARAPETS,6116000,CIP,X011,"1257 OGDEN AVENUE
Bronx, NY 10456
(40.83927054580515, -73.92578827979769)"
P.S. 11,X,9,SIDEWALK BRIDGE,19442.75,CIP,X011,"1257 OGDEN AVENUE
Bronx, NY 10456
(40.83927054580515, -73.92578827979769)"
P.S. 110,K,14,ROOFS/WINDOWS,3778000,CIP,K110,"124 MONITOR STREET
Brooklyn, NY 11222
(40.723642548516075, -73.94223625609604)"
P.S. 110,M,1,FLOOD ELIMINATION,547000,CIP,M110,"285 DELANCY STREET
New York, NY 10002
(40.715620302518175, -73.97981939917048)"
P.S. 111,M,2,CLIMATE CONTROL/HEATING PLANT UPGRADE,4305729,CIP,M111,"440 53 STREET
New York, NY 10019
(40.76616371249781, -73.98953901918651)"
P.S. 111,Q,30,HEATING PLANT UPG/CLIMATE CTRL,3811000,CIP,Q111,"37 15 13 STREET
QUEENS, NY 11101
(40.74570244980828, -73.93866902925225)"
P.S. 112,K,20,PARAPETS/EXT MASONRY/FLOOD ELMNTN,1420000,CIP,K112,"7115 15 AVENUE
Brooklyn, NY 11228
(40.619828663672465, -74.00071660633716)"
P.S. 115,K,18,EXT MASONRY/ROOFS/PARAPETS,5747000,CIP,K115,"1500 92ND ST
Brooklyn, NY 11236
(40.63477746307819, -73.89697682968284)"
P.S. 115,M,6,EXTERIOR MASONRY/HAZARDOUS-PARAPETS/ROOFS,2979000,CIP,M115,"586 177 STREET
New York, NY 10033
(40.84641769845956, -73.93487128414608)"
P.S. 116,K,32,FY11 RESO A SCIENCE,388000,CIP,K116,"515 KNICKERBOCKER AVENUE
Brooklyn, NY 11237
(40.69774977550555, -73.91643018838859)"
P.S. 116,M,2,FY11 RESO A PLAYGROUND REDEVELOPMENT,300000,CIP,M116,"210 33 STREET
New York, NY 10016
(40.74491153710013, -73.97834193335258)"
P.S. 12,X,11,HEATING PLT UPG/CLIMATE CNTRL/LOW-VOLT ELECTRICAL,5722850,CIP,X012,"2555 TRATMAN AVENUE
Bronx, NY 10461
(40.84010546581863, -73.84450496658253)"
P.S. 121,K,21,SWB-EXT MASONRY,1295000,CIP,K121,"5301 20TH AVENUE
Brooklyn, NY 11204
(40.62330608676003, -73.97875690985585)"
P.S. 121,Q,28,CLIMATE CONTROL/HEATING PLANT UPGRADE,3305000,CIP,Q121,"126 10 109 AVENUE
SO OZONE PARK, NY 11420
(40.67334524268887, -73.81770717164864)"
P.S. 123,M,5,FY10 RESO A SCIENCE LAB UPGRADE,444000,CIP,M123,"301 140 STREET
New York, NY 10030
(40.81972211192899, -73.94425698262674)"
P.S. 124,Q,27,EXT MASONRY/PARAPETS,3342000,CIP,Q124,"129 15 150 AVENUE
SO OZONE PARK, NY 11420
(40.67334524268887, -73.81770717164864)"
P.S. 124 (ECF),M,2,PARAPETS/EXTERIOR MASONRY,1367000,CIP,M124,"40 DIVISION STREET
New York, NY 10002
(40.71420254465372, -73.99579682364542)"
P.S. 126,M,2,FY10 RESO A LIBRARY,415000,CIP,M126,"80 CATHERINE STREET
New York, NY 10038
(40.710854298398544, -73.9966721705172)"
P.S. 126 (ECF),X,9,MASONRY/ROOFS/FLOOD ELMNTN/PARAPETS,5194000,CIP,X126,"175 166 STREET
Bronx, NY 10452
(40.83581122271332, -73.9283372125368)"
P.S. 127,K,20,EXT MASONRY,2149000,CIP,K127,"7805 7 AVENUE
Brooklyn, NY 11209
(40.62406545959219, -74.01885662493696)"
P.S. 127,Q,30,AUD UPG/CAFETERIA MULTIPURPOSE RM UPG,985000,CIP,Q127,"98 01 25 AVENUE
EAST ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)"
P.S. 129 (PAIRED W X234),X,12,EXTERIOR MASONRY,2598000,CIP,X129,"2055 MAPES AVENUE
Bronx, NY 10460
(40.84549455019818, -73.8865507352739)"
P.S. 129 (PAIRED W X234),X,12,SIDEWALK BRIDGE (EXT. MASONRY),32157.31,CIP,X129,"2055 MAPES AVENUE
Bronx, NY 10460
(40.84549455019818, -73.8865507352739)"
P.S. 132,K,14,FLOOD ELMNTN/WINDOWS/PARAPETS,6597000,CIP,K132,"320 MANHATTAN AVENUE
Brooklyn, NY 11206
(40.71219332880771, -73.9456777023208)"
P.S. 132,K,14,FY10 RESO A GYM RENOVATION,70000,CIP,K132,"320 MANHATTAN AVENUE
Brooklyn, NY 11206
(40.71219332880771, -73.9456777023208)"
P.S. 132,K,14,WORK REQUIRED TO OBTAIN C OF O,932000,CIP,K132,"320 MANHATTAN AVENUE
Brooklyn, NY 11206
(40.71219332880771, -73.9456777023208)"
P.S. 132,M,6,FY11 RESO A SCIENCE LAB,243500,CIP,M132,"185 WADSWORTH AVENUE
New York, NY 10033
(40.85071645775963, -73.93432269770818)"
P.S. 132,X,9,INTERIOR STRUCTURAL INVESTMENT - TEST,5005000,CIP,X132,"1245 WASHINGTON AVENUE
Bronx, NY 10456
(40.83194251909681, -73.90656891847989)"
P.S. 135,K,18,PARAPETS/FLOOD ELMNTN/ROOFS,1784000,CIP,K135,"684 LINDEN BLVD
Brooklyn, NY 11203
(40.65357812334444, -73.93311810571299)"
P.S. 138,K,17,ROOFS/PARAPETS/EXT MASONRY,2793000,CIP,K138,"760 PROSPECT PLACE
Brooklyn, NY 11216
(40.674353675202426, -73.95141196170016)"
P.S. 138,K,17,SCIENCE DEMO ROOM UPGRADE,762000,CIP,K138,"760 PROSPECT PLACE
Brooklyn, NY 11216
(40.674353675202426, -73.95141196170016)"
P.S. 138 (@M844),M,2,SWB - FACADE/PARAPETS/ROOFS,8833000,CIP,M844,"400 1ST AVENUE
New York, NY 10010
(40.73757796345728, -73.97802974198606)"
P.S. 139 AX (OLD 134),K,22,LL 41/16 COMPLIANCE,100000,CIP,K849,"4001 18 AVENUE
Brooklyn, NY 11208
(40.632244467750226, -73.97391982714538)"
P.S. 14,R,31,ROOFS/EXT MASONRY/WINDOWS/FLOORS/SAFETY SYSTEMS,3315000,CIP,R014,"100 TOMPKINS AVENUE
Staten Island, NY 10304
(40.622148795415534, -74.07837687526822)"
P.S. 140,Q,28,PARAPETS,3269000,CIP,Q140,"116 00 166 ST
JAMAICA, NY 11434
(40.6769452621142, -73.77530690169215)"
P.S. 142,M,1,ELEVATORS & ESCALATORS/TOILETS-STUDENTS,2995000,CIP,M142,"100 ATTORNEY STREET
New York, NY 10002
(40.71945606619147, -73.98376386528082)"
P.S. 145,K,32,PARAPETS/FLOOD ELMNTN/EXT MASONRY/EXT LIGHTING,4737575,CIP,K145,"100 NOLL STREET
Brooklyn, NY 11206
(40.7016598916867, -73.93232374110994)"
P.S. 146 (@K142),K,15,PARAPETS/EXTERIOR MASONRY/ROOFS/WINDOWS/FLOOD,13106731,CIP,K142,"610 HENRY STREET
Brooklyn, NY 11231
(40.68011121449034, -74.00136121297172)"
P.S. 147,Q,29,FLOORS,537000,CIP,Q147,
P.S. 15,K,15,LIBRARY UPGRADE,411054,CIP,K015,
P.S. 153,M,6,DEFECTIVE MASONRY/ROOFS/DOORS/PARAPETS,4134000,CIP,M153,"1750 AMSTERDAM AVENUE
New York, NY 10031
(40.8262600138953, -73.94689450753023)"
P.S. 154,Q,25,ACCESSIBILITY/ELEC SYS/MASONRY/ROOFS/FLOOD/PARAPET,6127000,CIP,Q154,"75 02 162 STREET
FLUSHING, NY 11366
(40.72816440726166, -73.79226817393703)"
P.S. 155,M,4,FLOOD ELMNTN/PARAPETS/EXT MASONRY,2350000,CIP,M155,"319 117 STREET
New York, NY 10035
(40.797501313680264, -73.93679763009355)"
P.S. 156,Q,29,SWB - EXT MASONRY/FLOOD ELMNTN/WINDOWS/PARAPETS,7354000,CIP,Q156,"229 02 137 AVENUE
SPRINGFIELD GAR, NY 11413
(40.66971118122609, -73.75087393328533)"
P.S. 156,X,7,CINDER BLOCK WALLS & CEILING BEAMS/FLOOD ELIMN,9780000,CIP,X156,"750 CONCOURSE VILLAGE
Bronx, NY 10451
(40.82226334901861, -73.92024166597307)"
P.S. 157,K,14,SWB-MASONRY,1843000,CIP,K157,"850 KENT AVENUE
Brooklyn, NY 11205
(40.69546110023352, -73.95959701353979)"
P.S. 157,X,7,FY11 RESO A LIBRARY UPGRADE,178000,CIP,X157,"757 CAULDWELL AVENUE
Bronx, NY 10456
(40.81920242494304, -73.90861019557366)"
P.S. 158,K,19,EXT MASONRY/FLOOD ELIMINATION,4244000,CIP,K158,"400 ASHFORD STREET
Brooklyn, NY 11207
(40.672471173748015, -73.88480467674624)"
P.S. 16,K,14,CEC REQUEST - STUDENT CAFETERIA UPG,1139000,CIP,K016,"157 WILSON STREET
Brooklyn, NY 11211
(40.706051659903764, -73.96144993294666)"
P.S. 160,X,11,FY11 RESO A LIBRARY,345300,CIP,X160,"4140 HUTCHINSON RIVER PARKWAY
Bronx, NY 10475
(40.86466106194175, -73.8242748469253)"
P.S. 161,K,17,LIBRARY UPGRADE,89500,CIP,K161,"330 CROWN STREET
Brooklyn, NY 11225
(40.66615564566118, -73.94885261044026)"
P.S. 163,X,9,INTERIOR MODERNIZATIONS/ROOFS,3143000,CIP,X163,"2075 WEBSTER AVENUE
Bronx, NY 10457
(40.85190466527893, -73.89841328719618)"
P.S. 165,M,3,ROOF TILES & SNOW GUARD/EXT MASONRY/FLOOD/PARAPETS,2118994.65,CIP,M165,"234 109 STREET
New York, NY 10025
(40.80275180384162, -73.96526411800443)"
P.S. 17,K,14,WINDOWS/EXT MASONRY/FLOOD ELMNTN/ROOFS/PARAPETS,7842000,CIP,K017,"208 5 STREET
Brooklyn, NY 11211
(40.715277522913524, -73.95663645640386)"
P.S. 173,M,6,FIRE ALARM,359900,CIP,M173,"306 FORT WASHINGTON AVE
New York, NY 10033
(40.84561730185351, -73.94042010106682)"
P.S. 174,Q,28,FY11 RESO A LIBRARY UPGRADE,104000,CIP,Q174,"65 10 DIETERLE CRESCENT
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
P.S. 175,Q,28,FY11 RESO A FENCING,319571,CIP,Q175,"64 35 102 STREET
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
P.S. 175,X,11,INTERIOR MODERNIZATIONS/WINDOWS,5296000,CIP,X175,"200 CITY ISLAND AVENUE
Bronx, NY 10464
(40.84381012246547, -73.78516944174876)"
P.S. 178,K,23,FLOORS,695000,CIP,K178,"2163 DEAN STREET
Brooklyn, NY 11212
(40.675074588842676, -73.9159181765978)"
P.S. 178,Q,26,HEATING PLANT UPGRADE/CLIMATE CONTROL/MASONRY,7100000,CIP,Q178,"189 10 RADNOR RD
JAMAICA, NY 11423
(40.71722229567246, -73.7671414999802)"
P.S. 18,R,31,BOILER REPLACEMENT,3171000,CIP,R018,"221 BROADWAY
Staten Island, NY 10310
(40.63603930909672, -74.11747369098056)"
P.S. 182,X,8,BRICK MASONRY WATER PENETRATION/WINDOWS,3464027,CIP,X182,"601 STICKBALL BLVD
BRONX, NY 10473
(40.817936957362555, -73.85625766017206)"
P.S. 183,Q,27,MSNRY/SFTY/WINDOW/LIBRARY UPG/HVAC/ROOF/FIRE ALARM,8248000,CIP,Q183,"2 45 BEACH 79 STREET
ROCKAWAY BEACH, NY 11693
(40.6183036047276, -73.82495531523557)"
P.S. 184 (SHUANG WEN @M137),M,1,FY11 RESO A PLAYGROUND REDEVELOPMENT,230000,CIP,M137,"327 CHERRY ST
New York, NY 10002
(40.71217484702834, -73.98042410080346)"
P.S. 184 (SHUANG WEN @M137),M,1,SWB-HAZARDOUS VIOLATION/ROOFS,979000,CIP,M137,"327 CHERRY ST
New York, NY 10002
(40.71217484702834, -73.98042410080346)"
P.S. 186,Q,26,ACCESSIBILITY/FIRE ALARM SYSTEM/ELECTRICAL SYSTEMS,4577000,CIP,Q186,"252 12 72 AVENUE
BELLEROSE, NY 11426
(40.73704138495202, -73.72415699894628)"
P.S. 186,Q,26,FLOOD ELIMINATION,968000,CIP,Q186,"252 12 72 AVENUE
BELLEROSE, NY 11426
(40.73704138495202, -73.72415699894628)"
P.S. 188,K,21,RESO A GYM ADDITION/FY10 RESO A PLAYGROUND,7879007,CIP,K188,"3314 NEPTUNE AVENUE
Brooklyn, NY 11224
(40.57720405091032, -74.00012292790208)"
P.S. 188,M,1,ACCESSIBILITY,6422000,CIP,M188,"442 HOUSTON STREET
New York, NY 10002
(40.719709960041634, -73.97792876586212)"
P.S. 188,M,1,EXTERIOR MASONRY/ROOFS/PARAPETS/WINDOWS,13457000,CIP,M188,"442 HOUSTON STREET
New York, NY 10002
(40.719709960041634, -73.97792876586212)"
P.S. 189,K,17,LOW-VOLT SYSTEM,840000,CIP,K189,"1100 NEW YORK AVE
Brooklyn, NY 11212
(40.66553683638519, -73.92626797722787)"
P.S. 19,Q,24,SWB - EXT MASONRY/ROOFS/FLOOD ELIMINATION/PARAPETS,16175000,CIP,Q019,"98 02 ROOSEVELT AVE
CORONA, NY 11368
(40.749678220373596, -73.85304068857687)"
P.S. 19,R,31,IP SURVEILLANCE CAMERAS,1270000,CIP,R019,"780 POST AVENUE
Staten Island, NY 10310
(40.631189624083056, -74.127115288525)"
P.S. 190,K,19,PARAPETS/ROOFS/EXT MASONRY,6720000,CIP,K190,"590 SHEFFIELD AVENUE
Brooklyn, NY 11207
(40.66233878188243, -73.89448660618348)"
P.S. 191,K,17,SAFETY SYSTEMS,345900,CIP,K191,"1600 PARK PLACE
Brooklyn, NY 11233
(40.671984269991356, -73.92433266937152)"
P.S. 198,X,12,PLANYC BOILER CONVRSN/PLANYC CLIMATE CTRL,3794000,CIP,X198,"1180 TINTON AVENUE
Bronx, NY 10456
(40.82868626889099, -73.90058806585479)"
P.S. 199,K,21,FY11 RESO A LIBRARY,369000,CIP,K199,"1100 ELM AVENUE
Brooklyn, NY 11230
(40.61673348809886, -73.96308897272426)"
P.S. 20,R,31,EXT MASONRY/ROOFS/WINDOWS,3285000,CIP,R020,"161 PARK AVENUE
Staten Island, NY 10302
(40.63651173103697, -74.13295576709373)"
P.S. 20,X,10,ROOFS,1470000,CIP,X020,"3020 WEBSTER AVENUE
BRONX, NY 10467
(40.869529034465444, -73.87958395897564)"
P.S. 203,K,22,EXT MASONRY/ROOFS/PARAPETS/FLOOD ELMNTN,5668000,CIP,K203,"5101 AVENUE
Brooklyn, NY 11234
(40.61636866748006, -73.92773224974349)"
P.S. 206,Q,28,FLOOD ELIMINATION,283000,CIP,Q206,"61 02 98TH STREET
REGO PARK, NY 11374
(40.72646491702238, -73.86148084756303)"
P.S. 206  (TANDEM PS 112),M,4,EXT MASONRY/PARAPETS/FLD ELIMINATION/ROOFS/WALKWAY,5822870,CIP,M206,"508 120TH STREET
New York, NY 10035
(40.79754733338499, -73.93112623193574)"
P.S. 21,R,31,FLOORS,418000,CIP,R021,"168 HOOKER PLACE
Staten Island, NY 10303
(40.63194814504947, -74.14676832354822)"
P.S. 21,X,11,PARAPETS/EXT MASONRY/FLOOD ELIMINATION/ROOFS,5259000,CIP,X021,"715 225 STREET
Bronx, NY 10466
(40.88782430615607, -73.86044891659131)"
P.S. 214,K,19,EXT MASONRY/PARAPETS/FLOOD/WINDOWS/ROOFS,7654000,CIP,K214,"2944 PITKIN AVENUE
Brooklyn, NY 11208
(40.67649228343164, -73.8631601400929)"
P.S. 215,Q,27,FY11 RESO A SCIENCE LAB UPGRADES,260000,CIP,Q215,"535 BRIAR PLACE
FAR ROCKAWAY, NY 11691
(40.59915376512268, -73.75832418340367)"
P.S. 219,K,18,EXT MASONRY/PARAPETS/ROOFS,3079000,CIP,K219,"1060 CLARKSON AVENUE
Brooklyn, NY 11212
(40.65925656671725, -73.92291949545782)"
P.S. 22,Q,25,FY10 RESO A NEW PLAYGROUND,180000,CIP,Q022,"153 01 SANFORD AVENUE
FLUSHING, NY 11355
(40.7512997969481, -73.82147854789662)"
P.S. 22,R,31,LIBRARY UPGRADE,340000,CIP,R022,"1860 FOREST AVENUE
Staten Island, NY 10303
(40.62530363633885, -74.15109445915424)"
P.S. 225,K,21,ACCESSIBILITY/FIRE ALARM/ELECTRICAL SYSTEMS,4105450,CIP,K225,"1075 OCEAN VIEW AVENUE
Brooklyn, NY 11235
(40.5797910944251, -73.95643350547934)"
P.S. 229,Q,24,SWB - MASONRY/ROOFS,3633000,CIP,Q229,"67 25 51 ROAD
WOODSIDE, NY 11377
(40.74519376448069, -73.9048471440804)"
P.S. 229,X,9,ELEVATORS & ESCALATORS,1327150,CIP,X229,"275 HARLEM RIVER PARK BR
Bronx, NY 10453
(40.85261854069672, -73.92150462714196)"
P.S. 229,X,9,PLANYC BOILER/PLANYC CLIMATE CTRL,2910000,CIP,X229,"275 HARLEM RIVER PARK BR
Bronx, NY 10453
(40.85261854069672, -73.92150462714196)"
P.S. 230,K,15,ACCESSIBILITY,4392000,CIP,K230,"1 ALBEMARLE ROAD
Brooklyn, NY 11210
(40.64501828504539, -73.98088211473515)"
P.S. 232,Q,27,FY11 RESO A SCIENCE LAB UPGRADES,384000,CIP,Q232,"153 23 83 STREET
HOWARD BEACH, NY 11414
(40.65817022817356, -73.84496263981396)"
P.S. 236,K,22,EXT MASONRY/FLOOD ELIMINATION,1054000,CIP,K236,"6302 AVENUE
Brooklyn, NY 11234
(40.61636866748006, -73.92773224974349)"
P.S. 249,K,17,EXT MASONRY/ROOFS/PARAPETS,4474000,CIP,K249,"18 MARLBOROUGH ROAD
Brooklyn, NY 11226
(40.649842155595174, -73.96609617601914)"
P.S. 249,K,17,FY11 RESO A AUDITORIUM UPGRADE,198000,CIP,K249,"18 MARLBOROUGH ROAD
Brooklyn, NY 11226
(40.649842155595174, -73.96609617601914)"
P.S. 253,K,21,BOILER PLANT/CLIMATE CONTROL,4282800,CIP,K253,"601 OCEAN VIEW AVENUE
Brooklyn, NY 11235
(40.579594157400855, -73.96219337408164)"
P.S. 256 ANNEX,Q,27,WINDOWS/EXT MASONRY,5282000,CIP,Q816,"445 BEACH 135 STREET
QUEENS, NY 11694
(40.576996863641924, -73.85454217391299)"
P.S. 26,K,16,PLANYC BOILER/PLANYC CLIMATE CTRL,3960000,CIP,K026,"1010 LAFAYETTE AVENUE
Brooklyn, NY 11221
(40.69211086975316, -73.93167037460694)"
P.S. 26,Q,26,ELECTRICAL SYSTEM,594999,CIP,Q026,"195 02 69 AVENUE
FLUSHING, NY 11365
(40.73987184371066, -73.79462153515567)"
P.S. 262,K,16,NEW SCIENCE DEMONSTRATION ROOM,534000,CIP,K262,"500 MACON STREET
Brooklyn, NY 11233
(40.68321860795158, -73.93085733477353)"
P.S. 273,K,19,EXT MASONRY/ROOFS/PARAPETS,5335000,CIP,K273,"923 JEROME STREET
Brooklyn, NY 11207
(40.65796581134507, -73.87935692616207)"
P.S. 277 (@ X027),X,7,SWB-ROOF/SWB-EXT MASONRY/WINDOWS/PARAPETS/ HEATING,15843000,CIP,X027,"519 ST ANNS AVENUE
Bronx, NY 10451
(40.813641430845045, -73.91337206062776)"
P.S. 279,X,10,FIRE ALARM UPGRADE,2998000,CIP,X279,"2100 WALTON AVE
BRONX, NY 10453
(40.85444390420279, -73.90550751626725)"
P.S. 28,X,9,EXTERIOR MASONRY/PARAPETS/FLOOD ELIMINATION,5016000,CIP,X028,"1861 ANTHONY AVENUE
Bronx, NY 10456
(40.84796917302349, -73.90357863607737)"
P.S. 284,K,23,SWB-PARAPET-MASONRY/EXTERIOR MASONRY,5680000,CIP,K284,"213 OSBORN STREET
Brooklyn, NY 11212
(40.66735004908563, -73.90818838446248)"
P.S. 289,K,17,WINDOW/CAFE MULTIPURPOSE RM UPG/MASONRY/PARAPET/PA,4440000,CIP,K289,"900 ST MARKS AVENUE
Brooklyn, NY 11213
(40.67477355898667, -73.94240595654854)"
P.S. 29,R,31,PARAPETS/EXT MASONRY/ROOFS,3826000,CIP,R029,"1581 VICTORY BLVD
Staten Island, NY 10314
(40.61361168930647, -74.11613224214713)"
P.S. 3,K,13,PARAPETS/EXT MASONRY/ROOF/PLAYGROUND REDEVELOPMENT,4820800,CIP,K003,"50 JEFFERSON AVENUE
Brooklyn, NY 11216
(40.68262499957862, -73.9554933572393)"
P.S. 3,M,2,FLOORS/INTERIOR SPACES,3824000,CIP,M003,"490 HUDSON STREET
New York, NY 10014
(40.73261607852907, -74.00641883360943)"
P.S. 3,R,31,LIGHTING FIXTURES,934104,CIP,R003,"80 GOFF AVENUE
Staten Island, NY 10309
(40.52665926345466, -74.21279962614892)"
P.S. 306,K,19,PLAYGROUND REDEVELOPMENT,1071501,CIP,K306,"970 VERMONT STREET
Brooklyn, NY 11207
(40.65614802525013, -73.88669548652338)"
P.S. 308,K,16,PAVED AREA-BLACKTOP & TCU,437000,CIP,K308,"616 QUINCY STREET
Brooklyn, NY 11221
(40.6886393472372, -73.93578222590314)"
P.S. 310 (@ X122),X,10,FY10 RESO A AUDITORIUM UPG,205000,CIP,X122,"260 KINGSBRIDGE RD
Bronx, NY 10463
(40.873019134707036, -73.90565533914132)"
P.S. 316,K,17,HOT WATER HEATER,375000,CIP,K316,"750 CLASSON AVENUE
Brooklyn, NY 11238
(40.67448517044413, -73.96025809844292)"
P.S. 32,K,15,FY11 RESO A LIBRARY UPGRADE,357960,CIP,K032,"317 HOYT STREET
Brooklyn, NY 11231
(40.680429275762485, -73.99193273420018)"
P.S. 32,X,10,VINYL FLR/BOILER RM/CLIMATE CTRL/HEAT PLANT,15839000,CIP,X032,"690 183 STREET
Bronx, NY 10458
(40.85208555646217, -73.88593877891165)"
