Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
"Circus Amok, Inc.",11211,(718) 486-7432,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"190 Bedford Avenue
Brooklyn, NY
(40.71758541565314, -73.95804701564091)"
"Cities at Peace, Inc.",10001,(212) 924-9204,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"104 27th Street
New York, NY
(40.660884343799964, -74.00176477727801)"
"Citizen Schools, Inc.",10005,(646) 442-3873,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"55 Exchange Place
New York, NY
(40.706172474547756, -74.01084613297641)"
"City Center for Music & Drama, Inc.",10023,(212) 870-4285,"Multi-Discipline, Performing",Manhattan Council District #6,Manhattan Community Board #6,Manhattan,"20 Lincoln Center
New York, NY
(40.60472880893787, -74.0684884280509)"
"City Grand Opera Society, Inc.",10019,(212) 245-8837,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"250 54th Street
New York, NY
(40.64616305029869, -74.0181587256739)"
City Island Historical Society,10464,(718) 885-1565,Museum,Bronx Council District #13,Bronx Community Board #10,Bronx,
City Island Theater Group,10464,(718) 885-3190,Theater,Bronx Council District #13,Bronx Community Board #10,Bronx,"160 Pilot Street
Bronx, NY
(40.84127842822532, -73.78383333346935)"
"City Lights Youth Theatre, Inc.",10036,(212) 262-4104,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"630 Ninth Avenue
New York, NY
(40.75999274901747, -73.99144337685128)"
"City Lore, Inc.",10003,(212) 529-1955 x301,Folk Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"72 First Street
New York, NY
(40.57423935014726, -74.12123413351608)"
City Parks Foundation,10065,(212) 360-1399,"Multi-Discipline, Performing",Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"830 Fifth Avenue
New York, NY
(40.76737436501733, -73.97069062911662)"
"CityArts, Inc.",10012,(212) 966-0377,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"525 Broadway
New York, NY
(40.72289581773521, -73.99889401941192)"
"CityKids Foundation, Inc.",10013,(212) 925-3320 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"57 Leonard Street
New York, NY
(40.71784162793057, -74.00616054140869)"
"Citywide Youth Opera, Inc.",10163,(646) 296-0344,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan,"3647 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Civilians, Inc.",11217,(212) 730-2019,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
"Clarion Music Society, Inc.",10021,(212) 580-5700,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"259 New
York, NY
(43.20390300022325, -76.94420299966868)"
Classic Chamber Players,10010,(914) 762-8878,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"1133 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Classical Domain,10013,(212) 366-6900 x201,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn,"155 Avenue of the Americas
New York, NY
(40.72537823252703, -74.00459725960343)"
"Classical Theatre of Harlem, Inc.",10018,(212) 564-9983,Theater,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"Clemente Soto Velez Cultural and Educational Center, Inc.",10002,(212) 566-5600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"Cliplight Theater, Inc.",10019,(917) 385-9090,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"555 52nd Street
New York, NY
(40.64327632859146, -74.01026021593206)"
"Clockwork Theatre, Inc.",10014,(631) 793-1946,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"20162 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Clubbed Thumb, Inc.",10009,(212) 228-0153,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"131 Third Street
New York, NY
(40.756053999992105, -73.9869510002884)"
Coalition for Hispanic Family Services,11237,(718) 497-6090 x304,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn,"315 Wyckoff Avenue
Brooklyn, NY
(40.700089964438455, -73.91203291222284)"
Cocolart,10033,(646) 225-0333,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,"555 186th Street
New York, NY
(40.85200300238875, -73.93050693470339)"
Collaborative Arts Project 21 Inc.,10011,(212) 807-0202 x14,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan,"18 18th Street
New York, NY
(40.66654899819547, -73.99761668431039)"
"Collapsable Giraffe, Inc.",11201,(917) 821-4451,Theater,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,"251 Pacific Street
Brooklyn, NY
(40.688382660564464, -73.99053329201776)"
Collective Unconscious,10013,(212) 920-4161,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"2026 New
York, NY
(43.20390300022325, -76.94420299966868)"
"College Community Services, Inc.",11210,(718) 951-4600 x20,"Multi-Discipline, Performing",Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn,
Collegiate Chorale,10022,(646) 202-9623,Music,Manhattan Council District #4,Manhattan Community Board #5,Manhattan,"115 57th Street
New York, NY
(40.6457628475126, -74.0219281383537)"
Colonial Dames of America/Mount Vernon Hotel Museum & Garden,10065,(212) 838-6878 x28,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"421 61st Street
New York, NY
(40.63994930853818, -74.0184595775261)"
"Colonial Farmhouse Restoration Society of Bellerose, Inc.",11004,(718) 347-3276 x13,Museum,Queens Council District #23,Queens Community Board #13,Queens,"73 50 Little Neck Parkway
Floral Park, NY
(40.723881000207996, -73.70230999960677)"
"Community Center of the Rockaway Peninsula, Inc.",11691,(718) 868-2300 x206,Music,Queens Council District #31,Queens Community Board #14,Queens,"257 Beach 17th Street
Far Rockaway, NY
(40.596776657636326, -73.75116250000718)"
Community Film Workshop Council,10027,(212) 531-3786,Film/Video/Audio,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"525 125th Street
New York, NY
(40.792302911614634, -73.84259904489096)"
"Community New Horizons of New York, Inc.",10040,(212) 543-0682,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan,"341 Wadsworth Avenue
New York, NY
(40.85543477797766, -73.93083256281913)"
"Community Works, Inc.",10023,(212) 459-1854,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"55 End Avenue
New York, NY
(40.56354984156167, -74.17870866360286)"
"Community-Word Project, Inc.",10004,(212) 962-3820,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"42 Broadway
New York, NY
(40.7062044008714, -74.01295941595015)"
Complexions - A Concept in Dance,10018,(212) 777-7771,Dance,,Manhattan Community Board #1,Manhattan,"305 38th Street
New York, NY
(40.65427114441758, -74.00725965083733)"
"Composers Collaborative, Inc.",10025,(212) 663-1967,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"210 Riverside Drive
New York, NY
(40.79416708855723, -73.9762850635953)"
"Concert Artists Guild, Inc.",10019,(212) 333-5200 x11,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"850 Seventh Avenue
New York, NY
(40.82805236428151, -73.93448693235298)"
Concerts in the Heights,10040,(212) 543-0475,Music,Manhattan Council District #7,Manhattan Community Board #12,Manhattan,"100 Overlook Terrace
New York, NY
(40.856337220442754, -73.93515007397514)"
Concrete Temple Theatre,10003,(212) 598-9135,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"211 14th Street
New York, NY
(40.60482500650831, -74.01007566322691)"
"Coney Island History Project, Inc.",11224,(718) 265-2100,"Multi-Discipline, Non-Perform",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,"834 Surf Avenue
Brooklyn, NY
(40.57529966648646, -73.97719483345524)"
"Coney Island, USA",11224,(718) 372-5159,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,"1208 Surf Avenue
Brooklyn, NY
(40.575476228641925, -73.9799049005561)"
"Conference House Association, Inc.",10307,(718) 984-0415,Museum,Staten Island Council Dist #51,Staten Island Community Brd #3,Staten Island,"298 Satterlee Street
Staten Island, NY
(40.5019224137329, -74.25102347734429)"
"Congress for Jewish Culture, Inc.",10010,(212) 505-8040,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"1133 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
Conrad Poppenhusen Association,11356,(718) 358-0067,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #7,Queens,"91 College
Point, NY
"
Conscientious Musical Revues,10025,(800) 624-8474,Music,Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"2576 Broadway
New York, NY
(40.7954980851606, -73.97104201616452)"
"Construction Company Theater/Dance Associates, Inc.",10003,(212) 924-7882,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"10 18th Street
New York, NY
(40.6666151570148, -73.99772988940123)"
"Contemporary Art for America, Inc.",10011,(212) 645-2895,Museum,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"330 15th Street
New York, NY
(40.66368967077823, -73.9855019670853)"
"Contemporary Ballet Theatre, Inc",10474,(718) 623-0933,"Multi-Discipline, Performing",Bronx Council District #17,Bronx Community Board #2,Bronx,"861 Manida St
N Y, NY
"
Converging Arts Media Organization,10002,(212) 995-5290,Visual Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"57 Stanton Street
New York, NY
(40.72197850926534, -73.99023354826977)"
Cool Culture,11217,(718) 230-4186 x302,"Multi-Discipline, Non-Perform",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
"Cooper-Hewitt, National Design Museum",10128,(212) 849-8373,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"2 91st Street
New York, NY
(40.6215854194482, -74.04012246160507)"
Cooperative Culture Collective,11217,(718) 638-7624,Other,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"117 Oxford Street
Brooklyn, NY
(40.57944158325088, -73.93795590512691)"
Cora Incorporated,11231,(732) 267-1859,Dance,Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"201 Richards Street
Brooklyn, NY
(40.675224476627726, -74.01266365150524)"
"CorbinDances, Inc.",10030,(646) 734-6338,Dance,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"196 134th Street
New York, NY
(40.81453685049694, -73.9440254410328)"
Council of Literary Magazines and Presses,10014,(212) 741-9110 x14,Literature,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"154 Christopher Street
New York, NY
(40.73277459667643, -74.00787725874181)"
Council on the Arts and Humanities for Staten Island,10301,(718) 447-3329,"Multi-Discipline, Non-Perform",Staten Island Council Dist #49,Staten Island Community Brd #1,Staten Island,"1000 Richmond Terrace
Staten Island, NY
(40.60667400010499, -74.16240100000613)"
"Covenant Ballet Theatre of Brooklyn, Inc.",11223,(718) 891-6199,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn,"2085 Coney Island Avenue
Brooklyn, NY
(40.60637452529433, -73.96171865192652)"
Coyote REP Theatre Company,10001,(917) 584-8796,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"360 28th St
New York, NY
(40.74943453148255, -73.99769377539361)"
"Creative Ammo, Inc.",10018,(212) 807-1337 x14,Theater,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,"341 38th Street
New York, NY
(40.65381116921998, -74.0064891811258)"
Creative Arts Team,10001,(212) 652-2830,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"101 31st Street
New York, NY
(40.5993827313042, -73.99515684952303)"
Creative Arts Workshop for Kids,10018,(646) 316-1657,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"Creative Center, Inc.",10002,(646) 465-5313,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"273 Bowery
New York, NY
(40.72372384871521, -73.99262777151117)"
"Creative Outlet Dance Theatre of Brooklyn, Inc.",11217,(718) 636-9312 x103,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
"Creative Time, Inc.",10003,(212) 206-6674,"Multi-Discipline, Non-Perform",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"59 4th Street
New York, NY
(40.57345171233072, -74.11874554354539)"
"Cross Performance, Inc.",10003,(212) 260-7426,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Brooklyn,"140 Second Avenue
New York, NY
(40.7289932210939, -73.9873647109963)"
Crown Heights Jewish Community Council,11213,(347) 432-3777,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn,"375 Kingston Avenue
Brooklyn, NY
(40.6662843053806, -73.94245240363608)"
Cuban Artists Fund,10003,(212) 812-4200,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"41 Union Square
New York, NY
(40.7370241668155, -73.99042240589591)"
"Cubraiti, Inc.",10128,(212) 987-4363,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"1763 Second Avenue
New York, NY
(40.78175578988119, -73.9489515293861)"
"Cultural Center for Soviet Refugees, Inc.",10016,(212) 686-0199,Literature,Manhattan Council District #2,Manhattan Community Board #6,Manhattan,"139 33rd Street
New York, NY
(40.656497214564084, -74.0034525265859)"
"Cultural Collaborative Jamaica, Inc.",11431,(718) 526-3217,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,
"Culture Project, Inc.",10012,(212) 925-1806,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"49 Bleecker Street
New York, NY
(40.725861736462974, -73.99442628442138)"
"CultureNOW, Inc.",10001,(212) 604-0900,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"511 25th Street
New York, NY
(40.659440027810625, -73.99624809952162)"
"Cunningham Dance Foundation, Inc.",10014,(212) 255-8240 x17,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"55 Bethune Street
New York, NY
(40.736934345593895, -74.00830372173004)"
"Cygnus Ensemble, Inc.",10036,(914) 665-2254,Music,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"400 43rd Street
New York, NY
(40.6502948561274, -74.00839246760711)"
"D.U.M.B.O. Arts Center, Inc.",11201,(718) 694-0831,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"30 Washington Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
DDJW INCORPORATED,10031,(212) 694-0477,Dance,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,"511 151st Street
New York, NY
(40.829193730280565, -73.9451725798074)"
"DG Falu Foundation, Inc.",10035,(646) 705-3266,"Multi-Discipline, Non-Perform",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"333 118th Street
New York, NY
(40.80615474843816, -73.95535249131458)"
DIVAS for Social Justice,11216,(718) 413-8031,Photography,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,"305 Macon Street
Brooklyn, NY
(40.682300007388164, -73.93928582190222)"
"Da Capo Chamber Players, Inc.",10024,(212) 873-1065,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"215 90th Street
New York, NY
(40.62125066924747, -74.03443262233606)"
"Dance 2000: The Felice Lesser Dance Theater Foundation, Inc.",10036,(212) 594-3388,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"484 43rd Street
New York, NY
(40.64921502700683, -74.00661727584175)"
"Dance Entropy, Inc.",11101,(718) 956-3037,Dance,Queens Council District #26,Queens Community Board #2,Queens,"37 24 24th Street
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
"Dance Films Association, Inc.",10010,(212) 727-0764,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"48 21st Street
New York, NY
(40.66461229525324, -73.99878180896134)"
"Dance Giant Steps, Inc.",11201,(713) 666-6395,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"93 Montague Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Dance New Amsterdam, Inc.",10007,(212) 625-8369 x201,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"280 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Dance Parade, Inc.",10025,(262) 880-1270,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"61 104th Street
New York, NY
(40.79748681883877, -73.96273719903618)"
"Dance Project Sequence, Inc.",10075,(212) 517-4177,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #8,Manhattan Community Board #5,Manhattan,"321 79th Street
New York, NY
(40.62847511654179, -74.02853361897927)"
"Dance Ring, Inc.",10016,(212) 679-0401,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"30 31st Street
New York, NY
(40.601458697245995, -73.99311009106323)"
"Dance Theater Workshop, Inc.",10011,(212) 691-6500 x378,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"219 19th Street
New York, NY
(40.60252604815905, -74.00652925753506)"
"Dance Theatre Etcetera, Inc.",11231,(718) 643-6790 x111,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn,"480 Van Brunt Street
Brooklyn, NY
(40.67455456068284, -74.01622990488356)"
"Dance Theatre of Harlem, Inc.",10031,(212) 690-2800 x401,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"466 152nd Street
New York, NY
(40.82911280916895, -73.94317312027758)"
Dance/USA,10013,(212) 366-6900 x201,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"155 Avenue of the Americas
New York, NY
(40.72537823252703, -74.00459725960343)"
DanceBreak Foundation,10036,(212) 315-1516,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"350 42nd Street
New York, NY
(40.651503399435356, -74.00888380993308)"
"DanceWorks, Inc.",10018,(212) 278-8111 x301,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"246 38th Street
New York, NY
(40.59350209076893, -73.99303996689655)"
Dancenow/NYC,10014,(917) 664-8065,Dance,Manhattan Council District #3,Manhattan Community Board #3,Manhattan,"20029 New
York, NY
(43.20390300022325, -76.94420299966868)"
Dances For A Variable Population,10027,(347) 683-2691,Dance,Manhattan Council District #9,Manhattan Community Board #9,Manhattan,"560 Riverside Dr
New York, NY
(40.816256921689764, -73.96045173443474)"
Dances and Drums of Africa,11201,(718) 254-0670,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"397 Bridge Street
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Dancewave, Inc.",11217,(718) 522-4696,Dance,Brooklyn Council District #39,Brooklyn Community Board #7,Brooklyn,"45 4th Avenue
Brooklyn, NY
(40.683060712970985, -73.97909798617835)"
"Dancing Crane, Inc.",11223,(914) 522-3888,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #11,Brooklyn,"170 Avenue
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Dancing in the Streets, Inc.",10018,(212) 625-3505 x21,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"545 Eighth Avenue
New York, NY
(40.754372088760704, -73.99188830080368)"
Daniel's Music Foundation,10128,(212) 289-8912,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"1641 Third Avenue
New York, NY
(40.807863542095845, -73.93180510295194)"
"Danisar Productions, Inc.",10003,(212) 842-2643,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1 Union Square
New York, NY
(40.735387400722175, -73.99159152453399)"
"Dansology, Inc.",10003,(212) 375-0186,Dance,Manhattan Council District #7,Manhattan Community Board #2,Manhattan,"140 Second Avenue
New York, NY
(40.7289932210939, -73.9873647109963)"
"Danspace Project, Inc.",10003,(212) 674-8112,Dance,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,
Death By Audio,11221,(518) 321-4651,Music,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"49 2nd St
Brooklyn, NY
(40.678638575072085, -73.99354951333564)"
"Deep Dish T.V., Inc.",10012,(212) 473-8933,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"339 Lafayette Street
New York, NY
(40.72622663506599, -73.99436504024439)"
"Design Trust for Public Space, Inc.",10018,(212) 695-2432 x10,Architecture/Design,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"338 39th Street
New York, NY
(40.65329424545789, -74.00733850534105)"
"Desipina Productions, Inc.",11217,(212) 564-8666,Theater,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"138 Oxford Street
Brooklyn, NY
(40.57919497088509, -73.93801486860956)"
"Dessoff Choirs, Inc.",10028,(212) 790-6646,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"1337 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Dharma Road Productions, Inc.",10003,(212) 677-8621,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"123 4th Ave
New York, NY
(40.73309654946454, -73.98990751009984)"
Dia Center for the Arts,10011,(212) 293-5505,Visual Arts,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,"535 22nd Street
New York, NY
(40.74748642779187, -74.00572937603022)"
Dicapo Opera Theatre Corp.,10022,(212) 288-9438 x11,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"220 54th Street
New York, NY
(40.64653828783514, -74.01879015987318)"
"Dieu Donne Paper Mill, Inc.",10018,(212) 226-0573 x304,Visual Arts,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,
"Diller-Quaile School of Music, Inc.",10128,(212) 369-1484 x22,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"24 95th Street
New York, NY
(40.616592149729975, -74.03803248275246)"
"Direct Arts, Inc.",10009,(917) 941-7926,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"647 11th Street
New York, NY
(40.663899207439606, -73.97880465152514)"
"Discalced, Inc.",11217,(718) 624-8400 x216,Dance,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"3 Lafayette Avenue
Brooklyn, NY
(40.68678487551016, -73.97894861396483)"
"Discipleship Outreach Ministries, Inc",11220,(718) 360-8100,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,"5220 4th Avenue
Brooklyn, NY
(40.645290640072034, -74.01395648948358)"
"Diversity in Arts and Nations for Cultural Education, Inc.",10472,(646) 408-6007,Folk Arts,Bronx Council District #18,Bronx Community Board #9,Bronx,"1408 Commonwealth Ave
New York City, NY
"
"Djoniba Dance and Drum Centre, Inc.",10276,(212) 254-9466,Dance,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,"1074 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Doing Art Together, Inc.",10023,(212) 245-8134,Visual Arts,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"1841 Broadway
New York, NY
(40.76937278020944, -73.9822205889887)"
Dorsky Gallery Curatorial Programs,11101,(718) 937-6317,Visual Arts,Queens Council District #26,Queens Community Board #2,Queens,"11 03 45 Avenue
Long Island City, NY
(40.74468399996658, -73.94850800004417)"
"Dova, Inc.",10013,(212) 279-3344,Dance,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"260 Broadway
New York, NY
(40.71378568557844, -74.00662818886389)"
"Down Town Glee Club, Inc.",10274,(718) 257-3531,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"1494 Bowling Green Station
New York, NY
(40.756053999992105, -73.9869510002884)"
"Downtown Art Company, Inc.",10003,(917) 587-6889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"59 61 East 4th Street
New York, NY
(40.756053999992105, -73.9869510002884)"
Downtown Community Television Center,10013,(212) 966-4510 x245,Film/Video/Audio,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"87 Lafayette Street
New York, NY
(40.717445926237644, -74.00142111431427)"
"Downtown Music Productions, Inc.",10003,(212) 477-1594,Music,Manhattan Council District #2,Manhattan Community Board #1,Manhattan,"310 12th Street
New York, NY
(40.66682399608807, -73.98676205777855)"
Drama Dept. Incorporated,10013,(212) 633-9108,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"9 Desbrosses Street
New York, NY
(40.72331570319036, -74.00869291820908)"
"Drama League of New York, Inc.",10018,(212) 244-9494 x6,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"520 Eighth Avenue
New York, NY
(40.75376054978079, -73.99232896859803)"
"Drammeh Institute, Inc.",10475,(718) 737-1976,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #11,Bronx Community Board #10,Bronx,
"Drawing Center, Inc.",10013,(212) 219-2166 x115,Museum,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"35 Wooster Street
New York, NY
(40.72234723129736, -74.00267117193499)"
"Dream Yard Drama Project, Inc.",10456,(718) 588-8007 x3,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #17,Bronx Community Board #4,Bronx,"1085 Washington Avenue
Bronx, NY
(40.82557699997852, -73.91844899972153)"
Drilling Company Theatrical Productions,10024,(917) 330-4234,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"236 78th Street
New York, NY
(40.629667301852855, -74.03035860060773)"
Drumsongs Productions,11434,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #28,Queens Community Board #12,Queens,
"Dusan Tynek Dance Theatre Foundation, Inc.",11215,(718) 249-7708,Dance,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn,"415 Ninth Street
Brooklyn, NY
(40.667310884998166, -73.98239682192134)"
"Dynamic Forms, Inc.",10002,(212) 375-9214,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"107 Suffolk Street
New York, NY
(40.719521874540526, -73.98583731954874)"
"E. Monte Motion, Inc.",10001,(212) 868-4488,Dance,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"481 8th Avenue
New York, NY
(40.75253747182097, -73.99321929740705)"
"EL PUENTE DE WILLIAMSBURG, INC.",11211,(718) 387-0404,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,"211 4th Street
Brooklyn, NY
(40.67274459229499, -73.98486016116077)"
"EarSay, Inc.",11104,(718) 784-4066,"Multi-Discipl, Perf & Non-Perf",Queens Council District #26,Queens Community Board #2,Queens,
"Early Music Foundation, Inc.",10023,(212) 749-6600,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"10 68th Street
New York, NY
(40.63962895595606, -74.03530199908114)"
