Contract Type,Provider ID,Program Name,Sponsor Name,Program Address,Program Borough,Program Zipcode,Program Phone
NEIGHBORHOOD SENIOR CENTE,24S01,BB ACTIVE ADULTS NEIGHBORHOOD SENIOR CTR,BERGEN BEACH YOUTH ORGANIZATION INC ,2335 BERGEN AVENUE,BROOKLYN,11234,718-531-6600 
NEIGHBORHOOD SENIOR CENTE,24R01,BB INDEPENDENCE TOWERS NEIGHBORHOOD SENI,BERGEN BASIN COMM DEV CORP/DBA MILLENNIUM DEVELOPM,114 TAYLOR STREET,BROOKLYN,11211,718-388-9242 
NEIGHBORHOOD SENIOR CENTE,24V01,BCA NEIGHBORHOOD SENIOR CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION ,545 60TH STREET,BROOKLYN,11220,718-438-0001 
NEIGHBORHOOD SENIOR CENTE,25N01,BENSONHURST NEIGHBORHOOD SENIOR CENTER,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BEN,7802 BAY PARKWAY,BROOKLIN,11214,718 331-6800 
NEIGHBORHOOD SENIOR CENTE,13X01,BETANCES NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,787 EAST 149TH STREET,BRONX,10455,718-292-4922 
NEIGHBORHOOD SENIOR CENTE,25Q01,BLENMAN NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,720 EAST NEW YORK AVENUE,BROOPKLYN,11203,718-773-7400 
NEIGHBORHOOD SENIOR CENTE,27001,BORINQUEN PLZ NUTRITION NEIGHBORHOOD SC,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,80 SEIGEL STREET,BROOKLYN,11206,718-732-6334 
NEIGHBORHOOD SENIOR CENTE,22U01,BORO PARK NEIGHBORHOOD SENIOR CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,5602 11TH AVENUE,BROOKLYN,11219,718-854-7430 
NEIGHBORHOOD SENIOR CENTE,24U01,BORO PARK Y NEIGHBORHOOD SENIOR CENTER,YOUNG MEN'S AND YOUNG WOMEN'S HEBREW ASSOCIATION O,4912 14TH AVENUE,BROOKLYN,11219,718 435-3804 
NEIGHBORHOOD SENIOR CENTE,13J01,BRONX HOUSE NEIGHBORHOOD SENIOR CENTER,BRONX HOUSE INC  ,990 PELHAM PARKWAY SOUTH,BRONX,10461,718-792-1800 
NEIGHBORHOOD SENIOR CENTE,13T01,BRONX RIVER NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,1619 EAST 174TH ST,BRONX,10472,(212)677-4181
NEIGHBORHOOD SENIOR CENTE,23Q01,BROOKDALE NEIGHBORHOOD SENIOR CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,811 AVENUE H,BROOKLYN,11230,718-434-8670 
NEIGHBORHOOD SENIOR CENTE,44H01,BROOKDALE NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,131 BEACH 19TH STREET,FAR RACKAWAY,11691,718-471-3200 
NEIGHBORHOOD SENIOR CENTE,42A01,BROOKS MEMORIAL NEIGHBORHOOD SENIOR CTR,BROOKS SENIOR CENTER,143-22 109 AVENUE,JAMAICA,11435,718-291-3935 
NEIGHBORHOOD SENIOR CENTE,44B01,BROOKVILLE NEIGHBORHOOD SENIOR CENTER,SERVICES NOW FOR ADULT PERSONS INC ,133-33 BROOKVILLE BOULEVARD,ROSEDALE,11422,718-525-8899 
NEIGHBORHOOD SENIOR CENTE,30R01,CANAAN NEIGHBORHOOD SENIOR CENTER,CANAAN BAPTIST CHURCH OF CHRIST ,10 LENOX AVENUE,NEW YORK,10026,212-876-2638 
NEIGHBORHOOD SENIOR CENTE,30S01,CARTER BURDEN NEIGHBORHOOD SENIOR CENTER,THE CARTER BURDEN CENTER FOR THE AGING INC,312 EAST 109 STREET,NEW YORK,10029,212-879-7400 
NEIGHBORHOOD SENIOR CENTE,34H01,CARVER NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,105 55 EAST 102ND STREET,NEW YORK,10029,212-289-2708 
NEIGHBORHOOD SENIOR CENTE,14G01,CASA BORICUA NEIGHBORHOOD SENIOR CENTER,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,910 EAST 172ND ST,BRONX,10460,718-542-0222 
NEIGHBORHOOD SENIOR CENTE,55001,CASSIDY COLES NEIGHBORHOOD SENIOR CENTER,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,125 CASSIDY PLACE,STATEN ISLAND,10301,718-273-6808 
NEIGHBORHOOD SENIOR CENTE,43B01,CATHERINE SHERIDAN NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,35-24 83RD STREET,JACKSON HEIGHTS,11372,718-458-4600 
NEIGHBORHOOD SENIOR CENTE,24Y01,CCNS GLENWOOD NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,5701 AVENUE H,BROOKLYN,11234,718-241-7711 
NEIGHBORHOOD SENIOR CENTE,44P01,CCNS HILLCREST NEIGHBORHOOD SENIOR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,168-01 HILLSIDE AVENUE,JAMAICA,11432,718-297-7171 
NEIGHBORHOOD SENIOR CENTE,45G01,CCNS HOWARD BEACH NEIGHBORHOOD SC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,83-09 157TH STREET,HOWARD BEACH,11414,718-738-8100 
NEIGHBORHOOD SENIOR CENTE,24Z01,CCNS NARROWS AT THE LODGE NBH SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,7711 18TH AVENUE,BROOKLYN,112  ,718 722 6095 
NEIGHBORHOOD SENIOR CENTE,25801,CCNS NARROWS NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,1230 63RD STREET,BROOKLYN,11219,718-232-3211 
NEIGHBORHOOD SENIOR CENTE,25E01,CCNS NORTHSIDE NEIGHBORHOOD SENIOR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,179 NORTH 6TH STREET,BROOKLYN,11212,718-387-2316 
NEIGHBORHOOD SENIOR CENTE,42W01,CCNS OZONE PARK NEIGHBORHOOD SENIOR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,103-02 101 AVENUE,OZONE PARK,11416,718-847-2100 
NEIGHBORHOOD SENIOR CENTE,25F01,CCNS PETE MCGUINNESS NEIGHBORHOOD SR CTR,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,715 LEONARD STREET,BROOKLYN,11222,718-383-1940 
NEIGHBORHOOD SENIOR CENTE,42X01,CCNS PETER J DELLAMONICA NEIGHBORHOOD SC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,23-56 BROADWAY,ASTORIA,11106,718-626-1500 
NEIGHBORHOOD SENIOR CENTE,43C01,CCNS SEASIDE NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,144 BEACH 111TH STREET,ROCKAWAY PARK,11694,718-634-4047 
NEIGHBORHOOD SENIOR CENTE,25G01,CCNS ST CHARLES NEIGHBORHOOD SENIOR CENT,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,55 PIERREPONT STREET,BROOKLYN,11201,718-383-1940 
NEIGHBORHOOD SENIOR CENTE,25H01,CCNS ST LOUIS NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 KINGSTON AVENUE,BROOKLYN,11213,718-771-7945 
NEIGHBORHOOD SENIOR CENTE,24X01,CCNS THE BAY NEIGHBORHOOD SENIOR CENTER,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3643 NOSTRAND AVENUE,brooklyn,11229,718-648-2053 
NEIGHBORHOOD SENIOR CENTE,33U01,CENTER ON THE SQUARE NEIGHBORHOOD SR CTR,GREENWICH HOUSE  ,20 WASHINGTON SQUARE NORTH,NEW YORK,10011,212-777-3555 
NEIGHBORHOOD SENIOR CENTE,34701,CITY HALL NEIGHBORHOOD SENIOR CENTER,HAMILTON MADISON HOUSE INC  ,100 GOLD STREET,NEW YORK,10038,212-788-5580 
NEIGHBORHOOD SENIOR CENTE,14A01,CONCOURSE PLAZA WELLNESS NC,MID BRONX SENIOR CITIZENS COUNCIL INC ,900 GRAND CONCOURSE,BRONX,10451,718-588-8200 
NEIGHBORHOOD SENIOR CENTE,13Z01,COOP CITY NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2049 BARTOW AVENUE,BRONX,10475,718-320-2066 
NEIGHBORHOOD SENIOR CENTE,47201,CORONA NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,108-74 ROOSEVELT AVENUE,CORONA,11368,718-639-2000 
NEIGHBORHOOD SENIOR CENTE,34Z01,CORSI HOUSE NEIGHBORHOOD SENIOR CENTER,UNION SETTLEMENT ASSOCIATION INC ,307 EAST 116TH STREET,NEW YORK,10029,212-828-6756 
NEIGHBORHOOD SENIOR CENTE,32901,COTHOA LUNCHEON CLUB NEIGHBORHOOD SC,COTHOA LUNCHEON CLUB INC  ,2005 AMSTERDAM AVENUE,NEW YORK,10032,212-781-6580 
NEIGHBORHOOD SENIOR CENTE,26U01,COUNCIL CENTER FOR SENIOR CITIZENS NSC,BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN ,1001 QUENTIN ROAD,BROOKLYN,11223,718-627-7680 
NEIGHBORHOOD SENIOR CENTE,48801,CPC NAN SHAN NEIGHBORHOOD SENIOR CENTER,CHINESE-AMERICAN PLANNING COUNCIL ,136-18 39TH AVENUE,FLUSHING,11354,718-358-3030 
NEIGHBORHOOD SENIOR CENTE,32201,CPC PROJECT OPEN DOOR NEIGHBORHOOD SC,CHINESE-AMERICAN PLANNING COUNCIL ,168 GRAND STREET,NEW YORK,10013,212-431-9026 
NEIGHBORHOOD SENIOR CENTE,25L01,CYPRESS HILLS FULTON ST NBH SR CTZ CTR,CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER,3208 FULTON STREET,BROOKLYN,11208,718-235-0064 
NEIGHBORHOOD SENIOR CENTE,27701,DIANA H JONES NEIGHBORHOOD SENIOR CTR,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,9 NOLL STREET,BROOKLYN,11206,718-782-3601 
NEIGHBORHOOD SENIOR CENTE,25M01,DORCHESTER NEIGHBORHOOD SR CITIZENS CTR,DORCHESTER SENIOR CITIZENS CENTER INC ,1419 DORCHESTER ROAD,BROOKLYN,11226,718-941-6700 
NEIGHBORHOOD SENIOR CENTE,14D01,DREISER NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,177 DREISER LOOP,BRONX,10475,212-273-5208 
NEIGHBORHOOD SENIOR CENTE,34P01,DYCKMAN NEIGHBORHOOD SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,3754 10TH AVENUE,NEW YORK,10034,212-569-7790 
NEIGHBORHOOD SENIOR CENTE,13L01,E. ROBERT MOORE NEIGHBORHOOD SENIOR CTR,BRONXWORKS INC,515 JACKSON AVENUE,BRONX,10455,718 665-5559 
NEIGHBORHOOD SENIOR CENTE,13M01,EAST CONCOURSE NEIGHBORHOOD SENIOR CTR,BRONXWORKS INC,236 EAST TREMONT AVENUE,BRONX,10457,718 731-6300 
NEIGHBORHOOD SENIOR CENTE,32U01,EAST HARLEM NEIGHBORHOOD SENIOR CENTER,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC ,150 EAST 121ST STREET,NEW YORK,10035,212-722-2205 
NEIGHBORHOOD SENIOR CENTE,43K01,ELMCOR LEFRAK NEIGHBORHOOD SENIOR CENTER,ELMCOR YOUTH & ADULT ACTIVITIES INC ,98-16 55th AVENUE,CORONA,11368,718-271-1222 
NEIGHBORHOOD SENIOR CENTE,42Y01,ELMCOR NEIGHBORHOOD SENIOR CENTER,ELMCOR YOUTH & ADULT ACTIVITIES INC ,98-19 ASTORIA BOULEVARD,EAST ELMHURST,11369,718-457-9757 
NEIGHBORHOOD SENIOR CENTE,43N01,ELMHURST JACKSON HEIGHTS NEIGHBORHOOD SC,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,75-01 BROADWAY,ELMHURST,11373,718-478-7171 
NEIGHBORHOOD SENIOR CENTE,33L01,ENCORE NEIGHBORHOOD SENIOR CENTER,ENCORE COMMUNITY SERVICES  ,239 WEST 49TH STREET,NEW YORK,10019,212-581-2910 
NEIGHBORHOOD SENIOR CENTE,33P01,FIND AID COFFEEHOUSE NEIGHBORHOOD SENIOR,FIND AID FOR THE AGED  ,331 WEST 42ND STREET,NEW YORK,10036,212-947-5466 
NEIGHBORHOOD SENIOR CENTE,33N01,FIND CLINTON NEIGHBORHOOD SENIOR CENTER,FIND AID FOR THE AGED  ,530 WEST 55TH STREET,NEW YORK,10019,212-757-2026 
NEIGHBORHOOD SENIOR CENTE,33Q01,FIND HAMILTON NEIGHBORHOOD SENIOR CENTER,FIND AID FOR THE AGED  ,160 WEST 71ST STREET,NEW YORK,10023,212-787-7710 
NEIGHBORHOOD SENIOR CENTE,33R01,FIND WOODSTOCK NEIGHBORHOOD SENIOR CENTE,FIND AID FOR THE AGED  ,127 WEST 43RD STREET,NEW YORK,10036,212-74-0300  
NEIGHBORHOOD SENIOR CENTE,43F01,FLORENCE E. SMITH NEIGHBORHOOD SC,CORONA CONGREGATIONAL CHURCH  ,102-19 34TH AVENUE,CORONA,11368,718 899-0553 
NEIGHBORHOOD SENIOR CENTE,33S01,FOOD BANK NEIGHBORHOOD SENIOR CENTER,FOOD BANK FOR NEW YORK CITY,252 WEST 116TH STREET,NEW YORK,10026,212-566-1463 
NEIGHBORHOOD SENIOR CENTE,44M01,FOREST HILLS NEIGHBORHOOD SENIOR CENTER,QUEENS COMMUNITY HOUSE INC. ,108-25 62ND DRIVE,FOREST HILLS,11375,718-699-1010 
NEIGHBORHOOD SENIOR CENTE,49701,FOREST HILLS NEIGHBORHOOD SENIOR CENTER,YOUNG ISRAEL PROGRAMS INC  ,68-07 BURNS STREET,FOREST HILLS,11375,718 520-2305 
NEIGHBORHOOD SENIOR CENTE,35101,GAYLORD WHITE NEIGHBORHOOD SENIOR CENTER,UNION SETTLEMENT ASSOCIATION INC ,2029 SECOND AVENUE,NEW YORK,10029,212-828-6055 
NEIGHBORHOOD SENIOR CENTE,33T01,GODDARD RIVERSIDE NEIGHBORHOOD SC,GODDARD-RIVERSIDE COMMUNITY CENTER ,593 COLUMBUS AVENUE,NEW YORK,10024,212-665-3853 
NEIGHBORHOOD SENIOR CENTE,34801,GOOD COMPANIONS NEIGHBORHOOD SENIOR CENT,HENRY STREET SETTLEMENT  ,334 MADISON STREET,NEW YORK,10002,212-349-2770 
NEIGHBORHOOD SENIOR CENTE,25R01,GRACE AGARD HAREWOOD NEIGHBORHOOD SENIOR,FORT GREENE COUNCIL ,966 FULTON STREET,BROOKLYN,11238,718-638-6910 
NEIGHBORHOOD SENIOR CENTE,33V01,GRAND COALITION OF SENIORS NEIGHBR SC,GRAND STREET SETTLEMENT INC  ,80 PITT STREET,NEW YORK,10002,646-201-4251 
NEIGHBORHOOD SENIOR CENTE,25S01,GRANT SQUARE NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,19 GRANT SQUARE,BROOKLYN,11216,718-363-3133 
NEIGHBORHOOD SENIOR CENTE,55101,GREAT KILLS NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,11 SAMPSON AVENUE,STATEN ISLAND,10308,718-356-5050 
NEIGHBORHOOD SENIOR CENTE,26R01,HABER HOUSE NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,3024 WEST 24TH STREET,BROOKLYN,11224,718-372-5775 
NEIGHBORHOOD SENIOR CENTE,46F01,HANAC ANGELO PETROMELIS NEIGHBORHOOD SC,HELLENIC AMERICAN NEIGHBORHOOD ACTION COMMITTEE IN,13-28 123RD STREET,COLLEGE POINT,11356,718-961-0344 
NEIGHBORHOOD SENIOR CENTE,45B01,HANAC JVL DIMOTSIS NEIGHBORHOOD SR CTR,HELLENIC AMERICAN NEIGHBORHOOD ACTION COMMITTEE IN,27-40 HOYT AVENUE SOUTH,ASTORIA,11102,212-840-8005 
NEIGHBORHOOD SENIOR CENTE,43L01,HANAC RAVENSWOOD NEIGHBORHOOD SENIOR CTR,HELLENIC AMERICAN NEIGHBORHOOD ACTION COMMITTEE IN,34-35A 12TH STREET,ASTORIA,11106,718-786-1550 
NEIGHBORHOOD SENIOR CENTE,25T01,HAZEL BROOKS NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,961 OCEAN AVENUE,BROOKLYN,11226,347-435-3287 
NEIGHBORHOOD SENIOR CENTE,13K01,HEIGHTS NEIGHBORHOOD SENIOR CENTER,BRONXWORKS INC,200 WEST TREMONT AVENUE,BRONX,10453,718 299-0300 
NEIGHBORHOOD SENIOR CENTE,26J01,HES NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,9502 SEAVIEW AVENUE,BROOKLYN,11236,718-251-3700 
NEIGHBORHOOD SENIOR CENTE,44F01,HOLLISWOOD NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,86-25 FRANCIS LEWIS BOULEVARD,JAMAICA,11427,718-454-6157 
NEIGHBORHOOD SENIOR CENTE,26A01,HOMECREST BENSONHURST NEIGHBORHOOD SR CT,HOMECREST COMMUNITY SERVICES INC ,7907 NEW UTRECHT AVENUE,BROOKLYN,11214,718-621-7960 
NEIGHBORHOOD SENIOR CENTE,27V01,HOPE GARDENS MULTI SERVICE NSC,RIDGEWOOD BUSHWICK SENIOR CITIZENS COUNCIL INC ,195 LINDEN STREET,BROOKLYN,11221,718-455-3988 
NEIGHBORHOOD SENIOR CENTE,13S01,HOPE OF ISRAEL NEIGHBORHOOD SENIOR CTR,HOPE OF ISRAEL SENIOR CITIZENS CENTER INC ,1068 GERARD AVENUE,BRONX,10452,(718)665-8400
NEIGHBORHOOD SENIOR CENTE,44C01,HOWARD BEACH NEIGHBORHOOD SENIOR CENTER,SOUTH EAST QUEENS MULTI SERVICE SENIOR CITIZENS CE,156-45 84TH STREET,HOWARD BEACH,11414,718-738-8100 
NEIGHBORHOOD SENIOR CENTE,33X01,INDEPENDENCE PLAZA NEIGHBORHOOD SR CTR,GREENWICH HOUSE  ,310 GREENWICH STREET,NEW YORK,10013,212-267-0499 
NEIGHBORHOOD SENIOR CENTE,31T01,JACKIE ROBINSON NEIGHBORHOOD SENIOR CTR,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC ,1301 AMSTERDAM AVENUE,NEW YORK,10027,212-666-4910 
NEIGHBORHOOD SENIOR CENTE,13U01,JAMES MONROE NEIGHBORHOOD SENIOR CENTER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY ,1776 STORY AVENUE,BRONX,10472,718-893-3484 
NEIGHBORHOOD SENIOR CENTE,26P01,JASA STARRETT CITY NEIGHBORHOOD SR CTR,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,1540 VAN SICLEN AVENUE,ROOKLYN,11239,718 642-1010 
NEIGHBORHOOD SENIOR CENTE,26S01,JAY-HARAMA NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,2600 OCEAN AVENUE,BROOKLYN,11229,718-891-1110 
NEIGHBORHOOD SENIOR CENTE,54801,JCC SOUTH SHORE NEIGHBORHOOD SENIOR CTR,JEWISH COMMUNITY CENTER OF STATEN ISLAND INC ,1297 ARTHUR KILL ROAD,STATEN ISLAND,10312,718-475-5283 
NEIGHBORHOOD SENIOR CENTE,35201,JEFFERSON HOUSES NEIGHBORHOOD SENIOR CEN,UNION SETTLEMENT ASSOCIATION INC ,2205 FIRST AVENUE,NEW YORK,10029,212-828-6104 
NEIGHBORHOOD SENIOR CENTE,34S01,JOHN PAUL II FRIENDSHIP NEIGHBORHOOD SC,POLISH & SLAVIC CENTER INC  ,103 EAST 7TH STREET,NEW YORK,10009,212-673-7704 
NEIGHBORHOOD SENIOR CENTE,43501,JSPOA FRIENDSHIP NEIGHBORHOOD SENIOR CTR,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-33 170TH STREET,JAMAICA,11433,718-657-6540 
NEIGHBORHOOD SENIOR CENTE,42Q01,JSPOA THEODORA JACKSON NSC,JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC ,92-47 165TH STREET,JAMAICA,11433,718-657-6618 
NEIGHBORHOOD SENIOR CENTE,33Y01,JUDITH C WHITE NEIGHBORHOOD SENIOR CTR,GREENWICH HOUSE  ,27 BARROW STREET,NEW YORK,10014,212-242-4140 
NEIGHBORHOOD SENIOR CENTE,44K01,KCS CORONA NEIGHBORHOOD SENIOR CENTER,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK,37-06 111TH STREET,CORONA,11368,718-651-9220 
NEIGHBORHOOD SENIOR CENTE,43R01,KCS FLUSHING NEIGHBORHOOD SENIOR CENTER,KOREAN COMMUNITY SERVICES OF METROPOLITAN NEW YORK,42-15 166TH STREET,FLUSHING,11358,718-886-8203 
NEIGHBORHOOD SENIOR CENTE,14F01,KIPS BAY CASTLE HILL NEIGHBORHOOD SR CTR,KIPS BAY BOYS AND GIRLS CLUB  ,625 CASTLE HILL AVENUE,BRONX,10473,718-319-9156 
NEIGHBORHOOD SENIOR CENTE,26Y01,KRAKUS LUNCHEON CLUB NEIGHBORHOOD SC,POLISH & SLAVIC CENTER INC  ,176 JAVA STREET,BROOKLYN,11222,718-383-3434 
NEIGHBORHOOD SENIOR CENTE,34Q01,LAGUARDIA NEIGHBORHOOD SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,280 CHERRY STREET,NEW YORK,10002,212-732-3656 
NEIGHBORHOOD SENIOR CENTE,34M01,LENOX HILL NEIGHBORHOOD SENIOR CENTER,LENOX HILL NEIGHBORHOOD HOUSE INC ,619 LEXINGTON AVENUE,NEW YORK,10022,212-308-1959 
NEIGHBORHOOD SENIOR CENTE,27E01,LOS SURES DAVID SANTIAGO NEIGHBORHOOD SC,SOUTHSIDE UNITED HOUSING DEVELOPMENT FUND CORP ,201 SOUTH  4TH STREET,BROOKLYN,11211,718 384-2314 
NEIGHBORHOOD SENIOR CENTE,26K01,LUNA PARK NEIGHBORHOOD SENIOR CENTER,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,2880 WEST  12TH STREET,BROOKLYN,11224,718-996-6666 
NEIGHBORHOOD SENIOR CENTE,26H01,MANHATTAN BEACH NEIGHBORHOOD SENIOR CTR,JEWISH ASSOCIATION FOR SERVICES FOR THE AGED ,60 WEST END AVENUE,BROOKLYN,11235,718-646-1118 
NEIGHBORHOOD SENIOR CENTE,35801,MANHATTANVILLE RIVERSIDE NEIGHBORHOOD SC,UNITED BLOCK ASSOCIATION INC  ,3333 BROADWAY,NEW YORK,10031,212-862-5562 
NEIGHBORHOOD SENIOR CENTE,13N01,MARBLE HILL NEIGHBORHOOD SENIOR CENTER,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,5365 BROADWAY,BRONX,10463,718-562-8551 
NEIGHBORHOOD SENIOR CENTE,25U01,MARIA LAWTON NEIGHBORHOOD SENIOR CENTER,FORT GREENE COUNCIL ,400 HART STREET,BROOKLYN,11206,718-452-7474 
NEIGHBORHOOD SENIOR CENTE,26T01,MARLBORO NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,2298 WEST 8TH STREET,BROOKLYN,11224,718-373-6161 
NEIGHBORHOOD SENIOR CENTE,13R01,MELROSE MOTT HAVEN NEIGHBORHOOD SR CTR,EAST SIDE HOUSE INC  ,372 EAST 152 STREET,BRONX,10455,718-665-2280 
NEIGHBORHOOD SENIOR CENTE,45F01,MIDDLE VILLAGE NEIGHBORHOOD SENIOR CTR,RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF ,69-10 75TH STREET,MIDDLE VILLAGE,11379,718-894-3441 
NEIGHBORHOOD SENIOR CENTE,24M01,MIDWOOD NEIGHBORHOOD SENIOR CENTER,BERGEN BASIN COMM DEV CORP/DBA MILLENNIUM DEVELOPM,4815 AVENUE I,BROOKLYN,11234,718-253-5557 
NEIGHBORHOOD SENIOR CENTE,13Q01,MITCHELL NEIGHBORHOOD SENIOR CENTER,EAST SIDE HOUSE INC  ,372 EAST 152 STREET,BRONX,10455,(718)665-5250
NEIGHBORHOOD SENIOR CENTE,30C01,MORIAH OLDER ADULT LUNCHEON NEIGHBRHD SC,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC ,90 BENNETT AVENUE,NEW YORK,10033,212-923-5715 
NEIGHBORHOOD SENIOR CENTE,13P01,MOSHOLU MONTEFIORE NEIGHBORHOOD SR CTR,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE,3450 DEKALB AVENUE,BRONX,10467,718-798-6601 
NEIGHBORHOOD SENIOR CENTE,34R01,MOTT STREET NEIGHBORHOOD SENIOR CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC ,180 MOTT STREET,NEW YORK,10012,212 962-7653 
NEIGHBORHOOD SENIOR CENTE,55401,MOUNT LORETTO NEIGHBORHOOD SENIOR CENTER,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,6581 HYLAN  BOULEVARD,STATEN ISLAND,10309,718-984-8589 
NEIGHBORHOOD SENIOR CENTE,14H01,N SHOPP LEON NEIGHBORHOOD SENIOR CENTER,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJEC,735 EAST 152ND STREET,BRONX,10455,718-708-6897 
NEIGHBORHOOD SENIOR CENTE,55501,NEW DORP BEACH NEIGHBORHOOD SENIOR CENTE,STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS ,128 CEDAR GROVE AVENUE,STATEN ISLAND,10306,718-987-3934 
NEIGHBORHOOD SENIOR CENTE,54901,NEW LANE NEIGHBORHOOD SENIOR CENTER,COMMUNITY AGENCY FOR SENIOR CITIZENS INC ,70 NEW LANE,STATEN ISLAND,10305,718-448-5936 
NEIGHBORHOOD SENIOR CENTE,43V01,NEWTOWN ITALIAN NEIGHBORHOOD SENIOR CTR,ITALIAN SENIOR CITIZENS CENTER ,83-20 QUEENS BOULEVARD,ELMHURST,11383,718-335-7272 
NEIGHBORHOOD SENIOR CENTE,14J01,NORTHEAST BRONX NEIGHBORHOOD SENIOR CTR,NORTHEAST BRONX SENIOR CITIZEN CENTER INC ,2968 BRUCKNER BLVD,BRONX,10465,718-892-6090 
NEIGHBORHOOD SENIOR CENTE,32001,NY CHINATOWN NEIGHBORHOOD SENIOR CENTER,CHINESE-AMERICAN PLANNING COUNCIL ,70 MULBERRY STREET,NEW YORK,10013,212-233-8930 
NEIGHBORHOOD SENIOR CENTE,26V01,OCEAN PARKWAY NEIGHBORHOOD SENIOR CENTER,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND I,1960 EAST 7TH STREET,BROOKLYN,11229,718-627-2500 
