Store,Bus City,Bus Zip,Year Opened,Business Size,Category,Business Phone,Location 1
Hot Spot,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,(718) 523-1190,"163 08 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
T- Mobile,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-526-7023 / (718) 739-3498,"163 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Maxim Beauty Supply,Jamaica,11432,,Mom and Pop,HEALTH & BEAUTY,718-291-3232,"163 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Sports Jam,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,718-460-0834,"163 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Optical Warehouse Express,Jamaica,11432,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-206-9200,"163 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Lucille Roberts,Jamaica,11432,,National,ENTERTAINMENT/EXERCISE,(718) 657-9885,"163 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Porta Bella,Jamaica,11432,,,APPAREL/FOOTWEAR,718-292-3645,"163 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Harris Stores,Jamaica,11432,,,VARIETY ,718-523-9024,"163 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kicks 4 Kicks,Jamaica,11432,2009,Mom and Pop,APPAREL/FOOTWEAR,,"163 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Ness),Jamaica,11432,,Vacant,VACANT,,"163 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Unknown,Jamaica,11432,,Vacant,VACANT,,"163 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
First Class Shop Inc. ,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-291-1599,"163 28 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Expo 2000,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,(718) 739-6160 / 718-291-1112,"163 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Lens Lab Express GVS,Jamaica,11432,,Regional,MEDICAL/DENTAL/OPTICAL,718-526-2332,"163 34 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Modell’s Sporting Goods,Jamaica,11432,,National,APPAREL/FOOTWEAR,(718) 297-4402,"163 40 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cell Point,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-657-7015,"163 40 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Paradise Decorator,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,718-657-7015,"163 44 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
C-Mobile ,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-206-3043,"163 46 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bargain’s International,Jamaica,11432,,Mom and Pop,VARIETY ,(718) 657-1894 / (718) 657-6896,"164 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Avenue Furniture,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS,718-883-7764,"164 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Electronics for Best,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-657-7704,"164 06 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fino Menswear & Shoes,Jamaica,11432,,Regional,APPAREL/FOOTWEAR,718-523-8202,"164 08 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cutie Angels,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,(718) 558-5904,"164 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Digicell Queens,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-206-0301 / 718-206-2640,"164 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fashion US (sublet),Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,347-845-2679,"164 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Shoe in New York ,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,(718) 523-4080,"164 14 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Linen Source,Jamaica,11432,,Mom and Pop,SPECIALTY,(718) 297-7015,"164 16 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Power House Electronics,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,(718) 206-1046,"164 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bank of America ATM (do not mail),Jamaica,11432,,National,BANKING,1-800-841-4000,"164 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fabco Shoes,Jamaica,11432,,National,APPAREL/FOOTWEAR,917-753-1019,"163 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Urban Terrain ,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,718-883-9300,"163 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Radio Active Electronics,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,(718) 739-1268,"163 13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Zales Jewelers,Jamaica,11432,,National,JEWELRY & ACCESSORIES ,718-526-0175,"163 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Strawberrys,Jamaica,11432,,National,APPAREL/FOOTWEAR,718-526-2800 / SLeventhal: (201) 393-0600 ext 6039,"163 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Heaven Shoes (sublet),Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,(718) 526-7283,"163 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Liberty Trading & Video Games (sublet),Jamaica,11432,,Mom and Pop,GAMES/VIDEO/MUSIC,,"163 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Laura's Shoes (sublet),Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,(718) 558-5900,"163 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Diamond Gallery (sublet),Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-725-9388,"163 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Sprint,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-221-4727,"163 23 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Danice,Jamaica,11432,,Regional,APPAREL/FOOTWEAR,718-526-1630 / BJ c: (516) 643-8200,"163 27 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dr. Jay's,Jamaica,11432,,Regional,APPAREL/FOOTWEAR,718-658-7500,"163 33 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Tick Tock ,Jamaica,11432,,Regional,APPAREL/FOOTWEAR,718-526-6600,"163 35 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
V.I.M,Jamaica,11432,,Regional,APPAREL,718-297-3337 / Karim: 718-596-1414/7288,"164 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Hyperactive,Jamaica,11432,,Regional,APPAREL/FOOTWEAR,718-523-8658,"164 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Don’t Panic,Jamaica,11432,,Mom and Pop,APPAREL/FOOTWEAR,718-298-6648,"164 09 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
AT&T,Jamaica,11432,,National,ELECTRONICS/CELLULAR,(718) 291-2193,"164 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bargain King,Jamaica,11432,,Mom and Pop,VARIETY,718-725-2836,"164 13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Foot Locker,Jamaica,11432,,National,FOOTWEAR,(718) 291-3432,"164 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Pretty Girl,Jamaica,11432,,Regional,WOMEN'S FASHION,718-657-6384,"164 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
King David Jewelry,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-206-9257,"164 17A Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fashion Corner,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-291-0202,"165 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Big Boys Tattoo & Piercing,Jamaica,11432,,Mom and Pop,OTHER,,"165 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Zan Jewelry,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-297-9006,"165 04 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Gabriella),Jamaica,11432,,Vacant,VACANT,,"165 06 08 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Beauty Supply,Jamaica,11432,,Regional,HEALTH & BEAUTY,(718) 658-3582,"165 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Gentle Family Dental,Jamaica,11432,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,,"165 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kidz City,Jamaica,11432,,Mom and Pop,CHILDREN,(718) 206-1121,"165 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Lola,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,,"165 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Expo 2000,Jamaica,11432,,Regional,WOMEN'S FASHION,(718) 739-6160 ,"165 16 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Total Home Decorators,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,(718) 526-3526,"165 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Gabriella,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,,"165 20 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Pan Hill Fashion,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-297-0208 / (718) 297-2679,"165 22 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Blu-Blu and Co.,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-526-7634,"165 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
No frontage on Jamaica Ave,Jamaica,11432,,Vacant,,,
Wizard of Eyes Optical,Jamaica,11432,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-523-0730,"165 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Ameritel/T-Mobile,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-297-3999,"165 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Beverly Boutique,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,,"165 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Swagger),Jamaica,11432,,Vacant,VACANT,(718) 658-3001,"165 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Tabernacle of Prayer,Jamaica,11432,,Government/Nonprofit/Religious,GOVERNMENT/CULTURAL/RELIGIOUS,(718) 657-4210 ext 20 / (718) 657-3003,"9007 Merrick Blvd
Jamaica, NY
(40.70715615542018, -73.79482850672389)"
Bondi Jewelry,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-739-6729,"165 13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Hot Point,Jamaica,11432,,Regional,WOMEN'S FASHION,718-297-9898,"165 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Ashley Stewart,Jamaica,11432,,National,WOMEN'S FASHION,718-739-6860,"165 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Rainbow,Jamaica,11432,,National,WOMEN'S FASHION,718-206-1221,"165 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
The Gap Factory Store,Jamaica,11432,,National,APPAREL,store: 718-725-0163 / (732) 882-5397 / DGraham c: (732) 833-7329,"166 02 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
ABC Wigs & Beauty,Jamaica,11432,,Mom and Pop,HEALTH & BEAUTY,718-526-7210,"166 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Terminal Lingerie,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-526-6766,"166 12 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fashion Touch,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-291-2750,"166 14 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Empire State Men's Wear,Jamaica,11432,,Mom and Pop,MENSWARE,718-523-1150,"166 16 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Naomi Fashion,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-657-3702,"166 22 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica New Beauty Supply,Jamaica,11432,,Mom and Pop,HEALTH & BEAUTY,(718) 526-8105,"166 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
"J & K Fruit Exchange, Inc.",Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,718-526-6407,"166 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Khai Shun Gift Shop,Jamaica,11432,,Mom and Pop,VARIETY ,718-206-1945,"166 28 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
McDonald's,Jamaica,11432,,National,FOOD & BEVERAGE,(718) 526-8587,"166 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Furniture Zone),Jamaica,11432,,Vacant,VACANT,,"166 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (Armed Forces Recruiting),Jamaica,11432,,Vacant,VACANT,718-657-7489,"166 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Ronit Fashions,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-558-0377,"166 32 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Avon,Jamaica,11432,,National,HEALTH & BEAUTY,718-526-1996 / Nola c: 917-698-4200,"166 34 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Fulton Furniture,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,(718) 658-5828,"166 36 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
P & G Blue Angels,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-739-0606,"166 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Hot Spot Fashion,Jamaica,11432,,Regional,WOMEN'S FASHION,718-523-1190,"166 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Save-a-Thon,Jamaica,11432,,Regional,VARIETY,718-558-4334,"166 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Hotbeat Electronics ,Jamaica,11432,,Mom and Pop,ELECTRONICS/CELLULAR,718-558-0086,"166 11 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cookie's Dept. Store,Jamaica,11432,,National,CHILDREN,718-291-7700/(718) 797-3300,"166 13 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cookie's Dept. Store,,,,,,,"166 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
King Curtain Corp.,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS,,"166 17 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Nine West Outlet,Jamaica,11432,,National,OUTLET,718-291-2864,"166 19 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cookie's Dept. Store,,,,,,,"166 21 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Cookie's Dept. Store,,,,,,,"166 23 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
EZ Department Store,Jamaica,11432,,Mom and Pop,VARIETY,,"166 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Forever Shoes,Jamaica,11432,,Mom and Pop,FOOTWEAR,,"166 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bali Jewelry,Jamaica,11432,,Mom and Pop,JEWELRY & ACCESSORIES ,718-739-2528,"166 29 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Popular Beauty Products,Jamaica,11432,,Mom and Pop,HEALTH & BEAUTY,718-262-0274,"166 33 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Flashy Girl,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-657-1220,"166 35 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
T-Mobile,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-526-7023,"166 37-9 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Dunkin Donuts,Jamaica,11432,,National,FOOD & BEVERAGE,718-526-9690,"168 04 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
The Spot,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,718-883-0405,"168 10 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Sweet Home Decorators,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,718-523-5101,"168 10A Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Albee Dental Care,Jamaica,11432,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-658-0123 / 718-514-6154,"168 14 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Subway,Jamaica,11432,,National,FOOD & BEVERAGE,718-297-0236,"168 14 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Kennedy Fried Chicken,Jamaica,11432,,Regional,FOOD & BEVERAGE,(718) 206-1088,"168 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Salon Innovations,Jamaica,11432,,Mom and Pop,HAIR & NAILS,(718) 658-8881 / c: 848-467-1943,"168 18 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
The Doctor's Building,Jamaica,11432,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-739-5454,"168 20 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Nana African Hair Braiding,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-297-5008,"168 22 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Affinity Health Plan ,Jamaica,11432,,Regional,MEDICAL/DENTAL/OPTICAL,(718) 794-7684 / (718) 794-7906 / c: Ruth c: (347) 865-5941,"168 22 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Hair Factory Galaxy,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-206-1670,"168 24 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Mexican Restaurant,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,718-657-1880,"168 26 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Jamaica Fabric Depot,Jamaica,11432,,Mom and Pop,SPECIALTY,718-658-3118,"168 28 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Universal Beauty Supply,Jamaica,11432,,Mom and Pop,HEALTH & BEAUTY,718-658-3368,"168 30 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Big & Tall Too,Jamaica,11432,,Regional,MENSWARE,,"168 01 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vision World Optical,Jamaica,11432,,Mom and Pop,MEDICAL/DENTAL/OPTICAL,718-657-4170,"168 03 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Hot Stuff Boutique,Jamaica,11432,,Mom and Pop,WOMEN'S FASHION,,"168 05 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Radio Shack,Jamaica,11432,,National,ELECTRONICS/CELLULAR,718-739-1602,"168 07 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Seaman Furniture,Jamaica,11432,,National,HOME & FURNISHINGS  ,(718) 657-7050,"168 09 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Asahi Martial Arts Academy,Jamaica,11432,,Mom and Pop,ENTERTAINMENT/EXERCISE,(718) 297-4818,"91 21 168th St
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Bargain Hunters,Jamaica,11432,,Regional,VARIETY,718-523-7572,"168 15 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
No frontage on Jamaica Ave,Jamaica,11432,,,,,
Marshalls,Jamaica,11432,,National,VARIETY,(718) 725-0409,"168 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Conway,Jamaica,11432,,Regional,VARIETY,,"168 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Telco,Jamaica,11432,,Regional,VARIETY,718-262-9061,"168 25 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Delicate Furniture,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,718-739-4000,"168 53 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Payless Shoes,Jamaica,11432,,National,FOOTWEAR,718-526-6271,"168 53 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Sunshine Deli,Jamaica,11432,,Mom and Pop,FOOD & BEVERAGE,718-558-0770,"168 34 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
J&A Nail Salon,Jamaica,11432,,Mom and Pop,HAIR & NAILS,718-298-9660,"168 38 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Vacant (CityWide Furniture),Jamaica,11432,,Vacant,VACANT,,"168 36 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Ace Furniture,Jamaica,11432,,Mom and Pop,HOME & FURNISHINGS  ,718-657-4444,"168 40 Jamaica Ave
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
