Facility Type,License Number,Entity Name,Camis Trade Name,Address Street Name,Street Address,Address Location,Address Zip Code,Telephone Number,Number of Spaces,Location 1
Parking Lot,890610,"MORALES, DORY",DORY MORALES PARKINGLOT,GATES AVENUE,1455 GATES AVENUE,1455-1459,11237,7183860620,30,"1455 GATES AVENUE
BROOKLYN, NY 11237
(40.697495151038126, -73.91425983983848)"
Parking Garage,891228,"HOLY, MIRA M",,LORIMER STREET,848 LORIMER STREET,848-862,11222,7183896510,25,"848 LORIMER STREET
BROOKLYN, NY 11222
(40.72213810055406, -73.95083676383737)"
Parking Garage,891578,THE HERTZ CORP,,EAST   76 STREET,355 EAST   76 STREET,,10021,2124865908,260,"355 76 STREET
NEW YORK, NY 10021
(40.77074874291429, -73.95496213828062)"
Parking Garage,892164,ROCKMILL GARAGE CORP,,EAST   94 STREET,340 EAST   94 STREET,,10128,2128661000,124,"340 94 STREET
NEW YORK, NY 10128
(40.78251562968914, -73.9470907715308)"
Parking Garage,892366,MANAGEMENT SYSTEMS LLC,,EAST   32 STREET,200 EAST   32 STREET,,10016,2126869800,33,"200 32 STREET
NEW YORK, NY 10016
(40.74431766847317, -73.97874920595558)"
Parking Lot,892932,W. 26 ST. PARKING CORP.,,10 AVENUE,279-283 10 AVENUE,,10001,2126432062,160,"279 283 10 AVENUE
NEW YORK, NY 10001
(40.75025902143676, -73.99688630375988)"
Parking Lot,894142,KINGSBRIDGE PARKING CORPORATION,,JEROME AVENUE,2686 JEROME AVENUE,1ST FLOOR,10468,7183641819,57,"2686 JEROME AVENUE
BRONX, NY 10468
(40.86794065900791, -73.89699560548539)"
Parking Lot,894307,MYRDOT REALTY CORP,,62 STREET,1527 62 STREET,,11219,7182593616,50,"1527 62 STREET
BROOKLYN, NY 11219
(40.62469510017904, -73.99468753179654)"
Parking Garage,894438,PRECISE PARKING CORP,,EAST   18 STREET,150 EAST   18 STREET,,10003,7187215243,58,"150 18 STREET
NEW YORK, NY 10003
(40.73620501261116, -73.98643048031582)"
Parking Lot,895134,FLASH PARKING INC,,SMITH STREET,404 SMITH STREET,,11231,7188755975,99,"404 SMITH STREET
BROOKLYN, NY 11231
(40.67744838687205, -73.99649308878915)"
Parking Lot,896443,RELIABLE PARKING CORP,,EAST MOUNT EDEN AVENUE,299 EAST MOUNT EDEN AVENUE,,10457,2127536116,115,"299 MOUNT EDEN AVENUE
BRONX, NY 10457
(40.84269572441287, -73.90688266255115)"
Parking Lot,896444,RELIABLE PARKING CORP,,EAST  169 STREET,585 EAST  169 STREET,,10456,2127536116,240,"585 169 STREET
BRONX, NY 10456
(40.832096197210184, -73.90295728646174)"
Parking Lot,896736,RELIABLE PARKING CORP,,FRANKLIN AVENUE,1193 FRANKLIN AVENUE,1208 FULTON ST,10456,2127536116,150,"1193 FRANKLIN AVENUE
BRONX, NY 10456
(40.82968515379067, -73.90423272412777)"
Parking Garage,896827,CENTRAL PARKING SYSTEM OF NEW YORK INC,,PARK PLACE,75 PARK PLACE,,10007,2125649199,100,"75 PARK PLACE
NEW YORK, NY 10007
(40.71393527886628, -74.01067717079394)"
Parking Garage,897040,INDEPENDENT PARKING LLC,,EAST   72 STREET,422 EAST   72 STREET,,10021,2126869800,77,"422 72 STREET
NEW YORK, NY 10021
(40.76727735988118, -73.95473730777331)"
Parking Lot,897188,2 J'S PARKING LOT INC,,WEBSTER AVENUE,2768 WEBSTER AVENUE,,10458,7183653468,117,"2768 WEBSTER AVENUE
BRONX, NY 10458
(40.86591837183601, -73.88581945394404)"
Parking Garage,897530,NEW YORK PARKING 57TH ST CORP,,EAST   57 STREET,110 EAST   57 STREET,,10022,2122493344,65,"110 57 STREET
NEW YORK, NY 10022
(40.761314854826935, -73.97006175515259)"
Parking Lot,897920,REGINA PACIS HOUSING CORP,,CROPSEY AVENUE,2424-40 CROPSEY AVENUE,,11214,7187400416,38,"2424 40 CROPSEY AVENUE
BROOKLYN, NY 11214
(40.604011809897145, -74.0009690001192)"
Parking Garage,898031,EDISON 9TH AVE PARKING CORP,,WEST   33 STREET,440 WEST   33 STREET,,10001,2016432080,82,"440 33 STREET
NEW YORK, NY 10001
(40.753260837005854, -73.99814642093637)"
Parking Garage,898076,KINNEY SYSTEM INC,,EAST  210 STREET,120 EAST  210 STREET,,10467,2126296602,862,"120 210 STREET
BRONX, NY 10467
(40.87979148282302, -73.88016989592194)"
Parking Garage,898077,KINNEY SYSTEM INC,KINNEY SYSTEM,WAYNE AVENUE,3414 WAYNE AVENUE,MONTEFIORE HOSPITAL,10467,2128894444,662,"3414 WAYNE AVENUE
BRONX, NY 10467
(40.87960951916951, -73.87793647144666)"
Parking Garage,898215,SYLVAN PINNACLE GARAGE CORP,,QUEENS BOULEVARD,112-01 QUEENS BOULEVARD,,11375,7185759440,421,"112 01 QUEENS BOULEVARD
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Garage,898706,"PARIS, ZACARIAS P",P & P PARKING LOT,GERARD AVENUE,1300 GERARD AVENUE,A/K/A 21 E 169TH ST,10452,7182933679,30,"1300 GERARD AVENUE
BRONX, NY 10452
(40.838158578178174, -73.91923161825794)"
Parking Garage,899288,POO PARKING CORP,,MORRIS AVENUE,1752 MORRIS AVENUE,,10457,2127536116,150,"1752 MORRIS AVENUE
BRONX, NY 10457
(40.84570907404183, -73.90926228136162)"
Garage - Parking Lot Combo,899470,POO PARKING CORP,,SELWYN AVENUE,1650 SELWYN AVENUE,,10457,7187536116,64,"1650 SELWYN AVENUE
BRONX, NY 10457
(40.84317219644427, -73.91039471761154)"
Garage - Parking Lot Combo,899744,COSMOPOLITAN PARKING CORP,SAA,EAST   21 STREET,34-36 EAST   21 STREET,34 36 E 21 ST,10010,2122493344,36,"34 36 EAST 21 STREET
MANHATTAN, NY 10010
(40.73914078212147, -73.98289845639863)"
Garage - Parking Lot Combo,900020,615 GARAGE CORP,,5 AVENUE,800 5 AVENUE,,10021,2129355252,150,"800 5 AVENUE
NEW YORK, NY 10021
(40.769882244021005, -73.96885630483071)"
Parking Garage,900505,CHIVIAN GARAGE CORP,,WEST   12 STREET,101 WEST   12 STREET,,10011,2129562280,98,"101 12 STREET
NEW YORK, NY 10011
(40.73616081766738, -73.99811160924645)"
Parking Garage,900653,DEPENDABLE PARKING LLC,DEPENDABLE PARKING LLC,WEST   55 STREET,230 WEST   55 STREET,AKA 228-236 WEST 55 STREET,10019,2126869800,195,"230 55 STREET
NEW YORK, NY 10019
(40.76483650376538, -73.98251225743059)"
Parking Lot,900877,S&R PARKING INC,,WEST   37 STREET,312-318 WEST   37 STREET,,10018,7187842640,77,"312 318 WEST 37 STREET
MANHATTAN, NY 10018
(40.756840774582145, -73.99669149981281)"
Parking Garage,901085,LTG PARKING CORP,,WEST END AVENUE,205 WEST END AVENUE,,10023,2129999999,320,"205 END AVENUE
NEW YORK, NY 10023
(40.774536138232236, -73.97994335610099)"
Parking Garage,901086,LTG PARKING CORP,,WEST END AVENUE,185 WEST END AVENUE,,10023,2129999999,411,"185 END AVENUE
NEW YORK, NY 10023
(40.56329241312031, -74.17865860807258)"
Parking Garage,901087,LTG PARKING CORP,,WEST END AVENUE,165 WEST END AVENUE,,10023,2129999999,445,"165 END AVENUE
NEW YORK, NY 10023
(40.563332017479794, -74.17866630892026)"
Parking Garage,901088,LTG PARKING CORP,,WEST END AVENUE,150 WEST END AVENUE,,10023,2129999999,163,"150 END AVENUE
NEW YORK, NY 10023
(40.56335269915866, -74.17874327846428)"
Parking Lot,901401,"ABIDI, JAVED",,FRANKLIN STREET,177 FRANKLIN STREET,,11222,7185788376,35,"177 FRANKLIN STREET
BROOKLYN, NY 11222
(40.73269148051338, -73.95809719471133)"
Parking Garage,901540,9-11 WEST 100TH STREET CORP,,WEST  100 STREET,9 11 WEST  100 STREET,,10025,2128661000,75,"9 11 WEST 100 STREET
MANHATTAN, NY 10025
(40.79685012763133, -73.96372581059762)"
Parking Garage,901637,WOOSTER PARKING CORP,,CANAL STREET,349 CANAL STREET,,10013,2122268541,225,"349 CANAL STREET
NEW YORK, NY 10013
(40.72073744486488, -74.00374136514984)"
Parking Lot,901734,910 GARAGE CORP,,2 AVENUE,910 2 AVENUE,,10017,2122435900,42,"910 2 AVENUE
NEW YORK, NY 10017
(40.75389147829803, -73.9691947864955)"
Parking Garage,901963,GRACIE PUBLIC   PARKING CORP,,EAST   89 STREET,401 EAST   89 STREET,,10128,2127367171,114,"401 89 STREET
NEW YORK, NY 10128
(40.77860881745033, -73.94749776543745)"
Parking Lot,902515,CHUNG PAK PARKING CORP,,BAXTER STREET,95 BAXTER STREET,95-97 1/2 BAXTER ST,10013,2125131344,28,"95 BAXTER STREET
MANHATTAN, NY 10013
(40.71719505893157, -73.99949872469476)"
Parking Lot,902630,"BENENATI, VINCENT A",VABCO PARKING SYSTEM,PUTNAM AVE,19-33 PUTNAM AVE,,11385,7184974389,100,"19 33 PUTNAM AVE
RIDGEWOOD, NY 11385
(40.70122489161548, -73.88334858436963)"
Parking Garage,903997,CENTRAL PARKING SYSTEM OF NEW YORK INC,,EAST   58 STREET,109 EAST   58 STREET,,10022,2126296602,150,"109 58 STREET
NEW YORK, NY 10022
(40.76209592001527, -73.96974036534424)"
Garage - Parking Lot Combo,904077,FIELD LAGUARDIA ASSOCIATES INC,HOLIDAY INN CROWN PLAZA,DITMARS BOULEVARD,104-04 DITMARS BOULEVARD,,11369,7184576300,259,"104 04 DITMARS BOULEVARD
ELMHURST, NY 11369
(40.76341327370369, -73.8723788986672)"
Garage - Parking Lot Combo,904133,SOVEREIGN CAR PARK INC,GGMC,EAST   58 STREET,425 EAST   58 STREET,,10022,2129966363,294,"425 58 STREET
NEW YORK, NY 10022
(40.75876150485084, -73.96183951714949)"
Parking Lot,904395,RMG PARKING CORP,CAR PARK,WEST   46 STREET,610 WEST   46 STREET,,10036,2125821951,185,"610 46 STREET
NEW YORK, NY 10036
(40.76348664628553, -73.99677673387411)"
Parking Garage,904481,RAMP PARKING CORP,,ELIZABETH STREET,44 ELIZABETH STREET,,10013,2128661000,150,"44 ELIZABETH STREET
NEW YORK, NY 10013
(40.71707720420568, -73.99663672111836)"
Parking Garage,904543,12TH STREET GARAGE CORP,,EAST   12 STREET,17 EAST   12 STREET,17-19 E 12 ST,10003,2122435900,285,"17 12 STREET
NEW YORK, NY 10003
(40.73414633632177, -73.99333620927086)"
Parking Lot,904670,2875 WEST EIGHT     STREET ASSOCIATES LP,,WEST    8 STREET,2875 WEST    8 STREET,,11224,7185226800,310,"2875 8 STREET
BROOKLYN, NY 11224
(40.57754579431968, -73.97631270406258)"
Parking Garage,905127,15 WEST 72ND ST CORP,,WEST   72 STREET,15 WEST   72 STREET,,10023,2128661000,176,"15 72 STREET
NEW YORK, NY 10023
(40.776720241188855, -73.97712143308257)"
Parking Garage,905554,50-51 PARKING CORP,,EAST  143 STREET,260 EAST  143 STREET,,10451,7189936902,150,"260 143 STREET
BRONX, NY 10451
(40.81520833447427, -73.92443396641596)"
Parking Garage,906120,OXFORD PARKING CORP,,EAST   49 STREET,333 EAST   49 STREET,,10017,2122493344,51,"333 49 STREET
MANHATTAN, NY 10017
(40.753928872779774, -73.96816200005885)"
Parking Lot,906199,"CABELLERO, HIGINIO",CHILE'S PARKING LOT,SHAKESPEARE AVENUE,1282 SHAKESPEARE AVENUE,1282-6 SHAKESPEARE AVE,10452,7189423986,54,"1282 SHAKESPEARE AVENUE
BRONX, NY 10452
(40.83930057144147, -73.92253738889846)"
Parking Garage,906410,MARK TWAIN GARAGE CORP,,WEST   12 STREET,100 WEST   12 STREET,,10011,2129562280,40,"100 12 STREET
MANHATTAN, NY 10011
(40.73602569014743, -73.99785905317353)"
Parking Garage,906438,CLAREMONT PARKING CORP,,RIVERSIDE DRIVE,480 RIVERSIDE DRIVE,,10027,2128661000,200,"480 RIVERSIDE DRIVE
NEW YORK, NY 10027
(40.81133571365616, -73.9638929124822)"
Parking Garage,906639,NEW WEST MANAGEMENT CORP,,LORING PLACE,1810 LORING PLACE,,10453,2125416050,65,"1810 LORING PLACE
BRONX, NY 10453
(40.852149806977266, -73.9161976121963)"
Parking Garage,907146,AIR PARK OF JFK INC.,,SOUTH CONDUIT AVENUE,153-44 SOUTH CONDUIT AVENUE,,11434,7182767000,150,"153 44 SOUTH CONDUIT AVENUE
JAMAICA, NY 11434
(40.6769452621142, -73.77530690169215)"
Parking Garage,908174,CENTRAL PARKING SYSTEM OF NEW YORK INC,,BROADWAY,1250 BROADWAY,,10001,2126296602,150,"1250 BROADWAY
NEW YORK, NY 10001
(40.748199797079344, -73.98815599707768)"
Parking Lot,908352,MADISON STREET OPERATING CORP,MADISON STREET OPERATING,MADISON STREET,88 MADISON STREET,,10002,2125755335,50,"88 MADISON STREET
NEW YORK, NY 10002
(40.712131201065134, -73.99615000295009)"
Parking Garage,908745,CHAMPION PARKING 77 STREET CORP,,EAST   77 STREET,49 EAST   77 STREET,,10021,2122493344,113,"49 77 STREET
NEW YORK, NY 10021
(40.63170723099253, -74.0353356803909)"
Parking Lot,909273,S P I OPERATING CORP,,WEST   27 STREET,132-142 WEST   27 STREET,,10001,7187215243,85,"132 142 WEST 27 STREET
MANHATTAN, NY 10001
(40.75025902143676, -73.99688630375988)"
Parking Lot,909797,"ALARCON-MORDINI ENTERPRISES, INC.",,ROOSEVELT AVENUE,77-11 ROOSEVELT AVENUE,,11372,7184244400,100,"77 11 ROOSEVELT AVENUE
JACKSON HEIGHTS, NY 11372
(40.75163073936716, -73.88361254528269)"
Parking Lot,910018,MARILU PARKING CORP,,47 AVENUE,40843 47 AVENUE,10-33 47TH AVENUE,11101,7187298531,40,"40843 47 AVENUE
LONG ISLAND CIT, NY 11101
(40.74626131003174, -73.95663232137024)"
Parking Lot,910347,LET'S PARK CORP.,,EAST   28 STREET,119-125 EAST   28 STREET,,10016,2124730135,125,"119 125 EAST 28 STREET
NEW YORK, NY 10016
(40.745242969987146, -73.97823298586354)"
Parking Lot,911193,L NEW HIGH INSTALLATION INC,,EAST  165 STREET,320 EAST  165 STREET,,10456,7185887227,63,"320 165 STREET
BRONX, NY 10456
(40.82865597521169, -73.914574980287)"
Parking Garage,912083,SYLVAN MADISON GARAGE CORP,SYLVAN MADISON GARAGE,EAST   90 STREET,60 EAST   90 STREET,,10128,7185759440,268,"60 90 STREET
NEW YORK, NY 10128
(40.783052963437676, -73.95616256678937)"
Parking Garage,912191,334 PARKING CORP,334 PARKING,EAST   96 STREET,302 EAST   96 STREET,302-4 E 96TH ST,10128,2128661000,90,"302 96 STREET
NEW YORK, NY 10128
(40.78402273606673, -73.94657146374726)"
Parking Garage,912341,"RAVNER, HARVEY AND RAVNER,WENDIE AND ZIGELBAUM, LEONARD ETAL",304_ASSOCIATES,WEST   49 STREET,304 WEST   49 STREET,304  306 W 49 STREET,10019,2122445064,205,"304 49 STREET
NEW YORK, NY 10019
(40.76195337346775, -73.98723880591217)"
Parking Garage,913526,CHAMPION PARKING 83RD ST CORP,CHAMPION PARKING 83RD ST,EAST   83 STREET,303 EAST   83 STREET,,10028,2125359419,115,"303 83 STREET
NEW YORK, NY 10028
(40.77589464736824, -73.95303032415876)"
Parking Garage,913566,TAFT GARAGE CORP,TAFT GARAGE,SHERIDAN AVENUE,891 SHERIDAN AVENUE,,10451,2129562280,95,"891 SHERIDAN AVENUE
BRONX, NY 10451
(40.82651281088775, -73.92111306686081)"
Parking Garage,914278,KINNEY WEST END AVENUE INC,,WEST END AVENUE,711 WEST END AVENUE,,10025,2128894444,125,"711 END AVENUE
NEW YORK, NY 10025
(40.79685012763133, -73.96372581059762)"
Parking Garage,914923,SELECT PARKING LLC.,SELECT PARKING,EAST   57 STREET,301-11 EAST   57 STREET,AKA 303 EAST 57 STREET,10022,2126869800,328,"301 11 EAST 57 STREET
NEW YORK, NY 10022
(40.758630224005685, -73.96809182217982)"
Parking Lot,915103,ERIK PARKING CORP,ERIK PARKING,WEST STREET,281 287 WEST STREET,,10013,2122748302,75,"281 287 WEST STREET
NEW YORK, NY 10013
(40.721242188776046, -74.00888900022716)"
Parking Garage,915987,333 EAST 46TH ST PARKING LLC,,EAST   46 STREET,333 EAST   46 STREET,,10017,2126869800,34,"333 46 STREET
NEW YORK, NY 10017
(40.752057279365474, -73.96952612226208)"
Parking Garage,916698,SHARP PARKING LLC.,SHARP PARKING,2 AVENUE,825-835 2 AVENUE,,10017,2126869800,126,"825 835 2 AVENUE
NEW YORK, NY 10017
(40.75245652744684, -73.97297648087982)"
Parking Lot,916760,YEMI PARKING INC,,EAST  176 STREET,637-641 EAST  176 STREET,,10457,7187164924,29,"637 641 EAST 176 STREET
BRONX, NY 10457
(40.84579837129786, -73.89832418681175)"
Parking Garage,916798,P.A.C. GARAGE CORP,P.A.C. GARAGE,EAST   87 STREET,120 EAST   87 STREET,,10128,2127373279,78,"120 87 STREET
NEW YORK, NY 10128
(40.78034450896689, -73.95551971793878)"
Parking Garage,916799,PARK ON 44 CORP.,,EAST   44 STREET,230 EAST   44 STREET,,10017,2127373279,103,"230 44 STREET
NEW YORK, NY 10017
(40.75175090056697, -73.97280120413912)"
Parking Garage,917447,211 GARAGE CORP,,EAST   18 STREET,211 EAST   18 STREET,,10003,2124730135,70,"211 18 STREET
NEW YORK, NY 10003
(40.735288475299, -73.9841721177923)"
Parking Garage,917493,HRF OPERATING CORP,,WEST  108 STREET,151 WEST  108 STREET,151-159  WEST 108 STREET,10025,2124730135,600,"151 108 STREET
NEW YORK, NY 10025
(40.8014605902149, -73.9640812636577)"
Parking Lot,918267,"CREWS, BLANCHE",J & B CREWS PARKING LOT,EAST   22 STREET,459 EAST   22 STREET,,11226,7189412033,20,"459 22 STREET
BROOKLYN, NY 11226
(40.640669390080184, -73.95719198853918)"
Parking Garage,919699,AERO PARKING CORP,RAPID PARKING INDUSTRIES,EAST 30 STREET,10 EAST 30 STREET,,10016,2128661000,200,"10 30 STREET
NEW YORK, NY 10016
(40.745567726093896, -73.98559304659858)"
Parking Garage,919735,ALLIED AUSTIN CO. LP,ALLIED AUSTIN CO,AUSTIN STREET,69-30 AUSTIN STREET,,11375,7185209872,121,"69 30 AUSTIN STREET
FOREST HILL, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Garage,919848,AUTO STORAGE SYSTEMS INC,AUTO STORAGE SYSTEMS,STERLING PLACE,827 STERLING PLACE,,11216,7184939800,450,"827 STERLING PLACE
BROOKLYN, NY 11216
(40.67260539236764, -73.95114704779188)"
Parking Lot,920084,514 WEST CORP,,WEST   23 STREET,510 WEST   23 STREET,510-512 W 23 ST,10011,2126432062,81,"510 23 STREET
NEW YORK, NY 10011
(40.74793682164781, -74.00484543713571)"
Parking Garage,920557,BASIC PARKING CORP,,EAST   46 STREET,225 EAST   46 STREET,,10017,2122543955,26,"225 46 STREET
NEW YORK, NY 10017
(40.752825254870345, -73.97141073819654)"
Parking Garage,920608,CAROUSEL PARKING CORP,,WEST   75 STREET,201 WEST   75 STREET,,10023,2122493344,278,"201 75 STREET
NEW YORK, NY 10023
(40.78059684676253, -73.98022659534651)"
Parking Garage,921085,ABC PARKING CORP.,,WHITE PLAINS ROAD,2070 WHITE PLAINS ROAD,,10462,7188025611,95,"2070 WHITE PLAINS ROAD
BRONX, NY 10462
(40.852461800715005, -73.86773555729206)"
Parking Garage,921240,PARK RIGHT CORP,PARK RIGHT,SAINT JOHNS PLACE,564 SAINT JOHNS PLACE,564-592 SAINT JOHNS PLACE,11238,2124599003,180,"564 SAINT JOHNS PLACE
BROOKLYN, NY 11238
(40.67283474153012, -73.95950241367942)"
Parking Garage,921454,RAPID RIVERSIDE CORP,RAPID RIVERSIDE,RIVERSIDE DRIVE,70 RIVERSIDE DRIVE,,10024,2128661000,80,"70 RIVERSIDE DRIVE
NEW YORK, NY 10024
(40.78526380046719, -73.98235548729309)"
Parking Garage,921582,ARCHIVES GARAGE CORP,ARCHIVES GARAGE,GREENWICH STREET,666 GREENWICH STREET,,10014,2129727470,97,"666 GREENWICH STREET
NEW YORK, NY 10014
(40.733021295073726, -74.00750324132107)"
Parking Garage,921898,CROSS GARAGE CORP,,EAST   80 STREET,445 EAST   80 STREET,,10021,2127373279,72,"445 80 STREET
NEW YORK, NY 10021
(40.62660123525083, -74.02542693760972)"
Parking Garage,921899,DOUBLE GARAGE CORP,DOUBLE GARAGE,YORK AVENUE,1533 YORK AVENUE,,10028,2127373279,114,"1533 YORK AVENUE
NEW YORK, NY 10028
(40.77305100730928, -73.94921547051337)"
Parking Lot,922578,512 PARKING CORP,512 PARKING,WHITE STREET,14 WHITE STREET,,10013,2123437277,42,"14 WHITE STREET
NEW YORK, NY 10013
(40.71908996604045, -74.0053014010546)"
Parking Lot,922831,J&D SERVICES INC,,WESTCHESTER AVENUE,430 WESTCHESTER AVENUE,430-434 WESTCHESTER AVE,10455,7185478463,74,"430 WESTCHESTER AVENUE
BRONX, NY 10455
(40.81637582985815, -73.91568306401936)"
Parking Lot,923714,622 WEST 57TH STREET CO L.P.,,11 AVENUE,789 11 AVENUE,A/K/A 603 W 55 ST,10019,2128887400,40,"789 11 AVENUE
NEW YORK, NY 10019
(40.76897526908954, -73.99252625250797)"
Parking Garage,924101,RAPID E 38TH ST CORP,RAPID E 38TH ST,EAST   38 STREET,35 EAST   38 STREET,,10016,2128661000,21,"35 38 STREET
NEW YORK, NY 10016
(40.74987547861423, -73.98010718221985)"
Parking Lot,924211,CHINATOWN PARKING CORP,,WALKER STREET,88 WALKER STREET,,10013,2122748302,35,"88 WALKER STREET
NEW YORK, NY 10013
(40.71808444487846, -74.00131319567072)"
Parking Lot,924435,ALBRO PARKING CORP,,WOOSTER STREET,146-148 WOOSTER STREET,,10012,2124732660,38,"146 148 WOOSTER STREET
NEW YORK, NY 10012
(40.72553802086304, -73.99789641059084)"
Parking Garage,924489,CHAMPION BROADWAY PARKING CORP,,EAST    8 STREET,60 EAST    8 STREET,60-68 EAST 8 STREET,10003,2122493344,169,"60 8 STREET
NEW YORK, NY 10003
(40.730782871932206, -73.99286856181561)"
Parking Lot,925245,10 ST. PARKING CORP.,,HENRY STREET,38 HENRY STREET,,10002,2125755335,150,"38 HENRY STREET
NEW YORK, NY 10002
(40.712899247372874, -73.99563891722045)"
Parking Lot,925684,512 PARKING CORP,512 PARKING,FRANKLIN STREET,98-100 FRANKLIN STREET,,10013,2124315732,36,"98 100 FRANKLIN STREET
NEW YORK, NY 10013
(40.721242188776046, -74.00888900022716)"
Parking Lot,925848,EDISON NEW YORK PARKING LLC,,SPRING STREET,272 SPRING STREET,272-76 SPRING ST,10013,2124636000,63,"272 SPRING STREET
NEW YORK, NY 10013
(40.72570424175299, -74.0064991927601)"
Parking Garage,926039,"SAM PARKING, L.L.C.",,WEST BROADWAY,360 WEST BROADWAY,,10013,2129666774,180,"360 BROADWAY
NEW YORK, NY 10013
(40.717275055052085, -74.00366042616719)"
Parking Lot,926190,A & E CONEY ISLAND PARKING CORP,,NEPTUNE AVENUE,907 NEPTUNE AVENUE,,11224,7183731529,17,"907 NEPTUNE AVENUE
BROOKLYN, NY 11224
(40.57948583394076, -73.97942776789469)"
Parking Lot,926484,ALEX OPERATING CORP,,JACKSON AVENUE,27-50 JACKSON AVENUE,,11101,7187215243,150,"27 50 JACKSON AVENUE
LONG ISLAND CIT, NY 11101
(40.74570244980828, -73.93866902925225)"
Parking Lot,926752,EDISON NY PARKING LLC,,WORTH STREET,15 WORTH STREET,15-21 WORTH STREET,10013,2124636000,98,"15 WORTH STREET
NEW YORK, NY 10013
(40.717992131482546, -74.00822715081505)"
Parking Lot,926755,EDISON NY PARKING LLC,,LAFAYETTE STREET,375 LAFAYETTE STREET,,10003,2124636000,67,"375 LAFAYETTE STREET
NEW YORK, NY 10003
(40.72746615077906, -73.99338828424435)"
Parking Lot,926756,EDISON NY PARKING LLC,,WEST   28 STREET,245 WEST   28 STREET,,10001,2124636000,131,"245 28 STREET
NEW YORK, NY 10001
(40.74780200154119, -73.99463133596191)"
Parking Lot,926757,EDISON NY PARKING LLC,,CENTRE STREET,174 CENTRE STREET,,10013,2124636000,93,"174 CENTRE STREET
NEW YORK, NY 10013
(40.71864569560881, -73.99938293075498)"
Parking Lot,926760,EDISON NY PARKING LLC,,GREAT JONES STREET,32 GREAT JONES STREET,,10012,2126436000,60,"32 GREAT JONES STREET
NEW YORK, NY 10012
(40.727070253806055, -73.99313308992294)"
Parking Lot,926761,EDISON NY PARKING LLC,,LUDLOW STREET,184 LUDLOW STREET,184-194 LUDLOW STREET,10002,2124636000,182,"184 LUDLOW STREET
NEW YORK, NY 10002
(40.72196052282476, -73.98737370421657)"
Parking Lot,926763,EDISON NY PARKING LLC,,FRONT STREET,167 FRONT STREET,167-175 FRONT STREET,10038,2124636000,72,"167 FRONT STREET
NEW YORK, NY 10038
(40.70604898322627, -74.00506396828911)"
Parking Lot,926765,EDISON NY PARKING LLC,,LIVINGSTON STREET,160 LIVINGSTON STREET,,11201,2124636000,100,"160 LIVINGSTON STREET
BROOKLYN, NY 11201
(40.69037314658201, -73.98773115496718)"
Parking Lot,926767,EDISON NY PARKING LLC,,JAY STREET,203 JAY STREET,,11201,2124636000,150,"203 JAY STREET
BROOKLYN, NY 11201
(40.69813436990626, -73.98694806664203)"
Parking Garage,927031,RAPID E 77TH ST CORP,,EAST   76 STREET,155 EAST   76 STREET,,10021,2128661000,70,"155 76 STREET
NEW YORK, NY 10021
(40.77289419576935, -73.95996353169438)"
Parking Garage,927032,RAPID E 77TH ST CORP,,EAST   77 STREET,150 EAST   77 STREET,,10021,2128661000,37,"150 77 STREET
NEW YORK, NY 10021
(40.6309393312231, -74.03238325504228)"
Parking Lot,927315,"CENTRAL PARKING SYSTEMS OF NEW YORK, INC",,11 AVENUE,476-490 11 AVENUE,,10018,2125024390,158,"476 490 11 AVENUE
NEW YORK, NY 10018
(40.756840774582145, -73.99669149981281)"
Parking Lot,927409,ALEDREW CORP,,75 STREET,37-18 75 STREET,,11372,7184238877,56,"37 18 75 STREET
JACKSON HEIGHTS, NY 11372
(40.75163073936716, -73.88361254528269)"
Parking Garage,927638,RAPID 165 CORP,,EAST   77 STREET,165 EAST   77 STREET,,10021,2128661000,200,"165 77 STREET
NEW YORK, NY 10021
(40.63090590873362, -74.032000593169)"
Parking Lot,927659,PARK RIGHT CORPORATION,,235 STREET,AKA 42-08 235 STREET,DOUGLASTON STATION W OF 235 ST,11363,2124599003,125,"235 STREET
LITTLE NECK, NY 11363
(40.772398418252465, -73.74679788741253)"
Parking Garage,928832,OLIANTHA GARAGE CORP.,OLIANTHA GARAGE,WEST  107 STREET,102 WEST  107 STREET,,10025,2128730135,188,"102 107 STREET
NEW YORK, NY 10025
(40.800165566492694, -73.96295711112111)"
Parking Garage,928867,ALLIED AUSTIN CO LP,,AUSTIN STREET,69-40 AUSTIN STREET,69-40/ 50 AUSTIN STREET,11375,7185209872,125,"69 40 AUSTIN STREET
FOREST HILLS, NY 11375
(40.720707263029794, -73.84628429608335)"
Parking Garage,928927,ELI'S LEASING INC,,EAST   91 STREET,422 EAST   91 STREET,,10128,2125349395,135,"422 91 STREET
NEW YORK, NY 10128
(40.779598071682585, -73.94595093154703)"
Parking Lot,929555,"ARRIAGA, LUIS",,CASTLE HILL AVENUE,1537 CASTLE HILL AVENUE,,10462,2125809170,8,"1537 CASTLE HILL AVENUE
BRONX, NY 10462
(40.83745075076345, -73.85244900086067)"
Parking Garage,929603,CENTRAL PARKING SYSTEM OF NEW YORK INC,MEYERS PARKING SYSTEM,CHURCH STREET,47 CHURCH STREET,,10007,2125649199,65,"47 CHURCH STREET
NEW YORK, NY 10007
(40.71133186548033, -74.01060966540298)"
