Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
English Proficient,11X545,BRONX AEROSPACE HIGH SCHOOL,64,6,9.4%,64,6,9.4%
English Proficient,12X248,METROPOLITAN HIGH SCHOOL  THE,86,4,4.7%,86,4,4.7%
English Proficient,12X251,EXPLORATIONS ACADEMY,65,0,0%,65,0,0%
English Proficient,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,104,1,1%,104,1,1%
English Proficient,12X267,BRONX LATIN,2,s,s,2,s,s
English Proficient,12X271,EAST BRONX ACADEMY FOR THE FUTURE,67,1,1.5%,67,1,1.5%
English Proficient,12X278,PEACE AND DIVERSITY ACADEMY,90,4,4.4%,90,4,4.4%
English Proficient,12X480,BRONX REGIONAL HIGH SCHOOL,98,2,2%,98,2,2%
English Proficient,12X550,HIGH SCHOOL OF WORLD CULTURES,5,s,s,5,s,s
English Proficient,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,93,2,2.2%,93,2,2.2%
English Proficient,12X690,MONROE ACADEMY FOR BUSINESS/LAW,122,7,5.7%,122,7,5.7%
English Proficient,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,86,2,2.3%,86,2,2.3%
English Proficient,13K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOO,80,5,6.3%,80,5,6.3%
English Proficient,13K350,URBAN ASSEMBLY HIGH SCHOOL OF MUSIC A,96,6,6.3%,96,6,6.3%
English Proficient,13K412,BROOKLYN COMMUNITY HIGH SCHOOL OF COM,76,1,1.3%,76,2,2.6%
English Proficient,13K419,SCIENCE SKILLS CENTER HIGH SCHOOL FOR,225,22,9.8%,225,24,10.7%
English Proficient,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1097,967,88.1%,1097,1001,91.2%
English Proficient,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND,109,29,26.6%,109,29,26.6%
English Proficient,13K499,ACORN COMMUNITY HIGH SCHOOL,164,6,3.7%,164,6,3.7%
English Proficient,13K509,FREEDOM ACADEMY HIGH SCHOOL,55,11,20%,55,11,20%
English Proficient,13K553,BROOKLYN ACADEMY HIGH SCHOOL,55,0,0%,55,0,0%
English Proficient,13K575,BEDFORD STUYVESANT PREPARATORY HIGH S,51,2,3.9%,51,2,3.9%
English Proficient,13K595,BEDFORD ACADEMY HIGH SCHOOL,76,35,46.1%,76,35,46.1%
English Proficient,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNI,240,4,1.7%,240,4,1.7%
English Proficient,13K616,BROOKLYN HIGH SCHOOL FOR LEADERSHIP A,87,0,0%,87,0,0%
English Proficient,13K670,BENJAMIN BANNEKER ACADEMY,234,92,39.3%,234,93,39.7%
English Proficient,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,77,4,5.2%,77,5,6.5%
English Proficient,14K322,FOUNDATIONS ACADEMY,60,5,8.3%,60,5,8.3%
English Proficient,14K404,ACADEMY FOR YOUNG WRITERS,72,3,4.2%,72,3,4.2%
English Proficient,14K449,BROOKLYN LATIN SCHOOL  THE,51,37,72.5%,51,38,74.5%
English Proficient,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONM,90,4,4.4%,90,4,4.4%
English Proficient,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL,184,14,7.6%,184,14,7.6%
English Proficient,14K477,SCHOOL FOR LEGAL STUDIES,138,12,8.7%,138,12,8.7%
English Proficient,14K478,THE HIGH SCHOOL FOR ENTERPRISE  BUSIN,146,16,11%,146,16,11%
English Proficient,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,73,8,11%,73,8,11%
English Proficient,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITEC,95,13,13.7%,95,13,13.7%
English Proficient,14K561,WILLIAMSBURG PREPARATORY SCHOOL,104,15,14.4%,104,17,16.3%
English Proficient,14K586,LYONS COMMUNITY SCHOOL,3,s,s,3,s,s
English Proficient,14K610,AUTOMOTIVE HIGH SCHOOL,214,2,0.9%,214,2,0.9%
English Proficient,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSH,2,s,s,2,s,s
English Proficient,15K462,SECONDARY SCHOOL FOR LAW,87,7,8%,87,7,8%
English Proficient,15K463,SECONDARY SCHOOL FOR JOURNALISM,82,8,9.8%,82,9,11%
English Proficient,15K464,PARK SLOPE COLLEGIATE,82,5,6.1%,82,5,6.1%
English Proficient,15K497,SCHOOL FOR INTERNATIONAL STUDIES,55,12,21.8%,55,12,21.8%
English Proficient,15K498,ACORN HS FOR SOCIAL JUSTICE,89,5,5.6%,89,5,5.6%
English Proficient,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIE,135,4,3%,135,4,3%
English Proficient,15K520,PACIFIC HIGH SCHOOL,67,1,1.5%,67,1,1.5%
English Proficient,15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL,106,0,0%,106,0,0%
English Proficient,15K530,METROPOLITAN CORPORATE ACADEMY HIGH S,81,1,1.2%,81,1,1.2%
English Proficient,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,100,16,16%,100,17,17%
English Proficient,15K698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,54,0,0%,54,0,0%
English Proficient,16K393,FREDERICK DOUGLASS ACADEMY IV SECONDA,68,6,8.8%,68,6,8.8%
English Proficient,16K455,BOYS AND GIRLS HIGH SCHOOL,518,11,2.1%,518,11,2.1%
English Proficient,17K382,ACADEMY FOR COLLEGE PREPARATION AND C,68,14,20.6%,68,14,20.6%
English Proficient,17K408,ACADEMY OF  HOSPITALITY AND TOURISM,78,10,12.8%,78,10,12.8%
English Proficient,17K489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,80,1,1.3%,80,1,1.3%
English Proficient,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT,9,s,s,9,s,s
English Proficient,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHI,103,12,11.7%,103,12,11.7%
English Proficient,17K531,SCHOOL FOR HUMAN RIGHTS  THE,57,4,7%,57,4,7%
English Proficient,17K533,SCHOOL FOR DEMOCRACY AND  LEADERSHIP,71,0,0%,71,8,11.3%
English Proficient,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY D,96,11,11.5%,96,11,11.5%
English Proficient,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT,108,9,8.3%,108,9,8.3%
English Proficient,17K543,SCIENCE  TECHNOLOGY AND RESEARCH EARL,76,21,27.6%,76,21,27.6%
English Proficient,17K544,INTERNATIONAL ARTS BUSINESS SCHOOL,107,7,6.5%,107,8,7.5%
English Proficient,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROE,93,22,23.7%,93,22,23.7%
English Proficient,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE,109,20,18.3%,109,20,18.3%
English Proficient,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,85,5,5.9%,85,5,5.9%
English Proficient,17K568,BROWNSVILLE ACADEMY HIGH SCHOOL,74,2,2.7%,74,2,2.7%
English Proficient,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHO,156,55,35.3%,156,55,35.3%
English Proficient,17K600,CLARA BARTON HIGH SCHOOL,464,104,22.4%,464,110,23.7%
English Proficient,17K625,PAUL ROBESON HIGH SCHOOL,283,13,4.6%,283,13,4.6%
English Proficient,18K415,SAMUEL J. TILDEN HIGH SCHOOL,118,1,0.8%,118,1,0.8%
English Proficient,18K500,CANARSIE HIGH SCHOOL,402,10,2.5%,402,10,2.5%
English Proficient,18K515,SOUTH SHORE HIGH SCHOOL,112,6,5.4%,112,6,5.4%
English Proficient,18K563,IT TAKES A VILLAGE ACADEMY,2,s,s,2,s,s
English Proficient,18K566,BROOKLYN GENERATION SCHOOL,4,s,s,4,s,s
English Proficient,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,3,s,s,3,s,s
English Proficient,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHO,4,s,s,4,s,s
English Proficient,18K576,VICTORY COLLEGIATE HIGH SCHOOL,3,s,s,3,s,s
English Proficient,18K578,BROOKLYN BRIDGE ACADEMY,86,0,0%,86,0,0%
English Proficient,18K589,ARTS & MEDIA PREPARATORY ACADEMY,4,s,s,4,s,s
English Proficient,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCI,2,s,s,2,s,s
English Proficient,18K635,OLYMPUS ACADEMY,101,1,1%,101,1,1%
English Proficient,18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,69,0,0%,69,1,1.4%
English Proficient,19K409,EAST NEW YORK FAMILY ACADEMY,91,6,6.6%,91,6,6.6%
English Proficient,19K420,FRANKLIN K. LANE HIGH SCHOOL,294,15,5.1%,294,15,5.1%
English Proficient,19K435,THOMAS JEFFERSON HIGH SCHOOL,1,s,s,1,s,s
English Proficient,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SA,81,3,3.7%,81,3,3.7%
English Proficient,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,107,4,3.7%,107,4,3.7%
English Proficient,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH S,108,4,3.7%,108,4,3.7%
English Proficient,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEA,89,1,1.1%,89,5,5.6%
English Proficient,19K583,MULTICULTURAL HIGH SCHOOL,.,.,.,.,.,.
English Proficient,19K615,TRANSIT TECH CAREER AND TECHNICAL EDU,339,38,11.2%,339,40,11.8%
English Proficient,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,1,s,s,1,s,s
English Proficient,19K639,BROOKLYN LAB SCHOOL,1,s,s,1,s,s
English Proficient,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY,93,5,5.4%,93,5,5.4%
English Proficient,19K660,W. H. MAXWELL CAREER AND TECHNICAL ED,217,6,2.8%,217,6,2.8%
English Proficient,20K445,NEW UTRECHT HIGH SCHOOL,487,139,28.5%,487,144,29.6%
English Proficient,20K485,HIGH SCHOOL OF  TELECOMMUNICATION ART,284,107,37.7%,284,108,38%
English Proficient,20K490,FORT HAMILTON HIGH SCHOOL,756,261,34.5%,756,267,35.3%
English Proficient,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,603,149,24.7%,603,153,25.4%
English Proficient,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,18,s,s,18,s,s
English Proficient,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL,105,28,26.7%,105,28,26.7%
English Proficient,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,62,7,11.3%,62,7,11.3%
English Proficient,21K400,LAFAYETTE HIGH SCHOOL,39,4,10.3%,39,4,10.3%
English Proficient,21K410,ABRAHAM LINCOLN HIGH SCHOOL,519,87,16.8%,519,91,17.5%
English Proficient,21K525,EDWARD R. MURROW HIGH SCHOOL,874,367,42%,874,372,42.6%
English Proficient,21K540,JOHN DEWEY HIGH SCHOOL,528,113,21.4%,528,116,22%
English Proficient,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,1,s,s,1,s,s
English Proficient,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,3,s,s,3,s,s
English Proficient,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,275,9,3.3%,275,11,4%
English Proficient,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,132,33,25%,132,33,25%
English Proficient,21K728,LIBERATION DIPLOMA PLUS,65,0,0%,65,0,0%
English Proficient,22K405,MIDWOOD HIGH SCHOOL,857,503,58.7%,857,523,61%
English Proficient,22K425,JAMES MADISON HIGH SCHOOL,1003,322,32.1%,1003,330,32.9%
English Proficient,22K495,SHEEPSHEAD BAY HIGH SCHOOL,437,23,5.3%,437,23,5.3%
English Proficient,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,253,203,80.2%,253,203,80.2%
English Proficient,22K555,BROOKLYN COLLEGE ACADEMY,120,40,33.3%,120,40,33.3%
English Proficient,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,68,6,8.8%,68,6,8.8%
English Proficient,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,90,7,7.8%,90,7,7.8%
English Proficient,23K643,BROOKLYN DEMOCRACY ACADEMY,95,1,1.1%,95,1,1.1%
English Proficient,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,89,3,3.4%,89,3,3.4%
English Proficient,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,110,1,0.9%,110,1,0.9%
English Proficient,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,96,2,2.1%,96,2,2.1%
English Proficient,23K697,TEACHERS PREPARATORY HIGH SCHOOL,95,24,25.3%,95,24,25.3%
English Proficient,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,85,12,14.1%,85,12,14.1%
English Proficient,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,95,12,12.6%,95,12,12.6%
English Proficient,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,.,.,.,.,.,.
English Proficient,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,50,26,52%,50,26,52%
English Proficient,24Q455,NEWTOWN HIGH SCHOOL,508,63,12.4%,508,66,13%
English Proficient,24Q485,GROVER CLEVELAND HIGH SCHOOL,544,101,18.6%,544,105,19.3%
English Proficient,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,164,18,11%,164,18,11%
English Proficient,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,93,22,23.7%,93,23,24.7%
English Proficient,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,264,29,11%,264,29,11%
English Proficient,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,360,127,35.3%,360,134,37.2%
English Proficient,24Q744,VOYAGES PREPARATORY,77,2,2.6%,77,2,2.6%
English Proficient,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,10,s,s,10,s,s
English Proficient,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,58,15,25.9%,58,15,25.9%
English Proficient,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,82,9,11%,82,9,11%
English Proficient,25Q425,JOHN BOWNE HIGH SCHOOL,478,55,11.5%,478,55,11.5%
English Proficient,25Q460,FLUSHING HIGH SCHOOL,440,40,9.1%,440,40,9.1%
English Proficient,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,276,99.3%,278,276,99.3%
English Proficient,25Q540,QUEENS ACADEMY HIGH SCHOOL,128,6,4.7%,128,6,4.7%
English Proficient,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,152,35,23%,152,35,23%
English Proficient,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,62,0,0%,62,0,0%
English Proficient,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,932,447,48%,932,457,49%
English Proficient,26Q430,FRANCIS LEWIS HIGH SCHOOL,1070,535,50%,1070,571,53.4%
English Proficient,26Q435,MARTIN VAN BUREN HIGH SCHOOL,696,103,14.8%,696,103,14.8%
English Proficient,26Q495,BAYSIDE HIGH SCHOOL,828,439,53%,828,449,54.2%
English Proficient,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,273,55,20.1%,273,55,20.1%
English Proficient,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,93,11,11.8%,93,11,11.8%
English Proficient,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,71,14,19.7%,71,14,19.7%
English Proficient,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,2,s,s,2,s,s
English Proficient,27Q400,AUGUST MARTIN HIGH SCHOOL,274,8,2.9%,274,8,2.9%
English Proficient,27Q410,BEACH CHANNEL HIGH SCHOOL,361,10,2.8%,361,10,2.8%
English Proficient,27Q465,FAR ROCKAWAY HIGH SCHOOL,128,4,3.1%,128,4,3.1%
English Proficient,27Q475,RICHMOND HILL HIGH SCHOOL,728,78,10.7%,728,80,11%
English Proficient,27Q480,JOHN ADAMS HIGH SCHOOL,706,60,8.5%,706,61,8.6%
English Proficient,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,176,39,22.2%,176,39,22.2%
English Proficient,28Q440,FOREST HILLS HIGH SCHOOL,874,362,41.4%,874,364,41.6%
English Proficient,28Q470,JAMAICA HIGH SCHOOL,327,27,8.3%,327,27,8.3%
English Proficient,28Q505,HILLCREST HIGH SCHOOL,660,98,14.8%,660,100,15.2%
English Proficient,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,812,352,43.3%,812,358,44.1%
English Proficient,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,117,67,57.3%,117,71,60.7%
English Proficient,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,107,100,93.5%,107,102,95.3%
English Proficient,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,125,16,12.8%,125,16,12.8%
English Proficient,29Q248,QUEENS PREPARATORY ACADEMY,90,8,8.9%,90,8,8.9%
English Proficient,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,63,2,3.2%,63,2,3.2%
English Proficient,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,86,5,5.8%,86,5,5.8%
English Proficient,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,102,28,27.5%,102,29,28.4%
English Proficient,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,35,0,0%,35,0,0%
English Proficient,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,104,22,21.2%,104,22,21.2%
English Proficient,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,122,14,11.5%,122,14,11.5%
English Proficient,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,113,1,0.9%,113,1,0.9%
English Proficient,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,93,7,7.5%,93,7,7.5%
English Proficient,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,649,187,28.8%,649,195,30%
English Proficient,30Q450,LONG ISLAND CITY HIGH SCHOOL,603,124,20.6%,603,127,21.1%
English Proficient,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,170,85,50%,170,86,50.6%
English Proficient,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,245,46,18.8%,245,47,19.2%
English Proficient,30Q555,NEWCOMERS HIGH SCHOOL,23,13,56.5%,23,13,56.5%
English Proficient,30Q575,ACADEMY OF AMERICAN STUDIES,151,83,55%,151,85,56.3%
English Proficient,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,70,56,80%,70,56,80%
English Proficient,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,80,19,23.8%,80,19,23.8%
English Proficient,31R080,THE MICHAEL J. PETRIDES SCHOOL,113,45,39.8%,113,45,39.8%
English Proficient,31R440,NEW DORP HIGH SCHOOL,485,100,20.6%,485,100,20.6%
English Proficient,31R445,PORT RICHMOND HIGH SCHOOL,494,80,16.2%,494,81,16.4%
English Proficient,31R450,CURTIS HIGH SCHOOL,605,129,21.3%,605,129,21.3%
English Proficient,31R455,TOTTENVILLE HIGH SCHOOL,1052,331,31.5%,1052,334,31.7%
English Proficient,31R460,SUSAN E. WAGNER HIGH SCHOOL,880,285,32.4%,880,286,32.5%
English Proficient,31R470,CONCORD HIGH SCHOOL,52,1,1.9%,52,1,1.9%
English Proficient,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,170,16,9.4%,170,16,9.4%
English Proficient,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,288,282,97.9%,288,282,97.9%
English Proficient,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,90,6,6.7%,90,7,7.8%
English Proficient,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,147,15,10.2%,147,15,10.2%
English Proficient,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,89,6,6.7%,89,6,6.7%
English Proficient,32K552,ACADEMY OF URBAN PLANNING,105,4,3.8%,105,4,3.8%
English Proficient,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,42,9,21.4%,42,10,23.8%
English Proficient,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,87,7,8%,87,7,8%
English Proficient,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,126,0,0%,126,0,0%
Special Education,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,18,s,s,18,s,s
Special Education,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,25,1,4%,25,1,4%
Special Education,01M509,MARTA VALLE HIGH SCHOOL,13,s,s,13,s,s
Special Education,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,1,s,s,1,s,s
Special Education,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2,s,s,2,s,s
Special Education,01M650,CASCADES HIGH SCHOOL,2,s,s,2,s,s
Special Education,01M696,BARD HIGH SCHOOL EARLY COLLEGE,.,.,.,.,.,.
Special Education,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,7,s,s,7,s,s
Special Education,02M288,FOOD AND FINANCE HIGH SCHOOL,18,s,s,18,s,s
Special Education,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,8,s,s,8,s,s
Special Education,02M298,PACE HIGH SCHOOL,19,s,s,19,s,s
Special Education,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,7,s,s,7,s,s
Special Education,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,5,s,s,5,s,s
Special Education,02M308,LOWER MANHATTAN ARTS ACADEMY,17,s,s,17,s,s
Special Education,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,7,s,s,7,s,s
Special Education,02M374,GRAMERCY ARTS HIGH SCHOOL,12,s,s,12,s,s
Special Education,02M394,EMMA LAZARUS HIGH SCHOOL,.,.,.,.,.,.
Special Education,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,43,0,0%,43,0,0%
Special Education,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2,s,s,2,s,s
Special Education,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,3,s,s,3,s,s
Special Education,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,20,s,s,20,s,s
Special Education,02M414,N.Y.C. MUSEUM SCHOOL,17,s,s,17,s,s
Special Education,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,1,s,s,1,s,s
Special Education,02M418,MILLENNIUM HIGH SCHOOL,10,s,s,10,s,s
Special Education,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,19,s,s,19,s,s
Special Education,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,27,0,0%,27,0,0%
Special Education,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,53,0,0%,53,0,0%
Special Education,02M460,WASHINGTON IRVING HIGH SCHOOL,67,0,0%,67,0,0%
Special Education,02M475,STUYVESANT HIGH SCHOOL,2,s,s,2,s,s
Special Education,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,33,0,0%,33,0,0%
Special Education,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,8,s,s,8,s,s
Special Education,02M519,TALENT UNLIMITED HIGH SCHOOL,5,s,s,5,s,s
Special Education,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,91,3,3.3%,91,3,3.3%
Special Education,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,20,s,s,20,s,s
Special Education,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,4,s,s,4,s,s
Special Education,02M542,MANHATTAN BRIDGES HIGH SCHOOL,.,.,.,.,.,.
Special Education,02M543,NEW DESIGN HIGH SCHOOL,28,0,0%,28,0,0%
Special Education,02M544,INDEPENDENCE HIGH SCHOOL,17,s,s,17,s,s
Special Education,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,1,s,s,1,s,s
Special Education,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,3,s,s,3,s,s
Special Education,02M551,THE HARBOR HS,14,s,s,14,s,s
Special Education,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,8,s,s,8,s,s
Special Education,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,20,s,s,20,s,s
Special Education,02M586,HARVEY MILK HIGH SCHOOL,6,s,s,6,s,s
Special Education,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,40,1,2.5%,40,1,2.5%
Special Education,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,34,0,0%,34,0,0%
Special Education,02M620,NORMAN THOMAS HIGH SCHOOL,67,0,0%,67,0,0%
Special Education,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,79,0,0%,79,0,0%
Special Education,02M630,ART AND DESIGN HIGH SCHOOL,38,1,2.6%,38,1,2.6%
Special Education,02M655,LIFE SCIENCES SECONDARY SCHOOL,21,1,4.8%,21,1,4.8%
Special Education,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,13,s,s,13,s,s
Special Education,03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,8,s,s,8,s,s
Special Education,03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,19,s,s,19,s,s
Special Education,03M404,INNOVATION DIPLOMA PLUS,3,s,s,3,s,s
Special Education,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,23,0,0%,23,0,0%
Special Education,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,64,1,1.6%,64,1,1.6%
Special Education,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,6,s,s,6,s,s
Special Education,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,26,0,0%,26,0,0%
Special Education,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,33,1,3%,33,1,3%
Special Education,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,45,0,0%,45,0,0%
Special Education,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,2,s,s,2,s,s
Special Education,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,11,s,s,11,s,s
Special Education,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,24,0,0%,24,0,0%
Special Education,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,27,0,0%,27,0,0%
Special Education,04M495,PARK EAST HIGH SCHOOL,21,0,0%,21,0,0%
Special Education,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,7,s,s,7,s,s
Special Education,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,16,s,s,16,s,s
Special Education,04M680,HERITAGE SCHOOL  THE,21,0,0%,21,0,0%
Special Education,04M695,URBAN PEACE ACADEMY,7,s,s,7,s,s
Special Education,05M285,HARLEM RENAISSANCE HIGH SCHOOL,11,s,s,11,s,s
Special Education,05M304,MOTT HALL HIGH SCHOOL,16,s,s,16,s,s
Special Education,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,8,s,s,8,s,s
Special Education,05M469,CHOIR ACADEMY OF HARLEM,4,s,s,4,s,s
Special Education,05M499,FREDERICK DOUGLASS ACADEMY,10,s,s,10,s,s
Special Education,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,13,s,s,13,s,s
Special Education,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,2,s,s,2,s,s
Special Education,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,21,0,0%,21,0,0%
Special Education,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,15,s,s,15,s,s
Special Education,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,21,0,0%,21,0,0%
