BRONX – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Address,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BRONX – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
2-04337-0018,"2244 BRONX PARK
Bronx, NY
(40.85840735541852, -73.87087026496502)",BRONXDALE,D4-ELEVATOR,68,1956,65071,737905,11.34,405848,6.24,332057,1595000,24.51,2-04337-0032,"2245 BARKER AVENUE
Bronx, NY
(40.85848976687058, -73.86955969816803)",BRONXDALE,D1-ELEVATOR,50,1959,57678,546211,9.47,338570,5.87,207641,1233000,21.38,0,2-04340-0078,"2275 BARKER AVENUE
Bronx, NY
(40.8592568140277, -73.86954241362294)",BRONXDALE,D1-ELEVATOR,60,1928,58510,663226,11.34,232532,3.97,430694,1727000,29.52,0.11,2-04338-0006,655 PELHAM PARKWAY NORTH,BRONXDALE,D1-ELEVATOR,86,1931,"78,358","1,014,365",12.95,"460,533",5.88,"553,832","3,693,000",47.13,0.06
2-04341-0001,"665 THWAITES PLACE
Bronx, NY
(40.85889999364674, -73.86892283319438)",BRONXDALE,D4-ELEVATOR,135,1962,125891,1596298,12.68,908933,7.22,687365,4599000,36.53,2-04342-0010,"2280 OLINVILLE AVENUE
Bronx, NY
(40.85936205163215, -73.8685367578719)",BRONXDALE,D1-ELEVATOR,512,1965,255000,3254182,12.76,1945100,7.63,1309082,8751000,34.32,0.05,2-04426-0005,"679 WARING AVENUE
Bronx, NY
(40.86138847629438, -73.86831912786174)",BRONXDALE,D1-ELEVATOR,49,1931,47886,602920,12.59,325629,6.8,277291,1857000,38.78,0.16,, , , , , , , , , , , , , , 
2-04343-0001,"2215 CRUGER AVENUE
Bronx, NY
(40.858167243319706, -73.86660543007959)",PELHAM PARKWAY NORTH,D4-ELEVATOR,168,1952,140662,1441786,10.25,772234,5.49,669552,4170000,29.65,2-04344-0042,"2225 HOLLAND AVENUE
Bronx, NY
(40.85834458053123, -73.86567875956378)",PELHAM PARKWAY NORTH,D1-ELEVATOR,61,1957,73500,717231,9.76,385119,5.24,332112,1870000,25.44,0.05,2-04344-0019,"2230 CRUGER AVENUE
Bronx, NY
(40.85842127242534, -73.86652416005782)",PELHAM PARKWAY NORTH,D1-ELEVATOR,64,1959,66151,677757,10.25,363354,5.49,314403,1672000,25.28,0.05,2-04348-0005,2310 HOLLAND AVENUE,PELHAM PARKWAY NORTH,D1-ELEVATOR,66,1951,"65,250","799,404",12.25,"373,100",5.72,"426,304","1,925,000",29.50,0.16
2-04425-0001,"2410 BARKER AVENUE
Bronx, NY
(40.861617360780244, -73.8693935826055)",BRONXDALE,D4-ELEVATOR,172,1963,183600,2550200,13.89,1276020,6.95,1274180,8130000,44.28,2-04633-0001,"831 BARTHOLDI STREET
Bronx, NY
(40.87380248839965, -73.86238609432566)",BRONXDALE,D1-ELEVATOR,122,1973,127629,1917422,15.02,1145345,8.97,772077,5313000,41.63,0.89,2-04342-0010,"2280 OLINVILLE AVENUE
Bronx, NY
(40.85936205163215, -73.8685367578719)",BRONXDALE,D1-ELEVATOR,512,1965,255000,3254182,12.76,1945100,7.63,1309082,8751000,34.32,0.17,, , , , , , , , , , , , , , 
2-04429-0001,"2550 OLINVILLE AVENUE
Bronx, NY
(40.863816236651225, -73.86838289481757)",BRONXDALE,D4-ELEVATOR,213,1965,232532,2906650,12.5,1334734,5.74,1571916,10538000,45.32,2-04342-0010,"2280 OLINVILLE AVENUE
Bronx, NY
(40.85936205163215, -73.8685367578719)",BRONXDALE,D1-ELEVATOR,512,1965,255000,3254182,12.76,1945100,7.63,1309082,8751000,34.32,0.3,2-04633-0001,"831 BARTHOLDI STREET
Bronx, NY
(40.87380248839965, -73.86238609432566)",BRONXDALE,D1-ELEVATOR,122,1973,127629,1917422,15.02,1145345,8.97,772077,5313000,41.63,0.74,, , , , , , , , , , , , , , 
2-04508-0010,"2750 OLINVILLE AVENUE
Bronx, NY
(40.866020278366186, -73.86831185110265)",BRONXDALE,D4-ELEVATOR,66,1955,71256,763864,10.72,441787,6.2,322077,1749000,24.55,2-04508-0052,"2830 OLINVILLE AVENUE
Bronx, NY
(40.86702426781181, -73.86828563110029)",BRONXDALE,D1-ELEVATOR,49,1929,47985,463796,9.67,244883,5.1,218913,1166000,24.3,0.08,2-04512-0031,"788 ARNOW AVENUE
Bronx, NY
(40.86780174450836, -73.86385142598625)",BRONXDALE,D1-ELEVATOR,55,1929,46008,493284,10.72,285255,6.2,208029,1289000,28.02,0.21,2-04548-0001,769 ARNOW AVENUE,BRONXDALE,D1-ELEVATOR,49,1928,"45,018","531,674",11.81,"254,372",5.65,"277,302","1,375,000",30.54,0.23
2-04543-0001,"3000 BRONX PARK
Bronx, NY
(40.86971543619559, -73.87048308781573)",BRONXDALE,D4-ELEVATOR,297,1961,352360,4326981,12.28,2406619,6.83,1920362,12178000,34.56,2-03138-0001,"999 180 STREET
Bronx, NY
(40.843235160415034, -73.8791946738251)",EAST TREMONT,D1-ELEVATOR,237,1974,276135,3521878,12.75,2141678,7.76,1380200,9228000,33.42,1.91,2-03026-0005,"2466 MARION AVENUE
Bronx, NY
(40.860427189421394, -73.89388293856203)",FORDHAM,D1-ELEVATOR,47,1907,56160,689403,12.28,383696,6.83,305707,1939000,34.53,1.34,2-03114-0008,2327 SOUTHERN BOULEVARD,BELMONT,D1-ELEVATOR,95,2003,"54,948","664,987",12.10,"413,398",7.52,"251,589","1,600,000",29.12,1.45
2-04593-0036,"3231 BARKER AVENUE
Bronx, NY
(40.87263207619004, -73.86935382390534)",BRONXDALE,C6-WALK-UP,37,1953,27225,404019,14.84,209633,7.7,194386,1340000,49.22,2-04593-0010,"3224 BRONX BOULEVARD
Bronx, NY
(40.872549095387186, -73.87036845913896)",BRONXDALE,C1-WALK-UP,16,1920,12432,201944,16.24,88424,7.11,113520,773000,62.18,0,2-04593-0009,"3222 BRONX BOULEVARD
Bronx, NY
(40.87253050484189, -73.87037078295711)",BRONXDALE,C1-WALK-UP,7,1920,5292,78544,14.84,54708,10.34,23836,589000,111.3,0,2-03357-0001,405 EAST 204 STREET,BRONX PARK,C7-WALK-UP,20,1911,"17,000","331,353",19.49,"171,789",10.11,"159,564","1,144,000",67.29,0.18
2-04670-0050,"800 TILDEN STREET
Bronx, NY
(40.87684133098142, -73.86159668357158)",WILLIAMSBRIDGE,D4-ELEVATOR,269,1962,289000,3427540,11.86,1946843,6.74,1480697,9474000,32.78,2-04642-0033,"3560 OLINVILLE AVENUE
Bronx, NY
(40.87910031645911, -73.86759036877477)",WILLIAMSBRIDGE,D1-ELEVATOR,85,1931,79098,964640,12.2,603338,7.63,361302,1991000,25.17,0.38,2-04819-0042,"3940 BRONX BOULEVARD
Bronx, NY
(40.88810742968159, -73.86465624684715)",WILLIAMSBRIDGE,D1-ELEVATOR,92,1960,84340,987633,11.71,570944,6.77,416689,2486000,29.48,0.8,2-04642-0006,3520 OLINVILLE AVENUE,WILLIAMSBRIDGE,D1-ELEVATOR,87,1963,"80,350","864,059",10.75,"490,082",6.10,"373,977","2,317,000",28.84,0.38
2-04845-0011,"745 231 STREET
Bronx, NY
(40.88453797922544, -73.91834237218964)",WILLIAMSBRIDGE,D4-ELEVATOR,201,1957,249258,2956200,11.86,1675279,6.72,1280921,8196000,32.88,2-04642-0033,"3560 OLINVILLE AVENUE
Bronx, NY
(40.87910031645911, -73.86759036877477)",WILLIAMSBRIDGE,D1-ELEVATOR,85,1931,79098,964640,12.2,603338,7.63,361302,1991000,25.17,1.06,2-04819-0042,"3940 BRONX BOULEVARD
Bronx, NY
(40.88810742968159, -73.86465624684715)",WILLIAMSBRIDGE,D1-ELEVATOR,92,1960,84340,987633,11.71,570944,6.77,416689,2486000,29.48,0.52,2-04642-0006,3520 OLINVILLE AVENUE,WILLIAMSBRIDGE,D1-ELEVATOR,87,1963,"80,350","864,059",10.75,"490,082",6.10,"373,977","2,317,000",28.84,1.06
2-05135-0051,"2324 HUNTER AVENUE
Bronx, NY
(40.8615520682674, -73.82424466048329)",CO-OP CITY,D4-ELEVATOR,4470,1969,5541031,64165139,11.58,41578740,7.5,22586399,144775000,26.13,2-03138-0001,"999 180 STREET
Bronx, NY
(40.843235160415034, -73.8791946738251)",EAST TREMONT,D1-ELEVATOR,237,1974,276135,3521878,12.75,2141678,7.76,1380200,9228000,33.42,3.02,2-05640-0018,"160 PILOT STREET
Bronx, NY
(40.84127842822532, -73.78383333346935)",CITY ISLAND,D3-ELEVATOR,131,1981,97013,1566660,16.15,776661,8.01,789999,4860000,50.1,2.68,2-03094-0003,730 OAKLAND PLACE,EAST TREMONT,D1-ELEVATOR,152,1975,"145,330","2,123,271",14.61,"1,310,877",9.02,"812,394","5,611,000",38.61,3.42
2-05141-0120,"2049 BARTOW AVENUE
Bronx, NY
(40.86950964952148, -73.82905496109849)",CO-OP CITY,D4-ELEVATOR,10948,1969,13540113,158825525,11.73,101914867,7.53,56910658,363902000,26.88,2-02882-0229,"16 RICHMAN PLAZA
Bronx, NY
(40.82557699997852, -73.91844899972153)",HIGHBRIDGE/MORRIS HEIGHTS,D6-ELEVATOR,8271,1973,1597950,20725412,12.97,11185650,7,9539762,60900000,38.11,5.1,3-04452-0020,"1325 PENNSYLVANIA AVENUE
Bronx, NY
(40.82557699997852, -73.91844899972153)",SPRING CREEK,D3-ELEVATOR,1164,1972,1485000,20584288,13.86,12168435,8.19,8415853,55466000,37.35,16.09,, , , , , , , , , , , , , , 
2-05259-0016,"3410 DE REIMER AVENUE
Bronx, NY
(40.87960219215409, -73.83666318298415)",BAYCHESTER,D4-ELEVATOR,208,1965,256000,3312640,12.94,1789440,6.99,1523200,10157000,39.68,2-04713-0001,"3444 FISH AVENUE
Bronx, NY
(40.87682542861255, -73.8503346570806)",BAYCHESTER,C1-WALK-UP,292,1935,268560,3616154,13.46,1894043,7.05,1722111,11407000,42.47,0.75,2-04722-0012,"3437 EASTCHESTER ROAD
Bronx, NY
(40.87767580142335, -73.84675762673274)",BAYCHESTER,D1-ELEVATOR,326,1935,254000,3574855,14.07,2273586,8.95,1301269,9031000,35.56,0.61,, , , , , , , , , , , , , , 
2-05403-0025,"3321 BRUCKNER BOULEVARD
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D4-ELEVATOR,71,1939,57994,600818,10.36,384500,6.63,216318,1346000,23.21,2-04172-0007,"3070 ROBERTS AVENUE
Bronx, NY
(40.84605067816246, -73.82906447338954)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,43,1929,46494,453917,9.76,235580,5.07,218337,1221000,26.26,0.21,2-04176-0034,"3065 ROBERTS AVENUE
Bronx, NY
(40.84607038498951, -73.82917565409208)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,54,1929,57000,668610,11.73,367650,6.45,300960,1782000,31.26,0.33,2-04170-0001,3015 ROBERTS AVENUE,SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,49,1928,"54,000","559,662",10.36,"357,798",6.63,"201,864","1,256,000",23.26,0.34
2-05481-0048,"3255 RANDALL AVENUE
Bronx, NY
(40.82953846866246, -73.81490345385603)",COUNTRY CLUB,D4-ELEVATOR,65,1965,55800,731538,13.11,300762,5.39,430776,2486000,44.55,2-04178-0010,"3555 BRUCKNER BOULEVARD
Bronx, NY
(40.82557699997852, -73.91844899972153)",SCHUYLERVILLE/PELHAM BAY,D3-ELEVATOR,142,1960,112000,1480347,13.22,642987,5.74,837360,4411000,39.38,1.34,2-04196-0030,"3073 BUHRE AVENUE
Bronx, NY
(40.847749993227104, -73.83036496100702)",SCHUYLERVILLE/PELHAM BAY,D1-ELEVATOR,46,1935,42000,545580,12.99,294420,7.01,251160,1408000,33.52,1.46,, , , , , , , , , , , , , , 
2-05713-0107,"290 232 STREET
Bronx, NY
(40.88173654826802, -73.90689097515074)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,117,1966,122000,1510360,12.38,769820,6.31,740540,4689000,38.43,2-05703-0192,"3063 GODWIN TERRACE
Bronx, NY
(40.87928525928889, -73.9059274342449)",KINGSBRIDGE/JEROME PARK,C7-WALK-UP,70,1925,64490,824827,12.79,445626,6.91,379201,2533000,39.28,0.17,2-05705-0036,"225 NAPLES TERRACE
Bronx, NY
(40.87980193958463, -73.90510635149292)",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,66,1926,53482,629252,11.77,357120,6.68,272132,1739000,32.52,0.17,, , , , , , , , , , , , , , 
2-05714-0164,"3125 TIBBETT AVENUE
Bronx, NY
(40.8811423782939, -73.90813997060022)",KINGSBRIDGE/JEROME PARK,D4-ELEVATOR,225,1961,234000,1895400,8.1,1251900,5.35,643500,3792000,16.21,2-05759-0573,"3411 IRWIN AVENUE
Bronx, NY
(40.88459684516846, -73.90553553287343)",KINGSBRIDGE/JEROME PARK,D3-ELEVATOR,401,1962,345000,4567800,13.24,2470200,7.16,2097600,5310000,15.39,0.19,2-05760-0112,"3424 KINGSBRIDGE AVENUE
Bronx, NY
(40.88299528302095, -73.90344028354679)",KINGSBRIDGE/JEROME PARK,D3-ELEVATOR,138,1962,128500,1626498,12.66,793514,6.18,832984,4972000,38.69,0.29,2-03253-0063,2735 SEDGWICK AVENUE,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,124,1922,"137,495","1,841,058",13.39,"974,840",7.09,"866,218","5,745,000",41.78,0.72
2-05716-0362,"2400 JOHNSON AVENUE
Bronx, NY
(40.876735383105775, -73.91892853625143)",RIVERDALE,D4-ELEVATOR,130,1969,142000,1821860,12.83,762540,5.37,1059320,6666000,46.94,2-05716-0287,"2475 PALISADE AVENUE
Bronx, NY
(40.88009283995462, -73.92234413928037)",RIVERDALE,D1-ELEVATOR,25,1932,31098,565690,18.19,214887,6.91,350803,1925000,61.9,0,2-05704-0050,"224 NAPLES TERRACE
Bronx, NY
(40.87975505800646, -73.90514393888233)",KINGSBRIDGE/JEROME PARK,C7-WALK-UP,100,1927,122640,1204731,9.82,734400,5.99,470331,2784000,22.7,0.86,2-05703-0197,3045 GODWIN TERRACE,KINGSBRIDGE/JEROME PARK,D7-ELEVATOR,74,1940,"68,610","880,115",12.83,"368,300",5.37,"511,815","3,417,000",49.80,0.77
2-05716-0500,"2500 JOHNSON AVENUE
Bronx, NY
(40.877230807922786, -73.91789903297085)",RIVERDALE,D4-ELEVATOR,339,1967,466400,5974584,12.81,2322672,4.98,3651912,21780000,46.7,2-05703-0197,"3045 GODWIN TERRACE
Bronx, NY
(40.87872029355931, -73.90632529743476)",KINGSBRIDGE/JEROME PARK,D7-ELEVATOR,74,1940,68610,880115,12.83,368300,5.37,511815,3417000,49.8,0.77,2-05703-0192,"3063 GODWIN TERRACE
Bronx, NY
(40.87928525928889, -73.9059274342449)",KINGSBRIDGE/JEROME PARK,C7-WALK-UP,70,1925,64490,824827,12.79,445626,6.91,379201,2533000,39.28,0.77,, , , , , , , , , , , , , , 
2-05722-0445,"555 KAPPOCK STREET
Bronx, NY
(40.87818376934095, -73.91733002190821)",RIVERDALE,D4-ELEVATOR,412,1966,539000,6414100,11.9,3476550,6.45,2937550,18743000,34.77,2-05703-0197,"3045 GODWIN TERRACE
Bronx, NY
(40.87872029355931, -73.90632529743476)",KINGSBRIDGE/JEROME PARK,D7-ELEVATOR,74,1940,68610,880115,12.83,368300,5.37,511815,3417000,49.8,0.46,2-05703-0209,"3025 GODWIN TERRACE
Bronx, NY
(40.87814859722114, -73.90672470544199)",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,65,1926,65250,715469,10.97,399124,6.12,316345,1485000,22.76,0.46,, , , , , , , , , , , , , , 
2-05723-0042,"60 KNOLLS CRESCENT
Bronx, NY
(40.878673153127714, -73.91819345508162)",RIVERDALE,D4-ELEVATOR,244,1953,237800,3119936,13.12,1640820,6.9,1479116,9838000,41.37,2-05706-0001,"3104 KINGSBRIDGE AVENUE
Bronx, NY
(40.87992313688797, -73.90642687352458)",KINGSBRIDGE/JEROME PARK,C7-WALK-UP,70,1926,68605,959299,13.98,547670,7.98,411629,2709000,39.49,0.67,2-05703-0197,"3045 GODWIN TERRACE
Bronx, NY
(40.87872029355931, -73.90632529743476)",KINGSBRIDGE/JEROME PARK,D7-ELEVATOR,74,1940,68610,880115,12.83,368300,5.37,511815,3417000,49.8,0.61,, , , , , , , , , , , , , , 
2-05723-0084,"25 KNOLLS CRESCENT
Bronx, NY
(40.8789696841341, -73.91711878656808)",RIVERDALE,D4-ELEVATOR,252,1954,247247,3226573,13.05,1540349,6.23,1686224,11000000,44.49,2-05746-0567,"2675 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1951,92782,1159771,12.5,480671,5.18,679100,3619000,39.01,0.2,2-05789-0024,"3240 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,108,1938,163197,2199230,13.48,1080504,6.62,1118726,7409000,45.4,0.54,2-05909-0163,3950 BLACKSTONE AVENUE,RIVERDALE,D1-ELEVATOR,176,1959,"237,000","3,092,924",13.05,"1,477,491",6.23,"1,615,433","10,760,000",45.40,0.98
2-05723-0094,"510 KAPPOCK STREET
Bronx, NY
(40.87753633096379, -73.91792310986001)",RIVERDALE,C6-WALK-UP,34,1948,43000,510840,11.88,230480,5.36,280360,1789000,41.6,2-05703-0192,"3063 GODWIN TERRACE
Bronx, NY
(40.87928525928889, -73.9059274342449)",KINGSBRIDGE/JEROME PARK,C7-WALK-UP,70,1925,64490,824827,12.79,445626,6.91,379201,2533000,39.28,0.61,2-05703-0183,"3044 KINGSBRIDGE AVENUE
Bronx, NY
(40.87897447957347, -73.9073386479331)",KINGSBRIDGE/JEROME PARK,C1-WALK-UP,38,1973,38873,417261,10.73,174998,4.5,242263,991000,25.49,0.61,, , , , , , , , , , , , , , 
2-05726-0673,"2750 JOHNSON AVENUE
Bronx, NY
(40.87960321809112, -73.9124115607985)",RIVERDALE,D4-ELEVATOR,78,1964,93060,1073912,11.54,479259,5.15,594653,3520000,37.83,2-05754-0090,"225 232 STREET
Bronx, NY
(40.88038240122977, -73.90433315088163)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,96,1929,87510,1031120,11.78,466325,5.33,564795,2156000,24.64,0.38,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.25,, , , , , , , , , , , , , , 
2-05736-0006,"3050 FAIRFIELD AVENUE
Bronx, NY
(40.882630194345474, -73.9145567923864)",RIVERDALE,D4-ELEVATOR,73,1958,111000,1307580,11.78,591630,5.33,715950,4575000,41.22,2-05787-0137,"3220 NETHERLAND AVENUE
Bronx, NY
(40.88396156817513, -73.91151120526435)",RIVERDALE,D1-ELEVATOR,85,1954,100498,1312394,13.06,505762,5.03,806632,3795000,37.76,0.23,2-05754-0090,"225 232 STREET
Bronx, NY
(40.88038240122977, -73.90433315088163)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,96,1929,87510,1031120,11.78,466325,5.33,564795,2156000,24.64,0.5,2-05732-0924,2700 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,78,1955,"108,955","1,229,714",11.29,"539,876",4.96,"689,838","3,432,000",31.50,0.11
2-05737-0061,"640 231 STREET
Bronx, NY
(40.88325976808199, -73.91465765694923)",RIVERDALE,D4-ELEVATOR,61,1953,72800,821912,11.29,361088,4.96,460824,2728000,37.47,2-05787-0137,"3220 NETHERLAND AVENUE
Bronx, NY
(40.88396156817513, -73.91151120526435)",RIVERDALE,D1-ELEVATOR,85,1954,100498,1312394,13.06,505762,5.03,806632,3795000,37.76,0.25,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.09,2-05754-0005,3214 KINGSBRIDGE AVENUE,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,54,1927,"61,020","599,169",9.82,"349,998",5.74,"249,171","1,475,000",24.17,0.56
2-05739-0257,"3135 JOHNSON AVENUE
Bronx, NY
(40.883055378382835, -73.91064609835382)",RIVERDALE,D4-ELEVATOR,122,1953,141721,1632626,11.52,700102,4.94,932524,5258000,37.1,2-05795-0537,"3555 NETHERLAND AVENUE
Bronx, NY
(40.88637237452552, -73.91072640935313)",RIVERDALE,D1-ELEVATOR,55,1939,60792,714186,11.75,298924,4.92,415262,1969000,32.39,0.23,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.26,, , , , , , , , , , , , , , 
2-05742-0120,"3103 FAIRFIELD AVENUE
Bronx, NY
(40.88325653534675, -73.91432731399054)",RIVERDALE,D4-ELEVATOR,108,1949,108700,1293530,11.9,551109,5.07,742421,4737000,43.58,2-05787-0137,"3220 NETHERLAND AVENUE
Bronx, NY
(40.88396156817513, -73.91151120526435)",RIVERDALE,D1-ELEVATOR,85,1954,100498,1312394,13.06,505762,5.03,806632,3795000,37.76,0.2,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.17,, , , , , , , , , , , , , , 
2-05743-0002,"2530 INDEPENDENCE AVENUE
Bronx, NY
(40.88020401891918, -73.92148723035251)",RIVERDALE,D4-ELEVATOR,69,1961,79296,991200,12.5,410753,5.18,580447,2937000,37.04,2-05746-0567,"2675 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1951,92782,1159771,12.5,480671,5.18,679100,3619000,39.01,0.18,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.3,2-05787-0137,3220 NETHERLAND AVENUE,RIVERDALE,D1-ELEVATOR,85,1954,"100,498","1,312,394",13.06,"505,762",5.03,"806,632","3,795,000",37.76,0.63
2-05743-0198,"2390 PALISADE AVENUE
Bronx, NY
(40.87998283235916, -73.92193811591589)",RIVERDALE,D4-ELEVATOR,60,1964,80214,944921,11.78,427541,5.33,517380,2970000,37.03,2-05787-0137,"3220 NETHERLAND AVENUE
Bronx, NY
(40.88396156817513, -73.91151120526435)",RIVERDALE,D1-ELEVATOR,85,1954,100498,1312394,13.06,505762,5.03,806632,3795000,37.76,0.57,2-05754-0090,"225 232 STREET
Bronx, NY
(40.88038240122977, -73.90433315088163)",KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,96,1929,87510,1031120,11.78,466325,5.33,564795,2156000,24.64,0.8,2-05732-0924,2700 HENRY HUDSON PARKWAY,RIVERDALE,D1-ELEVATOR,78,1955,"108,955","1,229,714",11.29,"539,876",4.96,"689,838","3,432,000",31.50,0.23
2-05743-0203,"2550 INDEPENDENCE AVENUE
Bronx, NY
(40.88035295620323, -73.92083363513495)",RIVERDALE,D4-ELEVATOR,142,1959,200314,2407774,12.02,997564,4.98,1410210,7744000,38.66,2-05793-0467,"3555 OXFORD AVENUE
Bronx, NY
(40.88632086694023, -73.90879379766534)",RIVERDALE,D1-ELEVATOR,57,1960,72553,888992,12.25,335602,4.63,553390,2772000,38.21,0.69,2-05732-0924,"2700 HENRY HUDSON PARKWAY
Bronx, NY
(40.82557699997852, -73.91844899972153)",RIVERDALE,D1-ELEVATOR,78,1955,108955,1229714,11.29,539876,4.96,689838,3432000,31.5,0.23,, , , , , , , , , , , , , , 
