OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
Palladia,N,N,Y,N,N,2129790100,2129798800,http://www.palladiainc.org,,"Founded in 1970, today Palladia, Inc. is one of the largest not-for-profit, multi-service agencies in New York City. With more than 30 years of experience, Palladia serves largely urban, poor individuals and families of color and is nationally recognized ",,,N,N,N,N,Y,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Parker Jewish Institute for Health Care and Rehabilitation,N,N,N,Y,N,7182892245,7182892100,http://www.parkerinstitute.org,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Peninsula Hospital Center,N,N,N,Y,N,,7187342000,http://www.peninsulahospital.org/,N,,N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Philippine Forum,N,N,Y,N,N,,2127416806,http://www.geocities.com/philippineforum,N,,N,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Phoenix House - Impact Program,N,N,Y,Y,N,,,http://www.phoenixhouse.org/Impact/,N,"IMPACT is an after-school outpatient program for teens ages 13 to 18 and their families. We help kids who are struggling with drug or alcohol abuse to get back on track -- socially, emotionally, and academically.  Our program is conveniently located on the Upper West Side in Manhattan, and is open to teens from the five boroughs and beyond.",N,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Planned Parenthood Federation of America,N,N,Y,N,N,,2125417800,http://www.plannedparenthood.org/,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Pride Senior Network,N,N,Y,N,N,6463366685,2126751936,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
PSCH,N,N,N,Y,N,7183588857,7184454700,http://www.psch.org,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Prevent Child Abuse New York,Y,Y,Y,Y,Y,5184365889,8003427472,http://preventchildabuseny.org/,,,,,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Project Inform,Y,Y,Y,Y,Y,4155580684,8008227422,http://www.projectinform.org,,,Californa,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Borough Public Library (Central),N,N,N,Y,N,,7189900809,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Child Guidance Center Incorporated,N,N,N,Y,N,7186515029,7186517770,http://www.qcgc.org,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Queens County Mental Health Society,N,N,N,Y,N,7184644081,7184642552,,,,,,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens County Neuropsychiatric Institute,N,N,N,Y,N,7183354731,7183353434,,,QCNPI,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Federation of Churches,N,N,N,Y,N,7188477392,7188476764,http://www.queenschurches.org,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Historical Society,N,N,N,Y,N,7185399885,7189390647,http://www.queenshistoricalsociety.org,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Interagency Council on the Aging,N,N,N,Y,N,7182680295,7182685954,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Intergroup of Alcoholics Anonymous,N,N,N,Y,N,,7185205021,http://www.queensaa.org,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Lesbian and Gay Pride Committee,N,N,N,Y,N,7185928650,9172972415,http://www.queenspride.com,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"720464 Jackson Heights
",
Search and Care,N,N,Y,N,N,,2122895300,http://searchandcare.org/,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Service Corps of Retired Executives. New York Chapter.,N,N,Y,N,N,,2122644507,http://www.scorenyc.org/,,,,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Services Now for Adult Persons,N,N,N,Y,N,,7184542100,http://www.snapqueens.org/,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Museum of Art,N,N,N,Y,N,7185925778,7185929700,http://www.queensmuseum.org/education/art_access.htm,,Art Access,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Queens Pride House,N,N,N,Y,N,7184295013,7184295309,http://www.queenspridehouse.org/,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"206 Jackson Heights
",
Queensbridge Day Care Center,N,N,N,Y,N,7183927928,7189377640,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Redstockings, Inc.",N,N,Y,N,N,,2129296720,http://www.redstockings.org,,,,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Reproductive Freedom Project,N,N,Y,N,N,,2125492633,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Riverdale Community Center, Inc.",N,Y,N,N,N,,7187964724,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Samaritan Village - Veterans Program,N,N,Y,N,N,,7186576195,http://www.samvill.org/index2.htm,,Veterans Program,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Sanctuary For Families,N,N,Y,N,N,,2123496009,http://www.sanctuaryforfamilies.org/,,,,,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Seamen's Society for Children and Families,N,N,N,N,Y,,7182739562,,,"See ""Seaman's Society for Children & Families""; 11/06/08: Unsure which number is correct.  Caller may have to try both; also formerly ""Healthy Families Program Society for Seamen's Children"" ",,,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Sexual Compulsives Anonymous New York,N,N,Y,N,N,,2124391123,http://www.sca-recovery.org/,,"Sexual Compulsives Anonymous is a fellowship of men and women who share their experience, strength and hope with each other, that they may solve their common problem and help others to recover from sexual compulsion. The only requirement for membership is",,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Sexuality Information & Education Council of the U.S., Inc.",N,N,Y,N,N,,2128199770,http://www.siecus.org/,,,,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Shalom Task Force,N,N,Y,N,N,,7183373700,http://www.shalomtaskforce.org/,,"The Shalom Task Force offers a rabbinically endorsed means to provide an abused woman with the confidentiality, professionalism, a sympathetic ear and advice from someone who understands her.",,,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Sjogren's Syndrome Foundation,N,N,Y,N,N,,2127247110,http://www.sjogrens.org/,,New York City Support Group,,,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Society for Accessible Travel & Hospitality,N,N,Y,N,N,,2124477284,http://www.sath.org,,"The Society for Accessible Travel & Hospitality (SATH), founded in 1976, is an educational nonprofit membership organization whose mission is to raise awareness of the needs of all travelers with disabilities, remove physical and attitudinal barriers to f",,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Socrates Sculpture Park,N,N,N,Y,N,,7189561819,http://www.socratessculpturepark.org/,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"6259 Long Island City
(43.689748019976754, -70.16849727381964)",
Spina Bifida Association of Nassau County,Y,Y,Y,Y,Y,,6318219028,http://www.sbancny.org/home2.htm,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Sprout,N,N,Y,N,N,2122229768,2122229575,http://gosprout.org/002.html,,Day and Evening Program,,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
St. George's Society of New York,N,N,Y,N,N,2126823465,2126826110,http://www.stgeorgessociety.org,,,,,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Stepfamily Foundation,N,N,Y,N,N,2123627030,2128773244,http://www.stepfamily.org,,"Beginning in 1976, we have been guiding the 21st Century Family, the stepfamily to help it function successfully",,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Teachers and Writers Collaborative,N,N,Y,N,N,,2126916590,http://www.twc.org/,,Writers-in-Residence Program,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"The East New York Learning Center, Inc",Y,N,N,N,N,,7183454775,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
St. Mary's Hospital for Children,N,N,N,N,N,7186317874,7182818750,http://www.stmaryskids.org/ps_tbi-coma.html,,Traumatic Brain Injury/Coma Recovery,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"The Learning Tree Cultural Center, Inc.",N,Y,N,N,N,,7189440958,,,,,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
The Northern Manhattan Perinatal Partnership Inc.,N,N,Y,N,N,,3476238445,,,,,,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
The River Fund,N,N,N,Y,N,,7184411125,http://riverfund-ny.org/,N,"The River Fund is a not-for-profit direct care service organization dedicated to providing physical, emotional and spiritual support to the hungry, the homeless, and working poor, children and adults living with HIV/AIDS, seniors, and people living with severe physical and mental challenges. Towards this end, we support and affirm all people with equal regard to age, gender, creed, ethnic origin and sexual orientation.",N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
The Union Square Partnership,N,N,Y,N,N,,2124608418,http://www.unionsquarenyc.org/,,"The Union Square Partnership is a community-based, nonprofit organization working to foster the best possible metropolitan neighborhood for its residents, businesses, property owners and employers. We are comprised of a Local Development Corporation (LDC)",,,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"1148 New York
10003
(40.73194394755518, -73.98887214913032)",
Third Wave Foundation,N,N,Y,N,N,,2123881898,http://www.thirdwavefoundation.org,,"Third Wave is a feminist, activist foundation that works nationally to support young women and transgender youth ages 15 to 30. Through strategic grantmaking, leadership development, and philanthropic advocacy, we support groups and individuals working to",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Tolentine-Zeiser Community Life Center, Inc",N,Y,N,N,N,,7189333305,http://www.tzclc.org/,,,,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Tourette Syndrome Association,N,N,N,N,N,,7182242999,http://www.tsa-usa.org,,"Founded in 1972 in Bayside New York, the national Tourette Syndrome Association is the only national voluntary non-profit membership organization in this field.  Our mission is to identify the cause of, find the cure for and control the effects of Tourett",,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Ukrainian National Women's League of America, Inc.",N,N,Y,N,N,,2125334545,http://www.unwla.org,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Under 21/Convenant House New York,N,N,Y,N,N,,2126130300,,,,,,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Union Settlement Association,N,N,Y,N,N,,2128286000,http://www.unionsettlement.org/,,,,,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"United Activities Unlimited, Inc.",N,N,N,N,Y,,7184484834,,,,,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"United Community Day Care Center, Inc",Y,N,N,N,N,,7183851201,,,,,,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
United Jewish Organization of Williamsburg,Y,N,N,N,N,,7186439700,http://www.unitedjewish.org/,,,,,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"University Settlement Society of New York, Inc",N,N,Y,N,N,,2126749120,http://www.universitysettlement.org/,,,,,Y,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Urban Justice Center,N,N,Y,N,N,,6466025600,http://www.urbanjustice.org/,,,,,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Urban Pathways, Inc.",N,N,Y,N,N,,2127367385,http://www.urbanpathways.org,,"Urban Pathways' services are available to all homeless and formerly-homeless adults, including those that are seriously and persistently mentally ill and/or chronically homeless, those with substance abuse problems and dual diagnoses (mentally ill and che",,,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Urban Youth Alliance International, Inc.",N,Y,N,N,N,,7184026872,http://www.uyai.org/,,,,,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,"617 Bronx
10451
(40.82069640711353, -73.92384136798472)",
"Vannguard Urban Improvement Association, Inc.",Y,N,N,N,N,,7184533330,,,,,,N,N,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Variety Boys & Girls Club of Queens, Inc.",N,N,N,Y,N,,7187280946,,,,,,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Vietnam Veterans of America,Y,Y,Y,Y,Y,7188309553,7188978387,http://www.vva.org/,N,"Founded in 1978, Vietnam Veterans of America is the only national Vietnam veterans organization congressionally chartered and exclusively dedicated to Vietnam-era veterans and their families. VVA is organized as a not-for-profit corporation and is tax-exe",Y,"Main Location is Silver Spring, Maryland ",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,,N,N,N,N,N,N,Y,,N,Published,,
Village Care of New York,N,N,Y,N,N,,2123375726,http://www.vcny.org/,,,,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"2D New York
10014
(40.73358645135369, -74.01019960472792)",
"Vision Urbana, Inc.",N,N,Y,N,N,,2124200041,http://www.visionurbana.org/,,,,,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
VISIONS Services for the Blind & Visually Impaired,N,N,Y,N,N,,2126251616,http://www.visionsvcb.org/,,,,,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Visiting Neighbors, Inc.",N,N,Y,N,N,,2122606200,http://www.visitingneighbors.org/,,,,,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Visiting Nurse Service of New York,N,N,Y,N,N,,2127949200,http://www.vnsny.org/,,,,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Well Spouse Association,N,N,Y,N,N,7325778644,8008380879,http://www.wellspouse.org,,"Today, the Well Spouse mission remains to provide emotional peer-to-peer support to the wives, husbands, and partners of the chronically ill and/or disabled. We offer this support through our various programs  and events. Our members can share their thoug",,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
West Bronx Housing & Neighborhood Resource Center,N,Y,N,N,N,,7187980929,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Wildcat Service Corporation,N,N,Y,N,N,,2122096000,http://www.wildcatnyc.org/,N,,N,,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Women for Hire,N,N,Y,N,N,,2122902600,http://www.womenforhire.com,N,"Founded in 1999 as the first and only company devoted to a comprehensive array of recruitment services for women, Women For Hire offers signature career expos, inspiring speeches and seminars, a popular career-focused magazine and customized marketing pro",N,,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women in Health Management, Inc.",N,N,Y,N,N,2124813071,2125451885,http://www.whmny.org,,"Women in Health Management is a professional organization for women in all areas of health management, including benefits, operations, policy, research, education, and philanthropy.",,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women in Housing and Finance, Inc.",N,N,Y,N,N,2126252510,2124391056,http://www.whfdc.org/,,WHF is a premier association of women and men that actively promotes its members in the fields of housing and financial services while retaining a focus on its women members.  WHF promotes its members through the presentation of topical programs and oppor,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women in Music, Inc.",N,N,Y,N,N,,2124594580,http://www.womeninmusic.org/,,"Women in Music is a dynamic group of music industry professionals working together to support, cultivate and recognize the talents of women in our field. Through educational seminars, panels, networking events, showcases, our annual Touchstone Awards, and",,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women in Need, Inc.",N,N,Y,N,N,2127361649,2126954758,http://www.women-in-need.org,N,"Women In Need, Inc. (WIN), founded in 1983, today serves over 8,500 people including 5,000 children who are homeless and disadvantaged. We strive to restore dignity, promote independence and provide stable housing to vulnerable families who face major obs",N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Women In Sports and Events (WISE),N,N,Y,N,N,2126792310,2127268282,http://www.womeninsportsandevents.com/,N,"WISE is the leading voice and resource for women in the sports and events industry. Our unique vision empowers WISE to celebrate and connect emerging and established women leaders, to promote one another in career growth and continue to change the face of",N,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women in the Arts Foundation, Inc.",N,N,Y,N,N,,2127511915,http://www.anny.org,,The contact info on the website is not for Women in the Arts but for another org that runs their website,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women Make Movies,N,N,Y,N,N,2129252052,2129250606,http://www.wmm.com/,,,,,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women of Color Quilters Network,Y,N,N,N,N,2122629470,2123165394,http://www.wcqn-newyork.org/home.htm,,"Women of Color Quilters Network, New York Chapter Inc. is a professional, not-for-profit organization located in Brooklyn, New York.  Born from its national root, the Network has been in existence since 1985.  Our founder, Dr. Carolyn L. Mazloomi an accla",,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women's Advocate Ministry, Inc.",N,N,Y,N,N,,2126833460,http://wamusa.org/,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's Army Corps Veterans Association,N,N,N,Y,N,,7186340353,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,,N,N,N,N,N,N,Y,,N,Published,"3H Rockaway Park
",
Women's City Club of New York,N,N,Y,N,N,2122284665,2123538070,http://www.wccny.org,,"Since its founding in 1915, the WCCNY has worked tirelessly to achieve policies of fairness, equity and inclusion for all New Yorkers. Utilizing the talents and expertise of its more than 500 volunteer members, it identifies current and emerging trends, d",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's Desk,N,N,Y,N,N,2127277668,2126336700,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,,N,N,N,N,N,N,Y,,N,Published,,
Women's Environment & Development Organization (WEDO),N,N,Y,N,N,2129730335,2129730325,http://www.wedo.org,,"WEDO’s mission is to empower women as decision makers to achieve economic, social and gender justice, a healthy, peaceful planet, and human rights for all. Through our programs on Sustainable Development,  Economic and Social Justice and Gender and Govern",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's Forum Inc.,N,N,Y,N,N,2124470925,2124479107,http://www.wfnewyork.org/index_2.cfm,,"The Women's Forum is a community where pre-eminent New York women leaders of diverse achievement come together to make a difference for each other and to take an active, leadership role in matters of importance to them.",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's National Book Association,N,N,Y,N,N,2127277275,2127277271,http://www.wnba-nyc.org,,The New York City chapter of the Women’s National Book Association is a professional organization that supports the community of the book. Our members—men and women who work with and value words—represent all aspects of the book industry. We are authors a,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's National Republican Club,N,N,Y,N,N,2129778972,2125825454,http://www.wnrc.org,,"The Women's National Republican Club is unique. It is the oldest national club for Republican women and the only one to provide its members with a Clubhouse. The Clubhouse is owned by the Club's members, and the Club is a separate entity not officially or",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's Prison Association and Home Inc.,N,N,Y,N,N,2126771981,2126741163,http://www.wpaonline.org/,,"WPA is a service and advocacy organization committed to helping women with criminal justice histories realize new possibilities for themselves and their families. Our program services make it possible for women to obtain work, housing, and health care; to",,,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's Therapy Centre Institute,N,N,Y,N,N,2127215554,2127217005,http://www.wtci-nyc.org/,,,,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Women's World Banking,N,N,Y,N,N,2127688519,2127688513,http://www.swwb.org/,,"Our vision is to improve the economic status of poor families in developing countries by unleashing the power inherent in women. We believe that when a woman is given the tools to develop a small business, build assets, and protect against catastrophic lo",,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Women's World Organization for Rights, Literature, and Development",N,N,Y,N,N,2129472973,2129472915,http://www.wworld.org/,,"We research, explore, and educate the public about the scope and prevalence of gender-based censorship, and work to have this problem redefined as a human rights abuse that violates the right to free expression of more than half the world's population.",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Woodside On The Move, Inc.",N,N,N,Y,N,,7184768449,,,,,,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Woodycrest Center For Human Development,N,Y,N,N,N,,7185384708,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Wyckoff Heights Medical Center - Prenatal,Y,N,N,N,N,7182082498,7189636502,http://www.wyckoffhospital.org/body.cfm?id=108,N,"PCAP provides comprehensive prenatal care services to low income women, by paying for health care related to pregnancy, childbirth, and the post partum period. We strive to promote successful pregnancies and the subsequent health of both infants and mothe",N,,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
