DFTA ID,Program Name,Date From,Date To,Time From,Time to,Site Address,Borough,Zip Code
44G,PETER CARDELLA SENIOR CITIZEN CENTER,01/28/2013,02/01/2013,9,4,68-52 FRESH POND ROAD,QUEENS,11385
44W,POMONOK SENIOR CENTER,01/28/2013,02/01/2013,9,4,67-09 KISSENA BOULEVARD,QUEENS,11367
43W,QUEENSBRIDGE-RIIS SENIOR CENTER,01/28/2013,02/01/2013,9,4,10-25 41ST AVENUE,QUEENS,11101
44T,RAICES ASTORIA SENIOR CENTER,01/28/2013,02/01/2013,9,4,21-21 30TH DRIVE,QUEENS,11102
44R,RAICES CORONA SENIOR CENTER,01/28/2013,02/01/2013,9,4,107-24 CORONA AVENUE,QUEENS,11368
43L,RAVENSWOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,34-35A 12TH STREET,QUEENS,11106
43X,REGO PARK SENIOR CENTER,01/28/2013,02/01/2013,9,4,93-29 QUEENS BOULEVARD,QUEENS,11374
45A,RIDGEWOOD OLDER ADULT CENTER,01/28/2013,02/01/2013,9,4,59-14 70TH AVENUE,QUEENS,11385
44S,ROBERT COUCHE SENIOR CITIZEN CENTER,01/28/2013,02/01/2013,9,4,137-57 FARMERS BOULEVARD,QUEENS,11434
43M,ROCHDALE SENIOR CENTER,01/28/2013,02/01/2013,9,4,169-65 137TH AVENUE,QUEENS,11434
44X,SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,58-20 LITTLE NECK PARKWAY,QUEENS,11362
43P,SELFHELP AUSTIN ST SENIOR CENTER,01/28/2013,02/01/2013,9,4,106-06 QUEENS BOULEVARD,QUEENS,11375
43T,SELFHELP CLEARVIEW SENIOR CENTER,01/28/2013,02/01/2013,9,4,208-11 26TH AVENUE,QUEENS,11360
42T,SELFHELP INNOVATIVE SENIOR CENTER,01/28/2013,02/01/2013,9,4,45-25 KISSENA BOULEVARD,QUEENS,11355
44A,SELFHELP LATIMER GARDENS SENIOR CENTER,01/28/2013,02/01/2013,9,4,34-30 137 STREET,QUEENS,11355
493,SELFHELP MASPETH SENIOR CENTER,01/28/2013,02/01/2013,9,4,69-61 GRAND AVENUE,QUEENS,11378
44B,SNAP BROOKVILLE SENIOR CENTER,01/28/2013,02/01/2013,9,4,133-33 BROOKVILLE BOULEVARD,QUEENS,11422
42V,SNAP INNOVATIVE SENIOR CENTER,01/28/2013,02/01/2013,9,4,80-45 WINCHESTER BOULEVARD,QUEENS,11427
43Y,SUNNYSIDE COMMUNITY SENIOR CENTER,01/28/2013,02/01/2013,9,4,43-31 39TH STREET,QUEENS,11104
45C,WOODSIDE SENIOR CENTER,01/28/2013,02/01/2013,9,4,50-37 NEWTOWN ROAD,QUEENS,11377
44V,YNG ISRAEL WAVECREST BAYSWATER SR LEAGUE,01/28/2013,02/01/2013,9,4,2716 HEALY AVENUE,QUEENS,11691
497,YOUNG ISRAEL FOREST HILLS SENIOR LEAGUE,01/28/2013,02/01/2013,9,4,68-07 BURNS STREET,QUEENS,11375
43Z,YOUNG ISRAEL QUEENS VALLEY,01/28/2013,02/01/2013,9,4,141-55 77TH AVENUE,QUEENS,11367
546,ANDERSON NEIGHBORHOOD SENIOR CENTER,01/28/2013,02/01/2013,9,4,120 ANDERSON AVENUE,STATEN,10302
552,ARROCHAR FRIENDSHIP CLUB SENIOR CENTER,01/28/2013,02/01/2013,9,4,85 JEROME AVENUE,STATEN,10305
550,CASSIDY COLES SENIOR CENTER,01/28/2013,02/01/2013,9,4,125 CASSIDY PLACE,STATEN,10301
544,JCC OF STATEN ISLAND INNOVATIVE SR CTR,01/28/2013,02/01/2013,9,4,1466 MANOR ROAD,STATEN,10314
548,JCC SOUTH SHORE SR CTR,01/28/2013,02/01/2013,9,4,1297 ARTHUR KILL ROAD,STATEN,10312
554,MOUNT LORETTO FRIENDSHIP CLUB SENIOR CTR,01/28/2013,02/01/2013,9,4,6581 HYLAN BOULEVARD,STATEN,10309
549,NEW LANE SENIOR CENTER,01/28/2013,02/01/2013,9,4,70 NEW LANE,STATEN,10305
547,STAPLETON SENIOR CENTER,01/28/2013,02/01/2013,9,4,189 GORDON STREET,STATEN,10304
551,STATEN ISLAND FRIENDSHIP CLUB,01/28/2013,02/01/2013,9,4,11 SAMPSON AVENUE,STATEN,10308
553,TODT HILL FRIENDSHIP CLUB SENIOR CENTER,01/28/2013,02/01/2013,9,4,184 SCHMIDTS LANE,STATEN,10314
545,WEST BRIGHTON SENIOR CENTER,01/28/2013,02/01/2013,9,4,230 BROADWAY,STATEN,10310
