County,Recreation Unit,Town,WMU,Acres,Map
Ulster,Lost Clove,Shandaken,3A,162,http://www.nyc.gov/html/dep/pdf/maps/Lost_Clove.pdf
Ulster,Mink Hollow,Woodstock,3A,618,http://www.nyc.gov/html/dep/pdf/maps/Mink_Hollow.pdf
Ulster,Oak Ridge,Olive,3A,25,http://www.nyc.gov/html/dep/pdf/maps/Oak_Ridge.pdf
Ulster,Olderbark,Woodstock,3A,188,http://www.nyc.gov/html/dep/pdf/maps/Olderbark.pdf
Ulster,Oliverea,Shandaken,3A,80,http://www.nyc.gov/html/dep/pdf/maps/Oliverea.pdf
Ulster,Peck Hollow,Shandaken,3A,75,http://www.nyc.gov/html/dep/pdf/maps/Peck_Hollow.pdf
Ulster,Piney Point Road,Olive,3C,369,http://www.nyc.gov/html/dep/pdf/maps/Piney_Pt.pdf
Ulster,Red Hill Knolls,Denning,3A,156,http://www.nyc.gov/html/dep/pdf/maps/Red_Hill_Knolls.pdf
Ulster,Rochester,Rochester,3C,17,http://www.nyc.gov/html/dep/pdf/maps/Rochester.pdf
Ulster,Romer Mountain,Shandaken,3A,16,http://www.nyc.gov/html/dep/pdf/maps/Romer_Mtn.pdf
Ulster,Rose Mountain**,Shandaken,4R,213,http://www.nyc.gov/html/dep/pdf/maps/Rose_Mtn.pdf
Ulster,Shandaken,Shandaken,3A,42,http://www.nyc.gov/html/dep/pdf/maps/Shandaken.pdf
Ulster,Sheridan Mountain,Shandaken,3A,107,http://www.nyc.gov/html/dep/pdf/maps/Sheridan_Mtn.pdf
Ulster,Sholam,Wawarsing,3C,240,http://www.nyc.gov/html/dep/pdf/maps/Sholam.pdf
Ulster,South Hollow,Olive,3C,79,http://www.nyc.gov/html/dep/pdf/maps/South_Hollow.pdf
Ulster,South Mountain,Olive,3C,351,http://www.nyc.gov/html/dep/pdf/maps/South_Mtn.pdf
Ulster,South Rondout,Wawarsing,3H,782,http://www.nyc.gov/html/dep/pdf/maps/South_Rondout.pdf
Ulster,Stone Road**,Hurley,3C,397,http://www.nyc.gov/html/dep/pdf/maps/Stone_Road.pdf
Ulster,Sundown,Denning,3C,121,http://www.nyc.gov/html/dep/pdf/maps/Sundown.pdf
Ulster,Tebelt Lane,Hurley,3C,22,http://www.nyc.gov/html/dep/pdf/maps/Tebelt_Lane.pdf
Ulster,Traver Hollow,Olive,3A,142,http://www.nyc.gov/html/dep/pdf/maps/Traver_Hollow.pdf
Ulster,Trout Creek,Wawarsing,3C,1440,http://www.nyc.gov/html/dep/pdf/maps/Trout_Creek.pdf
Ulster,Watson Hollow,Olive,3C,23,http://www.nyc.gov/html/dep/pdf/maps/Watson_Hollow.pdf
Ulster,Warner Creek South,Woodstock,3A,156,http://www.nyc.gov/html/dep/pdf/maps/WarnerCreek_South.pdf
Ulster,West Shokan,Olive,3C,117,http://www.nyc.gov/html/dep/pdf/maps/West_Shokan.pdf
Ulster,Wittenberg,Woodstock,3C,286,http://www.nyc.gov/html/dep/pdf/maps/Wittenberg.pdf
Ulster,Woodland Valley,Shandaken,3A,33,http://www.nyc.gov/html/dep/pdf/maps/Woodland_Valley.pdf
Ulster,Yagerville,Denning,3C,538,http://www.nyc.gov/html/dep/pdf/maps/Yagerville.pdf
Westchester,Angle Fly***,Somers,3S,269,http://www.nyc.gov/html/dep/pdf/maps/Angle_Fly.pdf
Westchester,Big Peninsula**,North Castle,3S,326,http://www.nyc.gov/html/dep/pdf/maps/Big_Peninsula.pdf
Westchester,Louden Point**,North Castle,3S,180,http://www.nyc.gov/html/dep/pdf/maps/Louden_Pt.pdf
Westchester,Muscoot East***,Lewisboro,3S,160,http://www.nyc.gov/html/dep/pdf/maps/Muscoot_East.pdf
Westchester,New Croton****,Yorktown,3S,210,http://www.nyc.gov/html/dep/pdf/maps/New_Croton.pdf
Westchester,Stayback Hill****,Yorktown,3S,142,http://www.nyc.gov/html/dep/pdf/maps/Stayback_Hill.pdf
Westchester,Turkey Mountain East**,Yorktown,3S,95,http://www.nyc.gov/html/dep/pdf/maps/TurkeyMtn_E.pdf
Westchester,Turkey Mountain West**,Yorktown,3S,185,http://www.nyc.gov/html/dep/pdf/maps/TurkeyMtn_W.pdf
