REGION###,PROGRAM,GRADE OR SERVICE CATEGORY##,CORE COURSE(High Schools only),AVERAGE CLASS SIZE
10,COLLABORATIVE TEAM TEACHING    ,Kindergarten             ,,18.4
10,COLLABORATIVE TEAM TEACHING    ,1,,21.6
10,COLLABORATIVE TEAM TEACHING    ,2,,21.8
10,COLLABORATIVE TEAM TEACHING    ,3,,21.1
10,COLLABORATIVE TEAM TEACHING    ,4,,20.7
10,COLLABORATIVE TEAM TEACHING    ,5,,24
10,COLLABORATIVE TEAM TEACHING    ,6,,21.5
10,COLLABORATIVE TEAM TEACHING    ,7,,26.8
10,COLLABORATIVE TEAM TEACHING    ,8,,27.5
10,GIFTED & TALENTED    ,Kindergarten             ,,20.7
10,GIFTED & TALENTED    ,1,,22.2
10,GIFTED & TALENTED    ,2,,21.2
10,GIFTED & TALENTED    ,3,,22.2
10,GIFTED & TALENTED    ,4,,23.5
10,GIFTED & TALENTED    ,5,,24.2
10,GIFTED & TALENTED    ,6,,28.8
10,GIFTED & TALENTED    ,7,,27.3
10,GIFTED & TALENTED    ,8,,26.7
Alternative High Schools,GENERAL EDUCATION,9,ENGLISH,19.1
Alternative High Schools,GENERAL EDUCATION,9,MATH   ,20.2
Alternative High Schools,GENERAL EDUCATION,9,SOCIAL STUDIES,22.1
Alternative High Schools,GENERAL EDUCATION,9,SCIENCE,23.4
Alternative High Schools,GENERAL EDUCATION,10,ENGLISH,22.9
Alternative High Schools,GENERAL EDUCATION,10,MATH   ,21.6
Alternative High Schools,GENERAL EDUCATION,10,SOCIAL STUDIES,24.5
Alternative High Schools,GENERAL EDUCATION,10,SCIENCE,24.6
Alternative High Schools,GENERAL EDUCATION,11,ENGLISH,22.7
Alternative High Schools,GENERAL EDUCATION,11,MATH   ,22.2
Alternative High Schools,GENERAL EDUCATION,11,SOCIAL STUDIES,24.7
Alternative High Schools,GENERAL EDUCATION,11,SCIENCE,24.1
Alternative High Schools,GENERAL EDUCATION,12,ENGLISH,22.9
Alternative High Schools,GENERAL EDUCATION,12,MATH   ,22.1
Alternative High Schools,GENERAL EDUCATION,12,SOCIAL STUDIES,25.5
Alternative High Schools,GENERAL EDUCATION,12,SCIENCE,23.8
Alternative High Schools,SPECIAL CLASS - High School,Mainstream,ENGLISH,19.5
Alternative High Schools,SPECIAL CLASS - High School,Mainstream,MATH   ,22.4
Alternative High Schools,SPECIAL CLASS - High School,Mainstream,SOCIAL STUDIES,27.5
Alternative High Schools,SPECIAL CLASS - High School,Mainstream,SCIENCE,26.3
Alternative High Schools,SPECIAL CLASS - High School,Self-Contained,ENGLISH,15.6
Alternative High Schools,SPECIAL CLASS - High School,Self-Contained,MATH   ,12.8
Alternative High Schools,SPECIAL CLASS - High School,Self-Contained,SOCIAL STUDIES,15
Alternative High Schools,SPECIAL CLASS - High School,Self-Contained,SCIENCE,12.6
