Medallion Number,Garage/Agent,Telephone,Cross Streets,Borough,Zip Code,Hours of Operation,Fax #,Website,Languages,Location 1,Location 2
1H84,YELLOW CAB SLS JET MANAGEMENT CORP,718-752-9097,,Queens,11101,24/7,N/A,N/A,"English, Russian, Bangladesh","22-05 43rd Avenue
Queens, New York 11101
(40.749938431156295, -73.94424221969138)","N/A
"
1H85,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1H86,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1H87,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1H88,WAILING MANAGEMENT INC,718-472-1800,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Russian, Urdu","31-08 Northern Boulevard
Queens, New York 11101
(40.75200899932842, -73.92709880731232)","N/A
"
1H89,FA MANAGEMENT INC,718-204-9241,,Queens,11106,9a-6p/ M-F,,N/A,English,"11-06 Broadway
Queens, New York 11106
(40.76748052022034, -73.93589645210491)","dla217@aim.com
"
1H90,FA MANAGEMENT INC,718-204-9241,,Queens,11106,9a-6p/ M-F,,N/A,English,"11-06 Broadway
Queens, New York 11106
(40.76748052022034, -73.93589645210491)","dla217@aim.com
"
1H91,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H92,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H93,CITY TRANSPORT MANAGEMENT INC,718-507-4840,,Queens,11377,24/7,N/A,N/A,"English, Russian (partial)","54-18 Broadway
Queens, New York 11377
(40.75314001758056, -73.90659659954486)","N/A
"
1H94,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H95,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H96,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H97,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H98,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1H99,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1J10,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J11,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J12,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J13,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J14,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J15,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J16,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J17,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J18,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J19,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J20,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J21,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J22,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J23,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J24,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J25,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J26,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J27,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J28,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J29,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J30,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J31,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J32,EXECUTIVE OWNERS HOLDING CORP,718-784-9292,,Queens,11101,9a-5:30p/ M-F,N/A,N/A,"English, Russian (partial)","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)","N/A
"
1J33,EXECUTIVE OWNERS HOLDING CORP,718-784-9292,,Queens,11101,9a-5:30p/ M-F,N/A,N/A,"English, Russian (partial)","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)","N/A
"
1J34,EXECUTIVE OWNERS HOLDING CORP,718-784-9292,,Queens,11101,9a-5:30p/ M-F,N/A,N/A,"English, Russian (partial)","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)","N/A
"
1J35,EXECUTIVE OWNERS HOLDING CORP,718-784-9292,,Queens,11101,9a-5:30p/ M-F,N/A,N/A,"English, Russian (partial)","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)","N/A
"
1J36,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1J37,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1J38,ARTHUR CAB LEASING CORP,718-392-3013,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","25-11B 41st Avenue
Queens, New York 11101
(40.745679999999936, -73.93815999999998)","N/A
"
1J39,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J40,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J41,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J42,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J43,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J44,GREEN APPLE MANAGEMENT CORP,718-361-5555,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Italian (partial)","34-20 31st Street
Queens, New York 11106
(40.7593614506997, -73.9275931621103)","N/A
"
1J45,NYC INTERBORO MANAGEMENT INC,718-392-0250,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","36-02 21st Street
Queens, New York 11106
(40.75967808873361, -73.93705663667726)","N/A
"
1J46,WHITE AND BLUE GROUP CORP,718-786-6594,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Russian, Spanish","35-11 43rd Avenue
Queens, New York 11101
(40.74613429897232, -73.92899871129475)","N/A
"
1J47,TUNNEL TAXI MANAGEMENT LLC,718-396-9020,,Queens,11101,24/7,N/A,N/A,"English, Russian","44-07 Vernon Boulevard
Queens, New York 11101
(40.74908717367135, -73.95213874379196)","N/A
"
1J48,TUNNEL TAXI MANAGEMENT LLC,718-396-9020,,Queens,11101,24/7,N/A,N/A,"English, Russian","44-07 Vernon Boulevard
Queens, New York 11101
(40.74908717367135, -73.95213874379196)","N/A
"
1J49,WHITE AND BLUE GROUP CORP,718-786-6594,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Russian, Spanish","35-11 43rd Avenue
Queens, New York 11101
(40.74613429897232, -73.92899871129475)","N/A
"
1J50,NYC INTERBORO MANAGEMENT INC,718-392-0250,,Queens,11106,9a-6p/ M-F,N/A,N/A,"English, Spanish, Urdu","36-02 21st Street
Queens, New York 11106
(40.75967808873361, -73.93705663667726)","N/A
"
1J51,YELLOW CAB SLS JET MANAGEMENT CORP,718-752-9097,,Queens,11101,24/7,N/A,N/A,"English, Russian, Bangladesh","22-05 43rd Avenue
Queens, New York 11101
(40.749938431156295, -73.94424221969138)","N/A
"
1J52,YELLOW CAB SLS JET MANAGEMENT CORP,718-752-9097,,Queens,11101,24/7,N/A,N/A,"English, Russian, Bangladesh","22-05 43rd Avenue
Queens, New York 11101
(40.749938431156295, -73.94424221969138)","N/A
"
1J53,EXECUTIVE OWNERS HOLDING CORP,718-784-9292,,Queens,11101,9a-5:30p/ M-F,N/A,N/A,"English, Russian (partial)","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)","N/A
"
1J54,EXECUTIVE OWNERS HOLDING CORP,718-784-9292,,Queens,11101,9a-5:30p/ M-F,N/A,N/A,"English, Russian (partial)","21-03 44th Avenue
Queens, New York 11101
(40.74942581759956, -73.94631965357905)","N/A
"
1J55,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1J56,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1J57,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J58,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J59,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J60,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J61,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J62,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J63,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J64,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J65,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J66,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J67,B. TAXI MANAGEMENT INC,212-957-0033,,Manhattan,10019,9a-5p/ M-F,N/A,N/A,English,"314 W 53rd Street
Manhattan, New York 10019
(40.76431581331232, -73.98523332734385)","N/A
"
1J68,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1J69,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1J70,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J71,CHECKER MANAGEMENT,718-361-6300,,Queens,11101,9a-6p/ M-F,N/A,N/A,"English, Spanish","22-10 Jackson Avenue
Queens, New York 11101
(40.746581531043894, -73.94360639079504)","N/A
"
1J72,BOULEVARD TAXI LEASING INC,718-932-3312,,Queens,11103,9a-5:30a/ M-F,N/A,N/A,"English, Russian","32-56 49th Street
Queens, New York 11103
(40.7541472582534, -73.91299077917319)","N/A
"
1J73,BOULEVARD TAXI LEASING INC,718-932-3312,,Queens,11103,9a-5:30a/ M-F,N/A,N/A,"English, Russian","32-56 49th Street
Queens, New York 11103
(40.7541472582534, -73.91299077917319)","N/A
"
1J74,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1J75,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1J76,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1J77,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1J78,FA MANAGEMENT INC,718-204-9241,,Queens,11106,9a-6p/ M-F,,N/A,English,"11-06 Broadway
Queens, New York 11106
(40.76748052022034, -73.93589645210491)","dla217@aim.com
"
1J79,FA MANAGEMENT INC,718-204-9241,,Queens,11106,9a-6p/ M-F,,N/A,English,"11-06 Broadway
Queens, New York 11106
(40.76748052022034, -73.93589645210491)","dla217@aim.com
"
1J80,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1J81,TAXIFLEET MANAGEMENT LLC,718-779-5000,,Queens,11377,9a-6p/ M-F,N/A,N/A,"English, Spanish","54-11 Queens Boulevard
Queens, New York 11377
(40.74238412611015, -73.91034677240702)","N/A
"
1J82,S&R MEDALLION CORP,212-957-9200,,Manhattan,10019,9a-5p/ M-F,N/A,N/A,"English, Urdu, Hindi","625 W 51st Street
Manhattan, New York 10019
(40.76706152259413, -73.99548558892087)","N/A
"
1J83,S&R MEDALLION CORP,212-957-9200,,Manhattan,10019,9a-5p/ M-F,N/A,N/A,"English, Urdu, Hindi","625 W 51st Street
Manhattan, New York 10019
(40.76706152259413, -73.99548558892087)","N/A
"
1J84,B. TAXI MANAGEMENT INC,212-957-0033,,Manhattan,10019,9a-5p/ M-F,N/A,N/A,English,"314 W 53rd Street
Manhattan, New York 10019
(40.76431581331232, -73.98523332734385)","N/A
"
1J85,WINNERS GARAGE INC,718-458-7000,,Queens,11377,9a-5p/ M-F,N/A,N/A,English,"34-14 64th Street
Queens, New York 11377
(40.751764054875764, -73.89891638941464)","N/A
"
1J86,WINNERS GARAGE INC,718-458-7000,,Queens,11377,9a-5p/ M-F,N/A,N/A,English,"34-14 64th Street
Queens, New York 11377
(40.751764054875764, -73.89891638941464)","N/A
"
1J87,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1J88,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1J89,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J90,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J91,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J92,AJB TAXI MANAGEMENT INC,212-956-3177,,Manhattan,10036,9a-5p/ M-F,N/A,N/A,English,"662 10th Avenue
Manhattan, New York 10036
(40.762512749657965, -73.99328753212242)","N/A
"
1J93,AJB TAXI MANAGEMENT INC,212-956-3177,,Manhattan,10036,9a-5p/ M-F,N/A,N/A,English,"662 10th Avenue
Manhattan, New York 10036
(40.762512749657965, -73.99328753212242)","N/A
"
1J94,FA MANAGEMENT INC,718-204-9241,,Queens,11106,9a-6p/ M-F,,N/A,English,"11-06 Broadway
Queens, New York 11106
(40.76748052022034, -73.93589645210491)","dla217@aim.com
"
1J95,FA MANAGEMENT INC,718-204-9241,,Queens,11106,9a-6p/ M-F,,N/A,English,"11-06 Broadway
Queens, New York 11106
(40.76748052022034, -73.93589645210491)","dla217@aim.com
"
1J96,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J97,55 STAN OPERATING CORP,718-786-5811,,Queens,11101,9a-5p/ M-F,,http://www.55stan.com/,English,"45-16 Vernon Boulevard
Queens, New York 11101
(40.748037260680185, -73.95237826695244)",
1J98,AWESOME TAXI MANAGEMENT,212-967-5477,,Manhattan,10036,9a-8p/ M-F,N/A,N/A,"English, Spanish","520 W 44th Street
Manhattan, New York 10036
(40.761413780250166, -73.99568343976733)","N/A
"
1J99,AWESOME TAXI MANAGEMENT,212-967-5477,,Manhattan,10036,9a-8p/ M-F,N/A,N/A,"English, Spanish","520 W 44th Street
Manhattan, New York 10036
(40.761413780250166, -73.99568343976733)","N/A
"
1K10,S&R MEDALLION CORP,212-957-9200,,Manhattan,10019,9a-5p/ M-F,N/A,N/A,"English, Urdu, Hindi","625 W 51st Street
Manhattan, New York 10019
(40.76706152259413, -73.99548558892087)","N/A
"
1K11,S&R MEDALLION CORP,212-957-9200,,Manhattan,10019,9a-5p/ M-F,N/A,N/A,"English, Urdu, Hindi","625 W 51st Street
Manhattan, New York 10019
(40.76706152259413, -73.99548558892087)","N/A
"
1K12,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1K13,TEAM SYSTEMS CORP,718-786-0640,,Queens,11101,24/7,,http://www.teamtaxi.com/,"English, Spanish","30-17 40th Avenue
Queens, New York 11101
(40.751764054875764, -73.93416081974289)",
1K14,TEAM SYSTEMS CORP,718-786-0640,,Queens,11101,24/7,,http://www.teamtaxi.com/,"English, Spanish","30-17 40th Avenue
Queens, New York 11101
(40.751764054875764, -73.93416081974289)",
1K15,AJB TAXI MANAGEMENT INC,212-956-3177,,Manhattan,10036,9a-5p/ M-F,N/A,N/A,English,"662 10th Avenue
Manhattan, New York 10036
(40.762512749657965, -73.99328753212242)","N/A
"
1K16,AVENUE M MANAGEMENT CORP,718-627-7097,,Brooklyn,11230,24/7,N/A,N/A,"English, Urdu","1500 McDonald Avenue
Brooklyn, New York 11230
(40.61632023963897, -73.97452820750327)","N/A
"
1K17,AJB TAXI MANAGEMENT INC,212-956-3177,,Manhattan,10036,9a-5p/ M-F,N/A,N/A,English,"662 10th Avenue
Manhattan, New York 10036
(40.762512749657965, -73.99328753212242)","N/A
"
1K18,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1K19,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1K20,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1K21,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1K22,ALL TAXI MANAGEMENT INC,718-361-0055,,Queens,11101,9a-5p/ M-F,718-361-7477,http://alltaxiny.com/,"English, Spanish, Romanian, Hindi, Urdu, Punjabi, Polish, Russian, French ","41-25 36th Street
Queens, New York 11101
(40.74463746531691, -73.92878162781685)",
1K23,WHITE AND BLUE GROUP CORP,718-786-6594,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Russian, Spanish","35-11 43rd Avenue
Queens, New York 11101
(40.74613429897232, -73.92899871129475)","N/A
"
1K24,WHITE AND BLUE GROUP CORP,718-786-6594,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Russian, Spanish","35-11 43rd Avenue
Queens, New York 11101
(40.74613429897232, -73.92899871129475)","N/A
"
1K25,WINNERS GARAGE INC,718-458-7000,,Queens,11377,9a-5p/ M-F,N/A,N/A,English,"34-14 64th Street
Queens, New York 11377
(40.751764054875764, -73.89891638941464)","N/A
"
1K26,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1K27,NO AGENT,,,,,,,,,"New York
(42.82699999955048, -75.54396999981549)",
1K28,MEDALLION MAINTENANCE,718-472-9000,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Spanish","46-02 Vernon Boulevard
Queens, New York 11101
(40.74682347737684, -73.95280786094978)","N/A
"
1K29,MEDALLION MAINTENANCE,718-472-9000,,Queens,11101,9a-5p/ M-F,N/A,N/A,"English, Spanish","46-02 Vernon Boulevard
Queens, New York 11101
(40.74682347737684, -73.95280786094978)","N/A
"
1K30,MC GUINNESS MANAGEMENT CORP,718-389-4486,,Brooklyn,11222,9a-5p/ M-F,N/A,N/A,English,"330 McGuinness Boulevard
Brooklyn, New York 11222
(40.733634247712956, -73.95204569947585)","N/A
"
1K31,MC GUINNESS MANAGEMENT CORP,718-389-4486,,Brooklyn,11222,9a-5p/ M-F,N/A,N/A,English,"330 McGuinness Boulevard
Brooklyn, New York 11222
(40.733634247712956, -73.95204569947585)","N/A
"
