BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Boro-Block-Lot,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Address,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Neighborhood,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Building Classification,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Total Units,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Year Built,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Gross Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Gross Income per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Estimated Expense,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Expense per SqFt,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Net Operating Income,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Full Market Value,BROOKLYN – COOPERATIVES COMPARABLE PROPERTIES – Market Value per SqFt,COMPARABLE RENTAL – 1 – Boro-Block-Lot,COMPARABLE RENTAL – 1 – Address,COMPARABLE RENTAL – 1 – Neighborhood,COMPARABLE RENTAL – 1 – Building Classification,COMPARABLE RENTAL – 1 – Total Units,COMPARABLE RENTAL – 1 – Year Built,COMPARABLE RENTAL – 1 – Gross SqFt,COMPARABLE RENTAL – 1 – Estimated Gross Income,COMPARABLE RENTAL – 1 – Gross Income per SqFt,COMPARABLE RENTAL – 1 – Estimated Expense,COMPARABLE RENTAL – 1 – Expense per SqFt,COMPARABLE RENTAL – 1 – Net Operating Income,COMPARABLE RENTAL – 1 – Full Market Value,COMPARABLE RENTAL – 1 – Market Value per SqFt,COMPARABLE RENTAL – 1 – Distance from Coop in miles,COMPARABLE RENTAL – 2 – Boro-Block-Lot,COMPARABLE RENTAL – 2 – Address,COMPARABLE RENTAL – 2 – Neighborhood,COMPARABLE RENTAL – 2 – Building Classification,COMPARABLE RENTAL – 2 – Total Units,COMPARABLE RENTAL – 2 – Year Built,COMPARABLE RENTAL – 2 – Gross SqFt,COMPARABLE RENTAL – 2 – Estimated Gross Income,COMPARABLE RENTAL – 2 – Gross Income per SqFt,COMPARABLE RENTAL – 2 – Estimated Expense,COMPARABLE RENTAL – 2 – Expense per SqFt,COMPARABLE RENTAL – 2 – Net Operating Income,COMPARABLE RENTAL – 2 – Full Market Value,COMPARABLE RENTAL – 2 – Market Value per SqFt,COMPARABLE RENTAL – 2 – Distance from Coop in miles,COMPARABLE RENTAL – 3 – Boro-Block-Lot,COMPARABLE RENTAL – 3 – Address,COMPARABLE RENTAL – 3 – Neighborhood,COMPARABLE RENTAL – 3 – Building Classification,COMPARABLE RENTAL – 3 – Total Units,COMPARABLE RENTAL – 3 – Year Built,COMPARABLE RENTAL – 3 – Gross SqFt,COMPARABLE RENTAL – 3 – Estimated Gross Income,COMPARABLE RENTAL – 3 – Gross Income per SqFt,COMPARABLE RENTAL – 3 – Estimated Expense,COMPARABLE RENTAL – 3 – Expense per SqFt,COMPARABLE RENTAL – 3 – Net Operating Income,COMPARABLE RENTAL – 3 – Full Market Value,COMPARABLE RENTAL – 3 – Market Value per SqFt,COMPARABLE RENTAL – 3 – Distance from Coop in miles
3-05219-0040,"601 19 STREET
Brooklyn, NY
(40.65436509571609, -73.9791246571537)",FLATBUSH-CENTRAL,D4-ELEVATOR,108,1942,132000,829443,6.28,488216,3.7,341227,1683000,12.75,3-05219-0029,"1060 OCEAN AVENUE
Brooklyn, NY
(40.636746612609286, -73.95850668409086)",FLATBUSH-CENTRAL,D1-ELEVATOR,71,1931,75221,818293,10.88,529990,7.05,288303,1785000,23.73,0,3-05219-0016,"1030 OCEAN AVENUE
Brooklyn, NY
(40.63736526439003, -73.95862964593549)",FLATBUSH-CENTRAL,D1-ELEVATOR,61,1941,57624,626949,10.88,406249,7.05,220700,1364000,23.67,0,3-05240-0043,"1122 OCEAN AVENUE
Brooklyn, NY
(40.635026225076764, -73.95824159181119)",FLATBUSH-CENTRAL,D1-ELEVATOR,96,1955,"113,188","1,153,386",10.19,"730,063",6.45,"423,323","2,638,000",23.31,0.16
3-05233-0001,"1212 NEWKIRK AVENUE
Brooklyn, NY
(40.63429570132466, -73.96580177801052)",FLATBUSH-CENTRAL,D4-ELEVATOR,66,1931,78600,784428,9.98,517188,6.58,267240,1342000,17.07,3-05234-0001,"1302 NEWKIRK AVENUE
Brooklyn, NY
(40.634670326279746, -73.96504264477876)",FLATBUSH-CENTRAL,D1-ELEVATOR,90,1931,95040,948479,9.98,624920,6.58,323559,2020000,21.25,0.05,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
3-05240-0025,"1150 OCEAN AVENUE
Brooklyn, NY
(40.63433055331052, -73.95811458119826)",FLATBUSH-CENTRAL,D4-ELEVATOR,67,1931,80690,511973,6.34,276711,3.43,235262,1375000,17.04,3-05219-0029,"1060 OCEAN AVENUE
Brooklyn, NY
(40.636746612609286, -73.95850668409086)",FLATBUSH-CENTRAL,D1-ELEVATOR,71,1931,75221,818293,10.88,529990,7.05,288303,1785000,23.73,0.16,3-05240-0043,"1122 OCEAN AVENUE
Brooklyn, NY
(40.635026225076764, -73.95824159181119)",FLATBUSH-CENTRAL,D1-ELEVATOR,96,1955,113188,1153386,10.19,730063,6.45,423323,2638000,23.31,0,3-05241-0018,"1169 OCEAN AVENUE
Brooklyn, NY
(40.63384368349881, -73.95781107839748)",FLATBUSH-CENTRAL,D3-ELEVATOR,96,1964,"99,482","1,167,038",11.73,"694,114",6.98,"472,924","3,024,000",30.40,0.07
3-05241-0006,"1199 OCEAN AVENUE
Brooklyn, NY
(40.63311457809324, -73.95768814783493)",FLATBUSH-CENTRAL,D4-ELEVATOR,63,1958,81000,769500,9.5,473850,5.85,295650,1320000,16.3,3-05240-0043,"1122 OCEAN AVENUE
Brooklyn, NY
(40.635026225076764, -73.95824159181119)",FLATBUSH-CENTRAL,D1-ELEVATOR,96,1955,113188,1153386,10.19,730063,6.45,423323,2638000,23.31,0.07,3-05219-0029,"1060 OCEAN AVENUE
Brooklyn, NY
(40.636746612609286, -73.95850668409086)",FLATBUSH-CENTRAL,D1-ELEVATOR,71,1931,75221,818293,10.88,529990,7.05,288303,1785000,23.73,0.2,3-07548-0006,"1299 OCEAN AVENUE
Brooklyn, NY
(40.630591742262084, -73.95721488480619)",MIDWOOD,D1-ELEVATOR,48,1924,"62,784","531,976",8.47,"343,558",5.47,"188,418","1,127,000",17.95,0.17
3-05241-0023,"1155 OCEAN AVENUE
Brooklyn, NY
(40.63418393272071, -73.95786844599886)",FLATBUSH-CENTRAL,D4-ELEVATOR,59,1931,77484,485461,6.27,231543,2.99,253918,1111000,14.34,3-05241-0018,"1169 OCEAN AVENUE
Brooklyn, NY
(40.63384368349881, -73.95781107839748)",FLATBUSH-CENTRAL,D3-ELEVATOR,96,1964,99482,1167038,11.73,694114,6.98,472924,3024000,30.4,0,3-05219-0029,"1060 OCEAN AVENUE
Brooklyn, NY
(40.636746612609286, -73.95850668409086)",FLATBUSH-CENTRAL,D1-ELEVATOR,71,1931,75221,818293,10.88,529990,7.05,288303,1785000,23.73,0.2,3-07548-0006,"1299 OCEAN AVENUE
Brooklyn, NY
(40.630591742262084, -73.95721488480619)",MIDWOOD,D1-ELEVATOR,48,1924,"62,784","531,976",8.47,"343,558",5.47,"188,418","1,127,000",17.95,0.17
3-05241-0031,"1111 OCEAN AVENUE
Brooklyn, NY
(40.63530205407102, -73.95815432897764)",FLATBUSH-CENTRAL,D4-ELEVATOR,104,1954,157493,744756,4.73,321476,2.04,423280,2518000,15.99,3-05240-0043,"1122 OCEAN AVENUE
Brooklyn, NY
(40.635026225076764, -73.95824159181119)",FLATBUSH-CENTRAL,D1-ELEVATOR,96,1955,113188,1153386,10.19,730063,6.45,423323,2638000,23.31,0.07,3-05241-0018,"1169 OCEAN AVENUE
Brooklyn, NY
(40.63384368349881, -73.95781107839748)",FLATBUSH-CENTRAL,D3-ELEVATOR,96,1964,99482,1167038,11.73,694114,6.98,472924,3024000,30.4,0,3-05240-0011,"1176 OCEAN AVENUE
Brooklyn, NY
(40.63368457256236, -73.95799664280439)",FLATBUSH-CENTRAL,D1-ELEVATOR,43,1968,"45,434","570,024",12.55,"330,329",7.27,"239,695","1,386,000",30.51,0.07
3-05246-0001,"2515 GLENWOOD ROAD
Brooklyn, NY
(40.633459543074274, -73.952823788604)",FLATBUSH-CENTRAL,D4-ELEVATOR,55,1931,64800,514512,7.94,276696,4.27,237816,1100000,16.98,3-07552-0047,"2420 GLENWOOD ROAD
Brooklyn, NY
(40.633309132401514, -73.95371859455632)",MIDWOOD,D1-ELEVATOR,53,1931,75600,600021,7.94,388900,5.14,211121,1246000,16.48,0.14,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
3-05246-0006,"2835 BEDFORD AVENUE
Brooklyn, NY
(40.63346625296141, -73.95295028341188)",FLATBUSH-CENTRAL,D4-ELEVATOR,47,1931,47322,341234,7.21,198286,4.19,142948,849000,17.94,3-05246-0047,"600 26 STREET
Brooklyn, NY
(40.63579305938336, -73.95250200558534)",FLATBUSH-CENTRAL,D1-ELEVATOR,36,1931,36000,399958,11.11,225630,6.27,174328,1076000,29.89,0,3-07555-0031,"723 27 STREET
Brooklyn, NY
(40.63319338606494, -73.9509645052666)",MIDWOOD,D1-ELEVATOR,64,1929,54878,665558,12.13,367828,6.7,297730,1893000,34.49,0.18,3-05251-0038,"616 29 STREET
Brooklyn, NY
(40.63578322046187, -73.9489890116931)",FLATBUSH-CENTRAL,D1-ELEVATOR,54,1931,"62,320","543,263",8.72,"331,737",5.32,"211,526","1,254,000",20.12,0.18
3-05247-0001,"2601 GLENWOOD ROAD
Brooklyn, NY
(40.63356032763607, -73.95199670880083)",FLATBUSH-CENTRAL,D4-ELEVATOR,90,1940,100000,833000,8.33,465000,4.65,368000,2165000,21.65,3-07552-0047,"2420 GLENWOOD ROAD
Brooklyn, NY
(40.633309132401514, -73.95371859455632)",MIDWOOD,D1-ELEVATOR,53,1931,75600,600021,7.94,388900,5.14,211121,1246000,16.48,0.15,3-05251-0038,"616 29 STREET
Brooklyn, NY
(40.63578322046187, -73.9489890116931)",FLATBUSH-CENTRAL,D1-ELEVATOR,54,1931,62320,543263,8.72,331737,5.32,211526,1254000,20.12,0.13,,, , , , , , , , , , , , , 
3-05247-0006,"657 26 STREET
Brooklyn, NY
(40.634565773878556, -73.95218846082368)",FLATBUSH-CENTRAL,D4-ELEVATOR,113,1941,118398,1077422,9.1,544631,4.6,532791,3146000,26.57,3-07554-0048,"712 27 STREET
Brooklyn, NY
(40.633223749524625, -73.95104332023764)",MIDWOOD,D1-ELEVATOR,59,1931,69782,635013,9.1,408717,5.86,226296,1347000,19.3,0.11,3-05246-0047,"600 26 STREET
Brooklyn, NY
(40.63579305938336, -73.95250200558534)",FLATBUSH-CENTRAL,D1-ELEVATOR,36,1931,36000,399958,11.11,225630,6.27,174328,1076000,29.89,0.05,3-07573-0020,"861 27 STREET
Brooklyn, NY
(40.629345465384624, -73.95023966499606)",MIDWOOD,D1-ELEVATOR,53,1931,"70,560","528,994",7.50,"324,924",4.60,"204,070","1,199,000",16.99,0.34
3-05247-0016,"645 26 STREET
Brooklyn, NY
(40.63484007320366, -73.95224239608423)",FLATBUSH-CENTRAL,D4-ELEVATOR,66,1931,78660,632015,8.03,329162,4.18,302853,1397000,17.76,3-07554-0056,"714 27 STREET
Brooklyn, NY
(40.63318566293308, -73.95103602475882)",MIDWOOD,D1-ELEVATOR,71,1927,77047,807415,10.48,502321,6.52,305094,1896000,24.61,0.11,3-07554-0048,"712 27 STREET
Brooklyn, NY
(40.633223749524625, -73.95104332023764)",MIDWOOD,D1-ELEVATOR,59,1931,69782,635013,9.1,408717,5.86,226296,1347000,19.3,0.11,3-05251-0038,"616 29 STREET
Brooklyn, NY
(40.63578322046187, -73.9489890116931)",FLATBUSH-CENTRAL,D1-ELEVATOR,54,1931,"62,320","543,263",8.72,"331,737",5.32,"211,526","1,254,000",20.12,0.13
3-05248-0012,"50 KENILWORTH PLACE
Brooklyn, NY
(40.634730384576066, -73.95101848232181)",FLATBUSH-CENTRAL,D4-ELEVATOR,73,1955,87027,522403,6,322208,3.7,200195,1191000,13.69,3-07554-0056,"714 27 STREET
Brooklyn, NY
(40.63318566293308, -73.95103602475882)",MIDWOOD,D1-ELEVATOR,71,1927,77047,807415,10.48,502321,6.52,305094,1896000,24.61,0.12,3-07554-0048,"712 27 STREET
Brooklyn, NY
(40.633223749524625, -73.95104332023764)",MIDWOOD,D1-ELEVATOR,59,1931,69782,635013,9.1,408717,5.86,226296,1347000,19.3,0.12,3-05251-0038,"616 29 STREET
Brooklyn, NY
(40.63578322046187, -73.9489890116931)",FLATBUSH-CENTRAL,D1-ELEVATOR,54,1931,"62,320","543,263",8.72,"331,737",5.32,"211,526","1,254,000",20.12,0.11
3-05257-0035,"310 WINDSOR PLACE
Brooklyn, NY
(40.657056768676966, -73.97525418331064)",WINDSOR TERRACE,C6-WALK-UP,21,1914,31200,202824,6.5,129060,4.14,73764,439000,14.07,3-05256-0006,"1661 11 AVENUE
Brooklyn, NY
(40.65656382008011, -73.97689737052134)",WINDSOR TERRACE,C1-WALK-UP,27,1927,23840,279223,11.71,154669,6.49,124554,752000,31.54,0.08,3-01113-0079,"437 PROSPECT AVENUE
Brooklyn, NY
(40.65994880236813, -73.98353782164737)",PARK SLOPE SOUTH,C1-WALK-UP,16,1920,17000,278782,16.4,124379,7.32,154403,1118000,65.76,0.43,3-01113-0001,"1657 8 AVENUE
Brooklyn, NY
(40.66019260242579, -73.98382273229696)",PARK SLOPE SOUTH,C7-WALK-UP,16,1921,"10,596","239,079",22.56,"115,661",10.92,"123,418","877,000",82.77,0.43
3-05257-0045,"135 PROSPECT PARK
Brooklyn, NY
(40.70062638776047, -73.98540140045351)",WINDSOR TERRACE,D4-ELEVATOR,87,1929,97884,632731,6.46,276228,2.82,356503,1430000,14.61,3-01107-0027,"70 PROSPECT PARK
Brooklyn, NY
(40.700642038028796, -73.98786881209446)",WINDSOR TERRACE,D1-ELEVATOR,48,1935,49428,676601,13.69,302841,6.13,373760,2211000,44.73,0.25,3-05287-0021,"800 GREENWOOD AVENUE
Brooklyn, NY
(40.65211049780115, -73.97393671877732)",WINDSOR TERRACE,D1-ELEVATOR,63,1941,67500,927400,13.74,421755,6.25,505645,3337000,49.44,0.3,3-01107-0021,"57 PROSPECT PARK
Brooklyn, NY
(40.70072008346129, -73.98846494447008)",WINDSOR TERRACE,D1-ELEVATOR,54,1921,"46,576","614,730",13.20,"201,105",4.32,"413,625","1,804,000",38.73,0.25
3-05268-0002,"166 SEELEY STREET
Brooklyn, NY
(40.654565837348144, -73.97626541620481)",WINDSOR TERRACE,D4-ELEVATOR,55,1938,65640,873012,13.3,505428,7.7,367584,2343000,35.69,3-01106-0005,"1 PROSPECT PARK
Brooklyn, NY
(40.700790913984434, -73.99086702232948)",WINDSOR TERRACE,D1-ELEVATOR,83,1921,76748,1020724,13.3,591146,7.7,429578,2849000,37.12,0.44,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
3-05268-0018,"202 SEELEY STREET
Brooklyn, NY
(40.65495301301139, -73.9752705899675)",WINDSOR TERRACE,D4-ELEVATOR,42,1931,44424,590839,13.3,342065,7.7,248774,1584000,35.66,3-01106-0005,"1 PROSPECT PARK
Brooklyn, NY
(40.700790913984434, -73.99086702232948)",WINDSOR TERRACE,D1-ELEVATOR,83,1921,76748,1020724,13.3,591146,7.7,429578,2849000,37.12,0.44,,, , , , , , , , , , , , , ,,, , , , , , , , , , , , , 
3-05268-0033,"651 VANDERBILT STREET
Brooklyn, NY
(40.65447911894219, -73.97381356958229)",WINDSOR TERRACE,D4-ELEVATOR,155,1963,162439,1523568,9.38,692176,4.26,831392,3366000,20.72,3-05287-0021,"800 GREENWOOD AVENUE
Brooklyn, NY
(40.65211049780115, -73.97393671877732)",WINDSOR TERRACE,D1-ELEVATOR,63,1941,67500,927400,13.74,421755,6.25,505645,3337000,49.44,0.22,3-05285-0001,"50 OCEAN PARKWAY
Brooklyn, NY
(40.65014225372227, -73.97544017252486)",WINDSOR TERRACE,D7-ELEVATOR,59,1937,67602,917807,13.58,513793,7.6,404014,2607000,38.56,0.25,3-05330-0024,"217 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",KENSINGTON,D1-ELEVATOR,174,1951,"146,066","1,885,594",12.91,"1,005,458",6.88,"880,136","5,412,000",37.05,0.58
3-05268-0084,"250 SEELEY STREET
Brooklyn, NY
(40.655404779648926, -73.97413637998243)",WINDSOR TERRACE,C6-WALK-UP,16,1931,17453,191808,10.99,102275,5.86,89533,416000,23.84,3-05277-0001,"601 PROSPECT AVENUE
Brooklyn, NY
(40.65702114901869, -73.97869227778442)",WINDSOR TERRACE,C7-WALK-UP,11,1931,17296,168606,9.75,64519,3.73,104087,429000,24.8,0.16,3-05074-0047,"39 ARGYLE ROAD
Brooklyn, NY
(40.64858894208931, -73.96768221284216)",FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,16640,203535,12.23,131184,7.88,72351,441000,26.5,0.56,,, , , , , , , , , , , , , 
3-05268-0087,"147 PROSPECT PARK
Brooklyn, NY
(40.70062134220593, -73.9852954438078)",WINDSOR TERRACE,C6-WALK-UP,16,1931,18360,235926,12.85,123746,6.74,112180,437000,23.8,3-05256-0006,"1661 11 AVENUE
Brooklyn, NY
(40.65656382008011, -73.97689737052134)",WINDSOR TERRACE,C1-WALK-UP,27,1927,23840,279223,11.71,154669,6.49,124554,752000,31.54,0.15,3-05073-0052,"3341 WESTMINSTER ROAD
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",FLATBUSH-CENTRAL,C1-WALK-UP,32,1931,23365,395451,16.92,187926,8.04,207525,1501000,64.24,0.55,3-00870-0032,"470 PROSPECT AVENUE
Brooklyn, NY
(40.65913068363309, -73.98230999367632)",PARK SLOPE SOUTH,C1-WALK-UP,16,1931,"9,952","127,908",12.85,"67,045",6.74,"60,863","406,000",40.80,0.54
3-05268-0089,"149 PROSPECT PARK
Brooklyn, NY
(40.70062050127989, -73.98527778436113)",WINDSOR TERRACE,C6-WALK-UP,16,1931,18240,234384,12.85,122938,6.74,111446,434000,23.79,3-05256-0006,"1661 11 AVENUE
Brooklyn, NY
(40.65656382008011, -73.97689737052134)",WINDSOR TERRACE,C1-WALK-UP,27,1927,23840,279223,11.71,154669,6.49,124554,752000,31.54,0.15,3-05073-0052,"3341 WESTMINSTER ROAD
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",FLATBUSH-CENTRAL,C1-WALK-UP,32,1931,23365,395451,16.92,187926,8.04,207525,1501000,64.24,0.55,3-00870-0032,"470 PROSPECT AVENUE
Brooklyn, NY
(40.65913068363309, -73.98230999367632)",PARK SLOPE SOUTH,C1-WALK-UP,16,1931,"9,952","127,908",12.85,"67,045",6.74,"60,863","406,000",40.80,0.54
3-05275-0036,"47 REEVE PLACE
Brooklyn, NY
(40.65331471051777, -73.97468276680353)",WINDSOR TERRACE,C6-WALK-UP,16,1931,9916,116116,11.71,54141,5.46,61975,236000,23.8,3-05256-0006,"1661 11 AVENUE
Brooklyn, NY
(40.65656382008011, -73.97689737052134)",WINDSOR TERRACE,C1-WALK-UP,27,1927,23840,279223,11.71,154669,6.49,124554,752000,31.54,0.2,3-05328-0079,"221 5 STREET
Brooklyn, NY
(40.67255624741806, -73.98621641586121)",KENSINGTON,C1-WALK-UP,12,1926,12800,148313,11.59,70533,5.51,77780,392000,30.63,0.49,3-05074-0047,"39 ARGYLE ROAD
Brooklyn, NY
(40.64858894208931, -73.96768221284216)",FLATBUSH-CENTRAL,C1-WALK-UP,16,1931,"16,640","203,535",12.23,"131,184",7.88,"72,351","441,000",26.50,0.51
3-05279-0019,"180 PROSPECT PARK
Brooklyn, NY
(40.70055233151364, -73.98499976647852)",WINDSOR TERRACE,D4-ELEVATOR,58,1961,77268,482927,6.25,256997,3.33,225930,1344000,17.39,3-05287-0021,"800 GREENWOOD AVENUE
Brooklyn, NY
(40.65211049780115, -73.97393671877732)",WINDSOR TERRACE,D1-ELEVATOR,63,1941,67500,927400,13.74,421755,6.25,505645,3337000,49.44,0.1,3-05285-0001,"50 OCEAN PARKWAY
Brooklyn, NY
(40.65014225372227, -73.97544017252486)",WINDSOR TERRACE,D7-ELEVATOR,59,1937,67602,917807,13.58,513793,7.6,404014,2607000,38.56,0.17,3-05320-0009,"31 OCEAN PARKWAY
Brooklyn, NY
(40.65011511591038, -73.97391070156648)",KENSINGTON,D1-ELEVATOR,83,1929,"90,900","1,170,839",12.88,"555,058",6.11,"615,781","4,109,000",45.20,0.24
3-05279-0032,"175 PROSPECT PARK
Brooklyn, NY
(40.70060956924585, -73.98504821164595)",WINDSOR TERRACE,C6-WALK-UP,27,1970,28000,214655,7.67,144832,5.17,69823,413000,14.75,3-05256-0006,"1661 11 AVENUE
Brooklyn, NY
(40.65656382008011, -73.97689737052134)",WINDSOR TERRACE,C1-WALK-UP,27,1927,23840,279223,11.71,154669,6.49,124554,752000,31.54,0.27,3-05073-0014,"28 ARGYLE ROAD
Brooklyn, NY
(40.648877850824995, -73.96781420568095)",FLATBUSH-CENTRAL,C1-WALK-UP,31,1931,28064,291215,10.38,165484,5.9,125731,747000,26.62,0.42,3-05072-0047,"49 STRATFORD ROAD
Brooklyn, NY
(40.64767799772978, -73.96940345331637)",FLATBUSH-CENTRAL,C1-WALK-UP,42,1925,"32,550","416,104",12.78,"188,947",5.80,"227,157","1,065,000",32.72,0.41
3-05280-0008,"221 MC DONALD AVENUE
Brooklyn, NY
(40.64911791000196, -73.98059719851686)",WINDSOR TERRACE,D4-ELEVATOR,166,1953,156170,1180637,7.56,900039,5.76,280598,1661000,10.64,3-05317-0011,"170 4 STREET
Brooklyn, NY
(40.67651333902271, -73.99276764366004)",KENSINGTON,D1-ELEVATOR,71,1962,62400,896450,14.37,493664,7.91,402786,1980000,31.73,0.12,3-05327-0041,"415 ALBEMARLE ROAD
Brooklyn, NY
(40.64548060202624, -73.97668803303637)",KENSINGTON,D1-ELEVATOR,67,1941,75600,887774,11.74,297569,3.94,590205,2420000,32.01,0.24,3-05287-0001,"10 OCEAN PARKWAY
Brooklyn, NY
(40.65088310662892, -73.97324737952127)",WINDSOR TERRACE,D1-ELEVATOR,133,1927,"136,362","1,623,280",11.90,"904,201",6.63,"719,079","4,422,000",32.43,0.40
3-05280-0047,"112 2 STREET
Brooklyn, NY
(40.67769786590215, -73.99177439212922)",WINDSOR TERRACE,D4-ELEVATOR,114,1940,149760,1627891,10.87,1003392,6.7,624499,3729000,24.9,3-05307-0045,"70 DAHILL ROAD
Brooklyn, NY
(40.64572492872419, -73.9810915948711)",KENSINGTON,D1-ELEVATOR,122,1934,149450,1101447,7.37,771162,5.16,330285,1958000,13.1,0.32,3-05317-0011,"170 4 STREET
Brooklyn, NY
(40.67651333902271, -73.99276764366004)",KENSINGTON,D1-ELEVATOR,71,1962,62400,896450,14.37,493664,7.91,402786,1980000,31.73,0.12,,, , , , , , , , , , , , , 
3-05285-0040,"82 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",WINDSOR TERRACE,D4-ELEVATOR,67,1939,86420,532294,6.16,236399,2.74,295895,1760000,20.37,3-05285-0001,"50 OCEAN PARKWAY
Brooklyn, NY
(40.65014225372227, -73.97544017252486)",WINDSOR TERRACE,D7-ELEVATOR,59,1937,67602,917807,13.58,513793,7.6,404014,2607000,38.56,0,3-05320-0009,"31 OCEAN PARKWAY
Brooklyn, NY
(40.65011511591038, -73.97391070156648)",KENSINGTON,D1-ELEVATOR,83,1929,90900,1170839,12.88,555058,6.11,615781,4109000,45.2,0.11,3-05329-0001,"125 OCEAN PARKWAY
Brooklyn, NY
(40.64741046407414, -73.97457537278103)",KENSINGTON,D1-ELEVATOR,84,1940,"94,252","1,152,382",12.23,"610,380",6.48,"542,002","3,223,000",34.20,0.31
3-05286-0001,"30 OCEAN PARKWAY
Brooklyn, NY
(40.65051638334263, -73.97423161007195)",WINDSOR TERRACE,D4-ELEVATOR,70,1936,169422,738661,4.36,310237,1.83,428424,1947000,11.49,3-05285-0001,"50 OCEAN PARKWAY
Brooklyn, NY
(40.65014225372227, -73.97544017252486)",WINDSOR TERRACE,D7-ELEVATOR,59,1937,67602,917807,13.58,513793,7.6,404014,2607000,38.56,0.05,3-05320-0009,"31 OCEAN PARKWAY
Brooklyn, NY
(40.65011511591038, -73.97391070156648)",KENSINGTON,D1-ELEVATOR,83,1929,90900,1170839,12.88,555058,6.11,615781,4109000,45.2,0.12,3-05330-0024,"217 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",KENSINGTON,D1-ELEVATOR,174,1951,"146,066","1,885,594",12.91,"1,005,458",6.88,"880,136","5,412,000",37.05,0.35
3-05305-0051,"36 DAHILL ROAD
Brooklyn, NY
(40.646445987146286, -73.98122708195426)",KENSINGTON,D4-ELEVATOR,84,1950,79000,675352,8.55,387241,4.9,288111,1606000,20.33,3-05309-0029,"45 TEHAMA STREET
Brooklyn, NY
(40.64447153615538, -73.9822088694754)",KENSINGTON,D1-ELEVATOR,65,1940,70944,507701,7.16,200424,2.83,307277,1825000,25.72,0.1,3-05334-0006,"114 ALBEMARLE ROAD
Brooklyn, NY
(40.64509952423095, -73.97967585765095)",KENSINGTON,D1-ELEVATOR,65,1927,62934,643810,10.23,377671,6,266139,1573000,24.99,0.22,3-05325-0065,"199 2 STREET
Brooklyn, NY
(40.67632138505274, -73.98876445040001)",KENSINGTON,D1-ELEVATOR,48,1937,"49,800","353,880",7.11,"136,056",2.73,"217,824","812,000",16.31,0.24
3-05307-0070,"40 TEHAMA STREET
Brooklyn, NY
(40.64458527536129, -73.98207635494319)",KENSINGTON,D4-ELEVATOR,75,1931,98604,624513,6.33,322574,3.27,301939,1796000,18.21,3-05309-0029,"45 TEHAMA STREET
Brooklyn, NY
(40.64447153615538, -73.9822088694754)",KENSINGTON,D1-ELEVATOR,65,1940,70944,507701,7.16,200424,2.83,307277,1825000,25.72,0.05,3-05334-0006,"114 ALBEMARLE ROAD
Brooklyn, NY
(40.64509952423095, -73.97967585765095)",KENSINGTON,D1-ELEVATOR,65,1927,62934,643810,10.23,377671,6,266139,1573000,24.99,0.19,3-05325-0065,"199 2 STREET
Brooklyn, NY
(40.67632138505274, -73.98876445040001)",KENSINGTON,D1-ELEVATOR,48,1937,"49,800","353,880",7.11,"136,056",2.73,"217,824","812,000",16.31,0.25
3-05319-0024,"100 OCEAN PARKWAY
Brooklyn, NY
(40.64812323477582, -73.97541795595417)",KENSINGTON,D4-ELEVATOR,103,1953,138600,753391,5.44,375653,2.71,377738,2247000,16.21,3-05330-0024,"217 7 STREET
Brooklyn, NY
(42.43318899977248, -78.74864600041258)",KENSINGTON,D1-ELEVATOR,174,1951,146066,1885594,12.91,1005458,6.88,880136,5412000,37.05,0.23,3-05287-0001,"10 OCEAN PARKWAY
Brooklyn, NY
(40.65088310662892, -73.97324737952127)",WINDSOR TERRACE,D1-ELEVATOR,133,1927,136362,1623280,11.9,904201,6.63,719079,4422000,32.43,0.26,3-05329-0001,"125 OCEAN PARKWAY
Brooklyn, NY
(40.64741046407414, -73.97457537278103)",KENSINGTON,D1-ELEVATOR,84,1940,"94,252","1,152,382",12.23,"610,380",6.48,"542,002","3,223,000",34.20,0.17
