No.(#),FISCAL YEAR   ,EST. BID PERIOD   ,TRADE   ,FMS ID   ,DESCRIPTION   ,BUDGET RANGE (X $1000)   
119,2013,Oct 01 - Dec 31,Construction,SEK201BN3,"RECONSTRUCT CEMENT PIPE SEWERS, BOROUGH-WIDE",5000-10000
120,2013,Jul 01 - Sep 30,Construction,SEK201BS3,"RECONSTRUCT EXISTING COLLAPSED VITREOUS CLAY SEWERS, BOROUGH-WIDE",5000-10000
121,2013,Apr 01 - Jun 30,Construction,SEQ200332,"INSTALL STORM SEWER AND WATER MAIN: BEDELL STREET BETWEEN AND 116TH AVENUE AND LINDEN BOULEVARD, AND 116TH AVENUE BETWEEN BEDELL AND 157TH STREET",1000-2500
122,2013,Jan 01 - Mar 31,Construction,SEQ200464,"INSTALL STORM AND SANITARY SEWERS, AND WATER MAIN, SECTIONS OF 9TH, 10TH, AND POPPENHUSEN AVENUES, AND 115TH, 116TH AND 117TH STREETS, COLLEGE POINT",2500-5000
123,2013,Jan 01 - Mar 31,Construction,SEQ200483,"INSTALL STORM AND COMBINED SEWER EXTENSIONS AND REPLACE WATER MAIN: HOOK CREEK BOULEVARD, MERRICK ROAD AND BROOKVILLE BOULEVARD INCLUDING ADJACENT SECTIONS OF 241ST, 242ND, 243RD AND 244TH STREETS; 130TH, 132ND AND 133RD AVENUES; AND 128TH, 131ST AND 132N",Over 10 mil
124,2013,Jul 01 - Sep 30,Construction,SEQ201BN5,RECONSTRUCT EXISTING DETERIORATED VITREOUS CLAY PIPE SEWERS,5000-10000
125,2013,Jul 01 - Sep 30,Construction,SEQ201BS5,RECONSTRUCT EXISTING DETERIORATED VITREOUS CLAY PIPE SEWERS,5000-10000
126,2013,Jul 01 - Sep 30,Construction,SER00201W,"EMERGENCY REPAIR AND RECONSTRUCTION OF EXISTING DETERIORATED VITREOUS CLAY PIPE SEWERS IN VARIOUS LOCATIONS, STATEN ISLAND",2500-5000
127,2013,Oct 01 - Dec 31,Construction,SER002311,"CONSTRUCT STORM AND SANITARY SEWERS AND APPURTENANCES: BERTRAM, PHILIP AND POILLON AVENUES BELOW HYLAN BOULEVARD, INCLUDING KENWOOD AVENUE, LYNCH STREET, PLUS HYLAN BETWEEN BERTRAM AND PHILIP",5000-10000
128,2013,Jan 01 - Mar 31,Construction,SER002318,REPLACE SANITARY SEWER IN WINDSOR ROAD BETWEEN LITTLE CLOVE ROAD AND TODT HILL ROAD,500-1000
129,2013,Jul 01 - Sep 30,Construction,SER200208,"INSTALL STORM AND SANITARY SEWERS, WATER MAINS AND APPURTENANCES IN WARDS POINT AVENUE AND ADJACENT SECTIONS OF AMBOY ROAD, SATTERLEE STREET, TOTTENVILLE PLACE AND PERTH AMBOY PLACE",1000-2500
130,2013,Jan 01 - Mar 31,Construction,SER200209,"INSTALL STORM AND SANITARY SEWERS, AND WATER MAIN: WOODROW ROAD FROM BELFIELD AVENUE TO JEFFERSON AVENUE; BELFIELD FROM WOODROW TO CROWN AVENUE; HOLCOMB AVENUE FROM WOODROW TO CROWN; CANTON AVENUE FROM VESPA AVENUE TO CROWN; AND VESPA FROM CANTON TO HOLCO",2500-5000
131,2013,Jan 01 - Mar 31,Construction,SER200226,"INSTALL SANITARY AND STORM SEWERS, AND WATER MAIN REPLACEMENT, ALONG VICTORY BOULEVARD AND ADJOINING STREETS IN THE TRAVIS AREA",Over 10 mil
132,2013,Jul 01 - Sep 30,Construction,SER200238,"REPLACE STORM AND SANITARY SEWERS, INSTALL NEW EXTENSIONS: CUBA AVENUE AND VICINITY, STATEN ISLAND",Over 10 mil
133,2013,Jan 01 - Mar 31,Construction,SER200252,INSTALL STORM AND SANITARY SEWERS IN SCARBORO AVENUE AREA,1000-2500
134,2013,Oct 01 - Dec 31,Construction,SETVDDC12,"REMOTE CAMERA SEWER INSPECTIONS ON AN AS-NEEDED BASIS, CITYWIDE",1000-2500
135,2013,Jul 01 - Sep 30,Construction,SEX00201X,RECONSTRUCT EXISTING DETERIORATED VITREOUS CLAY PIPE SEWERS,2500-5000
136,2013,Jan 01 - Mar 31,Construction,SEX20042,INSTALL STORM SEWER IN WILLIAM AVENUE BETWEEN DITMARS STREET AND TIER STREET,250-500
137,2014,Oct 01 - Dec 31,Construction,CONISPH2A,"INSTALL STORM AND SANITARY SEWERS, TRUNK AND DISTRIBUTION WATER MAINS, CONY ISLAND AREA INCLUDING: WEST 21ST STREET BETWEEN NEPTUNE AND SURF AVENUES, AND MERMAID AVENUE BETWEEN WEST 21ST AND WEST 24TH STREETS",Over 10 mil
138,2014,Oct 01 - Dec 31,"Plumbing, HVAC, Elec, GC",HH115AUBU,UPGRADE RESTROOMS,500-1000
139,2014,Jul 01- Sep 30,"Plumbing, HVAC, Elec, GC",HL82RPZ2,INSTALL/MODIFY REDUCED PRESSURE ZONE (BACKFLOW PREVENTION) DEVICES AT MULTIPLE HEALTH CENTERS CITY-WIDE,250-500
140,2014,Oct 01 - Dec 31,Construction,HWK1048B,"RECONFIGURE FLUSHING AVENUE FROM NAVY STREET TO WILLIAMSBURG STREET, TO INCLUDE: A TWO-WAY, CLASS 1 SEPARATED BIKE PATH; A SIX FOOT SIDEWALK EXTENSION; IMPROVED PAVEMENT MARKINGS AT ALL INTERSECTIONS",5000-10000
141,2014,Oct 01 - Dec 31,Construction,HWK300-01,"RECONSTRUCT NORTH FLATBUSH AVENUE FROM ATLANTIC AVENUE TO GRAND ARMY PLAZA, TO INCLUDE GREEN TRIANGLE STREETSCAPES WITH TRAFFIC NECKDOWNS AT INTERSECTIONS WITH CARLTON AVENUE AND PARK PLACE; 7TH AVENUE AND PARK PLACE; 6TH AVENUE AND ST. MARKS AVENUE; 8TH",2500-5000
142,2014,Oct 01 - Dec 31,Construction,HWK639W,"STREET RECONSTRUCTION INCLUDING IMPROVED ACCESS FOR BICYCLISTS AND PEDESTRIANS: TILLARY STREET BETWEEN CADMAN PLAZA AND NAVY STREET, AND ADAMS STREET FROM TILLARY TO SANDS STREET, PLUS ADJACENT SECTIONS OF GOLD AND JOHNSON STREETS, SANDS, PEARL AND HIGH S",Over 10 mil
143,2014,Jul 01 - Sep 30,Construction,HWM1683,"ROADWAY RECONSTRUCTION, WEST 33RD STREET BETWEEN 10TH AND 11TH AVENUES, INCLUDING SEWER AND WATER MAIN REPLACEMENT",Over 10 mil
144,2014,Oct 01 - Dec 31,Construction,HWP2013LM,INSTALL COMPLEX PEDESTRIAN RAMPS AT LANDMARK LOCATIONS IN BROOKLYN AND MANHATTAN,5000-10000
145,2014,Oct 01 - Dec 31,Construction,HWP2013TA,CONSTRUCT COMPLEX PEDESTRIAN RAMPS IN BROOKLYN AND MANHATTAN,5000-10000
146,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",LBC11CNYS,RENOVATE YOUTH SERVICES LIBRARY,2500-5000
147,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",LQD122GL2,"SELECTIVE INTERIOR RENOVATIONS INCLUDING FIRE AND SECURITY SYSTEMS, ADA COMPLIANT STREET ACCESS AND A NEW ADA COMPLIANT ELEVATOR",1000-2500
148,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",PV031ARC3,"REPLACE ARCHITECTURAL METAL ELEMENTS, REPOINT AND REPLACE BRICKS (AS NECESSARY) ON FAÇADE OF THIS LANDMARKED BUILDING. PROVIDE A NEW FIRE ESCAPE ON REAR OF BUILDING.",1000-2500
149,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",PV180ARTL,"RENOVATE EXISTING RESTROOMS WITH NEW FIXTURES, UPDATED PLUMBING AND ADDED HVAC VENTS",100-250
150,2014,Jul 01 -Sep 30,"Plumbing, HVAC, Elec, GC",PV272SIDE,RENOVATE THE 1.2 MILE LONG COBBLESTONE SIDEWALK AROUND THE PERIMETER OF THE QUEENS BOTANICAL GARDEN,500-1000
151,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",PV471-BMS,INSTALLATION AND CALIBRATION OF A BUILDING MANAGEMENT SYSTEM (BMS) TO THE CURRENT HVAC SYSTEM,250-500
152,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",PV655QCFM,THE RESTORATION OF THREE LANDMARKED GREENHOUSES LOCATED AT THE QUEENS COUNTY FARM MUSEUM,1000-2500
153,2014,Oct 01 - Dec 31,"Plumbing, HVAC, Elec, GC",PV678-BCA,"THE PROJECT INCLUDES THE GUT RENOVATION OF INTERIORS, REPROGRAMMING OF THE SPACES INTO BCA’S ADMINISTRATIVE HEADQUARTERS, MEZZANINE LEVEL OFFICE FIT-OUT, A CULTURAL AND COMMUNITY GATHERING SPACE ON THE MAIN LEVEL, ADA COMPLIANCE RENOVATION, AND POSSIBLE E",2500-5000
154,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",S136-383Q,MECHANICAL HVAC REPLACEMENT/UPGRADE AND ASSOCIATED ELECTRICAL WORK,1000-2500
155,2014,Jul 01 - Sep 30,Construction,SE810,"INSTALL SANITARY AND STORM SEWERS, AND WATER MAIN: STREETS WITHIN THE WHITESTONE QUEENS AREA APPROXIMATELY DEFINED BY 20TH AVENUE TO THE NORTH, 29TH AVENUE TO THE SOUTH, AND 149TH STREET AND PARSONS BOULEVARD TO THE EAST AND WEST",Over 10 mil
156,2014,Jul 01 - Sep 30,Construction,SEK002373,"INSTALL STORM SEWER EXTENSION AT ABBEY COURT BETWEEN LOIS AVENUE AND PLUMB BEACH CHANNEL, AND INSTALL CATCH BASINS AT VARIOUS LOCATIONS IN BROOKLYN",500-1000
157,2014,Jul 01 - Sep 30,Construction,SEQ200490,STORM SEWER EXTENSIONS AND RELATED WATER MAIN WORK IN 95TH STREET AND VICINITY,1000-2500
158,2014,Jul 01 - Sep 30,"Plumbing, HVAC, Elec, GC",TF18-2012,"MAJOR RESTORATION OF THE FACILITY TO INCLUDE STRUCTURAL REHABILITATION, UPDATED LIGHTING AND ELEVATOR, NEW EXTERIOR CLADDING, PARKING DECK RESURFACING AND OFFICE SPACE RENOVATION",5000-10000
