Percent Project,Artist,Borough,Council District,Community Board,Location 1
West Side High School ," Wexler, Allan",Manhattan,Manhattan Council District #8,Manhattan Community Board #7,"140 102nd
Street, New York
"
White Street Detention Center ," Haas, Richard",Manhattan,Manhattan Council District #1,Manhattan Community Board #1,"125 White
Street, New York
"
White Street Detention Center ," Snyder, Kit Yin",Manhattan,Manhattan Council District #1,Manhattan Community Board #1,"125 White
Street, New York
"
Whitehall Ferry Terminal ," Adams, Dennis",Manhattan,Manhattan Council District #1,Manhattan Community Board #1,"Whitehall
Streets, New York
"
Whitehall Ferry Terminal ," Fay, Ming",Manhattan,Manhattan Council District #1,Manhattan Community Board #1,"Whitehall
Streets, New York
"
Williamsburg Childcare Center ," Ros, Moses",Brooklyn,Brooklyn Council District #34,Brooklyn Community Board #1,
Battery Park City(PS 276),"Shin, Jean",Manhattan,Manhattan Council District #1,Manhattan Community Board #1,"55 Battery
Place, New York
"
Eagle Academy for Young Men,"Biggers, Sanford",Bronx,Bronx Council District #15,Bronx Community Board,
ECC 361 @ 94,"Hassenfeld, Kirsten",Bronx,Bronx Council District #11,Bronx Community Board,
Family Intake Center (Emergency Assistance Unit),"Twitchell, Lane",Bronx,Bronx Council District #17,Bronx Community Board,
Gateway High School for Health Care Professionals,"Morris, Sarah",Queens,Queens Council District #24,Queens Community Board ,
Metropolitan Avenue Campus,"Scher, Paula",Queens,Queens Council District #29,Queens Community Board ,
Mott Haven Schools,"Sze, Sarah",Bronx,Bronx Council District #8,Bronx Community Board #1,
PS 971K,"Tan, Tatfoo",Brooklyn,Brooklyn Council District #38,Brooklyn Community Board,
PS/IS 665 at 163K,"Opdyke, David",Brooklyn,Brooklyn Council District #43,Brooklyn Community Board,
PS/IS 44R Annex,"Simeti, Francesco",Staten Island,Staten Island Council District #49,Staten Island Community Board,
MEETH 59,"Ahearn, John",Manhattan,Manhattan Council District #4,Manhattan Community Board,"213 63rd
Street, New York
"
MEETH 59,"Fradkin, Lucy",Manhattan,Manhattan Council District #4,Manhattan Community Board,"213 63rd
Street, New York
"
PS/IS 263,"Huang, Wennie ",Manhattan,Manhattan Council District #10,Manhattan Community Board,"202 Sherman
Avenue, New York
"
