PrimaryProjectType,SubType,ProjectStatus,StartDateActual,FinishDateActual,ProjectSiteName,ProjectSiteAddress,Acronym,CO2e (MT) Calculated
Lighting System Upgrade,Retrofit,Completed,11-Mar-11,20-Dec-11,23K275 - 985 Rockaway Avenue,985 Rockaway Ave,DOE,153.36
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,X069 - P.S. The New Vision School,560 Theriot Avenue,DOE,39.64
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,K121 - P.S. 121 Nelson A. Rockefeller,5301 20th Avenue,DOE,37.05
Lighting System Upgrade,Retrofit,Install,15-Aug-12,,K093 - P.S. 093 William H. Prescott,31 New York Avenue,DOE,54.44
Lighting System Upgrade,Retrofit,Install,14-Aug-12,,K114 - P.S. 114 Ryder Elementary,1077 Remsen Avenue,DOE,40.52
Comprehensive,Retrofit,Install,16-Aug-12,,K041 - P.S. 041 Francis White,411 Thatford Avenue,DOE,93.69
,O&M,Completed,12-May-10,10-Jun-10,M855  M416 - Eleanor Roosevelt High School,411 East 76th Street,DOE,
HVAC System Upgrade,Retrofit,Install,14-Jun-12,,Brooklyn High School of the Arts,345 Dean Street,DOE,23.32
Energy Audit,None,Completed,18-Mar-10,01-Sep-10,Brooklyn High School of the Arts,345 Dean Street,DOE,23.32
Other,Retro-commissioning,Survey,,,Brooklyn High School of the Arts,345 Dean Street,DOE,
Comprehensive,Retrofit,Design,,,Co-op City Educational Campus,850 Baychester Ave,DOE,860.45
Energy Audit,None,Completed,,02-Mar-11,Co-op City Educational Campus,850 Baychester Ave,DOE,1042.82
Other,Retro-commissioning,Survey,,,"Co-op City (PS 153,178,180,181,455)",650-850 Baychester,DOE,
Comprehensive,Retrofit,Design,,,P.S 174X Eugene T. Maleska,456 White Road,DOE,112.08
Energy Audit,None,Completed,17-Mar-10,01-Oct-10,P.S 174X,456 White Road,DOE,112.08
Other,Retro-commissioning,Survey,,,Eugene T.Maleska Middle School,456 White Plains Road,DOE,
Comprehensive,Retrofit,Design,01-Jul-11,,Twin Parks Upper School,2055 Mapes Ave,DOE,501.16
Energy Audit,None,Completed,24-Mar-10,07-Oct-10,X129 Twin Parks Upper School,2055 Mapes Avenue,DOE,137.68
Other,Retro-commissioning,Survey,,,Twin Parks Upper School,2055 Mapes Ave,DOE,
Energy Audit,None,Completed,16-Mar-10,16-Dec-10,Park West High School,525 WEST 50TH STREET,DOE,106.04
Lighting System Upgrade,Retrofit,Substantially Completed,01-Jul-11,14-Dec-11,K009 - P.S. 9K Teunis G. Bergen School Lighting,80 Underhill Ave,DOE,68.25
Comprehensive,Retrofit,Design,,,PS 9K Teunis G. Bergen School,80 Underhill Ave,DOE,2.62
Energy Audit,None,Completed,12-Oct-10,05-May-11,K009 - PS 9K Teunis G. Bergen School,80 Underhill Ave,DOE,86.38
Other,Retro-commissioning,Survey,,,PS 9K Teunis G. Bergen School,80 Underhill Ave,DOE,
Lighting System Upgrade,Retrofit,Completed,12-Dec-11,14-Dec-11,John Bowne,142-30 Barcklay Ave.,DOE,68.18
HVAC System Upgrade,Retrofit,Design,,,John Bowne PS 20 Queens,142-30 Barcklay Ave.,DOE,1.5
Energy Audit,None,Completed,07-Oct-10,19-May-11,Q20 - PS 20Q John Bowne,142-30 Barclay Ave,DOE,291.94
Other,Retro-commissioning,Survey,,,John Bowne,142-30 Barclay Ave,DOE,
Energy Audit,None,Completed,07-Oct-10,02-Jun-10,Q120 - PS 120Q,58-01 136 Street,DOE,51.5
Other,Retro-commissioning,Survey,,,Q120 - PS 120Q,58-01 136 Street,DOE,
Comprehensive,Retrofit,Design,,,PS 125Q - Thomas J. McCann,"46-02 47 Ave  Woodside, NY",DOE,144.13
Energy Audit,None,Completed,21-Oct-10,25-May-11,Q125 - JHS 125Q Thom J. McCann Woodside,46-02 47 Ave,DOE,79.69
Other,Retro-commissioning,Proposed,,,Q125 - JHS 125Q Thom J. McCann Woodside,46-02 47 Ave,DOE,
Other,Retro-commissioning,Survey,,,Q125 - JHS 125Q Thom J. McCann Woodside,46-02 47 Ave,DOE,
Comprehensive,Retrofit,Design,,,,,DOE,168.89
Energy Audit,None,Completed,13-Oct-10,03-Jun-11,K302 - IS 302K Rafael Cordero Middle School,350 Linwook St,DOE,147.7
Other,Retro-commissioning,Proposed,,,,,,
Other,Retro-commissioning,Survey,,,K302 - IS 302K Rafael Cordero Middle School,350 Linwook St,DOE,
Energy Audit,None,Completed,26-Oct-10,14-Jul-11,M199 - PS 199M Jessie Isador Straus,270 West 70 Street,DOE,62.16
Other,Retro-commissioning,Survey,,,M199 - PS 199M Jessie Isador Straus,270 West 70 Street,DOE,
Comprehensive,Retrofit,Design,,,K126 - John Ericson Junior High School,424 Leonard St,DOE,295.13
Energy Audit,None,Completed,12-Oct-10,31-May-11,K126 John Ericsson JHS,424 Leonard Street,DOE,
Other,Retro-commissioning,Proposed,,,K126 John Ericsson JHS,424 Leonard Street,DOE,
Other,Retro-commissioning,Survey,,,K126 John Ericsson JHS,424 Leonard Street,DOE,
Energy Audit,None,Completed,26-Oct-10,09-Jun-11,Q092 - PS 92Q,99-01 34 Avenue,DOE,36.28
Other,Retro-commissioning,Survey,,,Q092 - PS 92Q,99-01 34 Avenue,DOE,
Comprehensive,Retrofit,Design,,,Comprehensive Energy Audit at P.S. X-054,"2703 Webster Ave Bronx, NY 10458",DOE,165.09
Energy Audit,None,Completed,19-Oct-10,,X054 - IS 54,2703 Webster Ave,DOE,
Other,Retro-commissioning,Survey,,,P.S. / I.S. 54 (X054),2703 Webster Ave,DOE,
Energy Audit,None,Completed,13-Oct-10,27-May-11,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,DOE,7.4
Other,Retro-commissioning,Proposed,,,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,DOE,
Other,Retro-commissioning,Survey,,,K135 - PS 135 Sheldon A. Brookner,686 Linden Blvd,DOE,
Comprehensive,Retrofit,Design,,,Charles A. Dorsey PS 67,51 Saint Edwards St,DOE,146.94
Energy Audit,None,Completed,28-Oct-10,20-May-11,K067 - PS 67K Charles A. Dorsey School,51 Saint Edwards St,DOE,128.03
Other,Retro-commissioning,Survey,,,Charles A. Dorsey PS 67,51 Saint Edwards St,DOE,
Comprehensive,Retrofit,Design,,,,,DOE,180.31
Energy Audit,None,Completed,14-Oct-10,27-May-11,M721 - PS 721 Manhattan Occupational Training Center,250 West Houston St,DOE,114.97
Other,Retro-commissioning,Survey,,,M721- Manhattan Occupational Training Center,250 West Houston Street,DOE,
Comprehensive,Retrofit,Design,10-Aug-11,,R080 - The Michael J. Petrides School,715 Ocean Terrrace Staten Island NY,DOE,335.91
Energy Audit,None,Completed,14-Oct-10,27-May-11,R080 - The Michael J. Petrides School,715 Ocean Terrrace Staten Island NY,DOE,0
Other,Retro-commissioning,Survey,,,R080 - The Michael J. Petrides School,715 Ocean Terrrace,DOE,
Comprehensive,Retrofit,Design,,,PS 13K - Roberto Clemente School,"557 Pennsylvania Ave  Brooklyn, NY",DOE,437.31
Energy Audit,None,Completed,28-Oct-10,02-Jun-11,K013 PS 13K Roberto Clemente School,557 Pennsylvania Ave,DOE,437.31
Other,Retro-commissioning,Survey,,,Ko13-P.S. 13K Roberto Clemente School,557 Pennsylvania Ave,,
Comprehensive,Retrofit,Design,,,PS 217 Roosevelt School,"645 Main Street, Manhattan",DOE,379.34
Energy Audit,None,Completed,14-Oct-10,16-Mar-12,M217 - PS 217M,645 Main Street,DOE,627.8
Other,Retro-commissioning,Survey,,,M217 - PS 217M Roosevelt School,645 Main Street,DOE,
Comprehensive,Retrofit,Design,,,PS 75M Emily Dickinson School,735 West End Avenue,DOE,
Energy Audit,None,Completed,09-Feb-11,11-May-12,PS 75M Emily Dickinson School,735 West End Ave,DOE,51.89
Other,Retro-commissioning,Survey,,,PS 75M Emily Dickinson School,735 West End Avenue,DOE,
Comprehensive,Retrofit,Design,,,P.S.68X The Bronx School,4011 Monticello Avenue,DOE,361.17
Energy Audit,None,Completed,03-Feb-11,10-Nov-11,PS 68X The Bronx School,4011 Monticello Avenue,DOE,101.91
Other,Retro-commissioning,Proposed,,,P.S.68X The Bronx School,4011 Monticello Avenue,DOE,
Other,Retro-commissioning,Survey,,,P.S.68X The Bronx School,4011 Monticello Avenue,DOE,
Comprehensive,Retrofit,Design,,,P.S.78X Anne Hutchinson,1400 Needham Avenue,DOE,65.27
Energy Audit,None,Completed,02-Mar-11,28-Feb-12,PS 78X Anne Hutchinso,1400 Needham Ave,DOE,65.27
Other,Retro-commissioning,Survey,,,P.S.78X Anne Hutchinson,1400 Needham Avenue,DOE,
Comprehensive,Retrofit,Design,,,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,125.56
Energy Audit,None,Completed,03-Mar-11,13-Apr-12,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,269.1
Other,Retro-commissioning,Proposed,,,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,
Other,Retro-commissioning,Survey,,,P.S.111X Seton Falls School,3740 Baychester Avenue,DOE,
Comprehensive,Retrofit,Design,,, P.S.112X The Bronxwood School,1925 Schieffelin Avenue,DOE,31.68
Energy Audit,None,Completed,21-Apr-11,03-May-12, P.S.112X The Bronxwood School,1925 Schieffelin Avenue,DOE,31.68
Other,Retro-commissioning,Survey,,,P.S.112X The Bronxwood School,1925 Schieffelin Avenue,DOE,
Comprehensive,Retrofit,Design,,,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,102.28
Energy Audit,None,Completed,24-Feb-11,17-Apr-12,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DCAS,102.28
Other,Retro-commissioning,Proposed,,,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,
Other,Retro-commissioning,Survey,,,J.H.S.125X Henry Hudson Middle School,1111 Pugsley Avenue,DOE,
Comprehensive,Retrofit,Design,,,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,38.28
Energy Audit,None,Completed,24-Feb-11,17-Apr-12,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,38.28
Other,Retro-commissioning,Survey,,,J.H.S.127X The Castle Hill,1560 Purdy Avenue,DOE,
Comprehensive,Retrofit,Design,,,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,95.1
Energy Audit,None,Completed,16-Feb-11,12-Apr-12,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,95.1
Other,Retro-commissioning,Survey,,,I.S.131X Albert Einstein,885 Bolton Avenue,DOE,
Comprehensive,Retrofit,Design,,,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,268.4
Energy Audit,None,Completed,03-Mar-11,03-Apr-12,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,254.33
Other,Retro-commissioning,Survey,,,J.H.S.142X John Philip Sousa Middle School,3750 Baychester Avenue,DOE,
Comprehensive,Retrofit,Design,,,P.S.131K,4305 Fort Hamilton Parkway,DOE,64.16
Energy Audit,None,Completed,09-Feb-11,23-May-12,P.S.131K,4305 Fort Hamilton Parkway,DOE,64.16
Other,Retro-commissioning,Survey,,,P.S.131K,4305 Fort Hamilton Parkway,DOE,
Comprehensive,Retrofit,Design,,,P.S.307K Daniel Hale Williams School,209 York Street,DOE,80.52
Energy Audit,None,Completed,03-Feb-11,23-Nov-11,P.S.307K Daniel Hale Williams School,209 York Street,DOE,55.7
Other,Retro-commissioning,Survey,,,P.S.307K Daniel Hale Williams SchoolP.S.307K Daniel Hale Williams School,209 York Street,DOE,
Comprehensive,Retrofit,Design,,, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,154.19
Energy Audit,None,Completed,08-Feb-11,12-Aug-11, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,345.38
Other,Retro-commissioning,Survey,,, I.S.318K Eugenio Maria De Hostos School,101 Walton Street,DOE,
Comprehensive,Retrofit,Design,,,P.S.21Q Edward Hart School,147-36 26th Avenue,DOE,29.34
Energy Audit,None,Completed,02-Mar-11,15-May-12,P.S.21Q Edward Hart School,147-36 26th Avenue,DOE,29.34
Other,Retro-commissioning,Survey,,,P.S.21Q Edward Hart School,147-36 26th Avenue,DOE,
Comprehensive,Retrofit,Design,,,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,229.15
Energy Audit,None,Completed,15-Feb-11,04-Apr-12,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,204.58
Other,Retro-commissioning,Survey,,,P.S.219Q Paul Klapper,144-39 Gravett Road,DOE,
Comprehensive,Retrofit,Design,,,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,170.25
Energy Audit,None,Completed,17-Feb-11,21-May-12,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,170.25
Other,Retro-commissioning,Survey,,,I.S.238Q Susan B Anthony School,88-15 182nd Street,DOE,
Comprehensive,Retrofit,Design,,,DOE Offices,65 Court Street,DOE,87.37
Energy Audit,None,Completed,17-Feb-11,22-Nov-11,DOE Offices,65 Court Street,DOE,81.66
Other,Retro-commissioning,Survey,,,DOE Offices,65 Court Street,DOE,
Comprehensive,Retrofit,Design,,,Alexander Humboldt,586 West 117th Street,DOE,161.31
Energy Audit,None,Completed,10-Feb-11,13-Feb-12,Alexander Humboldt,586 West 117th Street,DOE,0
Other,Retro-commissioning,Survey,,,Alexander Humboldt,586 West 117th Street,DOE,
Comprehensive,Retrofit,Design,,,P.S. 115 Daniel Mucatel School,1500 East 92 Street,DOE,73.31
Energy Audit,None,Completed,,,The Daniel Muctatel School,"1500 E 92 Street Brooklyn, NY",DOE,73.31
Other,Retro-commissioning,Survey,,,P.S. 115 Daniel Mucatel School,1500 East 92 Street,DOE,
Comprehensive,Retrofit,Design,,,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,DOE,
Energy Audit,None,Completed,,,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,,101.97
Other,Retro-commissioning,Survey,,,J.H.S. 218 James P. Sinnott,370 Fountain Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,P.S. 181 Brooklyn,1023 New York Avenue,DOE,133.2
Energy Audit,None,Completed,06-Apr-11,07-May-12,P.S. 181 Brooklyn,1023 New York Avenue,DOE,133.2
Other,Retro-commissioning,Survey,,,P.S. 181 Brooklyn,1023 New York Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,J.H.S.43M,509 West 129th Street,DOE,152.74
Energy Audit,None,Completed,13-Apr-11,04-May-12,JHS 43M,509 West 129th St,DOE,51.39
Other,Retro-commissioning,Survey,,,J.H.S.43M,509 West 129th Street,DOE,
Comprehensive,Retrofit,Design,,,A. Philip Randolph Campus High School,443 West 135 Street,DOE,
Energy Audit,None,Completed,10-Feb-11,15-May-12,A. Philip Randolph Campus High School,443 West 135 Street,DOE,0
Other,Retro-commissioning,Survey,,,A. Philip Randolph Campus High School,443 West 135 Street,DOE,
Comprehensive,Retrofit,Design,,,"P.S.10K Magnet School of Math, Science and Design Technology",511 7th Avenue,DOE,
Energy Audit,None,Completed,06-Apr-11,17-May-12,"PS 10K Magnet School of Math, Science and Design Technology",511 Seventh Ave,DOE,53.91
Other,Retro-commissioning,Survey,,,"P.S.10K Magnet School of Math, Science and Design Technology",511 7th Avenue,DOE,
Comprehensive,Retrofit,Design,,,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,75.09
Energy Audit,None,Completed,08-Feb-11,10-Nov-11,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,75.09
Other,Retro-commissioning,Survey,,,I.S.33K Mark Hopkins Junior High School,70 Thompkins Avenue,DOE,
Comprehensive,Retrofit,Design,,,P.S.81K Thaddeus Stevens School,990 Dekalb Avenue,DOE,90.78
Energy Audit,None,Completed,07-Apr-11,09-Feb-12,PS 81K Thaddeus Stevens School,990 Dekalb Avenue,DOE,79.84
Other,Retro-commissioning,Survey,,,P.S.81K Thaddeus Stevens School,990 Dekalb Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,J.H.S.220K John J. Pershing,4812 9th Avenue,DOE,
Energy Audit,None,Completed,07-Apr-11,14-Feb-12,K220 JHS 220K John J. Pershing,4812 9th Ave,DOE,48.9
Other,Retro-commissioning,Survey,,,J.H.S.220K John J. Pershing,4812 9th Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,Academy of Environmental Science Secondary HS / Renaissance School of the Arts,410 East 100th Street,DOE,
Energy Audit,None,Completed,14-Apr-11,08-May-12,M099 Academy of Environmental Science Secondary Shool,410 East 100th Street,DOE,79.16
Other,Retro-commissioning,Survey,,,Academy of Environmental Science Secondary HS / Renaissance School of the Arts,410 East 100th Street,,
Lighting System Upgrade,Retrofit,Design,,,New Explorations into Science Technology and Math (NEST) High School,111 Columbia Street,DOE,87.93
Energy Audit,None,Completed,19-Apr-11,14-May-12,M022 New Explorations into Science Technology and Math High School,111 Columbia St,DOE,112.19
Other,Retro-commissioning,Survey,,,New Explorations into Science Technology and Math (NEST) High School,111 Columbia Street,DOE,
Lighting System Upgrade,Retrofit,Design,,,P.S. 057 Crescent,2111 Crotona Avenue,DOE,0
Energy Audit,None,Completed,21-Apr-11,14-May-12,PS 057 Crescent,2111 Crotona Avenue,DOE,44.22
Other,Retro-commissioning,Survey,,,P.S. 057 Crescent,2111 Crotona Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,P.S. 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,145.35
Energy Audit,None,Completed,20-Apr-11,17-May-12,PS 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,84.79
Other,Retro-commissioning,Survey,,,P.S. 199X The Shakespeare School,1449 Shakespeare Avenue,DOE,
HVAC System Upgrade,Retrofit,Design,,,P.S. 138 Brooklyn,760 Prospect Place,DOE,223.8
Energy Audit,None,Completed,12-Apr-11,15-Jun-12,PS 138K Brooklyn,801 Park Place,DOE,0
Other,Retro-commissioning,Survey,,,P.S. 138 Brooklyn,760 Prospect Place,DOE,
Lighting System Upgrade,Retrofit,Design,,,J.H.S. 383 Philippa Schuyler,1300 Greene Avenue,DOE,156.59
Energy Audit,None,Completed,12-Apr-11,07-May-12,K383 JHS 383 Philippa Schuyler,1300 Greene Av,DOE,156.59
Other,Retro-commissioning,Survey,,,J.H.S. 383 Philippa Schuyler,1300 Greene Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,The Eileen E. Zaglin,1075 Ocean View Avenue,DOE,8.93
Energy Audit,None,Completed,13-Apr-11,14-Feb-12,K225 The Eileen E. Zaglin,1075 Oceanview,DOE,8.93
Other,Retro-commissioning,Survey,,,The Eileen E. Zaglin,1075 Ocean View Avenue,DOE,
Lighting System Upgrade,Retrofit,Design,,,P.S. 044 Thomas C. Brown,80 Maple Parkway,DOE,
Energy Audit,None,Completed,27-Apr-11,08-May-12,PS 044R Thomas C. Brown,80 Maple Parkway,DOE,68.44
Other,Retro-commissioning,Survey,,,P.S. 044 Thomas C. Brown,80 Maple Parkway,DOE,
Lighting System Upgrade,Retrofit,Design,,,Marta Valle Secondary School,145 Stanton Street,DOE,96.31
Energy Audit,None,Completed,19-Apr-11,03-May-12,M025 Marta Valle Secondary School,145 Stanton St,DOE,97.5
Other,Retro-commissioning,Survey,,,Marta Valle Secondary School,145 Stanton Street,DOE,
Lighting System Upgrade,Retrofit,Design,,,P.S. 084 Lillian Weber,32 West 92 Street,DOE,146.57
Energy Audit,None,Completed,14-Apr-11,08-May-12,PS 084M Lillian Weber,32 West 92nd St,DOE,66.56
Other,Retro-commissioning,Survey,,,P.S. 084 Lillian Weber,32 West 92 Street,DOE,
Comprehensive,Retrofit,Design,,,P.S.39X,965 Longwood Avenue,DOE,98.81
Energy Audit,None,Completed,16-Feb-11,17-Apr-12,P.S.39X,965 Longwood Avenue,DOE,76.78
Other,Retro-commissioning,Survey,,,P.S.39X,965 Longwood Avenue,,
Comprehensive,Retrofit,Design,,,Queens Vocational and Technical High School,37-02 47th Avenue,DOE,495.79
Energy Audit,None,Completed,15-Feb-11,19-Apr-12,Queens Vocational and Technical High School,37-02 47th Avenue,DOE,141
Other,Retro-commissioning,Survey,,,Queens Vocational and Technical High School,37-02 47th Avenue,,
Energy Audit,None,Completed,20-Apr-11,04-Apr-12,Fashion Industries High School,225 West 24th St,DOE,29.57
Other,Retro-commissioning,Survey,,,M600 - Fashion Industries HS,225 West 24th St,DOE,
Other,Retrofit,Design,01-Apr-11,30-Jun-11,M028 - P.S. 028 Wright Brothers,475 West 155th Street,DOE,
Energy Audit,None,In Progress,14-Aug-12,,K191 Paul Robeson,1600 Park Place,DOE,0
Other,Retro-commissioning,Survey,,,K191 Paul Robeson,1600 Park Place,,
Energy Audit,None,In Progress,14-Aug-12,,K 251 Paerdegat,1037 East 54th Street,DOE,
Other,Retro-commissioning,Survey,,,K 251 Paerdegat,1037 East 54th Street,DOE,
Energy Audit,None,In Progress,18-Jul-12,,K276 Louis Marshall,1070 East 83rd Street,DOE,0
Other,Retro-commissioning,Survey,,,K276 Louis Marshall,1070 East 83rd Street,DOE,
Energy Audit,Retrofit,In Progress,18-Jul-12,,K279 - Herman Schreiber,1076 East 104th Street,DOE,0
Other,Retro-commissioning,Survey,,,K279 - Herman Schreiber,1076 East 104th Street,DOE,
Energy Audit,None,In Progress,21-Aug-12,,K287- Bailey K. Ashford,50 Navy Street,DOE,0
Other,Retro-commissioning,Survey,10-Aug-12,10-Sep-12,K287- Bailey K. Ashford,50 Navy Street,DOE,0
Energy Audit,None,In Progress,21-Aug-12,,K321- William Penn,180 Seventh Avenue,DOE,0
Other,Retro-commissioning,Survey,,,Wm Penn ES,180 Seventh Avenue Brooklyn NY,DOE,
Energy Audit,None,Survey,08-Aug-12,,K329- Surfside,2929 West 30th Street,DOE,0
Other,Retro-commissioning,Survey,,,K329- Surfside,2929 West 30th Street,DOE,0
Energy Audit,None,In Progress,08-Aug-12,,K650 - Harry Vanarsdale Vocational HS,257 North 6th Street,DOE,
Other,Retro-commissioning,Survey,,,K650 - Harry Vanarsdale Vocational HS,257 North 6th Street,DOE,
Energy Audit,None,In Progress,,,M019- PS 019- Asher Levy,179 1st Avenue,DOE,
Other,Retro-commissioning,Survey,,,M019- PS 019- Asher Levy,179 1st Avenue,,
Energy Audit,None,In Progress,,,M028- PS 28- Wright Brothers,475 West 155th Street,DOE,
Energy Audit,None,In Progress,,,M054- JHS 054- Booker T. Washington,103 W 107th Street,DOE,
Energy Audit,None,In Progress,,,Q011- PS 011- Kathryn Phelan,54-25 Skillman Avenue,DOE,
Energy Audit,None,In Progress,,,Q191 Mayflower,85-15 258th Street,DOE,
Energy Audit,None,In Progress,,,Q205 - PS 205 Alexander Graham Bell,75-25 Bell Blvd,DOE,
Energy Audit,None,In Progress,,,Q225 - PS 225 - Seaside School,190 Beach 110th Street,DOE,
Energy Audit,None,In Progress,,,R031 - PS 031 William T. Davis,55 Layton Avenue,DOE,0
Energy Audit,None,In Progress,,,R052 - PS 052 - John C. Thompson,55 Layton Avenue,DOE,0
Energy Audit,None,Completed,15-Aug-12,,X101- MS X101- Edward R. Byrne,2750 Lafayette Avenue,DOE,0
Energy Audit,None,In Progress,02-Aug-12,,X121- PS 121- Throop,2750 Throop Avenue Bronx NY,DOE,0
Energy Audit,None,In Progress,02-Aug-12,,X135- IS 135,2441 Wallace Avenue Bronx NY,DOE,0
Energy Audit,Retrofit,In Progress,09-Aug-12,,M661,240 2nd Avenue,DOE,0
Other,Retro-commissioning,Survey,09-Aug-11,,Public Health Lab,447 First Avenue,DOHMH,
Lighting System Upgrade,Retrofit,Substantially Completed,26-Mar-12,21-Jun-12,East Harlem Health Care Center,158 East 115th Street,DOHMH,51.79
Other,Retro-commissioning,Proposed,,,East Harlem Health Care Center,158 East 115th Street,DOHMH,
Other,Retro-commissioning,Survey,09-Aug-11,,East Harlem Health Care Center,158 East 115th Street,DOHMH,
HVAC System Upgrade,Retrofit,Completed,,,Tremont Health Center - 1826 Arthur Avenue,1826 Arthur Avenue,DOHMH,45.96
HVAC System Upgrade,Retrofit,Cancelled,,,Central Harlem Health Center - 2238 5th Avenue,2238 Fifth Avenue,DOHMH,28.02
Lighting System Upgrade,Retrofit,Completed,05-Sep-08,02-Jun-09,Brooklyn District 17/18 Garage,"105-02 AVENUE   BROOKLYN DIST 17/18 GAR, 105-09 Avenue D",DSNY,234.06
Lighting System Upgrade,Retrofit,Completed,17-Sep-08,02-Jun-09,Bronx East 6 Garage,"807 EAST 175TH STREET, 800 East 176th Street",DSNY,119.18
Lighting System Upgrade,Retrofit,Completed,15-Jun-09,12-May-10,"Q 11/13A, Q 7,Q 13",75-05 WINCHESTER BLVD  DIST 11/13 GARAGE,DSNY,501.4
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,Bronx 12 District Garage,1635 East 233rd St. Bronx NY,DSNY,151.64
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,3A,680  East 132nd Street,DSNY,22.22
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,Bx 5 District Garage,1331 Cromwell Ave,DSNY,23.85
Lighting System Upgrade,Retrofit,Completed,25-Jun-09,07-Jan-10,26th Street Repair Garage,640 West 26th Street,DSNY,366.78
Other,Retro-commissioning,Survey,,,26th Street Repair Garage,640 West 26th Street,DSNY,
Lighting System Upgrade,Retrofit,Substantially Completed,26-Jun-09,12-May-10,"Bklyn 8, Bklyn 7/10 District Garages",5100 1st Ave,DSNY,108.41
Lighting System Upgrade,Retrofit,Completed,26-Jun-09,12-May-10,"Bklyn 8, Bklyn 7/10 District Garages","1760 Atlantic Ave, 1755 Pacific Street",DSNY,44.39
Lighting System Upgrade,Retrofit,Completed,31-May-11,28-Sep-11,Staten Island 1, 539 Jersey St.,DSNY,104.8
Lighting System Upgrade,Retrofit,Completed,31-May-11,28-Sep-11, Staten Island 2 District Garages,2500 RICHMOND AVENUE     STATEN ISLAND,DSNY,123.92
Lighting System Upgrade,Retrofit,Install,,,Bx-11 - 800 Zerega Avenue,800-850 Zerega Avenue,DSNY,19.3
HVAC System Upgrade,Retrofit,Install,02-Jul-12,,Queens North Borough Repair Shop - 52-07 58th Street,52-07 58th Street,DSNY,30.86
Lighting System Upgrade,Retrofit,Install,16-May-12,,Q5 - 48-01 58th Road,58-02 48th Street,DSNY,73
Lighting System Upgrade,Retrofit,Install,,,48-01 58th Road Queens NY  11378,58-01 48th Street Queens NY 11378,DSNY,15.64
HVAC System Upgrade,Retrofit,Substantially Completed,14-May-12,,Betts Avenue Boiler Room - 57-73 53rd Avenue,58-73 53rd Avenue,DSNY,150.44
HVAC System Upgrade,Retrofit,Completed,15-Nov-10,26-Apr-11,Cioffe Borough Shop - 106-01 Avenue D,106-01 Avenue D,DSNY,148.09
HVAC System Upgrade,Retrofit,Completed,11-May-10,10-Jun-10,Manhattan Borough Repair Shop,640 West 26th St,DSNY,147.02
HVAC System Upgrade,Retrofit,Substantially Completed,12-Mar-12,30-Jun-12,Manhattan Borough Repair Shop,640 West 26th St.,DSNY,714.85
Lighting System Upgrade,Retrofit,Completed,03-Dec-10,11-Feb-11,44 Beaver Street,44 Beaver Street,DSNY,103.74
Other,Photovoltaic,Substantially Completed,31-Oct-11,22-Feb-12,Brooklyn South 14 - Photovoltaic,1397 Ralph Avenue,DSNY,22.52
Other,Photovoltaic,Substantially Completed,30-Nov-11,22-Feb-12,Queens 3 East - Photovoltaic,153-67 146th Avenue,DSNY,22.21
Lighting System Upgrade,Retrofit,Install,01-Apr-11,31-Dec-11,Betts Avenue Boiler Room,58-73 53rd Avenue,DSNY,90.62
Lighting System Upgrade,Retrofit,Completed,24-Jul-09,13-May-10,Bx 7/8,423 West 215th St.,DSNY,82.55
