DEVELOPMENT NAME,BUILDING NUMBER,STAIR HALL NUMBER,ADDRESS,BOROUGH_CODE,CITY,ZIP CODE,NEW TENANT DATA SYSTEM,FACILITY,COMMENTS,MONTH,YEAR
LAFAYETTE,6,6,415 LAFAYETTE AVENUE,3,BROOKLYN,11238,122,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
AMSTERDAM,3,6,94 AMSTERDAM AVENUE,1,NEW YORK,10023,22,SOCIAL SERVICES OFFICE,CO,December,2012
ALBANY,6,6,164 TROY AVENUE,3,BROOKLYN,11213,31,COMMUNITY CENTER,CO,December,2012
PUBLIC SCHOOL 139 (CONVERSION),1,6,120 WEST 140TH STREET,1,NEW YORK,10030,340,SENIOR CENTER,CO,December,2012
CAREY GARDENS,4,6,2964 WEST 23RD STREET,3,BROOKLYN,11224,166,DAY CARE CENTER,CO,December,2012
CONEY ISLAND I (SITES 4 & 5),1,6,2947 WEST 28TH STREET,3,BROOKLYN,11224,216,COMMUNITY CENTER,CO,December,2012
CONLON LIHFE TOWER,1,6,92-33 170TH STREET,4,JAMAICA,11433,232,SENIOR CENTER,CO,December,2012
MANHATTANVILLE,6,6,530 WEST 133RD STREET,1,NEW YORK,10027,81,COMMUNITY CENTER/ TEEN PROGRAM,CO,December,2012
UNITY PLAZA (SITES 4-27),3,7,576 BLAKE AVENUE,3,BROOKLYN,11207,261,COMMUNITY CENTER,CO,December,2012
DOUGLASS I,7,7,865 COLUMBUS AVENUE,1,NEW YORK,10025,82,MENTAL HEALTH CLINIC,CO,December,2012
MELROSE,7,7,277 EAST 153RD STREET,2,BRONX,10451,28,IHAD LITERACY,CO,December,2012
SMITH,7,7,5 SAINT JAMES PLACE,1,NEW YORK,10038,27,COMMERCIAL SPACE (STORE #7),FP,December,2012
ROBINSON,1,7,110 EAST 129TH STREET,1,NEW YORK,10035,241,COMMUNITY CENTER/ HEAD START CENTER,CO,December,2012
FULTON,7,7,119 9TH AVENUE,1,NEW YORK,10011,136,SENIOR CENTER,CO,December,2012
GRANT,7,7,1299 AMSTERDAM AVENUE,1,NEW YORK,10027,87,DAY CARE CENTER,CO,December,2012
GRANT,7,7,1301 AMSTERDAM AVENUE,1,NEW YORK,10027,87,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
MARBLE HILL,7,7,5480 BROADWAY,2,BRONX,10463,49,HEAD START CENTER,CO,December,2012
BERRY,4,7,44 DONGAN HILLS AVENUE,5,STATEN ISLAND,10306,52,HEAD START CENTER,CO,December,2012
CARVER,7,7,55 EAST 102ND STREET,1,NEW YORK,10029,58,SENIOR CENTER,CO,December,2012
ISAACS,4,7,415 EAST 93RD STREET,1,NEW YORK,10128,139,SENIOR CENTER/ NORC,CO,December,2012
MARCY,3,7,494 MARCY AVENUE,3,BROOKLYN,11206,21,DAY CARE CENTER,CO,December,2012
SHELTON HOUSE,1,7,89-09 162ND STREET,4,JAMAICA,11432,279,SENIOR CENTER,CO,December,2012
HIGHBRIDGE REHABS (ANDERSON AVENUE),4,7,125 WEST 166TH STREET,2,BRONX,10452,370,FAMILY ASSISTANCE PROGRAM,CO,December,2012
WAGNER,7,7,451 EAST 120TH STREET,1,NEW YORK,10035,74,DAY CARE CENTER,CO,December,2012
KING TOWERS,7,7,50 LENOX AVENUE,1,NEW YORK,10026,30,SENIOR CENTER,CO,December,2012
DYCKMAN,7,7,3782 10TH AVENUE,1,NEW YORK,10034,41,COMMUNITY CENTER,CO,December,2012
MCKINLEY,7,7,909 TINTON AVENUE,2,BRONX,10456,103,DAY CARE CENTER,CO,December,2012
MARBLE HILL,7,7,5470 BROADWAY,2,BRONX,10463,49,DAY CARE CENTER,CO,December,2012
CLINTON,7,7,120 EAST 110TH STREET,1,NEW YORK,10029,123,COMMUNITY CENTER/ HEAD START CENTER,CO,December,2012
SMITH,8,8,23 SAINT JAMES PLACE,1,NEW YORK,10038,27,"COMMERCIAL SPACE (STORES #1, 1A)",FP,December,2012
INTERNATIONAL TOWER,1,8,90-20 170TH STREET,4,JAMAICA,11432,316,SENIOR CENTER/NYCHA SOCIAL SERVICES,CO,December,2012
EASTCHESTER GARDENS,4,8,1246 BURKE AVENUE,2,BRONX,10469,34,SENIOR CENTER,CO,December,2012
SMITH,8,8,25 SAINT JAMES PLACE,1,NEW YORK,10038,27,COMMERCIAL SPACE (STORE #2),FP,December,2012
SOUNDVIEW,4,8,1674 SEWARD AVENUE,2,BRONX,10473,71,SENIOR CENTER,CO,December,2012
SMITH,8,8,25A SAINT JAMES PLACE,1,NEW YORK,10038,27,COMMERCIAL SPACE (STORE #2A),FP,December,2012
WALD,8,8,934 EAST 4TH WALK,1,NEW YORK,10009,23,THEATRE ART,CO,December,2012
GLENWOOD,4,8,5701 AVENUE H,3,BROOKLYN,11234,44,SENIOR CENTER,CO,December,2012
TILDEN,8,8,630 MOTHER GASTON BOULEVARD,3,BROOKLYN,11212,96,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
BETANCES I,8,8,401 SAINT ANNS AVENUE,2,BRONX,10454,211,SENIOR CENTER,CO,December,2012
PARKSIDE,8,8,644 ADEE AVENUE,2,BRONX,10467,47,SENIOR CENTER,CO,December,2012
RANGEL,8,8,159-44 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,DAY CARE CENTER,CO,December,2012
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,1,8,228 WEST TREMONT AVENUE,2,BRONX,10453,246,COMMUNITY OPERATIONS SPACE (VACANT)/ COMMUNITY OPERATIONS OFFICE SPACE,CO,December,2012
SHEEPSHEAD BAY,4,8,3643 NOSTRAND AVENUE,3,BROOKLYN,11229,36,SENIOR CENTER,CO,December,2012
RANGEL,8,8,159-36 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,SENIOR CENTER,CO,December,2012
JOHNSON,5,8,1820 LEXINGTON AVENUE,1,NEW YORK,10029,17,COMMUNITY CENTER/ DAY CARE CENTER,CO,December,2012
HAMMEL,8,8,81-14 ROCKAWAY BEACH BOULEVARD,4,FAR ROCKAWAY,11693,75,COMMUNITY CENTER,CO,December,2012
FOREST,8,8,1005 TINTON AVENUE,2,BRONX,10456,59,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
BUSHWICK,8,8,50 HUMBOLDT STREET,3,BROOKLYN,11206,86,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
TODT HILL,4,8,255 WESTWOOD AVENUE,5,STATEN ISLAND,10314,42,COMMUNITY CENTER,CO,December,2012
TWIN PARKS WEST (SITES 1 & 2),1,9,355 EAST 183RD STREET,2,BRONX,10458,227,DAY CARE CENTER,CO,December,2012
HOWARD,5,9,1580 EAST NEW YORK AVENUE,3,BROOKLYN,11212,72,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
DOUGLASS I,9,9,885 COLUMBUS AVENUE,1,NEW YORK,10025,82,COMMUNITY CENTER / HEAD START CENTER,CO,December,2012
JEFFERSON,5,9,2211 1ST AVENUE,1,NEW YORK,10029,64,DAY CARE CENTER,CO,December,2012
RANGEL,8,9,159-30 HARLEM RIVER DRIVE,1,NEW YORK,10039,37,DAY CARE CENTER,CO,December,2012
BRONX RIVER,9,9,1555 EAST 174TH STREET,2,BRONX,10472,32,DAY CARE CENTER,CO,December,2012
LA GUARDIA,9,9,40 MONTGOMERY STREET,1,NEW YORK,10002,76,MENTAL HEALTH CLINIC,CO,December,2012
AMSTERDAM,5,9,216 WEST 63RD STREET,1,NEW YORK,10023,22,SCHOOL,CO,December,2012
MITCHEL,9,9,185 WILLIS AVENUE,2,BRONX,10454,145,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
POLO GROUNDS TOWERS,5,9,2927 F DOUGLASS BOULEVARD,1,NEW YORK,10039,149,COMMERCIAL SPACE (STORE #1)/ COMMUNITY OPERATIONS STORAGE,"CO, FP",December,2012
MOTT HAVEN,9,9,375 EAST 143RD STREET,2,BRONX,10454,121,COMMUNITY CENTER/ HEAD START CENTER,CO,December,2012
MARLBORO,9,9,49 AVENUE W,3,BROOKLYN,11223,83,DAY CARE CENTER,CO,December,2012
BERRY,5,9,211 JEFFERSON STREET,5,STATEN ISLAND,10306,52,COMMUNITY CENTER/ COMPUTER LAB,CO,December,2012
ROOSEVELT II,9,9,400 HART STREET,3,BROOKLYN,11206,177,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
MARINER'S HARBOR,5,9,22 ROXBURY STREET,5,STATEN ISLAND,10303,77,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MITCHEL,10,10,188 LINCOLN AVENUE,2,BRONX,10454,145,SENIOR CENTER,CO,December,2012
KING TOWERS,10,10,1 WEST 112TH STREET,1,NEW YORK,10026,30,DAY CARE CENTER,CO,December,2012
SAMUEL (CITY),10,10,2537 A C POWELL BOULEVARD,1,NEW YORK,10039,377,COMMERCIAL SPACE (STORE #1),FP,December,2012
TWIN PARKS EAST (SITE 9),1,10,2070 CLINTON AVENUE,2,BRONX,10457,287,SENIOR CENTER/ COMMERCIAL SPACE (STORE #1),"CO, FP",December,2012
HOWARD,6,10,90 WATKINS STREET,3,BROOKLYN,11212,72,COMMUNITY CENTER,CO,December,2012
JEFFERSON,6,10,2205 1ST AVENUE,1,NEW YORK,10029,64,SENIOR CENTER/ HEAD START CENTER,CO,December,2012
CHELSEA,2,10,420 WEST 26TH STREET,1,NEW YORK,10001,134,IHAD LITERACY,CO,December,2012
131 SAINT NICHOLAS AVENUE,1,10,131 SAINT NICHOLAS AVENUE,1,NEW YORK,10026,154,COMMUNITY OPERATIONS OFFICE SPACE/DAY CARE CENTER,CO,December,2012
REDFERN,5,10,15-44 HASSOCK STREET,4,FAR ROCKAWAY,11691,55,COMMUNITY CENTER,CO,December,2012
EAST 152ND STREET-COURTLANDT AVENUE,1,10,372 EAST 152ND STREET,2,BRONX,10455,237,SENIOR CENTER,CO,December,2012
CONEY ISLAND I (SITE 8),1,10,2950 WEST 35TH STREET,3,BROOKLYN,11224,238,NORC,CO,December,2012
DAVIDSON,1,10,1221 PROSPECT AVENUE,2,BRONX,10459,190,COMMUNITY CENTER,CO,December,2012
MARBLE HILL,10,10,5365 BROADWAY,2,BRONX,10463,49,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
FOREST,10,10,955 TINTON AVENUE,2,BRONX,10456,59,COMMUNITY CENTER,CO,December,2012
MARINER'S HARBOR,6,10,166 LOCKMAN AVENUE,5,STATEN ISLAND,10303,77,DAY CARE CENTER,CO,December,2012
LA GUARDIA ADDITION,10,10,280 CHERRY STREET,1,NEW YORK,10002,152,SENIOR CENTER,CO,December,2012
BRONX RIVER ADDITION,11,11,1350 MANOR AVENUE,2,BRONX,10472,157,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
GARVEY (GROUP A),1,11,1440 EAST NEW YORK AVENUE,3,BROOKLYN,11212,252,SENIOR CENTER,CO,December,2012
EAST 180TH STREET-MONTEREY AVENUE,2,11,2120 QUARRY ROAD,2,BRONX,10457,208,DAY CARE CENTER,CO,December,2012
LOWER EAST SIDE I INFILL,1,11,175 ELDRIDGE STREET,1,NEW YORK,10002,326,COMMUNITY CENTER,CO,December,2012
TWO BRIDGES URA (SITE 7),1,11,286 SOUTH STREET,1,NEW YORK,10002,266,COMMUNITY CENTER /OFFICE SPACE (IS USED BY CHINATOWN PARTNERSHIP LOCAL DEV CORP),"CO, FP",December,2012
PATTERSON,7,11,414 MORRIS AVENUE,2,BRONX,10451,24,HEAD START CENTER,CO,December,2012
BREVOORT,6,11,280 RALPH AVENUE,3,BROOKLYN,11233,65,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
CHELSEA ADDITION,1,11,441 WEST 26TH STREET,1,NEW YORK,10001,176,COMMUNITY CENTER/ MENTAL HEALTH CLINIC/ NORC,CO,December,2012
BAISLEY PARK,9,11,116-55 GUY BREWER BOULEVARD,4,JAMAICA,11434,91,DAY CARE CENTER,CO,December,2012
SAMUEL (CITY),11,11,2533 A C POWELL BOULEVARD,1,NEW YORK,10039,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
HOWARD,7,11,1592 EAST NEW YORK AVENUE,3,BROOKLYN,11212,72,DAY CARE CENTER,CO,December,2012
FOREST,11,11,749 EAST 163RD STREET,2,BRONX,10456,59,DAY CARE CENTER,CO,December,2012
SMITH,11,11,50 MADISON STREET,1,NEW YORK,10038,27,COMMUNITY CENTER/ SENIOR CENTER/ HEAD START CENTER/ COMMUNITY OPERATIONS OFFICE SPACE/ NORC,CO,December,2012
WASHINGTON HEIGHTS REHAB (GROUPS 1&2),1,11,2346 AMSTERDAM AVENUE,1,NEW YORK,10033,293,DAY CARE CENTER,CO,December,2012
UNIVERSITY AVENUE REHAB,4,11,1925 UNIVERSITY AVENUE,2,BRONX,10453,341,"COMMUNITY OPERATIONS SPACE (VACANT)/ COMMERCIAL SPACE (STORES #1, 2)","CO, FP",December,2012
MANHATTANVILLE REHAB (GROUP 2),3,11,1504 AMSTERDAM AVENUE,1,NEW YORK,10031,296,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
SMITH,12,12,60 MADISON STREET,1,NEW YORK,10038,27,HEALTH CLINIC,CO,December,2012
BAYCHESTER,12,12,1220 EAST 229TH STREET,2,BRONX,10466,126,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
BRACETTI PLAZA,1,12,296 EAST 4TH STREET,1,NEW YORK,10009,264,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
GRAVESEND,12,12,2757 WEST 33RD STREET,3,BROOKLYN,11224,68,DAY CARE CENTER,CO,December,2012
GRAVESEND,12,12,3146 BAYVIEW AVENUE,3,BROOKLYN,11224,68,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
HARLEM RIVER,2,12,2650 A C POWELL BOULEVARD,1,NEW YORK,10039,3,NEW YORK PUBLIC LIBRARY,CO,December,2012
KINGSBOROUGH,6,12,342 KINGSBOROUGH 3RD WALK,3,BROOKLYN,11233,10,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MELROSE,9,12,286 EAST 156TH STREET,2,BRONX,10451,28,COMMUNITY CENTER,CO,December,2012
MOORE,2,12,515 JACKSON AVENUE,2,BRONX,10455,129,SENIOR CENTER,CO,December,2012
PELHAM PARKWAY,7,12,975 WARING AVENUE,2,BRONX,10469,39,SENIOR CENTER,CO,December,2012
POLO GROUNDS TOWERS,8,12,3005 F DOUGLASS BOULEVARD,1,NEW YORK,10039,149,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
RAVENSWOOD,8,12,34-41 21ST STREET,4,ASTORIA,11106,48,COMMERCIAL SPACE (STORE #1) IS USED AS A POLICE SERVICE AREA #9 SATELLITE,FP,December,2012
RAVENSWOOD,8,12,34-47 21ST STREET,4,ASTORIA,11106,48,COMMERCIAL SPACE (STORE #2),FP,December,2012
RAVENSWOOD,8,12,34-49 21ST STREET,4,ASTORIA,11106,48,COMMERCIAL SPACE (STORE #3),FP,December,2012
SAINT NICHOLAS,12,12,220 WEST 131ST STREET,1,NEW YORK,10027,38,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
SAINT NICHOLAS,12,12,236 WEST 131ST STREET,1,NEW YORK,10027,38,DAY CARE CENTER,CO,December,2012
SAMUEL (CITY),12,12,2529 A C POWELL BOULEVARD,1,NEW YORK,10039,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
SMITH,12,12,60 CATHERINE STREET,1,NEW YORK,10038,27,DAY CARE CENTER,CO,December,2012
UNIVERSITY AVENUE REHAB,4,12,1927 UNIVERSITY AVENUE,2,BRONX,10453,341,COMMERCIAL SPACE (STORE #3),FP,December,2012
STAPLETON,7,13,230 BROAD STREET,5,STATEN ISLAND,10304,114,COMMUNITY CENTER,CO,December,2012
1010 EAST 178TH STREET,1,13,1030 EAST 178TH STREET,2,BRONX,10460,180,GED,CO,December,2012
BERRY STREET-SOUTH 9TH STREET,1,13,71 SOUTH 10TH STREET,3,BROOKLYN,11211,357,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
PATTERSON,8,13,308 EAST 145TH STREET,2,BRONX,10451,24,SENIOR CENTER,CO,December,2012
BREVOORT,7,13,250 RALPH AVENUE,3,BROOKLYN,11233,65,DAY CARE CENTER,CO,December,2012
BREVOORT,7,13,258 RALPH AVENUE,3,BROOKLYN,11233,65,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
SAMUEL (CITY),13,13,2525 A C POWELL BOULEVARD,1,NEW YORK,10039,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
LINCOLN,10,13,2110 MADISON AVENUE,1,NEW YORK,10037,20,COMMUNITY CENTER,CO,December,2012
CARVER,13,13,1565 MADISON AVENUE,1,NEW YORK,10029,58,DAY CARE CENTER,CO,December,2012
CASSIDY-LAFAYETTE,3,13,115 CASSIDY PLACE,5,STATEN ISLAND,10301,206,NYCHA SOCIAL SERVICES PROGRAM,CO,December,2012
SAINT NICHOLAS,13,13,210 WEST 131ST STREET,1,NEW YORK,10027,38,SENIOR CENTER,CO,December,2012
WEST BRIGHTON II,13,13,1085 CASTLETON AVENUE,5,STATEN ISLAND,10310,175,COMMUNITY OPERATIONS STORAGE,CO,December,2012
CASSIDY-LAFAYETTE,4,14,90 LAFAYETTE AVENUE,5,STATEN ISLAND,10301,206,NYCHA SOCIAL SERVICES OFFICE,CO,December,2012
EASTCHESTER GARDENS,10,14,3016 YATES AVENUE,2,BRONX,10469,34,COMMUNITY CENTER,CO,December,2012
MARINER'S HARBOR,10,14,157 BRABANT STREET,5,STATEN ISLAND,10303,77,COMMUNITY CENTER,CO,December,2012
WASHINGTON,14,14,218 EAST 104TH STREET,1,NEW YORK,10029,62,HEAD START CENTER,CO,December,2012
SAMUEL (CITY),14,14,2477 A C POWELL BOULEVARD,1,NEW YORK,10030,377,COMMERCIAL SPACE (STORE #1),FP,December,2012
TODT HILL,7,14,184 SCHMIDTS LANE,5,STATEN ISLAND,10314,42,SENIOR CENTER,CO,December,2012
JOHNSON,10,14,1833 LEXINGTON AVENUE,1,NEW YORK,10029,17,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
SOUTH BEACH,7,14,155 NORWAY AVENUE,5,STATEN ISLAND,10305,35,COMMUNITY CENTER/ COMPUTER LAB,CO,December,2012
WEBSTER,4,14,421 EAST 168TH STREET,2,BRONX,10456,141,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
HARLEM RIVER,3,15,2632 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #8),FP,December,2012
CARLETON MANOR,1,15,72-05 BEACH CHANNEL DRIVE,4,ARVERNE,11692,164,HEAD  START CENTER,CO,December,2012
HARLEM RIVER,3,15,2630 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #9),FP,December,2012
HARLEM RIVER,3,15,2628 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #10),FP,December,2012
WEBSTER,5,15,401 EAST 168TH STREET,2,BRONX,10456,141,CHILD HEALTH CLINIC,CO,December,2012
WEBSTER,5,15,1240 WEBSTER AVENUE,2,BRONX,10456,141,DAY CARE CENTER,CO,December,2012
CARLETON MANOR,1,15,71-15 BEACH CHANNEL DRIVE,4,ARVERNE,11692,164,HEAD START CENTER,CO,December,2012
RIIS,11,15,464 EAST 10TH STREET,1,NEW YORK,10009,18,DAY CARE CENTER,CO,December,2012
BOYNTON AVENUE REHAB,3,15,1057 BOYNTON AVENUE,2,BRONX,10472,346,HEAD START CENTER,CO,December,2012
LINCOLN,11,15,2112 MADISON AVENUE,1,NEW YORK,10037,20,DAY CARE CENTER,CO,December,2012
RAVENSWOOD,10,15,21-20 35TH AVENUE,4,ASTORIA,11106,48,DAY CARE CENTER,CO,December,2012
SAMUEL (CITY),15,15,2473 A C POWELL BOULEVARD,1,NEW YORK,10030,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
LEXINGTON,1,15,115 EAST 98TH STREET,1,NEW YORK,10029,50,DAY CARE CENTER,CO,December,2012
CASSIDY-LAFAYETTE,5,15,125 CASSIDY PLACE,5,STATEN ISLAND,10301,206,SENIOR CENTER,CO,December,2012
SOUTH JAMAICA I,5,15,107-60 159TH STREET,4,JAMAICA,11433,8,FEEDING PROGRAM,CO,December,2012
HARLEM RIVER,3,16,2622 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #13),FP,December,2012
HOWARD,10,16,1620 EAST NEW YORK AVENUE,3,BROOKLYN,11212,72,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MILBANK-FRAWLEY,1,16,1782 MADISON AVENUE,1,NEW YORK,10035,318,COMMERCIAL SPACE (STORE #2),FP,December,2012
BORINQUEN PLAZA I,16,16,125 HUMBOLDT STREET,3,BROOKLYN,11206,243,COMMUNITY CENTER,CO,December,2012
PELHAM PARKWAY,9,16,2425 WILLIAMSBRIDGE ROAD,2,BRONX,10469,39,NORC,CO,December,2012
BRONX RIVER,10,16,1619 EAST 174TH STREET,2,BRONX,10472,32,SENIOR CENTER/ COMMUNITY CENTER,CO,December,2012
UNION AVENUE-EAST 163RD STREET,1,16,950 UNION AVENUE,2,BRONX,10459,342,SENIOR CENTER,CO,December,2012
CLAREMONT REHAB (GROUP 5),1,16,308 EAST 167TH STREET,2,BRONX,10456,336,COMMERCIAL SPACE (NOT FPA),,December,2012
STUYVESANT GARDENS I,4,16,706 QUINCY STREET,3,BROOKLYN,11221,221,DAY CARE CENTER,CO,December,2012
MIDDLETOWN PLAZA,1,16,3035 MIDDLETOWN ROAD,2,BRONX,10461,191,SENIOR CENTER,CO,December,2012
NEW LANE AREA,1,16,70 NEW LANE,5,STATEN ISLAND,10305,314,SENIOR CENTER,CO,December,2012
MILBANK-FRAWLEY,1,16,1780 MADISON AVENUE,1,NEW YORK,10035,318,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
HARLEM RIVER,3,16,2620 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #14),FP,December,2012
SAMUEL (CITY),16,16,2469 A C POWELL BOULEVARD,1,NEW YORK,10030,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
HARLEM RIVER,3,16,2624 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #11),FP,December,2012
HARLEM RIVER,3,16,2626 A C POWELL BOULEVARD,1,NEW YORK,10039,3,COMMERCIAL SPACE (STORE #12),FP,December,2012
HARLEM RIVER,3,17,207 WEST 151ST STREET,1,NEW YORK,10039,3,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
BROWN,2,17,1630 SAINT MARKS AVENUE,3,BROOKLYN,11233,325,SENIOR CENTER,CO,December,2012
BARUCH,9,17,120 BARUCH DRIVE,1,NEW YORK,10002,60,DAY CARE CENTER,CO,December,2012
SAMUEL (CITY),17,17,2465 A C POWELL BOULEVARD,1,NEW YORK,10030,377,"COMMERCIAL SPACE (STORES #1, 2)",FP,December,2012
QUEENSBRIDGE SOUTH,18,17,10-12 41ST AVENUE,4,LONG ISLAND CITY,11101,5,"COMMERCIAL SPACE (STORES #23, 24)",FP,December,2012
LOWER EAST SIDE I INFILL,3,18,213 ELDRIDGE STREET,1,NEW YORK,10002,326,COMMUNITY CENTER,CO,December,2012
LEXINGTON,4,18,183 EAST 98TH STREET,1,NEW YORK,10029,50,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
GARVEY (GROUP A),4,18,20 AMBOY STREET,3,BROOKLYN,11212,252,COMMUNITY CENTER,CO,December,2012
SOTOMAYOR HOUSES,18,18,1065 BEACH AVENUE,2,BRONX,10472,67,DAY CARE CENTER,CO,December,2012
VLADECK,7,18,334 MADISON STREET,1,NEW YORK,10002,6,SENIOR CENTER,CO,December,2012
DOUGLASS ADDITION,18,18,868 AMSTERDAM AVENUE,1,NEW YORK,10025,148,SENIOR CENTER,CO,December,2012
CLAREMONT REHAB (GROUP 2),2,18,1195 CLAY AVENUE,2,BRONX,10456,307,COMMERCIAL SPACE (NOT FPA),,December,2012
ASTORIA,18,18,2-08 ASTORIA BOULEVARD,4,ASTORIA,11102,26,DAY CARE CENTER,CO,December,2012
QUEENSBRIDGE SOUTH,18,18,10-16 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORE #21),FP,December,2012
QUEENSBRIDGE SOUTH,18,18,10-18 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORE #22),FP,December,2012
SAMUEL (CITY),18,18,2461 A C POWELL BOULEVARD,1,NEW YORK,10030,377,COMMERCIAL SPACE (STORE #1),FP,December,2012
TAFT,10,18,1712 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #1),FP,December,2012
MARLBORO,19,19,2298 WEST 8TH STREET,3,BROOKLYN,11223,83,COMMUNITY CENTER/ SENIOR CENTER,CO,December,2012
QUEENSBRIDGE SOUTH,14,19,10-30 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
QUEENSBRIDGE SOUTH,14,19,10-32 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORE #20) IS USED AS NYPD HOUSING BUREAU OFFICE,FP,December,2012
QUEENSBRIDGE SOUTH,14,19,10-34 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORES #17-19),FP,December,2012
QUEENSBRIDGE SOUTH,14,19,10-38 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORES #17-19),FP,December,2012
GOWANUS,11,19,420 BALTIC STREET,3,BROOKLYN,11217,25,SENIOR CENTER,CO,December,2012
TAFT,10,19,1714 MADISON AVENUE,1,NEW YORK,10029,97,COMMERCIAL SPACE (STORE #2),FP,December,2012
BOULEVARD,13,19,726 STANLEY AVENUE,3,BROOKLYN,11207,46,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
WALD,18,19,888 EAST 6TH STREET,1,NEW YORK,10009,23,COMMUNITY CENTER,CO,December,2012
WEEKSVILLE GARDENS,2,19,1640 PACIFIC STREET,3,BROOKLYN,11213,229,COMMUNITY OPERATIONS SPACE (VACANT),CO,December,2012
MONROE,13,19,1776 STORY AVENUE,2,BRONX,10473,88,SENIOR CENTER,CO,December,2012
QUEENSBRIDGE SOUTH,14,20,10-42 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORE #16),FP,December,2012
OCEAN BAY APARTMENTS (BAYSIDE),20,20,57-10 BEACH CHANNEL DRIVE,4,FAR ROCKAWAY,11692,98,COMMUNITY CENTER,CO,December,2012
QUEENSBRIDGE SOUTH,14,20,10-44 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORE #14) IS USED AS A PAL ADOLESCENT SERVICES,FP,December,2012
MONROE,13,20,1780 STORY AVENUE,2,BRONX,10473,88,HEAD START CENTER/ COMMUNITY CENTER,CO,December,2012
CYPRESS HILLS,10,20,475 FOUNTAIN AVENUE,3,BROOKLYN,11208,70,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
PENNSYLVANIA AVENUE-WORTMAN AVENUE,1,20,895 PENNSYLVANIA AVENUE,3,BROOKLYN,11207,194,COMMUNITY CENTER / SENIOR CENTER,CO,December,2012
QUEENSBRIDGE SOUTH,14,20,10-40 41ST AVENUE,4,LONG ISLAND CITY,11101,5,COMMERCIAL SPACE (STORE #15),FP,December,2012
