Business Organization,Business Type Other,Company Name,Company Description,Organization Location,Street Address,Apt Number,Borough,Zipcode,Business Phone,Contact Name,Contact Title,Contact Phone,Contact Fax,Location 1
Dance Company,,"Jose Limon Dance Foundation, Inc.","The Jose Limon Dance Foundation advances a vision of dance that speaks of the human experience through performance, preservation and education activities.  The Limon Dance Company, a modern repertory company, performs both the works of its founder and commissions from contemporary choreographers.  The Limon Institute directs a range of activities designed to extend the Limon heritage, including licensing Limon's choreographic works and directing the Foundation's education programs. Together, the company and the institute ensure the continuation of the traditions and philosophies to which the Foundation is dedicated.","Jose Limon Dance Foundation, Inc.",307 West 38th Street,#1105,Manhattan,10018,,Carla Maxwell,Artistic Director,(212) 777-3353,,"307 38th Street
Manhattan, NY 10018
(40.75491161329482, -73.99204454762484)"
Cultural Center,,KR3TS (Keep Rising To The Top),"We have over 80 dancers from 3-35 from armatures to professionals, helping them build their self esteem & motivation to help them reach their goals in life. We do hip hop, Latin, old/new school etc.",KR3TS,119 E. 102nd St. ,#5B ,Manhattan,10029,,Violeta Galagarza,Artistic Director,(212) 410-9426,,"119 102nd St
Manhattan, NY 10029
(40.79012406551611, -73.94911330811703)"
ResearchAcademic Center,,La Casa de la Herencia Puertorriquena,"Research center for information about Puerto Rico and other Hispanic countries, material available in English and Spanish. Special Classes available, call for more information.",Casa de la Herencia Puertorriquena,1230 5th Avenue,#458,Manhattan,10029,,Eli Alvarado,Interim Director,(212) 722-2600,,"1230 5th Avenue
Manhattan, NY 10029
(40.79327675974827, -73.95185048405926)"
Cultural Center,,Latin American Parents Association,"Latin America Parents Association (LAPA) is a not-for-profit organization registered in the State of New York. LAPA is not an adoption agency. It is an all-volunteer organization of families who have adopted or who are in the process of adopting children from Latin America. Our mission is to provide accurate and timely information as well as support before, during, and after the adoption process. ",LAPA - New York,PO Box 339-340,,Brooklyn,11234,(718) 236-8689,,,(718) 236-8689,,"340 Brooklyn
NY 11234
(40.61636866748006, -73.92773224974349)"
Theater,,Latin American Theatre Ensemble,"Founded in 1970 by Mario Pena and Margarita Toirac, the LATIN AMERICAN THEATRE ENSEMBLE/EL PORTON (LATE) is a not-for-profit theater that has been responsible for the development of dramatic and literary talent from within the Hispanic-American community of New York City, and has promoted Latin American and Spanish theater through its seasonal productions and uninterrupted workshop series.",Latin American Theatre Ensemble,"P.O. Box 18, Radio City Station",,Manhattan,10101,,Margarita Toirac,Executive Producer,,,"18 Radio City Station
Manhattan, NY 10101
(40.76373800000874, -73.98568899964755)"
Museum/Gallery,,LatinCollector,Art gallery dedicated to the promotion of outstanding artworks by Latin American artists.,LatinCollector,37 W. 57th Street,4th Fl.,Manhattan,10019,,,,(212) 334-7813,,"37 57th Street
Manhattan, NY 10019
(40.763502689384616, -73.97516280629787)"
Cultural Center,,Learning Through an Expanded Arts Program,"Leap is a non-profit organization committed to improving the quality of public education through a hands-on, arts-based approach to teaching the academic curriculum. Leap empowers students to reach their full potential.",Learning Through an Expanded Arts Program,441 West End Avenue,#2G,Manhattan,10024,,Ila Lane Gross,,(212) 769-4160,,"441 End Avenue
Manhattan, NY 10024
(40.78362556816552, -73.96653900057436)"
Music Ensemble/Orchestra,,"Los Pleneros de la 21, Inc.","LP21 presents the traditional Bomb and Plena from Puerto Rico in venues all over New around the world. They have performed from coast to coast in the US and Canada and have even performed in Russia and Hawaii.  LP21 is also very much involved in education and play nearly everyday throughout the year in one of the many public and parochial school in New York City, New Jersey and Connecticut. We also play colleges and other types of institutions including the non-academic.","Los Pleneros de la 21, Inc.",1680 Lexington Avenue,#209,Manhattan,10029,,,,(212) 427-5221,,"1680 Lexington Avenue
Manhattan, NY 10029
(40.79189180382315, -73.9465354908661)"
Cultural Center,,Manna House Workshops,"Manna House Workshops was founded in 1967 by Gloria DeNard, an alumna of the Juilliard School of Music. A handful of East Harlem residents, members of local churches, and a volunteer lawyer formed a 501 (c) 3, not-for-profit cultural center. Music lessons on a one-to-one basis and group instruction was offered at low cost to all ages and ethnicities. The mission of Manna House is to meet the needs of talented persons in an economically deprived community by providing a lifelong learning experience, primarily through America's classical music, Jazz, and the visual and performing arts. Music training gives us the discipline needed to succeed in our endeavors.",Manna House Workshops,338 E. 106 St.  ,,Manhattan,10029,,Gloria DeNard,Director,(212) 722-8223,,"338 106 St
Manhattan, NY 10029
(40.79020584908826, -73.94152105351759)"
Cultural Center,,Mano a Mano:  Mexican Culture Without Borders,"Mano a Mano: Mexican Culture Without Borders is a nonprofit organization (501(c)3) in its sixth year of presenting major collaborative cultural events in the New York City area. It began as an initiative of the Center for Traditional Music and Dance in the Mexican community of New York. Composed of Mexicans and Mexican-Americans of many generations and occupations, the Mano a Mano Organizing Committee strives to present the rich range of Mexican cultural forms.",Mano a Mano:  Mexican Culture Without Borders,64 Fulton Street,#403,Manhattan,10038,,Emily Socolov,Executive Director,(212) 587-3070,,"64 Fulton Street
Manhattan, NY 10038
(40.70886639407814, -74.00517128717644)"
Music Ensemble/Orchestra,,Mariachi Tapatio De Alvaro Paulino,"Mariachi Tapatio De Alvaro Paulino began in 1983 under the direction of Alvaro Paulino. Born in Puebla, Mexico, Alvaro Paulino studied at Puebla’s Conservatory with Edmundo Cruz (a professional cornet and trumpet player who his known throughout Mexico). Alvaro began playing the trumpet at age 15 and has continued with his talent and expanded his skills over the years by playing and studying with many well-known mariachis in Mexico, such as Mariachi Metepec, Mariachi Puebla, Mariachi Cocula, Mariachi Los Arrieros, Mariachi Continental, Mariachi Los Caporales, Mariachi Los Cuervos, and many more! Alvaro has also accompanied many great artists such as Vicente Fernandez, Lola Beltran, Miguel Aceves Mejia, Lucha Villa, Gerardo Reyes, Yolanda Del Rio, Pedro Fernandez, Alicia Juarez, Paco Michel, Hermanas Huerta, Emilio Galvez, Leo Dan, Manuel Lopez Ochoa, Placido Domingo, etc.",Mariachi Tapatio De Alvaro Paulino,"260 Washington Ave, #4",,Brooklyn,11205,,"Alvaro Paulino, Jr.",,(917) 709-3885,,"260 Washington Ave
Brooklyn, NY 11205
(40.69085979954943, -73.96643185764714)"
Cultural Center,,"Multicultural Music Group, Inc.","The mission of the MMG is to provide performances, instruction and professional development in multicultural music as a tool to promote global understanding and academic achievement.  The training, presentation and instruction provide the constituents the opportunity to experience artistic growth and cultural awareness through the acquisition of specific knowledge, skills and attitudes that contribute to a more harmonious society and a better lifelong enjoyment of music.","Multicultural Music Group, Inc.",601 Walton Avenue,,Bronx,10451,,Luis Mojica,Executive Director,(718) 884-5495,,"601 Walton Avenue
Bronx, NY 10451
(40.82019159873797, -73.92791683910372)"
Cultural Center,,New Amsterdam Musical Association,"The New Amsterdam Musical Association was conceived in 1900 as a union for black musicians who were denied admission into the white only local union. The New Amsterdam Musical Association was conceptualized in part by James Reese Europe in 1904 and has had its share of ups and downs. A dedicated core of Volunteer Members are now working to revitalize NAMA, the first official representative of black musicians in the world, where syncopation fused with ragtime to create swing dance music and set the stage for the music that came to be known as ""JAZZ"".",New Amsterdam Musical Association,107 W. 130th St.,,Manhattan,10027,,John E. Johnson,President,(212) 234-2973,,"107 130th St
Manhattan, NY 10027
(40.811090015283575, -73.94345213299552)"
Cultural Center,,Nuyorican Poets Cafe,"A non-profit organization, the Cafe has emerged as one of the country's most highly respected arts organizations and has become an acclaimed forum for innovative poetry, music, hip hop, video, visual arts, comedy and theatre. The mission of the Cafe is to create a multi-cultural venue that both nurtures artists and exhibits a variety of artistic works. Without limitation, we are dedicated to providing a stage for the arts with access for the widest public.",Nuyorican Poets Cafe,236 E. 3rd Ave.,,Manhattan,10009,,Rome Neal,Artistic Director,(212) 505-8183,,"236 3rd Ave
Manhattan, NY 10009
(40.72204015297947, -73.9815211451506)"
Theater,,"NY Artists Unlimited, Inc.","NY Artists Unlimited, founded in 1982, is dedicated to taking professional theatre to under-served audiences. The company focuses on works that evoke dignity of the individual and sanctity of the human spirit. A multicultural nonprofit company, we tour self-contained to the ethnically-specific and diverse neighborhoods of New York City and the Northeast.","NY Artists Unlimited, Inc.",212  West 14th Street,#2A,Manhattan,10011,,Melba LaRose,Artistic Director,(212) 242-6036,,"212 14th Street
Manhattan, NY 10011
(40.73870397358976, -74.00011418829757)"
Cultural Center,,Ollantay Center for the Arts,"Ollantay was founded by Pedro Monge-Rafuls in 1977.  At the time, there were no other cultural or artistic in Queens, a place where first generation Latin Americans had begun to settle. What began as a traveling theater has become a cultural organization supporting latino artists, authors and actors and has grown to include a film festival, a folklore program and a literature magazine.",Ollantay Center for the Arts,P.O. Box 720449,,Jackson Heights,11372,,Pedro Monge-Rafuls,,(718) 699-6772,,"720449 Jackson Heights
NY 11372
(40.75163073936716, -73.88361254528269)"
Cultural Center,,"PAMAR, Inc.","Pan American Musical Art Research, Inc., (PAMAR) is a 501c3 non-profit organization seeking to promote a better understanding and coexistence between the various cultures and countries of the Americas, primarily through an ongoing and vital exchange of their artistic fields including music, dance, theater, film, visual arts and literature, and through educational programs. PAMAR reaches out to people of all ages, backgrounds, and communities, to spread awareness of the richness and value of the culture of Latin America, and makes efforts to provide the underserved student population with high quality music opportunities and programs.","PAMAR, Inc.",330 East 49th Street,Suite 11-J,New York,10017,(212) 688-6862,Polly Ferman,Artistic Director,(212) 688-6862,(212) 688-6862,"330 49th Street
New York, NY 10017
(40.75390048801871, -73.96824312195294)"
Dance Company,,Piel Canela Dance Co.,"A Salsa/Mambo dance company that also teaches classes in salsa and other Latin dances. We also provide music classes, dance socials, and an online store.",Piel Canela Dance Co.,151 West 26th Street   ,6th Floor,Manhattan,10010,,Joe Burgos,Owner,(347) 223-5008,,"151 26th Street
Manhattan, NY 10010
(40.74119721786683, -73.98277568565742)"
Cultural Center,,Point Community Development Corp.,"THE POINT COMMUNITY DEVELOPMENT CORPORATION is a nonprofit organization 501 (c) (3) dedicated to youth development and the cultural and economic revitalization of the Hunts Point section of the South Bronx. We work with our neighbors to celebrate the life and art of our community, an area traditionally defined solely in terms of its poverty, crime rate, poor schools, and substandard housing. We believe the area's residents, their talents and aspirations, are The Point's greatest assets. Our mission is to encourage the arts, local enterprise, responsible ecology, and self-investment in the Hunts Point community.",Point Community Development Corp.,940 Garrison Avenue,,Bronx,10474,,Maria Torres,COO,(718) 542-4139,,"940 Garrison Avenue
Bronx, NY 10474
(40.818136215724465, -73.89095446778778)"
Theater,,Pregones Touring Puerto Rican Theater,"Pregones Theater is a Bronx-based ensemble whose mission is (1) to create and perform original musical theater and plays rooted in Puerto Rican/Latino cultures, and (2) to present other performing artists who share our twin commitment to the arts and civic enrichment.",Pregones Touring Puerto Rican Theater,571-575 Walton Ave.,,Bronx,10451,,Rosalba Rolon,Artistic Director,(718) 585-1202,,"571 575 Walton Ave
Bronx, NY 10451
(40.82069640711353, -73.92384136798472)"
Cultural Center,,"Puerto Rican Workshop, Inc.","Taller Boricua was established in 1970, in New York as a non-profit arts organization. Taller Boricua/Puerto Rican Workshop Inc. has expanded into a multi cultural institution by providing a variety of programs that stimulate the social, cultural and economic development of the community. Our workshops offer artists the opportunity to share ideas and inspirations with colleagues, enhances productivity and collaborations with other non profit organizations, schools, artists, public service providers, private corporations, and the community. The Taller Boricua (translation: workshop Puerto Rican) has evolved into a highly respected community arts organization that continues to be a proactive resource for the promotion of the arts. We have been very successful in attracting the art community to function as an essential nucleus supporting creative means of expression.","Puerto Rican Workshop, Inc.",1680 Lexington Avenue,,Manhattan,10029,,,,(212) 831-4333,,"1680 Lexington Avenue
Manhattan, NY 10029
(40.79189180382315, -73.9465354908661)"
Theater,,Repertorio Espanol,"Repertorio Espanol is a repertory theater with the best plays in town, in Spanish! Comedies, dramas, dance, classics from the Spanish Literature and all Latin America, we have them all! Come and spend an evening with us and then visit one of the many top-restaurants around our jewel-box theater, The Gramercy Arts. Visit our website, www.repertorio.org for a full schedule, descriptions of our plays and restaurant listings. Ticket prices are affordable and discounts are available for students and seniors.",Repertorio Espanol,138 East 27th Street ,,Manhattan,10016,,Jose Antonio Cruz,Director of Audience Development,(212) 889-2850 x 955,,"138 27th Street
Manhattan, NY 10016
(40.74193274518918, -73.98277770492838)"
Dance Company,,Retumba! (Resound!),"An all women Afro-Caribbean dance and music ensemble, Retumba! brings to the audience the joy of life that can be experience through the gift of diversity in its presentation of folkloric music and dance of Puerto Rico, Cuba, Haiti, Dominican Republic, and Brazil. Retumba! demonstrates the similarities and links of Caribbean music to Africa and Europe.",Retumba! (Resound!), P.O. Box 7    ,,Bronx,10464,,Yvette Martinez,Director,(718) 885-2574,,"7 Bronx
NY 10464
(40.875709096797436, -73.81229725041771)"
Theater,,"Society of the Educational Arts, Inc.",SEA is a leading artistic non-profit organization dedicated the empowerment and educational advancement of children and young adults. SEA develops powerful Arts-in Education Programs and revives the tradition of doing Children's Theater in Spanish in New York City. SEA has also been instrumental in the introduction and education of non-Spanish speaking audiences to Latino Arts & Culture.,"Society of the Educational Arts, Inc.",107 Suffolk Street,2nd Floor,Manhattan,10002,,Manuel Moran,Executive Director,(212) 529-1545,,"107 Suffolk Street
Manhattan, NY 10002
(40.719521874540526, -73.98583731954874)"
Theater,,"Teatro Circulo, Ltd.","Teatro Circulo Ltd., is a theater company founded by a group of Puerto Rican artists with a strong academic background committed to preserving and promoting our cultural heritage through the presentation of creative, inclusive and educational theater works. It is our purpose to expose the public to the best works of Spanish and Puerto Rican playwrights, both contemporary and classical and in general, to foster an appreciation of the richness of Latin American and Iberian cultures in the context of the pluralism that characterizes NYC.","Teatro Circulo, Ltd.",59-61 East 4th Street ,6th Floor,Manhattan,10003,,Jose Cheo Oliveras,Artistic Director,(212) 505-1808,,"59 61 East 4th Street
Manhattan, NY 10003
(40.73194394755518, -73.98887214913032)"
Theater,,Teatro IATI,We are a non-profit theater. We do childrens' plays and plays for adults. Our artists address issues of broad human interest and frame them in appropriate context to provoke social awareness. Our theater is for people of all ethnicities. We approach community groups in a spirit of collaboration and openness.,Teatro IATI,59-61  East 4th Street,#6-E,Manhattan,10003,,Vivian Deangelo,Executive Director,(212) 505-6757,,"59 61 East 4th Street
Manhattan, NY 10003
(40.73194394755518, -73.98887214913032)"
Theater,,Teatro La Tea,"Founded in 1982, La Tea is committed to fostering and preserving Latin American literature, music and the visual arts. We seek to maintain our cultural heritage and to strengthen and advance the understanding of the contribution made by Latinos in a pluralistic society.",Teatro La Tea,107 Suffolk Street,Suite 200,Manhattan,10009,,Nelson Landrieu,Executive Director,(212) 529-1948,,"107 Suffolk Street
Manhattan, NY 10009
(40.72664935898081, -73.97911148500697)"
Theater,,Teatro TEBA,"Teatro TEBA is a Brooklyn based OBIE grant winner, is a touring company founded in 1988. They are the only bilingual, experimental and avant-garde Latino theater company of Kings County. Winner of 4 Latin ACE awards, TEBA has brought the best of Latin American underground theater throughout New York's five boroughs.",Teatro TEBA ," P.O. Box 572, Coney Island Station",,Brooklyn,11224,,Kathy Tejada,Executive Producer,(718) 896-4702,,"572 Coney Island Station
Brooklyn, NY 11224
(40.64337229579546, -73.97008816153789)"
Theater,,Thalia Spanish Theatre Inc.,"We are the first and only bilingual Hispanic theatre in Queens, serving one of the most diverse communities in the United States.  In 30 years we have produced more than 100 productions of the best Spanish plays, zarzuelas (Spanish operettas) and folklore shows of music and dance, and earned national recognition as a leader in New York City's celebrated Spanish theatre movement. Our mission is to celebrate the vibrancy and diversity of Spanish and Latin American culture with unique productions of plays, musicals and dance.",Thalia Spanish Theatre,41-17 Greenpoint Avenue,,Queens,11104,,Angel Gil Orrios,Executive Director,(718) 729-3880,,"41 17 Greenpoint Avenue
Queens, NY 11104
(40.74489336663561, -73.92054134530679)"
Cultural Center,,The Bronx Museum of the Arts,"BxMA’s permanent collection is unique in its focus on contemporary art by artists of African, Asian, and Latin American descent. Initiated in 1986, BxMA's collection policy demonstrates an ongoing commitment to exhibit, preserve, and document the work of artists not typically represented within more traditional museum collections. In 2000 it was expanded to include artists who have live(d) and/or work(ed) in the Bronx and for whom the Bronx has been critical to their artistic development. The collection is composed of more than 800 contemporary works of art in all media, conveying a broad range of modern and contemporary art practices.  ",The Bronx Museum of the Arts,1040 Grand Concourse at 165th St.,,Bronx,10456,,Antonio Sergio Bessa,Acting Director of Programs,(718) 681-6000,,"1040 Grand Concourse at 165th St
Bronx, NY 10456
(40.8304366800088, -73.9077651995043)"
Theater,,The Puerto Rican Traveling Theatre,"The mission of the Puerto Rican Traveling Theatre (PRTT) is to educate and acquaint the
general public with important contributions by playwrights from Latino or Hispanic
extraction; to present and produce truly bilingual professional theater; to offer artistic
development to emerging and established artist; and in these ways to contribute towards
the diversity of American theater and national culture.",The Puerto Rican Traveling Theatre,304 West 47th. Street,,Manhattan,10036,,Miriam Colon-Valle,,(212) 354-1293,,"304 47th Street
Manhattan, NY 10036
(40.76044337069183, -73.98764105047931)"
Other (Film development program),,Tribeca All Access/Tribeca Film Institute,Tribeca All Access (TAA) is a program of the Tribeca Film Institute that serves artists and audiences by supporting diverse voices in film and theater in the United States. TAA programs are designed primarily to provide filmmakers and playwrights of color unmatched access to members of the entertainment industry.,Tribeca Film Institute,375 Greenwich Street,,Manhattan,10013,,,,(212) 941-4012,,"375 Greenwich Street
Manhattan, NY 10013
(40.719649265209455, -74.01022547698108)"
Cultural Center,,"Young Dancers in Repertory, Inc.","YDR provides youth with a nourishing, educational environment that encourages and develops self-efficacy, skill and esteem building, and leadership qualities through dance. We offer youth between the ages of 4-18 an opportunity to realize their highest potential and fulfill their artistic goals through quality, disciplined, creative, structured, challenging, and fun-filled dance programming.  YDR provides artistic and educational experiences to youth regardless of professional intention, aptitude, previous training, or ability to pay for classes.  Through dance, YDR brings people of different cultural and economic backgrounds together in a non-threatening way to begin building bridges among people of different origins by exploring our commonalities and differences in International dance forms.","Young Dancers in Repertory, Inc.","P.O. Box 205037, Sunset Station",,Brooklyn,11220,,Carol Mezzacappa,Co-Founder,(718) 567-9620,,"205037 Sunset Station
Brooklyn, NY 11220
(40.641184928741495, -74.01676472671073)"
Music Ensemble/Orchestra,,Zon del Barrio,"A musical group expressing the diverse Afro-Caribbean music of New York city: Salsa, Plena, Bomba, Merengue, boogalu and Latin-jazz. ",Zon del Barrio,4 East 107th ,Suite 14C ,Manhattan,10029,,Aurora Flores,Managing Director,(212) 410-2999,,"4 107th
Manhattan, NY 10029
(40.79491027898082, -73.95056102141076)"
