PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
Family Support,Older Adult Program,Goodwin Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"55 Goodwin Place
Brooklyn, NEW YORK 11221
(40.691613703908644, -73.92379865309422)"
Family Support,Older Adult Program,Ridgewood Bushwick Senior Citizen Housing,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"143 Himrod St
Brooklyn, NEW YORK 11221
(40.69729988650432, -73.92266264657464)"
Family Support,Older Adult Program,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",718.449.5000,Seniors,"3001 37th Street
Brooklyn, NEW YORK 11224
(40.573273749723825, -74.00249064003097)"
Family Support,Older Adult Program,Caledonian Health Campus Center Brooklyn Hospital,Brooklyn,"Diaspora Community Services, Inc",718.399.0200,Seniors,"100 Parkside Avenue
Brooklyn, NEW YORK 11226
(40.65318029394583, -73.9661250479036)"
Family Support,Older Adult Program,"Homecrest Community Services, Inc",Brooklyn,"Homecrest Community Services, Inc",718.376.4036,Seniors,"1413 Avenue
Brooklyn, NEW YORK 11229
(40.60123350732056, -73.94436854117521)"
Family Support,Older Adult Program,Project Care Volunteer Services for the Elderly & Homebound ,Brooklyn,Council of Jewish Organizations of Flatbush,718.377.2900,Seniors,"1658 Coney Island
Brooklyn, NEW YORK 11230
(40.62192951023877, -73.96551106018723)"
Family Support,Older Adult Program,Webster Terrace,Brooklyn,Agudath Israel of America / SBCO,718.435.1300,Seniors,"680 Ocean Parkway
Brooklyn, NEW YORK 11230
(40.63173065136666, -73.97221160532617)"
Family Support,Older Adult Program,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,718.646.1444,Seniors,"3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969703795, -73.95950745079742)"
Family Support,Older Adult Program,Plaza Senior Center,Brooklyn,Ridgewood Bushwick Senior Citizens Council,718.821.0254,Seniors,"297 Wilson Avenue
Brooklyn, NEW YORK 11237
(40.697076322390316, -73.91928647007668)"
Family Support,Older Adult Program,Berkshire Farm Center and Services for Youth,Brooklyn,Berkshire Farm Center and Services for Youth,518.781.4567,Seniors,"732 Dean Street
Brooklyn, NEW YORK 11238
(40.67975348048512, -73.9659835792308)"
Family Support,Older Adult Program,AAFE Queens,Queens,Asian Americans for Equality,212.680.1374,Seniors,"133 04 39th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
Family Support,Older Adult Program,Jackson Heights Senior Center,Queens,"Institute For Puerto Rican Hispanic Elderly, Inc.",212.677.4181,Seniors,"75 01
Queens, NEW YORK 11373
(40.73871040256307, -73.87835115518163)"
Family Support,Older Adult Program,International Tower for Seniors,Jamaica,Conscientious Musical Revues,800.624.8474,Seniors,"90 20 170th Street
Jamaica, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
Family Support,Older Adult Program,"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",Queens,"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",718.723.1119,Seniors,"117 08 Merrick Boulevard
Queens, NEW YORK 11434
(40.6769452621142, -73.77530690169215)"
Family Support,Parent Education and Family Support,Columbus -Amsterdam Business Improvement District,New York,West Side Campaign Against Hunger Church of St. Paul,212.362.3662,,"263 96th Street
New York, NEW YORK 10024
(40.78362556816552, -73.96653900057436)"
Family Support,Parent Education and Family Support,Latin American Intergration Center,Staten Island,Latin American Intergration Center,718.565.8500,,"463 Richmond Avenue
Staten Island, NEW YORK 10302
(40.63083331110846, -74.13773429869889)"
Family Support,Parent Education and Family Support,Citizens Advice Bureau Information & Referral ,Bronx,"Citizens Advice Bureau, Inc.",718.293.0727,,"2070 Grand
Bronx, NEW YORK 10457
(40.84579837129786, -73.89832418681175)"
Family Support,Parent Education and Family Support,Dr. White Community Center ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.722.6023,,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.69828882200633, -73.98309740031785)"
Family Support,Parent Education and Family Support,Public School 261 - Philip Livingston Elementary School,Brooklyn,"Fifth Avenue Committee, Inc.",718 624 3475,,"314 Pacific Street
Brooklyn, NEW YORK 11201
(40.687425557961234, -73.98822545546808)"
Family Support,Parent Education and Family Support,"Ralph Lincoln Service Center, Inc.",Brooklyn,"Ralph Lincoln Service Center, Inc.",718.604.1358,,"261 Buffalo Avenue
Brooklyn, NEW YORK 11213
(40.67003864096985, -73.92540014432034)"
Family Support,Parent Education and Family Support,P.S. 38 Pacific Elementary School ,Brooklyn,"Fifth Avenue Committee, Inc.",718 624 3475,,"450 Pacific Street
Brooklyn, NEW YORK 11217
(40.685320709029845, -73.98284364738618)"
Family Support,Parent Education and Family Support,Hispanic Employment Day-Women Working For A Better Community,Brooklyn,Hispanic Employment Day-Women Working For A Better Community,718.455.3988,,"195 Linden Street
Brooklyn, NEW YORK 11221
(40.695365122529765, -73.91752465717728)"
Family Support,Parent Education and Family Support,Crown Heights Jewish Community Council,Brooklyn,Crown Heights Jewish Community Council,718.778.8808,,"387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592155, -73.94250335499902)"
Family Support,Parent Education and Family Support,Village Care of New York,Brooklyn,Village Care of New York,718.852.5748,HS,"6033 Clinton Street
Brooklyn, NEW YORK 11231
(40.67626727466212, -74.0009950783946)"
Family Support,Parent Education and Family Support,Make the Road New York -Staten Island,Staten Island,Make the Road New York,718.727.1222,17 and up,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
Family Support,Parent Education and Family Support,Make the Road New York -Queens,Queens,Make the Road New York,718-565-8500,17 and up,"49 06 Skillman Avenue
Queens, NEW YORK 10302
(40.63083331110846, -74.13773429869889)"
Family Support,Substance Abuse Education and Prevention,Chambers Memorial Social Change,New York,Chambers Memorial Social Change,212 410.5361,,"129 123rd Street
New York, NEW YORK 10035
(40.80324124783289, -73.93876534853291)"
Family Support,Substance Abuse Education and Prevention,Triboro ,New York,"El Barrio's Operation Fightback, Inc.",212.410.7900,,"2415 Second Avenue
New York, NEW YORK 10035
(40.80199119021216, -73.93413384008204)"
Family Support,Substance Abuse Education and Prevention,Teen Center,New York,"El Barrio's Operation Fightback, Inc.",212.410.7900,,"182 2nd Avenue
New York, NEW YORK 10035
(40.79974135853877, -73.9354970615892)"
Family Support,Substance Abuse Education and Prevention,Community Health Action of Staten Island,Staten Island,Community Health Action of Staten Island,718.981.3366,,"56 Bay Street
Staten Island, NEW YORK 10301
(40.639659723835074, -74.0733092529628)"
Family Support,Substance Abuse Education and Prevention,"Church Avenue Merchants Block Association, Inc.",Brooklyn,"Church Avenue Merchants Block Association, Inc.",718.287.2600,,"1195 Bedford Avenue
Brooklyn, NEW YORK 11216
(40.68248454294359, -73.9536988554417)"
Family Support,Substance Abuse Education and Prevention,,Brooklyn,"Church Avenue Merchants Block Association, Inc.",718 287.2600,,"19 Winthrop Street
Brooklyn, NEW YORK 11225
(40.656529948508265, -73.95987653287332)"
Family Support,Substance Abuse Education and Prevention,Public School 19 - Marino P. Jeantet Elementary School ,Queens,Hellenic American Neighborhood Action Committee (HANAC),212.840.8005,,"98 02 Roosevelt Avenue
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
Family Support,Substance Abuse Education and Prevention,P.S. 19 ,Queens,Hellenic American Neighborhood Action Committee (HANAC)     ,718-204-1200,3rd through 5th,"98 02 Roosevelet Avenue
Queens, NEW YORK 11368
(40.749678220373596, -73.85304068857687)"
Family Support,Young Parent Education & Family Support,Dr. White Community Center ,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",718.722.6023,MS/HS,"200 Gold Street
Brooklyn, NEW YORK 11201
(40.69828882200633, -73.98309740031785)"
Family Support,Young Parent Education & Family Support,Brooklyn Child and Family Services ,Brooklyn,Brooklyn Child and Family Services,718 330-0845,,"44 60 Rockwell Place
Brooklyn, NEW YORK 11217
(40.68231210132245, -73.97956718857483)"
