Affiliated Base License Number,License Number,Name of Licensee,License Type,DMV License Plate,VIN,Model Year,License Expiration Date
B90275,,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T523687C,1FTSS34L89DA76385,2009,10/29/2012 07:00:00 AM +0000
B90275,,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T489796C,1FTSS34L36DB30266,2006,04/30/2012 07:00:00 AM +0000
B90275,,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T484942C,1FTSS34LX6DB17949,2006,09/29/2011 07:00:00 AM +0000
B90275,,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T505538C,1FTSS34L68DA12750,2008,09/29/2012 07:00:00 AM +0000
B90275,,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T523688C,1FTSS34L89DA76323,2009,06/24/2012 07:00:00 AM +0000
B90275,,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T469692C,1FTNE24W75HA14116,2005,05/23/2012 07:00:00 AM +0000
B90275,5046156,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T484941C,1FTSS34L16DB21968,2006,05/25/2012 07:00:00 AM +0000
B90275,5124979,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T505539C,1FTSS34L48DA14450,2008,09/25/2012 07:00:00 AM +0000
B90275,5180029,EVE CONSOLIDATED BUSINESS ENTERPRISES INC,Paratransit Vehicle,T609159C,1FTSS3EL6BDA09370,2011,09/16/2012 07:00:00 AM +0000
B90288,,MAJOR AMBULETTE CORP,Paratransit Vehicle,T424349C,1FTNE2EW2BDA01923,2011,10/03/2012 07:00:00 AM +0000
B90288,,MAJOR AMBULETTE CORP,Paratransit Vehicle,T433804C,1FTNE24W39DA47675,2009,05/09/2013 07:00:00 AM +0000
B90288,5215063,MAJOR AMBULETTE CORP,Paratransit Vehicle,T476591C,2A8HR44H08R670559,2008,12/06/2011 08:00:00 AM +0000
B90288,5215839,MAJOR AMBULETTE CORP,Paratransit Vehicle,T477185C,2D8HN44H78R670059,2008,12/19/2011 08:00:00 AM +0000
B90288,5216317,MAJOR AMBULETTE CORP,Paratransit Vehicle,T477199C,1A4GP45R96B521203,2006,12/28/2011 08:00:00 AM +0000
B90288,5217854,MAJOR AMBULETTE CORP,Paratransit Vehicle,T477265C,1FMRE11W72HB43111,2002,01/23/2012 08:00:00 AM +0000
B90288,5217949,MAJOR AMBULETTE CORP,Paratransit Vehicle,T477268C,1FMRE11W53HA59869,2003,01/24/2012 08:00:00 AM +0000
B90288,5378559,MAJOR AMBULETTE CORP,Paratransit Vehicle,T604465C,1FTNE2EW4BDA01924,2011,10/27/2012 07:00:00 AM +0000
B90297,5169771,PROMPT TRANSIT SERVICE INC,Paratransit Vehicle,T460588C,1FTNE24W98DA41832,2008,05/03/2012 07:00:00 AM +0000
B90297,5169776,PROMPT TRANSIT SERVICE INC,Paratransit Vehicle,14241LV,1FTNE24W98DA41832,2008,05/03/2012 07:00:00 AM +0000
B90297,5198621,PROMPT TRANSIT SERVICE INC,Paratransit Vehicle,47431LA,1FTNE24W58DA41830,2008,05/03/2013 07:00:00 AM +0000
B90297,5325063,PROMPT TRANSIT SERVICE INC,Paratransit Vehicle,53447LA,1FTNE24W39DA06558,2009,03/04/2013 08:00:00 AM +0000
B90297,5325070,PROMPT TRANSIT SERVICE INC,Paratransit Vehicle,71003LA,1FTNS24W69DA18969,2009,03/04/2013 08:00:00 AM +0000
B90297,5392010,PROMPT TRANSIT SERVICE INC,Paratransit Vehicle,53407LA,1FTNE24W58DB10080,2008,03/07/2013 08:00:00 AM +0000
B90301,,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T425349C,1FTNE24W95HB19773,2005,06/30/2013 07:00:00 AM +0000
B90301,,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T425613C,1FTNE24W48DA01349,2008,03/17/2012 07:00:00 AM +0000
B90301,,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T425610C,1FTSS3EL7BDA01939,2011,01/09/2013 08:00:00 AM +0000
B90301,5044846,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T427980C,1FTNE24W08DA54873,2008,05/15/2012 07:00:00 AM +0000
B90301,5047050,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T404537C,1FMNE11L37DA19856,2007,06/05/2012 07:00:00 AM +0000
B90301,5130770,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T449016C,1GKDM19X65B507349,2005,12/20/2012 08:00:00 AM +0000
B90301,5185500,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T468858C,1FTNE24W85HA10169,2005,12/01/2012 08:00:00 AM +0000
B90301,5250938,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T491100C,1FTNE24W46DB42340,2006,02/02/2013 08:00:00 AM +0000
B90301,5324060,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T517256C,1FTNE24W99DA33375,2009,03/04/2013 08:00:00 AM +0000
B90301,5380194,FAST HELP AMBULETTE SERVICE INC,Paratransit Vehicle,T602731C,1FTNE1EW5BDA04308,2011,12/21/2012 08:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424655C,1FTNE2EW6ADB02641,2010,11/07/2012 08:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424734C,1FTNE24233HB52651,2003,11/07/2011 08:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T526810C,1FTNE24W49DA73816,2009,08/08/2013 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424683C,1FTNE24W69DA25508,2009,04/29/2013 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424705C,1FTNE2EW2ADA43894,2010,04/06/2012 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424681C,1FTNE24W75HA04394,2005,12/12/2012 08:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T415960C,1FTNE2EW1ADA43904,2010,02/26/2012 08:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424691C,1FTNE2EW1BDA55357,2011,02/23/2013 08:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424663C,1FTNE24213HB67701,2003,10/03/2011 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424727C,1FTNE2EW0ADB02666,2010,09/30/2012 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424725C,1FTNE2EW3ADB02645,2010,09/30/2012 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424728C,1FTNE24213HA46134,2003,10/03/2011 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424657C,1FTNE24W35HA04392,2005,09/30/2012 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424754C,1FTNE24273HB16123,2003,06/26/2012 07:00:00 AM +0000
B90303,,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424697C,1FTNE24W36HA26944,2006,03/03/2013 08:00:00 AM +0000
B90303,5060233,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T431380C,1FTNE2EW8ADB02642,2010,10/19/2012 07:00:00 AM +0000
B90303,5060239,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T611310C,1FTNE2EW7ADB02650,2010,10/19/2012 07:00:00 AM +0000
B90303,5066466,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T424759C,1FTNE2EW4ADB02640,2010,12/27/2012 08:00:00 AM +0000
B90303,5158392,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T448960C,1FTNE24263HB73932,2003,11/25/2011 08:00:00 AM +0000
B90303,5330408,GRAND AMBULETTE SERVICE INC,Paratransit Vehicle,T521413C,1FTSS34L57DA57144,2007,05/05/2013 07:00:00 AM +0000
B90310,,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T424165C,1FTNE24W58DB10645,2008,06/21/2013 07:00:00 AM +0000
B90310,,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T512352C,1FTNE24W49DA26902,2009,02/24/2013 08:00:00 AM +0000
B90310,,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T424167C,1FTNE24W69DA26903,2009,12/13/2012 08:00:00 AM +0000
B90310,,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T424169C,1FTNS24W46HA97899,2006,05/27/2012 07:00:00 AM +0000
B90310,,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T424168C,1FBNE31LX8DB50885,2008,12/28/2011 08:00:00 AM +0000
B90310,5092604,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T412442C,1FBNE31L58DB42189,2008,08/29/2013 07:00:00 AM +0000
B90310,5220839,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T479120C,2D4RN3DG7BR738228,2011,03/02/2012 08:00:00 AM +0000
B90310,5270926,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T496015C,1FBNE3BLXBDA90645,2011,08/15/2013 07:00:00 AM +0000
B90310,5270927,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T496014C,1FBNE3BL2BDA90641,2011,08/15/2013 07:00:00 AM +0000
B90310,5295366,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T504404C,1FBSS31L84HA00305,2004,04/24/2012 07:00:00 AM +0000
B90310,5312427,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T605696C,1FTNE14W88DB52673,2008,10/31/2012 07:00:00 AM +0000
B90310,5320182,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T510986C,WDWPE845385261865,2008,01/22/2013 08:00:00 AM +0000
B90310,5370388,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T602571C,1FBNE31L89DA68798,2009,07/23/2012 07:00:00 AM +0000
B90310,5392284,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T605602C,1FTNE2EW9BDA52805,2011,03/15/2013 07:00:00 AM +0000
B90310,5397323,AMBULETTE STAR TRANS INC,Paratransit Vehicle,T605575C,2D4RN3D11AR447914,2010,04/22/2013 07:00:00 AM +0000
B90314,5167016,AMERICAN MEDICAL RESPONSE,Paratransit Vehicle,T448891C,1FTNS24W74HA05522,2004,03/29/2012 07:00:00 AM +0000
B90316,5175464,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T469314C,1FTNE24WX4HA46282,2004,07/09/2012 07:00:00 AM +0000
B90316,5227315,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T522939C,1FTNE24W56HB07640,2006,04/24/2012 07:00:00 AM +0000
B90316,5227319,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T513004C,1FTNE24W96HBO7639,2006,04/24/2012 07:00:00 AM +0000
B90316,5232270,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T486598C,1FTNE24W76HB07638,2006,06/16/2012 07:00:00 AM +0000
B90316,5245106,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T487699C,1FTNE24L16DB17952,2006,11/22/2012 08:00:00 AM +0000
B90316,5253311,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T488109C,1FTNE24W46DA21081,2006,02/28/2013 08:00:00 AM +0000
B90316,5291281,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T500709C,1FTNS24W18DA72680,2008,03/21/2012 07:00:00 AM +0000
B90316,5408916,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T606977C,1FTNE24W27DA20755,2007,08/23/2013 07:00:00 AM +0000
B90316,5408930,FRIENDSHIP AMBULETTE INC,Paratransit Vehicle,T607141C,1FTNE24W36DB12262,2006,08/23/2013 07:00:00 AM +0000
B90323,5044634,FIRST RESPONSE INC,Paratransit Vehicle,T431163C,1FTNE24W58DA98982,2008,05/11/2012 07:00:00 AM +0000
B90323,5341934,FIRST RESPONSE INC,Paratransit Vehicle,T523630C,1FTNE24W99DA28693,2009,08/25/2013 07:00:00 AM +0000
B90333,5058953,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T492099C,1FTNE24W06DA25337,2006,10/06/2012 07:00:00 AM +0000
B90333,5218568,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T492056C,1FTNE24W36HB20645,2006,02/01/2012 08:00:00 AM +0000
B90333,5299765,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T509721C,1FTNE24W76DA06378,2006,06/16/2012 07:00:00 AM +0000
B90333,5299768,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T509720C,1FTNE24WX6DA50553,2006,06/16/2012 07:00:00 AM +0000
B90333,5303543,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T602145C,1FTNE24W38DA98642,2008,07/16/2012 07:00:00 AM +0000
B90333,5311625,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T509984C,1FTSS34L86HA89173,2006,10/22/2012 07:00:00 AM +0000
B90333,5343479,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T522524C,1FTNS24W69DA78671,2009,09/17/2011 07:00:00 AM +0000
B90333,5367472,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T522809C,1FTNE24W26HA52757,2006,06/18/2012 07:00:00 AM +0000
B90333,5371677,SHIVA AMBULETTE SERVICE INC,Paratransit Vehicle,T528975C,1FTNE2EW5ADA55702,2010,08/06/2012 07:00:00 AM +0000
B90334,5192089,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T471567C,1FTNE24W45HA55268,2005,03/07/2013 08:00:00 AM +0000
B90334,5192092,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T471568C,1FTNE24W05HA08612,2005,03/07/2013 08:00:00 AM +0000
B90334,5208728,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T475598C,1FTNE24W15HB40035,2005,09/12/2011 07:00:00 AM +0000
B90334,5244214,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T489789C,1FTNE24W06DB24059,2006,11/14/2012 08:00:00 AM +0000
B90334,5244216,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T489790C,1FTNE24W96DB24058,2006,11/14/2012 08:00:00 AM +0000
B90334,5257429,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T493460C,1FTNE14W87DA20740,2007,03/27/2013 07:00:00 AM +0000
B90334,5257433,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T493461C,1FTNE14WX7DA20741,2007,03/27/2013 07:00:00 AM +0000
B90334,5275965,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T503642C,1FTNE24W37DB40600,2007,10/10/2011 07:00:00 AM +0000
B90334,5279686,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T505441C,1FTNE24W58DA17057,2008,11/15/2011 08:00:00 AM +0000
B90334,5282202,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T505674C,1FTNE24W08DA14454,2008,12/12/2011 08:00:00 AM +0000
B90334,5291944,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T508774C,1FTNE24W98DA72692,2008,03/26/2012 07:00:00 AM +0000
B90334,5304953,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T511889C,1FTNE24W78DA98983,2008,08/08/2012 07:00:00 AM +0000
B90334,5308350,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T512008C,1FMRE11W05HA22747,2005,09/22/2012 07:00:00 AM +0000
B90334,5329833,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T517463C,1FMRE11W06DA55756,2006,04/23/2013 07:00:00 AM +0000
B90334,5330152,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T517496C,1A4GP45R06B746271,2006,04/28/2013 07:00:00 AM +0000
B90334,5364743,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T530351C,KNDMB233X96311328,2009,05/19/2012 07:00:00 AM +0000
B90334,5381768,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T605328C,1FTNE2EW1ADB02644,2010,12/03/2012 08:00:00 AM +0000
B90334,5383759,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T605397C,1FTNE2EW9ADB02648,2010,12/13/2012 08:00:00 AM +0000
B90334,5387653,TAMAR TRANSPORTATION CORPORATION,Paratransit Vehicle,T607870C,1FBSS3BL6BDA45326,2011,02/03/2013 08:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433528C,1FTNE24W77DB13643,2007,02/01/2012 08:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T480954C,1FTNE2EW7BDA00248,2011,06/23/2013 07:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433532C,1FTNE24W74HA32758,2004,09/30/2012 07:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433515C,1FTNS2EW1ADA93274,2010,09/30/2012 07:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433496C,1FTNE24W78DA76353,2008,09/30/2012 07:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433663C,1FTNE24W28DA76356,2008,12/16/2012 08:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T455745C,1FTNE24W67DA63334,2007,06/24/2013 07:00:00 AM +0000
B90335,,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T413010C,1FTNE24273HA78019,2003,08/28/2012 07:00:00 AM +0000
B90335,5003256,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433506C,1FTNE24WX8DB41115,2008,05/12/2012 07:00:00 AM +0000
B90335,5047569,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T433718C,1FTNS24W79DA21766,2009,06/08/2012 07:00:00 AM +0000
B90335,5055748,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T436287C,1FTNS2EW8ADA62779,2010,09/01/2012 07:00:00 AM +0000
B90335,5070640,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T413123C,1FTNS2EW7ADA93277,2010,02/20/2013 08:00:00 AM +0000
B90335,5095266,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T408488C,1FTNE24211HB76976,2001,10/11/2011 07:00:00 AM +0000
B90335,5133166,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T421363C,1FTSS3EL4BDA22392,2011,02/04/2013 08:00:00 AM +0000
B90335,5133261,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T445358C,1FTSS3EL5BDA25589,2011,02/05/2013 08:00:00 AM +0000
B90335,5133510,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T413601C,1FTNE2EW5ADB02646,2010,02/10/2013 08:00:00 AM +0000
B90335,5133861,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T449827C,1FTNE2EW7ADB02664,2010,02/18/2013 08:00:00 AM +0000
B90335,5135457,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T448921C,1FTNE2EW4ADB02654,2010,03/04/2013 08:00:00 AM +0000
B90335,5144844,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T451366C,1FTNE2EW6BDA00242,2011,05/30/2013 07:00:00 AM +0000
B90335,5150986,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T452438C,1FTSS3EL9BDA81907,2011,08/13/2013 07:00:00 AM +0000
B90335,5174045,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T463293C,1FTSS34L84HA67509,2004,06/21/2012 07:00:00 AM +0000
B90335,5212648,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T476710C,1FTNE24L56DB17954,2006,11/02/2011 07:00:00 AM +0000
B90335,5213950,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T478966C,1FTNE24W76HA26817,2006,11/18/2011 08:00:00 AM +0000
B90335,5230640,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T481668C,1FBSS31L96DA50690,2006,05/26/2012 07:00:00 AM +0000
B90335,5234800,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T483744C,1FTSS34L36DA30944,2006,07/21/2012 07:00:00 AM +0000
B90335,5234803,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T483743C,1FTSS34L96DA30947,2006,07/21/2012 07:00:00 AM +0000
B90335,5284346,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T507330C,1FTSS34L68DA21853,2008,01/09/2012 08:00:00 AM +0000
B90335,5313372,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T514348C,1FTNS24W48DB49252,2008,11/13/2012 08:00:00 AM +0000
B90335,5315186,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T514768C,1FTNE24W69DA13259,2009,12/01/2012 08:00:00 AM +0000
B90335,5344640,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T527573C,1FTNS24W39DA38290,2009,09/29/2013 07:00:00 AM +0000
B90335,5405106,CHRISTIAN AMBULETTE INC,Paratransit Vehicle,T612257C,1FTNE2EW2BDA78551,2011,07/08/2013 07:00:00 AM +0000
B90336,,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,T439743C,1FTNS24L73HB06077,2003,06/30/2012 07:00:00 AM +0000
B90336,,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,T443505C,1FMNE11W87DA63376,2007,06/30/2013 07:00:00 AM +0000
B90336,,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,71223LA,1FTNE2EW7BDA42452,2011,02/03/2013 08:00:00 AM +0000
B90336,,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,39440LA,1FTNE24W39DA91434,2009,01/08/2012 08:00:00 AM +0000
B90336,,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,31147LA,1FTNE2EW8BDA21268,2011,01/15/2013 08:00:00 AM +0000
B90336,,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,31159LA,1FBSS31L76DA18594,2006,06/18/2013 07:00:00 AM +0000
B90336,5020803,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,71162LA,2B5WB35Y71K538868,2001,10/08/2011 07:00:00 AM +0000
B90336,5096458,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,24507LA,1FTNE24262HA17808,2002,10/29/2011 07:00:00 AM +0000
B90336,5129884,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,19565LA,1FTNE2EWXBDA04245,2011,12/05/2012 08:00:00 AM +0000
B90336,5169631,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,39818LA,1FTNE2EW7ADA30557,2010,04/30/2012 07:00:00 AM +0000
B90336,5176879,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,34589LA,1FBNE31L88DB43773,2008,07/30/2012 07:00:00 AM +0000
B90336,5241689,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,62856LA,1FBNE31L56DA20252,2006,10/12/2012 07:00:00 AM +0000
B90336,5323880,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,71009LA,1FBNE31L68DB00422,2008,02/23/2013 08:00:00 AM +0000
B90336,5379850,TRI COUNTY AMBULETTE SERVICE INC,Paratransit Vehicle,74919LA,1FTNE2EW9BDA01918,2011,10/29/2012 07:00:00 AM +0000
B90342,,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T523498C,1FTNE24W18DB49247,2008,12/02/2011 08:00:00 AM +0000
B90342,,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T431392C,1FTNE24W07DA70649,2007,04/09/2012 07:00:00 AM +0000
B90342,5243910,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T486938C,1FTNE24W36DB17946,2006,11/09/2012 08:00:00 AM +0000
B90342,5308325,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T509971C,1FTNS24W88DB57502,2008,09/22/2012 07:00:00 AM +0000
B90342,5323195,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T606587C,1FTNE24W49DA25507,2009,02/23/2013 08:00:00 AM +0000
B90342,5345147,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T506254C,1FTNE24W69DA37433,2009,10/07/2011 07:00:00 AM +0000
B90342,5366479,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T522849C,1FTNE2EW2ADA56760,2010,06/10/2012 07:00:00 AM +0000
B90342,5366946,RAINBOW AMBULETTE SERVICE INC,Paratransit Vehicle,T600813C,1FTNE2EW7ADA64076,2010,06/18/2012 07:00:00 AM +0000
B90345,,FLUSHING MEDICAL AMBULETTE INC,Paratransit Vehicle,T455519C,1FTNE24W07DB40599,2007,05/02/2012 07:00:00 AM +0000
B90345,5073868,FLUSHING MEDICAL AMBULETTE INC,Paratransit Vehicle,T463029C,1FBNE31L17DB15361,2007,03/08/2013 08:00:00 AM +0000
B90345,5260918,FLUSHING MEDICAL AMBULETTE INC,Paratransit Vehicle,T524656C,1FBNE31L76HA16244,2006,04/27/2013 07:00:00 AM +0000
B90346,5377196,EVENFLOW TRANSPORTATION INC,Paratransit Vehicle,65285LA,1FTNE24W56DB14823,2006,10/04/2012 07:00:00 AM +0000
B90348,5236556,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T485904C,1FBNE31L63HA36500,2003,08/14/2012 07:00:00 AM +0000
B90348,5237151,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T485840C,2D8HN44H38R127503,2008,08/18/2012 07:00:00 AM +0000
B90348,5380805,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T604919C,WD5PD644445631444,2004,11/17/2012 08:00:00 AM +0000
B90348,5382162,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T601559C,WD2PD644345696993,2004,12/07/2012 08:00:00 AM +0000
B90348,5383500,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T604914C,1FTNE24203HB73926,2003,12/20/2012 08:00:00 AM +0000
B90348,5384239,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T605004C,1FMRE11W03HA59844,2003,12/21/2012 08:00:00 AM +0000
B90348,5384710,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T604986C,1FTNE24223HA44389,2003,12/30/2012 08:00:00 AM +0000
B90348,5384713,CITICOACH INC DBA TRIPWAY SERVICES,Paratransit Vehicle,T604987C,1FTNE242X3HB67650,2003,12/30/2012 08:00:00 AM +0000
B90349,5256069,TWINS AMBULETTE SERVICE INC,Paratransit Vehicle,T477207C,1FTNS24WO7DA27339,2007,03/16/2013 07:00:00 AM +0000
B90349,5261110,TWINS AMBULETTE SERVICE INC,Paratransit Vehicle,T493880C,1FTNS24W77DA27340,2007,05/01/2013 07:00:00 AM +0000
B90349,5292701,TWINS AMBULETTE SERVICE INC,Paratransit Vehicle,T508792C,1FTSS34L88DA72514,2008,04/02/2012 07:00:00 AM +0000
B90349,5358928,TWINS AMBULETTE SERVICE INC,Paratransit Vehicle,T525629C,1FTNS2EW3ADA25154,2010,03/24/2012 07:00:00 AM +0000
