GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN PROGRAM / GRADE / SUBJECT
09-12,GEN ED / CTT,SCIENCE,-,>34,378,14311,4%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,<15,732,8869,3%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,15,192,2880,1%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,16,225,3600,1%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,17,240,4080,1%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,18,257,4626,1%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,19,271,5149,2%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,20,318,6360,2%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,21,390,8190,3%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,22,402,8844,3%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,23,453,10419,3%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,24,464,11136,3%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,25,549,13725,4%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,26,536,13936,4%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,27,565,15255,5%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,28,603,16884,5%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,29,580,16820,5%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,30,656,19680,6%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,31,715,22165,7%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,32,914,29248,9%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,33,1171,38643,12%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,34,1569,53346,16%
09-12,GEN ED / CTT,SOCIAL STUDIES,-,>34,367,13625,4%
09-12,SPEC ED,ENGLISH,-,<6,19,95,1%
09-12,SPEC ED,ENGLISH,-,6,33,198,2%
09-12,SPEC ED,ENGLISH,-,7,35,245,2%
09-12,SPEC ED,ENGLISH,-,8,33,264,2%
09-12,SPEC ED,ENGLISH,-,9,40,360,3%
09-12,SPEC ED,ENGLISH,-,10,128,1280,12%
09-12,SPEC ED,ENGLISH,-,11,147,1617,15%
09-12,SPEC ED,ENGLISH,-,12,129,1548,14%
09-12,SPEC ED,ENGLISH,-,13,84,1092,10%
09-12,SPEC ED,ENGLISH,-,14,108,1512,14%
09-12,SPEC ED,ENGLISH,-,15,101,1515,14%
09-12,SPEC ED,ENGLISH,-,>15,72,1216,11%
09-12,SPEC ED,MATH,-,<6,10,50,1%
09-12,SPEC ED,MATH,-,6,13,78,1%
09-12,SPEC ED,MATH,-,7,11,77,1%
09-12,SPEC ED,MATH,-,8,13,104,2%
09-12,SPEC ED,MATH,-,9,28,252,4%
09-12,SPEC ED,MATH,-,10,56,560,9%
09-12,SPEC ED,MATH,-,11,67,737,11%
09-12,SPEC ED,MATH,-,12,61,732,11%
09-12,SPEC ED,MATH,-,13,60,780,12%
09-12,SPEC ED,MATH,-,14,71,994,15%
09-12,SPEC ED,MATH,-,15,66,990,15%
09-12,SPEC ED,MATH,-,>15,67,1119,17%
09-12,SPEC ED,SCIENCE,-,<6,10,50,1%
09-12,SPEC ED,SCIENCE,-,6,15,90,1%
09-12,SPEC ED,SCIENCE,-,7,11,77,1%
09-12,SPEC ED,SCIENCE,-,8,17,136,2%
09-12,SPEC ED,SCIENCE,-,9,34,306,3%
09-12,SPEC ED,SCIENCE,-,10,69,690,8%
09-12,SPEC ED,SCIENCE,-,11,72,792,9%
09-12,SPEC ED,SCIENCE,-,12,82,984,11%
09-12,SPEC ED,SCIENCE,-,13,78,1014,12%
09-12,SPEC ED,SCIENCE,-,14,94,1316,15%
09-12,SPEC ED,SCIENCE,-,15,107,1605,18%
09-12,SPEC ED,SCIENCE,-,>15,103,1749,20%
09-12,SPEC ED,SOCIAL STUDIES,-,<6,13,65,1%
09-12,SPEC ED,SOCIAL STUDIES,-,6,18,108,1%
09-12,SPEC ED,SOCIAL STUDIES,-,7,28,196,2%
09-12,SPEC ED,SOCIAL STUDIES,-,8,23,184,2%
09-12,SPEC ED,SOCIAL STUDIES,-,9,20,180,2%
09-12,SPEC ED,SOCIAL STUDIES,-,10,69,690,8%
09-12,SPEC ED,SOCIAL STUDIES,-,11,77,847,10%
09-12,SPEC ED,SOCIAL STUDIES,-,12,72,864,10%
09-12,SPEC ED,SOCIAL STUDIES,-,13,90,1170,13%
09-12,SPEC ED,SOCIAL STUDIES,-,14,122,1708,20%
09-12,SPEC ED,SOCIAL STUDIES,-,15,87,1305,15%
09-12,SPEC ED,SOCIAL STUDIES,-,>15,78,1359,16%
