PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,Out of School Time,P.S. 207 ELIZABETH LEARY SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 533-3724,Elementary,"4011 FILLMORE AVENUE
11234
(40.61332118950059, -73.93021763461188)"
After-School Programs,Out of School Time,P.S. 251 PAERDERGAT SCHOOL,Brooklyn,Bergen Beach Youth Organization,(917) 538-5567,Elementary,"1037 54 STREET
11234
(40.632727305191274, -73.92441868097725)"
After-School Programs,Out of School Time,Five Block Day Care,Brooklyn,Big Five Block Association Inc.,(718) 363-3211,Elementary,"995 Carroll Street
11225
(40.66769247002584, -73.95724271918701)"
After-School Programs,Out of School Time,Bnos Zion of Bobov,Brooklyn,"Bnos Zion of Bobov, Inc",(718) 438-3080,High School,"5000 14th Avenue
11219
(40.63315906380612, -73.99053337012016)"
After-School Programs,Out of School Time,MIDDLE SCHOOL FOR ACADEMIC AN,Brooklyn,Brooklyn Bureau of Community Services,(646) 369-9430,Middle School,"1224 Park Place
11213
(40.67268717852895, -73.93695770187597)"
After-School Programs,Out of School Time,P.S. 149 THE DANNY KAYE SCHOOL,Brooklyn,Brooklyn Bureau of Community Services,(347) 834-3097,Elementary,"700 Sutter Avenue
11207
(40.66970225633965, -73.89280888588948)"
After-School Programs,Out of School Time,P.S. 306 ETHAN ALLEN SCHOOL,Brooklyn,Brooklyn Bureau of Community Services,(718) 649-4119,Elementary,"970 Vermont Street
11207
(40.65614802525013, -73.88669548652338)"
After-School Programs,Out of School Time,P.S./I.S. 174 DUMONT SCHOOL,Brooklyn,Brooklyn Bureau of Community Services,(347) 834-3096,Elementary,"574 Dumont Avenue
11207
(40.66577032375418, -73.89773145486369)"
After-School Programs,Out of School Time,Brooklyn Children's Museum,Brooklyn,Brooklyn Childrens Museum,(718) 735-4400,High School,"145 Brooklyn Avenue
11213
(40.67487894159613, -73.94442471592419)"
After-School Programs,Out of School Time,P.S. 105 BLYTHEBOURNE SCHOOL,Brooklyn,Brooklyn Chinese American Association,(718) 438-0008,Elementary,"1031 59 STREET
11219
(40.63300376501953, -74.00381336276764)"
After-School Programs,Out of School Time,P.S./I.S. 206 JOSEPH F. LAMB S,Brooklyn,Brooklyn Chinese American Association,(718) 438-0008,Elementary,"2200 Gravesend Neck Road
11229
(40.59733131132104, -73.94898725376065)"
After-School Programs,Out of School Time,Audrey Johnson DCC,Brooklyn,"Bushwick Community Action Association, Inc.",(718) 574-0130,Elementary,"272 Moffat Street
11207
(40.689886536448824, -73.90406091793164)"
After-School Programs,Out of School Time,ACHIEVEMENT FIRST,Brooklyn,CAMBA  ,(718) 774-0762,Elementary,"790 NEW YORK AVENUE
11203
(40.654515065367235, -73.94709707096993)"
After-School Programs,Out of School Time,Beginning With Children 2,Brooklyn,CAMBA  ,(718) 302-2765,Elementary,"11 Bartlett Street
11206
(40.70029200262467, -73.94781240669079)"
After-School Programs,Out of School Time,CPCS,Brooklyn,CAMBA  ,(646) 773-1495,Elementary,"241 Emerson Place
11205
(40.69188956429826, -73.9617786158099)"
After-School Programs,Out of School Time,M.S. 57 THE RON BROWN ACADEMY,Brooklyn,CAMBA  ,(718) 573-2369,Middle School,"125 Stuyvesant Avenue
11221
(40.691184878420714, -73.93365273330902)"
After-School Programs,Out of School Time,MS 587,Brooklyn,CAMBA  ,(718) 773-3343,Middle School,"790 New York Avenue
11203
(40.654515065367235, -73.94709707096993)"
After-School Programs,Out of School Time,P.S. /I.S.298 DR. BETTY SHABAZ,Brooklyn,CAMBA  ,(718) 922-0796,Middle School,"85 Watkins Street
11212
(40.67042776691945, -73.90800436590118)"
After-School Programs,Out of School Time,P.S. /I.S.298 DR. BETTY SHABAZ,Brooklyn,CAMBA  ,(718) 922-0796,Elementary,"85 Watkins Street
11212
(40.67042776691945, -73.90800436590118)"
After-School Programs,Out of School Time,P.S. 139 ALEXINE A. FENTY SCHOOL,Brooklyn,CAMBA  ,(718) 693-3825,Elementary,"330 Rugby Road
11226
(40.64170137604277, -73.96550752931893)"
After-School Programs,Out of School Time,P.S. 170 LEXINGTON SCHOOL,Brooklyn,CAMBA  ,(718) 921-2486,Elementary,"7109 6th Avenue
11209
(40.63083813777625, -74.019093990101)"
After-School Programs,Out of School Time,P.S. 249 CATON SCHOOL,Brooklyn,CAMBA  ,(347) 581-4662,Elementary,"18 Marlborough Road
11226
(40.649842155595174, -73.96609617601914)"
After-School Programs,Out of School Time,P.S. 269 NOSTRAND SCHOOL,Brooklyn,CAMBA  ,(718) 462-2597,Elementary,"1957 Nostrand Avenue
11210
(40.637924792990376, -73.94816819471524)"
After-School Programs,Out of School Time,P.S. 92 ADRIAN HEGEMAN,Brooklyn,CAMBA  ,(718) 287-1216,Elementary,"601 Parkside Avenue
11226
(40.656089905688894, -73.95336364878716)"
After-School Programs,Out of School Time,PS/IS 25-Eubie Blake (ES),Brooklyn,CAMBA  ,(718) 573-7593,Elementary,"787 Lafayette Avenue
11221
(40.691050099236115, -73.94139499953165)"
After-School Programs,Out of School Time,PS 25-Eubie Blake (MS),Brooklyn,CAMBA  ,(718) 573-7593,Middle School,"787 Lafayette Avenue
11221
(40.691050099236115, -73.94139499953165)"
After-School Programs,Out of School Time,P.S. 106 EDWARD EVERETT HALE S,Brooklyn,"Catholic Charities Neighborhood Services, Inc.",(718) 574-0260,Elementary,"1314 Putnam Avenue
11221
(40.693393885315906, -73.91349811472213)"
After-School Programs,Out of School Time,CBEDC,Brooklyn,Central Brooklyn Economic Development Corporation,(347) 678-5229,High School,"444 Thomas S Boyland Street
11212
(40.6698610697227, -73.91375197558355)"
After-School Programs,Out of School Time,I.S. 220 JOHN J. PERSHING SCHOOL,Brooklyn,Chinese American Planning Council,(718) 436-5270,Middle School,"4812 9th Avenue
11220
(40.64083540267695, -74.00045650048278)"
After-School Programs,Out of School Time,P.S. 153 HOMECREST SCHOOL,Brooklyn,Chinese American Planning Council,(718) 627-6373,Elementary,"1970 Homecrest Avenue
11229
(40.601161285820965, -73.95972063455889)"
After-School Programs,Out of School Time,P.S. 123 SUYDAM SCHOOL,Brooklyn,Coalition for Hispanic Family Services,(718) 497-6090,Elementary,"100 Irving Avenue
11237
(40.70363759516685, -73.92256362966303)"
After-School Programs,Out of School Time,P.S. 377 ALEJANDRINA,Brooklyn,Coalition for Hispanic Family Services,(718) 497-6090,Elementary,"200 WOODBINE STREET
11221
(40.693959806319896, -73.91529746155672)"
After-School Programs,Out of School Time,Community Counseling 2,Brooklyn,Community Counseling and Mediation,(718) 230-5100,Elementary,"810 Classon Avenue
11238
(40.67280911068369, -73.96085669029223)"
After-School Programs,Out of School Time,M.S. 584 M.S. 584 - UPPER ACADEMY,Brooklyn,Community Counseling and Mediation,(718) 230-5100,Middle School,"130 Rochester Avenue
11213
(40.67473504534822, -73.92780938945066)"
After-School Programs,Out of School Time,School for Democracy,Brooklyn,Community Counseling and Mediation,(718) 230-5100,Middle School,"600 Kingston Avenue
11203
(40.65842083126725, -73.94242794666333)"
After-School Programs,Out of School Time,THE SCHOOL FOR HUMAN RIGHTS,Brooklyn,Community Counseling and Mediation,(718) 230-5100,Middle School,"600 Kingston Avenue
floor 11203
(40.65842083126725, -73.94242794666333)"
After-School Programs,Out of School Time,Franklin K. Lane,Brooklyn,Cypress Hills Local Development Corporation,(718) 235-1521,High School,"999 Jamaica Avenue
11208
(40.6907285274162, -73.87016567362916)"
After-School Programs,Out of School Time,I.S. 171 ABRAHAM LINCOLN SCHOOL,Brooklyn,Cypress Hills Local Development Corporation,(718) 235-1028,Middle School,"528 Ridgewood Avenue
11208
(40.6861530810444, -73.86966791838911)"
After-School Programs,Out of School Time,P.S. 65 LITTLE RED SCHOOL HOUSE,Brooklyn,Cypress Hills Local Development Corporation,(718) 715-8605,Elementary,"158 Richmond Street
11208
(40.68363163256543, -73.8769624032958)"
After-School Programs,Out of School Time,P.S. 7 ABRAHAM LINCOLN SCHOOL,Brooklyn,Cypress Hills Local Development Corporation,(718) 235-2345,Elementary,"858 JAMAICA AVENUE
11208
(40.68945007691858, -73.87362761331627)"
After-School Programs,Out of School Time,P.S./I.S. 89 CYPRESS HILLS COM,Brooklyn,Cypress Hills Local Development Corporation,(718) 277-3522,Elementary,"350 Linwood Street
11208
(40.67705035241505, -73.88343568072109)"
After-School Programs,Out of School Time,P.S. 307 PS 307 DANIEL HALE WI,Brooklyn,"Directions For Our Youth, Inc.",(646) 592-0754,Elementary,"209 YORK STREET
11201
(40.70138468597, -73.98263272858495)"
After-School Programs,Out of School Time,Edith & Carl Marks HS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,High School,"7802 Bay Parkway
11214
(40.606424326705934, -73.98919274272059)"
After-School Programs,Out of School Time,Edith & Carl Marks MS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,Middle School,"7802 Bay Parkway
11214
(40.606424326705934, -73.98919274272059)"
After-School Programs,Out of School Time,Edith & Carl Marks PS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,Elementary,"7802 Bay Parkway
11214
(40.606424326705934, -73.98919274272059)"
After-School Programs,Out of School Time,El Puente,Brooklyn,El Puente De Williamsburg,(718) 452-0404,High School,"311 Central Avenue
11221
(40.69532780905247, -73.92024912684226)"
After-School Programs,Out of School Time,P.S. 135 SHELDON BROOKNER SCHOOL,Brooklyn,Episcopal Social Services,(718) 282-3143,Elementary,"684 Linden Blvd
11203
(40.65357812334444, -73.93311810571299)"
After-School Programs,Out of School Time,P.S. 48 MAPLETON SCHOOL,Brooklyn,Federation of Italian-American Organizations of Brooklyn,(718) 236-3187,Elementary,"6015 18th Avenue
11204
(40.62190642143249, -73.98733141488701)"
After-School Programs,Out of School Time,Flatbush Action,Brooklyn,"Flatbush Action Community Day Care Center, Inc.",(718) 693-9891,Elementary,"525 Parkside Avenue
11226
(40.65593522207682, -73.95583337125662)"
After-School Programs,Out of School Time,I.S. 62 DITMAS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 941-5450,Middle School,"700 Cortelyou Road
11218
(40.63865067633715, -73.97177772377684)"
After-School Programs,Out of School Time,P.S. 217 COL. DAVID MARCUS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 859-3800,High School,"1100 Newkirk Avenue
11230
(40.63396096439908, -73.96650550631493)"
After-School Programs,Out of School Time,P.S. 217 COL. DAVID MARCUS SCHOOL,Brooklyn,Flatbush Development Corporation,(718) 859-3800,Elementary,"1100 NEWKIRK AVENUE
11230
(40.63396096439908, -73.96650550631493)"
After-School Programs,Out of School Time,Young Minds,Brooklyn,"Fort Green Senior Citizen Council, Inc.",(718) 622-8622,Elementary,"972 Fulton Street
11238
(40.682453546645995, -73.96206346430021)"
After-School Programs,Out of School Time,Friends of Crown Hgts,Brooklyn,Friends of Crown Heights Educational Center,(718) 467-4270,Elementary,"36 Ford Street
11213
(40.66504895469436, -73.92934579457828)"
After-School Programs,Out of School Time,Friends Ed Center,Brooklyn,Friends of Crown Heights Educational Center,(718) 638-8686,Elementary,"671 Prospect Place
11216
(40.67466186438006, -73.95443811391101)"
After-School Programs,Out of School Time,P.S. 22 P.S. 22,Brooklyn,Friends of Crown Heights Educational Center,(718) 638-8686,Elementary,"443 St Marks Avenue
11238
(40.67672913304789, -73.95973750039698)"
After-School Programs,Out of School Time,P.S. 221 THE TOUSSAINT L'OUVER,Brooklyn,Friends of Crown Heights Educational Center,(718) 467-4270,Elementary,"791 Empire Boulevard
11213
(40.663684048666546, -73.93536510198723)"
After-School Programs,Out of School Time,George Conliffe Center,Brooklyn,George C. Conliffe Child Care Center,(718) 778-1498,Elementary,"1435 Prospect Place
11213
(40.673180023836466, -73.92887920559829)"
After-School Programs,Out of School Time,Canarsie HS,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"1600 Rockaway Parkway
11236
(40.64078389170152, -73.89750860330521)"
After-School Programs,Out of School Time,H.S. 528 HIGH SCHOOL FOR GLOBA,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"883 Classon Avenue
11225
(40.67045865769921, -73.96162827573441)"
After-School Programs,Out of School Time,High School for Public Service,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"600 Kingston Avenue
11203
(40.65842083126725, -73.94242794666333)"
After-School Programs,Out of School Time,School International Studies,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"284 Baltic St
11201
(40.685418797482455, -73.99339007578581)"
After-School Programs,Out of School Time,South Shore HS,Brooklyn,"Global Kids, Inc.",(212) 226-0130,High School,"6565 Flatlands Avenue
11236
(40.63268510415105, -73.91781691770764)"
After-School Programs,Out of School Time,P.S. 32 SAMUEL MILLS SPROLE,Brooklyn,Good Shepherd Services,(718) 625-5876,Elementary,"317 Hoyt Street
11231
(40.680429275762485, -73.99193273420018)"
After-School Programs,Out of School Time,P.S. 32 SAMUEL MILLS SPROLE SC,Brooklyn,Good Shepherd Services,(718) 625-5876,Middle School,"317 Hoyt Street
11231
(40.680429275762485, -73.99193273420018)"
After-School Programs,Out of School Time,P.S./I.S. 27 AGNES Y. HUMPHREY,Brooklyn,Good Shepherd Services,(718) 222-9561,Middle School,"27 Huntington Street
11231
(40.677570464913735, -74.00509535680479)"
After-School Programs,Out of School Time,PS 27 AGNES Y. HUMPHREY,Brooklyn,Good Shepherd Services,(718) 222-9561,Elementary,"27 Huntington Street
11231
(40.677570464913735, -74.00509535680479)"
After-School Programs,Out of School Time,Groundwork for Success (GWS),Brooklyn,Groundwork Inc.,(718) 346-2200,High School,"692 Blake Avenue
11207
(40.66806816399369, -73.89316364355952)"
After-School Programs,Out of School Time,I.S. 292 MARGARET S. DOUGLAS S,Brooklyn,Groundwork Inc.,(718) 346-2200,Middle School,"300 Wyona Street
11207
(40.67148750548741, -73.89288114787357)"
After-School Programs,Out of School Time,P.S. 149 THE DANNY KAYE SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,Elementary,"700 Sutter Avenue
11207
(40.66970225633965, -73.89280888588948)"
After-School Programs,Out of School Time,P.S. 260 BREUCKELEN SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,Middle School,"875 Williams Avenue
11207
(40.65401673691302, -73.8948296599744)"
After-School Programs,Out of School Time,P.S. 260 BREUCKELEN SCHOOL,Brooklyn,Groundwork Inc.,(718) 346-2200,Elementary,"875 Williams Avenue
11207
(40.65401673691302, -73.8948296599744)"
After-School Programs,Out of School Time,P.S./I.S. 328 PHILLIS WHEATLEY,Brooklyn,Groundwork Inc.,(718) 346-2200,Elementary,"330 Alabama Avenue
11207
(40.668138271519794, -73.89786239243736)"
After-School Programs,Out of School Time,P.S./I.S. 328 PHILLIS WHEATLEY,Brooklyn,Groundwork Inc.,(718) 346-2200,Middle School,"330 Alabama Avenue
11207
(40.668138271519794, -73.89786239243736)"
After-School Programs,Out of School Time,Haitian American (Sterling pl),Brooklyn,Haitian American ,(718) 771-3800,Elementary,"813 Sterling Place
11216
(40.67262704190394, -73.9515915849371)"
After-School Programs,Out of School Time,Haitian American (Bedford Ave),Brooklyn,Haitian American ,(718) 756-0253,Elementary,"1491 Bedford Avenue
11216
(40.67197664330096, -73.95456243184267)"
After-School Programs,Out of School Time,P.S. 102 BAY VIEW SCHOOL,Brooklyn,Heartshare Human Services,(718) 567-2365,Elementary,"211 72nd Street
11209
(40.634115356513746, -74.02934312422015)"
After-School Programs,Out of School Time,Hope City Center,Brooklyn,Hope City Empowerment Center,(718) 857-5698,High School,"650 656 Washington Avenue
11238
(40.67886241346963, -73.9638204696389)"
After-School Programs,Out of School Time,Westinghouse,Brooklyn,"Imani House, Inc.",(718) 638-2059,High School,"105 Tech Place
11201
(40.69495431401427, -73.98612697408738)"
After-School Programs,Out of School Time,P.S. 282 PARK SLOPE SCHOOL,Brooklyn,"Imani House, Inc.",(718) 638-2059,Elementary,"180 6th Avenue
11217
(40.67632526670562, -73.9773770208426)"
After-School Programs,Out of School Time,Italian American Civil,Brooklyn,Italian American Civil Rights League (Italian American Civil,(718) 642-2180,High School,"1460 Pennsylvania Avenue
11239
(40.64607779528712, -73.87995018190169)"
After-School Programs,Out of School Time,Legal Outreach Bklyn 2,Brooklyn,"Legal Outreach, Inc",(718) 797-3396,High School,"157 Montague Street
11201
(40.69450911526796, -73.99315441100096)"
After-School Programs,Out of School Time,I.S. 113 RONALD EDMONDS SCHOOL,Brooklyn,Long Island University,(718) 488-1514,Middle School,"300 Adelphi Street
11205
(40.68873368033439, -73.97100925264802)"
After-School Programs,Out of School Time,Flatbush Club (middle school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,Middle School,"2245 Bedford Avenue
11226
(40.649137318601, -73.95576055063657)"
After-School Programs,Out of School Time,Flatbush Club (high school),Brooklyn,Madison Square Boys & Girls Club,(718) 462-6100,High School,"2245 Bedford Avenue
11226
(40.649137318601, -73.95576055063657)"
After-School Programs,Out of School Time,Navy Yard,Brooklyn,Madison Square Boys & Girls Club,(718) 625-4295,Middle School,"240 Nassau Street
11201
(40.69827431074715, -73.98164084395302)"
After-School Programs,Out of School Time,Edward R. Murrow HS,Brooklyn,Midwood Development Corporation,(718) 859-3011,High School,"1600 Avenue
L 11230
(40.62192951023877, -73.96551106018723)"
After-School Programs,Out of School Time,P.S. 193 GIL HODGES SCHOOL,Brooklyn,Midwood Development Corporation,(718) 859-3011,Elementary,"2515 Avenue
L 11210
(40.62772226387142, -73.946537919989)"
After-School Programs,Out of School Time,P.S. 197 P.S. 197,Brooklyn,Midwood Development Corporation,(718) 859-3011,Elementary,"1599 22nd Street
11210
(40.6126141079256, -73.95187917052758)"
After-School Programs,Out of School Time,P.S. 24,Brooklyn,"Morningside Center for Teaching Social Responsibility, Inc.",(718) 832-5858,Elementary,"427 38 STREET
11232
(40.65280571732812, -74.00489576331948)"
After-School Programs,Out of School Time,New Life Child Develop. #2,Brooklyn,New Life Child Development Corporation,(718) 417-4206,Elementary,"408 Grove Street
11237
(40.70094816625463, -73.91310671514502)"
After-School Programs,Out of School Time,New Life Child Develop.,Brooklyn,New Life Child Development Corporation,(718) 821-3432,Elementary,"295 Woodbine Street
11237
(40.69627389127429, -73.91311852363937)"
After-School Programs,Out of School Time,P.S. 215 MORRIS H. WEISS SCHOOL,Brooklyn,New York Junior Tennis League,(718) 645-1907,Elementary,"415 AVENUE
11223
(40.596939623165156, -73.97331147204676)"
After-School Programs,Out of School Time,P.S. 250,Brooklyn,New York Junior Tennis League,(367) 405-6196,Elementary,"108 Montrose Avenue
11206
(40.7070926243667, -73.94538480080982)"
After-School Programs,Out of School Time,P.S. 346 ABE STARK SCHOOL,Brooklyn,New York Junior Tennis League,(718) 642-6538,Elementary,"1400 Pennsylvania Ave
11239
(40.64752174991216, -73.88154676244247)"
After-School Programs,Out of School Time,P.S. 110 MONITOR SCHOOL,Brooklyn,North Brooklyn Development Corp,(718) 501-2861,Elementary,"124 Monitor Street
11222
(40.723642548516075, -73.94223625609604)"
After-School Programs,Out of School Time,I.S. 218 JAMES PETER SINNOTT M,Brooklyn,"Police Athletic League, Inc.",(718) 277-1928,Elementary,"370 FOUNTAIN AVENUE
11208
(40.67070199017694, -73.8742292684109)"
After-School Programs,Out of School Time,Nazareth Regional HS,Brooklyn,"Police Athletic League, Inc.",(718) 763-1100,High School,"475 57th Street
11203
(40.64428283918295, -73.92276595804525)"
After-School Programs,Out of School Time,PAL Miccio Center,Brooklyn,"Police Athletic League, Inc.",(718) 243-1528,High School,"110 9th Street
11231
(40.67578212491029, -74.0015232923829)"
After-School Programs,Out of School Time,PAL-Wynn Center,Brooklyn,"Police Athletic League, Inc.",(718) 230-8477,Elementary,"495 Gates Avenue
11221
(40.69128803951145, -73.92761792792498)"
After-School Programs,Out of School Time,P.S. 86 IRVINGTON SCHOOL,Brooklyn,Ridgewood Bushwick Senior Citizens Council,(718) 381-9653,Elementary,"220 Irving Avenue
11237
(40.7007452458598, -73.91749723727719)"
After-School Programs,Out of School Time,Ridgwood Bushwick,Brooklyn,Ridgewood Bushwick Senior Citizens Council,(718) 381-9653,Elementary,"1474 Gates Avenue
11237
(40.69784030864716, -73.91383248246076)"
After-School Programs,Out of School Time,P.S. 34 OLIVER H. PERRY SCHOOL,Brooklyn,School Settlement,(718) 599-9224,Elementary,"131 NORMAN AVENUE
11222
(40.72614326106391, -73.94966946764082)"
After-School Programs,Out of School Time,School Settlment,Brooklyn,School Settlement,(718) 389-1810,Elementary,"120 Jackson Street
11211
(40.71644266097583, -73.9465632916115)"
After-School Programs,Out of School Time,I.S. 311 ESSENCE SCHOOL,Brooklyn,SCO Family of Services,(718) 485-5130,Middle School,"590 SHEFFIELD AVENUE
11207
(40.66233878188243, -73.89448660618348)"
After-School Programs,Out of School Time,P.S. 1 P.S. 1 - BERGEN SCHOOL,Brooklyn,SCO Family of Services,(718) 492-2619,Elementary,"309 47 Street
11220
(40.64919427766737, -74.01249722815565)"
After-School Programs,Out of School Time,P.S. 5 DR. RONALD MCNAIR SCHOOL,Brooklyn,SCO Family of Services,(718) 443-8527,Elementary,"820 HANCOCK STREET
11233
(40.68566371434021, -73.92264902406154)"
After-School Programs,Out of School Time,P.S. 506,Brooklyn,SCO Family of Services,(718) 439-5986,Elementary,"330 59 STREET
11220
(40.64220161479856, -74.0191758017247)"
After-School Programs,Out of School Time,P.S. 81 THADDEUS STEVENS SCHOOL,Brooklyn,SCO Family of Services,(718) 602-6082,Elementary,"990 DEKALB AVENUE
11221
(40.693145808720686, -73.93569936432992)"
After-School Programs,Out of School Time,Sephardic Center,Brooklyn,Sephardic Community Center,(718) 954-3145,Middle School,"1901 Ocean Parkway
11223
(40.60242733613855, -73.96603727140914)"
After-School Programs,Out of School Time,I.S. 232 WINTHROP SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,High School,"905 Winthrop Street
11203
(40.65845142217417, -73.92913135988232)"
After-School Programs,Out of School Time,I.S. 68 ISAAC BILDERSEE SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,High School,"956 82nd Street
11236
(40.63549167783704, -73.91076105116055)"
After-School Programs,Out of School Time,I.S. 68 ISAAC BILDERSEE SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 241-3847,Middle School,"956 82nd Street
11236
(40.63549167783704, -73.91076105116055)"
After-School Programs,Out of School Time,I.S. 68 ISAAC BILDERSEE SCHOOL,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,Elementary,"956 82nd Street
11236
(40.63549167783704, -73.91076105116055)"
After-School Programs,Out of School Time,Sesame Flyers Int.,Brooklyn,"Sesame Flyers International, Inc.",(718) 693-0500,High School,"3510 Church Avenue
11203
(40.65104606617694, -73.9446401676269)"
After-School Programs,Out of School Time,P.S./I.S. 225 EILEEN E. ZAGLIN,Brooklyn,Shorefront YM-YWHA,(347) 274-3417,Elementary,"1075 OCEAN VIEW AVENUE
11235
(40.5797910944251, -73.95643350547934)"
After-School Programs,Out of School Time,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,(718) 646-1444,High School,"3300 Coney Island Avenue
11235
(40.575793969703795, -73.95950745079742)"
After-School Programs,Out of School Time,Brooklyn Collegiate 1,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 922-1145,Middle School,"2240 Dean Street
11233
(40.67485107459574, -73.91346746604879)"
After-School Programs,Out of School Time,Brooklyn Collegiate 2,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 922-1145,High School,"2240 Dean Street
11233
(40.67485107459574, -73.91346746604879)"
After-School Programs,Out of School Time,I.S. 117 FRANCIS SCOTT KEY SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 230-5400,Middle School,"300 Willoughby Avenue
11205
(40.69261081871296, -73.95894653911148)"
After-School Programs,Out of School Time,I.S. 211 JOHN WILSON SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 251-4411,Middle School,"1001 100th Street
11236
(40.64348164485336, -73.89642371322941)"
After-School Programs,Out of School Time,I.S. 252 ARTHUR SOMERS SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 342-1144,Middle School,"1084 Lenox Road
11212
(40.658327698451274, -73.92001930874018)"
After-School Programs,Out of School Time,I.S. 271 JOHN M. COLEMAN SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(617) 877-9744,Middle School,"1137 Herkimer Street
11233
(40.677823649731764, -73.91583166723669)"
After-School Programs,Out of School Time,I.S. 285 MEYER LEVIN SCHOOL,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 451-2200,Middle School,"5909 Beverley Road
11203
(40.64688486664494, -73.92108641463726)"
After-School Programs,Out of School Time,I.S. 318 EUGENIO MARIA DE HOST,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 782-0589,Middle School,"101 Walton Street
11206
(40.702422370537974, -73.94902462531712)"
After-School Programs,Out of School Time,I.S. 49 WILLIAM GAYNOR  INTERM,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 387-7697,Middle School,"223 Graham Avenue
11206
(40.70998826488192, -73.94367132736704)"
After-School Programs,Out of School Time,P.S. 40 GEORGE WASHINGTON,Brooklyn,"Sports and Arts In Schools Foundation, Inc.",(718) 455-9445,Elementary,"265 Ralph Avenue
11233
(40.68047467318116, -73.9222137230748)"
After-School Programs,Out of School Time,PS 371-Special Ed,Brooklyn,St. Francis Xavier Parish,(718) 369-5522,High School,"355 37th Street
11232
(40.654281312449484, -74.00581800251801)"
After-School Programs,Out of School Time,St. Francis Xavier Lyceum,Brooklyn,St. Francis Xavier Parish,(718) 857-4046,High School,"752 President Street
11215
(40.67461115359952, -73.9779603830205)"
After-School Programs,Out of School Time,Beginning With Children 1,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,Middle School,"185 Ellery Street
11206
(40.69888515865406, -73.94514899447063)"
After-School Programs,Out of School Time,Brooklyn Prep,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"257 6th Street
11211
(40.71499093831845, -73.95458415734083)"
After-School Programs,Out of School Time,H.S. 561 WILLIAMSBURG PREPARAT,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"257 6th Street
11211
(40.71499093831845, -73.95458415734083)"
After-School Programs,Out of School Time,HS for Legal Studies,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"850 Grand Street
11211
(40.712157465495466, -73.93973216278714)"
After-School Programs,Out of School Time,HS of EBT,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"850 Grand Street
11211
(40.712157465495466, -73.93973216278714)"
After-School Programs,Out of School Time,J.H.S. 126 JOHN ERICSSON JUNIO,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 388-5585,Middle School,"424 Leonard Street
11222
(40.71966489022842, -73.94857556114229)"
After-School Programs,Out of School Time,P.S. 18 EDWARD BUSH SCHOOL,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,Elementary,"101 MAUJER STREET
11206
(40.71063271323237, -73.9469061703266)"
After-School Programs,Out of School Time,P.S. 19 ROBERTO CLEMENTE SCHOOL,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,Elementary,"325 3rd Street
11211
(40.70963478295815, -73.95454723011949)"
After-School Programs,Out of School Time,Progress HS,Brooklyn,St. Nicholas Neighborhood Preservation Corporation,(718) 599-9224,High School,"850 Grand Street
11211
(40.712157465495466, -73.93973216278714)"
