Business Name,Business Category,Street Address,Phone,Website,Hours Mon - Fri,Hours Sat,Hours Sun,Location 1
Brooklyn Ballet,Nonprofit,160 Schermerhorn Street,718-246-0146,,,,,"160 Schermerhorn Street
Brooklyn, NY 11201
(40.689483146547786, -73.98743542976287)"
Nevins Drugs,Pharmacies,326 Livingston Street,718-422-0100,www.nevinsdrugs.com,9am - 6:30pm,10am - 3pm,Closed,"326 Livingston Street
Brooklyn, NY 11217
(40.6880205712945, -73.98166314739474)"
Rite Aid (Store# 10571),Pharmacies,120 Court Street,718-643-2146,www.riteaid.com,7:30am-10pm,8am - 9pm,9am - 9pm,"120 Court Street
Brooklyn, NY 11201
(40.68998093898361, -73.99225773229819)"
Psychic Answers by Marie,Psychic,304 Livingston Street,718-237-2644,no website ,9am - 10pm,9am - 10pm,9am - 10pm,"304 Livingston Street
Brooklyn, NY 11217
(40.68832142097594, -73.98245082656072)"
Psychic Readings,Psychic,123 Livingston Street,347-529-4164,,,,,"123 Livingston Street
Brooklyn, NY 11201
(40.69088848421326, -73.98889372441363)"
CPEX Realty,Real Estate,350 Livingston Street,718-935-1800,www.cpexre.com,,,,"350 Livingston Street
Brooklyn, NY 11217
(40.6876074709794, -73.9806224759338)"
RE/MAX Metro,Real Estate,85 Livingston Street,718-243-2999,www.remax-metro-brooklyn-ny.com,,,,"85 Livingston Street
Brooklyn, NY 11201
(40.691487621155595, -73.99094525123202)"
H&R Block,Tax Services,287 Livingston Street,718-625-1988,www.hrblock.com,,,,"287 Livingston Street
Brooklyn, NY 11217
(40.68827807701589, -73.98217662746372)"
Jackson Hewitt,Tax Services,364 Livingston Street,877-580-1040,www.jacksonhewitt.com,9am - 9pm,9am - 9pm,9am - 7pm,"364 Livingston Street
Brooklyn, NY 11217
(40.68750052377143, -73.98034442921409)"
Liberty Tax Service,Tax Services,306 Livingston Street,718-855-2311,www.libertytax.xom,M-W Appt.; F 10am - 6pm,Closed,Closed,"306 Livingston Street
Brooklyn, NY 11217
(40.68829407100651, -73.98237921936803)"
National Tax Service,Tax Services,322 Livingston Street,718-855-0780,,,,,"322 Livingston Street
Brooklyn, NY 11217
(40.688075271251094, -73.98180636182654)"
R&G Brenner Tax Consultants,Tax Services,206 Livingston Street,718-596-1188,www.rgbrenner.com,,,,"206 Livingston Street
Brooklyn, NY 11201
(40.68964544631397, -73.98587721241563)"
AVIS Car Rental,Transportation,211 Atlantic Avenue,718-858-4787,,7am - 9pm,7am - 3pm,7am - 9pm,"211 Atlantic Avenue
Brooklyn, NY 11201
(40.68970507292447, -73.99232924357278)"
Central Parking,Transportation,300 Livingston Street,718-852-7317,,6am - 11pm,6am - 11pm,10am - 7pm,"300 Livingston Street
Brooklyn, NY 11201
(40.688773069374214, -73.98361946383793)"
Edison Park Fast,Transportation,160 Livingston Street,718-403-0046,,,,,"160 Livingston Street
Brooklyn, NY 11201
(40.69037314658201, -73.98773115496718)"
Edison Park Fast,Transportation,134 Schermerhorn Street,718-246-0367,,,,,"134 Schermerhorn Street
Brooklyn, NY 11201
(40.6898748347585, -73.98841488496893)"
Enterprise Rental Car,Transportation,290 Livingston Street,718-488-8800,www.enterprise.com,7:30am - 6pm,9am - Noon,Closed,"290 Livingston Street
Brooklyn, NY 11217
(40.68851624791346, -73.98295707793154)"
GGMC Parking,Transportation,66 Boerum Place,718-802-0610,,6am - 12am,8am - 8pm,8am - 8pm,"66 Boerum Place
Brooklyn, NY 11201
(40.68958188641566, -73.99041687184642)"
GGMC Parking,Transportation,189 Schermerhorn Street,,,24 hours,24 hours,24 hours,"189 Schermerhorn Street
Brooklyn, NY 11201
(40.68914843493603, -73.98640947122978)"
Greyhound Brooklyn,Transportation,288 Livingston Street,(718) 222-8470,www.greyhound.com,8:30am - 7:30pm,8:30am - 7:30pm,8:30am - 7:30pm,"288 Livingston Street
Brooklyn, NY 11217
(40.68854545134911, -73.98303239205505)"
Park Kwik,Transportation,211 Atlantic Avenue,718-858-9356,,,,,"211 Atlantic Avenue
Brooklyn, NY 11201
(40.68970507292447, -73.99232924357278)"
Campos Brokerage & Travel,Travel,"30 Nevins Street, 2nd Floor",718-834-0231,,10am - 6pm,By appointment,closed,"30 Nevins Street
Brooklyn, NY 11217
(40.687941266684575, -73.98143780845336)"
Zap Wine & Spirits,Wine & Spirits,105 Court Street,718-643-3395,www.zapwine.com,F 8am - 10:30pm; 8am - 9:30pm,10am - 10:30pm,12pm - 8pm,"105 Court Street
Brooklyn, NY 11201
(40.69083358302672, -73.9917782688907)"
