Application #,Organization,Total Final Award
FY12-AN-008258,Latin Jazz Coalition,"5,325"
FY12-RN-009892,"Latino International Theater Festival of New York, Inc.","67,775"
FY12-AN-007302,"Laundromat Project, Inc.","5,325"
FY12-AN-007679,League of Composers,"5,325"
FY12-MY-006967,"Learning Leaders, Inc.","5,325"
FY12-MY-007106,"Learning Through an Expanded Arts Program, Inc.","15,975"
FY12-AN-006399,"Legros Cultural Arts, Inc.","3,500"
FY12-RN-009596,Lehman College Art Gallery,"31,625"
FY12-MY-006481,"Lehman College Center for the Performing Arts, Inc.","106,500"
FY12-AN-006471,"Library Action Committee of Corona-East Elmhurst, Inc.","33,315"
FY12-AN-009396,"Light Industry Cinema Projects, Ltd","7,990"
FY12-RN-009633,Lighthouse International,"15,975"
FY12-RN-009674,"Location One, Inc.","15,975"
FY12-AN-007588,"Loco-Motion Dance Theatre for Children, Inc.","5,325"
FY12-AN-007208,"Look & Listen, Inc.","5,325"
FY12-AN-006383,"Los Pleneros de la 21, Inc.","23,475"
FY12-RN-009649,Lotus Fine Arts Productions Inc.,"18,975"
FY12-RN-009770,Louis Armstrong House,"74,225"
FY12-RN-009768,Lower East Side Girls Club,"26,625"
FY12-RN-009614,"Lower East Side Printshop, Inc.","37,275"
FY12-RN-009711,Lower East Side Tenement Museum,"149,625"
FY12-RN-009820,Lower Manhattan Cultural Council,"699,750"
FY12-MY-009538,"Lubovitch Dance Foundation, Inc.","26,625"
FY12-RN-009808,"Lyric Chamber Music Society of New York, Inc.","15,975"
FY12-RN-009598,"Mabou Mines Development Foundation, Inc.","15,975"
FY12-RN-009688,Madison Square Park Conservancy,"15,975"
FY12-AN-006938,"Magic Box Productions, Inc.","5,325"
FY12-AN-007416,"Maimouna Keita School of African Dance, Inc.","5,325"
FY12-AN-008945,"Make Music New York, Inc.","15,975"
FY12-MY-009198,Make the Road New York,"5,325"
FY12-RN-009622,"Making Books Sing, Inc.","26,625"
FY12-AN-008997,Manhattan Choral Ensemble,"5,325"
FY12-RN-009871,"Manhattan Class Company, Inc.","26,625"
FY12-MY-007279,Manhattan Community Access Corporation,"15,975"
FY12-AN-007578,Manhattan Graphics Center,"5,325"
FY12-RN-009606,"Manhattan New Music Project, Inc.","15,975"
FY12-AN-008857,"Manhattan Sprout, Inc.","7,990"
FY12-RN-009654,"Manhattan Theatre Club, Inc.","62,250"
FY12-AN-008160,"Manna House Workshops, Inc.","13,315"
FY12-AN-007900,Mano a Mano: Mexican Culture Without Borders,"10,650"
FY12-MY-006580,"MAPP International Productions, Inc.","26,625"
FY12-AN-006618,Marie-Christine Giordano Dance Company,"5,325"
FY12-RN-009617,"Marquis Studios, Ltd.","26,625"
FY12-MY-008360,"Martha Graham Center of Contemporary Dance, Inc.","106,500"
FY12-MY-007760,"Martina Arroyo Foundation, Inc.","15,975"
FY12-AN-008858,Mass Transit Street Theater,"13,315"
FY12-MY-008756,"MA-YI Filipino Theatre Ensemble, Inc.","15,975"
FY12-MY-008845,Maysles Institute Inc.,"15,975"
FY12-AN-008164,"Medicine Show Theatre Ensemble, Inc.","5,325"
FY12-AN-008384,"Melodia Women's Choir of NYC, Inc.","13,650"
FY12-RN-009701,Mercantile Library Association of the City of New York,"26,625"
FY12-AN-006622,Metropolis Ensemble Inc,"5,325"
FY12-MY-006408,"Metropolitan Opera Association, Inc.","133,125"
FY12-MY-007319,"Metropolitan Opera Guild, Inc.","26,625"
FY12-RN-009742,"Midori Foundation, Inc.","106,500"
FY12-RN-009610,"Midtown Management Group, Inc.","84,750"
FY12-AN-008657,"Migrating Forms Festival, Inc","7,990"
FY12-AN-008279,"Millennium Film Workshop, Inc.","10,650"
FY12-AN-008738,"Mind to Move, Inc.","5,325"
FY12-MY-008263,Mind-Builders Creative Arts Center,"106,500"
FY12-MY-006390,"Mint Theater Company, Inc.","26,625"
FY12-RN-009888,"Mirror Theatre, Ltd.","15,975"
FY12-AN-008385,Monica Bill Barnes & Company LLC,"5,325"
FY12-AN-006596,Moose Hall Theatre Company,"18,150"
FY12-AN-008216,"More Art, Inc.","10,325"
FY12-AN-007866,"Morris-Jumel Mansion, Inc.","5,325"
FY12-RN-009603,"Movement Research, Inc.","53,250"
FY12-AN-007903,"Moving Theater, Inc.","5,325"
FY12-AN-007457,"Mud Bone Collective, Inc.","10,650"
FY12-RN-009646,Muller Works Foundation,"15,975"
FY12-RN-009715,"Multicultural Music Group, Inc.","26,625"
FY12-RN-009591,Museum for African Art,"183,250"
FY12-RN-009645,Museum of Arts & Design,"120,000"
FY12-RN-009618,Museum of Biblical Art,"106,500"
FY12-RN-009804,Museum of Chinese in the Americas,"69,225"
FY12-RN-009658,"Museum of Contemporary African Diasporian Arts, Inc.","60,275"
FY12-AN-007872,"Music at the Anthology, Inc.","13,315"
FY12-AN-007043,"Music Before 1800, Inc.","5,325"
FY12-AN-008817,Music in the Center,"5,325"
FY12-AN-008201,"Musica De Camara, Inc.","26,200"
FY12-AN-008556,Musica Reginae Productions Ltd.,"7,990"
FY12-AN-008636,"Musical Chairs Chamber Ensemble, Inc.","15,650"
FY12-AN-007304,Musicals Tonight! Inc.,"5,325"
FY12-AN-009336,"Musicians For Harmony, Inc.","5,325"
FY12-RN-009676,"Music-Theatre Group, Inc.","37,275"
FY12-RN-009693,"Naked Angels, Ltd.","19,475"
FY12-RN-009732,National Academy of Design,"15,975"
FY12-AN-008397,"National Asian American Theatre Co., Inc.","10,650"
FY12-RN-009895,"National Black Theatre Workshop, Inc.","110,125"
FY12-AN-009036,"National Black Touring Circuit, Inc.","5,325"
FY12-MY-008383,"National Book Foundation, Inc.","15,975"
FY12-RN-009719,National Choral Council,"61,250"
FY12-RN-009774,"National Dance Institute, Inc.","58,250"
FY12-MY-009196,National Jazz Museum in Harlem,"37,275"
FY12-RN-009859,"National Music Theater Network, Inc.","15,975"
FY12-AN-007042,"Negro Ensemble Company, Inc.","33,990"
FY12-RN-009616,"New 42nd Street, Inc.","131,500"
FY12-RN-009638,New Art Publications,"15,975"
FY12-AN-008677,"New Dance Alliance, Inc.","7,990"
FY12-RN-009604,"New Dramatists, Inc.","56,750"
FY12-AN-007041,"New England Dinosaur, Inc.","5,325"
FY12-MY-006659,"New Federal Theatre, Inc.","85,975"
FY12-MY-008457,"New Festival, Inc.","15,975"
FY12-MY-006422,"New Group, Inc.","19,975"
FY12-MY-007282,New Heritage Theatre Group,"100,975"
FY12-RN-009705,New Museum of Contemporary Art,"69,225"
FY12-MY-006389,"New Music USA, Inc.","133,125"
FY12-AN-007300,New Perspectives Theatre Company,"5,325"
FY12-AN-007656,"New Radio and Performing Arts, Inc.","5,325"
FY12-AN-009381,"New Review, Inc.","5,325"
FY12-RN-009735,New School,"15,975"
FY12-AN-007120,New Sounds Music Incorporated,"5,325"
FY12-AN-007665,"New Stage Theatre Company, Inc.","5,325"
FY12-AN-006560,"New Worlds Theatre Project, Inc.","5,325"
FY12-RN-009761,New York Academy of Sciences,"15,975"
FY12-AN-007862,New York African Chorus Ensemble Inc.,"5,325"
FY12-RN-009605,"New York Chinese Cultural Center, Inc.","31,625"
FY12-AN-006637,New York City Community Chorus at Holy Apostles,"8,325"
FY12-MY-007100,New York City Police Museum,"37,275"
FY12-MY-007842,"New York Classical Theatre, Inc.","25,975"
FY12-MY-006962,"New York Festival of Song, Inc.","15,975"
FY12-RN-009758,"New York Foundation for Architecture, Inc.","15,975"
FY12-RN-009630,New York Foundation for the Arts,"366,175"
FY12-RN-009823,New York International Children's Film Festival,"15,975"
FY12-AN-006470,New York Lesbian and Gay Experimental Film Festival,"26,625"
FY12-RN-009805,"New York Live Arts, Inc.","164,750"
FY12-AN-006796,New York Neo-Futurists,"5,325"
FY12-RN-009830,"New York Pops, Inc.","18,975"
FY12-RN-009696,New York Public Radio,"93,700"
FY12-AN-007306,New York Repertory Orchestra,"5,325"
FY12-AN-007904,New York Scandia Symphony,"10,325"
FY12-RN-009619,"New York Studio School of Drawing, Painting & Sculpture","37,275"
FY12-AN-006517,"New York Theatre Experience, Inc.","18,640"
FY12-MY-006402,"New York Theatre Workshop, Inc.","133,125"
FY12-RN-009842,"New York Women in Film & Television, Inc.","18,975"
FY12-MY-006478,"New York Youth Symphony, Inc.","15,975"
FY12-RN-009700,New-York Historical Society,"216,000"
FY12-AN-008396,"Nia Theatrical Production Co, Inc.","13,325"
FY12-MY-006418,Noble Maritime Collection,"58,250"
FY12-MY-006699,"Noel Pointer Foundation, Inc.","40,975"
FY12-AN-008816,"North/South Consonance, Inc.","5,325"
FY12-RN-009766,Northern Manhattan Arts Alliance,"15,975"
FY12-AN-008950,Northern Woodside Coalition,"3,500"
FY12-AN-006569,Notes in Motion,"5,325"
FY12-AN-006356,"NURTUREart Non-Profit, Inc.","19,150"
FY12-RN-009850,Nuyorican Poets Caf,"26,625"
FY12-AN-008477,"NY Artists Unlimited, Inc.","5,325"
FY12-RN-009898,NY Writers Coalition,"21,975"
FY12-AN-007777,NYC KidsFest,"5,325"
FY12-AN-007136,Old Stone House of Brooklyn,"10,650"
FY12-AN-008259,"Omni Ensemble, Ltd.","5,325"
FY12-AN-007757,"One Year Lease, Inc.","5,325"
FY12-RN-009835,"Open Channels New York, Inc.","15,975"
FY12-RN-009621,"openhousenewyork, Inc.","34,125"
FY12-AN-007336,"Opening Act, Inc.","21,300"
FY12-MY-007118,"OPERA America, Inc.","4,000"
FY12-AN-009204,Opera on Tap,"5,325"
FY12-MY-007676,"Opera Orchestra of New York, Inc.","15,975"
FY12-RN-009741,Opus 118 Harlem School of Music,"56,250"
FY12-AN-006568,"Oratorio Society of Queens, Inc.","25,975"
FY12-AN-006557,Orchestra of the Bronx,"5,325"
FY12-AN-007879,Origin Theatre Company,"5,325"
FY12-MY-006401,"Orpheon, Inc.","15,975"
FY12-RN-009692,"Orpheus Chamber Orchestra, Inc.","37,275"
FY12-MY-007320,"Our Time Theatre Company, Inc.","15,975"
FY12-AN-008202,"Outpost Artists Resources, Inc.","13,315"
FY12-AN-008742,"Overfoot, Inc.","5,325"
FY12-AN-008218,"Page Seventy-Three Productions, Inc.","15,975"
FY12-RN-009581,Paley Center for Media,"37,275"
FY12-AN-007116,"Palissimo, Inc.","5,325"
FY12-AN-007438,"Pan American Musical Art Research, Inc.","5,325"
FY12-RN-009626,"Pan Asian Repertory Theatre, Inc.","30,625"
FY12-AN-007216,Pantomonium Productions,"5,325"
FY12-MY-008378,Paper Bag Players,"18,975"
FY12-AN-006718,"Paper Tiger Television, Inc.","5,325"
FY12-AN-006423,"Parallel Exit, Inc.","7,990"
FY12-AN-007902,"Parsifal's Productions, Inc.","18,640"
FY12-MY-006976,Parsons Dance Foundation,"15,975"
FY12-AN-006498,Partial Comfort Productions,"5,325"
FY12-AN-009318,"Participant, Inc.","13,315"
FY12-RN-009812,Pascal Rioult Dance Theatre,"15,975"
FY12-RN-009789,"Paul Taylor Dance Foundation, Inc.","133,125"
FY12-RN-009602,"Pearl Theatre Company, Inc.","15,975"
FY12-AN-007864,"Peccadillo Theater Company, Inc.","5,325"
FY12-AN-008980,"Peculiar Works Project, Inc.","7,990"
FY12-RN-009736,"PEN American Center, Inc.","37,275"
FY12-AN-006719,People's Theatre Project Inc.,"10,325"
FY12-AN-007177,"Pepatian, Inc.","5,325"
FY12-RN-009844,"PERFORMA, Inc.","15,975"
FY12-RN-009832,Performance Space 122,"69,225"
FY12-MY-007556,"Performance Zone, Inc.","63,250"
FY12-AN-006977,"Performing Artservices, Inc.","5,325"
FY12-RN-009599,"Philharmonic - Symphony Society of New York, Inc.","186,375"
FY12-RN-009764,Pierpont Morgan Library,"69,225"
FY12-MY-006565,"Play Production Company, Inc.","15,975"
FY12-RN-009628,"Playwrights Horizons, Inc.","106,500"
FY12-RN-009586,Playwrights' Preview Productions,"15,975"
FY12-MY-009181,"Playwrights Realm, Inc.","15,975"
FY12-MY-007874,"Poetry Project, Ltd.","26,625"
FY12-RN-009580,Poetry Society of America,"26,625"
FY12-MY-007076,"Poets & Writers, Inc.","26,625"
FY12-RN-009803,"Poets House, Inc.","53,250"
FY12-RN-009794,Point Community Development Corp.,"108,912"
FY12-AN-006424,Polyhymnia Music Foundation Inc.,"5,325"
FY12-AN-006756,"PR Project, Inc.","5,325"
FY12-RN-009828,"Pregones Touring Puerto Rican Theatre Collection, Inc.","113,075"
FY12-RN-009889,Present Theatre Company,"53,250"
FY12-RN-009652,"Primary Stages Company, Inc.","22,475"
FY12-RN-009607,"Printed Matter, Inc.","15,975"
FY12-RN-009899,"Prospect Park Alliance, Inc.","26,625"
FY12-MY-008777,"Prospect Theater Company, Inc.","15,975"
FY12-RN-009787,"Public Art Fund, Inc.","53,250"
FY12-RN-009847,"Publicolor, Inc.","26,625"
FY12-RN-009743,Puerto Rican Traveling Theatre Company Inc.,"37,275"
FY12-MY-006966,"Puerto Rican Workshop, Inc.","15,975"
FY12-AN-009400,"Pulse Ensemble Theatre, Inc.","3,000"
FY12-AN-006468,"Puppet Works, Inc.","5,325"
FY12-AN-008942,"Puppetry Arts Theatre, Inc.","5,325"
FY12-MY-008478,Puppetry in Practice Inc.,"15,975"
FY12-AN-009399,Qi Shu Fang Peking Opera Association,"7,990"
FY12-RN-009730,Queens Council on the Arts,"402,030"
FY12-AN-006485,Queens Historical Society,"31,950"
FY12-AN-007844,"Queens Jewish Community Council, Inc.","5,325"
FY12-RN-009893,Queens Symphony Orchestra,"215,875"
FY12-AN-008037,"Queen's Theatre Company, Inc.","7,990"
FY12-AN-007816,"Quintet of the Americas, Inc.","21,300"
FY12-AN-007589,Rabbit Hole Ensemble,"5,325"
FY12-AN-008558,"RadioHole, Inc.","7,990"
FY12-RN-009757,"Rattlestick Productions, Inc.","15,975"
FY12-AN-007036,"Rector, Church Wardens, Vestrymembers of the Church of St. Luke in the Field","5,325"
FY12-RN-009878,RED BULL THEATER INC.,"15,975"
FY12-AN-009277,"Red Fern Theatre Company, Inc.","5,325"
FY12-AN-008836,Red Light Contemporary Music,"5,325"
FY12-AN-008141,Redhawk Indian Arts Council,"15,975"
FY12-MY-007597,"Reel Stories Teen Filmmaking, Inc.","26,625"
FY12-AN-006857,"Regina Opera Company, Inc.","21,300"
FY12-AN-008261,Regional Plan Association,"5,000"
FY12-MY-008436,Renaisance-EMS,"5,000"
FY12-AN-009220,Reversing The Projections. Inc,"8,825"
FY12-RN-009634,Rhizome,"15,975"
FY12-AN-006957,Richard Allen Center for Culture and Art,"5,325"
FY12-AN-006541,Richmond Choral Society,"5,325"
FY12-AN-006678,Richmond County Orchestra,"3,000"
FY12-RN-009644,"Ringside, Inc.","15,975"
FY12-AN-009201,"Rio Grande Union, Inc.","5,325"
FY12-AN-007298,"Ripe Time, Inc.","7,990"
FY12-AN-008776,"Rising Circle Theater Collective, Inc.","7,990"
FY12-RN-009615,"Riverdale Community Center, Inc.","15,975"
FY12-RN-009815,"Riverside Symphony, Inc.","50,275"
FY12-MY-008498,Riverside Theatre Inc.,"17,325"
FY12-RN-009839,"Rockaway Artists Alliance, Inc.","15,975"
FY12-AN-008059,Rockaway Theatre Company,"28,640"
FY12-RN-009704,"Rocking the Boat, Inc.","15,975"
FY12-MY-008878,Romare Bearden Foundation,"15,975"
FY12-RN-009874,Rooftop Films,"45,694"
FY12-MY-006504,Rosie's Theater Kids,"59,250"
FY12-RN-009632,"Roulette Intermedium, Inc.","92,700"
FY12-RN-009699,"Roundabout Theatre Company, Inc.","143,125"
FY12-RN-009592,Rubin Museum of Art,"62,250"
FY12-MY-009521,Rush Philanthropic Arts Foundation,"15,975"
FY12-AN-006505,Russian American Cultural Center,"5,325"
FY12-AN-007664,Russian American Cultural Heritage Center,"3,000"
FY12-AN-007586,"Russian Musical Arts Society of America, Inc.","5,325"
FY12-MY-008479,"Russian-American Foundation, Inc.","15,975"
FY12-AN-008166,"Ryan Repertory Company, Inc.","7,990"
FY12-AN-007096,"S.E.M. Ensemble, Inc.","10,650"
FY12-AN-006797,"Sachiyo Ito and Company, Inc.","5,325"
FY12-AN-009064,Saint Alban's Episcopal Church,"5,325"
FY12-RN-009635,Salvadori Center,"26,625"
FY12-AN-006381,Sandy Ground Historical Society,"25,650"
FY12-RN-009896,"Saratoga International Theater Institute, Inc.","15,975"
FY12-RN-009579,"School of American Ballet, Inc.","53,250"
FY12-RN-009748,Science Festival Foundation,"26,625"
FY12-MY-007099,"Sculpture Center, Inc.","53,250"
FY12-AN-008018,"Second Generation Productions, Inc.","5,325"
FY12-MY-006379,Second Stage Theatre,"74,225"
FY12-RN-009625,Seedco Financial Services,"15,975"
FY12-RN-009669,"SENS Production, Inc.","15,975"
FY12-MY-006542,September 11th Widows and Victim Families Association,"15,975"
FY12-AN-007978,"Serenade at Historic Christ Church, Inc.","5,325"
FY12-RN-009756,"Sesame Flyers International, Inc.","15,975"
FY12-RN-009725,"Seventh Regiment Armory Conservancy, Inc.","56,750"
FY12-RN-009727,"Shadow Box Theatre, Inc.","18,975"
FY12-RN-009827,Shakespeare Society,"30,125"
FY12-RN-009833,"Shen Wei Dance Arts, Inc.","15,975"
FY12-RN-009800,"Signature Theatre Company, Inc.","111,500"
FY12-AN-008456,Sinfonietta of Riverdale,"5,325"
FY12-MY-008936,Skyscraper Museum,"15,975"
FY12-AN-008880,Slideluck Potshow,"5,325"
FY12-MY-006876,"Smack Mellon Studios, Inc.","37,275"
FY12-AN-008381,SMARTSPACES-DOT-ORG,"5,325"
FY12-MY-006939,Smithsonian National Museum of the American Indian,"15,975"
FY12-MY-006462,So Percussion,"15,975"
FY12-RN-009653,Society for the Preservation of Weeksville & Bed-Stuyvesant History,"254,625"
FY12-MY-006380,"Society of Illustrators, Inc.","15,975"
FY12-RN-009846,"Society of the Educational Arts, Inc.","119,975"
FY12-RN-009651,"Society of Third Street Music School Settlement, Inc.","106,500"
FY12-RN-009786,"Socrates Sculpture Park, Inc.","69,225"
FY12-MY-008219,"Soho Repertory Theatre, Inc.","15,975"
FY12-AN-008482,Soho Think Tank,"13,315"
FY12-AN-008277,"Sol Zim Jewish Enrichment Music Foundation, Inc.","5,000"
FY12-MY-007838,Solomon R. Guggenheim Foundation,"186,375"
FY12-RN-009749,"Sons of the Revolution in the State of New York, Inc.","15,975"
FY12-AN-009104,South of the Navy Yard Artists,"8,825"
FY12-MY-007017,South Street Seaport Museum,"159,750"
FY12-RN-009678,"Spanish Dance Arts Company, Inc.","29,625"
FY12-RN-009795,"Spanish Theatre Repertory Company, Ltd.","151,625"
FY12-AN-007101,"Spoke the Hub Dancing, Inc.","7,990"
FY12-RN-009675,"St. Ann's Warehouse, Inc.","159,750"
FY12-MY-007859,"St. George Theatre Restoration, Inc.","20,975"
FY12-MY-006960,"St. Luke's Chamber Ensemble, Inc.","76,725"
FY12-RN-009869,"St. Raymond Community Outreach, Inc.","15,975"
FY12-RN-009806,"St. Rosalia-Regina Pacis Neighborhood Improvement Assoc., Inc.","15,975"
FY12-AN-007207,Stage Directors and Choreographers Workshop Foundation,"10,650"
FY12-AN-007661,"Standby Program, Inc.","21,300"
FY12-MY-007456,"Staten Island Ballet Theater, Inc.","15,975"
FY12-AN-008337,"Staten Island Philharmonic Orchestra, Inc.","21,975"
FY12-AN-008262,Staten Island Shakespearean Theatre Co. Inc.,"10,650"
FY12-MY-007584,Stella Adler Studio of Acting,"3,000"
FY12-MY-006472,"Stephen Petronio Dance Company, Inc.","15,975"
FY12-RN-009818,Storefront for Art and Architecture,"15,975"
FY12-MY-007178,"StoryCorps, Inc.","43,125"
FY12-MY-007218,Storyville Center for the Spoken Word,"26,625"
FY12-AN-008979,"Striking Viking Story Pirates, Inc.","8,325"
FY12-RN-009836,"Studio in a School Association, Inc.","85,200"
FY12-AN-007498,"Sundog Theatre, Inc.","25,640"
FY12-AN-008819,"Sunset Park School of Music, Inc.","5,325"
FY12-MY-007103,Swiss Institute,"15,975"
FY12-AN-008996,"Sylvan Winds, Inc.","5,325"
FY12-RN-009631,"Symphony Space, Inc.","90,200"
FY12-AN-008637,"SYREN Modern Dance, Inc.","5,325"
FY12-MY-008356,"TADA! Theater and Dance Alliance, Inc.","26,625"
FY12-AN-009458,"Take Wing and Soar Productions, Inc.","15,990"
FY12-AN-006816,"Talea Ensemble, Inc.","10,650"
FY12-AN-008057,"Talking Band, Inc.","7,990"
FY12-MY-008496,Tank Ltd.,"53,250"
FY12-RN-009641,"Target Margin Theater, Inc.","37,275"
FY12-MY-008717,"Teachers & Writers Collaborative, Inc.","37,275"
FY12-RN-009728,"Teatro Circulo, Ltd.","15,975"
FY12-AN-008416,Temporary Distortion Theater Corp.,"5,325"
FY12-AN-008376,"TENET NYC, Inc.","5,325"
FY12-MY-006539,"Thalia Spanish Theatre, Inc.","148,725"
FY12-RN-009767,Theater Breaking Through Barriers Corp.,"20,975"
FY12-MY-007977,Theater et al,"63,250"
FY12-RN-009876,"Theater for the New City Foundation, Inc.","53,250"
FY12-MY-007105,"Theater Labrador, Inc.","31,625"
FY12-AN-008476,Theater Resources Unlimited,"5,325"
FY12-AN-008139,"Theater Talk Productions, Inc.","5,325"
FY12-AN-008679,Theatre Askew,"5,325"
FY12-RN-009890,"Theatre Communications Group, Inc.","15,975"
FY12-RN-009667,"Theatre Development Fund, Inc.","126,950"
FY12-RN-009648,Theatre for a New Audience,"37,275"
FY12-AN-006721,Theatre Lab Inc.,"5,325"
FY12-AN-008760,"Theatre of the Emerging American Moment, Inc.","5,325"
FY12-MY-007321,Theatreworks/USA Corp.,"37,275"
FY12-AN-009120,Thelma Hill Performing Arts Center,"9,490"
FY12-AN-008278,"Thin Man Dance, Inc.","15,975"
FY12-AN-009418,"Threshold Dance Projects, Inc.","13,315"
FY12-AN-006484,"Together in Dance, Inc.","7,990"
FY12-AN-008825,Tong Xiao Ling Chinese Opera Ensemble,"5,325"
FY12-AN-006499,"Topaz Arts, Inc.","42,275"
FY12-RN-009745,"Town Hall Foundation, Inc.","40,775"
FY12-RN-009765,Transport Group,"15,975"
FY12-AN-009118,"Treehouse Shakers, Inc.","5,325"
FY12-RN-009589,"Tribeca Film Institute, Inc.","19,475"
FY12-RN-009816,"Trisha Brown Company, Inc.","53,250"
FY12-AN-006506,Triskelion Arts - Kick/StanDance Inc.,"7,990"
FY12-RN-009639,Trustees of Columbia University in the City of New York,"15,975"
FY12-MY-009380,Turtle Bay Music School,"15,975"
FY12-RN-009707,"UBW, Inc.","15,975"
FY12-AN-008844,Ugly Duckling Presse,"7,990"
FY12-MY-006581,Ukrainian Museum,"18,975"
FY12-AN-006464,Underworld Productions Opera Ensemble,"3,000"
FY12-AN-009398,UNIONDOCS INC,"5,325"
FY12-AN-006398,"Universal Temple of the Arts, Inc.","15,975"
FY12-AN-006396,University Settlement Society of New York,"26,625"
FY12-MY-008161,"Uptown Dance Academy, Inc.","41,975"
FY12-RN-009887,Urban Arts Partnership,"15,975"
FY12-AN-007299,Urban Ballet Theater,"5,325"
FY12-MY-008220,Urban Word NYC,"15,975"
FY12-MY-007297,"UrbanGlass: New York Contemporary Glass Center, Inc.","37,275"
FY12-AN-007878,"Vampire Cowboys, Inc.","7,990"
FY12-MY-006476,Van Alen Institute: Projects in Public Architecture,"15,975"
FY12-AN-008137,"Variety Boys & Girls Club of Queens, Inc.","5,325"
FY12-AN-007585,"viBe Theater Experience, Inc.","15,975"
FY12-MY-006477,"Village Halloween Parade, Inc.","10,650"
FY12-RN-009703,"Vineyard Theatre and Workshop Center, Inc.","26,625"
FY12-RN-009845,"Visual AIDS for the Arts, Inc.","15,975"
FY12-MY-007698,Visual Arts Resource Center Relating to the Caribbean,"111,500"
FY12-MY-007576,"Vital Theatre Company, Inc.","18,975"
FY12-AN-008896,"Viva Voce Chamber Ensemble, Inc.","5,325"
FY12-RN-009601,"Vivian Beaumont Theater, Inc.","109,500"
FY12-AN-006536,"Vocal Ease, Inc.","7,990"
FY12-AN-008818,"Voices UnBroken, Inc.","31,950"
FY12-MY-007616,"Volcano Love, Inc.","10,650"
FY12-RN-009578,"Volunteer Lawyers for the Arts, Inc.","37,275"
FY12-AN-006979,Washington Square Association Music Fund,"12,990"
FY12-AN-007437,Waterfront Museum,"10,650"
FY12-AN-007217,WaxFactory Inc.,"5,325"
FY12-AN-007958,"WCV, Inc.","7,990"
FY12-RN-009588,"West Indian American Day Carnival Association, Inc.","15,975"
FY12-RN-009759,"Western Wind Vocal Ensemble, Inc.","15,975"
FY12-AN-008486,"Wet Ink Music Productions, Inc.","5,325"
FY12-RN-009900,"White Box, Ltd.","15,975"
FY12-RN-009733,"White Columns, Inc.","26,625"
FY12-MY-006440,White Wave Rising: Young Soon Kim Dance Company,"53,250"
FY12-MY-006617,Whitney Museum of American Art,"91,700"
FY12-AN-006406,"Williamsburg Art Nexus, Inc.","5,325"
FY12-AN-006480,Willie Mae Rock Camp for Girls,"18,640"
FY12-RN-009612,"Wingspan Arts, Inc.","15,975"
FY12-RN-009624,WNET.ORG,"84,150"
FY12-MY-007681,"Women Make Movies, Inc.","31,625"
FY12-RN-009698,"Women's Project and Productions, Inc.","56,250"
FY12-RN-009831,"Wooster Group, Inc.","37,275"
FY12-MY-007779,"Working Theatre Company, Inc.","37,275"
FY12-AN-009199,"Workmens Circle/Arbeter Ring, Inc.","5,325"
FY12-RN-009760,"Works and Process, Inc.","26,625"
FY12-AN-006519,World Foundation for Music and Healing,"5,325"
FY12-RN-009868,"World Music Institute, Inc.","53,250"
FY12-RN-009595,"Writers Room, Inc.","37,275"
FY12-RN-009608,"Wyckoff House and Association, Inc.","36,875"
FY12-AN-008358,Yaa Samar Dance Theatre,"5,325"
FY12-AN-006836,"Yangtze Repertory Theatre of America, Inc.","10,650"
FY12-AN-009182,Yara Arts Group,"7,990"
FY12-RN-009672,"York Theatre Company, Inc.","27,475"
FY12-MY-006540,"Young Audiences New York, Inc.","88,700"
FY12-RN-009691,"Young Concert Artists, Inc.","37,275"
FY12-RN-009819,"Young Dancers in Repertory, Inc.","15,975"
FY12-RN-009576,Young Men's & Young Women's Hebrew Association,"159,750"
FY12-RN-009780,Young People's Chorus of New York City Inc.,"106,500"
FY12-RN-009837,"Young Playwrights, Inc.","15,975"
FY12-AN-006999,"Youth Orchestra, CYCNY","5,325"
FY12-AN-008676,"Zeus's Thigh, Ltd.","5,325"
FY12-AN-006981,ZGD Inc.,"5,325"
