ID,Business Name,Trade Name,Sidewalk Cafe Type,License Number,Full Address,Address Building,Address Street Name,City,State,ZIP Code,Borough,Address Location,Phone Number,Lic Area Sq Ft
274,"BARFLY, INC",BARFLY,Unenclosed Sidewalk Cafe,920112,"244 THIRD AVENUE, NEW YORK, NY 10010",244,THIRD AVENUE,NEW YORK,NY,10010,Manhattan,,(212) 473-9660,186
275,BARJER CORP,FIREHOUSE RESTAURANT,Unenclosed Sidewalk Cafe,895505,"522 COLUMBUS AVENUE, NY, NY 10024",522,COLUMBUS AVENUE,NY,NY,10024,Manhattan,,(212) 787-3473,255
276,BAROSA INC.,,Enclosed Sidewalk Cafe,1222376,"62-29 WOODHAVEN BOULEVARD, REGO PARK, NY 11374",62-29,WOODHAVEN BOULEVARD,REGO PARK,NY,11374,Queens,,(718) 424-1455,375
277,"BASIL, LLC",BASIL,Unenclosed Sidewalk Cafe,1392177,"268 KINGSTON AVE, BROOKLYN, NY 11213",268,KINGSTON AVE,BROOKLYN,NY,11213,Brooklyn,,(718) 285-8777,234
278,BB AT 55TH & 5TH LLC,BENOIT,Unenclosed Sidewalk Cafe,1287126,"60 W 55TH ST, NEW YORK, NY 10019",60,W 55TH ST,NEW YORK,NY,10019,Manhattan,,(646) 943-7340,176
279,BB ONE LLC,BARE BURGER,Unenclosed Sidewalk Cafe,1391030,"514 3 AVENUE, NEW YORK, NY 10016",514,   3 AVENUE,NEW YORK,NY,10016,Manhattan,,(212) 679-2273,110
280,BECAF LLC,POCO,Unenclosed Sidewalk Cafe,1313044,"33 AVENUE B, NEW YORK, NY 10009",33,AVENUE B,NEW YORK,NY,10009,Manhattan,,(212) 228-4461,250
281,BELCANTATA REST. INC,PIG N WHISTLE ON 3RD,Unenclosed Sidewalk Cafe,1310960,"922 3 AVENUE, NEW YORK, NY 10022",922,   3 AVENUE,NEW YORK,NY,10022,Manhattan,,(212) 832-2021,56
282,"BELSTAR ICE CREAM CO, LLC",COLD STONE CREAMERY,Unenclosed Sidewalk Cafe,1281798,"34-20 BROADWAY, QUEENS, NY 11106",34-20,BROADWAY,QUEENS,NY,11106,Queens,,(516) 301-0943,196
283,BEN TAS CORP,OTHELLO DELI,Unenclosed Sidewalk Cafe,1281431,"26-19 24 AVENUE, QUEENS, NY 11102",26-19,  24 AVENUE,QUEENS,NY,11102,Queens,,(718) 956-1337,185
284,"BENNY'S BURRITOS, INC",BENNY'S BURRITOS,Unenclosed Sidewalk Cafe,1067914,"111-113 GREENWICH AVE, NEW YORK, NY 10014",111-113,GREENWICH AVE,NEW YORK,NY,10014,Manhattan,,(212) 213-3332,345
285,BIDOCHONS CORP,PROVENCE EN BOITE,Unenclosed Sidewalk Cafe,1248607,"263 SMITH STREET, BROOKLYN, NY 11231",263,SMITH STREET,BROOKLYN,NY,11231,Brooklyn,,(718) 797-0707,304
286,BIER INTERNATIONAL LLC,,Unenclosed Sidewalk Cafe,1382021,"2099 FREDERICK DOUGLASS BOULEVARD, NEW YORK, NY 10026",2099,FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,10026,Manhattan,8 AVENUE,(646) 221-1008,301
287,BIG DADDY'S III LLC,,Unenclosed Sidewalk Cafe,1353319,"2454 BROADWAY, NEW YORK, NY 10024",2454,BROADWAY,NEW YORK,NY,10024,Manhattan,,(212) 377-2004,296
288,BIG DUMPLING CORP,PLUMP DUMPLING,Unenclosed Sidewalk Cafe,1384627,"174 2 AVENUE, NEW YORK, NY 10003",174,   2 AVENUE,NEW YORK,NY,10003,Manhattan,,(212) 254-5371,255
289,BISTRO SHOP DOWNTOWN LLC,,Unenclosed Sidewalk Cafe,1382491,"118 GREENWICH AVENUE, NEW YORK, NY 10011",118,GREENWICH AVENUE,NEW YORK,NY,10011,Manhattan,AKA 234 WEST 13 STREET,(212) 513-1988,260
290,BIZET LLC,,Unenclosed Sidewalk Cafe,1415068,"150 E 14TH ST, NEW YORK, NY 10003",150,E 14TH ST,NEW YORK,NY,10003,Manhattan,,(212) 757-2277,673
291,"BLEECKER SPAGHETTO, LLC",TRATTORIA SPAGHETTO,Unenclosed Sidewalk Cafe,1399534,"232 BLEECKER STREET, NEW YORK, NY 10014",232,BLEECKER STREET,NEW YORK,NY,10014,Manhattan,,(201) 819-2619,227
292,BLL RESTAURANT CORP.,PORTO BELLO RESTAURANT,Unenclosed Sidewalk Cafe,924708,"208 THOMPSON ST, NEW YORK, NY 10012",208,THOMPSON ST,NEW YORK,NY,10012,Manhattan,,(212) 473-7794,68
293,"BLOCKHEAD'S BURRITOS, INC.",BLOCKHEADS,Unenclosed Sidewalk Cafe,954963,"499 3 AVENUE, NEW YORK, NY 10016",499,   3 AVENUE,NEW YORK,NY,10016,Manhattan,,(212) 356-0006,83
294,BLOSSOM RESTAURANT & CAFE INC.,CAFE BLOSSOM,Unenclosed Sidewalk Cafe,1318895,"466 COLUMBUS AVENUE, NEW YORK, NY 10024",466,COLUMBUS AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 875-2609,180
295,BLT BURGER 2ND AVENUE NYC LLC,,Unenclosed Sidewalk Cafe,1381146,"1450 2 AVENUE, NEW YORK, NY 10021",1450,   2 AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 513-1988,188
296,BLT/MAIN STREET LLC,BLT PRIME,Unenclosed Sidewalk Cafe,1201698,"111 EAST 22ND STREET, NEW YORK, NY 10010",111,EAST 22ND STREET,NEW YORK,NY,10010,Manhattan,,(212) 223-6432,135
297,BLUE OCEAN GROUP INC.,CAFE AMRITA,Unenclosed Sidewalk Cafe,1421719,"301 W 110TH ST, NEW YORK, NY 10026",301,W 110TH ST,NEW YORK,NY,10026,Manhattan,,(212) 222-0683,296
298,BLUE SMOKE 102 NORTH END AVE LLC,BLUE SMOKE,Unenclosed Sidewalk Cafe,1421278,"255 VESEY ST, NEW YORK, NY 10282",255,VESEY ST,NEW YORK,NY,10282,Manhattan,,(212) 889-2005,311
299,BLUE SMOKE LLC,BLUE SMOKE,Unenclosed Sidewalk Cafe,1133422,"116 EAST   27 STREET, NEW YORK, NY 10016",116,EAST   27 STREET,NEW YORK,NY,10016,Manhattan,,(212) 447-7733,210
300,BOGMAN LLC.,BEARDED LADY,Unenclosed Sidewalk Cafe,1421052,"686A WASHINGTON AVE, BROOKLYN, NY 11238",686A,WASHINGTON AVE,BROOKLYN,NY,11238,Brooklyn,,(347) 404-4361,201
301,BONARUE BLEU INDUSTRIES INC,FLORENCIA 13,Unenclosed Sidewalk Cafe,1301635,"185 SULLIVAN STREET, NEW YORK, NY 10012",185,SULLIVAN STREET,NEW YORK,NY,10012,Manhattan,,(212) 677-6830,61
302,"BOWERY F & B, LLC",GEMMA,Unenclosed Sidewalk Cafe,1254785,"335 BOWERY, NEW YORK, NY 10003",335,BOWERY,NEW YORK,NY,10003,Manhattan,A.K.A. 4 EAST 3RD STREET,(212) 505-7300,376
303,"BOWERY RESTAURANT, LLC",DBGB,Unenclosed Sidewalk Cafe,1360658,"299 BOWERY, NEW YORK, NY 10003",299,BOWERY,NEW YORK,NY,10003,Manhattan,,(212) 794-232,432
304,BRAHO RESTAURANT CORP.,THE BARKING DOG,Unenclosed Sidewalk Cafe,1220174,"1453 YORK AVENUE, NEW YORK, NY 10075",1453,YORK AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 861-3600,320
305,BRASSERIE JULIEN CORP,BRASSERIE JULIEN,Unenclosed Sidewalk Cafe,1030967,"1422 3 AVENUE, NEW YORK, NY 10028",1422,   3 AVENUE,NEW YORK,NY,10028,Manhattan,,(212) 744-6327,137
306,"BRATVA, INC",CONEY ISLAND BAR & GRILL,Unenclosed Sidewalk Cafe,1396810,"1205 SURF AVENUE, BROOKLYN, NY 11224",1205,SURF AVENUE,BROOKLYN,NY,11224,Brooklyn,,(718) 714-7407,294
307,"BREAD OF LIFE, LLC",,Unenclosed Sidewalk Cafe,1001940,"1712 2 AVENUE, NEW YORK, NY 10128",1712,   2 AVENUE,NEW YORK,NY,10128,Manhattan,,(212) 722-4242,142
308,BROADWAY & 166TH LLC,DALLAS BBQ,Unenclosed Sidewalk Cafe,1035650,"3956 BROADWAY, NEW YORK, NY 10032",3956,BROADWAY,NEW YORK,NY,10032,Manhattan,,(212) 568-3700,440
309,"BROADWAY & 166TH, LLC",DALLAS BBQ,Enclosed Sidewalk Cafe,1075763,"3956 BROADWAY, NEW YORK, NY 10032",3956,BROADWAY,NEW YORK,NY,10032,Manhattan,,(212) 568-3700,411
310,BROADWAY 104 LLC,CAFE DU SOLEIL,Unenclosed Sidewalk Cafe,1187714,"245 WEST  104 STREET, NEW YORK, NY 10025",245,WEST  104 STREET,NEW YORK,NY,10025,Manhattan,,(212) 316-5000,342
311,"BROADWAY DESSERTS, LTD",,Unenclosed Sidewalk Cafe,1000314,"2340 BROADWAY, NEW YORK, NY 10024",2340,BROADWAY,NEW YORK,NY,10024,Manhattan,,(917) 208-2174,480
312,BROOKLYN BAR NYC INC,EAST VILLAGE TAVERN,Unenclosed Sidewalk Cafe,1287121,"158 AVE C, NEW YORK, NY 10009",158,AVE C,NEW YORK,NY,10009,Manhattan,,(347) 837-6120,262
313,"BROOKLYN FOOD & DRINK, LLC.",THE VANDERBILT,Unenclosed Sidewalk Cafe,1342248,"570 VANDERBILT AVE, BROOKLYN, NY 11238",570,VANDERBILT AVE,BROOKLYN,NY,11238,Brooklyn,,(718) 623-0570,479
314,BROOKLYN HEIGHTS WINE BAR LLC,,Unenclosed Sidewalk Cafe,1317766,"50 HENRY ST, BROOKLYN, NY 11201",50,HENRY ST,BROOKLYN,NY,11201,Brooklyn,,(718) 834-1776,138
315,BRUNO IN HARLEM INC,SETTEPANI,Unenclosed Sidewalk Cafe,1104078,"196 LENOX AVENUE, NEW YORK, NY 10026",196,LENOX AVENUE,NEW YORK,NY,10026,Manhattan,,(917) 492-4806,551
316,BSWR CORP.,SARA BETH'S,Unenclosed Sidewalk Cafe,981250,"423 AMSTERDAM AVE, NEW YORK, NY 10024",423,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(212) 496-6280,139
317,BUCKWHEAT AND ALFALFA INC,THE ROCKING HORSE MEXICAN CAFE,Unenclosed Sidewalk Cafe,1000917,"182 8TH AVE, NEW YORK, NY 10011",182,8TH AVE,NEW YORK,NY,10011,Manhattan,,(212) 463-9511,109
318,"BUFFANNA, INC.",IL PICOOLO BUFALO,Unenclosed Sidewalk Cafe,1165364,"141 MULBERRY ST, NEW YORK, NY 10013",141,MULBERRY ST,NEW YORK,NY,10013,Manhattan,,(212) 219-9068,52
319,BUONA NOTTE INC,BUONA NOTTE INC,Unenclosed Sidewalk Cafe,1135217,"120 MULBERRY STREET, NEW YORK, NY 10013",120,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 965-1111,129
320,BURKE'S BEAL BOCHT CORP.,AN BEAL BOCHT,Unenclosed Sidewalk Cafe,1234454,"445 W 238TH ST, BRONX, NY 10463",445,W 238TH ST,BRONX,NY,10463,Bronx,,(718) 884-7127,170
321,BURKINABE ENTERTAINMENT LLC,,Unenclosed Sidewalk Cafe,1345817,"2269 ADAM CLAYTON POWELL JR. BLVD, NEW YORK, NY 10030",2269,ADAM CLAYTON POWELL JR. BLVD,NEW YORK,NY,10030,Manhattan,,(212) 690-0699,300
322,BURKINABE ENTERTAINMENT LLC,SHRINE,Unenclosed Sidewalk Cafe,1277455,"2271-2273 7TH AVE, NEW YORK, NY 10030",2271-2273,   7TH AVE,NEW YORK,NY,10030,Manhattan,AKA ADAM CLAYTON POWELL JR BLVD,(212) 690-7807,173
323,BURRITO JUNCTION INC.,HARRY'S BURRITO JUNCTION,Unenclosed Sidewalk Cafe,895637,"241 COLUMBUS AVENUE, NEW YORK, NY 10023",241,COLUMBUS AVENUE,NEW YORK,NY,10023,Manhattan,,(212) 580-9494,328
324,BY THE GLASS INC.,UVA,Unenclosed Sidewalk Cafe,1190933,"1486 2 AVENUE, NEW YORK, NY 10075",1486,   2 AVENUE,NEW YORK,NY,10075,Manhattan,,(212) 472-4552,135
325,C & C FIRST AVE CORP.,BAR COASTAL,Enclosed Sidewalk Cafe,1110042,"1495 1ST AVE, NEW YORK, NY 10075",1495, 1ST AVE,NEW YORK,NY,10075,Manhattan,,(212) 288-6635,280
326,C & O COFFEE SHOP INC.,LA BONBONNIERE RESTAURANT,Unenclosed Sidewalk Cafe,1277859,"28 8 AVENUE, NEW YORK, NY 10014",28,   8 AVENUE,NEW YORK,NY,10014,Manhattan,,(212) 741-9266,163
327,C & V 77 ENTERPRISES LLC,GREEN KITCHEN,Enclosed Sidewalk Cafe,1278587,"1475-77 1ST AVE, NEW YORK, NY 10075",1475-77, 1ST AVE,NEW YORK,NY,10075,Manhattan,,(212) 988-4163,501
328,C.A.P. RESTAURANT CORP.,SOMBRERO MEXICAN RESTAURANT,Unenclosed Sidewalk Cafe,1079412,"303 WEST   48 STREET, NY, NY 10036",303,WEST   48 STREET,NY,NY,10036,Manhattan,,(212) 586-4853,195
329,C.S.L.L. REST. CORP,EJ'S LUNCHEONETTE,Enclosed Sidewalk Cafe,970343,"1271 THIRD AVENUE, NEW YORK, NY 10021",1271,THIRD AVENUE,NEW YORK,NY,10021,Manhattan,,(212) 472-0600,380
330,"CABANA-70 ASSOCIATES,L.P.",CABANA RESTAURANT AND BAR,Unenclosed Sidewalk Cafe,918521,"107-10 70 ROAD, QUEENS, NY 11375",107-10,  70 ROAD,QUEENS,NY,11375,Queens,,(212) 513-1988,106
331,"CAFE 71, INC.",,Enclosed Sidewalk Cafe,1223566,"2061 BROADWAY, NEW YORK, NY 10023",2061,BROADWAY,NEW YORK,NY,10023,Manhattan,,(212) 875-2100,288
332,"CAFE ARGENTINO, INC.",CAFE ARGENTINO,Unenclosed Sidewalk Cafe,1347394,"499 GRAND STREET, BROOKLYN, NY 11211",499,GRAND STREET,BROOKLYN,NY,11211,Brooklyn,,(718) 782-9477,303
333,CAFE CASANO LLC,,Unenclosed Sidewalk Cafe,1312041,"38 W ST, NEW YORK, NY 10004",38,W ST,NEW YORK,NY,10004,Manhattan,,(212) 267-7000,204
334,CAFE CORTADITO LLC,,Unenclosed Sidewalk Cafe,1381432,"210 EAST 3 STREET, NEW YORK, NY 10009",210,EAST 3 STREET,NEW YORK,NY,10009,Manhattan,,(212) 614-3080,83
335,"CAFE FOCACCIA, INC.",FELICE WINE BAR,Unenclosed Sidewalk Cafe,976266,"1166 1 AVENUE, NEW YORK, NY 10065",1166,   1 AVENUE,NEW YORK,NY,10065,Manhattan,,(212) 683-0371,290
336,"CAFE MOCHA, INC.",,Unenclosed Sidewalk Cafe,1342712,"116 2ND AVE, NEW YORK, NY 10003",116,2ND AVE,NEW YORK,NY,10003,Manhattan,,(212) 253-2050,230
337,"CAFE PUSHKIN CENTRAL, LLC",PUSHKIN BRASSEIE,Unenclosed Sidewalk Cafe,1419761,"41 W 57 ST, NEW YORK, NY 10019",41,W 57 ST,NEW YORK,NY,10019,Manhattan,,(917) 969-5091,168
338,CAFE STEINHOF INC.,,Unenclosed Sidewalk Cafe,1310342,"422 SEVENTH AVENUE, BROOKLYN, NY 11215",422,SEVENTH AVENUE,BROOKLYN,NY,11215,Brooklyn,,(718) 389-3189,208
339,CAFE TALLULAH LLC,CAFE TALLULAH,Enclosed Sidewalk Cafe,1397232,"240 COLUMBUS AVENUE, NEW YORK, NY 10023",240,COLUMBUS AVENUE,NEW YORK,NY,10023,Manhattan,,(917) 693-2870,570
340,CAFFE DANTE INC,CAFE DANTE,Unenclosed Sidewalk Cafe,768933,"81 MACDOUGAL STREET, NEW YORK, NY 10012",81,MACDOUGAL STREET,NEW YORK,NY,10012,Manhattan,,(212) 982-5275,148
341,CAFFE ISLE OF CAPRI INC,ISLE OF CAPRI,Enclosed Sidewalk Cafe,578810,"1028 3 AVENUE, NEW YORK, NY 10065",1028,   3 AVENUE,NEW YORK,NY,10065,Manhattan,,(212) 758-1828,407
342,CAFFE SILVESTRI INC.,CAFFE NAPOLI,Unenclosed Sidewalk Cafe,956923,"191 HESTER ST, NEW YORK, NY 10013",191,HESTER ST,NEW YORK,NY,10013,Manhattan,A/K/A 130 MULBERRY ST,(212) 226-8705,380
343,"CAFFE VETRO, INC.",EPISTROPHY CAFE,Unenclosed Sidewalk Cafe,1245908,"200 MOTT ST, NY, NY 10012",200,MOTT ST,NY,NY,10012,Manhattan,,(212) 966-0904,97
344,CAJUN BROOKLYN LLC,BOURGEOIS PIG,Unenclosed Sidewalk Cafe,1418022,"387 COURT ST, BROOKLYN, NY 11231",387,COURT ST,BROOKLYN,NY,11231,Brooklyn,,(212) 777-2017,171
345,CALIENTE CAB REST. CO INC,CALIENTE CAB CO,Unenclosed Sidewalk Cafe,670525,"61 7TH AVE SOUTH, NEW YORK, NY 10014",61,7TH AVE SOUTH,NEW YORK,NY,10014,Manhattan,,(212) 513-1988,752
346,CALIENTE TEQUILA GRILL LLC,CALIENTE GRILL,Unenclosed Sidewalk Cafe,1103058,"282 BLEECKER STREET, NEW YORK, NY 10014",282,BLEECKER STREET,NEW YORK,NY,10014,Manhattan,A/K/A 59 7 AVE SO,(212) 675-5265,271
347,CALOUNE CORP.,TOURNESOL RESTAURANT,Unenclosed Sidewalk Cafe,1280217,"5012 VERNON BLVD, QUEENS, NY 11101",5012,VERNON BLVD,QUEENS,NY,11101,Queens,,(718) 472-4355,112
348,CALSHEA REST. CORP.,THE TRIPLE CROWN,Unenclosed Sidewalk Cafe,1151949,"330 7 AVENUE, NEW YORK, NY 10001",330,   7 AVENUE,NEW YORK,NY,10001,Manhattan,,(212) 736-1575,158
349,"CAMELIAS, LLC",THE FRENCH COAST,Unenclosed Sidewalk Cafe,1421013,"473 AMSTERDAM AVE, NEW YORK, NY 10024",473,AMSTERDAM AVE,NEW YORK,NY,10024,Manhattan,,(212) 362-8555,182
350,"CAMPO DE FIORI, LLC",,Unenclosed Sidewalk Cafe,1382180,"187 FIFTH AVENUE, BROOKLYN, NY 11217",187,FIFTH AVENUE,BROOKLYN,NY,11217,Brooklyn,,(347) 763-0933,85
351,CANTALOUPE LLC,LOVELY DAY,Unenclosed Sidewalk Cafe,1260966,"196 ELIZABETH STREET, NEW YORK, NY 10012",196,ELIZABETH STREET,NEW YORK,NY,10012,Manhattan,,(212) 925-3310,53
352,CANTEEN 82 INC,BLUE CARAVAN,Unenclosed Sidewalk Cafe,1384273,"467 COLUMBUS AVENUE, NEW YORK, NY 10024",467,COLUMBUS AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 595-4300,221
353,CANZ SUFFOLK 1 INC.,,Unenclosed Sidewalk Cafe,1375729,"40-11 30 AVENUE, ASTORIA, NY 11103",40-11,  30 AVENUE,ASTORIA,NY,11103,Queens,,(631) 707-1710,186
354,CAPODIMONTE LLC,APERITIVO,Unenclosed Sidewalk Cafe,1384347,"279 5 AVENUE, BROOKLYN, NY 11215",279,   5 AVENUE,BROOKLYN,NY,11215,Brooklyn,,(917) 885-1223,240
355,CARABEAN LLC,,Enclosed Sidewalk Cafe,1341044,"133 7 AVENUE SOUTH, NEW YORK, NY 10014",133,   7 AVENUE SOUTH,NEW YORK,NY,10014,Manhattan,,(212) 675-6220,268
356,CARAPINA LLC,GROM,Unenclosed Sidewalk Cafe,1286005,"233 BLEECKER STREET, NEW YORK, NY 10014",233,BLEECKER STREET,NEW YORK,NY,10014,Manhattan,,(917) 582-8684,158
357,CARMINE RESTAURANT INC.,IL CORTILE RESTAURANT,Unenclosed Sidewalk Cafe,1161434,"125 MULBERRY STREET, NEW YORK, NY 10013",125,MULBERRY STREET,NEW YORK,NY,10013,Manhattan,,(212) 226-6060,170
358,CARMINE'S BROADWAY FEAST INC.,CARMINE'S,Unenclosed Sidewalk Cafe,940252,"2450 BROADWAY, NEW YORK, NY 10024",2450,BROADWAY,NEW YORK,NY,10024,Manhattan,,(212) 362-2200,264
359,"CASWELL/PEARSON ENTERPRISES, LTD.",,Unenclosed Sidewalk Cafe,1186385,"202 WEST   14 STREET, NEW YORK, NY 10011",202,WEST   14 STREET,NEW YORK,NY,10011,Manhattan,,(212) 255-2060,130
360,"CAVALLACCI, FABRIZIO",CAFE REGGIO,Unenclosed Sidewalk Cafe,782318,"119 MACDOUGAL STREET, NEW YORK, NY 10012",119,MACDOUGAL STREET,NEW YORK,NY,10012,Manhattan,119-123 MACDOUGAL ST,(212) 475-9557,43
361,CCH RESTAURANT MANAGEMENT INC,,Unenclosed Sidewalk Cafe,1379615,"663 9 AVENUE, NEW YORK, NY 10036",663,   9 AVENUE,NEW YORK,NY,10036,Manhattan,,(212) 582-1669,246
362,"CDGP, LLC",FLO,Unenclosed Sidewalk Cafe,1190996,"37-20 30TH AVE, ASTORIA, NY 11103",37-20,30TH AVE,ASTORIA,NY,11103,Queens,,(718) 204-6096,703
363,CEE RESTAURANT LLC,SAVOIA,Unenclosed Sidewalk Cafe,1396280,"277 SMITH STREET, BROOKLYN, NY 11231",277,SMITH STREET,BROOKLYN,NY,11231,Brooklyn,,(718) 797-2727,160
364,CERELI INC,MOLE',Unenclosed Sidewalk Cafe,1343516,"57 JANE STREET, NEW YORK, NY 10014",57,JANE STREET,NEW YORK,NY,10014,Manhattan,,(212) 206-7559,138
365,CEVICHERIA GROVE INC,MERCADITO GROVE,Unenclosed Sidewalk Cafe,1202961,"100 7 AVENUE SOUTH, NEW YORK, NY 10014",100,   7 AVENUE SOUTH,NEW YORK,NY,10014,Manhattan,,(212) 388-0162,407
366,CH BURGERS LLC,FIVE GUYS BURGERS & FRIES,Unenclosed Sidewalk Cafe,1395027,"266 COURT STREET, BROOKLYN, NY 11231",266,COURT STREET,BROOKLYN,NY,11231,Brooklyn,,(917) 710-1477,74
367,"CHELSEA PARK, LLC",THE PARK,Unenclosed Sidewalk Cafe,1375358,"118 10TH AVE, NEW YORK, NY 10011",118, 10TH AVE,NEW YORK,NY,10011,Manhattan,,(212) 352-3313,267
368,"CHERRY LANE, INC",THE RANDOLPH AT BROOME,Unenclosed Sidewalk Cafe,1383186,"349 BROOME STREET, NEW YORK, NY 10013",349,BROOME STREET,NEW YORK,NY,10013,Manhattan,,(212) 274-0667,149
369,CHEZ JOSEPHINE LTD.,,Unenclosed Sidewalk Cafe,1180070,"414 W 42ND ST, NEW YORK, NY 10036",414,W 42ND ST,NEW YORK,NY,10036,Manhattan,,(212) 594-1925,168
370,CHEZ OSKAR INC.,CHEZ OSKAR,Unenclosed Sidewalk Cafe,1343834,"211 DEKALB AVE, BROOKLYN, NY 11205",211,DEKALB AVE,BROOKLYN,NY,11205,Brooklyn,,(718) 852-6250,450
371,CHICKEN SHACK INC.,,Unenclosed Sidewalk Cafe,1315235,"35-02 30 AVENUE, QUEENS, NY 11103",35-02,  30 AVENUE,QUEENS,NY,11103,Queens,,(718) 721-3035,344
372,CHINA 1221 INC,CHINA FUN,Unenclosed Sidewalk Cafe,1063397,"1221 2 AVENUE, NEW YORK, NY 10065",1221,   2 AVENUE,NEW YORK,NY,10065,Manhattan,,(212) 752-0810,320
373,CHOW DOWN INC,EL CENTRO,Unenclosed Sidewalk Cafe,1309603,"824 NINTH AVENUE, NEW YORK, NY 10019",824,NINTH AVENUE,NEW YORK,NY,10019,Manhattan,,(212) 765-4842,275
374,CHRISTOS RESTAURANT LLC,HEARTBREAK RESTAURANT.,Unenclosed Sidewalk Cafe,1386147,"29 EAST    2 STREET, NEW YORK, NY 10003",29,EAST    2 STREET,NEW YORK,NY,10003,Manhattan,,(212) 777-2502,256
375,CHURCH & LOUIS INC.,NINTH WARD,Unenclosed Sidewalk Cafe,1379381,"180 2ND AVE, NEW YORK, NY 10003",180,2ND AVE,NEW YORK,NY,10003,Manhattan,,(212) 513-1988,175
376,CIELI PARTNERS LP,TRATTORIA DELL'ARTE,Unenclosed Sidewalk Cafe,1192416,"900 7 AVENUE, NEW YORK, NY 10019",900,   7 AVENUE,NEW YORK,NY,10019,Manhattan,,(212) 245-9800,268
377,CILANTRO WEST LLC,,Unenclosed Sidewalk Cafe,1249725,"485 COLUMBUS AVENUE, NEW YORK, NY 10024",485,COLUMBUS AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 513-1988,190
378,CINQUE FRATELLI INC,ACQUISTA TRATTORIA,Unenclosed Sidewalk Cafe,1095291,"178-01 UNION TURNPIKE, FLUSHING, NY 11366",178-01,UNION TURNPIKE,FLUSHING,NY,11366,Queens,,(718) 969-1411,461
379,CLASSIC FOOD INC,,Unenclosed Sidewalk Cafe,1072082,"267 COLUMBUS AVENUE, NEW YORK, NY 10023",267,COLUMBUS AVENUE,NEW YORK,NY,10023,Manhattan,,(212) 496-2803,102
380,CLAUDISAL REST. CORP.,THE MALT HOUSE,Unenclosed Sidewalk Cafe,1187924,"206 THOMPSON ST, NEW YORK, NY 10012",206,THOMPSON ST,NEW YORK,NY,10012,Manhattan,,(212) 228-7701,193
381,"CLAY FARM, LLC",THE BELL HOUSE,Unenclosed Sidewalk Cafe,1347119,"149 7TH ST, BROOKLYN, NY 11215",149, 7TH ST,BROOKLYN,NY,11215,Brooklyn,,(718) 369-3310,180
382,CLEW Z ANGUS (USA) INC,NIU NOODLE,Enclosed Sidewalk Cafe,1432061,"15 GREENWICH AVE, NEW YORK, NY 10014",15,GREENWICH AVE,NEW YORK,NY,10014,Manhattan,,(212) 608-8100,
383,"CLGM, INC",YEFSI ESTAIATORIO,Unenclosed Sidewalk Cafe,1422663,"1481 YORK AVE, NEW YORK, NY 10075",1481,YORK AVE,NEW YORK,NY,10075,Manhattan,,(917) 608-6770,171
384,"CLIRKAT DONUTS, INC",ANGELO'S QUALITY DONUT SHOP,Enclosed Sidewalk Cafe,1204822,"2944 WESTCHESTER AVE, BRONX, NY 10461",2944,WESTCHESTER AVE,BRONX,NY,10461,Bronx,,(718) 792-5534,241
385,"CLUB AMERICA, INC.",BISTRO CITRON,Unenclosed Sidewalk Cafe,1008999,"473 COLUMBUS AVENUE, NEW YORK, NY 10024",473,COLUMBUS AVENUE,NEW YORK,NY,10024,Manhattan,,(212) 400-9401,155
386,CMR CORP,CAFE RONDA,Unenclosed Sidewalk Cafe,1103658,"249-251 COLUMBUS AVENUE, NEW YORK, NY 10023",249-251,COLUMBUS AVENUE,NEW YORK,NY,10023,Manhattan,,(212) 579-9929,200
387,"COBRA CATERERS, INC",DUBLIN 6,Unenclosed Sidewalk Cafe,1135398,"575 HUDSON ST, NEW YORK, NY 10014",575,HUDSON ST,NEW YORK,NY,10014,Manhattan,,(646) 638-2900,185
388,CODA DI BUE LLC,SAUSE,Unenclosed Sidewalk Cafe,1402290,"78 RIVINGTON STREET, NEW YORK, NY 10002",78,RIVINGTON STREET,NEW YORK,NY,10002,Manhattan,,(212) 420-7700,315
389,COFFEE PLACE CORP.,SUNFLOWER CAFE,Unenclosed Sidewalk Cafe,1145512,"1223 QUENTIN ROAD, BROOKLYN, NY 11229",1223,QUENTIN ROAD,BROOKLYN,NY,11229,Brooklyn,,(718) 336-1340,405
390,COLOMBIA CHICKEN CORP.,LA FONDA ANTIOQUENA,Unenclosed Sidewalk Cafe,1350797,"32-25 STEINWAY ST, QUEENS, NY 11103",32-25,STEINWAY ST,QUEENS,NY,11103,Queens,,(718) 726-9857,96
391,COLUMBUS ALE HOUSE INC,,Unenclosed Sidewalk Cafe,1420062,"190 GRAHAM AVE, BROOKLYN, NY 11206",190,GRAHAM AVE,BROOKLYN,NY,11206,Brooklyn,AKA 151 MESEROLE ST,(319) 331-5276,706
392,COOLJAG CORP,THE DOG & DUCK,Unenclosed Sidewalk Cafe,1424004,"4520 SKILLMAN AVE, SUNNYSIDE, NY 11104",4520,SKILLMAN AVE,SUNNYSIDE,NY,11104,Queens,,(718) 406-9048,385
