Name,Location,Type
Noonan Playground,"Greenpoint Ave, 43 St, 47 Ave, 42 St",Playgrounds
Andrews Playground,"49 Ave, Vernon Blvd, 5 St",Playgrounds
Equity Park,"88 To 89 Aves, 90 St, Woodhaven Blvd",Playgrounds
Triborough Bridge Playground A,"HOYT AVE, 19 TO 21 STS",Playgrounds
Triborough Bridge Playground D,"Hoyt Ave, 24 St To Crescent St",Playgrounds
Triborough Bridge Playground E,"Hoyt Ave, Crescent St, 26 St",Playgrounds
Hoyt Playground,"Hoyt Ave, 29 To 31 Sts",Playgrounds
Hart Playground,"65 To 69 Sts, 37 Ave, Broadway",Playgrounds
Gorman Playground,"30 Ave, 85 St, 25 Ave, 84 St",Playgrounds
Police Officer Edward Byrne Park,"N Conduit Ave, 134 St, 135 Ave, 130 Pl",Playgrounds
Addabbo Playground,"BET 81-82 STS, N CONDUIT AVE",Playgrounds
Triassic Playground,JEWEL AVE & VAN WYCK EXWY,Playgrounds
Jurassic Playground,W/S OF MEADOW LAKE & G C PKWY,Playgrounds
Lawrence Playground,"COLLEGE PT BLVD, BOTANIC GDNS",Playgrounds
Playground For All Children,111 ST & SAULTELL & 56 AVES,Playgrounds
Albert H. Mauro Playground,PARK DR EAST & 73 TERRACE,Playgrounds
Middle Village Playground,"68 Rd, 79 St, 69 Ave",Playgrounds
Juniper North Playground Tennis,"80TH ST, JUNIPER BLVD S, 77TH PLACE, JUNIPER BLVD N, 78TH ST",Playgrounds
Juniper South Playground,"72 ST, 74ST, JUNIPER BLVD SOUTH",Playgrounds
Raymond O'connor Park,"33 Ave, 210 St, 32 Ave, Cpl Kennedy St",Playgrounds
Vernon Playground,"VERNON BLVD, 40 & 41 AVES",Playgrounds
Queensbridge Baby Park,41ST RD AND 12TH ST (EAST OF VERNON BLVD),Playgrounds
Howard Von Dohlen Playground,"Archer Ave, 138 Pl, 91 Ave, 138 St",Playgrounds
Daniel M O'connell Playground,"113 & Murdock Aves, 196 St",Playgrounds
Springfield Playground,147 AVE & 184 ST,Playgrounds
Laurelton Playground,"Brookville Blvd, S/o 136 Ave",Playgrounds
Police Officer Nicholas Demuti,"Liberty Ave, 101 To 102 Sts",Playgrounds
Frederick B Judge Playground,"111 Ave, 134 & 135 Sts, Lincoln St",Playgrounds
Harvard Playground,"179 Pl, N/o Jamaica Ave",Playgrounds
K.l. Williams Playground (tennis),"LIBERTY AVE, 172-173 STS",Playgrounds
Junction Playground,"96 St, 34 Ave, Junction Blvd",Playgrounds
Astoria Health Center Playground,"14 St, 31 Ave",Playgrounds
Marconi Park,"109 Ave, 157 St, 108 Ave, 155 St",Playgrounds
London Planetree Playground,"88 To 89 Sts, Atlantic To 95 Aves",Playgrounds
"Phil ""scooter"" Rizzuto Park",125 ST & ATLANTIC AVE,Playgrounds
Virginia Principe Playground,"CENTER OF PK, L I E SVCE RD, 54 AVE BETWEEN 63 AND 61 STS",Playgrounds
Breininger Park,Braddock Ave & 240 St,Playgrounds
115th Street Playground,"14 Rd, 115 St, 14 Ave",Playgrounds
Murray Playground,"21 St, 45 Ave, 11 St, 45 Rd",Playgrounds
Beach 59th Street Playground,Boardwalk & Beach 59-60 Sts,Playgrounds
Beach 9th Street Playground,B 9 ST N OF BOARDWALK,Playgrounds
Sandpiper Playground,BET B 106-107 STS,Playgrounds
Rockaway Playground - M,B 84 ST & SHORE FRONT PKWY,Playgrounds
Rockaway Playground - N,B 82 ST & SHORE FRONT PKWY,Playgrounds
St Michaels Playground,"30 To 31 Aves & Boody St, Bklyn-queens Exwy",Playgrounds
Nautilus Playground,"Merrick Blvd, 120 Ave, Baisley Blvd",Playgrounds
Queens Valley Playground,137 St & 77 Ave,Playgrounds
Dutch Kills Playground (ps 112),"37 Ave, 28 St, 36 Ave, Crescent St",Playgrounds
Norelli-hargreaves Playground,"Van Wyck Exwy, 106 Ave, 142 St, 104 Ave",Playgrounds
Playground One-forty,"Van Wyck Exwy, Rockaway Blvd, 140 St, 120 Ave",Playgrounds
Manton Playground,MANTON ST & 83 AVE,Playgrounds
Farm Playground/ps 26,"73 Ave, 195 St & 196 Pl",Playgrounds
Hallets Cove Playground (area A),"HALLETS COVE, VERNON BLVD",Playgrounds
Hallets Point Playground (area B),1 ST & E RIVER,Playgrounds
Westbourne Playground,"Mott & Westbourne Aves, B 25 St",Playgrounds
John Adams Playground,"133 Ave, 101 To 103 Sts",Playgrounds
Seventies Playground,"78 Ave, 74 To 75 Sts",Playgrounds
Glendale Playground,"Central Ave, 70th And 71st Street",Playgrounds
Saul Weprin Playground,201 To 202 Sts Bet 53 & 56 Aves,Playgrounds
Utopia Playground,"73 Ave, Jewel Ave, Utopia Pkwy",Playgrounds
Playground Thirty-five,Steinway St & 35 Ave,Playgrounds
Steinway Community Playground,"47 To 48 Sts, 20 Ave",Playgrounds
Playground 146,146 ST & 56 RD,Playgrounds
Silent Springs Playground,COLDEN ST & GERANIUM AVE,Playgrounds
Captain Mario Fajardo Park,KISSENA BLVD & BOOTH MEM AVE,Playgrounds
Rachel Carson Playground,COLDEN & JUNIPER STS,Playgrounds
Underhill Playground,PECK AVE & 188 ST,Playgrounds
Holy Cow Playground,"Horace Harding Blvd, Bishop Reilly Hs, Peck Ave",Playgrounds
Evergreen Park (ps 68),"St. Felix & 75 Av, 60th St",Playgrounds
Travers Park,"34 Ave, 78 St, 77 St",Playgrounds
The Painter's Playground,Alderton St From Dieterle To Elwell Crescents,Playgrounds
Delphin Greene Playground,121 Ave & 237 St,Playgrounds
Bowne Playground,Sanford Ave From Union To Bowne Sts,Playgrounds
Tenney Park,74 Ave & 260 St,Playgrounds
Fresh Meadows Playground,67 Ave & 173 St,Playgrounds
Tall Oak Playground,"64 Ave, 218 & 219 Sts",Playgrounds
Playground Eighty (lxxx),"80 Ave, 261 & 262 Sts",Playgrounds
Vleigh Playground,"70 Rd To 71 Ave, 150 St To Kissena Blvd",Playgrounds
Bellaire Playground,"89 Ave, 207 & 208 Sts",Playgrounds
Bland Playground,"40 Rd, Prince & Main Sts",Playgrounds
Pomonok Playground,"Kissena Blvd, 65 Ave",Playgrounds
Locust Manor Playground,"192 St, S/s 121 Ave",Playgrounds
Woodtree Playground,"20 Ave, 37 St, 38 St",Playgrounds
Ravenswood Playground,"35 Ave, 21 St, 34 Ave",Playgrounds
Vleigh Place Playground,"Vleigh Pl, 141 St & Union Tpke",Playgrounds
Maurice A Fitzgerald Playground,Atlantic Ave Bet 104 & 106 Sts,Playgrounds
Admiral Park,"Little Neck Pkwy, 42 To 43 Aves",Playgrounds
Tornsey Playground,Skillman Ave & 43 St,Playgrounds
Electric Playground,"W/s 164 St, S/o 65 Ave",Playgrounds
Whitestone Playground,152 St Bet 11 & 12 Aves,Playgrounds
Emerald Playground,164 St Bet Jewel & 71 Aves,Playgrounds
Challenge Playground,W/s 251 St Bet 61 & 63 Aves,Playgrounds
Cadwallader Colden Playground,Union St & 31 Rd,Playgrounds
Telephone Playground,"Bell Blvd, 75 Ave & 217 St",Playgrounds
Peters Field,"Liberty Ave, 183 Pl, 104 Ave",Playgrounds
Hillside Park,"82 Ave, 256 To 257 Sts",Playgrounds
Grassmere Playground,"Grassmere Terr, Brookhaven Ave, Briar Pl",Playgrounds
Alley Park,67 Ave & 230 St,Playgrounds
Handball Haven,"102 St, 62 Ave & Yellowstone Blvd",Playgrounds
Turtle Playground,138 St & Service Rd S/s Horace Harding Exwy,Playgrounds
Gunn Park (ps 18),"S/s Hillside Ave, E/o 235 Ct",Playgrounds
Haggerty Park,S/s Jamaica Ave Bet 202 & 204 Sts,Playgrounds
Bridge And Tunnel Park,"Tunnel Plaza, 50 Ave, 11 St",Playgrounds
Playground Ninety Xc,Northern Blvd & 90 St,Playgrounds
Northern Playground,Northern Blvd & 93 St,Playgrounds
Marie Curie Park,46 Ave & 211 St,Playgrounds
Bulova Park,"W/s 77 St, N/s 25 Ave",Playgrounds
Louis Pasteur Park,52 Ave Bet 248 St & Marathon Pkwy,Playgrounds
Freedom Square,Vleigh Pl & Main St,Playgrounds
East Elmhurst Playground,25 Ave Bet 98 & 100 Sts,Playgrounds
Ampere Playground,101 Ave Bet 82 & 83 Sts,Playgrounds
Francis Lewis Playground,42 Ave At Francis Lewis Blvd,Playgrounds
Centerville Playground,"96 St, Centreville St & Albert Rd",Playgrounds
Joseph Austin Playground,Grand Central Pkwy Bet 164 Pl & 168 St,Playgrounds
Steinway Playground (jhs 141),"20 Rd-20 Ave, 37-38 Sts",Playgrounds
Bay Terrace Playground,Ne Corner 212 St & 23 Ave,Playgrounds
Oakland Gardens,E/s Springfield Blvd & 54 Ave,Playgrounds
Latimer Playground,167 St & 109 Ave,Playgrounds
Hollis Playground,"204 St, Hollis Ave, 205 St, 111 Ave",Playgrounds
Lannett Playground,"B 8 St, Lanett Ave, B 9 St",Playgrounds
Harold Schneiderman Playground,155 Ave Bet 84 & 85 Sts,Playgrounds
Rochdale Park (jhs 72),NR GUY BREWER BLVD & 134 AVE,Playgrounds
Rocket Park,"N Conduit Ave, Arion Rd, 149 Ave",Playgrounds
Louis Armstrong Playground,37 Ave Bet 112 & 113 Sts,Playgrounds
Edward Hart T Playground,147 St Bet 26 & 27 Aves,Playgrounds
Walter Ward Playground,89 St & 160 Ave,Playgrounds
Reiff Playground,"Fresh Pond Rd, 63 St, 59 Drive",Playgrounds
North Rochdale Playground,Baisley Blvd & Bedell St,Playgrounds
South Rochdale Playground,173 St & 137 Ave,Playgrounds
Spirit Playground,36 Ave Bet 9 & 10 Sts,Playgrounds
Sunrise Playground,"149 Rd, Weller Lane, 149 Ave, 253 St",Playgrounds
Tot Lot Park,W/s 98 St Bet Northern Blvd & 32 Ave,Playgrounds
Sean's Place,"38 St, 31 Av & Brwy Btwn 31 Av & Broadway",Playgrounds
Playground,NEAR THE RECREATION BUILDING; OFF BAISLEY AVE,Playgrounds
Broad Channel Park,"Cross Bay Blvd, 100 Pl, E 18 Rd, 203 Ave",Playgrounds
Clove Lakes Park Playground,CLOVE RD & CHESHIRE PL,Playgrounds
Saturn Play Equipment,CLOVE ROAD & FOREST AVE,Playgrounds
Mahoney Playground,"Beechwood Ave, Crescent & Cleveland Sts",Playgrounds
Dugan Playground,"Mill Rd, Weed Ave, Tysens Lane",Playgrounds
Wolfes Pond Park,BETWEEN PARK BUILDING AND POND,Playgrounds
Wolfes Pond Park,"END OF CORNELIA AVE, OPP HOCKEY RINK",Playgrounds
Midland Playground,"Lincoln, Mason, Midland, Boundary, Bedford Aves",Playgrounds
Schmul Park,"WILD AVE, PEARSON ST",Playgrounds
Playland,CAPADONNO BLVD & SAND LANE,Playgrounds
Midland Playground,"BET MILLER FIELD, GREELY AVE",Playgrounds
Midland Beach Playground,"BET GRAHAM BLVD, JEFFERSON AVE",Playgrounds
Carlton Park,"Foster, Carlton, Burchard Aves",Playgrounds
Arrochar Playground,"Sand Lane, Major & Mcfarland Aves",Playgrounds
Old Town Playground,"Parkinson Ave, Kramer St",Playgrounds
Toad Hall Playground,"Schmidts Lane, Manor Rd & Laguardia Ave",Playgrounds
Adventure Station,INSIDE WILLOWBROOK PARK ADJ TO CAROUSEL FOR ALL CHILDREN,Playgrounds
Terrace Playground,"Foote Ave, Howard Ave & Martha St",Playgrounds
Great Kills Veterans Playground,"Hillcrest Ave, N/o Highmount Rd",Playgrounds
Naples Playground,"Targee St, Naples St",Playgrounds
Lemon Creek Park,"HYLAN BLVD, SHARROTT & SEGUINE AVES",Playgrounds
Dongan Playground,"Mason, Buel, Dongan Hills Aves",Playgrounds
Greencroft Playground,"Redgrave, Greencroft Sts, Ainsworth & Durant Aves",Playgrounds
Double Nickel Playground/ps 55,"Preston Ave, Koch Blvd, Arden Rd & Osborne St",Playgrounds
Bloomingdale Park,"DRUMGOOLE RD, MAGUIRE AVE",Playgrounds
Jennifer's Playground,"Jules Dr, Elson Ct, Regis Dr",Playgrounds
Luis R Lopez Park,Targee Street & Oder Avenue,Playgrounds
Sobel Court Park,"Sobel Ct, Vanderbilt Av, Oder Av",Playgrounds
Morton Playground,MORTON PL & UNIVERSITY AVE,Playgrounds
Olinville Playground,"E 219 ST, BX RIVER PKWY",Playgrounds
Prospect Park (2),CROTONA N BET MARMION/PROSPECT,Playgrounds
Crotona Playground (3),CROTONA N BET WATERLOO/MARMION,Playgrounds
Hill & Dale Playground,CROTONA PK E @ E 173 ST,Playgrounds
Martin Van Buren Playground,CROTONA E-CLAREMONT/PROSPECT,Playgrounds
Tremont Playground (1),COR E TREMONT & ARTHUR AVES,Playgrounds
Upper,"E 178 ST, UPPER LEVEL",Playgrounds
Fort Independence Playground,"Sedgwick Ave, Stevenson Pl, Jerome Pk Reservoir",Playgrounds
Hines Park,"Fulton To Franklin Aves, S/o E 167 St",Playgrounds
Kossuth Playground,MOSHOLU PWY N/KOSSETH AVE,Playgrounds
Mullaly Park (1), E 164 ST & RIVER AVE,Playgrounds
Mullaly Playground (2),CROMWELL AVE & MCCLELLAN ST,Playgrounds
Strong Street Playground,"STRONG ST, RESERVOIR AVE",Playgrounds
Fort #4 Playground, RESERVOIR AVE. & SEDGWICK,Playgrounds
Playground For All Children,"BRUCKNER EXWY, BUHRE AVE",Playgrounds
Pelican Bay Playground,ORCHARD BEACH  SECTION 6-7,Playgrounds
St James Park,E 193 ST & JEROME AVE,Playgrounds
St Mary's Playground West, ST ANNS AVE & E 147 ST,Playgrounds
Henry Hudson Park (upper),INDEPENDENCE & W 227 ST,Playgrounds
Slattery Playground,"Ryer Ave,valentine Ave & E 183 St",Playgrounds
Van Cortlandt Classic Playground,"VC PARK SOUTH, GOUVERNEUR AVE",Playgrounds
Woodlawn Playground,"W 239 ST, VAN CORTLANDT EAST",Playgrounds
Southwest Playground,W 240 ST & BROADWAY,Playgrounds
Williamsbridge Oval,RESERVOIR OVAL WEST & 208 ST,Playgrounds
Belmont Playground,"E 181, E 182 Sts, Crotona & Belmont Aves",Playgrounds
Cauldwell Playground,"E 163 St, Cauldwell Ave, E 161 St, Eagle Ave",Playgrounds
Hunts Point Playground,"Hunts Point Rd, Spofford Ave, Faile St",Playgrounds
Goble Playground,S/e Corner Macombs Pl & Gobel Rd,Playgrounds
Mott Playground,"Morris To College Aves, E 166-e 167 Sts",Playgrounds
Rev J Polite Pg & Stebbins Playground,"Rev James Polite Ave, Intervale Ave bet. Home St and 167th St",Playgrounds
Soundview Park,LAFAYETTE AVE BET MORRISON & BOYNTON AVE,Playgrounds
Colucci Playground,Wilkinson & Mayflower Aves,Playgrounds
Watson Gleason Playground,"Noble, Gleason, Rosedale, Watson Aves",Playgrounds
Rienzi Playground,"White Plains Rd, E 226 St, Barnes Ave, E 225 St",Playgrounds
Flynn Playground,"E 157 St, 3 Ave, E 158 St, Brook Ave",Playgrounds
Plimpton Playground,"Edward L Grant Hwy, Plimpton Ave",Playgrounds
Bridge Playground,"Boscobel Pl, University Ave, W 171 St",Playgrounds
Jenny  Jerome Playground,"N/s Cross Bronx Exwy, Jerome Ave, E 174 St",Playgrounds
Admiral Farragut Playground,"E 176 St, Crotona Ave, Prospect Ave",Playgrounds
Prospect Playground,"Clinton Ave, E 176 St, Prospect Ave",Playgrounds
Bailey Playground,"W 234 St, Bailey Ave, W 238 St",Playgrounds
P. O. Serrano Playground,"Olmstead, Turnbull, Castle Hill, Lafayette Aves",Playgrounds
Vinmont Veteran Park,"W 254 St, Riverdale & Mosholu Aves",Playgrounds
Merriam Playground. (lower),"MERRIAM & OGDEN AVES, W 168 ST, UNIVERSITY",Playgrounds
Dawson Playground,"Dawson St, Rogers Pl, Rev. James A Polite",Playgrounds
Nelson Playground,"W 166 St, Nelson Ave, Wododycrest Ave",Playgrounds
Spuyten Duyvil Playground,"Douglas Ave, W 235 & W 236 Sts",Playgrounds
Bruckner Playground/p.s. 183,"Phillips Ave, E 177 St",Playgrounds
Angelo Campanero Playground,GUN HILL/EASTCHEST RDS/O'NEIL,Playgrounds
Tiffany Playground,"Fox St, E 167 St, Tiffany St",Playgrounds
Colgate Close,N/s Bruckner Exwy At Close & Colgate Aves,Playgrounds
Haffen Park,ELY & BURKE AVES,Playgrounds
Mosholu Playground (ps 8),"MOSHOLU PKWY, BAINBRIDGE AVE",Playgrounds
Marble Hill Playground,Marble Hill Ave Bet W 228 & W 230 Sts,Playgrounds
Haviland Playground,"Pugsley, Haviland, Watson Aves",Playgrounds
Stebbins Park,"E 165 St, Stebbins Ave, Roger Pl",Playgrounds
Magenta Playground,"Rosewood & Magenta Sts, Olinville Ave",Playgrounds
Arcilla Playground,"Park, Clay, Teller Aves, E 164 St",Playgrounds
Space Time Playground,"Lafayette, Bolton, Underhill Aves",Playgrounds
Gouverneur Playground,"3 Ave, St Pauls Pl, Washington Ave",Playgrounds
I Am Park,"E 147 St, Jackson Ave, E 144 St, St Marys Pk",Playgrounds
Burns Playground,"Mace, Lodovick & Gunther Aves",Playgrounds
Fox Playground,"S/e Corner Fox St, E 156 St",Playgrounds
Cleopatra Playground,Anthony Ave & Prospect Pl,Playgrounds
Harding Park,Bolton Ave Bet O'brien & Cornell Aves,Playgrounds
Galileo Park Park,Macombs Road And W 176 Street,Playgrounds
Vidalia Park,Vyse & Daly Aves Bet W 179-180 Streets,Playgrounds
Washington Park,E. 183 St B/w Washington & Park,Playgrounds
Stop & Go Playground,"Bathgate, Washington Aves, E. 175 St",Playgrounds
Beanstalk Playground,"Billingsley Terr, Phelan Pl, Sedgwick Ave",Playgrounds
Walton Park,"E.181st St, Walton Ave,jerome Ave",Playgrounds
Morris Garden,"Morris Ave, E.181st St,creston Ave",Playgrounds
Arcilla Playground,"Teller Avenue, Park Avenue, Clay Avenue, East 64 Street",Bathrooms
Behagen Playground,"Tinton Avenue, East 165 Street, Union Avenue, East 166 Street",Bathrooms
Belmont Playground,"Crotona Avenue, East 181 Street",Bathrooms
Capt. Rivera Playground,"East 156 Street, Forest Avenue",Bathrooms
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",Bathrooms
Crotona Park (Pool House), 173rd Street and Fulton Avenue,Bathrooms
Franz Sigel Park,"East 153 Street, Gerard Avenue, East 151 Street, Walton Avenue",Bathrooms
Magenta Playground,"Olinville Avenue, Rosewood Street",Bathrooms
Mathew Muliner Playground,"Delancy Place, Muliner Avenue, Matthews Avenue",Bathrooms
Millbrook Playground,"East 135 Street, Cypress Avenue",Bathrooms
Orchard Beach Pavilion,"Bruckner Boulevard, Eastchester Bay, Hutchinson",Bathrooms
Parkside Playground,"Arnow Avenue, Adee Avenue, Olinville Avenue",Bathrooms
Pelham Bay Park (Hunter Island Picnic Area),"Bruckner Boulevard, Eastchester Bay, Hutchinson",Bathrooms
Pelham Bay Park (Playground for All Children),Bruckner Expressway & Buhre Avenue,Bathrooms
Quarry Ballfields,"Quarry Road, East 181 Street, Oak Place & Hughes Avenue",Bathrooms
Richman (Echo) Park Playground,"East 178 Street & Ryer Avenue, Upper Level",Bathrooms
Riverbend Playground,"Bailey Avenue, West Kingsbridge Road",Bathrooms
St. Mary's Playground East Playground,Jackson Avenue between East 144 and 145 streets,Bathrooms
Vidalia Park,Vyse & Daly avenues between West 179-180 streets,Bathrooms
Albert J. Parham Playground,"Adelphi Street, Clermont, DeKalb & Willoughby avenues",Bathrooms
Carroll Park,Court & Smith Streets,Bathrooms
Coney Island Beach,Stillwell Avenue,Bathrooms
Coney Island Beach,West 16th Street,Bathrooms
Coney Island Beach,W 22 ST.,Bathrooms
Fort Greene Playground,Myrtle Avenue & St. Edwards Plaza,Bathrooms
Fox Playground,"Avenue H, East 54 to E 55 streets",Bathrooms
Glenwood Playground,Ralph Avenue & Farragut Road,Bathrooms
Jesse Owens Playground,Stuyvesant & Lafayette avenues,Bathrooms
Prospect Park (Middle Long Meadow),Picnic House,Bathrooms
Prospect Park (The Bandshell),Prospect Park West/7th Street/15th Street,Bathrooms
PS 286 Playground,"Avenue Y, between Brown & Haring streets",Bathrooms
Sternberg Park,"Montrose Avenue, Boerum, Lorimer, Leonard streets",Bathrooms
Tiger Playground,Evergreen Avenue & Eldert Street,Bathrooms
Underwood Park,Lafayette & Waverly avenues,Bathrooms
Washington Hall Playground,"Park, Washington avenues to Hall Street",Bathrooms
Yak Playground,Avenue Y between Coyle & Batchelder streets,Bathrooms
Carl Schurz Park,East 84 Street & East End Avenue,Bathrooms
Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Bathrooms
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Bathrooms
Central Park (Lasker),Central Park at 107th Street,Bathrooms
Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Bathrooms
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Bathrooms
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",Bathrooms
Columbus Park,"Baxter, Mulberry, Bayard & Worth streets",Bathrooms
Fort Tryon Park (Anne Loftus Playground),Broadway & Dyckman Street,Bathrooms
Fort Washington Park (Lily Brown Playground),"West 162 Street, east of Riverside Drive",Bathrooms
Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,Bathrooms
J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 Street",Bathrooms
Jackie Robinson Park (Recreation Center),"Bradhurst & Edgecombe avenues,West 145 to West 155 streets",Bathrooms
Morningside Park,West 123 Street & Morningside Avenue,Bathrooms
Riverside Park (Café),"105th Street, next to Henry Hudson Parkway",Bathrooms
Sara D. Roosevelt Park,East Houston Street to Canal Street,Bathrooms
Vesuvio Playground,Spring & Thompson streets,Bathrooms
Bayside Fields,"204 Street & 29 Avenue, Clearview Expressway",Bathrooms
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",Bathrooms
Flushing Meadows Corona Park (Passerelle),"Unisphere Fountain to pool, at Meridian Road",Bathrooms
Flushing Meadows Corona Park (Playground for All Children) ,111 Street and Corona Avenue,Bathrooms
"Flushing Meadows Corona Park (Zoo, Ballfields)",Grand Central Parkway to 111th Street to Heckscher Children Farm to Playground for All Children,Bathrooms
Juniper Valley Park,Lutheran Avenue; North and South Juniper boulevards; and the pathway from 76th Street on north end to 75th Street on south end,Bathrooms
Lawerence Virgilio Playground,39 Drive & 54 Street,Bathrooms
Michaelis-Bayswater Park,"Beach Channel Drive, B 32 Street, Dwight Avenue, Norton Avenue",Bathrooms
Arrochar Playground,"Sand Lane, Major Avenue, McFarland Avenue",Bathrooms
Blood Root Valley (Greenbelt Nature Center),"Rockland, Manor and Brielle avenues, Forest Hill Road",Bathrooms
Blood Root Valley (Park House),"Rockland, Manor and Brielle avenues, Forest Hill Road",Bathrooms
Blue Heron Park Preserve (Nature Center),Poillon Avenue,Bathrooms
Corporal Thompson Park/West Brighton Pool,"Broadway, Henderson Avenue",Bathrooms
Double Nickel Playground,Osborne Street and Preston Avenue,Bathrooms
Grandview Playground,"Grandview Avenue, Continental Place",Bathrooms
High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,Bathrooms
Joline Pool Playground (Modular Equipment),"Joline Avenue, Hylan Boulevard",Bathrooms
Lyons Pool,"Pier 6, Victory Boulevard",Bathrooms
Markham Playground,"Willowbrook Parkway, Forest Avenue & Houston Street",Bathrooms
Midland Beach & Boardwalk,"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Bathrooms
Midland Field,Midland Avenue & Mason Avenue,Bathrooms
South Beach (Saturn Playground),"Natural Area and Boardwalk from Sands Lane to Vulcan Street, East of Father Capodanno Boulevard",Bathrooms
Stapleton Playground,Tompkins Avenue & Broad Street,Bathrooms
Terrace Playground,Howard Avenue & Martha Street,Bathrooms
Todt Hill Playground,Schmidts Lane & Manor Road,Bathrooms
Coney Island,Brighton 2nd,Bathrooms
Coney Island,W 27 ST.,Bathrooms
Coney Island,W 33 St.,Bathrooms
Marine Park Nature Center,East 33rd Street and Avenue U,Bathrooms
Bendheim Playground,100th Street and Fifth Ave,Bathrooms
Liberty Pool,173rd Street and 106th Avenue,Bathrooms
Ederle Comfort Station,,Bathrooms
Rockaway Beach 86 Comfort Station,Beach 86 Street,Bathrooms
Rockaway Beach 97 Comfort Station,Beach 97 Street,Bathrooms
Rockaway Beach 106 Comfort Station,Beach 106 Street,Bathrooms
Rockaway Beach 117th L/G,Beach 117 Street,Bathrooms
Bloomingdale Park,"Richmond Pkwy, Bloomingdale Rd., Lenevar Ave",Bathrooms
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",Bathrooms
South Beach Wetlands,Quintard St Bet. Quincy Ave & Father Capodanno Blvd,Bathrooms
Bulova Park,"W/S 77 Street, N/S 25 Avenue",Baseball Fields
Betsy Head Memorial Playground,"Livonia, Dumont, Hopkinson, Blake avenues, Strauss Street",Baseball Fields
De Matti Playground,"Tompkins Avenue, Chestnut Street & Shaughnessy Lane",Baseball Fields
Arcilla Playground,"Clay, Teller avenues, East 164 Street",Baseball Fields
St. Vartan Playground,"1 to 2 avenues, East 35 to East 36 streets",Baseball Fields
Orchard Beach and Promenade,On Long Island Sound in Pelham Bay Park,Beaches
Manhattan Beach,"On Atlantic Ocean, Oriental Blvd., from Ocean Avenue to Mackenzie Street",Beaches
Brighton Beach & Coney Island and Coney Island Boardwalk,"On Atlantic Ocean, from W. 37th Street to Corbin Place",Beaches
Rockaway Beach and Boardwalk,"On Atlantic Ocean, from Beach 9th Street, Far Rockaway, to Beach 149th Street, Neponsit",Beaches
South Beach,"On Lower New York Bay, from Fort Wadsworth to Miller Field, Midland Beach",Beaches
Wolfe's Pond Beach,"On Raritan Bay and Prince's Bay, Holton to Cornelia Avenues",Beaches
Midland Beach and Franklin D. Roosevelt Boardwalk,"On Lower New York Bay, from Fort Wadsworth to Miller Field, Midland Beach",Beaches
The Salt Marsh Nature Center,East 33rd Street and Avenue U,Nature Centers
"Audubon Center, Prospect Park",East Drive & Lincoln Road,Nature Centers
Dana Discovery Center,110th St. & Lenox Ave,Nature Centers
Blue Heron Nature Center,222 Poillon Avenue between Amboy Road and Hylan Blvd,Nature Centers
Alley Pond Adventure Center,Windchester Boulevard & Grand Central Parkway,Nature Centers
Fort Totten Visitors Center ,212th Street and Bell Boulevard,Nature Centers
Forest Park Visitor Center,Woodhaven Boulevard & Forest Park Drive,Nature Centers
Alfred E. Smith,80 Catherine Street,Recreation Centers
Asser Levy,Asser Levy Place,Recreation Centers
St. Mary's,450 St. Ann's Avenue,Recreation Centers
St. James,2530 Jerome Avenue,Recreation Centers
Brownsville Recreation Center,1555 Linden Boulevard,Recreation Centers
Von King Cultural Arts Center,670 Lafayette Avenue,Recreation Centers
Red Hook,155 Bay Street,Recreation Centers
St. John's,1251 Prospect Place,Recreation Centers
Basil Behagen (Field House),East 166th Street,Recreation Centers
Sunset Park,7th Avenue at 43rd Street,Recreation Centers
Fort Hamilton Senior Center,9941 Fort Hamilton Parkway,Recreation Centers
Tony Dapolito,3 Clarkson Street,Recreation Centers
East 54th,348 East 54th Street,Recreation Centers
Thomas Jefferson,2180 1st  Avenue,Recreation Centers
J. Hood Wright,351 Fort Washington Avenue,Recreation Centers
Highbridge Recreation Center,2301 Amsterdam Avenue,Recreation Centers
Hansborough,35 West 134th Street,Recreation Centers
Jackie Robinson,85 Bradhurst Avenue,Recreation Centers
North Meadow (Community Center),Central Park,Recreation Centers
Morningside (Field House),410 West 123rd Street,Recreation Centers
Roy Wilkins Family Center,177th St & Baisley Boulevard,Recreation Centers
Sorrentino,18-48 Cornaga Avenue,Recreation Centers
Louis Armstrong (Community Center),33-16 108 St.,Recreation Centers
A.R.R.O.W. (Field House),35-30 35th Street,Recreation Centers
George Cromwell Recreation Center,Pier 6 @ Murray Hulbert  Avenue,Recreation Centers
Chelsea,430 West 25th Street,Recreation Centers
