Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1
148-154 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1954,,6,62500000,10/22/2004,N,,0.1722,37921,6320,0,,100,-,,,,,,,,,,,C6-5.5,,,2008 Tax @ $5.95/sf,2008 Tax @ $5.95/sf,"148 154 W 48th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
156-158 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,1969,5,,,N,,0.0781,11796,2359,0,,100,-,,,,,,,,,,Signage,C6-5.5,,,2010 Tax @ $16.28/sf; 2010 Est Ops @ $12.93/sf,2010 Tax @ $16.28/sf; 2010 Est Ops @ $12.93/sf,"156 158 W 48th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
160 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1929,,4,13875000,05/19/2004,N,,0.039,3323,831,0,,100,-,,,,,,,,,,,C6-7T,,,,,"160 48th St
New York, NY 10036
(40.759552183649475, -73.98347064660942)"
162-164 W 48th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1930,,4,33400000,08/14/2004,N,,0.0781,11979,2995,0,,100,-,,,,,,,,,,,C6-7T,,,2010 Tax @ $12.62/sf; 2010 Est Ops @ $27.15/sf,2010 Tax @ $12.62/sf; 2010 Est Ops @ $27.15/sf,"162 164 W 48th St
New York, NY 10036
(40.75934682719435, -73.989860554421)"
163 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,,,N,,0.1008,13344,3336,0,,100,-,,,,,,,,,,,C6-7T,,,2009 Tax @ $6.80/sf,2009 Tax @ $6.80/sf,"163 48th St
New York, NY 10036
(40.759581866623, -73.98347499520301)"
166 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.0459,4792,738,0,,100,-,,,,,,,,,,,C6-7T,,,2011 Tax @ $15.00/sf; 2011 Ops @ $3.95/sf,2011 Tax @ $15.00/sf; 2011 Ops @ $3.95/sf,"166 48th St
New York, NY 10036
(40.75962412941186, -73.98364151779498)"
244 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,,,N,,0.0424,8958,2239,0,,100,-,,,,,,,,,,,C6-5,,,2008 Tax @ $5.56/sf,2008 Tax @ $5.56/sf,"244 48th St
New York, NY 10036
(40.76082022771078, -73.98650136184818)"
249 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,,,2,,,N,,,10000,5000,0,,100,-,,,,,,,,,,,,,,,,"249 48th St
New York, NY 10036
(40.76059237506483, -73.98588693782297)"
148 W 49th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,N,,0.05,5174,1140,0,,100,-,,,,,,,,,,,C6-7T,,,2008 Tax @ $17.98/sf,2008 Tax @ $17.98/sf,"148 49th St
New York, NY 10036
(40.5867152873402, -73.98693254776641)"
233 W 49th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1948,,9,6100000,12/14/1995,N,,0.124,48600,5400,0,,100,-,,,,,,,,,,,"C65, New York",,,2001 Tax @ $3.14/sf; 2001 Ops @ $4.52/sf,2001 Tax @ $3.14/sf; 2001 Ops @ $4.52/sf,"233 49th St
New York, NY 10036
(40.58558675685327, -73.98872987769549)"
249 W 49th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,2009,2,5650000,12/11/2004,N,,0.0576,4515,2257,0,,100,-,,,,,,,,,,"A/C, Street parking only",C6-5,,,"2011 Tax @ $15.42/sf; 2011 Ops @ $19.40/sf, 2010 Est Ops @ $12.86/sf","2011 Tax @ $15.42/sf; 2011 Ops @ $19.40/sf, 2010 Est Ops @ $12.86/sf","249 49th St
New York, NY 10036
(40.585549868299104, -73.98880160543969)"
250 W 49th St,,,Times Square,Midtown,Manhattan,Office,C,Existing,1907,,8,13100000,08/28/1999,N,,0.1837,64000,8000,2,,100,-,Direct - Plus Electric,,,,,,,,,"On Site Management, Property Manager on Site","C6-5, New York",,,"2011 Tax @ $6.20/sf; 2011 Ops @ $12.80/sf, 2010 Est Ops @ $10.91/sf","2011 Tax @ $6.20/sf; 2011 Ops @ $12.80/sf, 2010 Est Ops @ $10.91/sf","250 49th St
New York, NY 10036
(40.585590650769085, -73.98885104918438)"
135 W 50th St,Sports Illustrated Building,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1962,,23,332500000,06/28/2002,N,,1.107,800733,34814,16,23,100,43.49,Sublet - Plus Electric,,0,141646,0,35045,55235,55235,141646,"Concierge, LEED Certified - Silver, LEED Registered, On Site Management, Property Manager on Site","C6-7, Manhattan (O3)",,,"2010 Tax @ $10.25/sf, 2011 Est Tax @ $10.14/sf; 2000 Ops @ $14.63/sf, 2011 Est Ops @ $13.88/sf","2010 Tax @ $10.25/sf, 2011 Est Tax @ $10.14/sf; 2000 Ops @ $14.63/sf, 2011 Est Ops @ $13.88/sf","135 50th St
New York, NY 10036
(40.58600833067434, -73.98639662416525)"
214 W 50th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,4375000,09/08/1995,N,,0.0459,8500,2125,0,,100,-,,,,,,,,,,,"C6-7.5, New York",,,"2010 Tax @ $5.93/sf; 2001 Ops @ $10.69/sf, 2010 Est Ops @ $10.26/sf","2010 Tax @ $5.93/sf; 2001 Ops @ $10.69/sf, 2010 Est Ops @ $10.26/sf","214 50th St
New York, NY 10036
(40.64885879883271, -74.01659638603601)"
218 W 50th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1930,,6,,,N,,0.1377,34948,5824,0,,100,-,,,,,,,,,,,C6-7T,,,2008 Tax @ $4.15/sf,2008 Tax @ $4.15/sf,"218 50th St
New York, NY 10036
(40.64880807705889, -74.0165121947924)"
251 W 50th St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,,,2,,,N,,,2614,1306,0,,100,-,,,,,,,,,,,,,,2010 Tax @ $21.96/sf; 2010 Est Ops @ $5.81/sf,2010 Tax @ $21.96/sf; 2010 Est Ops @ $5.81/sf,"251 50th St
New York, NY 10036
(40.64844523678271, -74.01579373225542)"
253 W 51st St,,,Columbus Circle,Midtown,Manhattan,Office,B,Existing,1991,,3,,,N,,0.09,5309,1769,0,,88.7,60,Direct - Full Service Gross,,600,0,600,0,600,600,600,,C6-4,,,"2010 Tax @ $10.47/sf, 2011 Est Tax @ $10.35/sf; 2011 Est Ops @ $2.75/sf","2010 Tax @ $10.47/sf, 2011 Est Tax @ $10.35/sf; 2011 Est Ops @ $2.75/sf","253 51st St
New York, NY 10036
(40.64786170019595, -74.01633131110513)"
201 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Office,B,Existing,1939,,3,,,N,,0.1274,22000,5500,1,,100,-,,,,,,,,,,"Property Manager on Site, Restaurant",C6-6.5,,,2008 Tax @ $11.17/sf,2008 Tax @ $11.17/sf,"201 52nd St
New York, NY 10036
(40.64795543271813, -74.01800634270266)"
228 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.149,22076,860,0,,100,-,,,,,,,,,,,C6-7,,,2010 Tax @ $7.19/sf; 2010 Est Ops @ $3.08/sf,2010 Tax @ $7.19/sf; 2010 Est Ops @ $3.08/sf,"228 52nd St
New York, NY 10036
(40.647559748608806, -74.01746174745959)"
256 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1950,,4,2500000,12/21/2000,N,,0.048,4612,1310,0,,100,-,,,,,,,,,,,"C6-5, New York (K4)",,,2009 Tax @ $17.09/sf,2009 Tax @ $17.09/sf,"256 52nd St
New York, NY 10036
(40.64720711159702, -74.01687240889196)"
261 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1922,,3,,,N,,1.0331,7709,2569,0,,100,-,,,,,,,,,,,C6-5,,,,,"261 52nd St
New York, NY 10036
(40.647199781955045, -74.0167434743041)"
232 W 48th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,1630000,09/23/1995,N,,0.039,3460,800,0,,100,-,,,,,,,,,,,"C65, New York",,,2010 Tax @ $12.72/sf; 2010 Est Ops @ $7.51/sf,2010 Tax @ $12.72/sf; 2010 Est Ops @ $7.51/sf,"232 48th St
New York, NY 10036
(40.76065834974554, -73.98612364659584)"
1119 Avenue of the Americas,,,Times Square,Midtown,Manhattan,Office,C,Existing,1920,,4,7481000,02/17/2000,N,,0.0303,5264,1316,0,,100,-,,,,,,,,,,Corner Lot,"C6-6, New York (O9)",,,,,"1119 Avenue
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1460 Broadway,,,Penn Plaza/Garment,Midtown,Manhattan,Office,A,Existing,1951,,17,7200000000,10/04/2002,N,,0.26,215000,12647,5,,100,-,,,,,,,,,,"24/7 Building Access, Bus Line, Metro/Subway, On Site Management, Property Manager on Site",C5-3,,,"2011 Tax @ $7.73/sf; 2001 Ops @ $17.00/sf, 2011 Est Ops @ $12.26/sf","2011 Tax @ $7.73/sf; 2001 Ops @ $17.00/sf, 2011 Est Ops @ $12.26/sf","1460 Broadway
New York, NY 10036
(40.75557989934772, -73.98645145616032)"
1530 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1936,2001,4,,,N,,1.021,119000,29750,0,,100,-,,,,,,,,,,,C6-7T,,,2010 Tax @ $57.57/sf; 2010 Est Ops @ $30.57/sf,2010 Tax @ $57.57/sf; 2010 Est Ops @ $30.57/sf,"1530 Broadway
New York, NY 10036
(40.75783137537844, -73.98550431810116)"
1551-1553 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,2009,,3,,,N,,0.11,25000,8333,0,,100,-,,,,,,,,,,"Bus Line, Metro/Subway",C6-7T,,,2010 Tax @ $20.83/sf; 2010 Est Ops @ $15.64/sf,2010 Tax @ $20.83/sf; 2010 Est Ops @ $15.64/sf,"1551 1553
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1552-1554 Broadway,I Miller Shoe Building/TGI Friday's,,Times Square,Midtown,Manhattan,Retail,,Existing,1939,2006,4,136550000,08/18/2007,N,,0.0735,15000,3200,0,,100,-,,,,,,,,,,"A/C, Bus Line, Corner Lot, Metro/Subway, Restaurant, Signage, Signalized Intersection, Street parking only, Tenant Controlled HVAC","C6-7T, Manhattan(K9)",,,"2010 Tax @ $57.80/sf, 2011 Est Tax @ $57.80/sf; 2011 Ops @ $11.56/sf, 2010 Est Ops @ $23.73/sf","2010 Tax @ $57.80/sf, 2011 Est Tax @ $57.80/sf; 2011 Ops @ $11.56/sf, 2010 Est Ops @ $23.73/sf","1552 1554
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1600 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,2006,,2,,,N,,,30000,12000,0,,100,-,,,,,,,,,,,,,,,,"1600 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
1601-1611 Broadway,Crowne Plaza,,Times Square,Midtown,Manhattan,Office,A,Existing,1989,,48,,,N,,0.8996,200533,28418,7,,100,36,Sublet - Plus Electric,,0,50086,0,50086,50086,25693,50086,"Concierge, Conferencing Facility, Fitness Center, Hotel, Property Manager on Site, Restaurant",C6-7.5,,,2008 Tax @ $32.64/sf,2008 Tax @ $32.64/sf,"1601 1611
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1619 Broadway,Brill Bldg,,Times Square,Midtown,Manhattan,Office,B,Existing,1931,,11,151000000,11/05/2003,N,,0.3444,175000,15909,4,,100,55,Sublet - Plus Electric,,43644,6972,0,6972,31417,12227,50616,Corner Lot,C6-7.5,,,"2011 Tax @ $11.06/sf; 2011 Ops @ $12.55/sf, 2010 Est Ops @ $13.02/sf","2011 Tax @ $11.06/sf; 2011 Ops @ $12.55/sf, 2010 Est Ops @ $13.02/sf","1619 Broadway
New York, NY 10036
(40.760096273839764, -73.98486230863858)"
1625 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1942,,2,,,N,,0.0467,5000,2500,0,,100,-,,,,,,,,,,,C6-7T,,,2009 Tax @ $31.43/sf,2009 Tax @ $31.43/sf,"1625 Broadway
New York, NY 10036
(40.760096273839764, -73.98486230863858)"
1627 Broadway,Retail portion of Snapple Theater Center,,Times Square,Midtown,Manhattan,Retail,,Existing,1930,,2,,,N,,0.1458,18528,9264,0,,100,-,,,,,,,,,,,C6-7T,,,"2011 Tax @ $33.22/sf; 2011 Ops @ $26.50/sf, 2010 Est Ops @ $17.18/sf","2011 Tax @ $33.22/sf; 2011 Ops @ $26.50/sf, 2010 Est Ops @ $17.18/sf","1627 Broadway
New York, NY 10036
(40.760096273839764, -73.98486230863858)"
1628-1630 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1911,,3,,,N,,0.065,8034,2678,0,,100,46.8,Sublet - Plus Electric,,0,5000,0,5000,5000,2500,5000,,C6-7T,,,"2011 Tax @ $35.84/sf; 2011 Ops @ $11.10/sf, 2010 Est Ops @ $8.21/sf","2011 Tax @ $35.84/sf; 2011 Ops @ $11.10/sf, 2010 Est Ops @ $8.21/sf","1628 1630
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1633 Broadway,Paramount Plaza,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1971,1989,48,980000000,08/14/2007,N,,2.0764,2438049,47701,40,,87.51,56.3,Direct - Plus Electric,,304562,31791,304562,6915,222517,50144,336353,"24/7 Building Access, Energy Star Labeled, Fitness Center, Metro/Subway, On Site Management",C6-7.5,,0.1,"2010 Tax @ $11.10/sf, 2011 Est Tax @ $10.98/sf; 2001 Ops @ $17.79/sf, 2011 Est Ops @ $15.81/sf","2010 Tax @ $11.10/sf, 2011 Est Tax @ $10.98/sf; 2001 Ops @ $17.79/sf, 2011 Est Ops @ $15.81/sf","1633 Broadway
New York, NY 10036
(40.760096273839764, -73.98486230863858)"
1634-1642 Broadway,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,1910,,5,,,N,,0.5439,16000,6673,0,,100,-,,,,,,,,,,,C6-7,,,2001 Tax @ $4.35/sf; 2001 Ops @ $13.81/sf,2001 Tax @ $4.35/sf; 2001 Ops @ $13.81/sf,"1634 1642
New York, NY 10036
(40.75934682719435, -73.989860554421)"
1650 Broadway,,,Columbus Circle,Midtown,Manhattan,Office,B,Existing,1922,,13,,,N,,0.1784,107075,8305,4,,100,-,,,,,,,,,,,C6-7.5,,,"2011 Tax @ $6.56/sf; 2001 Ops @ $16.14/sf, 2011 Est Ops @ $17.74/sf","2011 Tax @ $6.56/sf; 2001 Ops @ $16.14/sf, 2011 Est Ops @ $17.74/sf","1650 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
1674 Broadway,,,Columbus Circle,Midtown,Manhattan,Office,C,Existing,1921,1985,9,,,N,,0.1205,46000,5111,1,,95.43,30,Direct - Plus Electric,,2100,0,2100,0,2100,2100,2100,,C6-7.5,,,"2010 Tax @ $10.54/sf; 1997 Ops @ $2.80/sf, 2010 Est Ops @ $15.83/sf","2010 Tax @ $10.54/sf; 1997 Ops @ $2.80/sf, 2010 Est Ops @ $15.83/sf","1674 Broadway
New York, NY 10036
(40.76008129426175, -73.98479268511082)"
1 Bryant Park,Bank of America Tower,,Times Square,Midtown,Manhattan,Office,A,Existing,2009,,51,,,N,,2.0061,2118441,34580,0,,98.12,65,,,39761,7168,39761,7168,24211,24211,46929,"Bus Line, LEED Certified - Platinum, LEED Registered, Metro/Subway, Restaurant",C6-6,,,"2011 Tax @ $27.14/sf; 2011 Ops @ $20.74/sf, 2010 Est Ops @ $22.68/sf","2011 Tax @ $27.14/sf; 2011 Ops @ $20.74/sf, 2010 Est Ops @ $22.68/sf","1 Bryant Park
New York, NY 10036
(40.57864437332576, -74.11537335151279)"
634 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1965,,5,,,N,,0.287,12500,12500,0,,100,-,,,,,,,,,,,C6-7,,,,,"634 Eighth Ave
New York, NY 10036
(40.756567089116984, -73.99022537861946)"
681 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1929,,3,2000000,09/30/1992,N,,0.1377,25687,6000,1,,100,-,,,,,,,,,,,C6-4,,,2011 Tax @ $4.71/sf; 2011 Est Ops @ $13.90/sf,2011 Tax @ $4.71/sf; 2011 Est Ops @ $13.90/sf,"681 Eighth Ave
New York, NY 10036
(40.75810427518235, -73.98917234827519)"
690-692 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1920,,6,,,N,,0.1148,15000,2500,1,,100,-,Direct - Plus Electric,,,,,,,,,,C6-5,,,2001 Tax @ $14.92/sf; 2001 Ops @ $48.69/sf,2001 Tax @ $14.92/sf; 2001 Ops @ $48.69/sf,"690 692 Eighth Ave
New York, NY 10036
(40.75934682719435, -73.989860554421)"
694 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1900,,5,,,N,,0.1148,23000,4950,0,,100,-,Direct - Plus Electric,,,,,,,,,"24/7 Building Access, Signage",C6-4,,,2008 Tax @ $12.54/sf,2008 Tax @ $12.54/sf,"694 Eighth Ave
New York, NY 10036
(40.7584100446723, -73.98894751776788)"
724 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,3652000,08/12/1994,N,,0.03,5424,1356,0,,100,-,,,,,,,,,,"Corner Lot, Signalized Intersection, Street parking only",C6-4,,,,,"724 Eighth Ave
New York, NY 10036
(40.75925540737984, -73.98830899912707)"
725 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1925,,4,,,N,,0.04,6600,1800,0,,100,-,,,,,,,,,,,C6-4,,,2010 Tax @ $26.02/sf; 2010 Est Ops @ $5.74/sf,2010 Tax @ $26.02/sf; 2010 Est Ops @ $5.74/sf,"725 Eighth Ave
New York, NY 10036
(40.75950721754805, -73.98812913472119)"
726 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,4300000,10/15/2005,N,,0.03,4106,1026,0,,100,-,,,,,,,,,,Street parking only,C6-4,,,2010 Tax @ $17.03/sf; 2010 Est Ops @ $9.58/sf,2010 Tax @ $17.03/sf; 2010 Est Ops @ $9.58/sf,"726 Eighth Ave
New York, NY 10036
(40.75930037348127, -73.98828201946617)"
728 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,560000,11/29/1991,N,,0.028,2580,645,0,,100,-,,,,,,,,,,,"C64, New York",,,2010 Tax @ $16.33/sf; 2010 Est Ops @ $8.52/sf,2010 Tax @ $16.33/sf; 2010 Est Ops @ $8.52/sf,"728 Eighth Ave
New York, NY 10036
(40.75934533958275, -73.988246046585)"
730 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,850000,06/10/1992,N,,0.028,3476,987,0,,100,-,,,,,,,,,,,"C6-4, New York",,,2008 Tax @ $12.35/sf,2008 Tax @ $12.35/sf,"730 Eighth Ave
New York, NY 10036
(40.759390305684235, -73.98821906692416)"
732 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1910,,4,1450000,03/02/2004,N,,0.044,4621,1155,0,,100,-,,,,,,,,,,,"C6-4, County",,,2008 Tax @ $13.21/sf,2008 Tax @ $13.21/sf,"732 Eighth Ave
New York, NY 10036
(40.75944426500598, -73.98818309404294)"
741-743 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.13,17465,3493,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $8.10/sf,2008 Tax @ $8.10/sf,"741 743 Eighth Ave
New York, NY 10036
(40.75934682719435, -73.989860554421)"
750 Eighth Ave,Retail Portion of Res. Bldg.,,Times Square,Midtown,Manhattan,Retail,,Existing,2008,,43,16250000,03/21/2007,N,,0.3444,31431,15000,0,,78.489999999999995,225,Direct - Plus Electric,,6761,0,6761,0,6761,6761,6761,Street parking only,"C6-4, New York, (L8)",,,,,"750 Eighth Ave
New York, NY 10036
(40.7599209056815, -73.98784135167182)"
760 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1928,,3,,,N,,0.1837,15000,5000,0,,100,-,,,,,,,,,,Signalized Intersection,C6-4,,,2010 Tax @ $24.08/sf; 2010 Ops @ $17.70/sf,2010 Tax @ $24.08/sf; 2010 Ops @ $17.70/sf,"760 Eighth Ave
New York, NY 10036
(40.76023566839177, -73.98760752794419)"
763 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,3,,,N,,0.06,5816,1939,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $16.03/sf,2008 Tax @ $16.03/sf,"763 Eighth Ave
New York, NY 10036
(40.76019969551061, -73.98762551438477)"
765 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0574,10271,2054,0,,100,-,,,,,,,,,,,C6-4,,,2009 Tax @ $5.81/sf,2009 Tax @ $5.81/sf,"765 Eighth Ave
New York, NY 10036
(40.76026264805262, -73.98758954150361)"
771 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1978,,2,11750000,03/28/2001,N,,0.115,13500,6750,0,,100,-,,,,,,,,,,Signalized Intersection,C6-4,,,2010 Tax @ $18.74/sf; 2010 Est Ops @ $10.94/sf,2010 Tax @ $18.74/sf; 2010 Est Ops @ $10.94/sf,"771 Eighth Ave
New York, NY 10036
(40.760622376864376, -73.98732873811514)"
777 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1930,,3,,,N,,0.1148,17000,5000,1,,41.18,27,Direct - Plus Electric,,10000,0,10000,0,10000,5000,10000,,C6-4,,,"2011 Tax @ $11.89/sf; 2011 Ops @ $7.49/sf, 2010 Est Ops @ $11.68/sf","2011 Tax @ $11.89/sf; 2011 Ops @ $7.49/sf, 2010 Est Ops @ $11.68/sf","777 Eighth Ave
New York, NY 10036
(40.76073928872819, -73.98724779913249)"
781 Eighth Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,4,,,Y,9000000,0.0436,6800,1700,0,,100,162.5,Direct - Plus Electric,,3400,0,0,0,3400,1700,3400,,C6-4,,,2009 Tax @ $14.25/sf,2009 Tax @ $14.25/sf,"781 Eighth Ave
New York, NY 10036
(40.76082022771078, -73.98718484659042)"
797 Eighth Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1925,,4,2100000,08/18/1994,N,,0.0539,8700,2000,0,,100,-,,,,,,,,,,,C6-4,,,2010 Tax @ $22.78/sf; 2010 Est Ops @ $13.23/sf,2010 Tax @ $22.78/sf; 2010 Est Ops @ $13.23/sf,"797 Eighth Ave
New York, NY 10036
(40.7610388035879, -73.98707738246674)"
830 Eighth Ave,,,Columbus Circle,Midtown,Manhattan,Office,B,Under Renovation,1986,2011,10,4500000,05/11/1996,N,,0.0402,22000,2200,1,,100,-,,,,,,,,,,"24/7 Building Access, On Site Management, Property Manager on Site",C6-4,,,"2010 Tax @ $11.86/sf; 2001 Ops @ $13.40/sf, 2010 Est Ops @ $3.43/sf","2010 Tax @ $11.86/sf; 2001 Ops @ $13.40/sf, 2010 Est Ops @ $3.43/sf","830 Eighth Ave
New York, NY 10036
(40.76101300172994, -73.98701352088503)"
832 Eighth Ave,,,Columbus Circle,Midtown,Manhattan,Office,C,Existing,1920,,4,,,N,,0.3444,6000,1200,0,,100,-,,,,,,,,,,,C6-4,,,"2011 Tax @ $5.48/sf; 2011 Ops @ $28.52/sf, 2010 Est Ops @ $6.48/sf","2011 Tax @ $5.48/sf; 2011 Ops @ $28.52/sf, 2010 Est Ops @ $6.48/sf","832 Eighth Ave
New York, NY 10036
(40.76101300172994, -73.98701352088503)"
570 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1929,,21,,,N,,0.1653,119862,5273,5,,97.34,41,Direct - Plus Electric,,3191,0,3191,0,1884,1884,3191,,C6-7.5,,,"2011 Tax @ $7.65/sf; 2011 Ops @ $21.37/sf, 2010 Est Ops @ $22.77/sf","2011 Tax @ $7.65/sf; 2011 Ops @ $21.37/sf, 2010 Est Ops @ $22.77/sf","570 Seventh Ave
New York, NY 10036
(40.75540401741684, -73.98746254270337)"
711 Seventh Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1925,,3,,,N,,0.1377,17400,3341,0,,100,-,,,,,,,,,,,C6-7T,,,"2011 Tax @ $24.32/sf; 2011 Ops @ $16.42/sf, 2010 Est Ops @ $19.34/sf","2011 Tax @ $24.32/sf; 2011 Ops @ $16.42/sf, 2010 Est Ops @ $19.34/sf","711 Seventh Ave
New York, NY 10036
(40.75962412941186, -73.98433399575754)"
717 Seventh Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,,5,,,N,,0.0453,6890,1378,0,,100,-,,,,,,,,,,,C6,,,2011 Tax @ $61.86/sf,2011 Tax @ $61.86/sf,"717 Seventh Ave
New York, NY 10036
(40.75968708195387, -73.98428902965611)"
721-723 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,B,Existing,1920,,13,22950000,12/15/2005,N,,0.077,44200,3400,0,,89.28,33.14,Direct - Plus Electric,,4739,0,4739,0,3839,3839,4739,,C6-7T,,,"2010 Tax @ $7.39/sf, 2011 Est Tax @ $7.48/sf; 2001 Ops @ $12.37/sf, 2011 Est Ops @ $14.93/sf","2010 Tax @ $7.39/sf, 2011 Est Tax @ $7.48/sf; 2001 Ops @ $12.37/sf, 2011 Est Ops @ $14.93/sf","721 723 Seventh Ave
New York, NY 10036
(40.75934682719435, -73.989860554421)"
725 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,C,Existing,1920,,5,,,N,,0.0574,10625,2125,0,,100,-,,,,,,,,,,,C6-7T,,,"2010 Tax @ $27.25/sf; 1995 Ops @ $7.36/sf, 2010 Est Ops @ $24.96/sf","2010 Tax @ $27.25/sf; 1995 Ops @ $7.36/sf, 2010 Est Ops @ $24.96/sf","725 Seventh Ave
New York, NY 10036
(40.75981723342805, -73.9841623585609)"
727 Seventh Ave,,,Times Square,Midtown,Manhattan,Retail,,Existing,1920,2003,6,,,N,,0.06,17500,2500,0,,100,54.29,Sublet - Plus Electric,,0,17500,0,0,17500,2500,17500,,C6-7T,,,"2011 Tax @ $11.42/sf; 2011 Ops @ $6.10/sf, 2010 Est Ops @ $7.41/sf","2011 Tax @ $11.42/sf; 2011 Ops @ $6.10/sf, 2010 Est Ops @ $7.41/sf","727 Seventh Ave
New York, NY 10036
(40.75981723342805, -73.9841623585609)"
745 Seventh Ave,Barclays Capital Building,,Times Square,Midtown,Manhattan,Office,A,Existing,2002,,32,171450000,09/21/2004,N,,1.4339,1035180,32349,18,,100,-,,,,,,,,,,"24/7 Building Access, Commuter Rail","Commercial, New York",,,2010 Tax @ $16.04/sf; 2010 Est Ops @ $19.51/sf,2010 Tax @ $16.04/sf; 2010 Est Ops @ $19.51/sf,"745 Seventh Ave
New York, NY 10036
(40.75981723342805, -73.9841623585609)"
