PROGRAM,PROGRAM NAME,Provider,SITE Name,Site Address,Borough,ZIP,Contact Number,Website,Community Board,For in -school youth only,For court-involved only,min age,max age,GED Help (Yes or No),Job Readiness Help (yes or no),College Readiness Help (yes or no),For Dads Only (yes or no) ,Catchment area requirment (yes or no) 
Employment,WorkAdvance,Per Scholas,Per Scholas,804 E. 138th St.,Bronx,10454,(718) 772-0599,http://www.perscholas.org/,,N,N,N/A,N/A,N,Y,N,N,
Employment,WorkAdvance,St. Nicks Alliance,St. Nicks Alliance,2 Kingsland Avenue,Brooklyn,11211,718 388 5454,http://www.stnicksnpc.org/,,N,N,N/A,N/A,N,Y,N,N,
Employment,Young Adult Internship Program,BronxWorks,Bronx Works Center,391 East 149th Street,Bronx,10455,(718) 993-8880,http://www.bronxworks.org,,N,N,16,24,Y,Y,N,N,
Employment,Young Adult Internship Program,Catholic Charities,Catholic Charities,23-40 Astoria Boulevard,Queens,11102,718-726-9790,http://www.ccbq.org,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Chinese American Planning Council,Chinese American Planning Council,4101 8th Avenue,Brooklyn,11232,212-941-1920,www.cpc-nyc.org,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Chinese American Planning Council,Chinese American Planning Council,136-18 39th Avenue,Queens,11354,212-941-1920,www.cpc-nyc.org,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,CUNY Research Foundation/LaGuardia CC,CUNY - Research Foundation/LaGuardia CC,31-10 Thompson Avenue,Queens,11101,(718) 609-2131,http://www.lagcc.cuny.edu/ace/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Cypress Hills Local Development Corporation,Cypress Hills Local Development Corporation,832 Jamaica Avenue,Brooklyn,11208,(718) 647-2800,https://sites.google.com/a/cypresshills.org/cypress-hills-local-development-corporation/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Ecumenical Community Development Organization,Ecumenical Community Development Organization,413 West 125th Street,Manhattan,10027,,www.ecdo.org,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,FEGS Health & Human Services System,FEGS Health & Human Services System,412 East 147 Street,Bronx,10455,212.366.8400,http://www.fegs.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Greater Ridgewood Youth Council,Greater Ridgewood Youth Council,62-04 Myrtle Avenue,Queens,11385,(718) 456-5437,http://www.thegryc.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Henry Street Settlement,Henry Street Settlement,367Madison Street,Manhattan,10002,212.254.3100 x274,http://www.henrystreet.org/programs/job-training-placement/youth-employment.html,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,LaGuardia Community College,Long Island City,"29-10 Thomson Ave, Long Island City",Queens,11101,1-718-482-7200,http://www.lagcc.cuny.edu/home/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Mosholu Montefiore Community Center,Mosholu Montefiore Community Center,3450 DeKalb Avenue,Bronx,10467,(718) 652-0282,http://www.mmcc.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,New York Center of Interpersonal Development,New York Center of Interpersonal Development,26 Bay Street,Staten Island,10301,(718) 815-4557,http://www.nycid.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Opportunities for a Better Tomorrow,Opportunities for a Better Tomorrow,25 Thornton Street,Brooklyn,11206,(718) 387-1600 X12,http://www.obtjobs.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,The Door,The Door,121 6th Avenue,Manhattan,10013,212-941-9090,http://www.door.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program,Vannguard Urban Improvement,Vannguard Urban Improvement,1477 Fulton Street,Brooklyn,11216,(718) 735-4466,http://vannguardurban.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program ,Henkels and McCoy,Henkels and McCoy,2155 University Ave,Bronx,10453,718-289-5387 ,http://www.henkels.com/Pages/default.aspx,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program ,Northern Manhattan Improvement Corporation - NMIC,Northern Manhattan Improvement Corporation - NMIC,76 Wadsworth Ave.,Manhattan,10033,(212) 740-9645,http://www.nmic.org/,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program ,SCAN,SCAN,40 East 164th Street,Bronx,10452,212-289-8030,http://scanny.org/index.asp,,N,N,16,24,Y,Y,Y,N,
Employment,Young Adult Internship Program ,SCO Family of Services,Sco Family of Services,76 lewis Avenue,Brooklyn,11206,(718) 455-1166,http://www.sco.org/,,N,N,16,24,Y,Y,Y,N,
Education,Young Adult Literacy Program,BronxWorks,BronxWorks,1130 Grand Concourse,Bronx,10456,718 508 3123,http://www.bronxworks.org,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Brooklyn Public Library,New Lots Branch,665 New Lots Ave,Brooklyn,11207,718-649-0311,http://www.brooklynpubliclibrary.org/locations/new-lots,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Brooklyn Public Library,Macon Branch,361 Lewis Ave,Brooklyn,11233,718-573-5606,http://www.brooklynpubliclibrary.org/locations/macon,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,CAMBA,CAMBA,855 Flatbush Avenue,Brooklyn,11226,718-287-2600,http://camba.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Highbridge Community Life Center,Highbridge Community Life Center,979 Ogden Avenue,Bronx,10452,(718) 681-2222 ,http://www.highbridgelife.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Lutheran Medical Center,Lutheran Medical Center,199 14th St.,Brooklyn,11215,718-630-7000,http://www.lutheranmedicalcenter.com/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,New York Center for Interpersonal Development,New York Center for Interpersonal Development,2800 Victory Boulevard,Staten Island,10314,(718) 815-4557,http://www.nycid.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,New York Public Library,West Farms Library,2085 Honeywell Avenue,Bronx,10460,(718) 367-5376,http://www.nypl.org/locations/west-farms,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,New York Public Library,Bronx Library Center,310 East Kingsbridge Road ,Bronx,10458,(718) 579-4244,http://www.nypl.org/locations/bronx-library-center,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,New York Public Library, Mott Haven Library,321 East 140th Street ,Bronx,10454,(718) 665-4878,http://www.nypl.org/locations/mott-haven,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Northern Manhattan Improvement Corporation - NMIC,Northern Manhattan Improvement Corporation - NMIC,76 Wadsworth Ave.,Manhattan,10033,(212) 740-9645,http://www.nmic.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Queens Borough Public Library,Jamaica Branch,89-11 Merrick Boulevard,Queens,11432,(718) 480-4300,http://www.queenslibrary.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Queens Borough Public Library,Far Rockaway Branch,1637 Central Avenue,Queens,11691,(718) 480-4300,http://www.queenslibrary.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Queens Borough Public Library,Long Island City Branch,37-44 21 Street,Queens,11101,(718) 480-4300,http://www.queenslibrary.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Queens Public Library,South Jamaica Queens Library,108-41 Guy R. Brewer Blvd,Queens,11433,(718) 739-4088,http://www.queenslibrary.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,The Fortune Society,The Fortune Society,29-76 Northern Boulevard,Queens,11101,212.691.7554,http://fortunesociety.org/,,N,N,17,24,Y,Y,N,N,
Education,Young Adult Literacy Program,Union Settlement Association,Union Settlement Association,1775 Third Avenue,Manhattan,10029,212.828.6000,http://www.unionsettlement.org/,,N,N,17,24,Y,Y,N,N,
