PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
After-School Programs,High School,SCO Family of Services,Brooklyn,SCO Family of Services,718.455.1166,,"75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.69500799941421, -73.93742230252869)"
After-School Programs,High School,St. Stephen Outreach,Brooklyn,St. Stephen Outreach,718.384.8854,,"874 Myrtle Avenue
Brooklyn, NEW YORK 11206
(40.69557673055322, -73.94723933262884)"
After-School Programs,High School,"Concord Family Services, Inc.",Brooklyn,"Concord Family Services, Inc.",718.398.3499,,"583 593 Vermont Street
Brooklyn, NEW YORK 11207
(40.670802431187326, -73.89384115004901)"
After-School Programs,High School,East NY Development Corporation,Brooklyn,East NY Development Corporation,718.566.2127,,"2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.67565526230447, -73.89675297527339)"
After-School Programs,High School,Police Athletic League #1A (PAL) ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"127 Pennsylvania Avenue
Brooklyn, NEW YORK 11207
(40.67474021180885, -73.89657635302484)"
After-School Programs,High School,Bnos Yakov Educational Center,Brooklyn,Bnos Yakov Educational Center,718.963.1212,,"62 Harrison Avenue
Brooklyn, NEW YORK 11211
(40.70509777565483, -73.95271360115831)"
After-School Programs,High School,"Project Care of Brooklyn, Inc",Brooklyn,"Project Care of Brooklyn, Inc",718.387.4500,,"164 Clymer Street
Brooklyn, NEW YORK 11211
(40.70663220083857, -73.96345063704595)"
After-School Programs,High School,Police Athletic League (Brownsville Beacon),Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"985 Rockaway Avenue
Brooklyn, NEW YORK 11212
(40.656451255408264, -73.90732282830548)"
After-School Programs,High School,Junior High School 258 (K) - David Ruggles School ,Brooklyn,"Vannguard Urban Improvement Association, Inc.",718.453.3330,,"141 Macon Street
Brooklyn, NEW YORK 11216
(40.681569834987634, -73.94559613967623)"
After-School Programs,High School,BCA Education Center ,Brooklyn,Brooklyn Chinese American Association,718.438.9312,,"5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526014, -74.0037599239347)"
After-School Programs,High School,Flatbush Development Corporation,Brooklyn,Flatbush Development Corporation,718.859.3800,,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.6359962740795, -73.96230212887792)"
After-School Programs,High School,Youth for Education and Sports,Brooklyn,Youth for Education and Sports,718.941.7532,,"681 Ocean Avenue
Brooklyn, NEW YORK 11226
(40.64618768082565, -73.96023613104816)"
After-School Programs,High School,Public School 217 - Col. David Marcus Elementary School ,Brooklyn,Flatbush Development Corporation,718.859.3800,,"1100 Newkirk Avenue
Brooklyn, NEW YORK 11230
(40.63396096439908, -73.96650550631493)"
After-School Programs,High School,Miccio Center ,Brooklyn,"Police Athletic League, Inc.",212.477.9450,,"110 9th Street
Brooklyn, NEW YORK 11231
(40.67578212491029, -74.0015232923829)"
After-School Programs,High School,Intermediate School 68 - Isaac Bildersee School,Brooklyn,"Sesame Flyers International, Inc.",718.693.0500,,"956 82nd Street
Brooklyn, NEW YORK 11236
(40.63549167783704, -73.91076105116055)"
After-School Programs,High School,Italian American Civil Rights League (Italian American Civil),Brooklyn,Italian American Civil Rights League (Italian American Civil),718.642.2180,,"1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.64607779528712, -73.87995018190169)"
After-School Programs,High School,Queens Community Resource Center ,Queens,Covenant House/Under 21,718.725.9851,,"159 17 Hillside Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
After-School Programs,High School,Afrikan Poetry Theatre ,Queens,Afrikan Poetry Theatre,718.523.3312,,"176 03 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
After-School Programs,High School,ChaRosa Foundation Corporation,Queens,ChaRosa Foundation Corporation,718.723.0218,,"161 10 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449007, -73.79282099978928)"
After-School Programs,High School,Intermediate School 43 ,Queens,Federation Employment & Guidance Services (FEGS),212.366.8401,,"160 Beach 29th Street
Queens, NEW YORK 11691
(40.594515128003, -73.76182654029463)"
After-School Programs,High School,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,,"1920 Mott Avenue
Queens, NEW YORK 11691
(40.6038795254241, -73.7521789315517)"
After-School Programs,High School,Flatbush Development Corp.,Brooklyn,Flatbush Development Corporation                            ,718.859.4763,,"1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.6359962740795, -73.96230212887792)"
