"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
2031810045,"2175 MORRIS AVENUE
Bronx, NY 10453
(40.855743393291775, -73.90347683208834)",Con Edison,WAVECREST MANAGEMENT TEAM LTD.,2175 MORRIS RLTY CORP,"87 14 116TH ST
RICHMOND HILL, NY 11418
(40.69637041236467, -73.84031024991805)",CA396388X,7/5/05,FEDERAL FST 80,1,3.3,1988,2023, ,21 to 26 years old,ICI MEG 34 P,#4,35770,25039,5187,3631,,,Loft Buildings,14,36600,1,5,45,45,1927, , 
2033040080,"219 196 STREET
Bronx, NY 10458
(40.86754647312934, -73.8920681550735)",Con Edison,GARY RESMICK,219 E. 196TH ST. LLC,"503 BROADWAY
YONKERS, NY 10705
(40.91668954277359, -73.89682963922633)",CA117681K,7/7/05,FEDERAL FST 90,1,3.4,1981,2016, ,26 to 30 years old,ICI DEG42P,#6,35700,24990,5355,3748,Yes,2014,Elevator Apartments,15,55000,1,5,54,54,1923, , 
2027200030,"725 SOUTHERN BOULEVARD
Bronx, NY 10455
(40.814218094207995, -73.89842750584788)",Con Edison,CENTURY FUEL,THMB 725 SOUTHERN LLC,"304 WHITHIER ST
BRONX, NY 10474
(40.807388129057856, -73.88170356373456)",CA135979M,7/7/05,SPENCER BURNHAM#3-100-50,1,3.4,1979,2014, ,31 to 35 years old,ICI#MEG 42(P),#4,35600,24920,5162,3613,Yes,2020,Elevator Apartments,17,51000,1,6,58,58,1925, , 
2031840012,"2400 WALTON AVENUE
Bronx, NY 10468
(40.86072206709378, -73.90131498330605)",Con Edison,2400 MANAGEMENT,2400 WALTON CO LLC,"1412 AVENUE
BROOKLYN, NY 11230
(40.62192951023877, -73.96551106018723)",CA054281X,7/6/05,ROCKMILLS MP70,1,2.8,1981,2016, ,26 to 30 years old,ICI DEG 42YP,#6,35040,24528,5256,3679,,,Walk-Up Apartments,14,41694,1,5,47,47,1922, , 
2033350128,"3171 ROCHAMBEAU AVENUE
Bronx, NY 10467
(40.87533857942849, -73.88053271253821)",Con Edison,UNIVERSAL MGMT AGENCY,3171 ROCHAMBEAU AVE L,"36 08 30 AVENUE
ASTORIA, NY 11103
(40.76286893025696, -73.91327185810974)",CA157293P,7/6/05,ROCKMILLS  MP-80,1,3.95,1993,2028, ,16 to 20 years old,ICI  DEG-42 YP,#6,35040,24528,5256,3679,Yes,2015,Elevator Apartments,11,50410,1,5,47,47,1926, , 
2041780026,"3505 BRUCKNER BOULEVARD
Bronx, NY 10461
(40.847009999033226, -73.82698355156457)",Con Edison,WEISS REALTY LLC.,3505 BRUCKNER ASSOC L,"198 WESTCHESTER SQ STA
BRONX, NY 10461
(40.84054431315492, -73.84125020140367)",CA137591P,7/4/05,ROCKMILLS  MP 80 (EXG),1,3.28,1991,2026, ,16 to 20 years old,ICI  MEG 34 P (NEW),#6,35040,24528,5256,3679,,,Elevator Apartments,13,36795,1,5,48,48,1928, , 
2033010004,"235 196 STREET
Bronx, NY 10458
(40.867335594703384, -73.89161019591596)",Con Edison, MS 235 EAST LLC,MS 235 EAST LLC,"625 BROOKLYN
NY 11230
(40.62192951023877, -73.96551106018723)",CA044278X,7/4/05,ROCKMILLS  MP-90,1,3.7,1978,2013, ,31 to 35 years old,IND. COMB.  AM  6 CM,#4,35000,24500,5075,3552,,,Elevator Apartments,15,38500,1,5,40,40,1922, , 
2039060091,"1125 WYATT STREET
Bronx, NY 10460
(40.83922090365594, -73.87695289240081)",Con Edison,1125 WYATT LTD PARTERSHIP,1125 WYATT ST. LLC,"507 186th Street
NEW YORK, NY 10033
(40.85143591538309, -73.92924152824264)",CA203087Z,7/6/05,ROCKMILLS MP 80,1,3.43,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,,,Walk-Up Apartments,15,42650,1,6,43,43,1938, , 
2027200001,"1015 LEGGETT AVENUE
Bronx, NY 10455
(40.81389757023779, -73.89949986120963)",Con Edison,1272 HOLDING LTD.,1272 HOLDING LTD,"900016 FAR
ROCKAWAY, NY 11690
(40.60307899979608, -73.75071599974353)",CA482687R,7/7/05,FEDERAL FST 80,1,2.77,1987,2022, ,21 to 26 years old,ICI MMG 34 P,#4,35000,24500,5075,3552,,,Walk-Up Apartments,17,42670,1,6,50,51,1931, , 
2039200001,"1534 BEACH AVENUE
Bronx, NY 10460
(40.83846554109129, -73.8672872864085)",Con Edison,1534 BEACH AVENUE CORPORATION,1534 BEACH AVENUE REA,"513 BRONX
NY 10473
(40.81773147093071, -73.86053700008245)",CA147380Y,7/6/05,ROCKMILLS MP70,1,2.8,1980,2015, ,26 to 30 years old,ICI AMG 4 3/4,#4,35000,24500,5075,3552,,,Loft Buildings,18,26577,1,5,35,35,1928, , 
2031640041,"156 184 STREET
Bronx, NY 10468
(40.85951341680591, -73.8995121406514)",Con Edison,156 E. 184 ST. HOLDING LLC.,156 E. 184TH STREETHO,"61 BROOKLYN
NY 11204
(40.619055848049015, -73.98479859887618)",CA330986Y,7/6/05,FEDERAL FST 90,1,3.7,1986,2021, ,21 to 26 years old,I.C.I MMG 42,#4,35000,24500,5075,3552,,,Elevator Apartments,14,41650,1,6,49,49,1920, , 
2031600014,"2076 CRESTON AVENUE
Bronx, NY 10453
(40.85378713463647, -73.90379901363382)",Con Edison,1700 DEVELOPMENT CO INC #3,"NORTH RIM, LLC","590 56th STREET
WEST NEW YORK, NJ 10458
(40.787844854691286, -74.02144002268648)",CA212185R,7/4/05,ROCKMILLS MP80,1,3.4,1985,2020, ,21 to 26 years old,ICI-DEG42,#6,35000,24500,5250,3675,,,Elevator Apartments,14,37960,1,5,41,41,1922, , 
2042870050,"2105 CRUGER AVENUE
Bronx, NY 10462
(40.85347907061547, -73.86676054664419)",Con Edison,2105 CRYGER ASSOC.,2105 CRUGER AVENUE RE,"25 45THSTE
NEW YORK, NY 10026
(40.80305812163505, -73.95334277604826)",CA326984Z,7/6/05,ROCKMILLS MP 80,1,3.4,1984,2019, ,26 to 30 years old,I.C.I. DEG 42-P,#6,35000,24500,5250,3675,,,Condominiums,13,46212,1,6,49,49,1939, , 
2031040045,"2431 PROSPECT AVENUE
Bronx, NY 10458
(40.8541334562541, -73.88252676726981)",Con Edison,2431 REALTY INC,2435 REALTY CORP,"2419 CROTONA AVENUE
BRONX, NY 10458-6401
(40.85446267480376, -73.88339526379936)",CA016188Y,7/7/05,ROCKMILLS MP 80,1,3.43,1988,2023, ,21 to 26 years old,ICI - DEG 42P,#4,35000,24500,5075,3552,,,Elevator Apartments,15,34000,1,5,49,49,1926, , 
2041700001,"3015 ROBERTS AVENUE
Bronx, NY 10461
(40.845493113395115, -73.83072286426798)",Con Edison,3015 ROBERTS ASSOC.LLC.,3015 ROBERTS ASSOCIA,"1847 PARAMUS
NJ 07653-1847
(40.94836000001402, -74.0684009999062)",CA291485R,7/4/05,ROCKMILLS MP90,1,3.6,1985,2020, ,21 to 26 years old,I C I -DEG42P,#6,35000,24500,5250,3675,Yes,2020,Office Buildings,13,54000,1,6,49,49,1928, , 
2033100040,"3065 GRAND
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,"3065 CONCOURSE ASSOC LLC, C/O ALAN WASSERMAN",3065 GRAND CONCOURSE,"25 45TH ST
NEW YORK, NY 10025
(40.65178506133922, -74.01376619540055)",CA056385J,7/7/05,ROCKMILLS MP90,1,3.6,1985,2020, ,21 to 26 years old,ICI - DEG42P,#6,35000,24500,5250,3675,Yes,2020,Elevator Apartments,11,63836,1,6,46,48,1927, , 
2033450011,"3136 PERRY AVENUE
Bronx, NY 10467
(40.87340409669281, -73.87821339406585)",Con Edison,3136 LLC,3136 PERRY LLC,"5600A BROADWAY
BRONX, NY 10463-5500
(40.87943056565291, -73.90428356958549)",CA340190H,7/7/05,ROCKMILLS MP90,1,3.72,1990,2025, ,16 to 20 years old,ICI MMG42,#4,35000,24500,5075,3552,Yes,2015,Elevator Apartments,11,50000,1,6,48,48,1928, , 
2033440086,"3520 TRYON AVENUE
Bronx, NY 10467
(40.880634043032224, -73.8766252562407)",Con Edison,3520 TRYON OWNERS CO,3520 TRYON AVE ETC,"310 CENTRAL STATION
YONKERS, NY 10710
(40.96800743479531, -73.84691481076987)",CA300287H,7/6/05,ROCKMILLS MP-100,1,4.2,1987,2022, ,21 to 26 years old,ICI MMG-42 P,#4,35000,24500,5075,3552,Yes,2014,Hospitals & Health,11,53700,1,6,64,64,1962, ,YES
2048250073,"666 224 STREET
Bronx, NY 10466
(40.887449117598116, -73.86205588176294)",Con Edison,666 HOLDING LLC.,666 HOLDING LLC,"191024 BROOKLYN
NY 11219
(40.63277295540763, -73.99667681118586)",CA175584Y,7/6/05,ROCKMILLS MP 80,1,3.4,1984,2019, ,26 to 30 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,,,Loft Buildings,12,36841,1,5,46,46,1929, , 
2045480001,"769 ARNOW AVENUE
Bronx, NY 10467
(40.867870565535696, -73.86458022004274)",Con Edison,769 ARNAV ASSOCATES LLC.,769 ARNOW AVE,"825 233 STREET
BRONX, NY 10466
(40.89221310483329, -73.85355883486339)",CA360585K,7/4/05,ROCKMILLS MP 90,1,3.7,1985,2020, ,21 to 26 years old,ICI MMG 42 P,#4,35000,24500,5075,3552,,,Elevator Apartments,13,45018,1,6,49,49,1928, , 
2031190052,"2144 CROTONA PARKWAY
Bronx, NY 10460
(40.84713585039986, -73.88300737552176)",Con Edison,ALEMJENA LLC ,ALEMJENA LLC,"2419 CROTONA AVE
BRONX, NY 10458
(40.85446267480376, -73.88339526379936)",CA232987R,7/6/05,ROCKMILLS MP 80,1,3.43,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,,,Walk-Up Apartments,15,33200,1,6,44,44,1931, , 
2032700113,"140 238 STREET
Bronx, NY 10463
(40.884012753955844, -73.89801491760056)",Con Edison,AMIT ASSOCIATES,HEITNER WILLIAM E,"223 WHALEN STREET
BRONX, NY 10471
(40.908262267791805, -73.89746739859918)",CA217886M,7/5/05,ROCKMILLS  R 103,1,3.8,1986,2021, ,21 to 26 years old,S.T. JOHNSON FD 68 CAHM-75,#6,35000,24500,5250,3675,,,Elevator Apartments,11,42525,1,5,45,45,1921, , 
2031960001,"2200 GRAND AVENUE
Bronx, NY 10453
(40.85771171190915, -73.90647097296197)",Con Edison,ANTHONY GAZIVODA 22OO GRAND LLC.,2200 GRAND LLC,"3200 CRVGER AVE
BRONX, NY 10467
(40.8770479121315, -73.87153250082423)",CA223482R,7/4/05,ROCKMILLS  MP 90,1,3.6,1982,2017, ,26 to 30 years old,I.C.I.  DEG42 (P),#6,35000,24500,5250,3675,,,Walk-Up Apartments,14,45387,1,6,49,49,1932, , 
2027820104,"364 170 STREET
Bronx, NY 10456
(40.83718386047549, -73.90984708336906)",Con Edison,BAAL REALTY,"BAAL REALTY,    .","328 PARKVILLE STATION
BROOKLYN, NY 11204
(40.632589098463704, -73.96811331509966)",CA191483P,7/5/05,FEDERAL FST 90,1,3.7,1983,2018, ,26 to 30 years old,ICI MMG42P,#4,35000,24500,5075,3552,,,Walk-Up Apartments,16,49000,1,6,56,56,1925, , 
2033010023,"2794 VALENTINE AVENUE
Bronx, NY 10458
(40.8677799907029, -73.89144090115387)",Con Edison,BB & BB MGMT,GESHER REALTY CORP,"1624 WEBSTER AVENUE
BRONX, NY 10457
(40.84184033491622, -73.90412994919767)",CA209986J,7/5/05,ROCKMILLS MP-80,1,3.4,1986,2021, ,21 to 26 years old,ICIDEG 42P,#6,35000,24500,5250,3675,,,Condominiums,15,41853,1,5,47,47,1923, , 
2025320026,"190 170 STREET
Bronx, NY 10452
(40.83936267725123, -73.9154941859212)",Con Edison,BLS ASSOCIATES,190 W 170 LLC,"190 170TH STREET
BRONX, NY 10458
(40.83936267725123, -73.9154941859212)",CA267088N,7/4/05,FEDERAL FST-125,1,5.25,1988,2023, ,21 to 26 years old,ICI ME-54P,#6,35000,24500,5250,3675,Yes,2022,Elevator Apartments,16,72646,1,6,67,67,1929, , 
2028510029,"1857 WALTON AVENUE
Bronx, NY 10453
(40.84884227991752, -73.90958283023295)",Con Edison,CAISI MGMT,1857 WALTON REALTY,"314 MC DONALD AVE
BROOKLYN, NY 11218
(40.64645924920414, -73.9801659240397)",CA397587N,7/7/05,ROCKMILLS MP 80,1,3.43,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,,,Miscellaneous,14,34005,1,5,44,45,1922, , 
2031680003,"2588 CRESTON AVENUE
Bronx, NY 10468
(40.86496274104977, -73.89659212258779)",Con Edison,CRESTON ASSOC LLC,CRESTON ASSOCIATES,"660 229 STREET
BRONX, NY 10466
(40.89110048632442, -73.86046922182427)",CA323985R,7/5/05,FEDERAL FST 90,1,3.57,1985,2020, ,21 to 26 years old,HEV-E-OIL DEG 42YP ( I.C.I.),#4,35000,24500,5075,3552,,,Elevator Apartments,15,21080,1,5,24,24,1917, , 
2024560218,"1174 SHERIDAN AVENUE
Bronx, NY 10456
(40.83332086834675, -73.9171263703693)",Con Edison,DBPB HOLDING CORP.,D B P B HOLDING CORP.,"191024 BROOKLYN
NY 11219
(40.63277295540763, -73.99667681118586)",CA310787N,7/6/05,ROCKMILLS MP-90,1,3.57,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,,,Elevator Apartments,16,43714,1,6,48,48,1929, , 
2040160011,"1751 VAN BUREN STREET
Bronx, NY 10460
(40.84184534159458, -73.8708491558869)",Con Edison,F.M.WEISS REALTY CORP.,1750-51 VANBUREN 520,"198 WESTCHESTER SQ
BRONX, NY 10461
(40.84054431315492, -73.84125020140367)",CA220884X,7/6/05,ROCKMILLS MP 70,1,2.8,1984,2019, ,26 to 30 years old,ICI MM34P,#4,35000,24500,5075,3552,,,Elevator Apartments,15,17720,1,5,22,25,1915, , 
2032130063,"60 190 STREET
Bronx, NY 10468
(40.863089582583875, -73.89871050520468)",Con Edison,GOTHAM INVESTORS/TOTAL MG,CALYPSO REALTY LLC,"1969 JAF STATION
NEW YORK, NY 10116
(40.8110019996426, -73.95309800037239)",CA101288H,7/7/05,ROCKMILLS MP 80,1,3.4,1988,2023, ,21 to 26 years old,ICI MMG 42 P,#4,35000,24500,5075,3552,,,Elevator Apartments,14,45035,1,5,47,47,1922, , 
2031470012,"2400 VALENTINE AVENUE
Bronx, NY 10458
(40.85940697969719, -73.89705648885776)",Con Edison,"HEIMAN, ROBERT","GORE CREEK, LLC",,CA223586L,7/5/05,ROCKMILLS MP80,1,3.4,1986,2021, ,21 to 26 years old,ICI MMG 34P,#4,35000,24500,5075,3552,,,Elevator Apartments,15,42650,1,5,51,51,1925, , 
2046450028,"3650 BRONX BOULEVARD
Bronx, NY 10467
(40.88116052504156, -73.86754873894509)",Con Edison,HELEN BUTTA,ALPS REALTY OF NY COR,"3650 BRONX BOULEVARD
BRONX, NY 10467
(40.88116052504156, -73.86754873894509)",CA463070N,7/4/05,KEWANEE-FITZGIBBONS D-100,1,3.8,1970,2010, ,36 - 40 year old,PETRO WD 5 AH,#6,35000,24500,5250,3675,,,Elevator Apartments,12,41514,1,6,49,49,1932, , 
2033480060,"3339 HULL AVENUE
Bronx, NY 10467
(40.8772044809982, -73.87418930469472)",Con Edison,HULL EQUITIES LLC.,HULL EQUITIES LLC,"145 HUGVENOT AVENUE
NEW ROCHELLE, NY 10801
(40.917986535550256, -73.78529555654467)",CA488085R,7/5/05,ROCKMILLS  MP-90,1,3.6,1985,2020, ,21 to 26 years old,I.C.I.  DEG-42 (P),#6,35000,24500,5250,3675,Yes,2018,Walk-Up Apartments,11,50400,1,6,49,49,1940, , 
2031960086,"5 BUCHANAN PLACE
Bronx, NY 10453
(40.85780753576791, -73.90448981382337)",Con Edison,"J J,A, HOLDING CORP.",JJA HOLDING CORP,"817 YONKERS
NY 10704
(40.92135262717308, -73.8624832788796)",CA619686J,7/6/05,ROCKMILLS MP 90,1,3.57,1986,2021, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,Yes,2016,Elevator Apartments,14,54000,1,6,51,51,1941, , 
2032490108,"2769 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,JONAH ASSSOCATES LLC.,JONAH ASSOCIATES LLC,"542 MAIN STREET
NEW ROCHELLE, NY 10801
(40.90794031848401, -73.78299377983785)",CA401688L,7/5/05,ROCKMILLS MP70,1,2.59,1988,2023, ,21 to 26 years old,ICI MMG30,#4,35000,24500,5075,3552,,,Loft Buildings,14,31875,1,5,37,37,1923, , 
2032530020,"2700 KINGSBRIDGE TERRACE
Bronx, NY 10463
(40.87080818744521, -73.9038435153942)",Con Edison,KINGSBRIDGE TERR EQUITIES,2700 KINGSBRIDGE LLC,"6 37 ST
MANHATTAN, NY 10016
(40.750124170447826, -73.98273167148304)",CA359985L,7/4/05,ROCKMILLS  MP-80,1,3.4,1985,2020, ,21 to 26 years old,I.C.I. DEG-42 (P),#6,35000,24500,5250,3675,,,Elevator Apartments,14,37000,1,5,43,43,1930, , 
2026230147,"600 TRINITY AVENUE
Bronx, NY 10455
(40.81458494520211, -73.90957320827579)",Con Edison,LANGSAM ASSOC.,"BIG ROCK PARK, LLC",,CA083286H,7/5/05,ROCKMILLS MP 80,1,3.43,1986,2021, ,21 to 26 years old,I.C.I. DEG42P,#6,35000,24500,5250,3675,,,Elevator Apartments,17,38040,1,6,48,48,1937, , 
2045690020,"3040 CRUGER AVENUE
Bronx, NY 10467
(40.87007120422032, -73.8661599423754)",Con Edison,LECAJ REALTY CORP,LECAJ REALTY CORP.,"25 STORMVILLE
NY 12582
(41.54227280174848, -73.7262330002527)",CA078683P,7/5/05,ROCKMILLS MP90,1,3.6,1983,2018, ,26 to 30 years old,ICI DEG42P,#6,35000,24500,5250,3675,,,Elevator Apartments,12,40770,1,6,49,49,1930, , 
2031940001,"2084 GRAND AVENUE
Bronx, NY 10453
(40.855189734528494, -73.90827321231163)",Con Edison,M & D MANAGEMENT L.LC.,2084 GRAND LLC,"4 EXECUTIVE BLVD
SUFFERN, NY 10901
(41.11910113096366, -74.11765848660127)",CA298586H,7/5/05,ROCKMILLS MP80,1,3.4,1986,2021, ,21 to 26 years old,ICI MEG 34P,#6,35000,24500,5250,3675,,,Walk-Up Apartments,14,33900,1,5,48,48,1922, , 
2038630033,"1374 BRONX RIVER AVENUE
Bronx, NY 10472
(40.83327937966894, -73.8801250294746)",Con Edison,MANSUSS REALTY,BRONX RIVER ASSOCIATE,"191024 BROOKLYN
NY 11219
(40.63277295540763, -73.99667681118586)",CA255583M,7/6/05,FEDERAL FST 80,1,3.4,1983,2018, ,26 to 30 years old,I.C.I. MEG 34 P,#6,35000,24500,5250,3675,,,Elevator Apartments,18,32400,1,4,42,45,1927, , 
2028400054,"130 MARCY PLACE
Bronx, NY 10452
(40.83796253065657, -73.91602129564963)",Con Edison,MARCY PLACE REALTY CORP.,MARCY PLACE REALTY CO,"300791 BROOKLYN
NY 11230
(40.62192951023877, -73.96551106018723)",CA078987Y,7/6/05,ROCKMILLS MP 90,1,3.57,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,Yes,2020,Elevator Apartments,14,70200,2,6,98,98,1941, , 
2028400054,"120 MARCY PLACE
Bronx, NY 10452
(40.83801607027429, -73.91616688583818)",Con Edison,MARCY PLACE REALTY CORP.,MARCY PLACE REALTY CO,"300791 BROOKLYN
NY 11230
(40.62192951023877, -73.96551106018723)",CA078687M,7/6/05,ROCKMILLS MP 90,1,3.57,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,Yes,2020,Elevator Apartments,14,70200,2,6,98,98,1941, , 
2048270013,"685 225 STREET
Bronx, NY 10466
(40.887978981161936, -73.86093363802723)",Con Edison,MISTIK MANAGEMENT INC.,"MISTIK MANAGEMENT, IN","3200 CRUGER AVE
BRONX, NY 10467
(40.871464594371155, -73.86611756820807)",CA055785Y,7/7/05,FEDERAL FST 80,1,2.8,1985,2020, ,21 to 26 years old,ICI DEG42YP,#6,35000,24500,5250,3675,,,Elevator Apartments,12,38308,1,5,46,46,1931, , 
2032250027,"2277 ANDREWS AVENUE
Bronx, NY 10468
(40.86057133812476, -73.90817771019194)",Con Edison,MMIKP BRONX REALTY LLC.,MMIKP BRONX REALTY LL,"300513 MIDWOOD STATION
BROOKLYN, NY 11230
(40.62192951023877, -73.96551106018723)",CA002583R,7/5/05,ROCKMILLS MP 80,1,3.4,1983,2018, ,26 to 30 years old,ICI DEG 42P,#6,35000,24500,5250,3675,Yes,2015,Elevator Apartments,14,55026,1,6,49,49,1927, , 
2024570023,"1231 SHERIDAN AVENUE
Bronx, NY 10456
(40.83475508122211, -73.91607827421326)",Con Edison,N.A.L. REALTY III CORP.,NAAL REALTY III LLC,"1353 43rd ST
BROOKLYN, NY 11219
(40.63770417410894, -73.98742719929677)",CA103686M,7/5/05,ROCKMILLS  MP 80,1,3.4,1986,2021, ,21 to 26 years old,I.C.I.  MEG 34,#6,35000,24500,5250,3675,,,Elevator Apartments,16,40050,1,5,54,54,1923, , 
2024780064,"1055 WALTON AVENUE
Bronx, NY 10452
(40.831419386575995, -73.92165145615076)",Con Edison,NORWAX ASSOCIATES,WALTON AVE PROPERTIES,"1046 MCLEAN AVENUE
YONKERS, NY 10704
(40.901480913451834, -73.8626385728918)",CA251787X,7/6/05,ROCKMILLS MP 80,1,2.6,1987,2022, ,21 to 26 years old,ICI DEG 42P,#6,35000,24500,5250,3675,Yes,2018,Office Buildings,16,53815,1,6,44,51,1938, , 
2033520029,"3348 HULL AVENUE
Bronx, NY 10467
(40.87726893762373, -73.87405881017149)",Con Edison,PHONIX N.Z.  LLC,CAP 3346-3348 REALTY,"672 HARTSDALE
NY 10530
(41.022122898752855, -73.80866415932343)",CA077887M,7/6/05,ROCKMILLS MP 80,1,3.43,1987,2022, ,21 to 26 years old,ICI DEG 42 P,#6,35000,24500,5250,3675,,,Elevator Apartments,11,49000,1,5,50,50,1927, , 
2024550014,"974 SHERIDAN AVENUE
Bronx, NY 10456
(40.828963349378625, -73.91962869655707)",Con Edison,RALAZZOLO MGMT CORP.,NYC CAPITAL VALUE FUN,"371 HARTSDALE
NY 10530
(41.022122898752855, -73.80866415932343)",CA217788Z,7/4/05,ROCKMILLS MP 90,1,3.72,1988,2023, ,21 to 26 years old,ICI MMG 42 P,#4,35000,24500,5075,3552,,,Walk-Up Apartments,16,47538,1,6,48,48,1927, , 
2037760040,"1584 172 STREET
Bronx, NY 10472
(40.83152580978778, -73.87677956820615)",Con Edison,"SHAYDA, LLC",SHAYDA LLC,"125 MINEOLA AVE
ROSLYN HEIGHTS, NY 11577-2043
(40.788096664859495, -73.65073948220902)",CA140184P,7/6/05,ROCKMILLS MP80,1,3.4,1984,2019, ,26 to 30 years old,ICI DEG 42P,#6,35000,24500,5250,3675,,,Walk-Up Apartments,18,37100,1,5,51,51,1927, , 
2032880025,"320 197 STREET
Bronx, NY 10458
(40.86682736002217, -73.88910438882576)",Con Edison,SNJC MGMT CORP.,320 E 197 LLC,"242 COOK AVENUE
YONKERS, NY 10701
(40.94005855408115, -73.86331056216922)",CA356384M,7/6/05,ROCKMILLS MP 70,1,2.8,1984,2019, ,26 to 30 years old,ICI DEG 42YP,#6,35000,24500,5250,3675,,,Warehouses,15,45559,1,6,43,43,1937, , 
2032480100,"2727 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,STANLEY WASSERMAN REALTY.,2727 UNIVERSITY AVENU,"25 45TH STREET
NEW YORK, NY 10026
(40.65178506133922, -74.01376619540055)",CA182084N,7/6/05,ROCKMILLS MP100,1,4.2,1984,2019, ,26 to 30 years old,ICI DEG 42,#6,35000,24500,5250,3675,Yes,2018,Condominiums,14,68445,1,6,55,55,1937, , 
2038010046,"2065 HAVILAND AVENUE
Bronx, NY 10472
(40.829965665247634, -73.85486833823757)",Con Edison,STAR REALTY CO,STAR REALTY CO LLC,"3000 BRONX PARK
BRONX, NY 10467
(40.86971543619559, -73.87048308781573)",CA390487Y,7/7/05,ROCKMILLS MP 80,1,3.43,1987,2022, ,21 to 26 years old,ICI MEG 34 P,#4,35000,24500,5075,3552,,,Walk-Up Apartments,18,49720,1,4,47,47,1929, , 
2033210067,"3043 VILLA AVENUE
Bronx, NY 10468
(40.87419553754098, -73.88799376484278)",Con Edison,TRIANGLE REALTY,TRIANGLE REALTY - VIL,"30 GLENN STREET
WHITE PLAINS, NY 10603
(41.05048286012806, -73.77165332904838)",CA397687K,7/6/05,ROCKMILLS MP 90,1,3.57,1987,2022, ,21 to 26 years old,ICI MEG 42,#6,35000,24500,5250,3675,,,Walk-Up Apartments,11,46585,1,5,41,48,1925, , 
2033170001,"2675 MORRIS AVENUE
Bronx, NY 10468
(40.86736756617417, -73.89610288562176)",Con Edison,CIO-SAM MANAGEMENT CORP.,HPG LLC,"2675 MORRIS AVE
BRONX, NY 10468
(40.86736756617417, -73.89610288562176)",CA042386Y,7/5/05,ROCKMILLS MP-100,1,4.2,1986,2021, ,21 to 26 years old,I.C.I. DEG 42P,#6,34748,24324,5212,3649,Yes,2017,Elevator Apartments,15,52500,1,5,50,55,1920, , 
2032790035,"400 199 STREET
Bronx, NY 10458
(40.867379097891146, -73.88495257864837)",Con Edison,400 WEBSTER ASSOC.LLC,BEACH REALTY ASSOCIAT,"1601 BRONXDALE AVENUE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA095398K,7/5/05,(NEW)FEDERAL FST-90,1,3.79,1998,2033,DUAL FUEL,11 to 15 years old,(EXIST)INDUSTRIAL COMB.  DEG-42 (P),#6,34675,24272,5201,3641,,,Elevator Apartments,15,31200,1,6,30,35,1928, , 
2027500020,"1076 FAILE STREET
Bronx, NY 10459
(40.82529135468168, -73.88964185224516)",Con Edison,NHP/PRC MANAGEMENT,ALDUS III ASSOCIATES,"955 163 STREET
BRONX, NY 10459
(40.82102127608155, -73.89565834555971)",CA053781H,7/7/05,BURNHAM SPENCER 4F-360-45,1,2.9,1981,2016, ,26 to 30 years old,HEVE-AMG 4 34,#4,34493,24145,5001,3501,,,Walk-Up Apartments,17,30107,1,5,30,30,1918, , 
2033040156,"220 197 STREET
Bronx, NY 10458
(40.86897167116737, -73.89087994936457)",Con Edison,220 E. 197 ST. LLC,220 EAST 197 REALTY L,"1601 BRONXDALE AVE
BRONX, NY 10462
(40.84351657306597, -73.85691921749257)",CA119986K,7/6/05,ROCKMILLS  MP-100,1,4.2,1986,2021, ,21 to 26 years old,ICI  DEG-42 (P),#6,34492,24145,5174,3622,Yes,2014,Elevator Apartments,15,60600,1,5,65,65,1925, , 
