CBO Name,Program ID,Name,Fiscal Year,Amount
"New York City Junior Golf Club, Inc.",518,Tax Levy/Discretionary Group,2013,$0.00
New York Junior Tennis League,521,Neighborhood Development Group,2010,$293557.00
New York Junior Tennis League,521,Neighborhood Development Group,2011,$293557.00
New York Junior Tennis League,521,Neighborhood Development Group,2012,$293557.00
New York Junior Tennis League,521,Neighborhood Development Group,2013,$293557.00
New York Junior Tennis League,2802,Out of School Time Programs,2010,$3560397.00
New York Junior Tennis League,2802,Out of School Time Programs,2011,$3179714.00
New York Junior Tennis League,2802,Out of School Time Programs,2012,$2835485.00
New York Junior Tennis League,2802,Out of School Time Programs,2013,$1949543.00
New York Junior Tennis League,518,Tax Levy/Discretionary Group,2010,$1020214.00
New York Junior Tennis League,518,Tax Levy/Discretionary Group,2011,$1014714.00
New York Junior Tennis League,518,Tax Levy/Discretionary Group,2012,$1017914.00
New York Junior Tennis League,518,Tax Levy/Discretionary Group,2013,$994928.00
New York Junior Tennis League,5295,Tax Levy/OST,2010,$0.00
New York Junior Tennis League,5295,Tax Levy/OST,2011,$0.00
New York Junior Tennis League,5295,Tax Levy/OST,2012,$0.00
New York Junior Tennis League,5295,Tax Levy/OST,2013,$1770000.00
New York Legal Assistance Group,537,Immigration/Refugee Assistance Group,2010,$475160.00
New York Legal Assistance Group,537,Immigration/Refugee Assistance Group,2011,$236584.00
New York Legal Assistance Group,537,Immigration/Refugee Assistance Group,2012,$298200.00
New York Legal Assistance Group,537,Immigration/Refugee Assistance Group,2013,$298200.00
New York Legal Assistance Group,518,Tax Levy/Discretionary Group,2010,$18500.00
New York Legal Assistance Group,518,Tax Levy/Discretionary Group,2011,$0.00
New York Legal Assistance Group,518,Tax Levy/Discretionary Group,2012,$10000.00
New York Legal Assistance Group,518,Tax Levy/Discretionary Group,2013,$23000.00
New York Legal Assistance Group,3135,Tax Levy/Immigration Initiative (IOI),2010,$302000.00
New York Legal Assistance Group,3135,Tax Levy/Immigration Initiative (IOI),2011,$236750.00
New York Legal Assistance Group,3135,Tax Levy/Immigration Initiative (IOI),2012,$178750.00
New York Legal Assistance Group,3135,Tax Levy/Immigration Initiative (IOI),2013,$0.00
"New York Youth At Risk, Inc.",2802,Out of School Time Programs,2010,$0.00
"New York Youth At Risk, Inc.",2802,Out of School Time Programs,2011,$38700.00
"New York Youth At Risk, Inc.",2802,Out of School Time Programs,2012,$38700.00
"New York Youth At Risk, Inc.",2802,Out of School Time Programs,2013,$45150.00
North Brooklyn Development Corporation,2802,Out of School Time Programs,2010,$176737.00
North Brooklyn Development Corporation,2802,Out of School Time Programs,2011,$164900.00
North Brooklyn Development Corporation,2802,Out of School Time Programs,2012,$155384.00
North Brooklyn Development Corporation,2802,Out of School Time Programs,2013,$224228.00
Northern Manhattan Coalition for Immigrant Rights,518,Tax Levy/Discretionary Group,2010,$18500.00
Northern Manhattan Coalition for Immigrant Rights,518,Tax Levy/Discretionary Group,2011,$0.00
Northern Manhattan Coalition for Immigrant Rights,518,Tax Levy/Discretionary Group,2012,$0.00
Northern Manhattan Coalition for Immigrant Rights,518,Tax Levy/Discretionary Group,2013,$0.00
Northern Manhattan Coalition for Immigrant Rights,3135,Tax Levy/Immigration Initiative (IOI),2010,$50000.00
Northern Manhattan Coalition for Immigrant Rights,3135,Tax Levy/Immigration Initiative (IOI),2011,$46250.00
Northern Manhattan Coalition for Immigrant Rights,3135,Tax Levy/Immigration Initiative (IOI),2012,$39123.00
Northern Manhattan Coalition for Immigrant Rights,3135,Tax Levy/Immigration Initiative (IOI),2013,$0.00
Northern Manhattan Improvement Corporation,5092,Family Literacy,2010,$124995.00
Northern Manhattan Improvement Corporation,5092,Family Literacy,2011,$150000.00
Northern Manhattan Improvement Corporation,5092,Family Literacy,2012,$0.00
Northern Manhattan Improvement Corporation,5092,Family Literacy,2013,$0.00
Northern Manhattan Improvement Corporation,537,Immigration/Refugee Assistance Group,2010,$99975.00
Northern Manhattan Improvement Corporation,537,Immigration/Refugee Assistance Group,2011,$99975.00
Northern Manhattan Improvement Corporation,537,Immigration/Refugee Assistance Group,2012,$146909.00
Northern Manhattan Improvement Corporation,537,Immigration/Refugee Assistance Group,2013,$146909.00
Northern Manhattan Improvement Corporation,2387,Literacy Group,2010,$501822.00
Northern Manhattan Improvement Corporation,2387,Literacy Group,2011,$297244.00
Northern Manhattan Improvement Corporation,2387,Literacy Group,2012,$175000.00
Northern Manhattan Improvement Corporation,2387,Literacy Group,2013,$175000.00
Northern Manhattan Improvement Corporation,521,Neighborhood Development Group,2010,$274799.00
Northern Manhattan Improvement Corporation,521,Neighborhood Development Group,2011,$220799.00
Northern Manhattan Improvement Corporation,521,Neighborhood Development Group,2012,$220799.00
Northern Manhattan Improvement Corporation,521,Neighborhood Development Group,2013,$220799.00
Northern Manhattan Improvement Corporation,5051,Tax Levy/Adult Literacy,2010,$30952.00
Northern Manhattan Improvement Corporation,5051,Tax Levy/Adult Literacy,2011,$30952.00
Northern Manhattan Improvement Corporation,5051,Tax Levy/Adult Literacy,2012,$30000.00
Northern Manhattan Improvement Corporation,5051,Tax Levy/Adult Literacy,2013,$30000.00
Northern Manhattan Improvement Corporation,518,Tax Levy/Discretionary Group,2010,$0.00
Northern Manhattan Improvement Corporation,518,Tax Levy/Discretionary Group,2011,$0.00
Northern Manhattan Improvement Corporation,518,Tax Levy/Discretionary Group,2012,$0.00
Northern Manhattan Improvement Corporation,518,Tax Levy/Discretionary Group,2013,$0.00
Northern Manhattan Improvement Corporation,3135,Tax Levy/Immigration Initiative (IOI),2010,$25000.00
Northern Manhattan Improvement Corporation,3135,Tax Levy/Immigration Initiative (IOI),2011,$23138.00
Northern Manhattan Improvement Corporation,3135,Tax Levy/Immigration Initiative (IOI),2012,$23138.00
Northern Manhattan Improvement Corporation,3135,Tax Levy/Immigration Initiative (IOI),2013,$35000.00
Northern Manhattan Improvement Corporation,3160,Young Adult Internship Programs,2010,$0.00
Northern Manhattan Improvement Corporation,3160,Young Adult Internship Programs,2011,$0.00
Northern Manhattan Improvement Corporation,3160,Young Adult Internship Programs,2012,$228000.00
Northern Manhattan Improvement Corporation,3160,Young Adult Internship Programs,2013,$336300.00
"Northside Center For Child Development, Inc.",2802,Out of School Time Programs,2010,$266180.00
"Northside Center For Child Development, Inc.",2802,Out of School Time Programs,2011,$250456.00
"Northside Center For Child Development, Inc.",2802,Out of School Time Programs,2012,$234292.00
"Northside Center For Child Development, Inc.",2802,Out of School Time Programs,2013,$87706.00
"Northside Center For Child Development, Inc.",518,Tax Levy/Discretionary Group,2010,$115000.00
"Northside Center For Child Development, Inc.",518,Tax Levy/Discretionary Group,2011,$115000.00
"Northside Center For Child Development, Inc.",518,Tax Levy/Discretionary Group,2012,$115000.00
"Northside Center For Child Development, Inc.",518,Tax Levy/Discretionary Group,2013,$115000.00
"Northside Center For Child Development, Inc.",5295,Tax Levy/OST,2010,$0.00
"Northside Center For Child Development, Inc.",5295,Tax Levy/OST,2011,$0.00
"Northside Center For Child Development, Inc.",5295,Tax Levy/OST,2012,$0.00
"Northside Center For Child Development, Inc.",5295,Tax Levy/OST,2013,$110000.00
"Northwest Bronx Community & Clergy Coalition, Inc",518,Tax Levy/Discretionary Group,2010,$10000.00
"Northwest Bronx Community & Clergy Coalition, Inc",518,Tax Levy/Discretionary Group,2011,$10000.00
"Northwest Bronx Community & Clergy Coalition, Inc",518,Tax Levy/Discretionary Group,2012,$10000.00
"Northwest Bronx Community & Clergy Coalition, Inc",518,Tax Levy/Discretionary Group,2013,$10000.00
New York City Mission Society,517,Beacons Group,2010,$805045.00
New York City Mission Society,517,Beacons Group,2011,$784840.00
New York City Mission Society,517,Beacons Group,2012,$741619.00
New York City Mission Society,517,Beacons Group,2013,$741619.00
New York City Mission Society,2802,Out of School Time Programs,2010,$1191413.00
New York City Mission Society,2802,Out of School Time Programs,2011,$1098015.00
New York City Mission Society,2802,Out of School Time Programs,2012,$1136212.00
New York City Mission Society,2802,Out of School Time Programs,2013,$1051780.00
New York City Mission Society,3177,Service Learning Programs,2010,$0.00
New York City Mission Society,3177,Service Learning Programs,2011,$0.00
New York City Mission Society,3177,Service Learning Programs,2012,$97125.00
New York City Mission Society,3177,Service Learning Programs,2013,$97125.00
New York City Mission Society,2521,Summer Youth Employment,2010,$148944.00
New York City Mission Society,2521,Summer Youth Employment,2011,$99531.00
New York City Mission Society,2521,Summer Youth Employment,2012,$97500.00
New York City Mission Society,2521,Summer Youth Employment,2013,$104000.00
New York City Mission Society,518,Tax Levy/Discretionary Group,2010,$0.00
New York City Mission Society,518,Tax Levy/Discretionary Group,2011,$0.00
New York City Mission Society,518,Tax Levy/Discretionary Group,2012,$3500.00
New York City Mission Society,518,Tax Levy/Discretionary Group,2013,$5000.00
New York City Mission Society,5295,Tax Levy/OST,2010,$0.00
New York City Mission Society,5295,Tax Levy/OST,2011,$0.00
New York City Mission Society,5295,Tax Levy/OST,2012,$0.00
New York City Mission Society,5295,Tax Levy/OST,2013,$188000.00
New York City Mission Society,2853,Youth Workforce Development,2010,$117482.00
New York City Mission Society,2853,Youth Workforce Development,2011,$14396.00
New York City Mission Society,2853,Youth Workforce Development,2012,$0.00
New York City Mission Society,2853,Youth Workforce Development,2013,$0.00
New York City Outward Bound Center,518,Tax Levy/Discretionary Group,2010,$0.00
New York City Outward Bound Center,518,Tax Levy/Discretionary Group,2011,$0.00
New York City Outward Bound Center,518,Tax Levy/Discretionary Group,2012,$0.00
New York City Outward Bound Center,518,Tax Levy/Discretionary Group,2013,$0.00
New York City Outward Bound Center,2379,Tax Levy/Initiatives,2010,$14709.00
New York City Outward Bound Center,2379,Tax Levy/Initiatives,2011,$0.00
New York City Outward Bound Center,2379,Tax Levy/Initiatives,2012,$0.00
New York City Outward Bound Center,2379,Tax Levy/Initiatives,2013,$0.00
Research Foundation of CUNY,517,Beacons Group,2010,$1738034.00
Research Foundation of CUNY,517,Beacons Group,2011,$1574283.00
Research Foundation of CUNY,517,Beacons Group,2012,$1444650.00
Research Foundation of CUNY,517,Beacons Group,2013,$1444650.00
Research Foundation of CUNY,537,Immigration/Refugee Assistance Group,2010,$270000.00
Research Foundation of CUNY,537,Immigration/Refugee Assistance Group,2011,$270000.00
Research Foundation of CUNY,537,Immigration/Refugee Assistance Group,2012,$0.00
Research Foundation of CUNY,537,Immigration/Refugee Assistance Group,2013,$0.00
Research Foundation of CUNY,2387,Literacy Group,2010,$425000.00
Research Foundation of CUNY,2387,Literacy Group,2011,$0.00
Research Foundation of CUNY,2387,Literacy Group,2012,$0.00
Research Foundation of CUNY,2387,Literacy Group,2013,$0.00
Research Foundation of CUNY,2521,Summer Youth Employment,2010,$415225.00
Research Foundation of CUNY,2521,Summer Youth Employment,2011,$281125.00
Research Foundation of CUNY,2521,Summer Youth Employment,2012,$307665.00
Research Foundation of CUNY,2521,Summer Youth Employment,2013,$341585.00
Research Foundation of CUNY,518,Tax Levy/Discretionary Group,2010,$0.00
Research Foundation of CUNY,518,Tax Levy/Discretionary Group,2011,$9000.00
Research Foundation of CUNY,518,Tax Levy/Discretionary Group,2012,$0.00
Research Foundation of CUNY,518,Tax Levy/Discretionary Group,2013,$0.00
Research Foundation of CUNY,2853,Youth Workforce Development,2010,$1142041.00
Research Foundation of CUNY,2853,Youth Workforce Development,2011,$104187.00
Research Foundation of CUNY,2853,Youth Workforce Development,2012,$0.00
Research Foundation of CUNY,2853,Youth Workforce Development,2013,$0.00
"OHEL Children's Home and Family Services, Inc.",518,Tax Levy/Discretionary Group,2010,$23500.00
"OHEL Children's Home and Family Services, Inc.",518,Tax Levy/Discretionary Group,2011,$10000.00
"OHEL Children's Home and Family Services, Inc.",518,Tax Levy/Discretionary Group,2012,$0.00
"OHEL Children's Home and Family Services, Inc.",518,Tax Levy/Discretionary Group,2013,$0.00
"On Your Mark, Inc.",518,Tax Levy/Discretionary Group,2010,$5000.00
"On Your Mark, Inc.",518,Tax Levy/Discretionary Group,2011,$8000.00
"On Your Mark, Inc.",518,Tax Levy/Discretionary Group,2012,$5000.00
"On Your Mark, Inc.",518,Tax Levy/Discretionary Group,2013,$0.00
"One Stop Richmond Hill Community Center, Inc.",518,Tax Levy/Discretionary Group,2010,$12000.00
"One Stop Richmond Hill Community Center, Inc.",518,Tax Levy/Discretionary Group,2011,$6500.00
"One Stop Richmond Hill Community Center, Inc.",518,Tax Levy/Discretionary Group,2012,$35000.00
"One Stop Richmond Hill Community Center, Inc.",518,Tax Levy/Discretionary Group,2013,$5000.00
Opportunities for a Better Tomorrow,2387,Literacy Group,2010,$262654.00
Opportunities for a Better Tomorrow,2387,Literacy Group,2011,$126774.00
Opportunities for a Better Tomorrow,2387,Literacy Group,2012,$0.00
Opportunities for a Better Tomorrow,2387,Literacy Group,2013,$0.00
Opportunities for a Better Tomorrow,521,Neighborhood Development Group,2010,$102197.00
Opportunities for a Better Tomorrow,521,Neighborhood Development Group,2011,$102197.00
Opportunities for a Better Tomorrow,521,Neighborhood Development Group,2012,$102197.00
Opportunities for a Better Tomorrow,521,Neighborhood Development Group,2013,$102197.00
Opportunities for a Better Tomorrow,5051,Tax Levy/Adult Literacy,2010,$30952.00
Opportunities for a Better Tomorrow,5051,Tax Levy/Adult Literacy,2011,$30952.00
Opportunities for a Better Tomorrow,5051,Tax Levy/Adult Literacy,2012,$80000.00
Opportunities for a Better Tomorrow,5051,Tax Levy/Adult Literacy,2013,$80000.00
Opportunities for a Better Tomorrow,518,Tax Levy/Discretionary Group,2010,$15000.00
Opportunities for a Better Tomorrow,518,Tax Levy/Discretionary Group,2011,$20000.00
Opportunities for a Better Tomorrow,518,Tax Levy/Discretionary Group,2012,$25000.00
Opportunities for a Better Tomorrow,518,Tax Levy/Discretionary Group,2013,$45500.00
Opportunities for a Better Tomorrow,3135,Tax Levy/Immigration Initiative (IOI),2010,$0.00
Opportunities for a Better Tomorrow,3135,Tax Levy/Immigration Initiative (IOI),2011,$0.00
Opportunities for a Better Tomorrow,3135,Tax Levy/Immigration Initiative (IOI),2012,$0.00
Opportunities for a Better Tomorrow,3135,Tax Levy/Immigration Initiative (IOI),2013,$0.00
Opportunities for a Better Tomorrow,3160,Young Adult Internship Programs,2010,$315000.00
Opportunities for a Better Tomorrow,3160,Young Adult Internship Programs,2011,$446250.00
Opportunities for a Better Tomorrow,3160,Young Adult Internship Programs,2012,$452750.00
Opportunities for a Better Tomorrow,3160,Young Adult Internship Programs,2013,$444000.00
Opportunities for a Better Tomorrow,2853,Youth Workforce Development,2010,$1605000.00
Opportunities for a Better Tomorrow,2853,Youth Workforce Development,2011,$1281600.00
Opportunities for a Better Tomorrow,2853,Youth Workforce Development,2012,$1655808.00
Opportunities for a Better Tomorrow,2853,Youth Workforce Development,2013,$1602733.00
"The Osborne Association, Inc.",2456,Fatherhood Initiative,2010,$0.00
"The Osborne Association, Inc.",2456,Fatherhood Initiative,2011,$0.00
"The Osborne Association, Inc.",2456,Fatherhood Initiative,2012,$352000.00
"The Osborne Association, Inc.",2456,Fatherhood Initiative,2013,$352000.00
"The Osborne Association, Inc.",518,Tax Levy/Discretionary Group,2010,$0.00
"The Osborne Association, Inc.",518,Tax Levy/Discretionary Group,2011,$0.00
"The Osborne Association, Inc.",518,Tax Levy/Discretionary Group,2012,$0.00
"The Osborne Association, Inc.",518,Tax Levy/Discretionary Group,2013,$3500.00
"OTSAR Family Services, Inc.",518,Tax Levy/Discretionary Group,2010,$35500.00
"OTSAR Family Services, Inc.",518,Tax Levy/Discretionary Group,2011,$23500.00
"OTSAR Family Services, Inc.",518,Tax Levy/Discretionary Group,2012,$36000.00
"OTSAR Family Services, Inc.",518,Tax Levy/Discretionary Group,2013,$0.00
Our Children's Foundation,518,Tax Levy/Discretionary Group,2010,$0.00
Our Children's Foundation,518,Tax Levy/Discretionary Group,2011,$6000.00
Our Children's Foundation,518,Tax Levy/Discretionary Group,2012,$7500.00
Our Children's Foundation,518,Tax Levy/Discretionary Group,2013,$0.00
Our Lady of Mercy Church,518,Tax Levy/Discretionary Group,2010,$0.00
Our Lady of Mercy Church,518,Tax Levy/Discretionary Group,2011,$0.00
Our Lady of Mercy Church,518,Tax Levy/Discretionary Group,2012,$6000.00
Our Lady of Mercy Church,518,Tax Levy/Discretionary Group,2013,$0.00
Our Lady of Mt. Carmel Parish,518,Tax Levy/Discretionary Group,2010,$18000.00
Our Lady of Mt. Carmel Parish,518,Tax Levy/Discretionary Group,2011,$13000.00
Our Lady of Mt. Carmel Parish,518,Tax Levy/Discretionary Group,2012,$10500.00
Our Lady of Mt. Carmel Parish,518,Tax Levy/Discretionary Group,2013,$0.00
Our Lady of Perpetual Help Girls Softball League,518,Tax Levy/Discretionary Group,2010,$0.00
Our Lady of Perpetual Help Girls Softball League,518,Tax Levy/Discretionary Group,2011,$0.00
Our Lady of Perpetual Help Girls Softball League,518,Tax Levy/Discretionary Group,2012,$0.00
Our Lady of Perpetual Help Girls Softball League,518,Tax Levy/Discretionary Group,2013,$0.00
Parkville Youth Organization,518,Tax Levy/Discretionary Group,2010,$20500.00
Parkville Youth Organization,518,Tax Levy/Discretionary Group,2011,$11000.00
Parkville Youth Organization,518,Tax Levy/Discretionary Group,2012,$20500.00
Parkville Youth Organization,518,Tax Levy/Discretionary Group,2013,$19000.00
The Parodneck Foundation for Self Help-Housing & Community D,518,Tax Levy/Discretionary Group,2010,$0.00
The Parodneck Foundation for Self Help-Housing & Community D,518,Tax Levy/Discretionary Group,2011,$5000.00
The Parodneck Foundation for Self Help-Housing & Community D,518,Tax Levy/Discretionary Group,2012,$23500.00
The Parodneck Foundation for Self Help-Housing & Community D,518,Tax Levy/Discretionary Group,2013,$0.00
"Partnership With Children, Inc.",518,Tax Levy/Discretionary Group,2010,$15000.00
"Partnership With Children, Inc.",518,Tax Levy/Discretionary Group,2011,$15000.00
"Partnership With Children, Inc.",518,Tax Levy/Discretionary Group,2012,$20000.00
"Partnership With Children, Inc.",518,Tax Levy/Discretionary Group,2013,$0.00
Pesach Tikvah,518,Tax Levy/Discretionary Group,2010,$0.00
Pesach Tikvah,518,Tax Levy/Discretionary Group,2011,$10000.00
Pesach Tikvah,518,Tax Levy/Discretionary Group,2012,$5500.00
Pesach Tikvah,518,Tax Levy/Discretionary Group,2013,$0.00
Peter Stuyvesant Little League,518,Tax Levy/Discretionary Group,2010,$7500.00
Peter Stuyvesant Little League,518,Tax Levy/Discretionary Group,2011,$7500.00
Peter Stuyvesant Little League,518,Tax Levy/Discretionary Group,2012,$0.00
Peter Stuyvesant Little League,518,Tax Levy/Discretionary Group,2013,$0.00
Phipps Community Development,517,Beacons Group,2010,$1343337.00
Phipps Community Development,517,Beacons Group,2011,$778753.00
Phipps Community Development,517,Beacons Group,2012,$692331.00
Phipps Community Development,517,Beacons Group,2013,$692331.00
Phipps Community Development,5177,Cornerstone,2010,$207950.00
Phipps Community Development,5177,Cornerstone,2011,$389051.00
Phipps Community Development,5177,Cornerstone,2012,$374959.00
Phipps Community Development,5177,Cornerstone,2013,$374960.00
Phipps Community Development,5092,Family Literacy,2010,$124995.00
Phipps Community Development,5092,Family Literacy,2011,$150000.00
Phipps Community Development,5092,Family Literacy,2012,$0.00
Phipps Community Development,5092,Family Literacy,2013,$0.00
Phipps Community Development,2387,Literacy Group,2010,$27920.00
Phipps Community Development,2387,Literacy Group,2011,$0.00
Phipps Community Development,2387,Literacy Group,2012,$0.00
Phipps Community Development,2387,Literacy Group,2013,$0.00
Phipps Community Development,521,Neighborhood Development Group,2010,$232793.00
Phipps Community Development,521,Neighborhood Development Group,2011,$232793.00
Phipps Community Development,521,Neighborhood Development Group,2012,$232793.00
Phipps Community Development,521,Neighborhood Development Group,2013,$232793.00
Phipps Community Development,2802,Out of School Time Programs,2010,$916787.00
Phipps Community Development,2802,Out of School Time Programs,2011,$844421.00
Phipps Community Development,2802,Out of School Time Programs,2012,$805148.00
Phipps Community Development,2802,Out of School Time Programs,2013,$194447.00
Phipps Community Development,3177,Service Learning Programs,2010,$67500.00
Phipps Community Development,3177,Service Learning Programs,2011,$67500.00
Phipps Community Development,3177,Service Learning Programs,2012,$0.00
Phipps Community Development,3177,Service Learning Programs,2013,$0.00
Phipps Community Development,2521,Summer Youth Employment,2010,$108794.00
Phipps Community Development,2521,Summer Youth Employment,2011,$119519.00
Phipps Community Development,2521,Summer Youth Employment,2012,$112220.00
Phipps Community Development,2521,Summer Youth Employment,2013,$81480.00
Phipps Community Development,5051,Tax Levy/Adult Literacy,2010,$30952.00
Phipps Community Development,5051,Tax Levy/Adult Literacy,2011,$30952.00
Phipps Community Development,5051,Tax Levy/Adult Literacy,2012,$30000.00
Phipps Community Development,5051,Tax Levy/Adult Literacy,2013,$30000.00
Phipps Community Development,518,Tax Levy/Discretionary Group,2010,$35000.00
Phipps Community Development,518,Tax Levy/Discretionary Group,2011,$48500.00
Phipps Community Development,518,Tax Levy/Discretionary Group,2012,$33500.00
Phipps Community Development,518,Tax Levy/Discretionary Group,2013,$28500.00
Phipps Community Development,3135,Tax Levy/Immigration Initiative (IOI),2010,$35000.00
Phipps Community Development,3135,Tax Levy/Immigration Initiative (IOI),2011,$32500.00
Phipps Community Development,3135,Tax Levy/Immigration Initiative (IOI),2012,$28500.00
Phipps Community Development,3135,Tax Levy/Immigration Initiative (IOI),2013,$0.00
Phipps Community Development,2379,Tax Levy/Initiatives,2010,$33870.00
Phipps Community Development,2379,Tax Levy/Initiatives,2011,$0.00
Phipps Community Development,2379,Tax Levy/Initiatives,2012,$0.00
Phipps Community Development,2379,Tax Levy/Initiatives,2013,$0.00
Phipps Community Development,5295,Tax Levy/OST,2010,$0.00
Phipps Community Development,5295,Tax Levy/OST,2011,$0.00
Phipps Community Development,5295,Tax Levy/OST,2012,$0.00
Phipps Community Development,5295,Tax Levy/OST,2013,$0.00
Phipps Community Development,2853,Youth Workforce Development,2010,$0.00
Phipps Community Development,2853,Youth Workforce Development,2011,$378366.00
Phipps Community Development,2853,Youth Workforce Development,2012,$378366.00
Phipps Community Development,2853,Youth Workforce Development,2013,$360077.00
Planned Parenthood of NYC,2802,Out of School Time Programs,2010,$31374.00
Planned Parenthood of NYC,2802,Out of School Time Programs,2011,$29884.00
Planned Parenthood of NYC,2802,Out of School Time Programs,2012,$12701.00
Planned Parenthood of NYC,2802,Out of School Time Programs,2013,$0.00
Planned Parenthood of NYC,3177,Service Learning Programs,2010,$0.00
Planned Parenthood of NYC,3177,Service Learning Programs,2011,$0.00
Planned Parenthood of NYC,3177,Service Learning Programs,2012,$110000.00
Planned Parenthood of NYC,3177,Service Learning Programs,2013,$75000.00
"Police Athletic League, Inc.",517,Beacons Group,2010,$1925267.00
"Police Athletic League, Inc.",517,Beacons Group,2011,$1187671.00
"Police Athletic League, Inc.",517,Beacons Group,2012,$1101249.00
"Police Athletic League, Inc.",517,Beacons Group,2013,$1101249.00
"Police Athletic League, Inc.",5177,Cornerstone,2010,$113100.00
"Police Athletic League, Inc.",5177,Cornerstone,2011,$208876.00
"Police Athletic League, Inc.",5177,Cornerstone,2012,$214160.00
"Police Athletic League, Inc.",5177,Cornerstone,2013,$214159.00
"Police Athletic League, Inc.",2802,Out of School Time Programs,2010,$3328760.00
"Police Athletic League, Inc.",2802,Out of School Time Programs,2011,$3069964.00
"Police Athletic League, Inc.",2802,Out of School Time Programs,2012,$2908403.00
"Police Athletic League, Inc.",2802,Out of School Time Programs,2013,$2485804.00
"Police Athletic League, Inc.",2521,Summer Youth Employment,2010,$479198.00
"Police Athletic League, Inc.",2521,Summer Youth Employment,2011,$516343.00
"Police Athletic League, Inc.",2521,Summer Youth Employment,2012,$506985.00
"Police Athletic League, Inc.",2521,Summer Youth Employment,2013,$398140.00
"Police Athletic League, Inc.",518,Tax Levy/Discretionary Group,2010,$78214.00
"Police Athletic League, Inc.",518,Tax Levy/Discretionary Group,2011,$111500.00
"Police Athletic League, Inc.",518,Tax Levy/Discretionary Group,2012,$129214.00
"Police Athletic League, Inc.",518,Tax Levy/Discretionary Group,2013,$0.00
"Police Athletic League, Inc.",5295,Tax Levy/OST,2010,$0.00
"Police Athletic League, Inc.",5295,Tax Levy/OST,2011,$0.00
"Police Athletic League, Inc.",5295,Tax Levy/OST,2012,$0.00
"Police Athletic League, Inc.",5295,Tax Levy/OST,2013,$984000.00
"Police Athletic League, Inc.",2853,Youth Workforce Development,2010,$294207.00
"Police Athletic League, Inc.",2853,Youth Workforce Development,2011,$126793.00
"Police Athletic League, Inc.",2853,Youth Workforce Development,2012,$110430.00
"Police Athletic League, Inc.",2853,Youth Workforce Development,2013,$108454.00
Polonians Organized to Minister to Our Community,521,Neighborhood Development Group,2010,$52000.00
Polonians Organized to Minister to Our Community,521,Neighborhood Development Group,2011,$52000.00
Polonians Organized to Minister to Our Community,521,Neighborhood Development Group,2012,$52000.00
Polonians Organized to Minister to Our Community,521,Neighborhood Development Group,2013,$52000.00
Polonians Organized to Minister to Our Community,518,Tax Levy/Discretionary Group,2010,$50000.00
Polonians Organized to Minister to Our Community,518,Tax Levy/Discretionary Group,2011,$10500.00
Polonians Organized to Minister to Our Community,518,Tax Levy/Discretionary Group,2012,$5000.00
Polonians Organized to Minister to Our Community,518,Tax Levy/Discretionary Group,2013,$0.00
Polonians Organized to Minister to Our Community,3135,Tax Levy/Immigration Initiative (IOI),2010,$90000.00
Polonians Organized to Minister to Our Community,3135,Tax Levy/Immigration Initiative (IOI),2011,$110000.00
Polonians Organized to Minister to Our Community,3135,Tax Levy/Immigration Initiative (IOI),2012,$110000.00
Polonians Organized to Minister to Our Community,3135,Tax Levy/Immigration Initiative (IOI),2013,$0.00
"Project Lead, Inc.",518,Tax Levy/Discretionary Group,2010,$0.00
"Project Lead, Inc.",518,Tax Levy/Discretionary Group,2011,$0.00
"Project Lead, Inc.",518,Tax Levy/Discretionary Group,2012,$14000.00
"Project Lead, Inc.",518,Tax Levy/Discretionary Group,2013,$17500.00
YMCA of Greater New York/Prospect Park,2802,Out of School Time Programs,2010,$891594.00
YMCA of Greater New York/Prospect Park,2802,Out of School Time Programs,2011,$820065.00
YMCA of Greater New York/Prospect Park,2802,Out of School Time Programs,2012,$853485.00
YMCA of Greater New York/Prospect Park,2802,Out of School Time Programs,2013,$116054.00
YMCA of Greater New York/Prospect Park,2379,Tax Levy/Initiatives,2010,$10000.00
YMCA of Greater New York/Prospect Park,2379,Tax Levy/Initiatives,2011,$0.00
YMCA of Greater New York/Prospect Park,2379,Tax Levy/Initiatives,2012,$0.00
YMCA of Greater New York/Prospect Park,2379,Tax Levy/Initiatives,2013,$0.00
Queens Village Committee For Mental Health J-C,518,Tax Levy/Discretionary Group,2010,$0.00
Queens Village Committee For Mental Health J-C,518,Tax Levy/Discretionary Group,2011,$0.00
Queens Village Committee For Mental Health J-C,518,Tax Levy/Discretionary Group,2012,$0.00
Queens Village Committee For Mental Health J-C,518,Tax Levy/Discretionary Group,2013,$0.00
The Child Center of NY,517,Beacons Group,2010,$2244864.00
The Child Center of NY,517,Beacons Group,2011,$1965416.00
The Child Center of NY,517,Beacons Group,2012,$1835773.00
The Child Center of NY,517,Beacons Group,2013,$1835773.00
The Child Center of NY,5177,Cornerstone,2010,$177000.00
The Child Center of NY,5177,Cornerstone,2011,$329043.00
The Child Center of NY,5177,Cornerstone,2012,$319499.00
The Child Center of NY,5177,Cornerstone,2013,$319499.00
The Child Center of NY,5092,Family Literacy,2010,$115829.00
The Child Center of NY,5092,Family Literacy,2011,$139000.00
The Child Center of NY,5092,Family Literacy,2012,$0.00
The Child Center of NY,5092,Family Literacy,2013,$0.00
The Child Center of NY,2387,Literacy Group,2010,$125000.00
The Child Center of NY,2387,Literacy Group,2011,$0.00
The Child Center of NY,2387,Literacy Group,2012,$0.00
